,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,worth seeing for just a few funny parts,5,20 April 2006,"As I sit here thinking about this movie, I am realizing that this is one of the few comedies I wouldn't mind if it were heavily edited first. In other words, if all the funny moments (i.e., all the stuff with Rodney Dangerfield) were shown and the rest of the film pitched in the trash, I DON'T think that would be so bad. That's because despite it's achieving ""cult status"", this isn't all that good a film--with sloppy direction, an annoying performance by Bill Murray (who is capable of so much better), a worthless story about some teenagers (and I HATE most teenager movies from the 70s and 80s) and a rather wooden performance by Chevy Chase. Hmmm,...now that I think about it, apart from Rodney Dangerfield and, perhaps the cute groundhog, there isn't a whole lot I loved about the film. A sub-par film saved by genuinely funny dialog between Dangerfield and Ted Knight.",Caddyshack
1,bkoganbing,Heavy duty humor,8,29 May 2018,"Golf and those who play it becomes the subject of some heavy duty humor in
Caddyshack. Some of the funniest folks in the last half of the last century are
involved with Caddyshack.With many little subplots going the main plot involves the rivalry between the
head of the club Ted Knight who is also a judge and Rodney Dangerfield who is
a filthy rich and brash visitor. Dangerfield is his usually cheerful and obnoxious character, but he presses Knight's buttons. Some of the funniest
moments of the film is Knight reacting to Dangerfield. Chevy Chase is an interesting fellow himself, a rather iconoclastic character who doesn't even keep score as he explains his philosophy of life to young
Michael O'Keefe who is one of the caddies just trying to pick up some extra
dollars and suck up to the rich who are regulars at the club.Knight reminds me of the character of the father of the prospective bride whom Auntie Mame was desperately trying to keep nephew Patrick from
marrying. Willard Waterman in Auntie Mame was not on his home ground
and Rosalind Russell capitalizes on that. You see Knight on his home turf (no pun intended) but it yields him no advantage as Dangerfield just shows him 
up over and over.We cannot forget Bill Murray who is an iconoclastic character in his own right.
He's one of the groundskeepers and has been assigned the task of ridding the
world of gopher who has taken residence at the country club and leaving inconvenient holes in the ground. It's a battle of wits and guess who comes
out on top?Henry Wilcoxon plays a Catholic bishop who likes to golf. He isn't exactly Father O'Malley moved up in the ranks. Wilcoxon is best known for all the
Cecil B. DeMille films he did and his final scene has a DeMille like quality. With the gopher character Caddyshack expertly blends animation with the live
players. Big kudos go out to the animators for the gopher.Don't expect any sophistication, but Caddyshack will give you lots of belly laughs with many to spare",Caddyshack
2,Leofwine_draca,Above average comedy of its era,7,18 March 2016,"I find the po-faced seriousness with which golfers take their sport to be rather funny, so this lampoon of the whole golf industry is a delight to watch. It's a bit of a madcap character piece with lots of offbeat stars interacting and getting involved with one another, and at some moments it's similar to the surreal highlights of AIRPLANE, although it also has that 'frat house party' style atmosphere popular from the early '80s.What I particularly enjoy about CADDYSHACK is that there's no single star. Chevy Chase pops up here and there to deliver some delightful non-sequiters, and Bill Murray steals every scene he's in playing the slow-witted groundsman. My favourite star of all, though, is Rodner Dangerfield, who ably mixes stand-up humour with acting and zings off the screen for all of his five or six moments.CADDYSHACK isn't an entirely successful production, and some elements are rather silly; that stupid gopher, for example, which looks like it belongs in a kid's film. But it's affectionate, it has plenty going on, and Harold Ramis does a very good job of holding it all together as director. The JAWS spoof is a definite highlight.",Caddyshack
3,SnoopyStyle,"Great master class of comedic legends, younger cast not so much",8,12 June 2014,Danny Noonan is putting everything he makes into his college fund even though he's not sure what he wants to do. He's a caddy at an exclusive Bushwood country club. The club is filled with wealthy eccentric members and an unbalanced greens keeper Carl Spackler (Bill Murray) out to get the gopher.The comedic power assembled in this is amazing. Harold Ramis made a pretty loose comedy. There're a lot of improvisations. Bill Murray really steals many scenes with all his ramblings and his gopher partner. Rodney Dangerfield and Ted Knight face off in a master class of comedy. Chevy Chase is playing the guy above it all. The weakness in the movie is the younger cast. They can't quite keep up and they pale in comparison. The movie works best with the elder statesmen Dangerfield and Ted Knight squaring off.,Caddyshack
4,mark.waltz,A tribute to the late Lois Kibbee (Mrs. Smalls),7,14 August 2003,"Lois Kibbee plays the relatively minor role of Mrs. Smalls, the snooty yet amusing wife of Judge Smalls (Ted Knight).  A veteran of several roles of society matrons on daytime soaps during the 70's and 80's, Kibbee had her only film role in this popular snobs vs. the slobs comedy which, second to ""National Lampoon's Animal House"", remains a testament of the style of comedy during the Jimmy Carter era.Best known as the lovable and somewhat mellowed Geraldine Whitney Saxon on ""The Edge of Night"", for which she received several Emmy Nominations, Kibbee took time off from that role to make this film, where she first appears in the restraunt scene with no dialogue, but a similar Geraldine look of shock that sets the standard for her character.  Of course, her character is reacting to the pass made to her by the obnoxious Rodney Dangerfield. Later, Kibbee has two key scenes of slapstick where her character domineeringly tries to get the caddys out of the country club pool and notices an object in the pool which sends the whole club into panic; The scene flashes forward and while Kibbee watches, SNL veteran Bill Murray comes in for one of the funniest pay-off scenes in film history and Kibbee's reaction is priceless.  If there were Oscars for cameos, Kibbee would have been a shoe-in for this role.Her next group of scenes surround the christening of a yacht where young Michael O'Keefe flirts with her over the amused objections of her hubby, Ted Knight; Once again, Kibbee gives the perfect reaction shot as her attempt to christen the yacht fails.  This is followed by Knight and Kibbee's return to their lavish home where O'Keefe and loose Cindy Morgan (as their niece) are about to perform the dirty deed.  Knight and O'Keefe get into it while Kibbee is taking a shower.  A shower-capped Kibbee peaks out as O'Keefe runs by in his underwear.  Her reaction of joyous surprise is another one of the subtle hysterical moments of the film, yet after this she only appears as an extra in the show's final scene.  ""Edge of Night"" fans who adored her as the formerly snobby Geraldine (based loosely originally on Rose Kennedy) were delighted by the comical way she was presented here, and later ""One Life to Live"" fans were gifted by her dramatic gifts as the evil matriarch Elizabeth Sanders.  The world of show business lost one of their true treasures in 1993 when Kibbee, who also wrote for ""The Edge of Night"" (and briefly ""Capitol""), passed away from a brain tumor.I suggest catching this film to see an amazing performance of an actress who could say more with her eyes than most do with words, than catching her on ""The World of Soap Themes"" website where an episode of ""One Life to Live"" features her in a different type of role.  Hopefully, SoapNet will eventually show re-runs of ""The Edge of Night"" where she played an older lady with the heart and love of life of a 20 year old who not only was beloved by every character on the show but by practically the entire audience as well.",Caddyshack
5,gavin6942,Classic Modern Comedy,7,11 May 2011,"An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.At age 30, I have finally seen ""Caddyshack"". Growing up in the age of cable, I think it could be found on one channel or another almost every day. Other people my age have likely seen the film, or at least parts of it, at least a dozen times -- maybe fifty. And now I join the ranks, though I have no interest to make repeat viewings a habit.That might sound like I did not like it. On the contrary, it actually exceeded my expectations by quite a bit. I thought it would be dated and no longer great, but quite the opposite. Chevy Chase is in top form here, and looks great -- especially now that I am used to seeing him on ""Community"". Bill Murray is pretty much always great, and this is no exception. I was never a fan of Rodney Dangerfield (though my dad is) and here he impressed me. All in all, pretty great.The only part I did not understand was Danny's attraction to Maggie, the Scottish waitress. She has a mullet, is only average looking, has an odd voice... and then, when her pants come off, she has the worst granny panties. She is hiding nothing good under those clothes! I do not blame him at all for being attracted to the rich niece.",Caddyshack
6,lee_eisenberg,Play ball!,10,5 January 2006,"""Caddyshack"" is truly a comedy convention. Chevy Chase as the loopy owner, Bill Murray as the goofy grounds-keeper practically waging World War III against a gopher (or ""varmit"" as he calls it), and Rodney Dangerfield as an obnoxious millionaire. The movie is mostly an excuse for everyone to be silly - namely the Babe Ruth bar scene. Murray has some great lines, not only about the gopher but also his Dalai Lama monologue. I know that Ted Knight is best known for ""The Mary Tyler Moore Show"", but I will always remember him as the snobbish judge here (I've actually never seen ""TMTMS"").As it is, the movie mainly focuses on caddy Danny Noonan (Michael O'Keefe), but for me he almost becomes a back issue to everyone's gags. And it's hard to believe that Maggie was played by Sarah Holcomb (aka Clorette DePasto in ""Animal House""). A really funny movie.Varmit cong! Ha ha ha...",Caddyshack
7,jboothmillard,Caddyshack,5,20 November 2011,"This directorial debut from Ghostbusters writer/star Harold Ramis (Groundhog Day, Analyze This, Bedazzled) I had heard about and knew one of the stars, and I knew it involved golf, so I decided to give it a go. Basically at Bushwood Country Club is a popular exclusive golf course, and it is there that we see numerous workers and players on the course getting up to all sorts of antics. All the members who play are mostly wealthy, and many eccentric as well, it is only most of the staff, especially the younger ones, who are slightly less eccentric and obviously less well off. The characters include Judge Elihu Smails (Ted Knight) who is being constantly irritated by very rude and always chirpy millionaire Al Czervik (Rodney Dangerfield) who wants to buy Bushwood. Ty Webb (Chevy Chase), another big shot player on the course is meanwhile just pining around as a friend of Judge, and with the conflicts going on they are all giving young caddy Danny Noonan (Michael O'Keefe) ideas of where he should go in life. Carl Spackler (Bill Murray) is the near brainless psychopathic grounds keeper who has been given the task of eliminating all gophers who are digging around ruining the course, and he is going to great lengths to destroy them, such as pumping water through the holes, using a gun, and even explosives. The conflict between Judge and Al gets so bad that they decide to settle their differences once and for all with a match to win their right to own the club all together, to which, after explosions rumble, Al is the winner, and with the help of bruisers does get the deal done. Also starring Sarah Holcomb as Maggie O'Hooligan, Scott Colomby as Tony D'Annunzio, Cindy Morgan as Lacey Underall and Dan Resin as Dr. Beeper. I agree with the critics that the small teenage subplot is pointless and was probably only put in to draw that age audience, but Dangerfield creates an amusingly vulgar persona, Knight gets his time as his rival, Chase doesn't really do anything, and Murray steals the show creating a completely different character to his usual sorts, being the thick Elmer Fudd type hunter trying to catch the lovable pest gopher. The writing for most of the jokes is good enough, I did find enjoyment watching the chocolate bar in the swimming pool mistaken for excrement, and of course all the dangerous antics of Murray, and some of the golf playing is okay too, so while it is not all original, there are moments to like in this comedy. ""Cinderella story. Outta nowhere. A former greenskeeper, now, about to become the Masters champion. It looks like a mirac...It's in the hole! It's in the hole! It's in the hole!"" was number 92 on 100 Years, 100 Quotes, and the film was number 71 on 100 Years, 100 Laughs. Worth watching!",Caddyshack
8,ccthemovieman-1,"Would Like To Move On, But It Still Makes Me Laugh",7,5 April 2006,"This is 1970s (I'm one year off) irreverent, sleazy humor, the kind that I normally discard - the kind I thought was hilarious when I was younger. However, because of the many classic scenes in here, it's tough to get rid of because it always offers up a ton of laughs with each viewing, no matter how old I am or how many times I've seen it. But , to be honest, sometimes I do get tired of immoral characters being the good guys in post-'50s comedies.Bill Murray, as the sleazy grounds-keeper, and Ted Knight as the overbearing country club member, are the stars of the show or at the least the actors that give it spark. Chevy Chase is his usual smug self and the teens in here offer little except young bodies to show off.Wy do I sill watch this?Well, there's the famous chocolate bar scene in the pool; Murray and his ""Masters monologue,"" Rodney Dangerfield's twitches caustic remarks and the zaniness of the golf matches that make this film likable, even though it has absolutely no ""redeeming values."" The typical '70s cheap shot at religion was in there several times, totally uncalled for each time but necessary with the pagan slimes who make these films. They can't seem to retrain their hatred for anything ""religious."" For example, the only person in the film to yell out the Lord's name in vain is the reverend, who is portrayed, naturally, as a raving lunatic.Actually, as I write this I'm thinking, just as caddies have been replaced by golf carts, maybe it's time to finally replace this movie with something a little nicer , something with a little more class......but ....",Caddyshack
9,Tweekums,Classic Country Club Comedy,8,2 October 2019,"This classic from 1980 is set an exclusive country club where teenager Danny Noonan is working as a caddy to earn money to pay to go to college. Other key characters are the snobbish Judge Elihu Smails, coarse property developer Al Czervik, zen-like golf pro Ty Webb and Carl Spackler the groundskeeper who is waging war against a gopher! During the course of the film we are treated to comedy antics on the golf course, in the club house and at the local marina before a finale that features an explosive grudge match that goes to the eighteenth hole.While some have this films gags haven't aged too well it doesn't matter too much as they come thick and fast. The jokes are a more than a little crude at times but it is hard not to laugh. The cast includes several comedy stars of the time. Bill Murray is probably the most memorable as the unhinged Spackler, his increasingly extreme attempts to kill a gopher are hilarious; Rodney Dangerfield turns it up to eleven as the truly obnoxious Czervik; Ted Knight is impressive as the bigoted judge and Chevy Chase is solid if less memorable as Ty Webb. The rest of the cast is solid enough. Given when it was made it is no surprise that there is a bit of gratuitous nudity and the special effects certainly show their age. The gopher is so obviously fake it either adds to the comedy or is silly depending on one's opinion... I'm inclined to the latter. Overall I'd say this won't be for everybody but if you enjoy late '70s/early '80s comedy you need to watch it at least once.",Caddyshack
