,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Negotiating a hit,7,16 June 2013,"Watching Killing Them Softly put me in mind of the great crime caper film of the Seventies, Charley Varrick. That's the one where Walter Matthau and some accomplices pull off a bank heist in a small out of the way bank in an obscure New Mexico town. Only the bank is a place where syndicate money is held and laundered. Joe Don Baker is the hit-man sent after them and he loves his work. Fortunately at least for Walter Matthau he's smart enough to outwit Baker. Killing Them Softly has no Matthau among the targets as the tale is told from hit-man's point of view.The hit-man or at least one of them is Brad Pitt and he gets no pleasure in his work, it's a business like any other. He wants to be well compensated for his services. In fact he wants to Kill Them Softly which to him means taking them out with a rifle with scope because he doesn't want to hear their pleadings. Or by surprise in one case where everyone knows its coming, but the victim.Two real criminal losers Ben Mendelsohn and Scoot McNairy are hired by Vincent Curatola to rob an illegal gambling establishment run by Ray Liotta. With Liotta you can see a bit of his Henry Hill from Goodfellas, with Hill running just this kind of place as he headed into middle age in the mob. The reason for this target is that several years earlier Liotta ripped his own card game off, but eventually was forgiven when the gambling started booming again. Curatola is sure the mob will look right at Liotta again. Not that they don't look at Liotta again, but they're smarter than that. They always are.Once the caper goes down in comes Pitt, but also with a few competitors, James Gandolfini being one. That's where Pitt starts negotiating his deal.Brad Pitt gives a good performance here, but for me the real stars are McNairy and Mendelsohn. You will rarely losers with a capital ""L"" portrayed on the screen as they are with these two. In a way they ought to be put out of their misery for their own good. Still you feel sorry for them somewhat.Interesting mob movie with some deep black comic overtones.",Killing Them Softly
1,Leofwine_draca,The dialogue ruins it...,4,23 June 2014,"KILLING THEM SOFTLY reminds me of Tarantino's DEATH PROOF in that both movies are laden with scripts that attempt edginess and off-beat verve by focusing on seemingly irrelevant conversations between minor characters. Both films end up being boring in the extreme purely because the scripts are neither witty nor engaging, in fact they turn out to be mindless and yawn-inducing, written by people who clearly think they're clever than they actually are.It's a pity, because like DEATH PROOF this has the potential to be good. The whole set-up is decent, the card-game robbery is an exceptional set-piece filled with all kinds of tension, and the scenes with Ray Liotta are a real highlight. The rest of it is terrible. Brad Pitt plays a monotonous and uninteresting character who just sits around talking, talking, and talking to other uninteresting characters. There's no suspense, no build-up, no real story. I appreciate the filmmakers were trying to achieve something different here but it's one big fail if I'm honest.KILLING THEM SOFTLY wastes the talents of an interesting cast, not least Pitt who can be absolutely electrifying on screen given the right role (FIGHT CLUB, for instance). Liotta bags the only interesting character and is involved in one scene which pushes the boundaries of on-screen brutality a la THE KILLER INSIDE ME but unfortunately that's the only real moment of interest in the whole thing. A huge disappointment then and not a patch on the gangster movies of Scorsese, Tarantino, or Ritchie.",Killing Them Softly
2,SnoopyStyle,Uninterestingly Talky,5,26 October 2013,"Three petty criminals rob a Mob gambling establishment. Confidence is lost and nobody returns to gambling. Jackie (Brad Pitt) is hired to take down the robbers. He takes on suspected robber Markie Trattman (Ray Liotta). He figures even if Markie isn't the robber, it's worthwhile as long as the gambling public is satisfied. Richard Jenkins plays Jackie's handler and James Gandolfini plays the boss.This takes place during the 2008 election and from the financial meltdown onwards. There is this running connection with the real world politics of the day. Filmmaker Andrew Dominik is constantly injecting news coverage of political speeches. This is both annoying and distracting. I understand the connections. He didn't need to hit us over the head with it. The only good part is that it leads to a fun little speech from Brad Pitt at the end. It's a puny reward for so much investment.I didn't find any of the original robbers that compelling. They end up being minor characters which puts into question why they are so prominent for so long in the movie. It makes the first section ultimately unimportant. And the interactions between Brad Pitt and Richard Jenkins and Gandolfini were unsatisfyingly talkative. The film lack the energy needed for those dialogs.",Killing Them Softly
3,Prismark10,The soft landing,6,16 November 2013,"When Brad Pitt was a rising star around 20 years ago, he appeared in a smaller scale film directed by Robert Redford. At the time Pitt was touted as the next golden boy of cinema to follow in the footsteps of Redford.A decade later both Pitt and Redford appeared on screen for the first time in Spy Game. Redford admitted at the time he wanted to see how Pitt had progressed as an actor in the intervening 10 years.It will be true to say that Pitt has followed the Redford play-book somewhat. He has realised there is more to being just a movie star and look for the next box office popcorn hit. Pitt has taken on risky projects from Fight Club, Seven and Babel to crowd pleaser's such as Ocean's 11 trilogy or Mr and Mrs Smith.Killing me Softly is a film noir and an independent film with political nuances which merge as the film concludes. Its setting is the autumn of 2008 during the banking crisis and US Presidential elections as we see extensive news clips throughout the film.Pitt plays a hit-man called Cogan who is hired by the mob to rub out two hoods who robbed a poker game. Cogan likes to kill his victims without warning so not giving them an opportunity for fear or despair. An act he describes as killing them softly.The film is a low key affair. There is plenty of swearing, violence and Pitt although being the main star is actually a part of an ensemble piece.James Gandolfini, Ray Liotta and several others all have scenes to shine although the actors playing the two hoodlums quickly get irritating. You actually cannot wait for them to get shot. Sam Shepard makes an all too brief cameo.The film's noirish plot can become a little confusing if you do not pay enough attention. The violence might be off putting for some. Other's might be left flummoxed as to why we have so many news stories on the financial crisis and the US elections.It rewards you at the end but the message sort of got lost in the violence and stories of bad guys many who have no redeeming features.",Killing Them Softly
4,claudio_carvalho,"America is not a Country, It's a Business",5,7 November 2020,"In 2008, the crook Johnny Amato (Vincent Curatola) plots a plan to rob a Mafia card game managed by the rogue Markie Trattman (Ray Liotta), who had stolen his poker game in the past using two men. He hires the smalltime thieves Frankie (Scoot McNairy) and Russell (Ben Mendelsohn) to do the job expecting Markie to be the prime-suspect of Mafia.However the Mafia hires the hitman Jackie (Brad Pitt) to resolve the problem and he explains to his mobster contact Driver (Richard Jenkins) that he believes that Markie is not responsible for the heist but should die to be an example to the street to prevent further heists. Soon the heroin addicted Russell discloses his participation in the heist to the drug dealer Kenny Gill (Slaine), who is connected to the Mafia and gives the information to Jackie. He discovers the responsible for the heist that begins his job killing them softly.""Killing Them Softly"" is an American film with a great cast that does not work very well. The action scenes are violent and well made, but the pace and most of the dialogs are boring. The best dialog in the last scene, when Jackie is collecting his fees with Driver that tries to reduce them, while Baraka Obama is giving his election speech on television. My vote is five.Title (Brazil): ""O Homem da Máfia"" (""The Man fro Mafia"")",Killing Them Softly
5,nogodnomasters,HOPE AND CHANGE: THE METAPHOR,10,18 April 2018,"Johnny Amato (Vincent Curatola) runs a dry cleaning business and is a low level crime entrepreneur. He hires two guys to rob a poker game filled with organized criminals. Frankie (Scoot McNairy) is the lead robber, a man who is a Steve Buscemi type. He has help from an unkempt Australian junkie friend named Russell (Ben Mendelsohn), who walks pets for a living. He hopes to be a drug dealer to change his life.The reason why they believe they can get away with the job is because Markie Trattman (Ray Liotta) had done this job once before. He will surely be blamed. After the job is pulled, hitman Jackie (Brad Pitt) is brought in to sort things out and make things right. Jackie is thoughtful, soft spoken, and cynical. Since he knows Johnny, he hires Mickey (James Gandolfini) to do the job, a man who has multiple issues.There are a number of things which set this film apart from other crime movies. First is the dialouge. It is clear the people are uneducated, except for Jackie who speaks as if he lives in two worlds. The ignorance of the robbers is brought to light when they wear bright yellow cleaning gloves to perform their task.The second aspect is the background sound on both the radio, TV, and jukeboxes. It is the macrocosm of what is happening on the screen, and sometimes in an ironic fashion. The time period is the 2008 election season during the financial collapse. We hear ""restore confidence in the financial system"" and ""it's all too familiar"" on the radio when Markie is about to take the fall. Every time ""B"" actor Ray Liotta got punched or kicked, I would think, This is for ""Entitled"" or This is for ""Ticket Out."" Here is one for ""The Son of No One.""The symbolism of the background announcements is brought to light at the end, in case you failed to catch it in the opening scene. A smart film for people who enjoy crime dramas.Parental Guide: F-bombs, no sex, no nudity. Blood splatter, killing, beatings.",Killing Them Softly
6,kosmasp,"No big bang, but more than rock solid",8,4 July 2013,"You can be excused if you are disappointed after watching this movie. The poster and I think most ads did create an image that the movie actually can not live up to. This is not a generic action movie. There is nothing ordinary about this movie and it is not meant to be just ""fast food"" consumption. What it is though, is a class A drama, with some exquisite acting in it.James Gandolfini alone is worth the money (and time) you're about to invest to watch this. That is if you're interested in character driven story telling, rather than an all out action movie. There are quite a few fine moments, that superbly underplayed (Jenkins with Pitt to name one pairing outside the already mentioned Gandolfini thing).Unfortunately Mr. Soprano himself is not longer with us, to grant us performances like this, but we can hope that Brad Pitt might explore more diverse roles (he's in a zombie movie now, who knows what's next). Great acting, great not conventional story telling, if that sounds like something you might be interested in, dive in!",Killing Them Softly
7,classicsoncall,"""You know this business is a business of relationships.""",8,2 December 2012,"I don't even have to read the negative reviews (but I did) to know what they're going to say - too much talk, not enough action, undeveloped characters, no story, too confusing and on and on. It's almost precisely why I found the picture so fascinating. Set against the backdrop of the 2008 financial meltdown and the presidential election cycle, the mob business is undergoing it's own downturn, made worse when a free lance criminal (Vincent Curatola as Johnny Amato) hires on a couple of hit men to duplicate a staged robbery that Markie Trattman (Ray Liotta) successfully pulled against himself to set up the story. The picture takes it's own sweet time to develop the characters of Frankie (Scoot MacNairy) and zoned out partner Russell (Ben Mendelsohn) in a buildup to the actual heist, putting the mob on defense in a protracted cat and mouse game over who's going to pay for this latest indiscretion.I read a couple reviewers who were of the belief that Brad Pitt was making a political statement here as a noted Hollywood liberal and supporter of the President. Let's keep something in mind, Pitt's an actor and he didn't come up with the script. In fact, Pitt probably had to choke down his dialog in the final scene when he confronted the mob lawyer (Richard Jenkins credited as Driver in the story) after checking his payoff - ""I'm living in America and in America you're on your own"". Meaning that he expected full payment for services provided after intermediary New York Mickey (James Gandolfini) crapped out on his end of the deal. The message was a decidedly capitalist one, and if the picture had gone on, I'm pretty sure Jackie Cogan (Pitt) would have been made whole one way or another.In my estimation, the film's best sequence occurred when Jackie performed the hit on Liotta's Markie character. Done in extreme slow motion and highly stylized, the scene is destined to be a classic of mob movie inspired violence. One might even say there was a distinct poetry to rubbing out Markie Trattman. Jackie's other victims weren't done quite as creatively, let's just say he was efficient at his job. Come to think of it now as I write this, there wasn't too much 'softly' about it either.Anyway, going in one should temper expectations against one's preferences in movie styles. Characters and dialog are my thing and this one delivered along with the expected violence. I'd put it up there with some of the year's best output.",Killing Them Softly
8,tavm,Brad Pitt's Killing Them Softly was a pretty interesting slow-moving thriller,8,18 December 2012,"Okay, I didn't know this was shot in New Orleans, where I only live a 2-hour drive from. So with that out of the way, I found this film pretty interesting to watch though like my movie theatre-working friend, I agree it was pretty weird. Still, I liked that since I'm usually tired of the more conventional movies we usually watch when we go out. I mean, not seeing Brad Pitt, the film's supposed star, until about 20 minutes in was not too much a surprise to me since I knew this was more of an art-house film with the dialogue meant to address certain philosophical issues or maybe the political landscape at the time since this takes place just before the 2008 election as evidenced by all the G.W. Bush and Obama footage. Also interesting use of vintage recordings and slo-mo scenes concerning shootings and beatings. Really, I'm glad I saw Killing Them Softly even though I know it's wasn't the most exciting thing to watch. Oh, and I liked Ray Liotta and James Gandolfini, also.",Killing Them Softly
9,edwagreen,Killing Them Softly **,4,9 November 2013,"As the economy collapses in 1988 right before the presidential election, the criminal element faces their own calamity when a big card game is robbed.As a big gambler, who once created his own robbery, Ray Liotta sustains a tremendous beating before being shot to death. Brad Pitt, excellent here, is hired to rub out the other participants. Liotta had nothing to do with this, but business is business and so goes suspicion with it.Richard Jenkins plays a calm, collective mob attorney who makes arrangements.In a supporting role, the late James Gandolfini is excellent as a hit-man too consumed by booze to carry out his part of the plot.The theme here is that business is business and that wrongs have to be corrected is weakly shown here.The abrupt ending to the movie doesn't help either.",Killing Them Softly
10,michaelRokeefe,A hit man's hit man.,6,7 May 2014,"This crime drama is a bit slow at times, but harsh violence in sporadic sequences saves KILLING THEM SOFTLY. Markie Tratmann(Ray Liotta)hosts high stakes mafia-sanctioned poker games and has already been broken up once with a robbery in this time of underground economy tanking. Two incompetent small time crooks, Frankie(Scott McNairy)and Russell(Ben Mendelsohn), decide to steal from one of those poker nights in hopes of it being blamed on Markie. At first it is, but then Driver(Richard Jenkins)representing the local mobsters hires the hit man's hit man Jackie Cogan(Brad Pitt)to investigate the robbery and track down the two witless crooks and make them pay for their stupid deed. Jackie is a methodical madman; calm, cool and intimidating. And oh yes, a very deliberate and successful dealer of punishment.America is not a nation or community; it is a business. And sometimes business is calculated and crass. The featured violence is brutal and graphic. Some very strong sexual reverences that border overkill. Pitt may have taken the money and ran; his performance didn't seem hard pressed. Just a smooth and believable role. Also in the cast: James Gandolfini, Vincent Curatola, Max Casella and Sam Shepard.",Killing Them Softly
11,sunwarrior13,Manages To Entertain,9,7 April 2013,"Killing Them Softly is a neo-noir crime film based on the 1974 novel Cogan's Trade by George V. Higgins.It stars Brad Pitt together with Richard Jenkins,James Gandolfini,Ray Liotta,Scoot McNairy and Ben Mendelsohn.It was directed by Andrew Dominik.In the past, Markie Trattman, the proprietor of a criminal poker ring operating in an unspecified New Orleans neighborhood, decides to orchestrate an inside job by paying two men to rob his poker room. He holds up under questioning by the hit-man Dillon, although he later openly admits his involvement to various criminal figures; he suffers no retaliation. Amidst the American financial crisis, a man named Johnny ""Squirrel"" Amato plans to rob Markie's next poker game, anticipating the mafia will blame Markie for the heist. He enlists Frankie, a naïve, former business associate with a boy's voice, and Russell, an unstable heroin addict who is stealing purebred dogs for money, to perform the robbery. Upon completing the crime, Russell travels to Florida to sell the purebred dogs.Driver, an emissary for the mafia, converses with a hit-man named Jackie Cogan. Although Jackie understands Markie was uninvolved in the aforementioned heist, he believes Markie should be murdered in order to restore the mobsters' confidence in the local gambling scene. The dialogue is sharp and so are the performances. Andrew Dominik directed this neo-noir in a low-key comic style that's alternately gritty and fancy as he mixes conventional mobster mayhem with an unconventional take on gangsters caught up in the Great Recession. And with Brad Pitt as his ideologically enraged male muse hit-man, as if wandering in from Occupy Wall Street.Despite the fact that it is less satisfying than either The Sopranos or Goodfellas,it still manages to entertain the viewer as it is stylish, profane, intelligent, and eminently diverting.",Killing Them Softly
