,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,great character,8,8 February 2019,"It's the last weeks of eighth grade for quiet loner Kayla Day. Most of her socializing is video blogging to her few followers and constantly tapping on her cell phone. She is taken with bad boy Aiden. Popular girl Kennedy is forced by her mother to invite Kayla to her pool party. Kayla meets Kennedy's dorky cousin Gabe. The eighth graders go on a field trip to the high school where friendly Olivia is assigned to her mentor.This is a great character. The plot isn't special but it does have a realism. I got concerned with the arrival of Olivia around the midway point. It felt like it was going away from the awkward loneliness of hormonal teendom until that creepy car ride. I would save the confrontational climax to another target rather than Kennedy. She's stuck up but she doesn't really deserve the big blow up. Also Gabe is not interesting enough to do the Sixteen Candles ending or at least, give him the Rick & Morty connection at the pool. Despite my differing opinion, this is a solid coming-of-age movie for a new generation.",Eighth Grade
1,jboothmillard,Eighth Grade,6,20 May 2019,"Film critic Mark Kermode on BBC News - The Film Review said he loved this film, and that it was one of the most realistic coming-of-age movies in many years, I was looking forward to seeing it after many positive opinions. Basically at Miles Grove Middle School, a public school in the state of New York, Kayla Day (Golden Globe nominated Elsie Fisher) is a thirteen-year-old eighth grade student is finishing her final week before graduation. Kayla spends most of her time using social media, in particular posting motivational videos about self-image and confidence on YouTube, which get little to no views. In reality however, Kayla is very shy and struggles to form friendships, she is even voted ""Most Quiet"" in the student yearbook. Also, because of her reliance on social media, her single father Mark (Josh Hamilton) struggles to connect with her. Kayla is invited to a birthday pool party by her classmate Kennedy Graves (Catherine Oliviere), her mother forced her to do so. Kayla suffers an anxiety attack while at the party, but eventually comes out of the bathroom and goes outside to swim. After meeting Kennedy's eccentric cousin Gabe (Jake Ryan), Kennedy opens her birthday presents, she and everyone has little reaction to Kayla's present, a card game. Kayla tries to leave the party, but her crush Aiden Wilson (Luke Prael) suggests she rejoins the group, she overcomes her fear and volunteers to sing karaoke. Kayla hears that Aiden broke up with his last girlfriend after she refused to send him nude photos, she fabricates that she has a dirty photos folder on her phone, which grabs his interest. Aiden asks her if she gives blowjobs, and unsure of what to say answers yes, she later searches the internet of how to give oral sex and is disgusted. Kayla attends a high school shadow program, friendly twelfth grade student Olivia (Emily Robinson) shows her around. Olivia gives Kayla her number, and later invites her to the mall to have lunch with some friends. They enjoy themselves, but Kayla spots her father spying from afar, she is embarrassed and tells him to leave. Olivia's friend Riley (Daniel Zolghadri) drives Kayla home, and stops to initiate an awkward game of truth or dare. During the game Riley asks Kayla about her sexual experience, he takes off his shirt, and asks her to take hers off, she refuses, and he backs off, and continues to drive in frustration. Kayla returns home and breaks down; her father Mark comforts her. She later makes an online video to announce that she will no longer be making any more videos, she admits she is not the person she pretends to be and feels unfit to give advice. Kayla opens a time capsule she created for herself in sixth grade, it contains a UBS stick with her younger self questioning about her love life and friends. That night she asks her father to help her burn her time capsule and asks if she makes him sad, he says that he is proud of her and she could never make him sad, and she hugs him tightly. At graduation, Kayla decides to confront Kennedy for ignoring her, about her reaction to her birthday present, and acting indifferent towards her despite her attempts to be nice. Kayla later has dinner at Gabe's house, and they have a fun time together. Kayla makes a new time capsule which she and her father bury in the backyard, including a USB with a video message for her future self in high school to encourage her through tough times. Also starring Fred Hechinger as Trevor and Imani Lewis as Aniyah. Fisher gives a terrific naturalistic performance as the nervous and socially awkward young teenager, there are many embarrassing, cringe-worthy situations that the audience can empathise with and relate to, it is a slightly uneventful story, but the teenagers act and talk like real ones, and the use of ""Orinoco Flow"" by Enya is terrific, all in all it is an interesting and worthwhile comedy drama. Good!",Eighth Grade
2,evanston_dad,Cringiest Movie Ever?,8,5 November 2018,"What is that sound, you ask? It's the nearly audible cringing that accompanies every frame of ""Eighth Grade,"" an epic of middle school proportions.It's hard to know who cringes more: the film's protagonist, played in a pimpled blaze of glory by Elsie Fisher, or those of us watching her character navigate the landmine-riddled battlefield of adolescence. The film is painful to the extreme, but painful in that cathartic way that stories are when you know everyone has experienced some version of it. We've all been there and, for better or worse, most of us come out on the other side and live to tell the tale.My junior high experience was nowhere nearly as awkward and angst-filled as the one shown in this film, but I also didn't have to contend with social media and the additional pressures it puts on kids to be popular. As a 43-year-old man watching this movie, I most related to the dad, played winningly and goofily by Josh Hamilton. His father character tries awfully hard but is at a loss for most of the movie, one moment bonding with his daughter over some fatherly advice while in the next having bananas chucked at his chest. Seeing him try his best to make sense of that elusive thing known as the female teenage brain is pretty hilarious.Mostly (no offense ladies), this movie made me glad that I have boys instead of girls.Grade: A",Eighth Grade
3,blanbrn,A youth story of dealing with life and acceptance.,6,5 August 2018,"This recent film called ""Eighth Grade"" is one that's filled with growing pains and fun as it tries to take a viewer back to memories of their school days, when most remember it was a time when most tried to fit in and be popular. As with this tale it's a simple look at the life of a pimple faced teen Kayla(Elsie Fisher) who begins her year of 8th grade, and her life centers around facebook, twitter, instragram, and snap chat and texting on her I phone. And it's clear that she wants to be liked and popular and have friends and find the right boy. All of this is just an underbelly of learning life and growing up while dealing with dad and being a single child. Overall the movie speaks to emotions of life, struggle, and acceptance as that's the issues that all face while growing up.",Eighth Grade
4,Hellmant,I found almost everything presented in the film to be really relatable!,10,3 August 2018,"'EIGHTH GRADE': Five Stars (Out of Five)A comedy-drama about an extremely insecure teenage girl who's struggling with social acceptance, while finishing her last week of eighth grade and preparing for high school. The film was written and directed by actor turned first time feature filmmaker Bo Burnham. It stars Elsie Fisher, Josh Hamilton, Emily Robinson and Jake Ryan. The movie has received nearly unanimous positive reviews from critics, and I was pretty blown away by it as well!Kayla (Fisher) is an introverted and extremely insecure teenage girl, who's preparing for high school. She doesn't have any friends, but she really wants them, and she spends most of her free time on social media, and making YouTube videos explaining her social issues to others. Her father, Mark (Hamilton), constantly tries to help her, while still trying to keep the distance from her that Kayla desires. The entire film takes place during Kayla's last week of the eighth grade. The movie is a beautiful examination of what it's like to be a social outcast trying to fit in in middle school. I remember what that's like very clearly, obviously not from a teenage girl's point of view, but I still found almost everything presented in the film to be really relatable. It's funny, and completely believable. It's also very heartbreaking, charming and touching; I cried tears multiple times while watching it. I definitely highly recommend it, to everyone.",Eighth Grade
5,cherold,Frighteningly real,8,27 November 2018,"I've never seen a high school movie that reflects my experience as an adolescent, but I've seen two junior high movies that do; the dark, despairing Welcome to the Dollhouse, and the painful but at times hopeful Eighth Grade.Eighth Grade follows a bright, pimply, painfully shy girl as she maneuvers through the real world while creating a confident false front in a series of YouTube videos no one watches. She is, like all young people, narcissistic and mean to her parents (in this case her goofy, likable dad), but she is also admirable brave as she forces herself into uncomfortable situations using a fake-it-til-you-make-it approach I never had the nerve for.This movie feels very real. Nothing big happens, but a lot of little, interesting things occur, popping up like flowers or minefields. The lead actress is absolutely terrific, and unlike the aforementioned Welcome to the Dollhouse, this movie insists things don't *have* to be perpetually bleak, even though it doesn't promise they won't be.I've seen this billed as a comedy, but while it has funny moments, it's definitely a drama. It's also terrific.",Eighth Grade
6,Pjtaylor-96-138044,Gucci.,8,3 May 2019,"Unlike so many of a similar vein, 'Eighth Grade (2018)' isn't about 'kids gone wild' or 'the corruption of a constantly online world'. Rather, it's simply about a good person trying to figure out what it means to be herself. It's both a tender reflection and an in-the-moment snapshot, one that's not fuelled by nostalgia so much as empathy. It's wonderfully authentic and, as such, is incredibly relatable. There's nothing flippant about the flick, either. It comments on the internet, and social-media in particular, without being dismissive of it, never reducing social-media to some sort of blanket 'evil'. It's more nuanced than that, understanding where the root of most problems come from, and wholly accepts the world as it is. It tells a small story with small stakes that sort of seem non-existent - that is, until you remember just how big everything seemed when you were a child. Social anxiety as antagonist is a difficult thing to pull off, yet this does it almost impeccably. It also features one of the best father-daughter relationships I've seen on screen, one which culminates in a truly beautiful fire-side scene. Overall, the piece is pacy, nontraditional and entertaining. It's really uplifting, too. In some ways, it sort of functions as one of its protagonist's self-help videos: no matter how old you are, it tells you that everything is going to be okay. It's delightful. 8/10",Eighth Grade
7,ThomasDrufke,A Beautiful Slice of Life,9,14 August 2018,"The coming of age genre can typically one of two ways. It's either a pile of steeming garbage like The 5th Wave and Allegiant, or it's a profound masterpiece like The Spectacular Now and The Way Way Back. There's typically no middle ground. Eighth Grade is thankfully one of the ladder, and is one of the best films of 2018. Director, Bo Burnham, who is a social media/YouTube star on his own, makes a film about a young girl in the last week of 8th grade as she navigates peer pressure, physical changes, and just about everything else that comes with being in junior high. It comes at a perfect time, when our world is so devoured and obsessed with social media and the opinions & approvals of others, especially our closest peers. Elsie Fisher plays Kayla, the socially awkward but undeniably charming protagonist, and she gives the perfect performance. She balances those two characteristics effortlessly well and brings a certain amount of relatability to Kayla that is truly hard to find in actors. There isn't much plot or unique arc that makes the film as mainstream most coming of age dramas, but it's one of those slice of life films that provides a distinct take on a pivotal time in someone's life.9.0/10",Eighth Grade
8,Cineanalyst,Zits and All,7,30 January 2019,"""Eighth Grade"" is easily one of the most realistic movies that I've seen about teenagers. Largely, this is due to its acne-faced protagonist being played by Elsie Fisher, who, unlike many of the twenty-to-thirty-somethings that have populated so many other teen movies and TV shows, is an actual teenager. Most of the rest of the cast also appear to be age appropriate and, indeed, real middle-school students and teachers were employed as extras. One result of this is that the movie is even able to include a birthday pool party that isn't highly sexualized--thanks to its cast not being perversely populated by full-grown adults in swimwear masquerading as children. And a later sexual encounter comes off as genuinely awkward and creepy, as opposed to the usual Hollywood fare of adults portraying rapey and slutty sex-crazed teens.Such realism has its drawbacks, too, though, as the life of a normal eighth-grader isn't especially exciting to watch a movie about it. A lot of the narrative is merely Elsie Fischer's Kayla listening to music and with glowing face as she relentlessly texts and tours social media on her smart phone and laptop. Nevertheless, kudos to the filmmakers for not vainly trying to make photographing cell-phone and Internet use as supposedly exciting (a vomit-inducing, Emoji-filled scene from ""Crazy Rich Asians"" (2018) comes to mind as a recent example), and, in general, I appreciate the consistent tight camera focusing on the protagonist. As well, I cringed almost as much at Kayla and others' butchering of the English language with sentences that are little more than ""like, but, um, like"" as I did at her nervous social interactions. But, like, um, that's how many people--and not just kids--talk.On the other hand, ""Eighth Grade"" does contain a somewhat traditional arc of the usual girl-meets-boy fluff, including the relatively dorky and non-sex-obsessed boy she's supposed to wind up with (although, to be fair, the movie rather needed him to prevent itself devolving into an indictment against teenage boys in general) and, since she's only a kid, her non-romantic relationship with her father serves most of this usual dramatic function. Anyways, even though Kayla's main interest is motivational speechifying via notes posted around her room and in her journal and YouTube advice videos, which are actually thinly-veiled pep talks to herself, that the kid, at least, has some passion for life makes her a compelling character--more so, at least, than some of her peers whom we only ever see as either zombies interchangeably staring at their phones or offering blank expressions as reactions to others, or they're the sex-crazed teenage boys. Most of all, though, Fisher is excellent, with her authentic mannerisms and nervous habits, and her Kayla's social anxiety, from shyness around her peers to embarrassment over her devoted father, is a spot-on representation of adolescence.",Eighth Grade
9,cricketbat,"I hated eighth grade, but I really enjoyed Eighth Grade",8,25 January 2019,"If there is one word to describe Eighth Grade, it's genuine. This film doesn't try to hit the usual clichés of teen angst movies, it simply tells the awkward (and sometimes hilarious) truth of youth growing up in the modern era. Plus, the performances of Elsie Fisher, Josh Hamilton and the rest of the cast are refreshingly sincere. I may have hated eighth grade in real life, but I really enjoyed Eighth Grade the movie.",Eighth Grade
