,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Second-tier De Palma, but still worth a look",6,11 December 2015,"Director Brian de Palma's crime thriller is full of the expected Hitchcockian moments, from the murder viewed through a window (REAR WINDOW) to the hero's claustrophobia (a basic equivalent of VERTIGO). Obviously it's not as classic as its various predecessors, but there are enough twists and turns in the tale to keep one watching. However, you need to have your brain firmly in gear to do so or you may find yourself getting a headache.The acting is all average, sometimes good, sometimes quite bad, but on the whole okay, and the film benefits from a respectable cast, some of whom (notably Melanie Griffith and Dennis Franz) have gone on to greater stardom. Although the film is best when working on the mystery aspects (the erotic moments are not handled too well), there is one excellent, striking set piece.The moment occurs when the young woman is about to be murdered with a huge electric drill, and the hero desperately races to her house to try and save her, only to keep getting stalled, while the murderer also keeps being held up. The tension, as to whether the murderer or hero will strike first, is sustained remarkably well through the quarter of an hour long moment and it literally keeps you on the edge of your seat until the final outcome. This moment highlights an above average thriller, which veers too far on the silly side to be wholly enjoyable, but still contains plenty of nice photography and sinister shots to raise its value.",Body Double
1,SnoopyStyle,De Palma and Griffith,7,5 January 2018,"Actor Jake Scully (Craig Wasson) finds himself suffering from claustrophobia and he's later fired. He goes home and catches his girlfriend cheating on him. He is befriended by Sam Bouchard (Gregg Henry) who offers him a place to stay. Sam shows him a telescope trained on a scantily-clad neighbor. He becomes obsessed with the woman and starts following her. She is Gloria Revelle (Deborah Shelton) and he comes to her rescue with a purse snatcher. He continues to spy on her when the thief shows up and murders her. Then he notices a tattoo on porn actress Holly Body (Melanie Griffith) that is the same as the one spied on Gloria.It's director Brian De Palma and Melanie Griffith as the Body. It's salacious and devious. I'm not sure that the premise completely works. There's no need for a false alibi with the Body. The alibi shouldn't work in the actual murder. I don't think the premise works but I'm not sure. Craig Wasson is a solid everyman actor although the role may fit better a matinee idol. He is the lead actor in the movie within the movie after all. Despite that, this is deviously voyeuristic and deliciously sexy.",Body Double
2,Woodyanders,"One of Brian De Palma's most engrossing, enjoyable and ingenious thrillers",9,16 March 2009,"Amiable down on his luck actor Jake Scully (a solid and likable performance by Craig Wasson) gets a job taking care of a posh Hollywood high-rise home by fellow thespian Sam Bouchard (splendidly played to smarmy perfection by Gregg Henry). Jake watches gorgeous rich neighbor Gloria Revelle (a sympathetic turn by ravishing brunette beauty Deborah Shelton) do a nightly striptease and becomes obsessed with her. After he witness Gloria's brutal murder at the hands of a mysterious Native American prowler, Jake decides to investigate said killing and soon discovers that there's more going on than meets the eye.Director Brian De Palma and screenwriter Robert J. Avrech concoct a dandy 80's thriller variant on Hitchcock's ""Vertigo"" and ""Rear Window"" that not only delivers the expected suspense and excitement promised by the clever and riveting premise, but also works as a smart and highly cinematic meditation on illusion, reality, voyeurism, and perception. De Palma shows tremendous skill relating various plot points through music and visuals alone. Moreover, he stages individual set pieces with tremendous panache: the grisly butchering of Gloria with a giant drill, a delightfully bawdy large scale musical production of Frankie Goes to Hollywood's gnarly hit song ""Relax,"" and a tour-de-force climax involving an open grave and a roaring river. Better still, this picture pokes sly self-mocking fun at both schlocky low-budget fright flicks and raunchy adult hardcore fare alike. The acting is uniformly tops: Wasson makes for an appealingly flawed and vulnerable protagonist, Henry oozes scuzzy charm, Melanie Griffith impresses with a superbly brash and winning portrayal of jaded porno starlet Holly Body, Guy Boyd steals the few scenes he's in as sardonic homicide detective Jim McLean, and Dennis Franz is his usual excellent self as slimy director Rubin. Popping up in nifty bits are Barbara Crampton as Jake's unfaithful girlfriend Carol, Brinke Stevens as an extra in a porn film, and Slavitza Jovan (Gozer in ""Ghostbusters"") as a clothing store saleslady. Stephen H. Burum's slick, fluid, glittery cinematography pulls out the gloriously outrageous stylistic stops: tilted camera angles, gliding Steadicam tracking shots, and dazzling 360 degree circular tracking shots. Pino Donaggio's lush, rousing, pulsating score likewise hits the spot. Essential viewing for both De Palma fans and thriller buffs alike.",Body Double
3,ccthemovieman-1,"Stylish, But Not As Smart As It Tries To Be",5,26 February 2007,"This was a wild, confusing - and extremely stupid - movie for the first 50 minutes BUT once the action kicks in and all the twists and turns begin happening, it's definitely a fun ride from that point. That's director Brian De Palma, for you: intriguing visuals, with Alfred Hitchcock- type camera angles, a lot of twists and sometimes a great movie and sometimes a very bad one. More often, sad to say, a bad movie.I'd have to rank this closer to ""bad"" than ""good."" I'd like to rank it higher but Craig Wasson's character, ""Jake Scully,"" (he's the lead) was so stupid at times that I almost stopped the tape. That, and too mean an edge overall to this movie, made it unappealing. It's not far removed from a very soft porn film at times, either, since the female lead, played by Melanie Grifftith, plays a porn star. We see a fair share of nudity, although it's hard to complain looking at a naked Griffith. Overall, it has style - De Palma loves that - but it plays like a film that that thinks it's smart, but doesn't connect to its audience.....sort of like Hollywood in general.",Body Double
4,rmax304823,Deja View,3,7 June 2002,"I think I just had what they call an ""epiphany."" It never occurred to me before, just as I'm sure it never occurred to anyone else, that there is a certain family resemblance between Brian DePalma's films and those of Alfred Hitchcock. Yes, it's true. For me, the dawn broke during the first half of this movie, when Jake freezes with fright upon finding himself in an enclosed space, in this case a fake coffin. The thought came to me unbidden that this was something like Jimmy Stewart's acrophobia in Hitchcock's ""Vertigo."" He finds himself falling in love with a neighbor of his. She's a brunette, okay, but she is one longlimbed lankylooking looselipped lovely.Wow. Her lower lip is adroop in a perpetual pout. He follows this young woman around, just like Stewart follows Kim Novak around. And the woman, Gloria, wears this totally outstanding signature white dress, just like Novak wears the gray suit. She has her purse stolen on a beach by an ugly-looking galoot, and Jake pursues him into a tunnel. Sure enough -- his claustrophobia prevents him from catching the thief, just the way Stewart's disability stopped him from preventing a mishap. And just as in ""Vertigo,"" this whole deal with the pursuit across the sand and into the tunnel, followed by Jake's tonic immobility, is a SET-UP, except that in this movie the snare is so exquisitely executed and timed that its rehearsals must have begun at a time now shrouded in the mists of antiquity. Hitchcock had a naughty fantasy about icy-looking blondes who would assault a man in the back of a taxi. DePalma has the notion that when Jake returns what's left of Gloria's purse to this woman, whom he first met one minute ago and with whom he's exchanged fourteen words plus one sigh, she wordlessly falls in love with him, smooches him mercilessly, and lets him half undress her in public. It happens to me all the time. While this breathless display of lust is taking place, the entwined couple and their background whirl slowly in opposite directions, just like what happened in Novak's bedroom in the Empire Hotel before they made love for the first time, and elegiac strings swell tumescently in the score, just like Bernard Hermann's in ""Vertigo.""But there's even more. ""Vertigo"" aside, Jake finds himself house-sitting for a stranger and soon he is watching his sultry neighbor doing the dance of one veil through a monstrous telescope, which reminded me immediately of Miss Torso bouncing around in ""Rear Window"" while Steward peeks at her through a telescopic lens. There are other echoes, of Miss Lonelyhearts and The Salesman's wife. By this time, halfway through the movie, my heart was racing alarmingly at the nearly religious revelation I was experiencing. DePalma and Hitchcock. Hitchcock and DePalma! Of course! How simple it all seemed in retrospect. But DePalma isn't really Hitchcock. The story gets pretty looped and twisted and even less logical than the master's. There is a gruesome death, gorier than, but not as shocking as Janet Leigh's in ""Psycho."" There is a long, completely silly musical interlude about shooting a skin flick. (THIS scene reminded me of Gene Kelly's Broadway Ballet in ""Singin' in the Rain"" because of Jake's goofy, loud, hick outfit, his horn rimmed glasses, and the den of iniquity his character finds himself in.) The acting is okay, no more than that. Craig Wasson is easy to identify with. Where is he? Melanie Griffith is pleasant to watch but her voice is unappealing, at least to me, because it can't seem to make up its mind whether to emerge as a rasp or a whisper. Deborah Shelton looks gloriously glamorous but on the evidence of her few lines here doesn't seem like a powerful actress. The photography is superlative, though. What an easy movie to look at. The musical score is vintage Hermann. But I don't mean to be too hard on the film. It has one unusual thing going for it that lifts it out of the ordinary. Annette Haven is listed in the credits. I sat through the whole thing looking for her but missed her. Realizing this, as the end credits began to roll, I felt my mystic experience had been blunted.",Body Double
5,BA_Harrison,Me and Body Double go way back.,7,9 February 2014,"Many years ago, when I was in sixth form, I reviewed Body Double as part of the college video 'magazine', which was shown to bored students during lunch hours (usually one or two desperate souls who would do anything to get out of the cold). I included a lengthy clip—the film's gruesome power-drill murder—to accompany my review, but the scene was later excised at the insistence of the head of the audio-visual department after he showed it to his overly-sensitive wife and she threw up. I had liked the film to start with, but my first-hand experience of censorship during the Draconian '80s only made me like it even more!Director Brian DePalma's 'inspiration' for this trashy, nonsensical but irresistible murder mystery is, once again, the work of Alfred Hitchcock, most notably Vertigo, Rear Window and Psycho, the protagonist suffering from an irrational fear (claustrophobia) and partaking in voyeurism, with the seemingly central female character meeting a grisly fate well into the film. DePalma also seems to have been taking note of the Italian horror scene, his work frequently resembling that of the 'Italian Hitchcock' Dario Argento, whose movies often feature similar free-wheeling narratives devoid of logic and dizzying camera-work. But while originality is definitely not Body Double's strong point, the film is simply too crazy not to enjoy.Craig Wasson stars as struggling actor Jake Scully, who finds himself suddenly homeless after discovering his girlfriend carol (played by 80s scream queen Barbara Crampton) in bed with another man. When fellow thespian Sam Bouchard asks him to house-sit an exclusive Hollywood apartment belonging to a millionaire, Jake cannot believe his luck, especially when he is shown the luxury pad's incredible view—of the hot brunette in the neighbouring building performing a nightly strip routine.Jake's interest in the mysterious woman quickly becomes an obsession, even more-so when he realises that she is being stalked by a sinister Indian. With too much spare time on his hands, Jake takes to following his sexy new neighbour, eventually encountering her face-to-face (literally—the pair have a snog and a fondle after the Indian steals her handbag and Jake gives Chase). Imagine Jake's horror, then, when the very next night, he witnesses the Indian attacking the woman in her home, but is unable to prevent her grisly demise (via the aforementioned power tool—one of the most impressive bits of DIY kit you're likely to find in a movie!).The police are soon on the case, suspicious of Jake's voyeuristic obsession but quickly ruling him out as a suspect. However, Jake decides to do a little investigation of his own after he notices Hollywood porn star Holly Body (Melanie Griffith) performing a routine uncannily similar to that of the now dead woman and begins to believe that she is somehow involved in the mystery.What follows is preposterous in the extreme, with Jake following Holly into the world of porn to find answers, even becoming a performer himself (in a riotous scene that starts with a ridiculous musical number from Frankie Goes to Hollywood); as Jake gets nearer to uncovering the truth, the film gets more and more unbelievable, but DePalma's impressive style, the spirited performances, lush Pino Donaggio score, frequent nudity (Griffith getting near naked for her role), shocking violence, and audacious finalé all add up to a whole heap of fun.",Body Double
6,moonspinner55,Sexual thriller circa 1984: back when our fantasies were still allowed to be sordid and kinky,4,29 November 2010,"Struggling B-movie actor with no place to sleep accepts an offer to house-sit for an acquaintance with an abode in the Hollywood hills--one with a great view of the city and also of the sexy female neighbor across the way (who has a habit of dancing provocatively in her window). Producer-director Brian De Palma also co-wrote the screenplay with Robert J. Avrech (based on De Palma's original treatment); it's a quasi-Hitchcockian thriller with the proverbial new-fangled bloodshed and body-baring. De Palma doesn't appear to have a conscience when it comes to aping The Master--however, upon doing so, he proceeds to overload his derivative scenario with tacky modern elements (all of which cause ""Body Double"" to look far more dated than, say, ""Vertigo"" or ""Rear Window""). Still, Melanie Griffith is an undeniable presence as porn actress Holly Body; her poison-lipstick decadence and dryly unaffected demeanor are a tantalizing combination, and she's far more interesting than her male counterparts. *1/2 from ****",Body Double
7,dbdumonteil,"the son of ""Vertigo"" (1958)",5,31 May 2007,"An unemployed actor, Jake accepts the offer from a friend to put him up in a luxurious flat where with a telescope, he can admire and fantasize about a female neighbor who languorously takes her clothes off. It's the same ""show"" every night. But it's the start of a perverse game which will prove to be infinitely more dangerous for him and will catch him in the heart of a big conspiracy.""Body Double"" is a piece of work that bears the seal of its auteur Brian De Palma. Manipulation and voyeurism are once again the two unifying threads of this effort and called upon to play with the hero's nerves and even the audience's.Unless you've never heard about him, it's blatant that De Palma went for a new ride in Hitchcock universe. ""Rear Window"" (1954) for the observation of the female neighbor and as the Master said: ""don't start to spy your neighbors, it can get you into trouble"", ""Psycho"" (1960) for the sparse cinematographic writing and the somber story of doubles and especially, the shadow of ""Vertigo"" (1958) hangs over the whole film. The scheme of ""Body Double"" is practically identical to Hitchcock's masterpiece. In the 1958 film, James Stewart suffered from vertigo. Here, the hero is claustrophobic and the replacement is done.Then, De Palma's effort includes features that are common to his films: a main character suspected of a murder he didn't commit and who has to manage all alone to find the culprit and to exempt himself. An actress of X-rated films who isn't depreciated and ends up helping the hero even if at first, she thinks he's crazy. To shot his incredible adventure, De Palma has recourse to a sparse directing with taut camera work to fuel suspenseful sequences like the very long one when the hero follows Gloria. To increase the interest, the filmmaker interspersed his work with bombastic visual effects and there's the rub. These tricks besmirch the film and its story, notably the second part after Gloria's murder (a would-be creepy sequence that turns out to be farcical). And one can't skip on certain disputable steps of the plot: is it sensible from De Palma to make Gloria and the hero kiss each other after the latter didn't manage to arrest the killer? The two people don't really know each other. And in the second part, how can Jake precisely identify the woman who made her striptease in the neighboring flat? Many women must have an identical act.Because of his hateful penchant for visual excesses and a lack of rigor in the story, the student doesn't match at all the Master. I say it: De Palma's finest efforts are the ones exempted from extreme effects like ""Sisters"" (1973) or ""Obssession"" (1976). The latter being ""Vertigo""'s truly legitimate son.",Body Double
8,Quinoa1984,"De Palma's lurid and outrageous thriller hits all the right marks as more of a satire or parody than a full-on thriller, and magnificently so",10,4 July 2007,"With Body Double, Brian De Palma has another of his ""Hitchcock rip-offs"", but in quotes as it's the easy critical thing that's already been said by others. The film is really a lot more cunning than that, and has a level of cunning wit that one could more associate with De Palma's early comedies that felt very much about skewering the style being homaged as opposed to incurious methods. If one looks at it as much as a big wink and a nod to films like Rear Window and especially Vertigo, with a lot of direct jabs at Hollywood and the whole method of acting and pretending, there's a lot on the table. It's also tasteless in its outrageous depictions of sensuality and seduction, not just sex which gets a lot of wicked moments that veer almost totally into what's being made fun of, and has a huge ""gotcha"" ending that works specifically for its shock value. It's own self-consciousness is a huge asset, as when De Palma is at his best or at least most assertive, in this case pushing the taboo of mixing regular dramatic fiction with soft-core porno to a limit with glee.It's not even that one can't take it sort of seriously as a work of kind-of pop-art, as in taking in the outlandish brilliance of a much better-than-average paperback book, because De Palma is on his toes the whole time in crafting a melodramatic thriller. There's even an experiment in tension which starts as an long homage to the 'following' sequences in Vertigo, but then building to a high crescendo and then to another. In fact, Body Double is silent for a lot of the time, but as something that is worked into the main character. Craig Wasson is a perfect foil for the events that unfold around him as the ""witness"" to all that comes before his watchful eye in a befriended man's apartment. In what is, to be sure, fairly typical material for the director with the basics of the substance, the story calling back to Hi, Mom and Sisters especially (hence as well the connection to the knowing dips into comedy, of which both of those could be considered as), though this time the 'hero' is a of weakling with panic attacks at the moment to act, albeit already an actor. A murder is witnessed following a pivotal plot point and high-flying moment of romance (again, calling attention to its over-length), then the dive into porno comes around.It's trashy, sure, but why shouldn't that make it more enjoyable if one's to get the kidding and sharp sensibility after a while? Wasson, looking a bit like a double of Bill Maher sometimes, has the expression of terror in his eyes, and a kind of strange guts needed to pull off a hilariously flawed pawn. De Palma also intentionally casts to type with both women and the villains, one for each being more deceptive (i.e. Henry's Brouchard and Shelton's Gloria, who are very much like ""movie"" caricatures from the craftiest and most seductive of film-noir), and with one 'villain' called the Indian, donning a face that's a riot just to look at, who at one point engages in a murder including the most blatant phallic imagery in any murder scene from the filmmaker. But, again, it all works exceptionally for rhythm and a sort of momentum build into even the smaller moments. As cheesily 80's as it is, I loved the whole music video Relax, where occasionally as De Palma almost makes us forget that a movie is being shot within this scene, the camera shooting Wasson and Griffith comes into view in a mirror. But that's just a sly joke, as opposed to the scenes where suspense and humor get the back and forth treatment, where you aren't sure whether to laugh or cringe or look at the screen through closed fingers peeking out.I can actually understand some of the negative criticisms of Body Double. I probably wouldn't be so forgiving of it being so proudly 'B-movie' while appearing to be a big Hollywood crime-drama, if I wasn't at least intrigued on the outset from the sensibility behind it all. 'Guilty Pleasure' comes to mind as a defense, but I should digress into what it really comes down to- either you'll go along for a De Palma atmosphere that is wild and cynical and full of rough-edges, or you won't. In other instances with the director I've gone for the latter, but this isn't one of them. One of the best of 1984.",Body Double
9,Coventry,Dull and unappealing fan-boy stuff,3,13 August 2005,"Brian DePalma's ""Body Double"" isn't a very good thriller, in fact, the only REALLY disturbing thing about it is the director's own and always-increasing obsession for Alfred Hitchcock's persona. Fans of DePalma (and I know there are a lot) will never admit this, but you can't refer to his work anymore as being homages to Hitchcock. What his films really are  and ""Body Double"" is the most obvious example  are desperate supplications to be regarded as Hitchcock's number one acolyte! The story is an simple re-telling of both ""Vertigo"" and ""Rear Window"" (set in the Hollywood porn scene) but DePalma's devotion to the Master of Suspense also shows in many other, smaller trademarks like camera angles and characterizations. The actual film is quite fatuous and takes off incredibly slow... You can easily skip the first 45 minutes without missing out on the 'essence' of the story; namely a loser-actor who's too easily framed for murder because of his many weaknesses like claustrophobia and voyeurism. ""Body Double"" never becomes compelling and doesn't evoke emotions of involvement, simply because the main character is such an antipathetic and miserable guy. You can't possibly cheer for him, on the contrary, I was secretly hoping that his fate would be merciless. The pivot murder-sequence is inappropriately and tastelessly gore (beatiful Deborah Shelton is butchered with a huge drilling machine) and totally doesn't fit in the wholesome of the film. Considering the story takes place in the porn-underground of Hollywood, ""Body Double"" throws in quite a bit of sleaze and nudity, yet the quality-level of this film never surpasses that of an ordinary soft-core-flick starring Shannon Tweed or, even worse, Shannon Whirry. Remotely positive aspect is the music by Pino Donaggio and the supportive role of Denis Franz as the porno-director.",Body Double
