,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"This kingdom has enough magic to make one want to visit, if not quite stay",8,13 November 2017,"Having seen Sean Baker's previous films 'Starlet' (2012) and 'Tangerine' (2015) in preparation for seeing 'The Florida Project', there were high expectations seeing as both of those films, while not quite perfect, were very good indeed.The same also goes for 'The Florida Project', after seeing it and not being let down, being more or less what was expected. Not quite one of my very favourite films of 2017 (although actually it very nearly was), but as far as a wildly inconsistent year for film goes to me it's in the better half. It is hard to say which is my favourite or least favourite of 'Starlet', 'Tangerine' and 'The Florida Project', because they are as good as each other and are very good films in their own way. They have the same strengths pretty much and have very little wrong, at the same time it is very easy to see why they haven't connected with everybody.Perfect 'The Florida Project' isn't. Some of the tonal shifts feel a bit forced and abrupt and, although the final act in general is emotionally intense, count me in as another person who was underwhelmed by the ending, which for my liking felt tacked on, tonally jarring and strains credulity too much.On the other hand, 'The Florida Project' has a lot to like. While not as visually unique as 'Tangerine', it's a good-looking film that manages to make a less than attractive setting actually visually appealing somehow. Like with 'Starlet', while it may take some getting used to for some, the sunny and slightly bleached colours and slightly (but deliberately so) off-kilter but very naturalistic filming (that's very evocative and not amateurish like it can be easily mistaken as) was very striking. Appreciated the subtlety of the music, instead of having constant bombast which would have been wrong here.Like 'Starlet' and 'Tangerine', the writing shines once again. Standouts include the ominous tension between the child and adult worlds and the emotional intensity of the final act, that would have resonated even more if having the very ending scene in keeping with the rest of the film. There is a healthy balance of amusing humour, joyous wonder, charming warmth, understated sweetness and touching drama. The story likewise, it really made me feel warm inside, it made me laugh, it surprised me, it charmed me and it moved me.Baker continues to grow as a director, building even more upon the rich texture and intimate detail seen in particularly 'Tangerine' (both there in 'Starlet', but felt deeper with each succeeding film).Acting is uniformly good. Not just from the most well-known name Willem Dafoe giving perhaps his best performance in years, but also from Bria Vinaite giving a performance of searing intensity and especially an astoundingly mature beyond her years Brooklynn Prince who deserves to become a star after this. There is an improvisatory feel at points but this came over very naturally which is pretty incredible really because not everybody is comfortable with improvisation.In summary, a very good film but, despite the positive critical reception, like Baker's previous films it will divide audiences (already has). 8/10 Bethany Cox",The Florida Project
1,SnoopyStyle,Disney ending,8,11 March 2018,"Moonee is a young girl running around her Florida neighborhood with her friends. She lives with her mother Halley in a budget motel near Disney World. Halley does petty scams to pay the weekly rent. Bobby (Willem Dafoe) is the hotel manager who has a paternal respect for the girls. It's a world of passing tourists, and the working poor.This is an indie from exciting new filmmaker Sean Baker. Bria Vinaite and Brooklynn Prince are compelling newcomers. It has a nice cinema verite vibe. I don't know how Dafoe got involved but he's terrific as always. It's an entrancing watch although it does ramble around. There is no obvious plot or destination but it fits the characters. They live aimless lives. There is obvious pending doom awaiting this family. I don't know about the girls running to Disney World. It needs more setup to have a better payoff for that ending. Quite frankly, the pedophile has more setup than Disney World. It's understandable to do that ending but the audience needs preparation.",The Florida Project
2,Horst_In_Translation,"Good all around, even stellar at times",6,17 March 2018,"The 110-minute ""The Florida Project"" (sounds more like a sci-fi action movie from the title) is the newest work by writer and director Sean Baker. I am not sure if I have seen any of his previous films, but his effort here makes me want to. It's the story of a young girl told from the perspective of a young girl and we see how she spends time with her friends at a hotel during the summer holidays, but it is not a trip or something. Actually it is her mother living there and poverty is a big issue in this film. With the exception of the very end, it is almost a plotless movie. It is much more about individual situations and the atmosphere attached to these situations than really about telling a story, which means that most of the movie could have been randomly put together in a different order and it still would have felt chronologically. A lot of the film feels really harmless as we see it through the eyes of Moonee, the girl at the center of it all, even if it may not be harmless at all as we find out near the end when tragic events happen in quick succession. And still, the very last scene and final shot are a bit of a flight away from the problems and back into happiness once more before reality strikes inevitably. I like Willem Dafoe and it's nice to see him nominated for an Oscar again. He was a frontrunner at times, but maybe eventually the real significance is missing as these more serious moments, for example when he takes care of a pedophile, are the ones in which he shines the least, even if they are character-defining too obviously. It's more the heart of his character that makes his performance so special, similar to Bridges in ""Hell or High Water"" recently.And while everybody is talking about child actress Brooklynn Prince, I myself would rather talk about Bria Vinaite, who is not just breathtakingly stunning in here, but also gives a heartbreaking portrayal of a young woman trying to be a good mother while fighting all her inner demons, including drugs, violence and prostitution too. I want to talk about the one scene especially in which her character violently beats up her former best friend after she calls her a prostitute (actually the word which starts with wh...). We don't know if she started with prostitution at that point already, but if she did, then she really hates it and hates herself for doing it and also hates being humiliated because she does it. And if she didn't, then maybe she just thought everybody thinks she is a highly promiscuous anyway (the sl.. word you could say as well if you were allowed to), so who cares if she really does it. I found her portrayal really spot-on and touching and it would have been amazing if she could have scored an Oscar nomination too, or at least more awards recognition in general. I hope her excellent turn here gets her some good roles in the future. Yes, she was that good.With the screenplay not getting in at the Oscars and ""only"" Dafoe making it, the film ended up a bit underwhelming from the awards perspective. But it is still a really good work with scenes that easily could have made it a ****/***** and not just a ***/***** if they were more frequent. It is a success from the dramatic perspective, but also from the comedic as Baker's take on humor is very successful from start to finish: be it the woman from the agency at the end telling the girl to care and not fall down the stairs before she herself falls down eventually or the scene with the topless old woman and Dafoe's comment that it's so hot already and the kids can't take any more hotness. This was a truly funny film at times and a big success in my opinion. And eventually, there is of course at the very center of it all the take on childhood, the innocence that comes with it and maybe also the loss of innocence that the central character may have on her mind for the rest of her life when remembering this particular summer. I also liked the way in which they included her new best friend, initially the daughter of an antagonist, but harmony and friendship arise quickly when people are in similar situations. And yes, after all it's really just kids. The difficult parallel between finding happiness in the face of poverty is omnipresent during this film and it may have been where the movie succeeded the most and with how well this parallel fits in with our current times and economy, there is just one more reason to check this film out. It never drags and that's always a success for a film closer to two hours than to ninety minutes and now you really should have enough reasons to see this little gem. I absolutely give it a thumbs-up and I am positive so will you after watching it. What are you waiting for?",The Florida Project
3,Prismark10,The Florida Project,7,30 August 2020,"A lady once told me in Orlando. Good ole Uncle Walt. He bought a piece of swamp in Florida and turned it into a tourist magnet. He must have done a deal with the devil as well. Disney World is the only bit round here that has never been directly hit by a hurricane.The Florida Project is set on the outskirts of Disney. Motels with long term residents who are way down the socio economic scale. Living in the margins of society when others around the world see it as a dream Disney destination.Moonee, Scooty and Dicky spend the summer very much left on their own devices causing mischief and mayhem with their wild behaviour. Other kids descend to Orlando to visit the theme parks. These kids make their own adventure as going to Magic Kingdom is not an option for them.They are joined by Jancey who has moved into the neighbouring motel with her grandmother.Mooney's mum Halley is an exotic dancer who after losing her job becomes an online sex worker. Halley would do anything to survive, selling knock off perfume in car parks to scalping park tickets. Halley would even literally fight for survival and at the end she is is at risk of losing Moonee to social services.Only Bobby (Willem Dafoe) the manager of the motel is protective of the kids knowing the grown ups are having a hard time to make ends meet.Director Sean Baker has made a low budget independent slice of life film. In the absence of Dafoe's casting you would think this was a drama documentary. Baker has coaxed astonishing performances from his young cast. It actually made me think how he managed to get such naturalistic acting from the kids.The film does not have much of a plot and it is still better than many routine films pumped out by Hollywood. It is about the kids living aimlessly who get into constant trouble. There is a scene where Bobby spots trouble and confronts a dirty old man. However Halley's deteriorating issues begin to take a toll on her and Moonee.There is an element of magical realism with the ending. I had no issue with it and whether it was literal, figurative or metaphorical.",The Florida Project
4,kosmasp,Results are in,9,1 July 2018,"First thing you have to know before watching this: This is not an easy movie. And it also has people in it, that you may not find likeable. You may even think badly about the kids involved at times (the ""pranks"" they do). But the movie itself is not judging. It almost feels like this is based on personal experience. As you can tell by me saying that, I did not read up on how the story came together, which is something I do to not get spoiled about what the movies are about, I'm about to watch and therefor can enjoy freely.Although enjoy may be a stretch use for some in regards to this movie. So while I was hesitant at first and had some issues with what was going on at the beginning, I more than appreciate the ways the movie challenged me. If that is not your thing, it's ok. The acting and the raw nature of the film (edit, cinematography, direction, script) are impecable",The Florida Project
5,lee_eisenberg,I bet that this happens a lot across the US,9,2 April 2018,"I had heard a lot about ""The Florida Project"" before seeing it, so I wanted to see it for myself. Probably the main thing that a person should take from it is that throughout the US there are people struggling, even in the shadow of major attractions (in this case Disneyworld). While the adults try to make ends meet, the children often run around unsupervised, occasionally doing dangerous things.While the tykes are the stars, the important plot points center on the adults. The motel manager (Willem Dafoe in an Academy Award-nominated performance) tries to strike a balance between enforcing the rules and helping the tenants. The main girl's abrasive mom (newcomer Bria Vinaite) clashes with everyone around her and does whatever she has to do to stay economically afloat (even things that get her in trouble with the law).I thought that the most effective scenes were when the characters walked by signs advertising something Disney-related. Here in what's known as the theme park capital of the world, the characters are barely making ends meet. Disneyworld certainly hasn't done anything for these individuals. It merely shows them what they can't have, even as tourists flock to the area and stay in the motel to go to that theme park.I recommend the movie. It's not often that we see a movie focusing on class issues. While watching I got the feeling that what it portrays happens quite a bit across the US. Definitely see it.",The Florida Project
6,jboothmillard,The Florida Project,8,8 July 2018,"When this independent film was released to DVD, film critic Mark Kermode was giving it a lot of praise, I only knew bits and pieces of its premise, so I was looking forward to it, directed by Sean Baker (Tangerine). Basically in the Magic Castle, a budget motel in Kissimmee, Florida near Walt Disney World, six-year-old Moonee (Brooklynn Kimberly Prince) lives with her young tattooed single mother Halley (Bria Vinaite). She spends most of her time during the summer unsupervised with her motel friends Scooty (Christopher Rivera) and Dicky (Aiden Malik), playing and causing mischief, scrounging and stealing from tourists, and getting in trouble. The three children are one day caught spitting on a guest's car, Dicky's father (Edward 'Punky' Pagan) restricts him from playing with Moonee and Scotty, his family later relocate to New Orleans, which saddens the others. While the kids are cleaning the car, Moonee meets Jancey (Valeria Cotto), who lives at the Futureland motel next door, she invites her to hang out with them. Bobby (Oscar, BAFTA and Golden Globe nominated Willem Dafoe), the manager of Magic Castle, is protective of the children, this includes one incident where an elderly man is acting suspiciously hanging around them, he threatens to call the police if the man returns. Halley is struggling to pay her rent, she tries to sell perfume to many tourists in parking lots, and she asks Scooty's mother, Ashley (Mela Murder), to steal food for them from the diner she works at. But Ashley cuts contact after discovering Moonee, Scooty, and Jancey set fire to an abandoned condominium. To make more money, Halley sets up an online prostitution profile offering her services, closing Moonee in the bathroom when she is with a client. Bobby notices the activity and applies restrictions on unregistered guests in her motel room. When Halley steals a client's Disney resort passes to sell them, the man she stole demands them back; Bobby sees him off but warns Halley that he will evict her if she continues her prostitution. Halley is desperate and approaches Ashley to apologize and ask for money, Ashley mocks her for her prostitution, Halley beats her up in front of Scooty. The next day, Florida Department of Children and Families (DCF) arrive to investigate Halley. She cleans up her room and gives away her weed, then takes Moonee to a resort hotel restaurant, charging the meal to a guest's room. When they return to the motel, DCF and the police are waiting to take Moonee into foster care pending investigation. Bobby overhears the commotion, but cannot bring himself to do anything, he just stands outside and smokes. Moonee runs away to find Jancey, they run away together to the Magic Kingdom at Walt Disney World. Also starring Josie Olivo as Grandma Stacy. Vinaite is great as the just about managing single mother, Prince is impossibly cute and brilliant as the mischievous daughter, and Dafoe is terrific as the kindly motel manager, the theme of childhood innocence and the clash between adult and child worlds are very evocative, it is emotionally intense, but there good-spirited and funny bits as well, a fantastic drama. Very good!",The Florida Project
7,Quinoa1984,"""I love you, too!'",9,21 October 2017,"A.K.A. Harmony Korine's SMALL CHANGE(?) Or a slice of Italian neo-realism if nearly everyone was unsympathetic. Or maybe a continuation of what Arnold was doing with American HONEY, a look at those who are white and poor and with nothing better to do than be walking, screaming examples of, frankly, why abortion should remain not simply legal but readily available if needed. Baker never passes judgment for a nano-second on anyone here - he probably realizes his audience may do that for themselves - and it creates a disturbing and yet extremely lively cinematic experience.This wouldn't be the same as a book or a play or an album - this is something that needs an active stedi/hand-held camera that can give us bright primary colors and on people at this ""Magic Kingdom"" motel, in particular this very young mother Halley, played by Bria Vinaite in her screen debut, and her innocent-and-bratty daughter Moonee, who are for the most part non-professional actors brought on to be as natural as they want to be - and Baker knows this intuitively. His skill as a filmmaker is giving us nothing but behavior; there are events that happen and do escalate to a climax (something that, frankly, I imagine a lot of people watching this will think it has to lead up to, or is one distinct possibility for where this may lead to), but because we are simply seeing these human beings up there on the screen doing things and acting in this way or that, getting into, err, ""shenanigans"" at the least and criminal acts at worst (and that's not uncommon), it adds to the impact.A lessor filmmaker might throw on a ""lesson"" of some kind, or make the ending a little more syrupy with the acting and music and less of an uncertain beat. Here, Baker is totally confident with his players, and knows Dafoe can act with all of them like it's anything else; why should playing off of them be any different than the major stars he's been acting off of throughout his career? His character, by the way, is perfect as far as nailing this sometimes affable but also take-no-s*** blue collar guy who lives in this life as a manager, maybe against his better judgment but, hey, it's a job (I've been at jobs where I've seen this exact guy, and he and Baker totally get it).It helps too that he's there simply for the fact that everyone else - the ""adults"" who are often terribly irresponsible, but it's in their nature so, so it goes, and the children who have been raised to precisely *not* be raised to do what they do - because he's... well, not a moral center, exactly, but someone needs to be there to divert the occasional old child molester or to tell the eccentric lady to cover up her boobs when sunning by the pool. It's a massive, towering performance where, let's put it this way, he makes himself as natural and loose and playful and WHAT ARE YOU DOING! as everyone else.A part of me thinks I should see this again sometime soon, to take in all of these episodes that Baker lays out, all of these actions taking place over a hot and sticky and beautiful and dangerous summer in Florida. At the same time it is a sharp rebuke to the American dream, as sharp and poignant and dirty as one can experience in the cinema this year. I think my reasoning for wanting to see it is to think: what does Baker want his audience to take away from this tale of children running wild and parents who are at best trying to get by (one parent *does* work as a waitress) and at worst are doing everything wrong for their kids? I think back to Harmony Korine because of things like Kids or Gummo, where the intention is to throw us into a specific (yet very familiar) part of America, where it's a combination of no education and no responsibility and no respect and yet... they're human beings, so how does one go for empathy for them? It's not about connecting with them, or... is it? I know I found The Florida Project thrilling, experimental, daring in how it doesn't LIE about these people, which may be all we can ask for, and it's directed and performed with total confidence. It's a beautifully made slice of rancid life.(PS: I'm still not sure I'm totally sold on the very end, where two characters (spoiler?) finally do visit the Magic Kingdom in the corporate/dream-like sense in Orlando, Florida - I do get the point of it, I get it, but it didn't satisfy me after all of the hardcore realism of what came before, not to mention how it shifts jarringly in the technical sense from crisp 35mm to iPhones) 8.5/10",The Florida Project
8,writers_reign,Taking The Mickey,8,26 November 2017,For once I seem to have watched the same film as the majority of those who have expressed an opinion here. I knew nothing about the film or indeed anyone associated with it either behind or in front of the camera with the exception of William Dafoe but when it opened in London I checked IMDb to attempt to ascertain whatever I could about it. What I read was mostly positive but I was disappointed when neither the National Daily paper I take nor the London Evening Standard deigned to mention it but chose to devote space to inferior - albeit 'commercial' titles. I found a strong documentary 'feel' though it was clearly scripted and acted brilliantly by largely non professionals. It belongs squarely in the 'indie' camp and very near the top. Well worth a second viewing but though more than worthy of Oscars it will probably have a tough time getting ignored.,The Florida Project
9,george.schmidt,Hilarious and heartwarming dramedy indie with career best for Dafoe and amazing debuts by rookies Vinaite and Oscar-worthy Prince,10,26 November 2017,"THE Florida PROJECT (2017) **** Willem Dafoe, Brooklynn Prince, Valeria Cotto, Bria Vinaite, Christopher Rivera, Caleb Landry Jones, Josie Olivo. Wonderful indie dramedy about a Florida motel manager (Dafoe in one of his best and surprisingly low-key, poignant turns) who attempts the daily rigors of his demanding job include keeping an eye on single mother Vinaite (a newcomer worth watching) whose downward spiral lifestyle brings some serious concerns for her free-spirited and hilarious precious daughter Moonee (an amazing natural debut the likes unseen since the heyday of Jodie Foster and Tatum O'Neal and if there was any justice an Oscar nomination for Best Supporting Actress; That Scary Good) causes daily jeopardy for the trio. Filmmaker Sean Baker (who collaborated on the well conceived script by Chris Bergoch) has the air of improvised documentary about his storyline eliciting some truly remarkable acting and a heartbreaking soul running thru it. One of the year's best films.",The Florida Project
