,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Clooney directing,5,25 December 2020,"It's 2049 in the Arctic Circle. A science station is being evacuated as an apocalyptic event spreads throughout the world. Augustine Lofthouse (George Clooney) is the only one staying behind since he has a terminal illness anyways. He is shocked to find a little girl left behind. Meanwhile, there is a spacecraft returning to Earth from an Earth-like moon orbiting Jupiter. The crew members are Sully (Felicity Jones), Adewole (David Oyelowo), Mitchell (Kyle Chandler), Sanchez (Demián Bichir), and Maya (Tiffany Boone). They are confused with their inability to contact Earth.This looks physically good but ultimately lifeless. In general, there are three stories being told. The flashback to young Lofthouse is rather unnecessary. It adds very little to his story. I assumed that Clooney may be trying to connect it with the little girl but that doesn't happen. The girl and Clooney hold the best part of the movie. The general premise doesn't make sense but if one ignores that, it actually works as a small adventure. There is no way that everybody would evacuate the base for certain doom. I just watched Greenland where people are killing each other for any small chance of a fractionally longer life. Having said that, one can ignore the flawed premise for the sake of the movie. That finally gets to the spacecraft section. It is the least compelling group. Clooney is doing a mix between Gravity and Steven Soderbergh's Solaris. He has great actors and wastes them with paper thin characters. It's a thriller trying to be thrilling and failing. It doesn't help that the ending is a story fading out to whatever. Only Clooney and the little girl serve as good movie material. Even there, the premise screws up the narrative.",The Midnight Sky
1,Hitchcoc,Off the Rails,6,24 December 2020,"OK. What happened. This movie's first half is really engaging. As Augustine and the little girl make their way to transmitting station, it works very well. The bond that develops is sweet and yet terrifying. What happens next plays fast and loose with the first part. I wish we had some idea what happened to the earth. Then there's that space ship heading home and lots of superfluous stuff. Very slow but not really introspective. I'm disappointed in this.",The Midnight Sky
2,nogodnomasters,Is there anybody out there?,7,26 January 2021,"Dr. Augustine Lofthouse (George Clooney) has a terminal illness and needs transfusions. He is spending his last days at the Barbeau Observatory on the Arctic Circle. In 2049 the Earth is dying and people are going home to be with their families to all die together. The spaceship Aether is coming back from K-23, a Goldilocks planet orbiting Jupiter. He is attempting to reach them to let them know not to bother coming back. Meanwhile a mute little girl was left behind and he finds himself caring for her.The film plays heavily on being with you family when you die. I am not sure if this is COVID influenced, but it made for a bittersweet story. Felicity Jones is actually pregnant in the film.Guide: No swearing, sex, or nudity.",The Midnight Sky
3,kosmasp,Out of this world,8,13 January 2021,"What does the future hold for us? What or where are we going to go? There are some plans I reckon, with an expiry date on this planet and/or our sun. Now this may be on the pulse right now (Pandemic and all), but also is far removed from us. At least ""geographically"" speaking.Still even though this is not close to home (sorry for the pun), it is close to the heart. You can understand what the characters go through, not just George Clooney, but the others too. There is quite a few things you can unpack here. There are many things that can be seen more clearly the second time you watch this (if you opt to do that). But there is also something the movie requires from you: Patience! This takes things slow! Which doesn't mean it isn't exciting! It is and there is suspense and tension and drama. But the pacing is quite slow to say the least, something not everyone might appreciate. Just be aware of it. The acting is superb though, casting great and while it may feel a bit too long (even for me), it is more than well done and gripping throughout (with an almost perfect ending)",The Midnight Sky
4,Sleepin_Dragon,A waste of talents.,3,22 January 2021,"I sat through Birdsong today, and I genuinely didn't think things could get any worse...... Ok so it wasn't at bad as Birdsong, this was at least beautifully acted, but as for story, tension and excitement, there wasn't any.If I could think of one word to describe this film, it would be dreary, it's just the most uninspiring, boring snooze fest I have sat through in a long time, what were they thinking?The script and story are unforgivable, I cannot find a positive thing to say about either.A waste of the talents of George Clooney, sure he's great, but performing well in a film that sucks, it's a bit like coating an organic fresh Brazil but in a cheap chocolate, why would you??I am desperate for a good sci fi horror/thriller, where have they gone?Boring. 3/10.",The Midnight Sky
5,jboothmillard,The Midnight Sky,5,28 March 2021,"I heard about this film when its producer and director George Clooney (Confessions of a Dangerous Mind, The Monuments Men, Suburbicon) was talking about it on The Graham Norton Show, then it was getting recognition during Awards Season, so I had to see it. Basically, in a post-apocalyptic future, scientist Augustine Lofthouse (George Clooney) has been working for years searching for habitable planets where humanity could expand. After giving a presentation at a gala, he meets British scientist Jean (Sophie Rundle), they form a romantic relationship. Following a pregnancy scare, Augustine became obsessed with his work and detached from bonding with other humans, resulting in Jean leaving him. Several years later, Lofthouse encounters her again and she tells him that they have a daughter, whom he chooses not to meet. Thirty years later, in the year 2049, nuclear war has wiped out most of the Earth's population and left the surface contaminated with ionizing radiation. Lofthouse is stationed in a research facility in the Arctic; he is suffering from an unidentified serious illness that requires hemodialysis (a dialysis machine and filter to clean the blood). He refused to join the evacuation of the base, knowing he hasn't got long to live. Alone at the base, he searches the computer system for crewed space crafts to warn about the situation on Earth. He finds only one active mission: the interplanetary craft Aether, returning from an exploration of Jupiter's habitable moon K-23, which Lofthouse discovered. The mission is headed by British pregnant mission specialist Dr. ""Sully"" Sullivan (Felicity Jones) and her partner Commander Adewole (David Oyelowo). The crew has lost contact with Earth, but do not know why. Lofthouse finds his antenna is too weak and searches for another research facility to contact them. He finds he is experiencing mental blackouts. After a kitchen fire he finds a young girl (Caoilinn Springall) hiding. He tries to contact the other evacuees to get someone to pick her up, but they are all out of range. The girl is mute, but communicates through drawing, Lofthouse determines her name is Iris. He grows fond of her. Lofthouse locates another base with a more powerful antenna farther north, he takes Iris with him on a snowmobile. On the journey, they encounter a cracking ice lake, and he loses his dialysis equipment, condemning him to die soon. Arriving at the base, he manages to make contact with Aether, but the crew is interrupted by an asteroid field that damages the ship's radar and communication systems. The crew conduct a spacewalk to fix the damage. They are successfully in fixing the comms and radar but are caught in the middle of a second asteroid strike. Flight engineer Maya (Tiffany Boone) is fatally wounded by one of the rocks and dies from heavy bleeding. Sully reaches out to Lofthouse, who tells her not to return to Earth, but to return to K-23 and start a new life there. Aether's pilot, Tom Mitchell (Kyle Chandler), refuses to turn back, having made a promise to come back home. But he discovers a video message from his wife (Miriam Shor) and sees the state of Earth's atmosphere. Mitchell understands that it is in the crew's best interests to go back to Jupiter's moon. However, he decides to use one of the two re-entry vehicles to go back to Earth, hoping to find his family who may have been evacuated to temporary safety. Fellow astronaut Sanchez (Demián Bichir) saw Maya as a second daughter, decides to accompany Mitchell and bury her body. In her final communication, Sully tells Lofthouse that he was one of the reasons why she joined NASA. She thanks him, telling him her mother Jean knew him, and that her full name is Iris Sullivan. Lofthouse says he already knew her name, making it clear that the young Iris he saw was a hallucination. When asked how he ended up at the base he contacted Aether from, he says he thought he might be able to help someone, hinting that the reason that he kept track of Aether's mission was not just to help them to turn back, but also because he knew Sully was his daughter when he looked at the crew details. Before heading out into the cold unprotected to die, Lofthouse tells Sully he's proud to have finally met her and Sully describes K-23 to him. Sully and Adewole set a course to K-23, provided to them by Lofthouse, to give humanity a second start. Also starring Ethan Peck as Younger Augustine, Tim Russ as Mason Mosley, and Eysis Clacken as Rachel. Clooney as the terminally ill scientist is good, Jones, Owelowo and the others are also good as the astronauts, and Springall is a good young actress. Clooney has crafted a film with two interesting survival/adventure stories, one in the freezing wilderness and the other in the claustrophobia of space, both are filled with eye-catching moments, with fantastic special effects and a great music score, slightly predictable at times, but overall, a satisfying science-fiction drama. It was nominated the Oscar for Best Visual Effects, it was nominated the BAFTA for Best Special Visual Effects, and it was nominated the Golden Globe for Best Original Score for Alexandre Desplat. Worth watching!",The Midnight Sky
6,paul_haakonsen,Ultimately way too mediocre...,5,26 December 2020,"This movie was hyped pretty fairly up, so I must admit that I was expecting something more than what writer Mark L. Smith and director George Clooney managed to deliver.Now, I am not saying that ""The Midnight Sky"" was a boring or bad movie, but I just feel that the movie had the potential to have been so much more in both entertainment value and story. It felt like it was just the tip of the iceberg that was used to make the movie. And it was a shame, because the concept here definitely had a lot of potential.For me it was the prolonged uneventfulness that sort of put an anchor around the movie and held it back. The first two-thirds of the movie just trotted along with much of anything particularly impressive or overly entertaining happening. Sure, this was to establish the story and characters, but two-thirds? It just dragged on for a bit too long. And then the movie exploded into action, but ending as abruptly as it set into action, which left for much to be desired.The storyline was adequate and definitely had a lot to offer, but sadly weren't utilized to its full potential, making for a somewhat meager and mediocre movie experience. Sure, the movie was watchable, but it was not a movie that had me thrilled or impressed. Nor is it a movie that hardly warrants more than a single viewing for me.""The Midnight Sky"" definitely had an impressive assembly of casted actors and actresses, but sadly they weren't given space to spread their wings and showcase the full scope of their talents, given the limitations of the script and storyline.Visually then ""The Midnight Sky"" was definitely an impressive movie, but again there weren't a whole lot of things going on in the first two-thirds of the movie, but if you sit through the last third things definitely pick up.My rating of ""The Midnight Sky"" lands on a very mediocre five out of ten stars. A watchable movie for sure, but hardly an outstanding or particularly memorable movie experience.",The Midnight Sky
7,CinemaSerf,A high end example of science filching,5,17 December 2020,"There are shades of John Barry in Alexandre Desplat's suitably galactic score here, but that is, sadly, about all I can say that is good about this derivative sci-fi yarn. I think George Clooney did just about everything but make the coffee as his terminally ill character traverses the arctic wastes to reach a weather station. It might have a transmitter powerful enough to contact an approaching space craft returning from a distant planet that may offer hope for the survival of mankind from some sort of ghastly existential event threatening the world. The ship is manned by a crew including David Oyelowo and a pregnant Felicity Jones but their journey home is made even more perilous by being knocked off course and having to travel through uncharted space - full of dangerous meteor showers. Money has been spent; and it certainly looks good but the two stories don't really gel/relate very well; the characters are very under-developed and the plot is reminiscent of half a dozen other films of this genre where money was no object but poor writing, directing, and to be honest - acting too, wasn't part of the priority either. It's got way too many long beauty shots, spaceship shots, arctic shots - even gun shots - anything, really, to distract us from the lack of a new story. The imagery certainly benefits from a big screen, the rest - from being on the radio!",The Midnight Sky
8,grantss,Heaps of potential but goes nowhere special nor profound,5,26 December 2020,"It is the year 2049 and a disaster has devastated the Earth. An isolated observatory in the Arctic Circle is staffed by one, terminally-ill, scientist. He is determined to contact any off-planet travellers from Earth to warn them of the disaster and see if they can help. Little does he know but he has company.Directed by and starring George Clooney, this film had heaps of potential: the intrigue around the disaster, the scientist trying to get help, the crew of the space craft and their adventures. Clooney initially builds an interesting plot with some engaging characters.However, he doesn't know what to do with this solid foundation. Things get drawn out in the middle section - quite a few scenes that were unnecessary and just padding.There's still a chance that the film will go somewhere special but, unfortunately, it doesn't. The ending is quite the damp squib: largely predictable and unprofound.Disappointing.",The Midnight Sky
9,ferguson-6,snowstorms and spacewalks,5,22 December 2020,"Greetings again from the darkness. Screenwriter Mark L Smith has described his adaptation of Lily Brooks-Dalton's book, ""Good Morning, Midnight"", as a cross between the Oscar-winning GRAVITY (2013) his own THE REVENANT (2015, nominated for 12 Oscars). It's a lofty comparison, and unfortunately, one that doesn't prove out. Two-time Oscar winner George Clooney takes on the dual role of director and lead actor, and it's his first movie role since 2016's MONEY MONSTER.Clooney plays Dr Augustine Lofthouse, a renowned scientist, and the only one staying behind as everyone else evacuates the Arctic Observatory after some unspecified ""event"" as left the earth uninhabitable. Augustine has a terminal disease (also unspecified) and evidently decides to stay behind because he likes drinking alone and self-administering blood transfusions. The drinking alone fun ends when he ""finds"" a stowaway young girl named Iris (Caiolinn Springall in her first film) and must assume the role of father-figure. To complicate matters, Iris doesn't speak.It's 2049, and the film cuts between 3 storylines. While Augustine and Iris and working on a survival plan, we get flashbacks to a time when he was a younger scientist (played by Gregory Peck grandson Ethan Peck) and sacrificing a relationship with Jean (Sophie Rundle, ""Peaky Blinders"") to focus on his career. The third story occurs simultaneously with Augustine and Iris, and involves Aether, a manned spacecraft on a years long mission to determine if Planet K23 can be inhabited by humans. The crew is commanded by Adewole (David Oyelowo, SELMA), and includes his partner, a pregnant Sully (Felicity Jones, THE THEORY OF EVERYTHING), pilot Mitchell (Kyle Chandler, ""Bloodline""), navigator Sanchez (Demian Bichir, THE HATEFUL EIGHT), and rookie astronaut Maya (Tiffany Boone, ""Hunters"").When Augustine learns of Aether and its route back to Earth, he takes it as his responsibility to inform them that they need a new plan. In order to do this, he and Iris must trek across the frozen Arctic tundra through a blinding snowstorm to reach the satellite equipment that will allow communication with Aether. This road trip through a whiteout allows for the best effects during the Augustine/Iris section. Aboard Aether, the crew is relatively non-descript, but there is a spacewalk segment that is quite something to watch thanks to the cinematography of Martin Ruhe. There is also a visually interesting segment featuring blood in zero gravity.So what we have is a three-piece post-apocalyptic science-fiction space survival tale with a surprise twist that won't surprise anyone. It's likely meant as a warning about how we are destroying our planet, and global catastrophe may not easily be solved through space exploration. The film presents an interesting symmetry between the vast wasteland of Arctic winter vs the vastness of space ... neither seem to have borders or boundaries, yet are fraught with dangers. If you pay much attention to the story, you'll likely be disappointed; however, if you watch for the visuals, you should be fine.
Premieres on Netflix December 23, 2020",The Midnight Sky
