,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SAMTHEBESTEST,Chehre is 8 decades late to make a lame simulation of Hollywood Classic Double Indemnity with boring seminar on Justice And Law.,4,27 August 2021,"Chehre (2021) :
Movie Review -Chehre was looking dull right from the trailer and promos but the advantage of being a thriller kept it alive somehow. You know, many thriller don't open main cards before release to surprise you with the final product and that blur hope was still there with Chehre. However, now the final product seems suitable to that dull pre-release scenario or better say it even goes lower. If you remember Hollywood's Classic Noir 'Double Indemnity' (1944) directed by Master Billy Wilder then you must realise the fact that, Double Indemnity was kind of pioneer in this husband-killing formula. And it made too much sense for 40s but now seeing the story being adapted in 2021 is a Big Joke. How can someone even think of it? Chehre is disastrous attempt already but it doesn't have anything kind of original to stand on its own even in the rest of the narrative. Double Indemnity just gets extention for 40 more minutes where we are invited to attend a boring lecture on justice and law, the same what Amitabh delivered in Pink. But here it's completely out of the context as it is based on some silly game with unrealistic characters. Actually, even that seems copied from Marathi movie 'Me Shivaji Park', that entire portion of retired men serving justice in their own style, yes that's simply copy pasted.There is nothing to talk about Chehre's story as i have already mentioned that it simulates 'Double Indemnity' and even if i have to tell something then it would be termed as spoiler. Well, let me remind you the story of Double Indemnity instead. A beautiful woman married to a rich old guy plans to murder him to get his money of course. For that, she traps a young man by pretending to love him and then both of them commits a crime. Here, Emraan Hashmi is a married man so it takes away the all respect from his character. Two, he is well settled into corporate business so we assume that he has some brain which he eventually keeps aside while falling for this greedy woman. There are lot of stupid things to tell in this set of the story but let's just forget it and let's move towards even worse part. That remote bunglow in snow zone and those peculiar characters in that bunglow, what the heck was that? I mean, seriously? It's 2021 and you are using 18th century's Ideas for a film?Performances of all the actors are strictly average. Emraan plays an over-confident guy who shows off his arrogant grin smile after every confusedly spoken dialogue of Amitabh Bachchan. But for what? We all know the film won't have the same scenario after a while then why this show off? And how come one opens up all his secrets during a childish game? Annu Kapoor's punjabi accent was okay if was playing an illiterate guy, not for an educated character like a Lawyer. The same applies to Amitabh's character. How confusing his character was while asking questions. Rhea Chakroborty is there only to pass her time and Krystal D'Souza was signed only for Skin Show.Chehre may have many problems with its writing but the on screen presentation is damn hell pathetic and it's almost 50 years old. If i have to choose between Chehre and any average Hollywood Film of 40s to watch in theatre again then without any second thoughts i would ditch Chehre. Rumy Jafry couldn't even present the actual product with proper sense. In the film Big B' ls character asks, 'What is Law?'. Here i want to ask Rumy Jafry that, 'What is Filmmaking?'. Did he really made a film for 2021's audience? The loopholes in the film are not plausible even for 1921, that's 100 years back. Let me finish it in one sentence now, Chehre is a film which deserves that furious remark- 'Don't show me your FACE'...RATING - 4/10*",Chehre
1,Fella_shibby,"The summation/closing argument/monologue is downright incompetent, boring n incoherent but the movie raises a very important question about the legal system.",5,4 October 2021,"The right to privacy is a fundamental right under Article 21 of Indian Constitution.With the invocation of privacy as a fundamental right under Section 21 of the Indian constitution, the admissibility of illegally obtained evidence should now be questioned.Cyber crime law states that if an IO confiscates a mobile or laptop, he/she has to check the hash value.Hash value recorded at the time of seizure has to be the same on the device when the gadgets are given back.This ensures the sanctity of data.Otherwise any false evidence aka incriminating evidence can be implanted.The seized gadgets shud be closed in a faraday bag.Coming back to this movie, the public prosecutor played by Amitabh Bachan obtains the mobile phone illegally, while the judge simply sits there n doesnt discourage the improper manners used for obtaining evidence.Even the defending lawyer (Annu Kapoor) doesn't raise any objections.The court should be careful while admitting illegally obtained evidence as by allowing such shreds of evidence, courts are promoting the improper methods of procuring evidence.The exclusionary rule is enshrined in the fourth amendment of the American Constitution.In the United States, the exclusionary rule is a legal rule, based on constitutional law, that prevents evidence collected or analyzed in violation of the defendant's constitutional rights from being used in a court of law.Fifth Amendment also states that no person ""shall be compelled in any criminal case to be a witness against himself.""Coming back to the movie, the snowy landscape looked very fake n even the fire looked fake.The movie has too many plot holes.Generous with a 5 for Bachan n Hashmi sharing screen for the first time.",Chehre
2,katyayan-12892,Decent Watch,6,14 October 2021,"Review By Kamal KRanjit Kapoor's story is inspired from Swiss writer Friedrich Dürrenmatt's acclaimed novel 'A Dangerous Game' and is very interesting and unique. Ranjit Kapoor and Rumy Jafry's screenplay is effective for most parts, especially in the first half. But the writing loses grip in the second half, more so towards the pre-climax. Ranjit Kapoor and Rumy Jafry's dialogues are sharp at several places. The 13-minute-long monologue, however, fails to make the desired impact and should have been shorter and should have had the required punch.Rumy Jafry's direction is impressive. For a director who has made light-hearted entertainers in the past to direct a thriller so well is praiseworthy. This is a challenging film as it's mostly set in one house. But he introduces the characters and their traits very well. The manner in which they take Sameer into confidence is very convincing. In fact, there are no complaints in the first half as the way he builds up the tension makes for a thrilling experience. Problem arises in the second half as it seems dragging. Also, the climax should have been better and nail-biting. The monologue also spoils the narrative. In the past, Amitabh Bachchan had rocked the show with the 'No Means No' dialogue in PINK . It was shorter and far more impactful. Something on those lines was required here but sadly, the monologue turns out to be never-ending and even goes off track. The other problem with the film is that it's quite dialogue-heavy. The makers have tried their best to infuse drama and tension wherever possible. But even then, audiences are not used to such a narrative and setting. Hence, a subject like this is experimental and would appeal to mostly urban and niche audiences.CHEHRE begins on a great note. Amitabh Bachchan's entry is clap worthy. The exchange of dialogues here is very smooth and convincing. The way Lateef manages to conclude that Sameer is a culprit through the power of his observation and experience of asking the correct questions keeps the interest going. The intermission point is shocking. The second half starts on an interesting note. The flashback of Sameer and Natasha (Krystle Dsouza) is refreshing as it gives audiences a break from the four-walls of the mansion where the film is set. Initially, it is captivating but towards the end of the flashback, the film becomes predictable. The twist in the very final scene of the film is quite impressive and helps the film to end on a fine note.Speaking of performances, Amitabh Bachchan as usual is excellent and suits the part. His dialogue-delivery is obviously commendable but he's very impressive in the scenes where he's simply observing and planning his next wise move. Emraan Hashmi is the surprise of the film. He has always been a great performer but here, he steals the show and stands up in front of the veteran actors. Also, he looks quite dashing. Annu Kapoor is dependable as always and its funny how he pronounces certain words and terms. Dhritiman Chatterjee has limited dialogues but leaves a mark. Raghubir Yadav has a unique look and adds to the madness, especially at the intermission point. Krystle Dsouza is another surprise of the film.On the whole, CHEHRE is a well-made film which rests on a unique plot and bravura performances.",Chehre
3,SoumikBanerjee25,A Decent Outing!,6,3 October 2021,"Flipping through that many critical scrutinies, I was preparing myself for nothing but another disappointment. Following my two hours spent with this execution, now I can tell with much certainty that my presumption was only half right.To start with; the set-up, the all-around ambiance is relatively straightforward and explicit with their motivations and purposes. The creators knew what they needed to accomplish, and they successfully did so up until the third act's commencement. Unfortunately for them, thereupon, everything had gone downhill.The primary justification for its eventual downfall is directly correlated to the Script's inability to uphold the rhythm, the momentum it was building up to, until the finale begins to take place. Just goes to show, how much important it is to wrap up on a decisive note. The closure is as crucial as the initiation!Speaking of performances, those are nice. Nothing out of the ordinary, but each member of the cast did their job with utmost commitment and sincerity. Amongst them, needless to say; Mr. Bacchan stands out the most and on the other end, Emraan Hashmi again showcases his capability to be able to play all kinds of personalities.At the end of the day, their goals might have been naive, unearthing the loopholes of our country's judiciary or the protocols themselves; but the way all that has been dealt with, it just doesn't quite hit the mark. Don't get me wrong, the underlying subtext holds grave significance and mustn't be disregarded but the timing wasn't relevant nor the strategy the film had seemingly taken in regards to that particular aspect.",Chehre
4,SumanShakya,"A hackneyed thriller with the influences of ""Zid"" and ""Badla""",3,9 October 2021,"A posh photography and an impressive ensemble acting fail to lift this thriller. The film plays as a skit on the judicial system of the country with the retired judge, prosecutor and defense attorney living together in a bungalow and playing themselves in a game to execute the visitors of the bungalow as the criminals.Despite some suspense and excitement at instances, the film ends pointless and feels like a childish play. The twists are similar to a much unknown thriller ""Zid"" and Amitabh Bachchan shares a similar role from ""Badla;'"" but overall, ""Chehre"" ends in a tasteless note with an unlikeable and improbable plot, which won't retain long with the viewers.Rating: 1.5 stars out of 4.",Chehre
5,msunando,Everyone guilty must be punished by law,6,27 August 2021,"Sameer Mehra (Emaran Hashmi) is caught in a blizzard while driving to Delhi from a resort in the hills and a fallen tree makes his onward journey impossible. A chance meeting with Mr. Paramjeet Singh Bhullar (Annu Kapoor) near the sight offers Sameer a night stay at the former's friend's house, much to the relief of Sameer. At the isolated bungalow in the hills, Sameer meets a group of four old, retired men who have had long careers in the field of law - Bhullar himself, Justice Jagdish Acharya (Dhritiman Chatterjee), Lateef Zaidi (Amitabh Bachchan) and Hariya (Raghuvir Yadav). The four men treat their young guest well, offer him drinks, dinner and comfort of home, and invite him to play a game of law with them, where Sameer has to play the accused and he can choose any crime that he would have committed.Confident and street smart as Sameer is, he claims that he has never committed a crime other than jumping signals on a few occasions and allows Lateef Zaidi to prosecute him on any crime he deems fit. The story starts taking a dramatic turn from here when Lateef realizes that Sameer is extremely ambitious and ruthless and his meteoric rise in his professional career must be due to some unscrupulous moves. Lateef plays the prosecutor, Bhullar the defence counsel, Acharya the judge and Hariya has a special task to execute. The game gradually reveals chunks in Sameer's armour and he is no longer confident and comfortable. And therefore way out until the game finishes.""Chehre"" is an interesting premise and a tactfully created plot. It's dialogue heavy and radically verbose, which aspect is both the film's merit and demerit. It's fast paced and exciting, albeit a little difficult to digest. But the concept of a courtroom outside of the established courts and the four old hands of law slowly breaking down Sameer's pride, confidence and gritty behaviour is interesting. The weak link in the endeavour is Amitabh Bachchan's rant on the precarious state of the legal cases and how the victims of heinous crimes fail to get justice - this aspect towards the end came up as irrelevant to the story, long and irritating, and honestly, brought the film to a screeching halt. The performances are all rock solid and Big B doesn't disappoint. Emaran Hashmi is credible and holds his ground when pitted against the stalwarts from the industry. ""Chehre"" is a good offbeat film as a one-time watch, but certainly not commercial success material.",Chehre
6,shovonbhattachrjee,Interesting story,7,29 September 2021,The storyline of this movie is good and the acting is just superb. Overall very good movie.,Chehre
7,rehmankhilji,Stupid,1,7 November 2021,"Nothing to offer, just some over acting and a senseless story. If the script is this pathetic even with the greatness of AB you cant make a good movie. Imran Hashmi was overly acting but can understand that cause the plot was good but the execution was simply horrible.Another waste of time. Completely. Skip this one for your own good.",Chehre
8,dhavalpithwa,Chehre,2,3 October 2021,Worth To Watch ! Don't Wast Your Time Kya Expectation Thii Kya Bana Diya ....,Chehre
9,rahul000994,Amitabh Bachchan & Emraan Hashmi Delivers A Performance Worthy Coutroom Drama !!!,10,2 October 2021,"Four friends cum erstwhile court officials comprising a public prosecutor, defence lawyer, judge and an executioner, regroup at a heritage mansion in an isolated hill station. Reenacting mock trials on stranded strangers who seek refuge in their spooky house happens to be their favorite pastime. The game's fun until things get serious.Delhi bound ad agency chief Sameer Mehra (Emraan Hashmi) runs into the four gentlemen when he is compelled to spend the night at the house owing to extreme weather. He gets acquainted with the law veterans who are happy to host him. Amitabh Bachchan is the public prosecutor, Annu Kapoor is the defence lawyer, Dhritiman Chatterjee plays the judge and Raghubir Yadav the executioner. An unblinking Rhea Chakraborty who breaks into creepy bouts of laughter is Anna, the mansion's mysterious housekeeper-painter.Small talk and a brief drinking session later, Sameer eases into the senior citizen's club and agrees to indulge in the courtroom game coined by the four veterans. He finds it amusing until they accuse him of killing his boss and taking his position in the agency. The trial begins and the unravelling of Sameer's case forms the story. Will he be convicted or acquitted ?Ranjit Kapoor's story is inspired from Swiss writer Friedrich Dürrenmatt's acclaimed novel 'A Dangerous Game' and is very interesting and unique. Ranjit Kapoor and Rumy Jafry's screenplay is effective for most parts, especially in the first half.Chehre begins on a great note. Amitabh Bachchan's entry is clap worthy. The exchange of dialogues here is very smooth and convincing. The way Lateef manages to conclude that Sameer is a culprit through the power of his observation and experience of asking the correct questions keeps the interest going. The intermission point is shocking. The second half starts on an interesting note. The flashback of Sameer and Natasha (Krystle Dsouza) is refreshing as it gives audiences a break from the four-walls of the mansion where the film is set. Initially, it is captivating but towards the end of the flashback, the film becomes predictable. The twist in the very final scene of the film is quite impressive and helps the film to end on a fine note.Speaking of performances, Amitabh Bachchan as usual is excellent and suits the part. His dialogue-delivery is obviously commendable but he's very impressive in the scenes where he's simply observing and planning his next wise move. Emraan Hashmi is the surprise of the film. He has always been a great performer but here, he steals the show and stands up in front of the veteran actors. Also, he looks quite dashing. Annu Kapoor is dependable as always and its funny how he pronounces certain words and terms. Dhritiman Chatterjee has limited dialogues but leaves a mark. Raghubir Yadav has a unique look and adds to the madness, especially at the intermission point. Krystle Dsouza is another surprise of the film. Rhea Chakraborty (Anna) has an important part and initially, she appears a bit caricaturish. But then it becomes clear that her character is a bit mentally unstable. She is memorable in two scenes - one, where she almost stabs Emraan, and two, when Emraan asks her for the keys. Siddhant Kapoor (Joe) has no dialogues but speaks through his eyes. Samir Soni looks dull while Alexx O'Nell (Richard) gets no scope.Overall, Chehre is a engrossing movie with solid performances given by it's starcast.",Chehre
