,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Wow...how did I forget to review this great film?!,10,19 October 2010,"While I am sure that there is a lot of debate on this issue, but I'd say that this is Alfred Hitchcock's best film. It combines a marvelously original script with romance and wonderful location shooting to make a truly fabulous film.I love how this film begins. Ordinary New Yorker Cary Grant (or at least as ordinary as any guy looking like that can be) goes out to mail a letter and, through a long string of mistakes, becomes entangled in an assassination plot! The problem is that at first the police don't believe him about some weird plot--then they assume HE is responsible for the killing! The film is chock full of crazy iconic scenes--such as Grant being pursued by an evil crop duster and Grant and Eva Marie Saint scaling down the faces on Mt. Rushmore to escape the killers. Along the way, Hitchcock goes crazy with very, very sexual Freudian imagery (the tunnel scene is a classic) and provides some wonderful moments using wonderful actors. Grant, as always, is great but I also liked Martin Landau's small role as a killer who REALLY likes his job and the rest of the cast is also stellar. This is a must-see film and one of the best films of the decade.By the way, this film, despite being so wonderful also has one of my favorite film mistakes--and I am sure to watch for it every time. In the scene at the UN, pay very, very close attention when Grant tries to talk to the man he is pursuing. Although the man is shot dead unexpectedly right next to Grant, apparently one of the extras (a kid in the foreground) is anticipating the shooting before the gun has even been drawn. Look carefully--the kid is plugging his ears well before the shot occurs!!!",North by Northwest
1,TheLittleSongbird,Enormously entertaining film from Alfred Hitchcock!,9,9 June 2009,"My favourite director, Alfred Hitchcock has directed many classics like Psycho, Rear Window and Vertigo, and I will say that this deserves to be up there among his best. I absolutely loved it! The best aspect of this movie is the always charming Cary Grant in a brooding and entertaining performance as Roger Thornhill, a man wanted for the murder of a diplomat. Solidly supporting him all the way are the lovely Eva Marie Saint as Eve Kendell and oily James Mason as the villainous Vandamme. They are further advantaged by some excellent camera-work and a wonderfully atmospheric music score. The script is focused and suspenseful, and Hitchcock's direction ensures the film rarely slips, even if some of the complicated plot does fly over people's heads. The climax though is simply the icing on the cake. Overall, a hugely enjoyable film, which I will give a 9.5/10. Bethany Cox",North by Northwest
2,bkoganbing,"""War Is Hell, Even When It's A Cold One.""",10,1 September 2006,"Following up on his two previous masterpieces, The Thirty Nine Steps and Saboteur; Alfred Hitchcock put together his ultimate chase film with elements of both coming into Ernest Lehman's screenplay. I've seen figures that show in terms of box office and later video sales and rentals, North By Northwest was Hitchcock's most successful film financially.At this point Alfred Hitchcock's name over the title could sell a movie, but I'm sure he didn't mind having Cary Grant in it to draw the movie going public. This was Cary's fourth and final appearance in a Hitchcock film and I think it is his best performance in one.Like in the two films I cited, Cary is innocently caught up in a web of intrigue and he got there by just answering a telephone page at a hotel dining room. He took a call right after someone paged a George Kaplan and the bad guys think he's Kaplan. And he gets grabbed.It's a devilishly difficult situation for him because there ain't no George Kaplan. He's a fictitious guy who was invented by one of our spy agencies (that's never identified in the story)to take the heat off an agent very close to masterspy James Mason. Mason tries to murder Grant by getting him drunk and putting him behind the wheel of a car. Later on Grant gets framed for murder while trying to find out what's going on and he's on the run from New York to Chicago to Rapid City and the Mount Rushmore monument.James Mason plays the cultured villain Philip Van Dam. Mr. Mason who had some of the most precise diction heard this side of Ronald Colman on screen, could play villain and hero and a lot in between equally well. Among other things he's a bi-sexual and his henchman/boyfriend Martin Landau is jealous of his involvement with Eva Marie Saint. With the Code still firmly in place, it was quite daring for Mason to refer to Landau's suspicions as his 'woman's intuition.Eva Marie Saint joins the list of cool and fiery blonds Hitchcock was so partial to for his films. I'm surprised he never used Eva Marie again, she seemed the perfect successor for Grace Kelly who if she hadn't become a princess would have been playing this part for sure.Bernard Herrman who wrote the acclaimed score for Hitchcock's Vertigo followed that up with an equally good score. Especially during the moments of Grant's tangle with a crop duster plane and the chase across the Mount Rushmore Monument, Herrman made great use of music to help the audience feel the tension. It's a great instrumental piece, violins that seem to pound with a drum counterpoint. The best kind of film music.And why wouldn't it be because North By Northwest is some of the best kind of film making.",North by Northwest
3,Leofwine_draca,They sure as heck don't make 'em like this anymore!,10,6 September 2016,"This Hitchcock crowd-pleaser might well be the director's best film: it's certainly his most accessible, a roller-coaster ride of thrills and spills that includes just about every element you'd want in a thriller. There are exciting chase sequences, huge set-pieces, subterfuge, sinister villains, a romance with a femme fatale, and a dashing star playing an innocent man attempting to clear his name. In many ways this looks and feels like a Bond film, so much so that you could call it proto-Bond; our hero travels around, outwitting the bad guys yet remaining smooth and cool when it comes to the ladies. But this is far better than any of the Bond flicks! Hitchcock is at the top of his game, delivering a movie in which the direction is flawless. Every scene counts and every scene plays out like a little movie in itself. Cary Grant clearly relishes the role and he's perfectly cast in it; Ernest Lehman's script never disappoints. Eva Marie Saint is more than effective as the icy yet fragile mystery woman and James Mason excels as a suave bad guy. I also enjoyed seeing Martin Landau's early turn as a henchman.The crop-duster set-piece is rightly well-remembered, as it's the best part of the film: intensely exciting and perfectly directed. The finale at Mount Rushmore is fittingly thrilling, too, but before then we get many splendid moments: the cat and mouse games on the train, the bit at the station beforehand, the runaway car. It's hardly dated and has nothing in it I'd change; a quite wonderful movie. It's true when they say ""they don't make 'em like this anymore!"".",North by Northwest
4,SnoopyStyle,Great wild convoluted fun ride,8,27 September 2014,"Madison Avenue ad executive Roger Thornhill (Cary Grant) is mistaken for a spy named George Kaplan. He is kidnapped and brought to the estate of Lester Townsend. He is interrogated by foreign spy Philip Vandamm (James Mason). His associate Leonard (Martin Landau) tries to set him up for a fatal accident. He manages to survive but the police doesn't believe him when he tells them the story. It also turns out that Townsend is an UN diplomat. He goes to the UN general assembly to track down Townsend. Vandamm kills Townsend and Thornhill becomes the fall guy for the murder. It turns out that George Kaplan is a fictional spy created by the government to divert attention away from the real agent. On the run from the police, he boards the 20th Century Limited train bound for Chicago. On board, he meets Eve Kendall (Eva Marie Saint) who assists him in hiding from the cops. Then it's another twist when he finds out that Eve is working for Vandamm and Leonard. It's a long winding adventure that ends on top of Mt. Rushmore.This is one convoluted story. Hitchcock is able to keep it going by the talents of Cary Grant and the audacity to keep piling on the twists. Cary Grant is a fun leading man. His charm is overflowing and he handles the wild story with great skill. Eva Marie Saint is a great Hitchcock blonde. This is simply a fun roller-coaster ride with the music, the style, and the non-stop thrills.",North by Northwest
5,Hitchcoc,Suspense from Beginning to End,10,5 May 1999,"There is something comforting about a Hitchcock film.  We know that no matter how serious the events are, there is a wonderfully complex plot, comic relief, and great actors to pull it all off.  The spoiled, inebriated Roger Thornhill, like so many of the master's everymen, finds himself thrust into a world he must escape, while, at the same time, trying to figure it all out.  His arrogance is what gets him deeper and deeper into trouble, but it is also what saves him.  Cary Grant is the only actor I could think of who is so suave and yet so combative and self centered.  As he realizes what is happening he must constantly face death, while being manipulated by the powers that be. He is being set up, he knows, but by whom?  Enter Eva Marie Saint, but knowing Hitchcock, she is to be watched carefully as well. Most of Hitchcock's ""victims"" reach a point where they won't take any more.  I love the way Thornhill has been put in a predicament where he has no confederates and must remain underground.  Everyone back home thinks he is the irresponsible drunk he truly is.  Even his mother isn't to surprised to find out he may be a murderer.  The use of settings around Rapid City, Mount Rushmore, all the Hitchcock signatures, make this one of the best, if not the best, if all his films.",North by Northwest
6,Prismark10,North by Northwest,7,10 October 2020,"Alfred Hitchcock's North by Northwest is regarded as laying the footprints for the modern spy action thrillers such as James Bond.The movie is well known for its iconic action scenes. Cary Grant being chased by a crop duster plane and the scenes on Mount Rushmore.Roger Thornhill (Cary Grant) is a suave advertising executive in New York who gets mistaken for George Kaplan during the cold war.The villains who trade in secrets with a foreign power want to kill Kaplan. The trouble for Thornhill is that Kaplan is a made up operative. He has been created to expose the bad guys led by smooth but deadly Phillip Vandamm (James Mason.)After a death at the UN building, Thornhill is wanted for murder and is on the run. On a train he meets Eve (Eva-Marie Saint) who helps him out but she seems to have her own agenda.Thornhill has no idea what is going on, why the villains are trying to kill him and what is Eve up to.If you actually miss the early portion of the film and see the scenes between Thornhill and Eve. You would think you have walked into a romantic comedy rather than an espionage thriller.North by Northwest effortless switches genres to take advantage of Grant's forte for light comedy. At its heart, this is an escapist action movie.The villains motives though seem hazy. While Vandamm is urbane, his henchman Leonard (Martin Landau) hiding a gay subtext is chillingly cold. They go through some convoluted lengths to finish off Thornhill. Maybe this was another inspiration for the Bond movies.The Professor (Leo G Carroll) tries to provide an explanation as to what is going on. MGM the studio who made this film were right. The film is too long and needed some judicious snipping. There is too much blue screen, at one point during the train journey the background is in sepia. Even the Mount Rushmore scenes look like studio set.",North by Northwest
7,claudio_carvalho,Another Hitchcock's Masterpiece,10,4 September 2004,"In a business lunch in a hotel in New York, the advertising executive Roger O. Thornhill (Cary Grant) is wrongly identified as being the American spy George Kaplan by the foreigners agents Phillip Vandamm (James Mason) and his right arm Leonard (Martin Landau). Roger is kidnapped and Vandamm's men try to simulate an accident for killing him. Roger escapes, but sooner is accused of murdering a diplomat in the UN building. With the police and the foreigners spies chasing him, Roger meets and has a crush with Eve Kendall (Eva Marie Saint). Later, he will be advised that George Kaplan indeed does not exist, and he agrees to act like a bait to rescue Eve from Phillip and his men. This movie is another masterpiece of Alfred Hitchcock. The story, full of comedy, action, thriller and romance, is delightful. Cary Grant is amazing in the role of Roger Thornhill and Eva Marie Saint is extremely beautiful and sexy. The actions scenes are breathless and outstanding, highlighting the one with the plane and the pursuit in the rock mountains. A wonderful movie recommended for the whole family. My vote is ten.Title (Brazil): 'Intriga International' ('International Intrigue')",North by Northwest
8,kosmasp,Way to go,9,8 May 2020,"When is a spy a spy? And is the audience going to be able to tell if he is or isn't before it is revealed? And when will it be revealed? All those things make room for suspense, edge of your seat stuff. Cary Grant plays it as suave as one can play it - and the dry humor is just spot on (call the police anyone?). So the backdrops are obvious as with most of his movies, but that shouldn't bother you at all. We are talking about other things that will and should interest you way more than that little ""flaw"".The movie may feel a tad bit too long for some, but there is always something going on. And the way he edited some scenes is holding up quite nicely - something that not all movies that have action or stunt scenes can attest from that time period. And then there is that plane scene ... it is a bit of plot hole how we get there (or rather a character inconsistency, maybe even aplliable to at least 2 characters considering what they themselves are saying or doing) ... but normally you will not mind or care. This is light and fun and very identifiable",North by Northwest
9,classicsoncall,"""Games, must we?""",9,10 November 2006,"When you come right down to it, the title ""North By Northwest"" tells you nothing about the story, but it certainly rolls off the tongue a lot better than ""The Man in Lincoln's Nose"" as the movie was originally known. The official title comes from Hamlet - ""I am but mad north-north-west"". Fortunately, a scene at the airline's ticket counter lends some semblance of credibility to the northwest connection.What had me going was how the film managed to keep up with the pretense of a phony George Kaplan, to the point where Cary Grant's character winds up becoming the impostor. Grant was a Hitchcock favorite, and the role here was written with him in mind, even though MGM wanted Gregory Peck in the lead. I don't know if Peck could have pulled off the auction scene the same way as Grant. His roles portraying slick hustlers like Walter Burns in ""His Girl Friday"" or the more sinister Johnnie Asgarth in another Hitchcock effort ""Suspicion"", more than readied him to pull off the stunt and get away with it.Eve Kendall (Eva Marie Saint) is clearly a duplicitous character, one gets the impression that maybe Roger Thornhill (Grant) is just a bit too good for her. Hitch's penchant for beautiful blonds in his films gets the royal treatment here, Saint is radiant in nearly all her scenes, made more so by the bright red of her outfit on the train.You know, I could listen to James Mason speak all day, he's got that great resonant quality to his voice. Casting him as the villain lends immediate credibility to the bad guy cause in the story. Martin Landau appears in one of his first film roles as Mason's henchman. I always enjoy seeing Leo G. Carroll in a film, probably because of my fondness for his role in the early TV series ""Topper"". Here he appears cast somewhat against type as The Professor heading up an unknown agency that attempts to take down Vandamm's (Mason) subversive little clique. It was actually a bit chilling to see The Professor willing to let the cards fall as they may as relating to Thornhill's dilemma.If done today, I'm sure the whole Mount Rushmore scene would be presented to look a lot more believable; the way Thornhill prevails requires a stretch of the imagination. But by that time, I found myself saying 'who cares', because the thrill ride was worth it to see Grant come away the hero. Hitch pulls it off with that neat device at the end of the story so we don't get caught up in the whole cliff hanger ending ordeal. It's a clever little happy ending to an espionage tale that might have suffered in less capable hands, but here director Hitchcock keeps you on your toes and the edge of your seat in a way that delivers the goods.",North by Northwest
