,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,stumbles to the finish line,4,4 April 2018,"Thomas (Dylan O'Brien) with The Right Arm resistance try to rescue Minho from a prison transport train. They manage to steal one car but Minho is inside another car. Minho is taken to the Last City where he is experimented on by WCKD. Teresa (Kaya Scodelario) is desperate to find a cure to justify her turn to WCKD and Ava Paige. Thomas refuses to give up on Minho and leads a squad to the Last City.At least, they wrap this franchise up for the fans. This does need a ""previously on"" segment to reintroduce for lesser fans. It's been a couple of years since I saw the second movie and honestly, I don't really remember. The train action is great and the first act is solid. Once they get to the city, I start to lose interest. The plot meanders and rambles. I'm not as invested in Teresa in this sequal as previous ones. This YA franchise stumbles to the finish line but at least, it crosses it.",Maze Runner - The Death Cure
1,claudio_carvalho,Clichés and CGI,6,15 April 2018,"The end of the franchise ""Maze Runner"" is a film that can be described in two words: clichés and GGI. Too long, with 2h21 min running time, ""Maze Runner: The Death Cure"" entertains the viewer that enjoys action CGI films and does not think along the story. In this regard, the film is watchable. But if the viewer thinks about most of the scenes, he or she will certainly see the stupidities and clichés of the story. My vote is six.Title (Brazil): ""Maze Runner: A Cura Mortal"" (""Maze Runner: The Death Cure"")",Maze Runner - The Death Cure
2,nogodnomasters,Follow Me,5,3 April 2018,"Three years since the last film, it would have been nice if they had some kind of flashback to jog our memories. I forgot why they even had a maze to begin with . Oh yea, that antibody thing. Makes for a weak plot. Thomas (Dylan O'Brien) and a bunch of teens save the world with the help of AR-15s, also my weapon of choice for any zombie apocalypse. If they didn't save the world, it wouldn't be much of a film. Kaya Scodelario was less than convincing, perhaps because she resembles Kristen Stewart so much. A lot of action, faux drama, and mediocre dialogue. Plot Spoiler...OMG They killed Kenny er ah Gally! Of course after 3 years I couldn't remember who was alive or dead. The whole rescue happens because the needs of the one out weighed the needs of the many or few. It was a film I felt I had seen before. It did have some decent action scenes. I felt disconnected from the characters after all of this time. Guide: No F-word, sex, or nudity.",Maze Runner - The Death Cure
3,kosmasp,Final run(through),6,12 April 2018,"So the trilogy comes to an end. And it is quite decent, even if it has its flaws. But at least they kept the whole thing quite short. Reoccuring characters and events continue to unfold. So it does make sense to have seen the other movies. Not sure how it is compared to the novels. Probably will not look as good for those who have read the source material.The action and the effects are good. There may be some logical errors that you can decide to overlook or not. But it's overall a fun ride, especially if you have formed some kind of bond with the characters.",Maze Runner - The Death Cure
4,jboothmillard,Maze Runner: The Death Cure,6,4 February 2018,"The first Maze Runner was a really good film, the sequel, The Scorch Trials, was good, so I was really interested to see how the third and final instalment would go, I was hoping for a conclusion worth waiting for. Basically Thomas (Dylan O'Brien), Newt (Love Actually's Thomas Brodie-Sangster) and Frypan (Dexter Darden) are the last of the free ""Gladers"", who survived the Maze and are immune to the Flare virus that has eradicated most of the world. The three leave their camp, against the orders of The Right Arm resistance leader Vince (Barry Pepper), to rescue their friend Minho (Ki Hong Lee), who was captured by the WCKD organisation to be tortured in the hope of finding a cure for the virus. They head for the ""Last City"", where the WCKD headquarters is located, they are saved from an attack by ""Cranks"", humans infected by the virus, by Jorge (Breaking Bad's Giancarlo Esposito) and Brenda (Rosa Salazar), who join them. Meanwhile, Teresa (Kaya Scodelario), who betrayed the group, thinking that what she was doing was right, has joined WCKD leader Ava Paige (Patricia Clarkson) in the efforts to find the cure, but she is clearly devastated by the torturous methods used. The group reach the Last City, which is surrounded and protected by a large wall, outside people are rallying to be let in, WCKD opens fire at the protestors, while the group are captured by a group wearing men who take them to their hideout. One of the masked men is revealed to be Gally (Son of Rambow's Will Poulter), who survived being speared by Minho, he takes them to see rebellion leader Lawrence (Walton Goggins), whose face is disfigured as a result of the virus. Lawrence grants them permission to enter the Last City through the secret entrance, in the underground sewage passages, Gally leads Thomas and Newt through the city, they see Teresa, Gally knows that she can get them into WCKD headquarters, the three capture her and she agrees to help them, removing their trackers. Thomas, Newt, and Gally escort Teresa inside WCKD headquarters, they find the immune children, Gally looks after them and stays to find a serum that can treat the Flare, while the other three try to find Minho. They are caught and chased by the vengeful Janson (Game of Thrones' Aidan Gillen), leading the WCKD troops, Teresa lets them escape to search for Minho, before rushing to the laboratory with a bandage containing Thomas's blood to test it. Gally takes the serum and takes the immune children to a bus where Brenda is waiting, Gally makes his way back into WCKD, and the bus attempts to escape the troops closing in Thomas and Newt find Minho in the medical wing, they are chased by Janson before escaping, Teresa discovers that Thomas' blood can cure the Flare, she and Ava agree that they must find him. While Frypan saves Brenda and the children in the bus, Lawrence rallies the rebels outside the city before blowing a hole in the city wall, his allies and infected people storm the city. Gally finds Thomas, Newt and Minho outside WCKD headquarters, Newt collapses having succumb to the virus, he gives Thomas a necklace with silver cylinder pendant before passing out. Teresa transmits her voice throughout the city, telling Thomas that his blood can save people if he will only return to WCKD, Newt regains consciousness, but is now a Crank and attacks him, he begs Thomas to kill him while doing so, with no other option, Thomas kills Newt. Thomas makes his way back to WCKD and confronts Ava, she stresses that the intentions of the organisation are good, but she is killed by Janson, who is turning into a Crank. Janson knocks Thomas out and drags him to the lab, where Teresa is ready to extract his blood. But Janson reveals that he and WCKD are only truly interested in curing those whom they please, Teresa turns on him and a fight ensues, it ends when Janson is killed. Thomas and Teresa escape to the rooftop, Jorge and Vince are piloting an aircraft above to rescue them, Thomas makes it aboard, but the rebel attacks cause the building collapse, Teresa falls to her death. The group reunite with the rest of the Immunes and the Right Arm, escaping to a safe haven that Ava revealed, there the remaining population can live safely. In the end, Thomas finds that the pendant contains a note written by Newt, he is still traumatised by the death of Teresa, he reads the note, it tells him to look after himself and everyone else, before thanking him for being a friend, it ends with Thomas writing Teresa's name on a memorial rock for all those who people remember. Also starring Game of Thrones' Nathalie Emmanuel as Harriet, Katherine McNamara as Sonya. O'Brien is still reasonable as the brave leader, Clarkson lightens up, but Gillen remains a nasty villain, and the support of Scodelario, Brodie-Sangster, Esposito, Pepper and others is still well done. The similarities of The Hunger Games remain, plus the zombie outbreak plot, the political stuff is still present, and there are many high-octane chase and explosive sequences, the conclusion is perhaps a little open-ended, but its reasonable, all in all it is a worthwhile science-fiction dystopian action thriller. Good!",Maze Runner - The Death Cure
5,view_and_review,Died of Boredom,5,12 February 2018,"As far as teenage dystopian trilogies go, it was alright.The Death Cure wraps up what started in 2014 and was first sequeled in 2015. Now, it's 2018. Do you think I remember what happened in parts one and two? I would if they were interesting enough but unlike a Lord of the Rings, or Star Wars, or Hunger Games even--this series was not nearly captivating enough for me to remember the characters and plot points. I think I watched Death Cure just to finish what I started. I don't want to be known as a quitter.They attempted to make this movie a little more dire, serious, and portentous. Yes, it was all that but I wasn't feeling it. The world is dying, hopelessness is abundant but to me it seemed old hat. I've been here before via sooooo many other movies--other better movies at that. Maze Runner may have been accomplished as a book but there was no magic as a movie.",Maze Runner - The Death Cure
6,neil-476,At least it finishes things off,7,1 May 2018,"In the wastelands and ruins of wrecked cities, there are 3 factions - a group of (mostly) young people who are (mostly) immune to the plague which has decimated the human race, Cranks (murderous cannabilistic zombie types who have contracted the plague) and WCKD, a group who remain privileged and protected while experimenting on young people with a view to producing a cure. A group of experiment victims have joined other survivors and are, effectively, at war with WCKD. A key factor is Thomas, once within WCKD until his memories were removed and he was placed with other experiemental subjects in the Maze.Based on a series of Young Adult science fiction novels, the Death Cure brings the trilogy to a close. I have read and enjoyed and more or less forgotten the novels, and that is something of a problem. The first 2 films came a year apart. There was then a 3 year gap before this one appeared, and I have forgotten who everyone was and the details - some of which are important - of the story so far.The film doesn't offer you any catch-up, so watching the other two beforehand is a prerequisite.It is packed with action from start to finish: just as well, because there is not a whole lot of character stuff here other than issues of betrayal and trustworthiness. There are deaths of characters you wished wouldn't die as well as an unexpected re-emergence of a previously dead character. I'd say it was a surprise, except thank you trailer.Juvenile lead Dylan O'Brien remains as anonymous as he was in the previous two, the grown-ups and even the other youthful thesps leaving more of a mark. The always deliciously horrible Aidan Gillan is as deliciously horrible as ever.The visuals, especially the cityscapes, are excellent and the film is moderately entertaining if you know what's going on. A qualified success, then.",Maze Runner - The Death Cure
7,trashgang,all action but maybe too long,7,31 May 2020,"A lot of negativity surrounding the third entry into the Maze Runner franchise. So I waited 2 years until the whole fuss was over. It even almost ended the craeer of Dylan.Was it all that bad, not for me, a very good start with the train. And from there on it's all action. Maybe some are right, it could have been shorter the movie, because clocking in way over 2 hours is maybe too long.Effects are good and naturally some love has to fit into the story, hey, it's a teen flick, remember.It's not a movie you will remember, it's above mediocre and that's a good thing.
Gore 0/5
Nudity 0/5
Effects 4/5
Story 3/5
Comedy 0/5",Maze Runner - The Death Cure
8,deloudelouvain,Don't need to make another one,6,23 May 2018,"Maze Runner: The Death Cure isn't the best movie in this series, that's for sure, but it's still watchable unlike some other sequels from other movies. That the first ones were better is one point, you had the surprise element, that is all gone now. I think they made this movie to score a bit money from the success the others had. They can call it quits now and leave it like that. The movie is too long and it's all a bit predictable, but like I said it's watchable. Watchable if you're not too picky and have a bit of patience. There is some good CGI's and action scenes, the story is a bit weak though. The acting is exactly what you expect it to be with movies and characters like that, all a bit exagerated and not award winning. All in all it's an okay closure for this series of movies.",Maze Runner - The Death Cure
9,siderite,A weak an predictable ending to a saga that no one cared about anymore,5,13 May 2018,"Yes, it's a young adult story. Yes, it's got all the shortcomings of lazy writing. Yes, it's all incredible beautiful teens fighting the evil uncaring adults who envy them their youth. And with all that, Maze Runner had something in the first movie that made me want to watch it. Some sort of story, maybe the acting, maybe the whole thing. I just enjoyed it. So I watched the second movie to see what happens and then this piece of crap from pure inertia. And it was just not worth it. Imagine two hours and twenty minutes that could have been compressed into a five minute How It Should Have Ended animation (which would have been better). Kids are good, WICKED is bad (duh!), bullets kind of care about that because they fly away from the good guys and things just happen to be where you need them to be for them to escape and not kill anyone, not even the bad guys, because they are the good guys. A lot of talk, a lot of talk, then some talk, followed by more talk. The last part of the movie has all the action sequences and they are all Michael Bayish. Bottom line: I don't think they even tried to make it a good movie. It was all algorithmic. Why end a series that at least started interesting with a twist, or some nice action, or anything resembling a story? No. Take any other YA movie and copy paste it over these characters. It's like creativity costs money for these people. It's like it hurts them, like the sun kills bugs. It was so boring that it wasn't even funny.",Maze Runner - The Death Cure
