,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,terrific performance,7,14 October 2020,"Judy Garland (Renée Zellweger) arrives in London in 1968 to headline a series of showcase performances. She is struggling with addictions, health problems, custody of her kids, and a lifetime of pressure to perform. Rosalyn Wilder (Jessie Buckley) is the overwhelmed producer trying to keep the unstable Judy on time. It doesn't help when Judy's boyfriend Mickey Deans (Finn Wittrock) arrives. He becomes her fifth husband and one more disappointment. In flashbacks, a young Judy (Darci Shaw) is under tremendous pressure from Louis B. Mayer to perform.Zellweger's performance is terrific. Her only small flaw is her singing and that's not her fault. She is asked to embody both greatness and struggle. It's a high degree of difficulty. It would work better if all her singing is live and there is less of it. It leads me to the bigger problem of the structure of the movie. It should squeeze the movie down to her last two performances. The story has no ticking clock and feels meandering at times. The solution is to concentrate the timeline down to a couple of days. The opening with the kids can be better placed in a flashback. The best scene is the dinner with the gay couple and that would be a great antidote after the bad performance. It doesn't need Mickey's arrival and the quickie marriage. He's fine as the constant sycophant who disappoints. The structure flattens the emotional and dramatic tension of the film. Through it all, Zellweger's performance is terrific.",Judy
1,Horst_In_Translation,"Good lead performance, good film, good music, but nothing comes close to Garland's greatness",6,16 January 2020,"""Judy"" is a new British film from 2019 and as short as the title may be, you probably know immediately who this one is about. Most randomly, I remember a quote from Tom Hanks how you recognize some greats immediately from their first name, such as Denzel or Meryl I believe, and Judy definitely also fits into this category (no offense Judi Dench, your name is written with an ""i"" anyway). The center of the film is Judy Garland from beginning to end of these almost 2 hours. But first things first: The director is Rupert Goold and the screenplay is by Tom Edge, who adaptaed the stageplay for the big screen here. Both are no real superstars, but this is not surprising because here we have a British movie and not a Hollywood production, even if the character at the center of it all could not be any more Hollywood. However, even taking this into consideration, the director and writer are no truly big names and their most known works include the word ""Crown"" for both of them. You can check out their bodies of work if you want to know more. The title character is played by Renée Zellweger and she is safely on course to her second Academy Award win thanks to her performance here. It is pretty baffling honestly. She was a huge star, one of the biggest between 2000 and 2005, then did not play in really big films anymore before taking a really long break of many years when the 2010s started. So it seems almost that Hollywood has forgotten that she already has an Oscar (and several Golden Globes) and she will definitely be one of the least big-name 2-time Oscar winners. If she wins that is, but it seems she is pretty safe now. Most people now do not even remember that she is the one who breathed life into Bridget Jones, maybe the defining ""normal"" film character for female women in the first decade of the new millennium. As for this film here, I believe she gives a good performance. I am not really sure if the win is deserving, but it's alright. I must admit I have not been a big Zellweger fan at any point, but she surprised me positively here. Still, it must be said that I am sure a lot of her momentum is also thanks to the awesome make-up and hairstyling work in this film. I am glad they scored a second Oscar nomination there and this would be the one where I'd really be happy to see the film win, but in contrast to lead actress, chances there are extremely slim. So probably no repetition of the two wins like it happened for Gary Oldman's Churchill movie.Now, let's not drift any further away and take a look at the one we have here. Everybody knows Judy Garland still, also the people born a long time after Garland's untimely death. It is quite a coincidence that Zellweger was born the very same year that Garland died, actually just two months earlier. So she is 50 today and it is the 50th anniversary of Garland's death, or it was last year I should say. Maybe not a coincidence that this film was made now. Anyway, I am 15 years younger than Zellweger, so of course I also was not yet born when Garland died. This film takes us mostly into the later years of her life, actually when her death was not that far away anymore. However, there are many references back to Garland's younger years and with that I am not only talking about the actual sequences from around 80 years ago, but also words we hear in the key sequences of the film featuring Zellweger. Just take the doctor who says he was in love with Dorothy Gale. Or of course the powerful ""Over the Rainbow"" performance at the end and with that I am talking more about the crowd than about Garland and that was the one moment where this film really touched me and had me on the edge of my seat and I was so much in awe. Sadly, like I said, there weren't more moments like this because otherwise I would have given it a better rating for sure. But the film definitely went out on a high note and it was also nice because it was a rare moment when Garland really felt loved and you can see from beginning to end that she is all about making others as happy as possible, so they will show her how much they appreciate her, almost to a self-sacrificing degree. This includes the man she is with in this film, who in the end just becomes another ex-husband, one of many, and he was played by Finn Wittrock, 2-time Emmy nominee from American Horror Story, and the fact that I did not even recognize him, although I really like him as an actor, is also evidence of what a great job the hair/make-up crew has done with this film, even if everybody immediately only thinks of what they did with Garland, but she is not all of it. Anyway, back to the husband, you could think initially that he has nothing honorable on his mind because he is considerably younger and she is still a big name, but the longer the film goes, the more it becomes obvious that he really adored her and you also cannot blame him for how things turned sour between the two. So it feels sad she misseed another opportunity to find someone who loves her and keeps loving her from the bottom of his heart. Then there is also the story about Garland's children. They are another aspect where she so desperately wants to be a perfect mother, but sometimes it becomes very easy to see she isn't a natural (even if that scene with the three so close to each other in the wardrobe was really sweet, but again this was not the outside world, just a hidden place where they exist in utter harmony) and this was certainly one reason why they decided to stay with their father eventually, even if I believe the main reason was that they did not aim for a life on the road and Judy could not make it happen for them, at least not during this time of her life. Seeing her in tears inside the phone booth was still somewhat heartbreaking as she told her daughter she loves her and the daughter does not say the same back to her, which made it even worse that they decided against her I am sure. As for another child, there is of course Liza Minnelli, who was already a grown-up at that point and we see her early on too actually during the same time Judy meets her future husband.So it is a very serious film overall, sometimes a very depressing one too, but this could be expected I think if you know a bit about the character's life. The rare moments of comedy were mostly delivered by other characters (except the sarcasm), although ""comedy"" is already too much, let's say the moments that put something close to a smile on your face. I will just mention one example: the two gay guys, or especially the more extroverted from the duo. That was kinda funny, also with the egg that went really wrong. It was probably included to show how much of a gay icon Judy was and maybe still is today, also when these two start singing the song at the end. However, even these parts contain some gravity as we find out how homosexuals were discriminated against back in the 1960s still and while I don't think that discrimination isn't there anymore, we should still keep in mind that there may be worse things than perhaps that you are not allowed to decide your gender on your own. So from that perspective you can also call this film historically relevant because it tells us something about society and we should not take for granted that these times are luckily over. Now finally, one other thing I totally want to mention here are the flashback sequences to Judy's youth. This mostly refers to when we see her on the set of ""The Wizard of Oz"", which is certainly one of the worst examples of child abuse I have ever witnessed in a film. So while Garland is definitely not a saint in her grown-up days, you can really say that this period of year-long abuse turned her into who she became and that is truly sad. There was one particularly memorable moment when we have the girl (played convincingly by Darci Shaw) complain that she is so hungry, but not allowed to eat, so her shape stays the same while shooting. She gets pills, so she won't feel hungry anymore, but the consequence of these pills is also that she cannot sleep anymore, so she gets more pills that help her catch some sleep. Shocking really. Add to that that we find out her mother treated her really badly and did not only let it all happen, but even encouraged those who hurt her daughter so much. This is maybe the main reason why we see Judy try so hard to be a better parent because she knew what it was like to grow up without being loved and cared about. In addition, the other actors at the set of the film (especially those Judy's age) do not act friendly towards her either as we find out. She says it herself, but the ""birthday"" party was a ""great"" example. Still Judy was a headstrong girl at times as we see when she takes a bite from that burger or jumps into the water. However, these moments of rebellion against her chains were too rare and could not help her get out. Early on, we hear during one occasion also how she says that she would like to go to the movies like the other kids do, but of course she cannot prevail against all the grown-ups around her and also there she already has this urge to please in order to be loved, which makes her situation not exactly any better. It is all a dreamland, but for young Judy it was more of a nightmare. I think I read a while ago how Jackie Cooper (or Coogan) opened up about working conditions for minors back in 1930's Hollywood and that child actors basically had no rights at all and that is also what it felt like in this film. It was beautiful to see the camera switch and take us into the wonderous world of Oz early on, but still after knowing everything you find out in ""Judy"" about this old classic film's production, you will probably never see ""The Wizard of Oz"" the same again. I guess this will be all then. Finally, this is of course, even if more focus is on music, also a film about film with the flashback sequences. So if you are interested in these, then it is worth seeing. If not, it is as well.",Judy
2,Prismark10,Judy,6,21 December 2019,"Judy has a tour de force performance from Renee Zellweger as Judy Garland in the last year of her life.Garland had no money, no home and in a custody battle with her ex husband. She managed to get a gig at the Talk of the Town club in London, as she was still celebrated in Britain.However Garland was a wreck. Middle aged but looking older, addicted to booze and drugs.There are flashbacks to the young Judy Garland on the set of The Wizard of Oz where movie mogul Louis B Mayer coerces her to perform by any mean even by plying her with pills.Director Rupert Goold delivers a meat and potatoes bio pic. It is all by the numbers and low key. Only a scene where Garland is taken for breakfast by two gay men stands out apart from Zellweger's acting.",Judy
3,mark.waltz,The end of the rainbow had plenty of ups and downs.,7,1 October 2019,"When Judy Garland was ready to go on, her audiences got the show of a lifetime. The heart she put into those shows was so filled with the love for her audience and those who supported her, and the love of performing. The play on what this was allegedly based upon is fortunately not the dominating source of this movie as it wasn't always a dignified look, making it appear that Judy would take any kind of drug she could get her hand on, even if it was to cure a dog from mange. Fortunately, that reference is gone, and while this does show Judy drunk and spaced out from pills, it also reveals how she got hooked and the disastrous outcome of that lifelong addiction.Renee Zellwegger (""Chicago"") tops her performance as Roxie Hart, a role ironically performed on Broadway by Judy's daughter, Liza Minnelli. She doesn't look exactly like Judy or sing exactly like her, but once you get past that, she truly becomes her. TV's Judy was Judy Davis, and Broadway's Judy was Isabel Keating, and it's tough to top those iconic performances. Zellwegger gets to dip into her soul, and what is revealed is not only the greatest female performer ever, but a woman of so many conflictions, tragedies and demons that her eternal humor makes her the epitome of the true survivor which her devoted fans to this day keep close to their own hearts.It's been 50 years since she passed away, and the legend hasn't faded. The story focuses on a period of time during her last year when she took a gig at the Talk of the Town in London to try to get out of debt with. Judy recalls various abuses while a child star at MGM, challenges ex-husband Sid Luft for the custody of children Joey and Lorna, visits Liza at a Hollywood Hills party (where she meets husband #5 Mickey Deans) and gets the London offer where she is greeted like a queen.There's support from her talented pianist (whom she hits it off with immediately), the challenges her young assistant must face to please her, and of course the audience. A gay couple greet her outside the stage door, and they end up hosting her for a middle of the night breakfast. Judy gets to see first hand the love her gay fans have for her, and expresses her disgust with the indignities they have had to face to find happiness over that rainbow. They are there for up to and past the end, giving a finale that is really tear inducing.Then there's her marriage to Mickey, happy at first, but even the strongest man can only take so much. This dismisses the fact that he was with her when she died, giving the impression that he walked out on her when she needed him most even though it is obvious that she pushed him as far as he could be pushed. She is not presented as perfect, and it is understandable why many people would be frustrated with her. But when she sings, all is forgiven. Renee gets to perform search Judy standards as ""By Myself"", ""Once in a Lifetime"" and ""The Trolley Song"", culminating in of course ""Over the Rainbow"".I read in one of the many biographies on her that what happens in the finale actually did occur (I cannot recall which book), and even if it is a simple legend that has been made up, it truly is a beautiful thought to think that could happen to such a wonderful performer in a time of crisis. This is not a perfect film but it is a perfect representation of a great lady whose legend deserves to live on forever.",Judy
4,nogodnomasters,What city is this?,4,23 December 2019,"The film shows Judy Garland (Renée Zellweger) during her last six months, on a drunken down slide with some minor flashbacks to her childhood where MGM messed her up with drugs during the shooting of 'The Wizard of Oz."" There was nothing in between. Not one happy song and dance with Mickey Rooney. While Renée Zellweger did a good job the script was horrible for a biopic. It would be like showing a senile Reagan after he was President and then a few flashbacks when he was in the movies, skipping over his political career. Big disappointment.",Judy
5,kosmasp,When the first name is enough,9,28 November 2020,"I reckon if you read this or just are interested in this - mostly and many already know who the movie will be about! Judy Garland - you just need the Judy part and it's not even an exotic first name. What is even more amazing than that little fact, is the main performance. I didn't recognize her at first and I have to admit for quite some time, I didn't think much of Renee Zellweger or her acting talent ... but boy was I wrong! I missjudged her immensely and she showed me ... well actually she showed everybody but others may have thought of her differently from the get go.All that aside, this is quite the mesmerizing movie. A movie that shows someone so well loved and beloved struggling. It is what makes us connect with stars more. Sometimes because generally speaking many want to see them fail, but also because it makes them human in everyones eyes. And the script and direction meet the performance and the quality of this is just immense. Great movie, if you're even (s)lightly interested in all that",Judy
6,Sleepin_Dragon,"Decent film, with an outstanding lead.",6,22 January 2021,"I have never before been so baffled by a movie, I found this one very difficult to review, and I will explain why, the movie itself did nothing for me, but the performance of Renee Zellweger, was nothing short of brilliant.I was aware that Judy had a hard life, I wasn't aware just how hard her life was. It doesn't put Hollywood, and those that pulled the strings in a particularly good light, she was a tool to make money from.It was nicely made, the story flows well, if I were more of a Judy Garland lover I may have scored it a bit higher, Zellweger is outstanding as I say, bits of it just left me a little flat. 6/10",Judy
7,classicsoncall,"""You won't forget me, will you? Promise you won't.""",8,27 January 2020,"Renée Zellweger has never given a finer performance. There were times in the picture she looked more like Judy Garland than even Garland herself, if you can appreciate what I'm trying to say. It pains me to learn how Garland's life was corrupted by Louis B. Mayer and the studio system as far back as 1939's ""The Wizard of Oz"", when the daily regimen of pills and starvation kept her weight in line and made her unable to sleep. It would have been more informative if the picture revealed additional detail of Judy's life besides the occasional flashbacks, but it did demonstrate the pathos she encountered reflecting back on a career and marriage that had gone bust, while performing in London in late 1968. Her public rejection from the boos and jeers on stage in London was painful to watch, though her conflicted doubts about performing were largely self imposed via alcohol and self medication. I was aware that Judy Garland passed away at a young age, but didn't realize she was only forty seven when that occurred. Once again, the world missed out on a major talent who would have scaled even more insurmountable heights had she lived to perform into the Seventies, Eighties, and even quite possibly the Nineties. This film doesn't offer the definitive portrait of Ms. Garland, but as a microscopic look at the legendary performer, it's a film no fan should miss.",Judy
8,lee_eisenberg,entertainment lasts as long as it can,9,13 January 2020,"Judy Garland was one of the biggest stars of her time, and she remains one of the supreme icons of entertainment. But behind the veneer of the glamorous superstar, she was plagued by all sorts of problems (not the least of which was Louis Mayer's horrible treatment of her). Rupert Goold's ""Judy"" features Renée Zellweger as the actress/singer, on tour in London for what turned out to be her tragic end. Garland takes pills, meets with gay fans, and tries as hard as possible to maintain her act, even as she becomes increasingly erratic.Zellweger puts her all into the role, and won a well deserved Golden Globe for it. We can only wonder if Garland would've lived to be a ripe old age, had MGM not pumped her full of pills and let Mayer sexually molest her. I guess that the one saving grace of her death was that it spawned the gay rights movement, as the Stonewall uprising took place the day of her funeral.Anyway, this is a fine movie, both as a look at Garland's end and Hollywood's vicious methods of forcing its stars into submission. I recommend it.",Judy
9,jboothmillard,Judy,6,14 October 2019,"Just like Gary Oldman in Darkest Hour, I didn't recognise the star of Bridget Jones's Diary until her name appeared in the trailer, I was highly interested to see this film, directed by Rupert Goold (King Charles III). Basically, at age 14, during the filming of her breakthrough role in The Wizard of Oz, young Judy Garland, aka Frances Gumm (Darci Shaw) was told by her studio manager, Louis B. Mayer (Richard Cordery), that she had a gift that other girls do not have. At the time she was trying to surpass the success of Hollywood child star Shirley Temple. In the 1960s, Judy Garland (Oscar, BAFTA and Golden Globe winning Renée Zellweger) is in her forties, and performing with her two children. Following their removal from a hotel, due to non-payments, Judy is forced to return home to third husband Sidney Luft (Rufus Sewell), who has since divorced her. At a party, Judy meets nightclub owner Mickey Deans (Finn Wittrock), and they become close friends. During Judy's teenage years, being friends with and acting alongside Mickey Rooney (Gus Barry), including in Babes in Arms, the studio demand she controls her appetite, and give her amphetamines. In 1969, Judy is told by her agent that there is an opportunity to perform and tour in Britain. The U.S. reception to her has cooled and become unworkable due to her growing unreliability during performances. Judy decides to embark for the UK, she finds it difficult leaving her two children behind, to be looked after by Luft. In the UK, Judy continues to perform unreliably on stage due to her addictions to drugs and alcohol. Assistants, including Rosalyn Wilder (Jessie Buckley), are called upon to check on her health and fix her make-up. Judy makes it to her own London première, but is late. But the fans are enthusiastic, and Judy is in top form during her performance. A flashback to Judy aged 14 reveals that she struggled being fed with pills and meeting scheduling demands. Back in 1969 in London, Judy continues to perform to strong audience applause, including during the ""The Trolley Song"" from Meet Me in St. Louis. During rehearsals, she sings ""Get Happy"" and brings her accompanist to tears, but there is increasing frailty of health. Mickey comes to London on a surprise visit which cheers her up. Judy still has trouble making it to stage on time because of substance abuse and anxiety. At one point, she is unable to recognise where she is performing, and slurs whilst talking and singing, which causes the audience to boo. Flashing back again, Judy aged 15 is approached again by Louis B. Mayer when she has become exhausted by her childhood schedule and following her rebelling on occasions. Back in the present, her sponsoring British agent has her examined by a voice specialist medical doctor. Judy says she had a tracheotomy years ago which weakened her voice. The doctor diagnoses physical and mental exhaustion and says she needs rest for recovery. Judy's relationship with Mickey is a support to her personal life and they marry, becoming her fifth husband. Judy is suffering being separated from her children; they however are happy in school in California. Mickey tells Judy that a money deal fell through, and she must stay in England to make ends meet. At her next performance, she passes out on stage and is heckled. Judy ends her touring engagement but returns for a last night on stage where she asks to perform one last song. She breaks down while singing ""Over the Rainbow"" but is encouraged and supported by the audience who sing the song themselves. Judy asks, ""You won't forget me, will you?"" Judy Garland died 6 months later. Also starring Sir Michael Gambon as Bernard Delfont, Bella Ramsey as Lorna Luft, Gemma-Leah Devereux as Liza Minnelli, Andy Nyman as Dan, Royce Pierreson as Burt Rhodes, John Dagleish as Lonnie Donegan and Fenella Woolgar as Margaret Hamilton. Zellweger is spot on with her look as the famous actress, singer and gay icon, and her singing voice is good as well, Shaw doesn't quite capture the same closeness, and there is good support from Buckley and others. Like Bohemian Rhapsody, it doesn't quite get into the full grittiness of Garland's health problems, but it does explore her devoted gay following well, obviously the memorable tunes are also splendid, I wonder if it is a little overrated by critics, but it is emotional enough, I could see it getting award nominations, and it does celebrate a Hollywood great, a worthwhile biographical drama. It was nominated the Oscar for Best Makeup and Hairstyling, and it was nominated the BAFTAs for Best Costume Design, and Best Make Up/Hair. Good!",Judy
