,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"The production values dazzle, the film overall disappoints massively",4,14 May 2017,"Expectations for 'The Tourist' were not particularly high. Despite having a talented cast, experienced writers (including talented Julian Fellowes) and a far from amateurish director, that it was negatively received by most critics and often cited one of the worst films of its year was a turn off.Seeing it for myself, as any film, good or bad and regardless of its genre, deserves, 'The Tourist' to me was nowhere near as bad as reputed. As far as films from 2010 go, there are far worse which are not worth mentioning. However, 'The Tourist', considering the talent on and off screen, could have been much better than it turned out to be and again from personal opinion one of the year's most disappointing. And no, contrary to what its defenders lead you to believe, nobody who disliked the film was expecting an Oscar contender. I myself certainly wasn't, wanted more than anything for the talent to be used to full potential and for the film to be at fun intriguing and fun.Its best asset are the production values and makes up 2 stars of my personal rating, due to them being so good. 'The Tourist' is sensuously photographed, the costumes are suitably elegant and the locations positively dazzle, Venice in particular look stunning.The supporting cast also do well with what they have, another strong case of the supporting cast being significantly better than the leads, Steven Berkoff in particular seems to be really enjoying himself and Paul Bettany is very rarely less than game. Timothy Dalton has fun in a rather underwritten role. Johnny Depp and Angelina Jolie are admittedly great eye candy too.However, the two leads underwhelm hugely, and this is coming from someone who has seen great performances from both (Depp in 'Edward Scissorhands' and 'Ed Wood' for examples, and Jolie in 'Changeling' and 'Girl Interrupted'). Depp's performance is a mix of hamminess and being bored out of his mind. Jolie has an ice maiden femme fatale role and not only looks uncomfortable but gives one of the blandest and most annoying performances of this particular type of role in film history. There is no chemistry between them whatsoever either.That the characters are shallow and one dimensional works against the cast, and even more so the script. The script clunks even more so than cutlery being dropped on the floor, one can also really tell that there was more than one writer involved and there is a real sense of them working independently of each other rather than being a team.Florian Henckel von Donnersmarck clearly didn't have any idea what to do with the film, with the momentum and the way the story is told being all over the place. It's the story that dooms 'The Tourist' in particular, a lot of the time it barely goes anywhere and has a tendency to be told in a muddled and convoluted fashion with twists that are easily foreseeable, haphazard and ridiculous. It was very difficult judging 'The Tourist' for what it is, because it tried to be more than one thing (too many) and doesn't do much if at all with any of it.Overall, not a complete disaster but a real disappointment. 4/10 Bethany Cox",The Tourist
1,Leofwine_draca,Sappy,4,2 October 2013,"THE TOURIST is a commendable attempt to make a light comedy/thriller in the mould of movies from the '50s and '60s, usually the type starring Cary Grant or Audrey Hepburn. Everything about the style screams classic old-school Hollywood, and yet the end result is something far less impressive; a silly, way-too-slight and badly-written attempt at something different.On the face of it, Angelina Jolie looks the part of femme fatale, but there's something slightly artificial about her here. She's too good to be true, and way too thin, looking like she'll keel over at the slightest gust of wind. I also found her character slightly, unpleasantly smug. Johnny Depp is just as bad, as there's something faintly embarrassing about his fish-out-of-water turn.The film starts off strongly but lost my interest after the first half hour and never regained it. It does have some good actors in supporting roles, particularly Paul Bettany, Timothy Dalton and Rufus Sewell, but their talents are wasted in favour of having silly chase scenes and ridiculous twists that stretch credulity to breaking point and beyond. Sadly, THE TOURIST was a huge flop for a good reason: it's just a bad film.",The Tourist
2,SnoopyStyle,"stiff, cold",4,9 November 2013,"The mysterious Elise (Angelina Jolie) is being monitored by French police headed by Inspector John Acheson (Paul Bettany) of Scotland Yard and also the Russian mob. They're after Alexander Pearce who stole $744 Million in illegal assets. She throws everybody off by cozying up to tourist Frank Tupelo (Johnny Depp) pretending he's Alexander Pearce.Johnny Depp is completely miscast as the everyman tourist. He's freaking Johnny Depp. There are other actors who can fit the persona better. When Johnny Depp and Angelina Jolie team up, there is one too many too-cool-for-school A-list star in the room.The other problem has to be the stiff acting style. These two have all the chemistry of two celebrities meeting for the first time on the red carpet. The detached mannerism really drains all the excitement out of the movie. It ends up as some very pretty postcards from Europe. It's 2 dimensional and not very dramatic.",The Tourist
3,mark.waltz,"What's it all about, Anjie?",2,18 May 2016,"Still trying to figure that out. An action style opening is very uninvolving and then nothing really happens for 40 minutes. Angelina Jolie, one of the hottest actresses of the past decade or so, really isn't as much an actress as she is a scandal sheet headline. She has every man practically drooling over her, but I find her to be an ice princess whose career seems to be melting around her. It may take time, but she's a lackluster personality with too much ecologin who just isn't all that interesting on the big screen. Certainly no Audrey Hepburn in ""Roman Holiday"" taking a weekend trip to Venice via Paris.She's involved in some sort of international intrigue, and by sitting with Johnny Depp on the train from Paris to Venice involves him in her caper, putting him in danger, a sequence which finally adds some action when he is chased atop Venitian rooftops by the bad guys and ends up in an Italian prison because of it.Any time that Depp appears on screen, this film manages to be raised a notch, even though his character seems to go from dorky buffoon to wised up and angry, and following Jolie all over in spite of her admission that she just used him.One dimensional bad guys mistake Depp for one of Jolie's associates, and this continues to involve Depp in her intrigue. This should have been much more exciting and fails miserably in its attempts to be a romantic thriller with Jolie yet another adventuress living a James Bond/Indiana Jones life a la Lara Croft. At least that mediocre series moved at a fast pace. This moves along like a snail and has little cleverness. I felt sorry for Depp, but as far as Jolie was concerned, it sludged her down my ratings scale.",The Tourist
4,claudio_carvalho,"A High-Budget, for a Popcorn Version of Anthony Zimmer",4,18 June 2011,"On 21 January 2007, I saw the great French thriller ""Anthony Zimmer"" with Sophie Marceau and Yvan Attal in the lead roles. The plot recalled Hitchcock's classic ""North by Northwest"", i.e., a man mistaken for another and pursued by criminals. Today I have unfortunately seen ""The Tourist"", a high-budget film with the expensive Angeline Jolie and Johnny Depp in the lead roles and fancy locations and costumes. However, despite telling the same story, this remake is a popcorn version of the original story and the director seems to be more interested in displaying the locations and the lead couple than telling the story.My advice: do not spend your time with ""The Tourist""; see ""Anthony Zimmer"" instead and enjoy a magnificent thriller. My vote is four.Title (Brazil): ""O Turista"" (""The Tourist"")",The Tourist
5,kosmasp,Attractions,7,20 January 2011,"The Tourist does not really know what it is. I am talking about the movie in general mind you, not the character, because that would be wrong. The movie though has quite a few flaws. It feels like if you did a trip to a land, but did not really plan much ahead. And while planning sometimes makes as much sense as not planning at all, it would be nice if the tone of the movie had one ring to it.Still there is much to enjoy on this ""trip"" (as in vacation/travel, not in anything else!) as the two main actors are obviously having fun. And who wouldn't have at an ""exotic"" location as Venice. Nicely and wonderfully shot, you might not even care that much about the story. It might either too predictable or too laughable (or both at the same time). But it still can be lots of fun. And while it might take some easy ways (out), it does have enough spark to ignite your interest ...",The Tourist
6,gavin6942,Better Than I Expected,6,26 May 2011,"Revolves around Frank (Johnny Depp), an American tourist visiting Italy to mend a broken heart. Elise (Angelina Jolie) is an extraordinary woman who deliberately crosses his path.I entered this film expecting it to be a pile of horse apples. I actually sort of liked it... sexy, intriguing, a bit of action and comedy. By no means is this a movie of the year or anything, but it is a fun film and the kind that might make a good date movie.I ma not the sort to kiss Depp's butt. He is a great actor, but he is not flawless. Yet, here, I think he was really expressing a range I do not often see from him anymore. A ladies man who is shy and nervous, the Depp of ""Edward Scissorhands""... back before he was the international superstar. I liked what I saw here.",The Tourist
7,jboothmillard,The Tourist,1,14 April 2011,"Director Florian Henckel Von Donnersmarck made his debut with The Lives of Others which won the Oscar for Best Foreign Language Film, against Pan's Labybrinth, and this follow up with two mega stars everyone thought could be a hit, if only that was the case. Basically English mystery woman Elise Clifton-Ward (Golden Globe nominated Angelina Jolie) boards a train in Paris being trailed by French police, the train is travelling to Venice, and she has instructions from a female colleague to find someone with her looks and build to fool the authorities into thinking it is her. Instead, she randomly selects a man on board, that being American teacher and tourist Frank Tupelo (Golden Globe nominated Johnny Depp) who she quickly forms conversation with, and makes him think she is interested in him. Originally the police are fooled into thinking he is indeed her accomplice and lover, but Inspector John Acheson (Paul Bettany) has his identity double checked, only to be disappointed to know he is not the person, ""Alexander Pearce"", they are looking for. However another police person in the department thinks they have found the right person and reignites the search to catch him, and meanwhile Elise makes sure Frank is still with her going to a hotel room together. The next day that is when there are some chases because of the false identity, of course he does not realise they don't want to kill him, but they are shooting as they are trying to kill Elise. Also wanting to catch ""Alexander Pearce"" is Reginald Shaw (Steven Berkoff) who Elise stole money from, and it just all becomes a big mess with the identity crisis and both mobsters and police chase them. In the end, after Inspector Acheson is brought back into action, everything seems to be sorted as Chief Inspector Jones (Timothy Dalton) comes in to sort it all, and Frank has his identity proved, and gets with Elise to go off into the sunset. Also starring Rufus Sewell as The Englishman, Christian De Sica as Colonnello Lombardi, Alessio Boni as Sergente Cerato, Daniele Pecci as Tenente Narduzzi and Raoul Bova as Conte Filippo Gaggia. I was first surprised to see the critics rating before seeing the film, because the trailer made it look good, and not just because of the teaming of the two leads, like Brad and Angelina before. Depp is rather dull and only looks the part, and even with a sexy look and English accent Jolie is both boring and annoying, and the supporting cast members hardly do anything, the story with its attempts at twists and turns is ridiculous, it's trying to be like North by Northwest or something, but it just doesn't work, a terrible thriller. Poor!",The Tourist
8,ccthemovieman-1,Decent Homage to '50s/'60s Kind Of Film,7,6 April 2011,"Thanks to a lot of negative reviews, my hopes on enjoying this movie were pretty slim.....so I wound up pleasantly surprised that the film was, at very least, entertaining. Yeah, it was not hard to guess the ""twist"" near the end, but it was an enjoyable, mellow ride.This movie reminded me of old films, '50s and '60s-type spy films in which there is little action but the characters are interesting enough to make you pay attention and see if you can guess who's who and what's what. Kind or like the 1963 hit ""Charade,"" except this movie is much more low key. Cary Grant would have been ideal in Johnny Depp's role.Despite mostly dialog-driven, Angelina Jolie and Depp have star-power faces that will have you involved as does the great European scenery and photography, which is first rate on a Blu-Ray.All in all: a pretty good subtle film and worth a rental.",The Tourist
9,Tweekums,Fun if rather silly thriller,7,29 December 2011,"I didn't know much about this thriller when I sat down to watch it; just what I'd read on the DVD box and that is seldom the best source of information! As it turned out I rather enjoyed it. The opening got me interested very quickly; who was the mysterious woman being watched by French police and what had she done? It must have been serious as Scotland Yard are also after her. She gets a note from a man called Alexander Pierce telling her to take the train to Venice and sit next to somebody who looks a bit like him; she does this and meets American tourist Frank. He thinks he is getting lucky when he is invited to her hotel suite but doesn't realise the danger he is getting into Alexander Pierce has stolen a lot of money from a gangster and used a small portion of it to buy a new face; now that gangster thinks Frank is Alex! In what follows he will be shot at, chased over the Venetian rooftops, arrested and even dragged behind a speedboat, but even though it appears he has been used he falls for the mysterious Elise. Before the films climax there are a few more twists but I won't spoil them here.This might not be the most believable thriller ever made and the twists weren't the most shocking but it was good mindless fun; Johnny Depp and Angelina Jolie do decent jobs as Frank and Elise, they are supported by several well known actors including Timothy Dalton, Paul Bettany and Steven Berkoff who are fine. The action is well directed and even though one must be willing to suspend ones disbelief it isn't too ridiculous. It helps that it is set in a beautiful city which provides some stunning backdrops but that is de rigueur in a film like this; after all it was never going for gritty realism. If you want something serious give this a miss but if you want some good mindless fun you could do a lot worse.",The Tourist
