,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Well worth seeing.,8,15 June 2011,"In 1924, Cook County (Chicago) had two trials of women who killed their lovers. Both Beaulah Annan and Belva Gaertner inexplicably were found innocent--and the media loved it. As a result, in 1927, a silent fictionalized movie called ""Chicago"" debuted. Then, in 1942, Ginger Rogers starred in a remake called ""Roxie Hart"". In the mid-1970s, a musical version of ""Roxie Hart"" debuted on Broadway. And, in 2002, the filmed version of the 70s musical was released. Now that is a long and interesting pedigree! As for the film, it's an interesting melange. The songs are great and the film is very impressive...yet it's so incredibly anachronistic that it made my brain hurt. Now some of this I could understand--it was more like a filmed version of the play than most musicals. But why they chose to have ridiculously modern outfits and backup dancers confused me. Why did Catherine Zeta-Jones, Renée Zellweger and Richard Gere dress and look like they were from the 1920s--yet the rest of the dancers look right off the stage of Broadway circa 2002?! The fishnet stockings, 2002 hairstyles and the like really confused the crap out of me--especially since I am a history teacher.Still, I must point out the singing and songs were great and the story was a huge improvement over the Ginger Rogers film (which was wretched). It was well made and I was particularly impressed by Zeta-Jones (who won the Best Supporting Actress Oscar for it), Gere and John C. Reilly. They really worked their butts off and impressed me. So, because so much was right about this film I certainly recommend it. It's just too bad they didn't get the details right or even try when it came to all the minor characters and costumes. Oh well, you can't win 'em all.",Chicago
1,TheLittleSongbird,"Witty and naughty, but what a fantastic movie!",9,31 August 2009,"Yes, you may be sceptical of the casting if you saw it, but Chicago is a great movie, honestly it is. There is a sharp and witty script, wonderful performances from Catherine Zeta Jones, Renee Zellwegger and Richard Gere and brilliant song and dance routines. The film is stunningly-photographed, and it is not only that the song and dance numbers were great, but also how cleverly they were incorporated into the story, which was a fantastic idea. The costumes are also fabulous, and I thought Catherine Zeta Jones was hot as Velma. Richard Gere is his usual charming self, and Renee Zellwegger lights up the screen even if her character is rather dim-witted. The film is a little long, but I think this is a witty and naughty movie, that is absolutely fantastic in every meaning of the word, and I don't get the negative criticisms. 9.5/10 Bethany Cox",Chicago
2,Leofwine_draca,Criminally bad,2,3 April 2013,"I've been watching a few Hollywood musicals as of late, and enjoying them to one degree or another (MAMMA MIA, SWEENEY TODD and PHANTOM OF THE OPERA being three of the most recent). I decided to catch up on the Oscar-winning CHICAGO to see how it held up against them, and...I discovered that this is a nonsensical, overblown mess of a film. It's filled with actors and actresses I find it very easy to dislike - Catherine Zeta Jones, Richard Gere - and a leading performance from without a doubt the most irritating personality in modern-day cinema, Renee Zellweger, delivering yet another spin on her supposedly 'cutesy' role in BRIDGET JONES' DIARY; is there nothing else she knows how to do?CHICAGO boasts a couple of decent song 'n' dance numbers and the rest is just a dreary mess. The costume designers went out of their way to make this as sleazy a film as possible, with all the singers and dancers dressed like hookers throughout and acres of bare flesh on show; at least somebody like Verhoeven made his sexual odyssey, SHOWGIRLS, without pretension while this strives to be art.It isn't; it's abominable: boring, stupid and utterly without merit, by far the worst musical I've ever had the misfortune of sitting through.",Chicago
3,SnoopyStyle,lots of big jazzy song and dance,7,18 January 2015,"Roxie Hart (Renée Zellweger) has an affair with Fred Casely hoping he has the connection for her to break into show business. Instead he lied to her about his connection and she shoots him dead. Her simple husband Amos (John C. Reilly) figures out her affair and tells the truth. She is held as District Attorney Harrison (Colm Feore) seeks the death penalty. The prison is run by Matron Mama Morton (Queen Latifah). Big star Velma Kelly (Catherine Zeta-Jones) is also imprisoned charged with the murders of her husband and her sister. She's defended by supreme lawyer Billy Flynn (Richard Gere) but he wants $5k from Roxie to defend her. Amos can only come up with $2k but he pledges to pay the rest.Everybody makes a great effort in this Broadway extravaganza. The music and dance is big, jazzy and full-of-life. Even Richard Gere gets a passing grade in his number. The movie embraces the musical stage. The story gets overwhelmed by the musical numbers that come every ten minutes. Nevertheless, it is simply so much jazz-hands fun.",Chicago
4,Hitchcoc,Anything Goes!,9,30 March 2006,"This is a musical with a hard edge and harder characters. Its songs aren't the romantic love songs, but rather songs of anger and revenge. The plot, such as it is, makes us believe that there is no justice in the world. For this movie, this is true. Just give 'em the old razzle dazzle. It's all about fame and the public and the heroes are made in the press. Fame is about fifteen minutes at the most and then we go on to someone else. All the characters strut their outrageous stuff for us. The production numbers are terrific. Everything is done with a sneer and a wink. And it doesn't matter how many die; they are just fodder for the public. Renee Zelwegger as Roxie Hart is so vapid and yet so driven, she will step on anyone. Catherine Zeta Jones is stunning as the rival. And then there are all those women in prison who describe the offing of their various lovers. Some even die from time to time because they are not in the public eye. I was surprised to see Richard Gere. He does pretty well in his role as attorney tot he stars. He comes off quite well. He has the ability to do anything for a buck, but his loyalties are pretty ethereal. I don't know if this was a best picture but it certainly has a lot of energy and a rather sad message. Too true.",Chicago
5,mark.waltz,"Chicago, Chicago, that Murderin' Town.....",8,22 December 2014,"Singlely responsible for bringing back the big budget movie musical, ""Chicago"" deservedly won a Best Picture Oscar simply for that. Between ""Little Shop of Horrors"" in 1986 and ""Chicago"" 16 years later, only two movie musicals made it to the big screen-a quickly forgotten re-do of ""The Threepenny Opera"" called ""Mack the Knife"" and the underrated ""Evita"" which got more attention for the fact that Madonna didn't get an Oscar nomination than the fact that it was actually a really good film version of a smash hit show. Had ""Evita"" gotten better reviews, it may have signaled other Broadway musicals being made into movies, and ""Chicago"" might have come out earlier. Movie musical fans had to settle for T.V. versions of movie musicals that had already been done, and even those were a mixed bag.In the case of ""Chicago"", it is pretty much done as Roxie Hart's dream life, a fantasy she lives through as various characters come into her dreams performing musical numbers as her drama is played out. She kills her lover while living the life of ""All That Jazz"" which even she gets a verse to. Renee Zellweger gives a magnificent performance as the seemingly innocent looking Roxie (something missing from her stage counterparts), while Catherine Zeta-Jones is rough and tough as Velma Kelly, an experienced songstress who ends up in prison with Roxie as they both commit murders at approximately the same time.There's a lot of ""Jailhouse Rock"" in ""The Cellblock Tango"", and if you've seen ""That's Entertainment III"", you'll recall a similar number, ""The Lockstep"" from an early MGM musical that looks almost exactly the same. Setting Roxie's life in prison up, ""CT"" is one of the great chorus line numbers of all times as various murderesses tell their stories while a troubled Roxie settles into her life in prison. The smiling Matron Mama Morton (a wonderful Queen Latifah) could charm the garters off of these girls as she gets what she wants as long as you're good to mama.Then, there's Billy Flynn which has Richard Gere returning to his musical roots. He's excellent in this part, and certainly was deserving of a Best Actor Oscar Nomination. He's a sophisticated scoundrel who could charm the rattle off of a snake, and in getting the toughest of cases, he also gets the most publicity. Reporter Mary Sunshine is here too, a bit more cynical, as seen through the eyes of the marvelous Christine Baranski, another stage musical veteran who has been a regular presence in the movie versions of these hit Broadway shows ever since ""Chicago"" returned them to the map. John C. Reilly is milquetoast perfection as Amos Hart, tearing up ""Mr. Cellophane"" as if he was Ed Wynn back in his burlesque days. This really is a pastiche of various trends of the 1930's and 40's movie musicals, filled with the jazz of the day and magnificently staged from beginning to end.While there's a new song written for the movie, it is the songs from the original that still stand out, although the Mama Morton/Velma duet of ""Class"" is sadly missing. Fortunately, the DVD includes that outtake. A love letter to the show's original past is included with the presence of Chita Rivera in a cameo, giving her something to tie in with her soon to be produced Broadway musical 101 lesson ""The Dancer's Life"", and a reminded of how many wonderful Broadway performers were overlooked when it came time to do the film. The finale where Roxie and Velma get together (""Nowadays"") becomes delightfully pretentious and over the top, with an element of gaudy glory that is a testament to today's cynical world and an indication of why the show might have not had an extremely long run (only two years compared to the current versions 17 and counting) back during the time of ""A Chorus Line"" and ""Annie"".",Chicago
6,claudio_carvalho,What a Wonderful Movie !,10,25 January 2004,"Roxie Hart (Renée Zellweger) has a very simple life, married with the simple and cuckold mechanic Amos Hart (John C. Reilley), but is a dreamer. She dreams of being successful,  loved by the masses and rich, the same way Velma Kelly (Catherine Zeta-Jones, in an outstanding performance) seems to be. Roxie is deceived by his lover, who had promised to present her to an owner of an important night-club only for taking sexual advantages from her and kills him. In the prison, she shares the jail with Velma, who killed her husband and her sister, and they become enemies.  She meets Matron 'Mama' Morton (Queen Latifah), an important and influent jail-keeper, and Billy Flynn (Richard Gere), an expensive lawyer who never lost a case and who decided to take care of Roxie's case. Billy tries to change their passionate crimes to a different perspective to the public opinion. Yesterday I watched this movie for the first time. What a wonderful movie! The performance of the cast, highlighting Catherine Zeta-Jones in the first plan and Renée Zellweger next is fantastic. The screenplay, where reality is saw under the vision of Roxie as a musical all the time is marvelous.  The direction is amazingly perfect for a rookie director of films. Congratulations to all cast: the Oscars wined by this film were very deserved. Renée Zellweger has proved in the past that she is an outstanding actress. Richard Gere also has many magnificent movies in his career. But Catherine Zeta-Jones surprised me a lot: I could never expect those skills on her. John C. Reilley is also a great underrated actor, but he has to be careful with his roles: this is the second time, in a short period, that he plays a cuckold (see `The Good Girl'). Honestly, I did not expect such an excellent movie. The scene of the interview of Roxie and Billy is a masterpiece. Only this scene would be enough for me. But this movie offers almost two hours of pleasure.  I only regret that the DVD released in Brazil is in fullscreen, instead of widescreen. The extras are also great. My vote is ten.Title (Brazil): `Chicago'",Chicago
7,gavin6942,Highly Entertaining,8,16 September 2015,"Murderesses Velma Kelly (Catherine Z. Jones) and Roxie Hart (Renee Z.) find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.I am not particularly big on musicals, but I really enjoyed the way this mixed its songs with its narrative. You can definitely see that Bob Fosse had a hand in it, because it has the influence of ""All That Jazz"" all over it. Various incarnations have been floating around since the 1920s, but this may be the definitive one.How famous are the original killers the musical is based on? Not very. You can find them on Wikipedia and a book is written on them, but do not even bother mentioning their names... no one will know who you are talking about.",Chicago
8,lee_eisenberg,Can't stop the music (or the infotainment).,10,19 December 2005,"Years before it became fashionable for killers to use the media to get off scot free, Roxie Hart did just that. And ""Chicago"" does quite a job portraying it. Hart (Renee Zellweger) is a celebrity wannabe in the Windy City during the 1920s. After murdering her lover, she gets thrown in jail. Hearing of fellow inmate Velma Kelly's (Catherine Zeta-Jones) plan to hire hotshot lawyer Billy Flynn (Richard Gere), Roxie sees her big chance.Maybe it wasn't 100% necessary for ""Chicago"" to be a musical, but it certainly had a good plot. Much like what Michael Moore identified in ""Bowling for Columbine"", this movie shows that America seems to be stuck in the ""if it bleeds, it leads"" mentality. As for the songs themselves, ""Cell Block Tango"" was really neat; we come to understand that there are definitely two sides to every story.All in all, this movie is sure to make you respect musicals (I can say that; I usually hate musicals). The three stars all do great jobs, as do John C. Reilly as Roxie's emotionally vacant husband Amos, and Queen Latifah as brassy Matron ""Mama"" Morton. As Billy Flynn notes: ""Nothing attracts people's attention like fresh blood. God save Illinois."" I probably wouldn't have given this Best Picture (I probably would have gone with ""Gangs of New York""), but Catherine Zeta-Jones certainly deserved her Oscar.",Chicago
9,jboothmillard,Chicago,8,11 July 2005,"From Oscar, BAFTA and Golden Globe nominated director Rob Marshall (Nine, Pirates of the Caribbean: On Stranger Tides, Into the Woods), this had been in the pipeline for a film adaptation for years,but the waiting was worth it, based on the successful Broadway musical. Basically housewife Roxie Hart (Golden Globe winning, and Oscar and BAFTA nominated Renée Zellweger) dreams of being a vaudeville star, she is arrested and imprisoned for killing her boyfriend Fred Casely (Dominic West), shooting him, because had promised, but lied, to her about giving her a big break at the Onyx Club. Also imprisoned with her at Cook County jail is her idol, chanteuse and tease Velma Kelly (Oscar and BAFTA winning, and Golden Globe nominated Catherine Zeta-Jones), who killed her husband and sister after finding them in bed together, but there to help the women prisoners, for a price, is prison matron, ""Mama"" Morton (Oscar, BAFTA and Golden Globe nominated Queen Latifah). Advised by Mama, Roxie puts all her trust for being exonerated on Velma's brilliant lawyer Billy Flyn (Golden Globe winning Richard Gere), who has never lost a case, he pulls Roxie's strings and wants to make the press believe that she was defending herself with the gun against Casely, and slowly Roxie does become a national treasure with the exposure. There is a point though when Velma is gaining the spotlight again and making it less likely for the press to pay attention and help her win her case, and her naive simple-minded husband Amos (Oscar and Golden Globe nominated John C. Reilly) did not convince the police when he takes the blame, so Roxie convinces the press that she is pregnant, to Velma's dismay. Roxie is all over the front pages of newspapers and uses her fame to her advantage, Velma is somewhat left in the dirt, and finally the court case goes ahead, and Billy does everything he can to defend Roxie as his client and make the jury and all of this invented story that the death was not intentional, and he wins. Following the case though Billy is quick to move on to his next case, Velma also gets herself out of prison, she finds Roxie making an unsuccessful attempt to audition to become a vaudeville actress, they do still resent each other, but they realise they could become stars again helping each other, and Roxie and Velma earn love from an audience, with a standing ovation, with a spectacular stage performance together. Also starring Christine Baranski as Mary Sunshine, Taye Diggs as Bandleader, Lucy Liu as Kitty Baxter, Colm Feore as DA Martin Harrison, singer Mýa as Mona and Chita Rivera as Nickie. Zellweger I think should have won her Oscar for this film, rather than for Cold Mountain, she does a brilliant performance, both singing and acting, Zeta-Jones deserved her Oscar as the feisty showgirl, also great at singing, and Gere proves himself a worthy actor and singer as well as the deceitful lawyer. The story mixing both a girl wanting to be a musical star with a murder trial is clever, seeing the characters play out key scenes as fantasy stage show performances, the costumes and sets are lavish and splendid looking, and all the songs, including ""All That Jazz"", ""When You're Good to Mama"", ""We Both Reached for the Gun"", ""Roxie"" and ""Razzle Dazzle"" are catchy and spirited, a marvellous musical comedy drama. It won the Oscars for Best Art Direction-Set Decoration, Best Costume Design, Best Editing, Best Sound and Best Picture, and it was nominated for Best Cinematography, Best Song for ""I Move On"" and Best Writing, Adapted Screenplay, it won the BAFTA for Best Sound, and it was nominated the Asquith Award for Film Music for Danny Elfman, John Kander and Fred Ebb, Best Cinematography, Best Costume Design, Best Editing, Best Make Up/Hair, Best Production Design and Best Film, and it won the Golden Globe for Best Motion Picture - Musical or Comedy, and it was nominated for Best Screenplay. Richard Gere was number 76, and Julia Roberts number 29 on The 100 Greatest Movie Stars, and he was number 43 on The 100 Greatest Sex Symbols, Catherine Zeta-Jones was number 10 on The 50 Greatest British Actresses, and she was number 39 on The 100 Worst Britons, ""All That Jazz"" was number 98 on 100 Years, 100 Songs, the film was number 12 on 100 Years of Musicals, and it was number 8 on The 100 Greatest Musicals. Very good!",Chicago
