,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Predictable fluff, but bright and energetic fluff all the same",7,19 October 2010,"While Bring it On is not a masterpiece in any shape or form, I have to admit I really enjoyed it. Sure it is fluffy and predictable, with clichéd characters and scenarios, but when you look past the flaws you have a bright and energetic film with a fair amount to redeem it. For instance, it is beautifully filmed, and also has an agreeable soundtrack and sprightly cheer-leading choreography. The dialogue is smart and doesn't feel cringe-worthy or inane, the pacing is snappy and direction is decent. The performances from the cast are very spirited, especially from Kirsten Dunst who is appealing in the lead. In conclusion, not brilliant but energetic and dare I say fun. 7/10 Bethany Cox",Bring It On
1,SnoopyStyle,Fun cheerleader movie,7,19 August 2014,"Torrance Shipman (Kirsten Dunst) is voted the new captain of the Toro cheerleading squad at San Diego's Rancho Carne High School taking over from Big Red (Lindsay Sloane). After Carver is injured, she picks rebellious gymnast Missy Pantone (Eliza Dushku) to replace her. Missy's brother Cliff (Jesse Bradford) and Torrance develop chemistry. It should be straight forward to win the national championship for the sixth year in a row with their standard routine. However Torrance discovers that Big Red had actually stolen the choreography from an inner city squad the Clovers led by the Isis (Gabrielle Union).It has the cutesy wacky sensibility of Clueless and the structure of a traditional sports movie. The sport just happens to be cheerleading. It's fun and it's silly. It has its irreverent moments led by a great performance from Kirsten Dunst. At least, there are a few more shades to the traditional dumb mean cheerleader stereotype. The lingo is hilarious. If the viewer is willing to be not so high minded, this cheerleading movie could be a bit of fun.",Bring It On
2,lee_eisenberg,a new kind of cheerleader movie,8,26 August 2015,"One would expect a cheerleader movie to be an empty one. ""Bring It On"" turns out to be a more creative one. Basically, it shows how the girl appointed captain of the cheerleaders discovers that their act is stolen and she tries to make amends. The movie does have some low humor and other things that we expect in these movies - i.e., the bikini scene - but it's a good movie. A subtle look at the theft of African-American culture by white people (essentially the story of rock 'n' roll; ""Dreamgirls"" focused on this). In the meantime, ""Glee"" presents another look at cheerleaders.PS: a scene in 2001's ""Not Another Teen Movie"" parodied this movie.",Bring It On
3,Quinoa1984,"Ok, terrific",5,29 August 2000,"(Possible spoilers, references to other things also)I know what I am about to review may not be for everyone, I'm sure that plenty of air-headed girls will think this film is a Citizen Kane for the 21st century, but I am speaking for myself and, or, anyone with a partially functioning brain.  This film, uh, uh, sorta SUCKED.  There are plenty of things in this film to show how it could've been better, for instance, they could've made a right instead of a wrong to maybe make this a good satire like Election.  But, in the end, it turns out to be a mutation making the ninja turtles look like Steve Forbes (although I'm not sure if he's human either).  It is a un-needed cross of nickelodeon marketing to kids (so more will see a PG-13 movie) while having dialogue and things in it better left in American Pie.  Which is unfair, because films like American Pie, Election and even South Park, keep with stuff that might be ok for kids (I think) while not being censored.  Well, enough of that, I had enough of that with Coyote Ugly.  Anyway, The plot surrounds a 5-time champion cheerleading tem the Torros (led by a talented yet misused Kirsten Dunst) who have just found out by no fault of they're own that there cheers are actuallt rip-offs of a black team's (another case of the white stealing from the blacks in a hidden message). Some things happen though to help out the Torros, including the hiring of an illegal choreographer (and not getting any punishment at all) and some other dumb plot lines.  While the dancing is somewhat entertaining, the story to back it up smells more than a indian cabbie driving for 72 hours straight. Wacthing this film, and getting dumber and dumber comedy along the way, i yearned for some good things to come out, and nothing came.  Which is why this might seem good to some (mainly the hot bodied and no-brained cheerleaders whbo try to have a film to life connection) but others should beware like a dog in heat.  D",Bring It On
4,michaelRokeefe,May the best moves win!,6,29 August 2001,"Torrance Shipman(Kirsten Dunst)becomes the new captain of the high school cheer leading team that takes pride in winning competition championships year after year. She discovers that the cheers and routines for the last several years have been stolen from another school's squad. Torrance relies on a reluctant gymnast named Missy(Eliza Dushku)to convince the cheer team to learn new material to take to the next state competition. What a shame it is that the football team is so awful that the schools pride is in the cheerleaders. This is an interesting eyeful, but actually just another vehicle for the enticing Miss Dunst.Fine support from:Pua Kapiolani, Tsianina Joelson, Clare Kramer and Nicole Bilderback. If you have a cheerleader fetish, you will think this romp deserves an Oscar. Nonetheless enjoyable.",Bring It On
5,studioAT,Bring It On,2,9 June 2021,"The stars are likable, but this film doesn't amount to much.Not great.",Bring It On
6,sunwarrior13,A Satire On Cheerleading,6,12 July 2015,"If there is a movie about cheerleading that one could probably enjoy,then this Kirsten Dunst movie entitled Bring It On could be the right one for you. This teen comedy makes fun of cheerleading and it has a story the revolves around Torrance Shipman,who inherits the position of captain of her San Diego high school,who happens to be the six-time championship-winning cheerleading squad. Torrance discovers that being captain of her high school cheerleading squad is extremely demanding and more complicated that she previously imagined.Her parents want her to focus on her studies.Her boyfriend wants to spend more time together.The former captain she learns stole routines from other schools particularly the best ones.And,the captain of their rival school becomes more determined than ever to beat them in this year's competition.It got worse when one of the cheerleaders got injured and she fell in love with Cliff,who apparently does care about cheerleading at all.Torrance tried to overcome all the obstacles that she is faced it and overcame everything humorously in the end.It was evident the movie is leaned towards teen-agers and it presents itself as a satire for cheerleading.It was obviously clichéd and predictable but it became a better-than-average movie through the energetic performance of the cast particularly Kirsten Dunst.Also,there were a lot of humorous scenes that will make you laugh despite the presence of raunchy humor.Overall,it was a feelgood movie.",Bring It On
7,hitchcockthelegend,Maybe we should join the team.,7,5 October 2008,"Torrance is the newly appointed captain of cheerleader champions the Toros. After one of the team suffers an accident, the Toros recruit gymnastics star Missy Pantone, but upon witnessing the Toros first routine Missy is disgusted and points out that it has been stolen from another team called The East Compton Clovers. This opens up a whole can of worms that not only brings the Toros into conflict with the Clovers, but also means that they must come up with an original routine if they are to win the American championship honestly.Spirited picture about cheer leading? Well yes it is, it's witty, smart and ever so amiable. Tho the film loses some of its sharpness in the final quarter (a brave ending would have made all the difference), Bring It On clearly touches on race and class issues whilst bringing to the fore the competitiveness of cheerleader teams. The usual formula's of bitching and back stabbing are naturally in here, and of course no film of this type would be complete without some strand of treacle plot love, but the mix is fine and the exuberance of the routines is hugely enjoyable cinema. Kirsten Dunst, Eliza Dushku, Gabrielle Union and Jesse Bradford fill out the cast and all offer something in the way of watch ability.It could have been so much better for sure, but Bring It On is very entertaining film about a subject that until this picture came out (subsequent sequels would follow) was hardly tackled with this sort of vigour and intelligence before. 7/10",Bring It On
8,preppy-3,"Fun, silly movie",7,8 September 2000,"OK, it has its boring spots and not all the comedy works, but this movie about cheerleading competition is usually very enjoyable.  The acting in uniformly good (especially Dunst) and the movie doesn't take itself seriously once (really, how could it?).  As for all those comments about how this isn't a work of art and makes fat girls feel worthless--come on!  It's just a silly teenage comedy!  This has NO pretensions to be a work of art and anyone who takes it as a serious message movie should have their head examined.  Also the guys are cute in the movie and it's pretty gay positive. My only complaint--couldn't the guys have taken their shirts off just once? God knows there are tons of scenes with the girls scampering around with next to nothing on (all within PG-13 limits though).",Bring It On
9,Uriah43,A Bevy of Attractive Actresses,5,20 October 2018,"This movie begins with a high school student named ""Torrence Shipman"" (Kirsten Dunst) being selected as the captain of the cheerleading team. Needless to say, this is a great honor. However, in this particular case the previous cheerleading teams have won the national championships for 5 years in a row and everybody expects this year's team to be no different. That being said, things start off rather badly when one of the cheerleaders is injured and put out of commission at the very first practice. Needless to say, finding a qualified replacement on such short notice is an extremely difficult task but, as luck would have it, just when things looked extremely bleak a new student by the name of ""Missy Pantone"" (Eliza Dushku) auditions and agrees to take the empty spot so that things can begin to proceed as normal. Unfortunately, just prior to their first competition Torrence learns that the cheers they have worked on for so long have been stolen from another school and to continue with them would severly impact their chances. Not only that, but the team who invented the cheers are extremely good and intend on proving themselves in the national championships as well. Now rather than reveal any more I will just say that this was an okay comedy for the most part with a few good laughs to be had here and there. Likewise, having a bevy of attractive actresses like Clare Kramer (as ""Courtney""), Nicole Bilderback (""Whitney""), Gabrielle Union (""Isis""), Tsianina Joelson (""Darcy"") and the aforementioned Kirsten Dunst certainly didn't hurt either. On the other hand, however, I must admit that some of the drama was a bit clichéd and the overall plot was rather predictable as well. All things being equal, I suppose it managed to pass the time well enough and for that reason I have rated it accordingly. Average.",Bring It On
