,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"While the film lacks traditional thrills and pacing, it gets huge marks for replicating what life was like at sea.",9,7 June 2012,"""Master and Commander: The Far Side of the World"" is a very unusual film because the filmmakers obviously were not attempting to make yet another Hollywood style blockbuster. Instead, they seemed to be doing the impossible--make a film that tries very hard to replicate what life was like at sea back during the Napoleonic Wars. As a retired history teacher, this is the sort of stuff I love--even if in the original, the 'bad guys' were actually the Americans and it was set during the War of 1812! I assume they changed the enemy to the French to make the film more marketable. After all, it would be a hard sell in the large American market to get the audiences to root for the British Navy in this altercation! The story occurs around the beginning of the 19th century. The Brits and French have been fighting off and on for almost a decade (and would continue to do so until 1815). The action is set aboard a British Naval ship commanded by Captain Jack Aubrey (Russell Crowe). His ship has encountered a larger and faster French vessel and managed to escape. However, instead of running, Crowe plays a very determined man--and spends much of the film hunting down this ship. Along the way, there are lots of adventures--mostly of the variety you might actually have seen during the era. I could talk about them, but frankly this would spoil the suspense.Overall, while this film is very slowly and deliberately paced (which will obviously turn off some viewers), the film is so expertly crafted that for a reasonably patient viewer, it should be a very engaging film. The film looks great--with a lot of attention to details and accuracy. It also has the best looking sea footage you can find in a period film--especially when the ship is rounding the Cape (it must have been amazing on the big screen). The acting is lovely as well--understated but quite realistic. Well done in every way and the director really deserves kudos for this one. While I love films from the same period as ""Damn the Defiant"", ""Captain Horatio Hornblower"", ""Mutiny on the Bounty"" and the like, clearly ""Master and Commander"" is superior when it comes to accurately portraying the life of a seaman.",Master and Commander - The Far Side of the World
1,bkoganbing,"""This Ship Is Our Home, This Ship Is England""",9,7 June 2008,"For those who like action and adventure from a more romantic age you can't beat Master and Commander: The Far Side of the World for your needs. As a film it rates right up there with Captain Horatio Hornblower which starred Gregory Peck and Damn the Defiant with Alec Guinness, a couple of films I liked very much.Russell Crowe completely fits my conception of Patrick O'Brian's Napoleonic naval hero 'Lucky Jack Aubrey'. He's a worthy successor to C.S. Forrester's Horatio Hornblower. The books have been best sellers for years and this is Jack Aubrey's first screen appearance.The film opens with Crowe in command of a ship that's just seen a lot of action and it's not in the best of shape. Orders from the Admiralty come to him. There's a French frigate who's quite a bit bigger than Crowe's ship, nevertheless she's the only one near her in those southern latitudes so it's a search and destroy mission. One that can't be accomplished until necessary repairs are made.There's surprisingly little combat action in this film until the very end. It concentrates on character and goes into the most minute of detail the life on board a British ship of the line during the Napoleonic Wars. The action takes place in 1805 right after the Battle of Trafalgar and the United Kingdom is still keeping a lot of ships close to home.Crowe is nothing short of outstanding as Aubrey the charismatic captain of this vessel. He gets good support from the rest of the cast, my favorites being ship's surgeon Paul Bettany and Max Pirkis as the young midshipman who Crowe takes a fatherly interest in.In a sense the character's nickname of 'Lucky' is a misnomer. What you get Crowe's Jack Aubrey is a man of skill and daring and experience who knows how to take advantage of breaks and make his own luck. Never more so when he has that final encounter with the French ship.Master and Commander: The Far Side of the World gives you a real feeling for the Napoleonic era. I do hope that Russell Crowe gets another chance to bring 'Lucky Jack Aubrey' back to the screen again.",Master and Commander - The Far Side of the World
2,Leofwine_draca,Above average seafaring adventure,7,26 August 2016,"Despite the unwieldy title, this film is an unexpected pleasure – an actor's film, which is a rare thing nowadays in Hollywood. It's certainly not an action film – there are only two major sequences and they bookend the movie – but instead it focuses on characters as they develop through action and reaction. As such it's a surprisingly mature piece of work, featuring some excellent performances from the likes in particular of Russell Crowe and Paul Bettany, playing the ship's captain and doctor respectively. There's no showiness here, just strong, subtle work, and it's hard to choose who gives the best performance between the two of them because they're both great.This is an adaptation of a novel by Patrick O'Brian, which I haven't read as yet, although I believe it's a loose version of the story. Whatever the origins, it looks great, with often breathtaking shots of scenery – the Galapagos Islands, for instance. The ships are models for the most part, yet it's impossible to tell this, as the effects are very good indeed. I really liked the strong undercurrent of humour running through the film – such as the ""lesser of two weevils"" joke – and the surprisingly touching moments of humanity, like the boy who loses an arm and yet goes on to become a hero.What happens on screen might be familiar – there's the usual catalogue of ship-bound perils like droughts, deserted islands, wrecks, storms, cannon battles and a particularly well-handled ""Jonah"" – but this is about a hundred times better than PIRATES OF THE CARIBBEAN which came out around the same time. It's no surprise that the latter production, a bloated Disney cartoon, was the more successful of the two and the one that went on to spawn sequels...",Master and Commander - The Far Side of the World
3,SnoopyStyle,Impressive battles and great Russell Crowe performance,9,19 July 2014,"In April 1805, Napoleon rules Europe. British frigate H.M.S. Surprise under the command of Captain Jack Aubrey (Russell Crowe) is ordered to intercept French Privateer Acheron. In the first battle, Aubrey quickly discovers that Acheron is actually bigger, faster and more powerful skippered by a smart tactician. He escapes only through his skills and experience. After being soundly beaten, Aubrey decides to keep going instead of returning to base to refit. The ship's surgeon and Aubrey's friend Dr. Stephen Maturin (Paul Bettany) clash with him more and more as the far ranging battle continues.The action is exciting and more realistic than sail seafaring battle movies before it. The most compelling are the splinters that fly everywhere. It is the CGI that pushes the envelop on this action. Realism is everywhere. It is dirty, ugly, bloody, and horrifying. Russell Crowe delivers a solid performance to anchor this movie in reality. Then there are the everyday things that happen in between the battles. This has the epic scale conflicts but the human size struggle.",Master and Commander - The Far Side of the World
4,Hitchcoc,Awesome Nautical Tale,9,14 February 2006,"Despite his bad boy image, Russell Crowe is an actor for our time. He can integrate a softer side with power in his roles. This is a great adventure with magnificent seascapes and intrigue. The producers went to great length to make the presentation of life aboard the ship true to the period. Many of the seamen were actually children, even officers, who commanded the older, but less educated crew. As with most movies about ships at this time, the claustrophobic nature of the life was always evident. Crowe's character, Captain Aubrey, is duty bound to risk it all, against better ""advice."" All choices rest with him; it is his ship. The younger actors project an adulation that leads them to overlook their insecurities and latch on to bravery in the face of insurmountable odds. It's a French ship; they have no choice, thought they may die. The special effects are fine. Like so many movies of it's kind, at times the ship seems 400 feet long and at times 40 feet. So much action goes on on deck and above, on the masts. There are also some real human stories as subplots, including that of a young man who rides at the breaking point. The battle scenes are breathtaking. I wonder if there will be a sequel.",Master and Commander - The Far Side of the World
5,claudio_carvalho,"Too Long Running Time and Title, and Totally Overrated Adventure",6,3 October 2004,"In 1805, during the Napoleonic Wars, Jack Aubrey (Russell Crowe) is the Captain of the British frigate 'HSM Surprise', assigned to battle against a bigger and more powerful French war frigate. Like in 'Moby Dick', Jack becomes obsessed with the idea of capturing the enemy vessel and pushes his crew to the limit in a very long voyage in South America.""Master and Commander: The Far Side of the World"" is well produced, has a great reconstitution of the Nineteenth Century frigates and has great shots. However, the story is too long and sometimes boring, and is based on two lead characters only: Russell Crowe and the excellent Paul Bettany, in the role of Dr. Stephen Maturin, the surgeon of the 'HSM Surprise'. In accordance with the cover of the DVD, this movie received ten nominations to the Oscar, therefore it is completely overrated. 'Master and Commander: The Far Side of the World' has a long title, a too long running time and is nothing more than a good adventure. My vote is six.Title (Brazil): 'Mestre dos Mares - O Lado Mais Distante do Mundo' ('Master of the Seas - The More Distant Side of the World')",Master and Commander - The Far Side of the World
6,lee_eisenberg,Just sit right back and you'll hear a tale of another great Peter Weir movie.,10,12 February 2006,"I've never seen a Peter Weir movie that I didn't like. ""Master and Commander: The Far Side of the World"" further backs that up. Russell Crowe plays Capt. Jack Aubrey, leading a ship around the world to chase a French frigate in 1805. He and his shipmates have many experiences, all the while sticking together and remembering their duty.It's especially interesting that this came out the same year as ""Pirates of the Caribbean: The Curse of the Black Pearl"". I guess that this combination affirms that movies about people sailing the high seas always make for something good, as ""Gilligan's Island"" long ago ensured. You're sure to like it.",Master and Commander - The Far Side of the World
7,jboothmillard,Master and Commander: The Far Side of the World,7,1 April 2008,"From BAFTA winning, and Oscar and Golden Globe nominated director Peter Weir (Witness, Dead Poets Society, The Truman Show) this is a film I had previously tried twice, and, somehow, got bored in the first 15 or so minutes, I'm glad I stuck it out the third try. Basically it is 1805, during the Napoleonic war, and the Royal Navy ship HMS Surprise led by Capt. Jack Aubrey (Golden Globe nominated Russell Crowe) who is under orders to sink or capture the French attack ship. The film is basically battle, chat, battle, chat, battle, last chat, a bit repetitive, but still fun to watch, for the battles anyway. Also starring BAFTA nominated Paul Bettany as Surgeon Dr. Stephen Maturin, The Lord of the Rings' Billy Boyd as Coxswain Barrett Bonden, James D'Arcy as 1st Lt. Tom Pullings, Lee Ingleby as Midshipman Hollom, George Innes as Able Seaman Joe Plaice, Mark Lewis Jones as Whaler Mr. Hogg, Chris Larkin as Royal Marines Capt. Howard, Richard McCabe as Surgeon's Mate Mr. Higgins, Robert Pugh as Master Mr. Allen, David Threlfall as Captain's Steward Preserved Killick and Max Pirkis as Midshipman Blakeney. The performances are good, the battles are all eye-catching, a good film. It won the Oscars for Best Cinematography and Best Sound Editing, and it was nominated for Best Art Direction-Set Decoration, Best Costume Design, Best Editing, Best Makeup, Best Sound Mixing, Best Visual Effects and Best Picture, it won the BAFTAs for Best Costume Design, Best Production Design, Best Sound and the David Lean Award for Direction, it was nominated for Best Special Visual Effects, Best Cinematography and Best Film, and it was nominated the Golden Globe for Best Motion Picture - Drama. It was number 46 on the 100 Greatest War Films. Very good!",Master and Commander - The Far Side of the World
8,ccthemovieman-1,"Looks Great, Sounds Great, IS Great",10,11 January 2006,"What a magnificent adventure story, pure and simple.It's unusual in that there are only two action scenes over the 2 hour, 19-minute film, one near the beginning and one near the end. They don't go on that long, either. For a modern-day film, that's very unusual. However, that doesn't translate to infer this is too talky or boring. The film will keep your interest all the way. However, for any ladies out there looking for a bit romance in this tale, it isn't there. In that respect, unless you want to ogle at Russell Crowe, this a man's film with an all-male cast.This movie is a great demo on how to make an adventure film fascinating without blood and guts and explosions every two minutes. It's an heroic tale, right down a little boy who shows us what guts are all about.This movie won the Academy Award for both cinematography and sound and both honors were well-deserved. If you really want to appreciate this movie, see it on a nice TV and play it with 5.1 surround sound. The creaking of the ship coming out of all the surround speakers is awesome, just in itself.One negative I had on the first viewing, which I corrected on the second, was the dialog. I had trouble with some of the accents and the naval terminology but that was corrected by putting on the English subtitles.If I could sum this movie up in one word it would be ""classy.""",Master and Commander - The Far Side of the World
9,rmax304823,Nicely Done.,7,16 November 2004,"It opens with the most realistic sea engagement I've ever seen in a movie, helped immeasurably by the prudent use of CGIs. The performances are all pretty good -- and what a surprise to see such a straightforward adventure tale from Peter Weir, master and commander of the subliminally ominous.For my taste, which may, admittedly, be a little warped, the movie doesn't give us quite enough of the exhilaration of being at sea. I mean that zesty feeling of being windswept on a weather deck in the middle of an empty sea with bright sunshine all around. The one thing all these sailors would have in 1805 is sun tans but they look pale and sweaty. The visuals are a bit dark and gloomy, which is okay during storms when you're trying to get around the Horn but not when you're anchored in the Galapagos.Still, this is above average. Russel Crowe is neither Errol Flynn nor Captain Bligh. He's more like Horatio Hornblower but with more nearly human quirks than just clearing his throat. As the captain, Crowe plays a lively tune by Boccherini on the violin to the doctor's cello. Nice work too. And on happy occasions he gets drunk with his fellow officers and makes lousy jokes. There is one astonishing shot of Crowe and a companion perched on the tiptoptoloftical peak of the mainmast, atop the topgallants or something, a million miles in the air. How did he get there? Was Crowe digitalized in? If not, they're not paying him enough.We have the British fighting against what are traditionally called ""overwhelming odds,"" a French super frigate, the Acheron, which they finally take after a bloody battle.What a more interesting and less popular flick it would have been, had the foe of the original novel been retained, the Americans during the War of 1812. No one would have gone to see it. The French in 1805 are an admirable substitute. The enemy is not ""France"", it's ""Napoleon."" The huge American audience feels less in common with France than with the Brits. Also during Napoleon's attempt to conquer the world, there was an opponent worth fighting, not to mention Jerry Lewis and bidets. But the War of 1812 -- well. Something about the Brits impressing American seamen, wasn't it? As a casus belli, the concept is a little difficult to grasp. And it proved to be a thoroughly bad idea by President Madison.""Master and Commander"" gives us heroes we can root for. We see everything from the point of view of the British sailors aboard the Surprise, just as we would in an Errol Flynn movie, although Crowe is a far more complex character. But suppose the Acheron HAD retained its American identity? What would our response, as Americans, have been? Would we still have been cheering for the Brits as eagerly as if it had been a soccer game? Would we have been tickled to see the Acheron blown apart? Such an added layer of complexity might have prompted us to think about the nature of war. (Gosh -- it's not REALLY a football game.) It would have challenged our loyalties. It might even have caused us to think a little about the nature of human nature. Why does battle seem so tragic only when OUR side suffers? Or -- worst of all -- what is it, buried deep in my limbic system, that makes me want to shout YEAH when Crowe outwits the Frogs? Whatever the answers, they're not likely to turn out to have the same effect as bright sunshine on a windswept deck. As I say, nobody would go to see it.There are three main conflicts, all handled deftly. The faceless enemy against the British, from ""Horatio Hornblower"" and ""The Sea Hawk."" The sullen crew versus an officer, familiar to us from, oh, ""Moby Dick"" and ""Damn the Defiant"" and ""Mutiny on the Bounty""; and a more interesting conflict of interests between the intellectual doctor who wants to explore the Galapagos Islands thirty years before Darwin, and Russel Crowe's captain, who is determined to pursue and destroy the Acheron. We can see a similar disjunction between the egghead and the practical man of common sense in ""The Thing From Another World"" and ""Ball of Fire."" It's the difference between the theoretical physicist and the engineer. In the movies, the engineer often shows up in uniform and almost always wins the debate. The movie is worth catching. Lots of sea lore and tradition, almost an exercise in history. And with its innovative score and outstanding CGIs, it's a sensory feast too.",Master and Commander - The Far Side of the World
