,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Chinatown with Tourette's,6,12 December 2020,"It's 1950's New York. Private detective Lionel Essrog (Edward Norton) has Tourette's Syndrome. His boss and best friend is murdered while on a case. He intends to solve it and find his killers. It leads him to a series of urban gentrification efforts against the black and Latino population. A mystery man (Willem Dafoe) directs him to all powerful developer Moses Randolph (Alec Baldwin) who controls everything including the politics. He falls for Laura Rose (Gugu Mbatha-Raw) who is fighting for the minorities in the city.I really like the story of corruption and power in city politics. It's Chinatown all over again. I wish that Edward Norton played it straight with a little more clarity in the beginning. Mostly I wish that he could get out the Tourette's. I haven't read the book and I'm not saying that he's doing it wrong. The story is so dense that more than anything, the Tourette's is distracting. It's unnecessary and it doesn't serve much. There are obvious mistakes that Lionel makes but I buy them for his character. He's smart but this is not Sherlock. All in all, I really like the crime noir story but I still want some changes.",Motherless Brooklyn
1,boblipton,Great Acting,7,10 November 2019,"Edward Norton has Tourette's Syndrome, which comes out when he is stressed, which does not include driving a car, or getting into a gunfight or walking into a strange location when you expect them to kill you. He works for Bruce Willis, who runs a detective agency out of Brooklyn. Willis gets kidnapped and shot, so Norton is the man in the shop who is supposed to track down the killer. This leads him on a tour of an alternate 1956 New York City, which seems to be populated by great actors like Willem Dafoe, Gugu Mbatha-Raw, Cherry Jones, Bobby Cannavale and Alec Baldwin as a megalomaniac closely modeled on Robert Moses. One of them is the bad guy. Guess which and why.... I had it figured out four minutes before Norton did, but then, I don't have Tourette's. Still, that means it's a fair mystery.... not who, but why.Mostly, though, it's a chance for actors to strut their stuff, and none more so than Norton, who besides having Tourette's has an eidetic memory, smokes pot to control his symptoms, and will never be rich. No one seems to be put off by his tics, including touching women, making comments which are mildly lewd, making noises while jazz musicians play, and in one scene where he is trying to light a lady's cigarette, repeatedly lighting a match and blowing it out before it can get to the cigarette. Everyone is astonishingly enlightened, except, of course, Baldwin. Being evil, he hates poor people, and Blacks in particular.Good acting, but when I want to visit 1956 New York City, I don't want everyone there to be from 2019. Still, some great acting, some great locations, and the CGI recreation of Penn Station revives my anger towards the morons who tore it down.",Motherless Brooklyn
2,nogodnomasters,I have threads in my head,5,24 January 2020,"Lionel Essrog (Edward Norton) has a mild case of Tourette's Syndrome but acts as if he has autism as he can remember everything. He works for Frank Minna (Bruce Willis) who gets whacked early. He embarks on his own investigation that takes him into the powerful New York Borough Authority.It was an interesting film and in spite of the twists, you knew how it would end and if your good, you knew where the clue was located.Guide: F-word. No sex or nudity.",Motherless Brooklyn
3,kosmasp,Norton is working it,9,24 March 2020,"Actually more than working it, because he's doing multiple things or has multiple layers. So it's not just the acting and directing (and whatever else he did on set and behind the scenes), it is that his character is quite - colorful and diverse to put it mildly.He also is someone who swears a lot. It is a condition but try to explain that to someone. Norton does a wonderful job portraying something that is not easy. But he knows his way around outside/inside and more than one layer of character in his roles. This is a love letter to detective movies and movies of the past. It is also a matter of taste. Some will like it and some will question the pacing (which for what it is, is perfect and in tune with the theme it portrays) - all in the eye of the beholder - or detective I guess",Motherless Brooklyn
4,LeonLouisRicci,CHINATOWN=L.A. WATER...NYC=HARLEM LAND...ED NORTON=BIG IDEAS UNLEASHED,7,2 September 2021,"One has to Wonder whether Star-Writer-Producer-Director Edward Norton Wondered if it would All End Up this Gigantic when He first Idealized this Behemoth.The Film is Nothing if Not Grandiose in its Vision...A Reworking of a ""Chinatown"" (1974) StoryA Neo-Noir Set in a Noir EraA Slick and Glossy Patina of Stylish IconsA Complex Story Unraveling by way of a Tourette Syndrome Gumshoeand the Beat Goes On for Two and a Half Hours.Not to say that it is Failure of Fulfillment for the Viewer.It is Filled with Watchable Admirable Images of a Time when the Dodgers were in Brooklyn (at least for the short term), and NYC was Bursting at the Seams and in Need of Land, Land, Land.Norton Succeeds in most of what He Aspires in a Daunting Task, Wearing so Many Hats it is a Wonder the Movie is as Good as it is.But Greatness Eludes the Film-Maker.It Collapses Under its Own Weight with so Much Going On, and so Many Characters that in The End the Denouement is a Diluted Disappointment.Getting There is a Tad Confusing and at times a Tad Understated, leaving the Audience a Tad Bewildered by it all and the Wrap-Up Unremarkable.But the Hubris of Norton's Unbridled Dream is Worth a Watch.",Motherless Brooklyn
5,CinemaSerf,"Takes a while to get going, but worth the wait.",7,17 December 2019,"Ed Norton is great in this very good looking murder-mystery story about a PI who decides to investigate the murder of his mentor and boss (Bruce Willis). I'll admit that I found the Tourette's to be quite irritating for the first 20 minutes but it does, over a fairly short period of time, stop being just mimicry and start being a positive attribute to the film. Willem Defoe is also convincing as the angry, duplicitous, brother of Alec Baldwin (whose contribution isn't quite so essential to the plot). The writing is strong and direction doesn't drag at all over this really quite long film. A lot of attention to detail here - and if you are a jazz fan then you will find the score to die for.",Motherless Brooklyn
6,writers_reign,Orphan In A Storm,9,7 December 2019,"When Edward Norton took an option on the novel back in the day he was liitle more than a humble actor albeit a fine one, now, twenty years later he brings it to the screen as a triple-threat, writer-director-actor and we all owe him big-time. Clearly someone involved was frightened by Chinatown and possibly that same someone has distanced themselves (glad about that) by placing this entry on the opposite coast. Again, given the themes - political corruption, racism - Norton wisely moves the timescale a good forty years back to the fifties and hits it right on the nose. Strangely enough the great fifties-set film with a jazz score that immediately springs to mind is Sweet Smell Of Success but when you stack them up against each other although there's nothing to choose in terms of quality the Odets screenplay plays as frenetic in best city-that-never-sleeps mode whilst the Norton entry is almost tranquil. This is a movie that cannot be praised too highly, from the outstanding ensemble acting to the atmosphere, to the photography to the jazz-inflected score. Don't miss it if you've got anything at the front of your face and on the sides of your head.",Motherless Brooklyn
7,grantss,"Excellent, classy film noir-ish thriller",9,22 November 2020,"New York, 1950s. When his boss is murdered by the people who hired him, private investigator Lionel Essrog sets out to find out who the killers are. His investigations uncover a thick tangled web leading all the way to the most powerful man in New York.Written by, directed by and starring Edward Norton, Motherless Brooklyn is a superb throw-back to the film noir classics of the '40s and '50s. It also reminded me strongly of Roman Polanski's Chinatown, a '70s film noir classic, in many respects.Very intriguing and engaging with a plot that is wonderful in its complexity yet not gratuitousnessly and unnecessarily complex. The unpicking of the plot makes for a very compelling journey, so enthralling that you hardly realise the film is nearly 2½ hours long!Solid performance by Edward Norton in the lead role with good support from Gugu Mbatha-Raw, Bruce Willis and Willem Dafoe. Alec Baldwin shines in the sort of role that has become his strong suit - the all-powerful mogul. Think Jack Donaghy but in the 1950s.Brilliant.",Motherless Brooklyn
8,oscaralbert,This flick reveals the startling news that the USA has had TWO Black Presidents . . .,9,7 November 2019,". . . in a row! Now the perplexing, unprecedented events of the past five years ALL make sense! Many folks have wondered WHY anyone would use a Birth Certificate Conspiracy to launch a political career, as well as losing sleep trying to puzzle out WHAT juicy tidbit of blackmail Russia's Red Commie KGB Chief ""Mad Vlad"" Putin holds as an ace up his sleeve against the head of the rump cushion mob. Today we finally know! During MOTHERLESS BROOKLYN, ""Alec B."" plays ""Fred T.,"" a notorious Brooklyn organizer for the clan. However, despite his extreme Rachel Animosity, Fred/Moses fathers a Child of Color by raping a Black maid in a broom closet during a swanky Fat Cat Rich People party. Notwithstanding risky ""gene lightening"" therapy (with severe, soul-destroying side effects), Fred's child is groomed to be POTUS while Fred is inconsistently busy deporting 200,000 People of Color to their presumed ancestral homelands (MOTHERLESS BROOKLYN, 1:03:30). However, by the 21st Century the KGB locks up Don Juan's birth certificate in a Kremlin Vault, and the rest is histrionics. We should all thank the always eponymous Warner Bros. for so clearly warning us that literally ANYTHING can happen next!",Motherless Brooklyn
9,evanston_dad,Bad Adaptation,4,4 March 2020,"I'm terrible at retaining the plots of books I've read. I can remember whether or not I liked them, but two days after finishing a novel I couldn't tell you the first thing about any of the plot details.I enjoyed reading Jonathan Lethem's ""Motherless Brooklyn"" (not as much as ""Fortress of Solitude,"" but that's a different review), and was looking forward to seeing the film based on it. Half way through I thought to myself, ""man, I really don't remember this book well at all,"" because virtually nothing in the movie, beyond the first scene, rang a bell. How gratifying it was, then, to read other people's reactions to this movie and come to find that it bears almost no resemblance to the novel. I knew I was bad at remembering books, but I didn't think I was THAT bad.I don't know why Edward Norton, who also directed this film in addition to starring, wanted to even make a movie of the book if he was going to change it this much. He sets it in an older time period (the book was present day, I believe, or close to present day). And he clearly wants to force the story into being about the marginalization of urban black people, which is relevant right now but isn't what Lethem's book was about. Just craft an original screenplay if that's the story you want to tell.But even if I could overlook the terrible adaptation, the movie in its own right just isn't any good. It's slow and ponderous and confusing and one-note and too long. There's too much fat, like extended scenes of nightclub jazz, that obviously mean something to Norton but don't necessarily mean anything to the people watching his movie. It's an undisciplined film, as if Norton was making it for himself and a close group of like-minded buddies, not for a more general audience.So it's really a no-win situation. People who come to the film because they liked the book will be pissed that it's not a better version of it, and those who know nothing of the book have only a dull, boring movie to watch.Grade: D+",Motherless Brooklyn
