,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A deadly ride,7,5 December 2017,"While it was not a great or perfect film (particularly in the dialogue, ending and some of the acting), the first 'Final Destination' was entertaining and effective (especially with its terrific opening plane sequence and the creative deaths) with a fascinating idea done well.The bigger and bolder 'Final Destination 2' had its flaws but was just as good and perhaps the best of the four sequels. 'Final Destination 3' is just as big and bold, as well as gorier, and is also as good. Second sequels or third instalments of a franchise don't always fare well, especially in horror and comedy, 'Final Destination 3' is one of the better examples in a genre where sequels have a patchy history. The novelty has not yet worn off and in a way is more refined.Sure, the story is more of the same and formulaic. Meanwhile, there is too much dull downtime between deaths where dialogue and exposition can be clumsy at times.The special effects are not always brilliant and the characters are as shallow as ever.However, 'Final Destination 3' is as atmospheric and stylish as its previous two films. The music has a haunting eeriness and James Wong does a more than competent job in the director's chair, showing a genuine understanding of the concept and the horror genre, breathing atmosphere, fun and freshness into a tried and tested formula and not losing what made his direction work in the first film.Like the second, although there is a little too much of an over-reliance on gore, not all of it necessary, the death scenes are bolder, more elaborate and more creative (faring even better in this regard actually). The tanning bed and nail gun deaths were particularly good and two of the best and most imaginative of the series. The script has some wonderful humour that is black and ironic and has just as much tension and a sense of dread. The amusement park/roller-coaster scene is not as good as the opening scenes in the previous films, especially visually, but it's still very scary. The photo record is surprising and there is an intricacy in places.'Final Destination 3' has the best ending perhaps of the series, to me it's the least contrived and more logical than the one in particularly the second film. In the acting stakes, it fares favourably too. Mary Elizabeth Winstead is very good.Overall, a good deadly ride that's worth getting on board for, as long as one knows what to expect. 7/10 Bethany Cox",Final Destination 3
1,Leofwine_draca,"The worst set-piece accident yet, but it's better than the second film",6,14 July 2016,"Back in the '80s, this would have been a slasher film, with a physical killer murdering the teenagers in gruesome ways, one by one. Two decades later, the new millennium favours 'curse' type slasher movies, probably because of the Japanese influence This is the third entry in a film series in which the unseen presence of death claims teenagers one by one in increasingly inventive and gory ways.I saw the first FINAL DESTINATION at the cinema and loved it – a fun, gory horror film, unlike the kind they were making at the turn of the century. I ended up watching the second one on television and I didn't like it as much, finding it a sometimes insipid retread of the first film's antics. This one does away with any big storyline and just focuses on the unpleasant deaths, throwing in the angle of a camera that predicts the deaths (another familiar plot device; THE OMEN used it back in the '70s).In a way, this makes for a speedier, pared-down ride as there's no predictable set up or boring bits of exposition. We're just straight in the action (with the most mundane accident, at a carnival, yet) and then the gruesome deaths begin. The ante has been upped here and the weird kills are all very nasty – whether it's the naked girls frying on their sun beds or the car accident that sees part of a guy's head fly off. Blood sprays through the air freely and despite some dodgy CGI here and there, horror fans will have a ball with the level of gore on display. The bit with the nail gun is probably the most vicious of the entire franchise.I also liked the ending, which threatens to peter out but becomes another big set piece that ties up loose ends nicely. Seeing as how most of the cast are unlikeable or irritating, you won't mind much when they die. Mary Elizabeth Winstead displays little of the presence she showed in DIE HARD 4.0 and is a bland leading lady, while her friends and other teenagers are plain annoying – especially the token black guy, who they make the dumbest in the movie. Thankfully there's another Tony Todd cameo to enjoy, although this time it's his voice alone we here, as he plays the voice of the devil at the fairground. Unsurprisingly a fourth entry has been announced, with the added gimmick of 3D to get audiences to go and see it.",Final Destination 3
2,SnoopyStyle,Getting tedious,4,21 October 2013,"It's 6 years since the plane crash in the first movie. A senior high school graduating class is having a party at the amusement park. Wendy Christensen (Mary Elizabeth Winstead) foresees a roller coaster accident and freaks out. She and some other students get kicked off. The roller coaster crashed killing her boyfriend.Am I the only one who finds the FD kills too tedious? Something weird happens, then something else happens, then there's a close call, then somebody gets killed in a freaky way. It was fun for the first movie, but it was never scary. The formula has gotten too formulaic.The only one I like is when they escape from the runaway truck. It's set up clearly from a long way away. The excitement builds. There's suspense. It's a more classic horror move. I didn't even care about the guy getting his head motor-chopped. That's just pointless gore. The escape was the exciting part and much more compelling.The addition of the picture predictions didn't help anything. It could be more compelling if it actually explained things. For sure, it doesn't add anything exciting.",Final Destination 3
3,claudio_carvalho,Death Cannot Be Cheated,7,28 January 2007,"In McKinley, Pennsylvania, a group of teenagers are celebrating their sooner graduation in high-school in an amusement park. After taking pictures of her mates, Wendy Christensen (Mary Elizabeth Winstead) has a premonition of a horrible accident with the roller coaster and she leaves her spot followed by some friends. When the accident happens, her friend Kevin Fischer (Ryan Merriman) tells her about the fatal flight 180 and the fate of the survivors. Wendy analyzes the pictures in her camera and sees that each one of them foresees the death of each survivor. Together with Kevin, Wendy tries to advise her mates, but death cannot be cheated.When I see ""Final Destination"" series, I previously know what all is about, and I expect to see great accidents and deaths. Therefore, ""Final Destination 3"" does not disappoint, showing original deaths. The sequence of the initial accident is impressive, and the young group of actors and actresses has good performances. In the end, I liked this entertaining movie. My vote is seven.Title (Brazil): ""Premonição 3"" (""Premonition 3"")",Final Destination 3
4,kosmasp,You know the drill,7,24 April 2007,"No pun intended with that summary ... or maybe I there was an intention behind that ... ;o) Seriously though, I don't think that you will watch this movie without having seen the other two parts (not that it is necessary, whether story-wise nor character-wise, because everything is explained here too, at the beginning of the movie of course).And when it starts, there is no stopping. There is no plot here and the characters are even thinner than a paper. But is that the reason why you're going to watch this movie? If the answer is yes, than stay away from that, but if you're here to have fun, with this horror flick, than stay and enjoy! It's a helluva ride! ;o)",Final Destination 3
5,gavin6942,A Roller-coaster Ride of Teen Horror Proportions,7,14 January 2007,"As several classmates die on a roller-coaster, Death starts coming after those who got off the ride at the last minute. Like the first and second films, the kids are killed off one by one and they must find a way to break the pattern before they are all wiped from the pages of history.This film stars young actress Mary Elizabeth Winstead, who is great in every possible way and very ""hot"" in her own way. I enjoyed her role in this film. While, as my brother correctly pointed out, there are no real big name actors in this picture, Winstead is looking like she'll be big in the world of horror if her agent doesn't change her auditions. She has appeared in ""Black Christmas"", ""The Ring Two"" and will soon appear in ""Grindhouse"". (Incidentally, at least one other actress from this picture appears in ""Black Christmas"", so they must re-use a lot of unknown young actresses around these teen horror movies.) I suppose you could consider the voice of Tony Todd (""Candyman"") as a celebrity, but it's a stretch (though I'm both impressed and disappointed in myself that I recognized his voice right away).At the beginning, I was really not expecting much. The film has only the thinnest connection to the first two films. Also, the big roller-coaster scene in the beginning has been talked up and is even featured on the cover of the movie. I hate to be a party pooper, but I thought this was one of the worst scenes in the movie -- not scary, poor special effects. But after I kept watching, things went from doubt to hope. And I got a decent movie.There are some great gore scenes in this movie. I will say there is a cool nail gun scene and another part involving a truck's engine fan. Disgusting, and completely worth watching this film for.The best part of the movie -- nothing else comes close -- is a tanning bed scene. The writer is a genius: he not only throws in one great urban legend about tanning beds (which I won't reveal here), but he works in the old legend of the Ohio Players song ""Love Roller-coaster"" having a scream recorded in it, involving a tanning bed. Further, the song ""Love Roller-coaster"" clearly ties back to the main story because it has the word ""roller-coaster"" (duh). These little touches are the brilliance of the film.Likewise, the use of character names to reflect on old horror directors was great. Everyone knows about Romero, but not everyone knows who Freund is or that Halperin is a nod to Victor Halperin, the director of ""White Zombie"" (among others). I don't think I would have caught on to this without it being pointed out to me by a website, but so much more of this film was opened up to me when I became aware of these details.Visually, the film is alright. As I said, the roller-coaster scene fails and some of the gore is very good. But the director also has some interesting fades and reveal shots. After the tanning bed scene, two tanning beds fade out and two coffins fade in over the top. It's a simple effect, but I thought it looked really classy and was well-conceived.A quick note: I appreciated them using the 9/11 attacks in this film as a plot device. I guess some critics are still saying ""too soon"", but after five years I'm glad we can start to move on and incorporate this into our lives, rather than make it a sacred event.My friend Jason considers part two the best in the series, and I think either two or three are the best. Consensus? If you watched the first one, you should catch the sequels. While the general idea is rehashed over and over again, it actually works in a way that other sequels are unable to do (because this film doesn't require maniacs to keep coming back from the dead). Well worth your time.",Final Destination 3
6,jboothmillard,Final Destination 3,5,20 February 2006,"""This ride will be the death of you."" This was the first film in the franchise I saw at the cinema, and it became was my favourite of all the instalments. When I was younger, I found this scary movie, and the other sequels, thrilling and fun, I'm glad I watched again to get a better perspective, directed by James Wong (The X-Files, Final Destination, The One, Black Christmas). Basically, high school student Wendy Christensen (Mary Elizabeth Winstead) visits an amusement park in Pennsylvania. She is there with her boyfriend Jason Wise (Jesse Moss), her best friend Carrie Dreyer (Gina Holden), Carrie's boyfriend Kevin Fischer (Ryan Merriman) and their fellow classmates to celebrate their graduation. During the night, Wendy is taking photos for the high school yearbook. The Devil's Flight roller coaster is the most popular ride at the park. As they board the ride, Wendy has a premonition that during the ride the hydraulics securing the seat belts and coaster cars will fail, causing a crash and killing everyone on board. She and nine other people are either forced off or decide to leave the ride, after Wendy's panicking causes a fight. Among those that get off the ride are ditsy best Ashley Freund (Chelan Simmons) and Ashlyn Halperin (Crystal Lowe), previously graduated Frankie Cheeks (Sam Easton), athlete Lewis Romero (Texas Battle), and goth couple Ian McKinley (Kris Lemche) and Erin Ulmer (Alexz Johnson). But Jason and Carrie remain on the ride and are among the remain passengers killed when the roller coaster derails. Several weeks later, Kevin tells Wendy about the explosion of Flight 180 and the subsequent deaths of the survivors, believing they may be in a similar situation. At a tanning salon, Ashley and Ashlyn die after being trapped in malfunctioning tanning beds and burning them alive. Wendy looks back through her photographs from the night at the theme park and notices they each have strange omens hidden in them. Wendy and Kevin believe these photos are clues as to how the survivors will meet their fates, and they are convinced that Death (the Grim Reaper) is stalking them. They decide to warn the remaining survivors. On the way, they pull into a drive-thru restaurant when a when a runaway semi-trailer forces them to jump out the car, the crash causes the truck motor to fly out behind the person in the car in front, and Wendy and Kevin are shocked to find it is Frankie dead with his skull sliced up. he next day, Wendy and Kevin fail to save Lewis whose head is crushed by two weights from a bow flex machine at the school gym. They find Ian and Erin working at a hardware store where a chain reaction causes a forklift to run into a wall of tools. Wendy manages to save Ian from death, but in doing so, Erin falls onto a nail gun that shoots repeatedly through her head. Wendy is trying to identify the other two unknown survivors from her vision, when she realises one of them was her sister Julie (Amanda Crew) and a friend who escaped the crash. She and Kevin rush to the local tricentennial fair to save them. Julie cheats death when Kevin saves her from being impaled on a harrow. But it is too late for the other survivor, Julie's friend Perry Malinowski (Maggie Ma), who is impaled by an airborne flagpole moments later. Wendy saves Kevin from an exploding propane canister. Then, a grief-stricken Ian appears, he blames Wendy for Erin's death and threatens them. An unstable cart of firework cannons is blasted, causing a cherry picker behind Ian to fall and crush him in half. Five months later, Wendy experiences more omens, seeing advertisements for locations where the previous deaths occurred, while riding on a subway train with her roommate Laura (Agam Darshi) and her friend Sean (Dylan Basile). Feeling anxious, Wendy wants to get off, when she suddenly reunites with Julie and Kevin who both also boarded the train. Wendy has another premonition of the subway train crashing and killing everyone on board. Wendy and the others panic when they realise this terror is happening again and attempt to stop the train, their fate is unknown, although you hear crashing. Also starring Candyman's Tony Todd (seen in the previous two films) as the voice of the Devil and the train conductor. Winstead gives a terrific star-making performance, the other cast members are fine, the concept of the villain being Death itself stalking the victims and the clues in the photos is clever, and many can relate to the fear of riding a roller coaster. The pace and editing are good, it is eerie and creepy at the right moments, and the deaths are much more inventive, gory, and over-the, best involving sunbeds and a nail gun. There are only a couple of chatty or slow moments, overall, it is an entertaining and worthwhile horror thriller. Worth watching!",Final Destination 3
7,ma-cortes,Chilling and thrilling sequel with emphasis on increasing the luridness of the set pieces death scenes,6,10 March 2012,"Entertaining follow-up and again with horrifying killings . Eerie chiller with portentous special effects and results to be a nasty piece of work . This sequel of successful original by James Wong deals with a beautiful student of a High School senior named Wendy Christensen ( Maria Elizabeth Winstead ) who along with her friends go to a theme park and decide to go on a large roller coaster . There Wendy has a vision and aware which by avoiding it, she and others ( Ryan Merryman , Texas Battle, Chelan Simmons , Amanda Crew ..) around her have saved but soon begin dying in bizarre accidents . The girl's premonition of a deadly roller-coaster ride saves her life and a lucky few, but not from death itself which seeks out those who escaped their fate . Amusement and entertainment resides from attempting to guess which of the ludicrously over-determined potential hazards will deliver the creepy killings .In this third installment of the ¨Final Destination¨ series appears none character repeating from former entries , it displays suspense, tension, thrills, and creepy deaths . The chief excitement lies in seeing what new and astonishing victim can be dreamt by the believable FX technicians . Movie exist for only aim of murdering its protagonists and all around in terrifying realistic detail . Death seem to dispatch new weird killing every few minutes of movie, throughout crashing, beheading , blowing up , crushing, burning , etc . Here death is a mere computer generator FX , the ultimate gross-out show . It's frightening and entertaining though predictable but we have seen the original with similar and interesting premise . Although its predictability is redeemed in part by the charismatic acting of protagonists and all around . Colorful and appropriate cinematography by Robert McLachlan . Thrilling musical score fitting to action and suspense by Shirley Walker . The motion picture is written by Glen Morgan and professionally directed by James Wong , though without originally because of going on the similar argument to former outings , being a fresh fodder . Wong has a long career as writer , producer : X-files and finally filmmaker , directing Box office success such as ¨The one¨, ¨Final destination¨ and the flop ¨Dragon ball¨. Followed by more sequels.",Final Destination 3
8,BA_Harrison,Great funFD3 delivers the goods!!,8,7 August 2006,"With the third in the Final Destination series, it's definitely a case of 'if it ain't broke, then don't fix it' . Director James Wong produces a carbon copy of the previous movies, but still manages to deliver a roller-coaster ride of thrills and chills.It is fitting then, that the opening disaster sequence actually takes place on a humongous roller coaster. With the cars packed with extremely photogenic teens and ready to go, pretty control freak Wendy has a waking dream in which she sees the faulty ride cause the death of everyone on board. Freaking out, she demands to be let off the ride; this causes a fracas which results in several others being kicked off. Lucky for them, 'cos Wendy's dream comes true. 'Splat!' go the teens left on board! From then on we are in familiar territory, as death systematically catches up with those that survived the tragedy.The real fun to be had with this series of films is not in guessing who is going to die, or even when they are going to die...no, the fun is in guessing how they are going to die. And boy, they sure do go in spectacularly inventive and grisly fashion. Wong toys with the audience, hinting at all manner of ways in which the next victim might cop it, and just when you think you've figured out what will happen, he catches the viewer off-guard and delivers a sucker punch of a death scene. The highly convoluted and intricately staged deaths are the star of this film, and they do not disappoint. Deliciously over the top and extremely gory, my only gripe is with the over reliance on CGI blood (I'm strictly old school when it comes to my blood 'n' guts).FD3 delivers everything a fright fan would want in a modern teen horror (even throwing in a couple of topless honeys for the boys) and I for one am looking forward to another installment in the near future.",Final Destination 3
9,BandSAboutMovies,Coasters,4,3 September 2020,"I realize that I watch a lot of movies. However, this point was hammered home when I realized that I saw three movies where people were killed by a tanning bed in one week. For anyone else, they'd see this as a moment to step back. Not me. I glared into the gaping maw of early 2000's teen-friendly horror sequels and looked back before diving in, sternly speaking right to the camera, stating ""I'll see you in Hell.""Directed by the returning James Wong (series creator Jeffrey Reddick did not come back), this film starts with a rollercoaster accident scene that will, much like flying in the first movie and driving in the second, make you never want to go to a theme park again.Mary Elizabeth Winstead stars as Wendy Christensen, whose premonition of the disaster keeps her friends from getting on the coaster, which leads to...look, if you've seen any of these movies, you understand how they work. You show up for the insane death sequences and wait for Tony Todd to show up and remind you exactly how much you love him. This time, all you get is his voice as the Devil before a ride and as the announcer on the subway.Winstead teamed up again with Ryan Merriman, who she also appeared in The Ring Two as the teens that try - as always, in vain - to rescue the people that Death is killing. The funny thing is, this movie makes it obvious that you shouldn't fight fate, because then you end up baked to a crisp while just trying to get a good summer glow on.My DVD of this movie also features a Choose Their Fate option, which gives you some control over the movie, mainly changing some of the death scenes. My favorite part is that if you decide to keep the characters from even boarding the roller coaster, the movie goes directly to the credits. Like I always say, when people ask, ""Why do people do such dumb things in horror movies?"" I say, ""Well, we wouldn't have this movie otherwise.""",Final Destination 3
