,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A pleasant movie if not quite working as well as it had potential to,7,31 August 2011,"The book was a wonderful read. One Day was a movie I was looking forward to, and while it was disappointing I found it very pleasant.What made the book so good and such a joy to read was not just the emotional impact, modern angst and characterisation but also how nostalgic it made me. The emotional impact and angst is here in the movie, what wasn't quite there was the nostalgia-evidence of it but could've been more- and characterisation which does feel choppy especially with Patricia Clarkson's Alison though Dexter is well realised.That said, I loved the beautiful look of the film, the soundtrack which gave the film its sense of nostalgia and the witty banter between Sturgess and Hathaway. The romantic elements are touching though the comedic elements don't always work coming across as a tad contrived. The direction is decent, the telling of the story is well paced(if somewhat glacial) and faithful and the script has some nice touches but also some weak ones. Of the support performances I thought Rafe Spall, Romola Garai and Ken Stott were the most effective and Clarkson was good if deserving of more to do. The picture belongs to Jim Sturgess, while staying true to his bad boy character of Dexter he also manages to be sympathetic.My feelings on Anne Hathaway were mixed. I loved her radiance and her chemistry with Sturgess, but her accent was inconsistent and felt forced and unnatural whenever she tried it. The shock ending also felt more bewildering than anything else, not the actual tragedy itself but rather the flashbacks that succeeded that I wasn't sure was really needed.In conclusion, pleasant if not entirely successful. 6.5/10 Bethany Cox",One Day
1,SnoopyStyle,good love story disjointed by gimmick,6,23 November 2013,"Emma (Anne Hathaway) and Dexter (Jim Sturgess) are a couple who first meet on their university graduation. They would grow apart and travel different paths. Dexter would become a successful TV host. Emma would date Ian (Rafe Spall). They're like migrating birds where their lives keep returning to each other.The movie starts on July 15th, 1988 and it returns to that date every subsequent year. It's a gimmick that I've never seen before. I think there's a good reason for that. The story flow is disrupted and disjointed. It's a device that makes the movie feel silly and false. How many interesting things happens on the same date? It feels manufactured. Also important moments are missed. It just becomes an exercise in trying to keep up with the story.I like Anne Hathaway and Jim Sturgess as a couple. They have a sweet chemistry. And they have a sense of depth in their relationship. The only adjustment is Anne's accent. It's always weird to see Americans taking out their British accent. I think this could be a great love story but it's too disjointed to built momentum.",One Day
2,kosmasp,One movie,8,2 February 2012,"I haven't read the novel, so I cannot say how close it is to the source material. Therefor I went to watch the movie completely uninhibited and free of any feelings. But watching Anne Hatheway is never a displeasure for me. Jim Sturgess is a fine actor too of course. But the former ""Princess"" (Anne H.) is stealing the show here. Her subtle performance is phenomenal once again.But it is not only the actors that are great here. The story helps too. And while you get what the movie is doing (it's in the title you see), there are still some surprises left along the way (especially if you haven't read the book I reckon). One of the better romantic movies out there and for that fact alone worth your time and worth to watch/own.",One Day
3,jboothmillard,One Day,5,15 March 2014,"From director Lone Scherfig (An Education), I saw the DVD for this film a few times, I might have heard as well that it was a sad film, but to be honest, I'm most often in the mood to watch a weepy. Basically after graduating from the University of Edinburgh, on 15th July 1988, Emma Morley (Anne Hathaway) and Dexter Mayhew (Jim Sturgess) first meet, and after spending the night in each other's company agree to be friends, the story sees them reconnect every year on the same one day, 15th July, over twenty three years. 1989, Emma is a waitress in a Mexican restaurant in London and Dexter is travelling the world drinking and hanging with various women, later he becomes rich and is successful as a raucous late-night television show presenter, and although meeting him starts dating unfunny comedian Ian (Rafe Spall, Timothy's son) and she becomes a school teacher. Dexter's mother Alison (Patricia Clarkson) is diagnosed with terminal cancer, and is not impressed with his TV show, on a visit to see her he is intoxicated, and his disappointed father Steven (Ken Stott) warns him he will be banned from visiting if he returns intoxicated again, meanwhile Ian continues to irritate Emma and organises a meeting with Dexter. High on cocaine Dexter insults Emma and ignoring her most of the time while flirting with other women, she storms off after a public scene and outside says that they must end their friendship for good having outgrown each other, she also confesses to loving him before running off crying. Some years later Emma and Dexter are invited to the wedding of Emma's former university roommate and Dexter's old friend, she finds out he is engaged to Sylvie (Romola Garai) and to become a father, she is upset and tries to hide it, but they share a momentary kiss, and coincidentally Dexter's fiancée, who he does marry, is having an affair with his old friend, so he gets a divorce from Sylvie. Emma finally dumps Ian, becomes a published author and moves to Paris, where on 15th July 2003 Dexter visits her hoping to rekindle, he has only had a one night stand following his marriage break up, but Emma is already seeing jazz band piano player boyfriend Jean- Pierre (Sébastien Dupuis), knowing this Dexter plans to leave, but she has second thoughts and chases after him, telling him he must never hurt, lie or cheat on her, they share a passionate kiss and finally begin a full relationship; the next few years see them get engaged and marry, Dexter runs his own lucrative café in England, and as a couple they are trying for a baby without any success. But tragedy strikes when while riding her bicycle through a blind spot on 15th July 2006 Emma is hit by a truck and dies, Dexter is in despair and turns self-destructive, especially on 15th July, but Sylvie supports him over the years, even from Ian, and he gets to see their daughter Jasmine (Emilia Jones), and in the end Dexter takes his daughter to the spot he met Emma. Also starring Broadchurch's Jodie Whittaker as Tilly, Georgia King as Suki Meadows, Amanda Fairbank-Hynes as Tara and Matthew Beard as Murray Cope. Hathaway is sweet and feisty, Sturgess is complicated but charming, and together they do make a nice couple with their witty banter and close friendship that of course eventually turns into passion, the story concept perhaps needed a little tweaking as I drifted off when the time changed, but the concept and laughs are certainly near enough good, the slow love story and only occasional reunions is nothing new, but this is a good natured and only towards the end sad romantic comedy drama. Worth watching!",One Day
4,sunwarrior13,July 15th,9,22 September 2012,"One Day is a dramatic feature that stars Anne Hathaway and Jim Sturgess together with Patricia Clarkson,Romola Garai,Rafe Spall and Ken Stott. It was adapted by David Nicholls from his novel of the same title and directed by Lone Scherfig.After one day together - July 15, 1988 - during their college graduation,Emma Morley and Dexter Mayhew begin a friendship that will last a lifetime. She is a working-class girl of principle and ambition who dreams of making the world a better place. He is a wealthy charmer who dreams that the world will be his playground. For the next two decades, key moments of their relationship are experienced over several July 15ths in their lives. Together and apart, we see Dex and Em through their friendship and fights, hopes and missed opportunities, laughter and tears. Somewhere along their journey, these two people realize that what they are searching and hoping for has been there for them all along. The movie is just another way or method of telling an old-fashioned love story. Despite the fact that it doesn't quite deliver, it remains a witty, touching and largely enjoyable romantic story about two people - Emma and Dexter - that come to terms with the nature of love and life itself.",One Day
5,ferguson-6,"Not Again Next Year, Please",4,21 August 2011,"Greetings again from the darkness. I have not read David Nicholls' novel, but my understanding is that it is extremely well written and its loyal readers really connected with Emma and Dexter. If that's true, then this film version is even worse than I thought while watching.This literally is my least favorite type of movie. A movie that assumes its viewers are unable to think for themselves or judge the actions of its characters. In other words, the filmmakers take for granted that we will accept whatever is shown on the big screen.First let me say that I completely understand the school girl crush that a young Emma (Anne Hathaway) has on her classmate Dexter (Jim Sturgess). He is handsome and charismatic and comes from more money than she. I also understand Dexter's attraction to the lovely Emma. She is very pretty - despite the ridiculous over-sized glasses for the early scenes - and very intelligent, and a significantly nicer person than he.What makes absolutely no sense to me is her continued attraction to this drunken, empty soul for the next twenty years. She is too smart to pine away the years hoping he will wise up and coming running to her. We are supposed to believe that she has no interest in any other relationship other than the non-threatening one with flopping stand-up comedian Ian (played by Timothy Spall's son Rafe) and a ""boring"" French Jazz Pianist.Dexter's mother is played by Patricia Clarkson. As she is dying from cancer, she tells him that she believes he will grow into a good man, but isn't there yet. I guess we are supposed to take her word for it. Instead we only see Dexter go from a selfish pig as a TV personality to a defeated man who must perform manual labor for the first time in his life. My issue is that a defeated man is not necessarily a good man. A man resigned to his life has not necessarily reached enlightenment. Where is Emma's proof that he deserves her? Where is the indication that her life with him will be better? I tell you where ... in the mind of that school girl from years ago.Please don't mistake my words as that of one who has no faith in romantic stories. There are so many ways this story could have turned that it would have had me. Instead it chose a path that assumed I was ignorant ... totally accepting of ridiculous story being laid out for me.My final comments on the film involve the cast. Anne Hathaway is an incredibly talented performer. She is not, however, British. Her accent is terribly distracting. Jim Sturgess is a handsome guy, but just not charismatic enough to pull off the TV personality role. Patricia Clarkson is a fantastic actress, but she is not British either. Seriously, are there not enough British actresses? The casting smells like a money-grubbing production team. As for director Lone Scherfig ... her previous film An Education was cinematic excellence. This is an unacceptable follow-up and we expect better next time.I will say the locations of Edinburg, London and Paris were beautiful and different than we usually get from the movies. That provided the only real enjoyment from this highly disappointing movie.",One Day
6,phd_travel,Not a good story! Waste of time.,1,27 March 2012,"Don't bother with this movie unless you want to feel down after watching it. The outcome is just so unnecessary.Depressing is the word that comes to mind after watching this movie. If she was going to die then what was the point? Felt like a total waste of time. The only interesting thing about this movie is the way it's told - looking at the same day every year for a stretch of many years.I am a fan of Anne Hathaway but her accent here was a bit inconsistent and maybe she shouldn't have tried at all. Apart from her accent, her acting is alright and she doesn't mind looking unattractive when required. Jim Sturgess looks different at different times and shows a bit more range than previous roles have allowed. But in the end their chemistry and romance weren't really allowed to flourish in the scenes shown. Some crucial moments could have been shown to make it more passionate.Didn't like this one at all. Don't bother.",One Day
7,gradyharp,'We'll be Friends': Nostalgia on St. Swithun's Day,8,13 December 2011,"ONE DAY is a gentle surprise of a film. Though the premise of a 20 year friendship turning into love is not a new one, the finesse the two main actors bring to this story makes it work like a fresh peach. Based on a novel by David Nicholls (who also write the screenplay) and directed with a fine sense of momentum by Lone Schering, this is a little romance with several rhapsodic and clever twists that tosses in a bit of historical interest just to keep things rolling.In a British weather lore proverb it is stated that if it rains on St. Swithin's day July 15th there will be rain for 40 days. In ONE DAY (we visit St. Swithin's day for 20 years) Dexter (Jim Sturgess) and Emma (Anne Hathaway) formally meet on July 15, 1986 as they graduate from college: each has big dreams for the future, and quite by accident they spend the night together - in a rather platonic way. They part ways as friends and as the years go by they both find themselves in jobs not quite up to their dreams: Emma waitresses at a TexMex grill while Dexter ends up in a tacky position as a front man for a low class television show. Dexter is a ladies man and has multiple partners while Emma is more reserved and only attaches to one - Ian (Rafe Spall) - who is a boring standup comedian, but is available. Dexter's girls tend toward the glamorous, including Suki (Georgia King) and Sylvie (Romola Garai) with whom he has a child, only to discover that Sylvie's taste in romance matches Dexter's Lothario role. Every year on July 15th Emma and Dexter meet, finally realizing that they are in love. Circumstances intervene to this perfect love story and the ending is unexpectedly touching.There are some fine cameo roles in the film, especially Patricia Clarkson and Ken Stott as Dexter's parents. One fascinating aspect of the film is watching the styles in hair and clothes change over the 20 years as well as the introduction of all the accoutrements of today. Times have changed as much as Emma and Dexter have changed, and that makes the film work even better. Hathaway and Sturgess are superb, creating tow credible characters about whom we can care. Grady Harp",One Day
8,namashi_1,Soulless....,4,8 October 2017,"For any Romantic film the aim is to be heartfelt & emotionally charged, but 'One Day' has neither. This film, in fact, is a soulless experience. Good Acting is the only redeeming factor.'One Day' Synopsis: After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.'One Day' has an interesting, ambitious idea, but David Nicholls's Screenplay, which is from his eponymous 2009 novel, is too busy to make you feel for its protagonists. The Writing never lets you settle in or give you the time to connect with the characters emotionally. Its all hurried & rushes in a neck-breaking speed. Lone Scherfig's Direction is strictly okay.Performance-Wise: Anne Hathaway & Jim Sturgess make 'One Day' watchable with their performances. Despite weak Writing, both of the talented actors commit themselves into their parts & perform exceedingly well. Rafe Spall is first-rate.On the whole, 'One Day' doesn't work.",One Day
9,blanbrn,A touch love drama of time that's touching due to it's lasting memory despite tragedy.,7,10 October 2011,"Over the summer I saw this film sure it's typical chick flick, still as a male I admire the beauty and sexy look of Anne Hathaway who I think is a brilliant actress. Plus I think she pulled the international accent off just fine in this film and as always her look is sharp and just fine. This is a love story that spans time with memories these moments touch you staying with you forever despite when an unexpected tragedy strikes.Set in England it involves a couple Em(Anne Hathaway) and Dexter(Jim Sturgess) and after this international couple graduates from college and meet and fall for one another on July 15, 1989. From every year on on this date it's considered an anniversary for this couple as the film shows the special moments that happened during the lives of both. As each year on the same day is highlighted you see that no matter what path their lives have taken love and memories draw them together.Overall this is a film of memory and everlasting love sadly an unexpected tragedy occurs, but still with memories Dexter will love Em forever as long as memories are around love can last forever. Probably not a great film but worth a watch for any Anne Hathaway fan.",One Day
