,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Julia Roberts' worst,1,10 June 2018,"I should admit to harbouring a pathological hatred for America's sweetheart, Julia Roberts, and all of the rom coms that she's persevered in making over the years. MY BEST FRIEND'S WEDDING is one of her very worst, in which she plays a most deplorable character who thinks nothing of going for a bridegroom shortly before his wedding to somebody else. The humour is forced, the character morals completely offensive.",My Best Friend's Wedding
1,SnoopyStyle,Subversive Giggly Fun,8,5 April 2014,"Julianne Potter (Julia Roberts) is a relationship-phobic food critic. Her best friend is her ex Michael O'Neal (Dermot Mulroney). They have a pact to get married at 28 if there is no other prospects. She is about to turn 28. When he calls her, she thinks it's about their pact but it turns out that he is getting married to giddy bad-singing Kimberly Wallace (Cameron Diaz). Julianne is shocked and jealous. She starts to a scheme to separate the couple with the help of her gay editor friend George Downes (Rupert Everett).This could have been a darker subversive plot as the story follows Julianne's scheming ways. However Julia Roberts does it so adorably that it is a very light fun romp. If there is somebody more adorable, it has to be Cameron Diaz. Rupert Everett has some great joyous scenes. Dermot Mulroney is a little stiff but he fits the role. I am glad that it ends the way that it did. The songs are a hoot, and Diaz's laugh is infectious.",My Best Friend's Wedding
2,jboothmillard,My Best Friend's Wedding,7,5 June 2006,"This is the film that basically relaunched ""pretty woman"", Golden Globe nominated Julia Roberts back on the star board, and quite rightfully so. Basically she plays Julianne Potter, who once had a relationship with now best friend Michael O'Neal (Dermot Mulroney). After a phone call she probably thought it could have gone further, but then she hears that he is getting married. Now she is trying everything she can to put a stop to the wedding of Micheal and fiancée Kimberly Wallace (Cameron Diaz), and maybe get her man back. Along the way she gets help from another good friend, the great gay character played by BAFTA and Golden Globe nominated Rupert Everett, George Downes. In the end though, she realises that Michael loves this woman and she allows them to marry, but she still gets a nice dance with George. Originally in the story she was meant to get her man back, but I and the test audience are glad they changed it. It was nominated the Oscar for Best Music for James Newton Howard, and it was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. Julia Roberts was number 29 on The 100 Greatest Movie Stars, and Rupert Everett was number 39 on The 50 Greatest British Actors. Very good!",My Best Friend's Wedding
3,moonspinner55,"Overbaked scenario is too animated and frivolous, yet the performances save it...",6,15 October 2006,"A situation comedy with a serious center struggling to get out. Julia Roberts is at the top of her game here, playing a food critic who makes a snap decision to sabotage the upcoming nuptials between the male friend she harbors secret feelings for and his over-eager fiancée. Super-slick commercial package is lively and fast-paced to a fault, however the dark side of Roberts' character is never dealt with satisfactorily (and it's clear director P.J. Hogan hastens to make her likable despite her deceit). Those who normally shun ready-made Hollywood vehicles with practically no depth will still find Roberts giving a sparkling star-turn, and Rupert Everett is very suave as her gay best friend (every sitcom should have one). **1/2 from ****",My Best Friend's Wedding
4,sunwarrior13,A Refreshingly Entertaining Romcom,9,2 October 2012,"My Best Friend's Wedding is a film that stars Julia Roberts.A woman realizes that friends can be lovers, but now has to convince the friend in question in this romantic comedy.Cameron Diaz, Dermot Mulroney, Rupert Everett, and Philip Bosco co-star to play key supporting roles.It was directed by P. J. Hogan.Michael and Julianne were romantically involved in college, and after breaking up, they have managed to remain close friends. For years, they have had a pledge that if both were single when they turned 28, they would get married. Shortly before her 28th birthday, Julianne is lamenting the sad state of her love life when she gets a call from Michael, who announces that he has important news. Julianne is convinced that Michael is going to ask her to marry him, and she is crestfallen when he announces that he's engaged to Kimmy Wallace. Kimmy seems like the perfect woman for Michael because she's sweet, pretty, bright, and adores Michael, and her wealthy family is just as fond of him as she is. But now that Julianne has realized how much she loves Michael, she's not about to give him up without a fight and isn't afraid to fight dirty. Julianne's uneasy ally in the battle for Michael's affections is her friend and editor George Downes, a cheerfully out-of-the-closet homosexual who is not prepared when Julianne asks him to pose as her boyfriend.One of the best romantic comedies of the 1990's, My Best Friend's Wedding not only gave Julia Roberts a delightful vehicle for her crowd- pleasing comeback, but it further distinguished itself by avoiding the conventional plotting of the genre.Thanks to her charming performance and a subversive spin on the genre, this movie is a refreshingly entertaining.Rupert Everett scored rave reviews for his scene-stealing performance as Robert's gay friend who goes along with her scheming, and even as she makes her character's needy desperation disarmingly appealing, Roberts wisely allows Diaz to capitalize on her charming time in the spotlight. As the romantic outcome remains uncertain, the viewer is held in a state of giddy suspense, and director Hogan pulls off some hilarious scenes that could easily have fallen flat in the hands of a less talented filmmaker.Also, Hogan does manage to make his attractive leads look like complete idiots, no mean achievement in image-obsessed Hollywood.No wonder it happens to be the second most popular film of Roberts after Pretty Woman.",My Best Friend's Wedding
5,studioAT,Average Julia Roberts rom-com,2,31 August 2016,"Your enjoyment of this film rests squarely on one thing - can you ignore the fact that the main female character is actually a horrible person? Judging by the positive comments about this film and the box office takings people clearly can, and that's largely down to the performance given by Julia Roberts.Away from that though this film is only half decent. It's a bit slow and none of the characters are that endearing. Throw in some weird jokes, an odd musical sing a long and some paint by numbers supporting characters and apparently that's all you need.Julia Roberts is a shining light in another wise forgettable film.",My Best Friend's Wedding
6,preppy-3,Very good comedy drama,8,31 May 2005,"Successful food critic Julianne Potter (Julia Roberts) gets a call from old boyfriend Mike O'Neal(Dermot Mulroney) telling her he's going to get married to a beautiful girl named Kim (Cameron Diaz). He wants her to be in the wedding party. Julianne realizes she still loves Mike and decides to sabotage the wedding.The film starts off with a GREAT opening (four women lipsynching and dancing to ""Hold Him, Kiss Him, Love Him"") and just keeps getting better. Roberts gives one of her best performances; Mulroney is equally good--and drop dead handsome and Diaz does wonders with her underwritten role. The film does have its dark side but never TOO dark. Also Rupert Everett turns in a great performance as Roberts gay best friend and has some of the best lines. A particular highlight is the ""Say A Little Prayer"" number in the restaurant.This isn't perfect...it goes on a little too long; there is a real needless crude joke involving an ice sculpture and Roberts does something so incredibly stupid towards the end that I had trouble buying it. Still this is a very good movie. I give it an 8.The movie ends with Roberts dancing with Everett--originally the studio wanted that out--they didn't think an audience would be able to accept the lead actress dancing with a gay man! Turns out test audiences LOVED that ending. Times have certainly changed--it would get by without a problem today.",My Best Friend's Wedding
7,writers_reign,A Groom With A Rue,7,10 May 2012,"From what I've read here on IMDb this one split the vote straight down the middle, seems you either love it or loathe it. I found a lot to admire and little to dislike. It comes out of a long tradition that dates back to the earliest talkies; attractive, affluent people, living in luxurious apartments/houses, wearing expensive clothes, dining in expensive restaurants and generally being charming and romantic. We've been there with Cary Grant and Irene Dunne, Grant and Katherine Hepburn, Grant and Ingrid Bergman, Fred and Ginger, Claudette Colbert, Audrey Hepburn, Franchot Tone, Bill Holden, Doris Day, Rock Hudson and now the new generation, epitomized here by Julia Roberts. The story is relatively unimportant, all we ask is twelve reels of escapism, a set piece or two, a song or two, lots of laughter balanced by the odd tear, a soufflé' that segues into a lemon mousse and sends us out into the night with a smile on our face and warmth in our heart. This one delivers as well as any and better than most.",My Best Friend's Wedding
8,zardoz-13,Julia's Madcap Comedy of Errors,8,31 July 2009,"Hollywood movies have always dictated what constitutes model behavior. The Production Code of the 1930s kept husbands from sleeping in the same beds with their wives. Gangsters could live high on the hog, but they had to forfeit their lives in a blaze of gunfire at fade-out. And all movies had to feature heroines and villains. Movies still tell us how we should behave, especially if we want to be considered good. If you want to learn what constitutes appropriate social behavior in a Hollywood movie, consider the characters that receive rewards for good conduct and draw punishment for bad conduct. Lately, Hollywood's moral compass has gyrated. Nowhere has this moral compass gyrated more drastically than in the winsome Julia Roberts' comedy ""My Best Friend's Wedding,"" co-starring Dermot Mulroney and Cameron Diaz. Initially, ""My Best Friend's Wedding"" appears like just another chick flick, but ""Murial's Wedding"" director P.J. Hogan tweaks the formula for some innovative results. ""My Best Friends' Wedding"" easily qualifies as one of Julia's best roles. She plays the wicked wench who wants to steal her best friend Michael O'Neal (Dermot Mulroney of ""Young Guns"") away for the woman Kimberly Wallace (Cameron Diaz of ""The Mask"") whom he has vowed to marry.The premise in ""Waiting to Exhale"" scenarist Ronald Bass' screenplay is that Michael and Julianne (Julia Roberts of ""Mystic Pizza"") have agree to marry each other if they have not made a trip to the altar by age twenty-eight. As the deadline approaches, Michael phones up Julianne. He surprises her with the news that he is going to exchange vows with a 20-year old heiress whose father owns the Chicago White Sox baseball team. Julianne is literally floored by this revelation. She has dreamed always that Michael and she will wed. Anyway, Michael also wants to Julianne to fly to Chicago and help him get through the wedding. Afire with incendiary jealousy, Julianne wings her way off to the Windy City fully prepared to fight for the man she loves. Then she encounters Kimberly. Cameron Diaz resembles a peachy Michelle Pfeiffer. She conjures up one of the most giddy, vulnerable, fresh-faced performances in seasons. Kimberly drives like a maniac through traffic. She begs Julianne to fill in for her Maid of Honor who broke her hip while line dancing. Overwhelmed, Julianne agrees. What the filmmakers cannot salvage in this shallow script, they more than compensate for with their comedy of errors routines and plot twists. In ""My Best Friend's Wedding,"" Julia Roberts resembles poor Wily E. Coyote in the Warner Brothers' ""Road Runner"" cartoons because everything that she does to sabotage Michael and Kimberly's plans ironically strengthens their love. It's fun to see Julia play the scheming bad girl. Usually, movie stars prefer to play roles that make them look idealized. As the villainess, Julie has more to work with here than if she were the bland heroine. She is the character who goes against the grain. In Hollywood movies, you must go with the grain and embrace status quo values to emerge triumphant. I won't spill the beans about how Julianne tries to wreck the wedding because it is one of the movie's brightest scenes. Roberts delivers another attractive but sympathetic performance. Mulroney seems rather wooden as Michael, while Diaz bubbles with both energy and sincerity. Veteran character actor M. Emmet Walsh of ""Blood Simple"" sheds his slime ball movie image to impersonate a lovable old uncle type. British actor Rupert Everett provides the movie's major plot twist; he is cast as Julianne's boss George Downes. George is a gay character! Hollywood movies before ""The Bird Cage"" usually treated gay characters as lepers. Rupert Everett, however, stands out as the movie's number one scene stealer! Witty, urbane, sartorial, and charismatic, he is neither swishy nor limp-wristed. George is the kind of gay character that Hollywood doesn't classify as queer. The filmmakers emphasize this point when George is presented as the sole character with any common sense in this comedy of errors. Suddenly, gays are winning kudos for acting like heterosexuals! George's advice to Julianne never goes awry, but Julianne does nothing but make one mistake after another. Hogan never lets the frivolity frizzle. ""My Best Friend's Wedding"" doesn't waste time, and Hogan knows when to toss in some erotic humor, such as the icy statue of David gag. Upbeat musical interludes always punctuate the film at the right moments. Indeed, ""My Best Friend's Wedding"" may be the most easily sung along with movie of the year. The scene in the karaoke bar and the seafood restaurant ripple with genuinely infectious good spirit.Shallow but frothy, ""My Best Friend's Wedding"" emerges as certainly more than an average chick flick. Hollywood has experienced the kind of attitude change that makes ""Wedding"" look ahead of its time. Rarely do major Hollywood films embrace homosexuals as charitably as ""My Best Friend's Wedding."" Ultimately, ""My Best Friend's Wedding"" seems to say that it is okay to be gay, but that nobody has the right to interfere with a marriage that is made in Heaven. Moreover, as financially successful as ""My Best Friend's Wedding"" has been at the box office, could this mean that gay characters will be lining up as the new sidekicks for straight characters?",My Best Friend's Wedding
9,Calicodreamin,Neither rom nor com,5,7 September 2020,"I didn't find this particularly funny or romantic. Both female characters have no depth and are dreadful archetypes. The storyline is in poor form and doesn't lend itself to being rewatchable. Rupert Everett is the only saving grace in this, he's divine.",My Best Friend's Wedding
10,evanston_dad,Why Doesn't Julia Roberts Just Get Some Female Friends?,4,17 July 2009,"An unpleasant comedic vehicle for Julia Roberts about a woman who realizes too late that she's in love with her male best friend and decides to sabotage his engagement so she can have him for herself.Roberts is game, but the movie is pretty bad. It makes the main character so sadistically unpleasant that not only do you not root for her and her buddy (played by an unappealing Dermot Mulroney) to get together, you hope bad things happen to her to punish her for her crimes. Not a great set up for the character with whom we're forced to spend most of the movie.Cameron Diaz plays the fiancée as a perfect little blonde, and Rupert Everett plays Roberts' OTHER male best friend, this one gay, who looks bored to be in the movie.Grade: C-",My Best Friend's Wedding
11,anaconda-40658,A Wedding Worth Attending.,9,9 July 2015,"My Best Friend's Wedding (1997): Dir: P.J. Hogan / Cast: Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett, Philip Bosco: Great romantic comedy about penetration. Julia Roberts and Dermot Mulroney promise to marry each other at twenty-eight if both are single by that time. When she is invited to his wedding she plans to split it up. Cameron Diaz enters as the fiancée and hooks up with Roberts hoping to enhance upon friendship. The result is heart-warming with fine comic timing by director P.J. Hogan who previously made another wedding film called Muriel's Wedding. One of Roberts's best performances as she overcomes formula elements with a great sense of integrity. Mulroney torn between two women and avoids entrapment within formula by still being genuine. Cameron Diaz enters with a blast of enthusiasm and where many such films would portray her in negative light, it is a great spin here that she is not the enemy. Her sincerity provides tension when Roberts schemes. Rupert Everett steals scenes as Roberts's gay editor who is there when needed and while he provides many great laughs, he is also in the best place during the last scenes. Philip Bosco has a small role as the wealthy father of the Diaz character whom is used unknowingly within the schemes of Roberts towards the third act. It is not about love, but about acceptance. A very funny wedding worth attending. Score: 9 / 10",My Best Friend's Wedding
