,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Love, legacy and loss in the most unique and unconventional, but also oddly haunting and beautiful, ghost story",8,22 August 2017,"It is easy to fooled by 'A Ghost Story's' title. A somewhat generic if intriguing title that is suggestive of a standard horror film/ghost story. Having read reviews and done research on what to expect, just in case it was much more than initially seemed, it was clear that the title was a misleading one that is not to be fooled by.Despite its critical acclaim, 'A Ghost Story' will be a divisive film, and has already shown signs of being so in the audience reaction (though still mostly positive as of now). It is a film that will leave some moved and absorbed and others alienated and perplexed. Can see both sides as a perceptive person and being one of few people to be so, be accepting of opinions, positive or negative, and review in a manner that aims to be evaluative and without resorting to condescension, personal attacks on critics or endeavouring to prove the general consensus wrong.With me, it was the former for 'A Ghost Story'. It is the most unique ghost story personally seen, and certainly the most unconventional, being much more than a horror film and the complete opposite of one. Instead it is a sombre and contemplative study of love, legacy and loss and does it in a way that's thoughtful, moving, oddly haunting and truly beautiful. It has the fluidity and mystic of Malick, the meditative pacing of Tarkovsky, the unusual atmosphere of 'Twilight Zone', the melancholy of 'Ghost' and somewhat the eccentricity (though very mild rather than wacky) of 'Beetle Juice', but has enough to set it apart and made its own in a hugely atmospheric, unusually experimental and profoundly moving depiction of the supernatural and the sensitive and tactfully handled themes of love, legacy and loss.'A Ghost Story' is beautifully and atmospherically photographed, with the kitchen sink of all types of cuts and doing lots of inventive things with each. The lighting is unsettlingly creepy in places and oddly attractive in others, and the minimal setting never looks cheap. The budget was not big for this film but it didn't need to be, this was a perfectly necessary and very effective example of not doing a huge amount, and potentially being muddled and over-complicating things, and still work. ""Less is more"" can be done very well in film, 'A Ghost Story' is a good example. Oh and the ghost costume is suitably creepy and doesn't look cheap at all.Music score is sorrowful, soulful and haunting, giving a real sense of eeriness and also nuance. 'A Ghost Story' does have moments of unsettlement, but not in terms of scares but the portrayal of the ghost and the questions it raises that makes one think but also unnerved. Essentially it explores sensitive themes and does so remarkably tactfully and delicately. It's slow and deliberate but the rich atmosphere, balance of emotions and compelling performances make it compelling. A few parts are too drawn out and go on a little too long, but not enough to make the whole film a bore.Casey Affleck and Rooney Mara give delicately understated performances, ones that are utterly transfixing and more than great performances in their own right. Mara is particularly good, but Affleck has a hard task making an impact despite being a ghost and covered in a sheet for almost the whole running time, which he excels wonderfully in. The supporting cast are also solid but it's Affleck and particularly Mara that one remembers. Lowery's direction is accomplished and wisely keeps things simple.In fact a strength of 'A Ghost Story' is how it doesn't rely on a huge budget, complex narratives and a large cast to stand out. Instead the budget is somewhat limited but sure doesn't look it, the narrative is simple and unconventional but emotionally and atmospherically rich and has two extremely compelling lead performances, and it shows the beauty of not trying to do too much and it registers much more than a lot of potentially overblown blockbusters.The weak link of 'A Ghost Story' is the script. It's wisely kept at minimum, and when it is used while parts are thought-provoking the more philosophical pieces of dialogue come over as a little self-indulgent.Summing up, hugely impressive. Won't be for all tastes, but if seen knowing what to expect it is more likely to be rewarding than frustrating. 8/10 Bethany Cox",A Ghost Story
1,Leofwine_draca,Silly arthouse fare,2,21 January 2019,"A GHOST STORY is the kind of film that receives praise in Hollywood these days, but for the life of me I can't see what the fuss is about. The idea has value, for sure, but the look of the ""ghost"" is a ridiculous bit of self-referencing post-modernism and one you won't be able to take seriously. The film's pace is slow and languid, the story limited, the characters non-existent. It tells exactly the same story as the Hollywood blockbuster GHOST with Patrick Swayze, except lacking in basic narrative drive and storytelling. A pretentious mess, in other words.",A Ghost Story
2,SnoopyStyle,a little different,6,7 November 2017,"A couple (Casey Affleck, Rooney Mara) lives in a house. He dies in a car crash in front of their home. At the hospital, he rises wearing a sheet like a ghost costume with two eye holes. He haunts her unseen by anybody. She moves out leaving him behind.This is the type of film where his ghost watches her angrily eat a pie for four full minutes in a continuous static shot. It's more art than a movie. Filmmaker David Lowery achieves what he's trying to do. The first half reminds me of Truly Madly Deeply. That movie has other gears for the actor to play with. This movie stays with that one gear. I waited for the second gear and it transitioned with an interesting turn.The young family provides an opportunity to make a traditional haunting story. In fact, that's what I expected but it didn't happen. The movie take another turn. While the last act is poetic, I wonder if the haunted house would be more intense. It would probably work just as well in a shortened montage leading into the loop.The sheet ghost may be a striking visual but a sheet without eye holes would be more logical. This look is one step away from Charlie Brown. At best, it's ET. A sheet without eye holes could be very haunting but it's hard to take this look seriously. Overall, this has an interesting different idea although the execution leaves this strictly in the art-house.",A Ghost Story
3,Horst_In_Translation,"I liked it, I felt it was deep and touching",6,11 December 2017,"""A Ghost Story"" is an American 1.5-hour film from very recently, a 2017 release written and directed by David Lowery and if you take a look at his profile page, you will see what an amazingly multi-talented person (not just filmmaker) he is. Here he has two of Hollywood's finest siblings at his disposal: recent Oscar winner Casey Affleck as well as recent Oscar nominee Rooney Mara. They play a couple heading into a final direction when Affleck's character dies and returns as a ghost stuck between the world of the living and the world of the dead. Nothing wrong here with the acting at all, even if I must say that Mara was probably the MVP here, especially shining for example in the eating scene. A complete scene stealer here was Will Oldham with his Beethoven moment, in which was the best scene of the film without a doubt and a contender too for best scene of the entire year. It added some raw authenticity away from the Mara(-Affleck) plot. This was when the film came the closest to greatness and it made it a really difficult decision to me if it is a good or great film really.I am a bit surprised to see that the film's rating here is under 7, but I guess some may have struggled with the visual side of the ghost perhaps as honestly early on you may think it is ridiculous and taken out of a spooky little kids film, but the longer this one goes, the more you get used to it and you are actually glad that this is the way he looks eventually. So another well done to Lowery. What did I struggle with? Maybe towards the end, the film switches too fast between years and sceneries, even if the settlers scene and its heartbreaking brutality still should not have been left out by any means. The other ghost next door also added a lot and that we see two ghosts together was a bit predictable at times. I also liked how they had the sheet sink to the ground in depicting life vanishing from the spirits and completing the transition to the dead. So yes there is a lot to like here. I would say that this was one of the most different films I have seen all year and a truly creative approach, idea and execution that makes it somewhat difficult for me to give this one only *** out of ***** stars.It seems that so little happens because of how rigid the ghost character is. He is basically watching the events with us. But still so so much happens indeed over the course of such long periods of time. It is certainly one of the better if not best films I have seen about grief and losing a loved one in quite a while. A great addition to their resumés for everybody really working on this one behind and in front of the camera. The atmospheric take is as magnificent as the sound work. There are long periods without people talking and without us hearing any music, but what we hear and when we here it is really top-notch. This film had me wonder how many ghosts were there in the cinema while I was watching, so it did make an impact on me for sure. The fantasy genre is not really to my liking, but here it sure was. It's such a pity that in my showing I was the only one watching an extraordinary film like this and I am genuinely worried, though not surprised, about this film not getting half the commercial success it should. Do something against that injustice if it plays anywhere near you. This is one you definitely want to see on the big screen. With your significant other in particular. For your own sake, please don't get distracted by the ghost's looks early on. This product was a truly artistic achievement overall. Very much recommended.",A Ghost Story
4,claudio_carvalho,Incredibly Overrated and Boring,1,21 September 2017,"""A Ghost Story"" is one of the most overrated and boring movies ever made. The IMDb User Rating, the title and the names of Casey Affleck and Rooney Mara lure the viewers that might expect a good film. Do not waste your time watching this flick unless you have insomnia or whatsapp to download and read; or a magazine or even a book to read. Otherwise you will certainly lose your patience or take a nap. My vote is one (awful).Title (Brazil): Not AvailableBE CAREFUL WITH THE FAKE REVIEWS OF PEOPLE GIVING A HIGH RATING AND PROMOTING THIS CRAP.CLICK ON THE NAME OF THE REVIEWER AND CHECK HOW MANY REVIEWS HE/SHE HAS IN IMDb.",A Ghost Story
5,classicsoncall,"""..you do what you can to make sure you're still around after you're gone.""",5,3 September 2019,"This movie might, I say might not have been as bad if the appearance of the ghost wasn't so downright comical. At least for me it was; the black eye holes gave Casey Affleck's 'ghost' the look of a cartoon character, and that sentiment stayed with me throughout the picture. And who's to say that Casey Affleck remained under the sheet the entire time? Just like that iconic Universal character The Mummy, you could put anyone in there and get away with less than half the expense of a major celebrity, so why hire someone like Boris Karloff in the original, or Brendan Fraser in the modern day remakes. Just being practical there with the payroll, you know.I guess one could make the case that there was some profound message in the story on the themes of love lost and the ethereal passage of time, but the unconventional manner in which this was filmed makes it more inaccessible than anything else. And that character listed on the credits page for the film as the Prognosticator (Will Oldham), well, he was just a barrel of laughs, wasn't he? Let's invite him to our next party.I hate to be the bearer of bad news here, but this picture just didn't do it for me. I stayed with it longer than I needed to in order to get some inspiration out of it, which is to say I hung in right until the very end. I might have felt better if we got to see the note left by Rooney Mara's character, but even there, a missed opportunity. No need to catch this flick unless the spirit moves you.",A Ghost Story
6,jboothmillard,A Ghost Story,6,16 August 2017,"I saw the trailer for this film in the cinema, I was definitely intrigued by it, I found out later it was well rated following its release at the Sundance Film Festival, I was willing to try something different, directed by David Lowery (Pete's Dragon). Basically C (Casey Affleck) is a struggling musician living with his wife M (Rooney Mara) in a small suburban house. One night they hear a loud bang come from the piano, but they cannot find the cause of the noise. Some time later, C is killed in a car accident outside their home. At the morgue, C awakens as a ghost, covered by a white sheet with two black holes for eyes, he wanders aimlessly through the hospital, but no one can see him. In the hallway, a doorway with a bright flashing light appears in the wall, C stares at it a few moments, but it disappears, he then leaves the hospital and walks the long journey back to the house. The unseen ghost of C watches M grieve over his death, over days and weeks, while doing so he meets another ghost inside the house opposite, she says that she is waiting for someone, but cannot remember who. One night M returns to the house with a new boyfriend, angered he makes the lights flicker and throws books to the floor. Some time later, M listens to a song that C made when he was alive, she finally decides to move from the house, before leaving she places a small piece of paper inside a crack in the corner of the wall, and painting it over. C's ghost is left alone and begins to pick away the paint from the corner, but he is distracted by a Hispanic single mother Maria (Sonia Acevedo) and her young son Carlos (Carlos Bermudez) and daughter Yasmina (Yasmina Gutierrez) moving into the house, he observes them for many months. Eventually C's ghost makes his presence known, deeply aggravated by boredom and loneliness he flickers the lights and throws plates from the cupboard, frightening the family, they move out from the house. C's ghost observes new occupants throwing a party, he listens to one of the guests, a Prognosticator (Will Oldham), go on a nihilist thesis about humanity's collective efforts, and how no matter what is created and efforts made to try and preserve that legacy, it will all disappear when the world eventually ends and the universe collapses on itself again, the party goers disappear after the lights begin to flicker. After some time, the abandoned house has become derelict, C's ghost continues trying to pick at the corner in the wall, he is almost able to pull out the paper, until a bulldozer levels both his house and the house belonging to the other ghost. The two ghosts stand in the ruins, the other ghost says she doesn't think the person she is waiting for is coming, causing her figure beneath her sheet to vanish, leaving just her sheet. C's ghost watches on as the site his house used to be is becoming a skyscraper, he walks around the construction site until its completion, a futuristic cityscape now stands where his neighbourhood once stood, he walks to and plunges off the edge of the building to the bottom. Upon waking up, C's ghost finds himself in a land of coarse grass and shrubs, there 19th century settlers are setting up camp, he watches the little girl of the family writing on a piece of paper, placing it under a rock. Suddenly the sound of Native Americans are heard in the distance, turning his back, C's ghost finds the settlers have been slaughtered, he gazes as the little girl decomposes and the land and grass begins enveloping her. He waits until he's once again inside his old home, just as an alive C and M are moving in, he watches their entire relationship playing out before him inside the house. One night, C's ghost sits on the piano, creating the loud noise that was heard earlier when C was alive. Eventually C's ghost watches M moves out from the house once again, as the other C (now a ghost) watches her leave from the window, but he goes to the corner and is able to take out the piece of paper, upon opening it and reading what is written, C's figure disappears and leaves his now discarded sheet behind. Also starring Rob Zabrecky as Pioneer Man, Liz Franke as Linda and singer Kesha as Spirit Girl. Affleck before and after putting on the children's Halloween party style costume, and Mara as the grieving wife, give delicate performances, and the direction by Lowery is very simplistic. It has long sequences with little or no movement and complete silence, including the morgue sequence, and Mara just on the floor eating a pie, when there is dialogue it is either philosophical or mundane, the ghosts communicating is silent with subtitles, and there is a soulful music score by Daniel Hart, it is obvious as being an independent, low-budget movie, it is odd and haunting, maybe not to everyone's tastes, but a surprisingly worthwhile supernatural drama. Good!",A Ghost Story
7,Quinoa1984,If only they had the Handbook for the Recently Deceased...,8,3 March 2018,"This isn't in my favorites group of 2017 - I found it more fascinating as a pure experimental film than an emotional one - but its mere existence is encouraging for cinema in general. I'm reminded of how Nicholson once said Kubrick told him during the making of The Shining that any movie that has ghosts is a hopeful story because it means there is something after we die. Director David Lowry, who is a filmmaker with one of the most striking points of view in cinema today (also see Ain't Them Bodies Saints) is saying in essence: no. There is no hope. There's only the vast loneliness of time. It's not meant to be comforting, but there is in the film the idea of something mattering enough that a ghost stays (the ghost in the house next door, and the object keeping Ghostfleck in his home through, uh, various stages of time as he sorta gets unstuck in it I guess) and that is something that keeps one from not slitting wrists by the end. It's an Elliott Smith song of a movie.I'm also glad another film from 2017 was able to have a better kind of memorable scene involving food (this pie vs Call me By Your Name's peach). The way that pie scene is paced is extraordinary.",A Ghost Story
8,michaelRokeefe,Philosophical drama,2,16 September 2021,"A young man (Casey Affleck) suffers a tragic death and returns to the house as a sheet-covered ghost and stands around in the home for years and observes various people move in and move out. The occupants love, argue, play, fight, cry and go through various mundane activities of living. If you don't have much patience, you'll be giving up very quickly. Probably the most average viewer will find nothing over redeeming.",A Ghost Story
9,evanston_dad,Rewards Patience,8,4 December 2017,"Most movies that treat the death of a loved one as a key narrative device focus on the living and their ways of dealing with grief. Ghosts, or the spirits of the departed, frequently make an appearance, but their objective always seems to be to smooth the way for those left among the living. When that's not their objective, they're here to haunt and the movie is more likely to be a horror film. It's much more rare to see a story about the grief that comes with death from the ghost's perspective (unless it's a gimmick movie like ""The Sixth Sense""), and even rarer for a film to suggest that dying might be harder for those that die than those that stay behind. The predominant cultural point of view would have us believe that death is something to be embraced, because we're moving on to something better and will see our loved ones soon. But ""A Ghost Story"" suggests that the things that tie us to this world are harder to let go of than we might be prepared for, and that the hardest thing about dying will be watching those we love move on without us. Casey Affleck plays the ghost and Rooney Mara plays the wife he leaves grieving for him, and both are very good, but this isn't a showcase for actors. Instead, it's a showcase for visual storytelling, and David Lowery, the director, makes some daring choices -- like having Affleck covered in a sheet the entire time like the kind of ghost you'd see on Halloween -- that could have failed miserably but that for the most part all work wonderfully. As the narrative moves forward, the film becomes progressively unstuck from any one time and place, and becomes more a rumination on humankind's place in the universe than the story of any one man or woman.The movie will likely try your patience. It certainly did mine. As many others have pointed out, the pie-eating scene is a tough one to get through and left me wondering if I was going to make it through the film. But my patience was rewarded, which is all I ask from films that are going to challenge me to sit through them, as this one starts off by doing.I felt while watching ""A Ghost Story"" like I was seeing something that wasn't quite like anything I'd seen before, high praise from me.Grade: A",A Ghost Story
