,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Like what you'd expect if you had a group of teenage nerds make a sci-fi sex film.,3,21 May 2012,"""Barbarella"" is clearly not a very good film. The dialog and writing are dumb and much of the acting is dopey. However, I am sure it has a group of loyal followers, as there is a cheesy badness and sexiness that is pretty infectious. It looks in many ways like a sci-fi sex film made by a group of 13 year-olds--13 year-olds with an incredible sense of set design! It's so strange and silly that it's worth seeing at least once--but you might not want others to know you watched it, as their opinions about your taste might be seriously compromised! The film begins with the opening credits--and A LOT of Barbarella, as she appears to float naked in her space ship. For 2012, it's relatively tame but for 1968, it was a VERY hot scene--as are many throughout the film. Today, it might not even be seen as mild porn--more like a mild R-rated film. But, in 1968, it was mega-hot--but still quite silly!Barbarella is instructed by the President of Earth to look for Duran-Duran (also called 'Durand-Durand') and return him to Earth. Along the way, Barbarella has lots of adventures--most of which result in her losing her clothes and/or having sex. Some of the adventures do not--such as the group of crazed kids with flesh-eating dolls--but most everyone (men and women) else seems to want Barbarella and her body. A few of the weird things to look for are the blue bunnies, seeing Marcel Marceau in a SPEAKING role, killer budgies and a killer sex machine! As I said...the sort of stuff teenagers would probably find funny and stimulating! The ending is pretty dumb, but the way--and very anti-climactic. Overall, it's an amazingly stupid film that you can't help but watch because it's so silly and has such super-awesome bizarre sets and costumes (sort of like the products of the top designers of the day if they were on LSD). You just have to see this to believe it...and you still probably won't!",Barbarella
1,Leofwine_draca,"A film that tries too hard to be a cult classic, and fails spectacularly",3,16 October 2015,"I'm usually a fan of dated, camp science fiction movies but only when the camp is unintentional and not put on. Unfortunately with BARBARELLA, loads of effort has gone into making the film a camp comedy, one of those films you just know that the producers hope will be termed a ""cult classic"", and there's nothing I hate worse than a film which tries to be funny like that. This is the reason that BARBARELLA leaves me cold; it's a slow-paced, dated and extremely silly affair from beginning to end, more of a 60's fashion show than a real movie.I had been looking forward to watching this film for a while (Italian science fiction has always been an entertaining genre for me) but sadly the end result is a highly disappointing outing in '60s kitsch with little or no redeeming values for a modern audience. The best thing about the film are the imaginative and colourful sets, but these are countered by some appallingly dated special effects (the back projection in particular is awful) and a music score that really grates on the nerves with one or two dreadful songs.The plot is pushed so far into the background that it becomes non-existent, the film instead concentrating on the weird and wonderful characters that Barbarella (herself included) encounters on her journey. Most of the adventures are of the sexual variety, with Barbarella herself a highly sexual space creature - already in the opening credits we see her stripping naked from her spacesuit and then losing most of her clothes as the film gradually progresses along.Jane Fonda is plain annoying as Barbarella, although I'm positive that her style of acting was just what the doctor ordered, and her attempts at being sexy just do not work. Elsewhere, Euro-stalwart John Philip Law embarrasses himself as a blind angel - yes you heard me right. Meanwhile, we have French actors overacting, Milo O'Shea striving for the award for worst overacting as the baddie, and David Hemmings wasted as he stands around on the sidelines looking handsome. I had expected a lot more from director Roger Vadim than this silly, arty-farty look-at-me sci-fi comedy provides, and although I'm sure the film has an audience who enjoy this sort of thing, I know that I never can.",Barbarella
2,SnoopyStyle,sexy and campy,8,30 December 2014,"In the distant loving peaceful future, Earth astronaut Barbarella (Jane Fonda) is asked by the President to find Doctor Durand Durand who is lost in the Tau Ceti region. He is trying to create a weapon called the Positronic Ray. She cannot understand why anybody wants a weapon. She crashlands on a mysterious planet, taken by girls with sharp-teethed dolls and rescued by catchman Mark Hand (Ugo Tognazzi). He insists on having sex the old fashion way. Her ship malfunctions and burrows into the ground. She comes out next to a labyrinth and found by blind angel Pygar. His friend Professor Ping promises to repair her ship. Pygar tells her that Sogo is ruled by a tyrant. They have sex and he regains the will to fly. He flies her to Sogo. After some rough encounters with locals, they are captured by the Concierge who explains that the city is on top of a lake of Mathmos which runs on evil. She meets the Great Tyrant who actually saved her earlier. Resistant leader Dildano rescues her. She is captured by the Concierge who puts her into the Excessive Machine which drives victims to death by excessive sexual pleasure.This is a unique film of true deliberate campiness. It is over-the-top ridiculous. One cannot take this movie seriously. It can't be taken serious even as a comedy. It is filled with psychedelic silliness but the comedy is mostly done without good timing. This is simply a movie of pure sexual camp. The style is amazing. There is a heady mix of softcore porn and wacky psychedelic drug-induced fantasy.",Barbarella
3,claudio_carvalho,How Can I Reward You?,8,2 November 2013,"In a distant future, there is no more war or weapons on Earth, just love. The astronavigator Barbarella (Jane Fonda) is assigned by the President of Earth (Claude Dauphin) to seek out the scientist Durand- Durand (Milo O'Shea), who has invented the powerful weapon Positronic Ray, and vanished in the Tau Ceti area. Barbarella crashes in an icy planet and is saved by the catchman Mark Hand (Ugo Tognazzi) from an attack of dangerous dolls with razor teeth. Barbarella rewards him with sex and Mark tells that Durand-Durand should be in the city of Sogo. Now Barbarella begins a dangerous journey to save Earth from the dangerous Durand-Durand.""Barbarella"" is an erotic trash that is cult for people of my generation. Roger Vadim seems to be possessed by Ed Wood in this silly but funny movie, with Jane Fonda in the top of her beauty. Barbarella asking how she can reward those that help her is hilarious. The band Duran Duran was inspired by the villain Durand-Durand to give the name of the group. The last time I had seen ""Barbarella"" was on 01 May 2002 and today I have had lots of fun watching this movie again with my daughter. My vote is eight.Title (Brazil): ""Barbarella""Note: On 03 Oct 2017 I saw this film again.",Barbarella
4,classicsoncall,"""My energy box is completely dead"".",3,8 April 2016,"Now that I've finally seen it I'm kind of embarrassed to admit it. This film along with ""One Million Years B.C"" with Raquel Welch were a couple of the more highly publicized films of the mid-Sixties, neither one relying on much of a story to showcase it's lead actress. Watching today, I now know what I missed by not dropping acid during my college years. For myself, the only redeeming factor in checking out this flick was in directing me to learn how the British new wave band Duran Duran came up with it's name. I looked it up so you can to. Otherwise, the picture is more or less an hour and a half of soft porn interrupted by not much else. I did get a kick out of the scene when Barbarella got overwhelmed by all those parakeets and finches, a subliminal way that Jane Fonda's then husband and director Roger Vadim teased the male audience who might have wondered how she'd handle all those little peckers.",Barbarella
5,gavin6942,A Very Bizarre 1960s Science Fiction Adventure,6,1 April 2013,"In the far future, a highly sexual woman (Jane Fonda) is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.What to say about this film? The only thing it can really be compared to is the ""Flash Gordon"" movie that came out much later. So, I guess if you like that film you have to give some level of respect to this one.I hardly know what to say... it is camp, it is kitsch, it is all that made the 1960s what it was. Some of it is just strange or bordering on exploitation. Other parts are a bit more clever. The idea of the music massage machine is rather clever, even if it went in a strange direction of part-sexuality and part-torture.",Barbarella
6,lee_eisenberg,They filmed it...they really filmed it.,5,15 January 2006,"By 5/10, I mean 10/10 if you like trashy, psychedelic skin flicks, 0/10 if you don't. As far as I can tell, ""Barbarella"" has no purpose other than to show off Jane Fonda's body. It's hard to believe that they filmed this, but somehow they did. She and John Philip Law had co-starred in ""Hurry Sundown"" the previous year; it's anyone's guess whether they want to be remembered for co-starring in that one or this one. But I think that it's pretty obvious that Milo O'Shea would prefer to be remembered for playing Friar Laurence in ""Romeo and Juliet"", and not for playing Duran Duran here. I'm sure that overall, Jane Fonda is embarrassed by this movie, especially since she became one of America's prime political activists over the next few years. Weird.",Barbarella
7,jboothmillard,Barbarella,5,21 November 2010,"I had seen a few clips of this film that made the leading actress an instant star, so I had to see the full thing, from producer Dino De Laurentiis (Flash Gordon, Hannibal) and director Roger Vadim (And God Created Woman). Basically it is the 41st Century, the year is 40,000, and after an in-flight anti-gravity striptease, astronaut Barbarella (Jane Fonda) is assigned by the President of Earth (Claude Dauphin) to find Doctor Durand-Durand (Milo O'Shea). The Doctor is the inventor of the Positronic Ray weapon which could threaten Earth and universal peace, so she goes to Tau Ceti and the city of Sogo, where sins are invented every hour. Over time and changing outfit after outfit, Barbarella encounters cannibalistic dolls, has penetrative sex with men instead of with Exaultation Transference Pills as a thank you for saving her life, and meets and starts falling for blind angel Pygar (John Phillip Law). There is a point when she meets the mysterious Concierge, not realising that he is Durand-Durand, who is in cahoots with The Great Tyrant, the Black Queen (Anita Pallenberg, dubbed by Joan Greenwood), a lesbian ruler who can make her fantasies come to life. After escaping both the Excessive Machine (sometimes mistakenly called the Orgasmatron), an organ instrument machine that kills you by giving you the pleasure of an orgasm, and a dream chamber, Barbarella still has to save the world. In the end, Barbarella activates a machine that destroys both Durand-Durand and the world they are standing on, but not without being saved by Pygar, along with the Tyrant, turned good. Also starring Blowup's David Hemmings as Dildano, Marcel Marceau as Professor Ping, Catherine Chevallier as Stomoxys, Serge Marquand as Captain Sun and Véronique Vendell as Captain Moon. It should be mentioned, in case you didn't already know, that this is indeed the film that inspired the name for the successful British New Wave band, Duran Duran. Fonda is pretty much the only reason to see this, she looks sexy in her skimpy costumes, and she is good at being the bimbo but you can't help but feel sorry that she turned down Bonnie and Clyde and Rosemary's Baby to be in it, it could have been Raquel Welch. It is a silly film that will appeal to space nerds and fans of the comic book, but on the other hand, it is gloriously psychedelic with its naff special effects, bizarre set pieces, and overall it an alright camp pantomime style cult science-fiction fantasy. Jane Fonda was number 98 on The 100 Greatest Movie Stars, the film was number 24 on The 100 Greatest Sexy Moments. Worth watching!",Barbarella
8,Woodyanders,A gleefully silly and sexy psychedelic 60's sci-fi camp delight,8,28 January 2007,"In the year 40,000 delectable hottie space nymph Barbarella (flawlessly embodied by the beautiful Jane Fonda at her most cheerful, yummy and desirable) goes to the planet of Lythion in search of missing renegade Earth scientist Duran Duran (a marvelously hammy Milo O'Shea) and his lethal ray gun. During her search Barbarella encounters rugged hirsute primitive Mark Hand (the charming Ugo Tognazzi), kindly blind angel Pygar (the excellent John Phillip Law of ""Danger: Diabolik""), vicious fanged killer dolls, daffy Professor Ping (an amusingly quirky Marcel Marceau), cute, but deadly little birds, the predatory lesbian Black Queen (a deliciously wicked Anita Pallenberg), and inept revolutionary leader Dildano (an extremely funny David Hemmings). Director Roger Vadim, working from a witty script co-written by Terry Southern, concocts a delightfully silly, lightweight and playful piece of total sci-fi kitsch, maintaining a bubbly, carefree and infectiously sprightly tone of complete frivolity throughout. Jane Fonda portrays Barbarella with a fresh, dewy, wide-eyed naiveté and sweet innocence which makes the character that much more sensuous, alluring and irresistible. Claude Renoir's lavish, vibrant, strikingly garish cinematography, the wonderfully catchy'n'fizzy soundtrack of groovy 60's rock tunes, Fonda's eye-popping opening credits anti-gravity striptease, the outlandishly colorful sets (Barbarella's spaceship has plush shagrug carpeting!), and a fantastic sequence with Barbarella shorting out Duran Duran's pleasure organ machine all add immensely to the blithely inane merriment. A real hoot.",Barbarella
9,Tweekums,A rather dated camp classic,6,10 July 2011,"If you watched the 1980 version of Flash Gordon and thought it was a bit too camp then Barbarella is not the film for you as it makes Flash Gordon look positively restrained! Set in the far future our eponymous heroine is sent on a mission by the President of Earth to find the scientist Durand Durand. He has invented the positronic ray; a weapon that threatens the peace that now exists throughout most of the universe. She heads to the planet where he was last seen but crash-lands. She soon learns that this is a far from safe place although there are some people who are willing to help her on her mission including an angel! Her mission will take her to a city ruled over by an evil tyrant who would happily have Barbarella killed but if she wants to complete her mission she will have to confront her.While this film is a camp classic it has plenty of flaws; much of the acting isn't great, the story is okay at best and the special effects have dated badly. Luckily Jane Fonda is delightful in the title roll managing to bring the necessary innocence to her roll even though she is almost always wearing fairly revealing clothes apart from in the famous opening sequence when she strips down from wearing a space suit to wearing nothing at all! Even that is fairly innocent by today's standards with the credits protecting her modesty most but not quite all of the time. If you like your sci-fi camp then this is a must see otherwise it is more of a curiosity from a more innocent age; sex is referred to but happens off camera, there is no swearing and nudity is limited to a very brief glimpse of Jane Fonda's breasts and backside so it shouldn't offend too many adult viewers.",Barbarella
