,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Much more than a chick flick,8,11 July 2017,"It was the cast that drew me into seeing 'Bridget Jones's Diary', although there were doubts as to whether Renee Zellwegger would work, as well as being familiar with the books, finding them entertaining enough reads if not among the best personally read, and that Richard Curtis has done some other great work.'Bridget Jones's Diary' is a pretty darn good adaptation of the book, it doesn't have everything included (that would have been a tall order) but the essence and what made the book work are captured incredibly well. This said, it is a very good film on its own terms, it can be dismissed (and has done) as a chick flick and a film just for women. It is much more than both those things, being a film that tries to appeal to both sexes and having more depth than your average romantic comedy/chick flick.Maybe 'Bridget Jones's Diary' doesn't cover any new ground. Maybe it doesn't break any conventions. That didn't matter to me, because whether it does matter with any film, TV series, episode etc. is wholly dependent on how well it executes everything else, everything else is executed with very little to complain about.Some parts were a little contrived and there is a slightly draggy section around half-way, but these were minor issues really.'Bridget Jones's Diary' is attractive visually in a film that doesn't require epic sweeping cinematography or opulence, but still manages to be beautifully shot, cohesively edited and have striking locations. Personally really liked the music, with a mix of the old greats and more contemporary performers, and it fits well.A good script always helps, and it's the script that's one of the main good things here. The humour can be daft but is often hilarious and full of wit, while the romantic parts are sentimental but never mawkish or overdone and the more drama-oriented moments have an air of poignancy. Much of the film is also deliciously charming and to me relatable. Bridget manages to be more endearing here than she is in the book, to me she was easy to sympathise with and feel pity for regardless of her faults and the numerous things she does wrong, and quite a lot of us will find a lot of ourselves in her character.Even if new ground is not covered, bright and breezy pacing and remarkably deft directing from Sharon Maguire in her directing debut help make that not count against the film.Renee Zellwegger is fantastic in the title role, any initial doubts were completely subsided after seeing a performance of immense charm and that was both funny, awkward in the adorable sense and sympathetic. She does a good job with the accent too.Cast against type, Hugh Grant still brings a smarmy charm so despite being a cad (which he brings out without seeming ill at ease at all) you do see what Bridget sees in him. Colin Firth is reserved and understated but injects the right amount of dignity, charisma and charm to not make the character dull in a role that seemed like it was written with him in mind (that his character's name is a play on from his most famous role, Mr Darcy in the wonderful 1995 'Pride and Prejudice', further gives that impression).The rest of the cast are a whos who of veteran British talent, all doing reliably solid jobs, with the always good Gemma Jones and Jim Broadbent coming off best.Overall, a delight and much more than a chick flick with something for everyone regardless of gender or age if given a chance. 8/10 Bethany Cox",Bridget Jones's Diary
1,Leofwine_draca,Ugh...,3,11 June 2018,"BRIDGET JONES'S DIARY is exactly the kind of film I hate watching: a chick lit adaptation which is supposedly warm, quirky and loving, but which instead turns out to be a presentation of cliches, lame humour, and some embarrassing mugging performances. It's the film that soured me to Renee Zellweger with all of her fake mannerisms and plummy, fake-sounding British accent. I have liked Colin Firth and Hugh Grant in other films and I'll admit that they work very hard on their characters here, but the end result is just too schmaltzy to be effective.",Bridget Jones's Diary
2,SnoopyStyle,Renée Zellweger adorably awkward,7,4 January 2016,"Bridget Jones (Renée Zellweger) is 32, over-weight, drinks too much, smokes too much, and perpetually single. At the New Year party, her mother tries to set her up with family friends' son divorced lawyer Mark Darcy (Colin Firth) who isn't happy with the setup. She starts a diary vowing to fix her life. She has a crush on her boss Daniel Cleaver (Hugh Grant) at the London publisher. She begins a relationship with him despite his womanizing past. It goes bad and she quits. She gets a spot as a TV reporter which results in some usual reporting. Darcy gets claimed by lawyer colleague Natasha (Embeth Davidtz). Darcy and Cleaver were once best friends but an affair with Darcy's wife have made them enemies. She bounces back and forth between Darcy and Cleaver. All the while, Bridget's parents' marriage is in trouble.Renée Zellweger is adorably awkward. She does some tough work transforming herself into a chubby Brit. I'm sure a real Brit would probably work better but Zellweger does a good job. Also there is a question of exactly how chubby she really is. The movie tries to accentuate her weight but she's never not adorable. The story is fun and sitcomy. It has its own heart especially with her father played by Jim Broadbent. It has two dashing male leads and all the angsty love triangle fun in the world.",Bridget Jones's Diary
3,kosmasp,Relatable Individual,8,25 May 2021,"I had completely forgotten how well done this was ... it's been a minute since I last saw this (or the sequels for that matter). But now that I've rewatched it I remember why I really liked the first one. And why this was another example of Renee Zellwegger being the go to girl/woman back then! She was the everyday woman, everyone could see herself in her or with her. She was charming, fun and just seemed to be the woman you'd want to spend the rest of your life with.Having said that, she also was accessible to a man like Hugh Grant - well the character he was portraying! I do not think I know him personally - private escapedes aside. His character is charming, yet you know something is off with him. He just can't love only one individual ... which you know for a romantic comedy is not the best partner for our female main character. We're not there yet that polygamy is a thing in mainstream movies ... maybe it never will be a thing ... maybe it will!? Who are we right now to judge such things? Exactly, let the others do the judging.Having said, there are things that are cringe worthy (fist fighting depicted as an event and some other non PC related incidents) and there are inconsistencies: while the already mentioned fist fight is based on reality, we also get a totally movie moment when breakaway glass gets involved ... of course all is just there to enterain, so while one is real and the other is fake, both are meant to be fun. So if you are not to nit-picky ... you will quite enjoy yourself!",Bridget Jones's Diary
4,gavin6942,Not My Cup of Tea,6,2 April 2015,"A British woman (Renee Zellweger) is determined to improve herself while she looks for love in a year in which she keeps a personal diary.Whether or not this is a good film depend on who you are, I suppose. Romantic comedy is not really my cup of tea, and this one is more romantic and less comedy, so it may be even less my cup of tea than just the average romantic comedy. I like Hugh Grant and Renee Zellweger, and this was a good role for Colin Firth before he went A-list... but still, following a woman's love life is not my preferred subject matter.Why this ended up on my list of things to see is completely beyond me, but now it has been seen and cannot be unseen. Let us chalk this up to taking one for the team.",Bridget Jones's Diary
5,lee_eisenberg,I guess that we can add Renee Zellweger to the list of Americans who can actually do a believable accent.,7,31 December 2005,"I wouldn't call ""Bridget Jones's Diary"" the best movie of 2001 (and I usually have no interest in ""chick flicks""), but I do think that it was worth seeing. Renee Zellweger plays the titular character, a working Brit who has some plans to drastically change her life. I think that Colin Firth's and Hugh Grant's characters weren't totally necessary, but I guess that they were conduits of a sort. Bridget herself can gravitate between sweet and bitchy, and she does just that. Overall, Zellweger's energy makes the movie really good. I don't know whether anyone else would have done the role better, but she certainly does a good job. Definitely worth seeing.",Bridget Jones's Diary
6,jboothmillard,Bridget Jones's Diary,8,11 March 2005,"Helen Fielding originally started writing the leading fictional character's scribbling as articles for The Independent, this was later fully published and became the biggest selling book of the 1990s, so it was only right for her and rom-com writer Richard Curtis (Blackadder, The Vicar of Dibley, Four Weddings and a Funeral, Notting Hill) to team up and bring her to the big screen. Basically Bridget Jones (Oscar BAFTA and Golden Globe nominated Renée Zellweger) is an average woman living in London who works in an office, has issues with her weight, smokes and drinks, has many imperfections, and is single. Following New Year, to take control of her life, Bridget decides to start a diary, to tell the complete truth, to try and change her habits, to lose weight and stop smoking, and express her true feelings about her job, her family and friends, and of course her pursuit to find the right man. Bridget works in publicity at a book publishing company, and fantasises about her boss, Daniel Cleaver (Hugh Grant), one day he starts to flirt with her, and soon enough they embark on a relationship. Bridget has fallen head over heels for Daniel, but his feelings are not reciprocated, she discovers he is a womaniser, and he even becomes engaged to another woman, she quits her job at the publishing office and eventually finds work in television journalism. Bridget on many occasions encounters barrister Mark Darcy (BAFTA nominated Colin Firth), he is good looking, but she cannot stand him, she also assumes he is already dating colleague Natasha (Matilda's Embeth Davidtz), but he surprises her at event by confessing that he likes her. Bridget celebrates her birthday, inviting her friends round for dinner, only to cause chaos with her cooking skills, Mark is there to support and show affection for her, a drunken Daniel also shows up, assuming she was alone, Mark and he step outside and have a fight, Mark wins but is shunned away, while Daniel is rejected by Bridget. Meanwhile, Bridget's mother Pamela (Gemma Jones) has left Bridget's father Colin (Jim Broadbent) and started an affair with shopping channel presenter Julian (Patrick Barlow), they do reconcile, and Bridget's mother reveals a truth, Bridget assumed it was Mark who had an affair with Daniel's wife, in fact it is the other way around. Bridget at the Darcys' ruby wedding anniversary party she wants to confess her feelings for Mark, but she is devastated to find out that he and Natasha have accepted jobs in New York, but Bridget speaks out about how England will be losing a good man like Mark, her words obviously have an effect on him, but he stills travels to America. At Christmas time, Bridget's friends invite her to join them on a trip to Paris, France to forget all about Mark, but he surprises her showing up at her flat, they kiss for the first time, there is a moment when she assumes he leaves, after reading about her hatred for him in her diary, but they embrace in the snow after he explains he was buying her a new diary, to start the New Year. Also starring Smack the Pony's Sally Phillips as Sharon/Shazza, Shirley Henderson as Jude, James Callis as Tom, Celia Imrie as Una Alconbury, James Faulkner as Uncle Geoffrey, Drop the Dead Donkey's Neil Pearson as Richard Finch, Honor Blackman as Penny Husbands-Bosworth, Paul Ross as Mr. Sit Up Britain, Crispin Bonham-Carter (Helena's cousin) as Greg, Sarah Alexander as Daniel Cleaver Lover, Salman Rushdie and Jeffrey Archer. Zellweger does an impeccable British accent and is adorable as the 30-somthing heroine who gets herself into embarrassing situations but you root for, Firth is very likable as the good looking uptight lawyer, and Grant is splendid and escapes the posh twit persona seen previously to becomes a caddish bastard. All the acting by the ensemble cast of stellar Brits is great, the script is witty, daftly funny, hilariously cringy and suitably sweet, and the pop music soundtrack, including ""Out of Reach"" by Gabrielle and ""Have You Met Miss Jones?"" by Robbie Williams is great, it just has all the right ingredients, a brilliant romantic comedy. It was nominated the BAFTA Alexander Korda Award for Best British Film and Best Adapted Screenplay, it was nominated the British Comedy Award for Best Comedy Film, and it was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. Hugh Grant was number 73 on The 100 Greatest Movie Stars, and he was number 8 on The 50 Greatest British Actors, Colin Firth was number 29 on The 100 Greatest Sex Symbols, the film was number 52 on The Ultimate Film, and it was number 48 on The 50 Greatest Comedy Films. Very good!",Bridget Jones's Diary
7,rmax304823,Fantasy Numero Uno.,6,6 March 2015,"It's an amusing romantic comedy with Renée Zellweger is a plumpish woman on and after her thirty-second birthday. She's single and nothing much is going on. She seems cheerful enough about it all but she decides to begin life anew, starting a diary and making resolutions such as losing fourteen pounds and cutting down on the drinking and smoking.Zellweger works in a London publishing house and begins to wear short skirts and rather vulgar see-through blouses to the office. Soon enough she's flirting with her boss, the ever sly Hugh Jackman, and soon after than they're in the sack together. She begins to get a bit mushy and asks him if he loves her. For that, he buggers her for the second time.Well -- does he love her? Is he willing to ""commit""? (That's code for ""willing to get married."") Evidently not, because she pays him an unexpected visit one day and finds a luscious babe naked in his bath room. The babe eyes Zellweger with a smirk and remarks, ""I thought you said she was THIN."" Ouch.Meanwhile, always hovering around the background, is the successful but stuffy and decidedly unchic Colin Firth. Zellweger has loathed him at first sight. He never smiles or flirt or jokes around like the roguish Jackman. Not much fun, you know. But one day he takes her aside and tells her grimly that he ""likes her"" just the way she is. Coming from him, that's a Niagara Falls of a confession. In the meantime, though, Jackman has abandoned all his girl friends and tells Zellweger she can give him rebirth. That is, he's now willing to get married and so, it develops, is Firth.At a dinner one night at Zellweger's flat, Jackman and Firth run into one another and have a fist fight over her. Now this has got to be female fantasy Number One -- two men fighting over you, a plain girl with not much going for her but brains and zest. And they're both successful and have other women salivating over them. Wow. I won't claim it began with Jane Austen's ""Pride and Prejudice"" because I'm sure the theme goes back in history through the Greek masques, and is lost finally in the mists of antiquity. (For men's fantasy Number One, viz., The Conquering Hero. Start with ""Rocky."" Go back to ""The Iliad."") Much of the wit lies in the writing itself, full of irony and vulgarity. There are a few slapstick scenes -- Bridget trying to cook -- that hark back to ""I Love Lucy"" and Laurel and Hardy. They're still funny and the absurd characters are well defined.Zellweger is a decent actress and though hefty she has an engaging blue eyes and a smile that could brighten a room. Jackman is his usual on-screen self, stuttering slightly, a little embarrassed at times. Firth is unpleasant and stiff but Zellweger has juice enough for both of them and she'll turn him into a paragon of élan before you know it.",Bridget Jones's Diary
8,Tweekums,More com than rom,8,4 November 2014,"The titular Bridget Jones is in her early thirties, smokes too much, drinks too much, thinks she is overweight and most worryingly for her single. Her mother tries to set her up with stuffy lawyer Mark Darcy but she takes an instant dislike to him. Instead she ends up dating her boss, Daniel Cleaver, who is clearly a cad and a bounder who claims Darcy once took the woman he was engaged to. Over the course of the film she comes to realise she is with the wrong man but by then it might be too late.I probably wouldn't have picked up this film if it hadn't been on the 50p bargain shelf at the local charity shop I'm glad that I did though as it was a lot of fun. There are plenty of great laugh out loud moments and Texan Renée Zellweger does a great job as the English Bridget. She is ably supported by a cast of well-known British actors; most notably Colin Firth and Hugh Grant as Darcy and Cleaver it was particularly fun watching Grant play the cad rather than the sympathetic male lead; not that he plays the two all that differently! It was also a highlight to see the two scrapping; not a well-choreographed fight but a believable brawl with them kicking, punching and grabbing each other in a messy but realistic and hilarious way. Overall an enjoyable way to pass an hour and a half; it may be considered a bit of a 'chick-flick' but blokes can enjoy it too!",Bridget Jones's Diary
9,moonspinner55,A sex goddess wannabe: stumbling through romance and laughing through her tears,6,20 November 2011,"Romance and humorously-derived self-humiliation mix somewhat uneasily in this glossy adaptation of Helen Fielding's book (by Fielding, Andrew Davies, and Richard Curtis). Bridget Jones, a British working girl with a mad crush on her boss, keeps crossing paths with a handsome lawyer whom she's known since childhood--a man who is naturally charmed by Bridget's downright clumsy attempts to socialize. Renée Zellweger (with added weight and an uncanny accent) is a perky heroine, a young lady prone to embarrassing herself in the midst of having a good time, who doesn't poke fun at her mistakes and bad choices (and who doesn't allow much guff from others, either); she's occasionally a flibbertigibbet but also a strong female character, one with drive and determination who goes after what she wants. The two men enamored of her (Hugh Grant and Colin Firth) work well with Zellweger, though the strained relationship between the guys is the worst type of movie contrivance (culminating in a fight scene that is also the very worst of its type). The movie doesn't scuttle its chances at being a funny love story...though there isn't enough of either element in the first half, and Bridget's initial job as a publicity executive is just a sketch (due to callow writing). Nevertheless, some big laughs and a wonderfully old-fashioned finale, plus fine work by the star-trio. Followed by a sequel in 2004. **1/2 from ****",Bridget Jones's Diary
