,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A very good western even if it isn't exactly original.,8,23 March 2013,"I generally hate remakes and rarely are they as good as or better than the originals. In the case of ""The Magnificent Seven"", however, it's a really tough sell because the original was an Akira Kurosawa classic--a film currently in the top 10 on IMDb! So, there really is no way this western can be better...but it still is very good. In particular, the musical score by Elmer Bernstein is one of the best in the history of westerns and the cast of actors was incredibly--with the likes of Yul Brynner, James Coburn, Steve McQueen and many others as the seven.The film begins in a tiny Mexican town. The villagers are being plundered and harassed by a Mexican gang (led by Eli Wallach). Their choice is to keep knuckling under and starve or leave to get outside help. They decide on the latter and soon a small delegation heads up into the States to find some gunfighters willing to work for VERY little money. Luckily, they find a couple guys who seem to be tired of their lifestyles and want to do something better with their lives (Coburn and Brynner). These two are able to enlist some friends in the cause--no matter how hopeless it looks against an army of 40 men. What happens next, you'll need to see for yourself.What's not to like about this film? Very little. However, as I stated above it was a remake and so it needs to lose a point for originality. In addition, a few of the deaths seemed silly--like folks just wanting to die (especially the first member of the seven). Still, a very enjoyable and well made Hollywood film that is well worth seeing.",The Magnificent Seven
1,TheLittleSongbird,"As soon as the first note of the music blared, I knew I was in for a treat!",9,19 April 2010,"The Magnificent Seven has everything going for it, a near-perfect cast, a truly magnificent score and the fact it is very exciting as a western. Maybe not as good as Seven Samurai, but boy it is by far one of the better remakes out there. If you want a bad remake, see Psycho, starring Vince Vaughan or The Wicker Man, starring Nicolas Cage, in my opinion they should never have been made. The Magnificent Seven is an example of how a remake should be made, it was one of those pleasant surprises for me of as soon as the first note of the score blared I knew hey this is great stuff.The plot is simple, but I like simplicity, sometimes simplicity is good, but it is a great concept and very well constructed. It really helps as well that the action sequences are tremendously exciting, and that the landscapes are truly dazzling. Elmer Bernstein's score has a lot to do with The Magnificent Seven's success I think as well, it is rousing, triumphant and bombastic and very like the score for Lawrence of Arabia it sticks in the mind for a long time afterwards. If I were to choose to which score I preferred over this and the Great Escape, I think this score, The Great Escape was great but I have always found that whenever I hum both tunes people are less annoyed by The Magnificent Seven.The screenplay is focused, humorous and wise, maybe a little stilted on occasions but it develops the characters well and has heart. And the actors are wonderful. Yul Brynner is the epitome of coolness here, I do think he was better in The King and I, where he was absolutely magnificent, but he does a great job here. Eli Wallach is suitably slimy as the villainous Calvera, who is more than a cardboard cut-out, and Steve McQueen, James Coburn, Charles Bronson and Robert Vaughn are all great. Overall, this is a great film, very exciting, great to look at and has a magnificent score. 9.5/10 Bethany Cox",The Magnificent Seven
2,bkoganbing,Seven Shanes,10,27 August 2007,"I'm sure that Asian Yul Brynner must have been intrigued at the prospect of doing an American western, maybe it was the oriental origin of the story of The Magnificent Seven that intrigued him.The title refers to seven gunfighters who hire out to a Mexican village which is being systematically looted by a bandit named Calverra, played by Eli Wallach in his career film role. The film really ought to be called Shane Times Seven because each one of the seven is an aspect of Shane, the wandering knight who comes to the area, rights the wrongs in the place and moves on. Of course in this case a few of the seven stay.The seven are Yul Brynner, Steve McQueen, Charles Bronson, James Coburn, Brad Dexter, Robert Vaughn, and Horst Bucholtz. What I like about the Magnificent Seven and it's the mark of a great film is that each of the seven establishes his own personality in the film. Of course these are seven great film actors and are given a great script to work with. It's in contrast to the bandits where they are led by an admittedly charismatic leader in Wallach, but if he's killed they all cease to function. The seven also function well as a team because they are professionals. They're in Mexico for a variety of individual reasons, but all of them realizes they are in a dying profession in America. Very little call for their services, so $20.00 for six weeks work in Mexico has a lot of appeal. It's better than clerking in a grocery store for men of action.There's so much I love about The Magnificent Seven, it has two finely choreographed gunfights with Wallach's bandits, it has characters with style and grace. Most of all it has Elmer Bernstein's best musical score and that's saying something because Bernstein wrote so many great ones. But that infectious theme set a standard for the writing of western film music, in fact film music in general. If you've never seen The Magnificent Seven, that theme once heard is never forgotten.Sam Peckinpah's films clearly show the influence that John Sturges's The Magnificent Seven had. But this one establishes the mold.",The Magnificent Seven
3,Leofwine_draca,"Genre benchmark, and a remake that really works",8,20 August 2016,"What is there to say about this film that hasn't already been said? It's a classic western remake of Kurosawa's SEVEN SAMURAI, featuring iconic turns from an ensemble cast, an interesting story, stylish direction, and an often epic feel to the film's visual style. Okay, so it's slightly overlong and padded by today's standards, but that doesn't make it any the less of an entertaining movie. My favourite scenes are the individual ones that introduce each of the 'seven' and of course the climactic moments in which our heroes stand together against overwhelming numbers of the enemy. It's a film that delves into heroism and sacrifice in a mature way, never pandering to its audience or presenting folk who are perfectjust characters who do the right thing when the time comes.Who's my favourite in this? I'd say Yul Brynner, purely because this is his iconic performance and because I saw and loved WESTWORLD as a kid, in which he plays a variant of his character here. Of the rest, Steve McQueen lends solid support, Robert Vaughn has the most interesting back story, James Coburn is effortlessly cool, Brad Dexter is unremarkable, Horst Buchholz is full of energy, and Charles Bronson is the archetypal tough guy, although why he didn't make it really big until a decade later I'll never know. I did find Eli Wallach's bad guy a bit of a softie, but that comes from watching THE GOOD, THE BAD AND THE UGLY and having his performance in that burned into my memory. Anyway, this is a decent film and a benchmark of the genre.",The Magnificent Seven
4,SnoopyStyle,Great actors in memorable roles,8,29 January 2014,"A Mexican village is constantly harassed by bandit Calvera (Eli Wallach). The villagers decide to sent 3 men to a border town to buy guns. There they see Chris Larabee Adams (Yul Brynner) and Vin Tanner (Steve McQueen) take a stand against bigots who refuse to allow a red Indian be buried alongside white folks. The villagers ask Chris Adams to help them and he gathers various gunmen. Bernardo O'Reilly (Charles Bronson) is a powerful guy. Lee (Robert Vaughn) is on the run. Harry Luck (Brad Dexter) thinks Adams is hiding a secret reward. Britt (James Coburn) is a quiet master knife thrower. Then there is young and proud Chico (Horst Buchholz) who follows along.It starts with the memorable music. Adapted from 'Seven Samurai', what makes this great are the memorable characters. Eli Wallach is one of the greatest spaghetti western actors of all times, and he makes this villain iconic. And the seven heroes are all individuals. They all fit their roles well. Each are given enough time to develop their roles. There are good action scenes. There are some funny lines. It deserves its iconic status.",The Magnificent Seven
5,Hitchcoc,"Not Perfect, but Certainly Keeps Us Glued",8,9 February 2010,"When I first saw this in a movie theatre when I was in junior high, it was one of my favorite movies. It's a nice formula. Take a group of gunfighter and have them confront the evil forces led by Eli Wallach who have used the Mexican villagers as a cash crop. What really works is that we know each actor. As with ""The Great Escape,"" we have an ensemble of personalities who bounce off each other, portray true manlihood, and who have their own version of morality and integrity. We also have a weak society, who never really buy into what they have wrought. At the first sign of real trouble, half the town wants to go back to the way things were, holding on to their present safety, never realizing how horrible it will eventually get. The gunfighters get a little fed up. Of course, just like ""The Seven Samurai,"" we know the showdown is coming and that there will be great bloodshed. I agree with one reviewer that the setup is better than the resolution and the film begins to drag in the last third. It's still one of the better Westerns of all time and a joy to watch all these excellent actors and movie icons.",The Magnificent Seven
6,Prismark10,"Ride on, fight on",8,6 October 2013,"Akira Kurosawa's The Seven Samurai is remade as a western accompanied with a magnificent score by Elmer Bernstein.The Magnificent Seven has become a classic in its own right. One thing that stands out that its excellently acted by its seven heroes and Eli Wallach as the villain shows restraint as the bad guy who also has a code of ethics himselfThe bad guy sees a place for his villainy where the farmers are at the bottom who must provide food for his men.The film is about poor Mexican farmers being terrorised by the bandit Calvera and his mob. The farmers resort to hire gunslingers to get rid of these pests.Director John Sturges blended the ethos of the Three Musketeers with his adaptation and struck it lucky with his casting.Yul Brynner was the best known star on the films release. He is ably supported by Steve McQueen (and his cowboy hat) a loner cowboy who in some ways is a soul mate of Brynner.Charles Bronson is excellent as the half Irish and half Mexican who finds allies with the young children in the village. James Coburn (also with his cowboy hat) is the knife man. Robert Vaughn is the one facing a crisis of confidence. A feared sharp shooter who has lost his edge and nerve.Brad Dexter, a friend of Brynner who thinks that there is somehow riches involved in this endeavour.Horst Buchholz, plays the young, brash Chico, a son of a farmer who wants to be a gunfighter. With a bizarre German/Mexican accent he has the arrogance of youth without the experience of the others.It might not be all action packed as its reputation suggests. There is also a lot of contemplation with the men as they try to make sense of what they are doing for the villagers, lament their past and look for a more fruitful future where some of them are dreaming to settle down.",The Magnificent Seven
7,classicsoncall,"""You must fight,...fight!""",8,11 July 2015,"This film is a cool trip down memory lane in more ways than one. Not only do you have all those great Sixties actors - Brynner, McQueen, Wallach, Bronson and Coburn all in one picture, but for anyone who was around prior to the banning of cigarette commercials on TV in 1970, the memorable Marlboro theme song provides a good share of the background score in more than one spot. In a way, I feel bad that modern day viewers don't have the same perspective for having missed the experience.With my most recent viewing of the film, I was paying attention to things I'd just recently read in the Marshall Terrill biography, ""Steve McQueen, The Life and Legend of a Hollywood Icon"". McQueen, who had been released from his Four Star TV contract filming the hit series ""Wanted: Dead or Alive"", was extremely competitive and did anything he could to draw viewer attention from the movie's principal star Yul Brynner. If you'll notice, he did things like shake his shotgun shells, flip a coin, fuss with his Stetson, tug his bandana and whistle through his teeth, all seemingly natural as part of his character, but manufactured on the set to upstage Brynner, who got very agitated over it. McQueen's goal, which he eventually achieved, was to become as big or even bigger movie star than Brynner or anyone else for that matter.The best part of the movie for me is in the early going when Chris (Brynner) and Vin (McQueen) are putting the band of seven together to go up against Mexican bandit Calvera (Eli Wallach) and his outlaw bunch. Especially cool was the knife challenge called by cowboy Wallace (Robert J. Wilke) against the laid back Britt (James Coburn). A classic example of someone pushing too hard and just too long before he gets his comeuppance. Sometimes the result is more final than one would expect.Based on Akira Kurosawa's ""The Seven Samurai"", the movie clocks in at an economical two hours and change against the three and a half hour Japanese epic. Granting the earlier film's vaunted status, this Western reworking stands on it's own two feet as a classic Western that holds up well more than fifty years since it's original release.",The Magnificent Seven
8,gavin6942,Samurai = Cowboy,8,28 April 2011,"An oppressed Mexican peasant village assembles seven gunfighters to help defend their homes.The cast for this is exceptional, with Steve McQueen, Charles Bronson and Yul Brynner in a hat to poorly cover his baldness. Was Brynner incapable of growing hair? He must be the only cowboy who ever went around with a shiny top.This film is a Kurosawa adaptation, having previously been ""Seven Samurai"". This was brilliant. While not taking away from the original, it is well adjusted for America by making the samurai into cowboys. I could not imagine a more appropriate replacement.There is also a message of tolerance, with an early scene featuring the burying of an Indian against society's rules. One might ask if this was typical of the Old West (likely not) or if the Indian would have wanted to be buried in the white man's cemetery (possibly). But the underlying message is all people deserve respect, especially when dead. Why this message in a Western, a genre full of conflict?",The Magnificent Seven
9,jboothmillard,The Magnificent Seven,9,2 April 2008,"I never realised the first time when I watched it that this was a remake of the Japanese classic Seven Samurai, and not remembering much about this version I had to watch it again, from director John Sturges (Bad Day at Black Rock, Gunfight at the O.K. Corral, The Great Escape). Basically a small Mexican farming village is terrorised once a year by a gang of bandits led by the nasty Calvera (The Good, the Bad and the Ugly's Eli Wallach), who raid and pillage, and they promise to return. Desperate to put an end to the raids, the villagers find and hire Chris Adams (The King and I's Yul Brynner), who agrees with a $20 payment and free food everyday, to help them. First he and three village farmers, decided by the village elders, travel to the United States to find other gunmen to join them in the fight to come. First to join them is Chris's acquaintance Vin (Steve McQueen), and one by one, they find the other seven, including originally rejected young hothead Chico (introducing Horst Buchholz). Also to accept the offer for different reasons are other friend Harry Luck (Brad Dexter), Irish-Mexican gunfighter Bernardo O'Reilly (Charles Bronson), deadly with a switchblade Britt (James Coburn), and on the run Lee (Robert Vaughn), so the total amount of men to help defend is seven. Returning to the village in Mexico they are not greeted with a big crowd, but with the help of Chico they make their presence clear. While they wait for the gang of between over fifty to over one hundred men, the men prepare the villagers to defend themselves learning how to fight and use weapons. Eventually Calvera does return with a few of his men, and he doesn't seem worried by the presence of the seven men, but he runs away when they manage to shoot down and kill his thugs. The next visit is a heated argument, and more of the gang come rising into town trying to fend themselves, failing miserably to the might of the village and seven men. After the seven men all have their individual things going on, e.g. breakdowns, doubts, loves, the last of the gang come into the village, Calvera is the key victim, and the village and men seem to finally scare the gang away. In the end, Chris, Vin and Chico are the only surviving men from the fight, and they know that the village is safe now, but they ride away feeling like they didn't truly win. The almost all star cast is indeed magnificent, Bryner, McQueen, Coburn and Bronson became much bigger stars after this, and Wallach is good as the slimy villain. The landscapes are great viewing, the action scenes are exciting, but for me, what makes the film is the essential Oscar nominated musical score (and iconic theme tune) by Elmer Bernstein, one of the greatest ever made, a fantastic classic western. Steve McQueen was number 14 on The 100 Greatest Movie Stars, he was number 49 on The 100 Greatest Sex Symbols, he was number 62 on The 100 Greatest Pop Culture Icons, and he was number 43 on The World's Greatest Actor, the film was number 8 on 100 Years of Film Scores, it was number 100 on The Ultimate Film, and it was number 79 on 100 Years, 100 Thrills. Very good!",The Magnificent Seven
