,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,"She's In Product, He's In Sales",7,11 November 2008,"Risky Business and All The Right Moves are the two films that launched Tom Cruise's career as brat pack film star. Unlike so many of his contemporaries from the Eighties, he's proved to have staying power and will no doubt continue to do so. All The Right Moves established Cruise as a dramatic actor, but Risky Business is a fun comedy about a hormone driven teenager who when the folks go away from his Chicago suburban home and he's left to play, he gets himself in all kinds of problems. First dialing up call girl, Rebecca DeMornay and then not having enough coin of the realm to pay her. Then getting mom's treasured glass egg stolen. And then getting the family car driven into Lake Michigan.But Cruise and DeMornay, who is having trouble with her pimp Joe Pantoliano, hit on the brilliant idea that there's a market out there for his group of eager overachievers. And Tom's house becomes quite the swinging brothel.Risky Business turns out to be pretty funny business. Best scene in the film involves Tom with Princeton interviewer Richard Mazur. You've got to love the way this boy gets into the Ivy League. Second best scene involves Tom and the family car as it plunges into the lake and then gets hoisted out.Tom's definitely proved to have staying power in show business. I can see his character in Risky Business growing up to be Jerry Maguire.",Risky Business
1,SnoopyStyle,"a pinch of The Graduate, a dash of Ferris Beuller, and a whole lot of Tom Cruise",8,8 June 2014,"Joel Goodsen (Tom Cruise) is a horny suburban Chicago teenager who is always concerned about his future. His folks are going out of town, and Miles (Curtis Armstrong) tells him to say ""What the F***"". His parents don't understand and they set up an interview with Princeton. He is part of the Future Enterprisers with Barry (Bronson Pinchot) but doesn't necessarily like it. Miles calls up a transvestite for Joel and he-she offers him Lana (Rebecca De Mornay). It's a memorable night but in the morning she wants her $300. She takes off with the crystal egg and he has to get it back. When he finds Lana in the city, they go on the run from his pimp Guido (Joe Pantoliano). Lana won't leave when Guido shows up. When the Porsche goes into the drink, he needs money to fix the car. He ends up in business with Lana, but Guido just won't let her go.This is a classic coming of age movie. Of course there is the classic and often referenced Tom Cruise sliding around in his underwear. However this is more than that in this movie. Joel is reminiscent of Ben Braddock from 'The Graduate'. He wonders if the plans that his parents have for him is right and he asks if all everybody wants is money. ""Doesn't anyone want to accomplish anything or do we just want to make money?"" Yet he doesn't run away from the money. He just doesn't have a clue about his future. There are the great dream sequences, memorable lines, and the general originality. Who could forget about the Porsche? The performances are terrific and the most vexing question of all is what ever happened to writer/director Paul Brickman. His limited success after this is the most disappointing thing in this movie.",Risky Business
2,Hitchcoc,Something Sad About This,7,3 December 2018,"First of all, I feel this was far fetched. Tom Cruise came along and made a name for himself (remember That Old Time Rock and Roll). HIs entrepreneurship and lack of direction, and pressure from his family,lead to some choices that could be deemed somewhat ridiculous. I know it's just a movie, but I don't see him the least bit heroic (and I generally like Tom Cruise). The conclusion is formula and that detracts from its effectiveness.",Risky Business
3,Prismark10,Misadventures of a rich kid student,4,29 July 2013,"Risky Business was a big hit in the USA and gave Tom Cruise a leg up to become a big star.Cruise carries the lead role well especially with the dance sequence to Bob Seger and very much has the 80s vibe.However there were too many rich college kids films made in that era, you know the ones that lived in a mansion, whose family had three cars and there was a Porsche or Mercedes in the household. Heaven forbid if you made a film about poor, working class students.Cruise plays a rather uptight, wide eyed innocent who becomes embroiled with a prostitute played by Rebecca De Mornay and becomes embroiled in a crashed Porsche, her pimp played with a mixture of menace and humour by Joe Pantoliano and a call girl racket in his parent's house.It is actually rather tame now but for a few risqué scenes usually set to music but it's ever so slowly paced and yet it reminds one of a time when filmmaker's felt that your average rich kid student was worth making a film about time and time again.",Risky Business
4,gavin6942,The Early 1980s Fantasy,7,1 December 2015,"A Chicago teenager (Thomas Mapother) is looking for fun at home while his parents are away, but the situation quickly gets out of hand.Looking back now (2015), the 1980s are seen as the decade of greed and unrestrained capitalism. This may not be accurate, but it is the caricature. How interesting that this film arrived so early in the decade, promoting ""business"" and capitalism through the view of prostitution and pimping. There must be a social message here, but I am not sure what.What really stands out is how ""clean"" it all is. The pimp is a bad guy, but never really dangerous. Prostitutes are shown as fun-loving, rather than strung out on drugs or with other issues. And even the main character sees dating a prostitute as a great thing, ignoring the reality of disease and the fact his girlfriend is sleeping with his friends for money. So strange!",Risky Business
5,lee_eisenberg,Here's what was risky.,7,15 January 2006,"Everyone remembers the scene of Joel Goodsen (Tom Cruise) dancing around to ""Old Time Rock 'N' Roll"", but some people may have forgotten some of the movie's other aspects. The plot of course has Goodsen hooking up with prostitute Lana (Rebecca DeMornay), but the movie also shows the takeover by greed in the '80s: Joel's classmates are obsessed with money, and he even asks if people can think about anything else. Oh well. I really liked the scene where people are arriving in the house while ""Mannish Boy"" is playing (the movie was actually released the year that Muddy Waters died). And it's also surprising now that I know who some of the cast members were: Joe Pantoliano - of ""The Goonies"", ""The Matrix"" and ""Memento"" fame - plays Guido the pimp, and Curtis Armstrong - aka Booger in ""Revenge of the Nerds"" - plays Miles. Whoa.",Risky Business
6,jboothmillard,Risky Business,7,19 September 2008,"I saw the most memorable single scene on this film borrowed for an episode of South Park, and I had a vague idea of the film's premise, so I thought I might as well try it. Basically Joel Goodson (Golden Globe nominated Tom Cruise) has the (suburban Chicago) house to himself, because his parents (Nicholas Pryor and Janet Carroll) are going on vacation, as well as a Porsche. One night his friend Miles (Curtis Armstrong) contacts a call girl named ""Jackie"", and it turns out it's a transvestite (Jurassic Park III's Bruce A. Young), but he does give Joel a contact number for a female call girl, Lana (Rebecca De Mornay). After spending one night with Joel, she asks for $300, she agrees to wait for him to get it, but when he gets back, she's gone, along with his mother's expensive expensive Steuben glass egg. Joel does find her again, and she agrees to give the egg back, as long as she can stay with him, and get away from pimp Guido (Joe Pantoliano). Originally Joel rejected the idea of inviting many of his friends over the house to pay for sex with Lana and many of her fellow call girls, but when his Porsche rolls into Lake Michigan, and getting a short suspension from school, he and Lana arrange a large party, the house becomes a brothel for a night. At that night, he forgot a Princeton interviewer, Rutherford (Richard Masur) was coming over to evaluate him, and quite a few interruptions occur. The evening was a success, but Joel wakes up to find everything in his house (furniture, ornaments, appliances) are gone, and he has to buy it all back from Guido before his parents get home. In the end, the only trouble Joel got into was with his mother and that glass egg (it has a crack), and he was accepted into Princeton, and Lana wants to keep seeing him. Also starring Bronson Pinchot as Barry, Shera Danese as Vicki and Raphael Sbarge as Glenn. This is a good comedy film, with some unusual scenes, and of course, the most memorable scene is when celebrates having the house to himself when he dances to Bob Seger's ""Old Time Rock and Roll"" (the scene South Park borrowed), which was number 100 on 100 Years, 100 Songs. It was number 51 on The 100 Greatest Sexy Moments for Joel's first night with Lana. Very good!",Risky Business
7,Woodyanders,Not your usual lowbrow 80's teen sex comedy,9,26 March 2010,"Sweet and naive straight-arrow 17-year-old suburban high school student Joel Goodsen (a highly charming and spot-on performance by Tom Cruise) gets left alone to take care of a posh house after his parents are away on vacation. Joel meets and becomes smitten with shrewd call girl Lana (splendly played with sexy and saucy aplomb by Rebecca De Mornay), who turns Joel's previously bland and orderly world completely topsy turvy. Lana convinces Joel to turn his home into a brothel for one night in order to make a bundle. Writer/director Paul Brickman takes the hackneyed premise of your standard adolescent coming-of-age tale and totally turns it on its ear by eschewing the expected raunchy horny teenager hi-jinks in favor of a wickedly witty and astute satire on the blithely amoral money-grubbing capitalism and shallow materialism of the 80's. In addition, Brickman brings a hip and arresting elegant style to the picture that's positively breathtaking to behold (the glossy gliding cinematography by Bruce Surtees and Reynaldo Villalobos is simply sumptuous). Moreover, along with the cool neon aesthetic there's a dark and surprising element of stark and slightly scary danger and disaster lurking just around the corner; it's this bold extra ingredient that gives the movie a freshness and originality that's enabled it to hold up remarkably well over the years. Cruise and De Mornay do stand-out work in the leads; they receive bang-up support from Joe Pantoliano as menacing pimp Guido, Curtis Armstrong as the brash, scruffy Miles, Bronson Pinchot as the nerdy Barry, Richard Masur as stuffy Princeton college interviewer Bill Rutherford, and Nicholas Pryor and Janet Carroll as Joel's domineering parents. Tangerine Dream's hypnotic score further enhances the film's substantial mesmerizing buzz. Why, we even get a few moments of genuine eroticism (Lana's memorable introduction in particular is smoking hot). Highly recommended.",Risky Business
8,rmax304823,"Enterprise, But Not Free.",6,19 August 2012,"Tom Cruise is Joel Goodsen, promising young son of a well-to-do family in the Chicago suburbs. He's doing the best he can at high school in order to be admitted to Princeton, where he'll major in business administration. He hires Rebecca De Mornay, a call girl, for one night while his parents are away on vacation, and De Mornay teaches him what business is all about.Cruise isn't bad as the naive school kid, and De Mornay has got her role pinned down as the smooth young hooker. The morning after Cruise's night of ecstasy, calling himself Ralph, she fixes his breakfast and tells him the night will cost him three hundred dollars. Cruise is astounded. ""You're kidding,"" he says. ""Gee, Ralph, I don't believe I am,"" she replies coolly, sauntering past him.She sends him off to the bank to cash a bond and, while he's gone, steals his mothers expensive glass artifact worth much more. Cruise is now terrified. He manages somewhere around here to dump his father's Porsche into Lake Michigan and now owes the dealer an enormous amount of money to restore it. (""Who's the U-boat commander?"", the dealer asks him.) But, following an argument with her pimp, Joe Pantoliano, she returns to the suburban house with a hooker. Together they figure out a scheme to make more than enough money to pay off Cruise's mounting debts. The two girls simply invite a dozen of their friends over and turn the mansion into a whorehouse for one night. It works, too. Cruise is admitted to Princeton, has a final fling with De Mornay, and the only sin he's stuck with is a tiny crack inside his mother's expensive glass egg.It's not a masterpiece and it resembles just another teen-in-trouble movie, yet it's enjoyable to watch it once. I particularly appreciated the director's deliberate style. No flashy special effects; no instantaneous cutting; no basilar-membrane-dissolving electronic percussion music. The style suits the material. You need time to absorb the amusing moments because they're not all thrust down your throat.Joe Pantoliano is superb as the pimp. He plays it entirely straight as the frustrated but far from evil manager. De Mornay and her friends slink around and are as warm and perceptive as their experience allows. In life, people in De Mornay's profession tend to have the emotional depth of hard-boiled nurses.During the night the orgy is taking place, there is a visit by a scout from Princeton, who looks around, gets an impression of what's up, scans Cruise's academic record, and tells Cruise, ""Nice stats, but it's not really Ivy League material, is it?"" Cruise's response is comic. He slaps the scout on the knee and says, ""Sometimes you have to just say, 'What the f***.'"" And later he tells his friends with a goofy grin, ""It looks like University of ILLINOIS."" That was a little condescending. A lot of dopes graduate from Princeton and Harvard, although the schools are hard to get into, unless you have an enormous amount of money. If he wanted a demanding education, he should have looked into the University of Chicago. And De Mornay's confession that the first night with Cruise meant a great deal to her seemed like pandering. At least they didn't wind up in love with one another, just another ""Pretty Woman,"" with the rich kid and the whore falling for each other after some comic incidents in fancy hotels and restaurants.Those are minor criticisms though, and I'm not sure everyone would recognize them as weaknesses. As a whole, it's a likable and sometimes funny divertimento.",Risky Business
9,Tweekums,Great early film from Tom Cruise,9,11 December 2010,"I enjoyed this film when I first saw it back in the eighties but feared it would have not aged well; when I watched it again I realised I need not have worried as it was as entertaining as ever. Tom Cruise is Joel, a high school student whose parents are going away for a few days; he doesn't have any plans but his friend Miles does he orders a prostitute called Jackie for Joel! When Jackie turns up Joel is understandably flustered and makes his excuses, Jackie leaves but not before giving him the number for Lana, apparently she is 'what all the white boys want'. Later that evening Joel make a phone call that will change his life; Lana comes over and after giving Joel the night of his life asks for three hundred dollars for her services, money Joel does not have. He goes to the bank to get it but when he returns Lana has gone along with one of his mother's valuable ornaments. He sets out to get it back but when he finds Lana she is having problems with her manager/pimp they drive off and she treats him to another night, this time for no charge he still hasn't got the ornament back and things go from bad to worse when an accident leaves his father's car in Lake Michigan. Luckily Lana has a great idea to pay for the repairs and make a lot more money besides she will introduce her friends to Joel's friends for a fee.This film surprisingly didn't feel very dated; if it wasn't for the fact that nobody used mobile phones or the internet it could have been set in the present day. Tom Cruise did a great job as Joel in the early role, Rebecca De Mornay did really well as Lana, coming across as smart, sexy and somewhat less than trustworthy and Joe Pantoliano was suitably slimy as 'Guido the Pimp'. Given the subject matter it isn't surprising that there are a few sex scenes, while they are fairly short and not very graphic they manage to be quite steamy. There is a small amount of nudity but it is almost a case of blink and you miss it. Normally I don't really notice a film's background music but here the score by Tangerine Dream is fantastic, fitting each scene perfectly. I'd certainly recommend this to fans of eighties high school films as it is up there with the best of them.",Risky Business
