,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Seven psychopaths that one doesn't want to mess with,7,14 February 2018,"With such a talented cast and being so impressed by 2008's 'In Bruges' and the recent 'Three Billboards Outside Ebbing, Missouri', hopes were high for 'Seven Psychopaths' despite its severely wanting marketing. A large part of me really enjoyed it on the whole, but there are a few misses and part of me was disappointed. It is director Martin McDonagh's weakest film of the three feature films he directed, but that is comparing it to 'In Bruges' and 'Three Billboards Outside Ebbing, Missouri' and that it is still good if patchy is testament to how good (if also divisive and imperfect) those films are. It is very easy to see why people would be underwhelmed by 'Seven Psychopaths', not just for its unevenness but LAO for its unsubtle, very violent, very foul-mouthed nature and lack of political correctness, just as much as it is easy to see why others will enjoy it. 'Seven Psychopaths' has a good deal to like. It's very gritty and stylish visually, with the editing succinct and not choppy, perfect for the genre and what it's lampooning and challenging. The soundtrack is both catchy and atmospheric and McDonagh's direction is consistently assured. Much of the script hits more than it misses. Although lacking in the emotion of 'In Bruges' and especially 'Three Billboards Outside Ebbing, Missouri', the dark comedy often ranges from very funny to hilarious and there is also moral complexity, very clever and razor sharp wit, lampooning, lambasting and subversion of all the genre clichés and how the script should play out. The violence is unsettling but not too gratuitous and the story is deliberate yet gripping. There are memorable scenes, especially Sam Rockwell's dream shoot-out scene, a comedic delight if there ever was one. Regarding the performances, Rockwell is great fun, and seems to be having a whale of a time, and Christopher Walken oozes charisma. Woody Harrelson is also great. There are drawbacks here in 'Seven Psychopaths'. There are patchy parts in the script, where the wit slackens and the writing becomes too conventional and even for what it's poking fun at (the genre clichés) it does get too clichéd.Especially misfiring is how the female roles are written, although intended to mock how they're written and used is not very tasteful (can sort of see where the misogyny complaints come from) and they are so under-utilised that it gives the female cast very little to do.Colin Farrell is nowhere near as good as he was in 'In Bruges'. The character is very bland and uninteresting, and Farrell just doesn't have the charisma of Walken, the likeability of Harrelson or the comic timing of Rockwell to pull the character off or make much of him. The ending is both contrived and abrupt, very true of McDonagh's other two films as well and indicative that ideas had run out.Overall, good and enjoyable but uneven. 6.5/10 Bethany Cox",Seven Psychopaths
1,Leofwine_draca,Violent black comedy let down by unappealing characters,5,20 December 2015,"I'm not really a fan of this genre of film, which consists of horrible characters doing horrible things to each other, but SEVEN PSYCHOPATHS is worth a look due to the unusual aspects of the storyline. Given that the protagonist is a scriptwriter there's a whole lot of self-referencing going on here which gives it a very post-modern feel a la SCREAM.The story is complete nonsense of course, involving the hunt for a stolen shih tzu and the owner's increasingly desperate - not to mention deranged - attempts to get it back. The draw is that all of the main cast members are, you guessed it, psychopaths, although there's also a lot of shaggy dog storytelling going on too so you're never quite sure what's what.The main flaw of this film lies in the unlikeable characters. Colin Farrell's lead is a real bore and reminded me how I find it really easy to dislike Farrell when he's given the wrong role. Sam Rockwell spends the whole of the running time hamming things up, and it's left to Christopher Walken and Woody Harrelson in support to make the best of things. I've noticed that director Martin McDonagh is very good at shooting action and movement scenes (as with IN BRUGES and SIX SHOOTER) but as a writer he still needs to work on a few basics, such as crafting likable protagonists.",Seven Psychopaths
2,SnoopyStyle,"Crazy cast, Crazy story.... Kinda blah",6,8 September 2013,"Marty (Colin Farrell) is a struggling alcoholic screenwriter who's working on a book called Seven Psychopaths. His friend Billy (Sam Rockwell) is a professional dognapper and he desperately wants to help write Marty's book. His other friend Hans (Christopher Walken) has a deep dark secret. Billy's latest dognapping involve gangster kingpin Charlie (Woody Harrelson) which sets off a whole series of killings.It's a deliberately convoluted story. Colin Farrell oddly is playing the straight man. But considering the crazy cast, one can see he's actually the most normal. Sam Rockwell completely overwhelms with his manic energy. When Christopher Walken gets together with Colin and Sam, there are a couple of great exchanges. But those exchanges are fleeting and far apart. The fact is that this was way too convoluted to be compelling. And the ending really doesn't help it any.",Seven Psychopaths
3,Prismark10,Adaptation,5,4 September 2016,"From the opening scenes we know that we are in Tarantino territory. It is about low rent gangsters, hit-men, weirdos and a screenwriter. Up to a point it is smart, hip, funny and violent and then like some of recent Tarantino's works it is all talk as the director Martin McDonagh flips the movie as they get all meta and talk about adapting a film about psychopaths.Marty (Colin Farrell) is wannabee boozy filmmaker in LA. He spends his time with Billy (Sam Rockwell) a dog thief who alongside cravat wearing older criminal (Christopher Walken) steals dogs and returns them when the dog owner puts up a reward. However they all end up in trouble when the y steal a Shih Tzu owned by a gangster called Charlie (Woody Harrelson.) Billy is already making out with Charlie's estranged girlfriend and it all ends up with a messy shootout in the desert.In the meantime you hear stories of killers who go after serial killers, a man who stalked the killer of his daughter to hell and a strange Vietnamese priest.Farrell is the straight man among these swirl of strange characters. The women in the film are one note and bullet fodder which the movie itself notes but it gets lost in the second half and the film fizzles out.",Seven Psychopaths
4,claudio_carvalho,"Pretentious, Overrated and Boring, 27 April 2013",4,14 May 2013,"In Los Angeles, the alcoholic Irish screenplay writer Marty (Colin Farrell) lives with his girlfriend Kaya (Abbie Cornish) and is writing the screenplay of a story about seven psychopaths. His best friend Billy (Sam Rockwell), who helps Marty to develop the profile of psychopaths, kidnaps dogs for the veteran smalltime crook Hans (Christopher Walken) that returns the animal to the owner to receive the reward. When Billy kidnaps the beloved Shih Tzu that is the pride and joy of the powerful gangster Charlie (Woody Harrelson), he hunts Hans down and kills his wife Myra (Linda Bright Clay) in the hospital. Soon Marty learns that the psychopaths described by Billy are not fictional.""Seven Psychopaths"" pretentious, overrated and boring movie about an alcoholic Irish writer that is writing about psychopaths and finds that is surrounded by them. The plot was supposed to be a combination of comedy with crime, but it does not work well and I laughed only in a couple of scenes. Maybe with Guy Ritchie in the direction, ""Seven Psychopaths"" might have worked, but unfortunately Martin McDonagh does not repeat the good work of ""In Bruges"" and the movie sucks. My vote is four.Title (Brazil): ""Sete Psicopatas e um Shih Tzu"" (""Seven Psychopaths and one Shih Tzu"")",Seven Psychopaths
5,kosmasp,Comedy Psychopath Club,9,3 June 2013,"Though it's members do not have a membership card. It's not even about a mystery or two (I'm guessing most will see through one of the ""major"" twists), but about the performances. Great actors and great comedy melt together in a violent mix that will obviously not be to everyones taste of course. But if you like your comedy not to hold back punches and be as dark as it can be ... well look no further.Sam Rockwell, but also Colin Farell deliver great performances. Especially the latter seems at home playing more coy and shy than ever! Of course as mentioned there will be blood. And if you are not into watching that on screen, than you better stay clear. Everyone else should at least rent it. It's worth your money",Seven Psychopaths
6,classicsoncall,"""And what do you think we should do in real life?""",10,10 February 2013,"""Seven Psychopaths"" has a better ring to it, but shouldn't this have been called ""Six Psychopaths""? The Jack of Diamomds after all was just Billy with a red mask providing inspiration for Marty's screenplay, so he was double counted. I have a way around this though if you consider Billy's narration of the movie ending in which Marty joins the psychos to go up against Charlie Costello's gang in the imaginary shootout. Can you even believe I'm trying to analyze this? I have to say, I watched this three times in order to capture the full nuance of what was going on with the characters. Each time Sam Rockwell was more hilarious than the last as dog-napper in chief and Marty's best friend. The whole concept here was pretty far out there, but this kind of quirky stuff, if well done, will always get my attention.Now I'm not saying any of this was believable at all, but there was one sit up and take notice moment when the Vietnamese priest returned to his village after the war. For anyone born after the mid-Sixties with no knowledge of the Vietnam conflict, the scene won't carry any significance, so my intent by mentioning it is for you to go look it up. The historical reference to My Lai was an unusual inclusion for the story and had me going back in time to those days when the war was raging.You know what's kind of odd? I'm looking at the credits for the film here on the IMDb and Harry Dean Stanton is listed as the 'Man in hat'. Why not credit him as 'The Quaker'? Just wondering.Anyway, I thought the four main players were standout, with Rockwell the best as I mentioned. Harrelson has a knack of getting these wacko roles, and if Christopher Walken wasn't included in this bunch I would have wondered why. The one thing about Colin Farrell that distracted me though was his going in and out of the thick Irish brogue; I wonder why that was. Otherwise his conflicted writer character was a pretty good foil for Billy's witty sarcasms and generally insane observations. The only thing now as I think about Billy, the movie didn't really end his way after all.",Seven Psychopaths
7,Tweekums,A black comedy which some will find hilarious others will find offensive,8,14 April 2018,"As this film opens a couple of killers discuss a hit they are preparing for; then a man approaches from behind and shoots each of them before placing a Jack of Hearts on each body. We then cut to struggling screen writer Marty. He is working on a screenplay titled 'Seven Psychopaths' and his friend Billy is helping him by providing various anecdotes he might use... he also posts an advert in the paper inviting psychopaths to tell Marty their stories. That is the least of their worries though; Billy has stolen a dog belonging to psychotic gangster Charlie's beloved pet Shih Tzu. Charlie will do anything to get it back and that means killing anybody close to the person who took it. As the story continues it is clear that the things that happen will provide Marty with his story... assuming he can survive of course.This black comedy certainly won't be for everybody; it is violent, sometimes very violent and the language is stronger than I expected in a '15' certificate film. If you can get past this though it is very funny. The way the various anecdotes tie in to the main story is well done and not too obvious. The four main characters were a lot of fun; Colin Farrell impresses as Marty, a man clearly out of his depth; Sam Rockwell puts in a fine performance as Billy, a character who is more than a little disturbed and Christopher Walken is great as Hans, a peaceful character with a past. There is also a solid performance from Woody Harrelson as antagonist Charlie. There are plenty of laughs to be had but also some real shocks; especially in the scene where we learn the identity of the 'Jack of Diamonds' psychopath. Overall I enjoyed this although perhaps not quite as much as writer/director Martin McDonagh's 'In Bruges'... I'd certainly recommend it to anybody who enjoyed that film.",Seven Psychopaths
8,paul_haakonsen,Caught up in psychosis...,5,13 January 2013,"With an impressive cast as there was to this movie, I had definitely thought something more of this movie than it turned out to be. The movie was sort of boring at times and tended to drag on. But at the same time, there were some really great moments to it as well.The actors in the movie did good jobs with their given roles, and there was some pretty good names to the cast list. However, the story just didn't really sink in well with me and had that much appeal.""Seven Psychopaths"" is a movie unlike your average Hollywood movie, because it is quite unique, and its story does have a great many levels to it. So it is somewhat of an acquired taste. Personally, it just didn't work out that well for me.It is the type of movie that you need to really pay attention to the storyline, because it tend to jump around between storytelling and actual in-movie events. So keep your wits about you as you sit down to watch the movie. This movie turned out to be a rather blend and mediocre experience for me, despite its fantastic cast list.",Seven Psychopaths
9,LeonLouisRicci,Extremely Unsatisfying,4,17 April 2013,"What a cast! What a disappointment! This is another of those ultra-hip, ultra-violent, ultra-wacky, and ultimately unsatisfying attempt at Coolness that has had its day and is as unwelcome as another bad burger.Tarantino. There it is said. So many others seem to want to say it as though this is some sort of forced attachment to excellence. It doesn't fly. This is an all too familiar Film with such forced humor and a failed attempt at violent parody that it is rendered lifeless and unattractive to the...wait for it...Extreme.It is relentlessly confusing and frustrating in its layered lay out of characterization and subplots that it is completely lost before it is even aware that it is missing. The worst example being the Buddhist Monk bit that runs throughout and ends it all by running amok with a ridiculous explanation of how to include it in the fictional Screenplay after it is abandon in the ""real"" fictional Screenplay.After all, this is an overrated mess of meanderings and half-realized self parody that is a cold and impenetrable interplay of much ado about nothing that is engaging and ends up being a disconnected series of Players and events it tries so cleverly to connect that its break from reality is its own conceit.",Seven Psychopaths
