,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Seen it all before, many times",5,23 January 2020,"Another day, another Hollywood adaptation of a popular young adult novel. This time around it's MORTAL ENGINES, in which a heroine with a designer scar does battle with the boringly evil British ruler of a moving city that travels around decimating and assimilating its enemies. Yep, it's another story that takes heavy-handed swipes at colonialism while eager to put across its 'woke' credentials. However, it's also long-winded and completely mundane, offering CGI augmented action scenes and visuals that have already been done countless times. At this point in time, all of the HUNGER GAMES, DIVERGENT and other young adult offspring feel interchangeable, with no voice or insight of their own, and nothing to make them stand out from the crowd...",Mortal Engines
1,SnoopyStyle,outlandish world,6,15 September 2019,"The long forgotten world was destroyed in sixty minutes by a weapon called Medusa. It's now a post-apocalyptic world where cities are mounted on wheels and devouring each other for the limited remaining resources. London has crossed a land-bridge to raid the dwindling supply of smaller settlements. Thaddeus Valentine (Hugo Weaving) is the ruthless leader working on a secret program. His daughter Katherine is innocent. Tom Natsworthy (Robert Sheehan) is a historian trying to hide the salvaged ancient weapon tech. When Hester Shaw (Hera Hilmar) tries to assassinate Thaddeus, Tom uncovers one of his secrets and gets thrown out of London.I really like the outlandish premise. There is fun craziness. Hester is a great character and played by the compelling Hera Hilmar. On the other hand, Sheehan is playing his usual talkative know-it-all. He's a bit annoying and not the best romantic lead. Quite frankly, it's better to have Sheehan and Ronan Raftery switch roles. Ronan seems more like the boy scout type and would pair better with Hera. Sheehan would give more spice to the pairing with Leila George. It may still be a great movie until the third act turns into a grinding never-ending ending.I would rearrange the final battle entirely. After defeating Shrike, Hester finds the crash drive. Hester and Tom sneak back into London. They reunite with Katherine and the group sneaks into St. Paul's. Thaddeus fires the weapon once which starts to malfunction. Random strikes hit everywhere including London and the small group fights to stop Medusa saving not just the wall but also London itself. It's a tighter ending. It's not as action packed but it's much better to have the group together. Overall, I like this movie. I like the start more and the ending is not so bad. It could definitely be better. For one thing, the world should be deader. There is way too much green plant life. The world should be a desert. It's post-apocalyptic after all.",Mortal Engines
2,Prismark10,Metropocalypse Mess,5,5 February 2019,"Peter Jackson has produced this steampunk fantasy action film. The film has bits off Terminator, Mad Max, Star Wars, Brazil. It makes the film too messy.It gloriously flopped at the box office as it needed a tighter story and a more engaging hero.Set in a post apocalyptic future. The world was ruined in a 60 minutes war.What is left are settlements in wheels. The big one is London, a city on wheels that consumes smaller settlements. Evil Thaddeus Valentine (Hugo Weaving) has built a destructive weapon from old technology to breach a wall that protects the non moving population.Hester Shaw (Hera Hilmar) is a young woman that is determined to stop him, Valentine also killed her mother. Tom Natsworthy (Robert Sheehan) has been banished from London by Valentine when he found out too much and he aids Hester.Visually the film is a spectacle. The story is too choppy, unengaging, silly and inert. The writers of the Lord of the Rings trilogy certainly had an off day.",Mortal Engines
3,claudio_carvalho,Highly Entertaining Post-Apocalyptic Adventure,7,20 February 2019,"In the future, after the Sixty Minute War, the survivors build mobile fortresses and big cities become predator cities attacking small villages or settlements to take their population, supplies, technology and resources.
When London takes a small mining village, a masked young woman called Hester Shaw (Hera Hilmar) tries to kill their leader Thaddeus Valentine (Hugo Weaving) but the young trainee Tom Natsworthy (Robert Sheehan) saves Valentine and chases Hester. She tells to Tom that Valentine killed her mother and escapes through a dumping hole. When Tom reports to Valentine what Hester said, he pushes Tom that falls in the hole off the city. Tom and Hester meets each other and they are forced to team-up to survive and she tells the story of her mother Pandora and Valentine, who killed her. They are rescued by a strange couple and soon they learn that their intention is to sell them as slaves. But they are saved by the warrior Anna Fang (Jihae) and they learn secrets about Pandora´s discover. Soon they find that they need to stop Valentine to save the civilization in Asia led by Shan Guo and protected by the shield wall.""Mortal Engines"" is a highly entertaining post-apocalyptic adventure produced by Peter Jackson. The story and the screenplay are great, with attractive characters and a good villain. The lead couple shows chemistry and there are many unknown actors and actresses. The CGI is excellent in the Terry Gilliam´s ""Brazil"" style. Highly recommended for fans of the genre. My vote is seven.Title (Brazil): ""Máquinas Mortais"" (""Mortal Engines"")",Mortal Engines
4,nogodnomasters,Food of the ancients is indestructable,5,21 December 2018,"The opening scene, I was thinking ""Wild Wild West"" meets ""Mad Max."" and later I had to toss in ""Star Wars"" and Monty Python's ""The Crimson Permanent Assurance."" seriously.The script was not tight and I apologize for PLOT SPOILERS. The setting comes about after an Earth crust shift, followed by ""The 60 Minute War"" with quantum energy (whatever that is) and then at some time there was the even less described ""Nomad Wars.""The city of London is on tank tracks and travels slowly across the land devouring other mobile cities in its wake because it can as it robs them of their resources. Valentine (Hugo Weaving) controls the city and has been quietly making a weapon because running them over is not enough.I am not sure what they had in mind making Elrond as Darth Vadar. They had guns, so the sword fighting confused me. This wasn't LOTR. The role of Kate (Leila George) starts off as if she was going to play a major role, and she was simply a spectator...like Ivanka watching her dad destroy the world. Oh yeah, then there was a dead guy whose partial conscientiousness was inside of a killer robot. He was also after Hester (Hera Hilmar) the main female lead. I guess going after a guy with a quantum machine who wants you dead is not enough. Of course the ""Luke, I am your father"" scene made me hurl chunks.They make fun of modern politics with family separation and Twinkies that are still fresh after 1,000 years. Light humor.The film had great scenes, but they simply tried to cram too much into 2 hours.",Mortal Engines
5,kosmasp,Part 1 - and ... end,7,30 January 2021,"I have not read the books this is based on. So I can't compare this and say what is in it and what is missing or how it deals with issues in the book and how it translates on screen. Having said all that, yes this is predictable! Like many other Science Fiction meets Fantasy movies of its kind, you can see where this is going (or driving if you will). It still does not take too much away from the fun you can have with this.The acting is solid and more importantly: it does look good (CGI and all that). With Peter Jackson attached to it you might have expected that though I reckon. Unfortunately this likely will remain the only entry into the film world, since it really tanked at the box office. Well as it is, that leaves everyone quite ... without any real satisfaction! Maybe it will inspire some to pick up the books though and read them to at least get some closure, since it's unlikely we'll get that on the (big) screen",Mortal Engines
6,BA_Harrison,London Crawling.,8,1 February 2019,"Coming from producer Peter Jackson, king of the overblown, CGI-crammed fantasy spectacle, I fully expected Mortal Engines to be a vacuous waste of two hours, amazing to look at perhaps but bereft of substance, character development, and plot. I was surprised, therefore, by how much I enjoyed this expensive slice of steampunk action, which delivered characters I actually cared about, lots of slam-bang set pieces, an engaging story and, as expected, tons of sumptuous visuals. Yes, there were a few moments where plausibility is stretched a little too far, but I was thoroughly entertained throughout.The film is set on Earth in the future, after war has ravaged the planet. Icelandic beauty Hera Hilmar plays Hester Shaw, a wilful young woman who seeks revenge on Thaddeus Valentine (Hugo Weaving), the man who murdered her mother when she was a child. Valentine is now in command of London, a massive city on wheels that consumes smaller settlements, and he has his sights set on the land beyond a massive barrier called the Shield, home to the anti-tractionists (those who don't live in moving cities). To destroy the wall, Valentine has constructed a powerful weapon from old technology; it is up to Hester and London outcast Tom Natsworthy (Robert Sheehan) to try and foil his plot. Meanwhile, a Terminator style cyborg, Shrike (Stephen Lang) is hunting Hester, miffed at the fact the she has broken a promise to him.With lots of impressive action, enhanced by breathtakingly detailed CGI, Mortal Engines is vibrant, energetic and exciting - a little too over-the-top at times, but not distractingly so. Hilmar is the big surprise here: she puts in a strong performance and deserves to have a bright future ahead of her - I hope that this film's inexplicable failure at the box office hasn't hurt her career prospects too much.7.5/10, rounded up to 8 for IMDb.",Mortal Engines
7,CinemaSerf,"Way too much focus on the look, nowhere near enough on the substance.",6,26 November 2020,"From the team that brought us everything from Middle Earth comes this great to look at, but highly derivative fantasy adventure that regurgitates a hybrid of stories and spits them out pretty unremarkably. To be fair, there is charisma between the two leads - both attractive, young, and ballsy - Hera Hilmar (""Hester)' and Robert Sheehan (""Tom"") as they try to thwart the maniacal ambitions of ""Thaddeus Valentine"" (a suitably dramatic, ""Elrond"" like, Hugo Weaving) who is charged with providing an uninterruptible power source for the marauding mechanical city of London. The visual effects are super, as you might expect, and the score certainly has something of the Howard Shore about it, but the relentlessness of the out of the frying pan into the fire scenarios against impossible odds just recycle themselves once too often and the ending, though impressive to appreciate creatively, has all the jeopardy of night following day. Money has clearly been spent on this, but not on the script nor the plot. It's fine, but nothing more...",Mortal Engines
8,oscaralbert,THE MUMMY and THE WOLFMAN seem downright puny . . .,7,18 December 2018,". . . when compared to Universal Film Studio's latest addition to its famed pantheon of monsters: London. Hollywood's official House of Horror uses MORTAL ENGINES to alert our World to its resurgent British Threat. London always has been synonymous with England, a region now Hell-bent upon upsetting the Planet's apple-cart with its so-called ""Brexit Attack."" Labeled a ""Quantum Energy Tool"" (aka, QE2) throughout MORTAL ENGINES, London's ""Nuclear Option"" is launched against the European Union as this story draws to its climax. The character ""Dr. Twix"" personifies the Real Life villainess at the Brexit controls, ""T. May."" QE2 herself is portrayed with somewhat gender-blind casting as the ""resurrected"" Lazarus model zombie robot ""Shrike"" (a virtual deal ringer for ""Her Royal Highness"" as a Bicentennial Woman). Historically, London has housed all the Arch Villains who plotted the creation of the rapacious ""British Empire,"" symbolized in the opening scene of MORTAL ENGINES by the monstrous steam punk London beast over-running and then chain-sawing the small Germanic salt-mining town, erasing their centuries-old Culture forever. Some scary stuff indeed.",Mortal Engines
9,neil-476,"Disappointing. Looks good, but who cares?",6,23 September 2021,"After apocalyptic war, the wastelands are inhabited by wheeled cities which roam around, eking a living. London is the biggest, and most predatory. Thaddeus Valentine is minded to create a vicious weapon in order to destroy a wall which prevents the cities from venturing into fresh territory. And young Hester Shaw is minded to kill Thaddeus Valentine.December 2018 saw a rush of movies aimed at the geek market. A great trailer sold this one to my inner geek - predatory cities on wheels! Wow! This should be great!It isn't. Every time I think about it, I find more wrong with it. Let's start with the basic idea. The sci-fi nut in me loves the idea, until even a little bit of thought tells me that the notion of cities on caterpillar tracks is hugely impractical. Where does the fuel come from?The story - essentially the battle for Hoth in The Empire Strikes Back - is OK. Hugo Weaving as Valentine, and Stephen Lang as reanimated corpse/robot Shrike, are both fine. But the juvenile leads have little charisma, and it's difficult to care about them.This isn't helped by the script. The Lord Of The Rings trio of Jackson/Boyens/Walsh have turned out a script which pays lip service to Hester's backstory, but the other characters? So what?The visuals of the cities are good, albeit the early high speed chase - well executed - was unconvincing. I simply didn't believe that wheeled cities could travel at those speeds, with such good cornering.And it is dark, not to mention drab. The colour scheme is almost entirely variations on brown, with the exception of one red aircraft.There are a number of points where time is critical, yet people stand around for no particular reason, In one instance, they are on a burning deflating balloon city. You might think that might make them act with a little urgency, but no.This could have been a film I loved - I wanted it to be, I expected it to be. But no. It was, instead, hugely annoying and frustrating.",Mortal Engines
