,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Point Man For The Bomb Plot Against Hitler,8,20 February 2011,"Tom Cruise is one of those actors who can't shake a youthful image. When one thinks of him, one thinks of All The Right Moves, Top Gun, even Taps as the young brat packer. Of all the young players of the Eighties labeled the Brat Pack, Cruise has had the most staying power by far. In Valkyrie, Cruise holds his own with some classically trained players from across the pond like Terrence Stamp, Kenneth Branagh, and Tom Wilkinson. These folks in varying degrees participate in the plot named Operation Valkyrie to assassinate Adolph Hitler and hopefully bring about a short conclusion of the war. Working against them was the unconditional surrender policy agreed to by the Allies. Everyone well remembered Hitler's skillful use of the betrayal issue that came about in that interregnum between the Armistice and the Versailles Treaty. The Allies wanted Germany beaten with no doubt about it this time around.And they would have had to have bagged a whole gang of them, Himmler, Goering, Goebbels, Bormann etc. for it to work. Nobody on the Allied side would have dealt with any of these specimens. In fact when they did break the policy and negotiate a surrender with Marshal Pietro Badoglio and due to circumstances to lengthy to go into here, the objective was not accomplished and we had a yard by yard war up the Italian peninsula instead of a quick surrender.Cruise let's face it is not a brat packer any more. In fact he's roughly the age that Stauffenberg was when he became the point man for bombing on July 20, 1944. He even looks a bit like him. There's also a trace of the German aristocratic air about him that Stauffenberg was. Claus von Stauffenberg did come from an old Catholic aristocratic family with a military tradition who saw the Nazis as parvenus. But it was hard to argue with Hitler's early military success, especially for a military man.The performance really to watch here is that of Tom Wilkinson who is a really oily individual as General Fromm who was trying so hard to keep himself in good with both sides so he could come out on top. As for what happened to him, watch a very worthwhile film to find out.",Valkyrie
1,Leofwine_draca,Thoroughly suspenseful wartime thriller,7,29 November 2012,"Despite the fact that we all know the eventual outcome of this film, VALKYRIE turns out to be a great film, featuring great performances from an ensemble cast and a script that wrings maximum suspense out of the tense true story that it's based upon.Tom Cruise might not be everybody's choice as a battle-scarred German officer desperate to do away with Hitler, but I liked his performance; he underplays it for the most part, as do the rest of the cast. Bill Nighy is career-best, doing away with the hammy mannerisms usually blighting his roles, and there are nice parts for Kenneth Branagh, Terence Stamp and even Eddie Izzard to get their teeth into. Yes, Carice van Houten is wasted but then you can't have everything.One thing I was unsure about was this film's portrayal of Hitler, which was going to be tough after Bruno Gans did such a good job in DOWNFALL. When I realised ROME's David Bamber (an actor usually known for his comedic roles) was tackling the role, I wasn't sure what to think, but he acquits himself well with the part and is unrecognisable for the most part.The film gradually builds suspense and tension despite the inevitability of the climax and never resorts to flashy special effects or action scenes to keep the viewers watching. That's why I recommend it: a resolutely old-fashioned slice of wartime thrills and Bryan Singer's best movie by far.",Valkyrie
2,SnoopyStyle,reserved competent work,7,8 September 2015,Colonel Claus von Stauffenberg (Tom Cruise) is disillusioned with Hitler and the war. He abhors the atrocities committed by the SS. He is severely injured in North Africa. Major-General Henning von Tresckow (Kenneth Branagh) is the military leader of a coup but his attempt to kill Hitler fails. General Friedrich Olbricht (Bill Nighy) recruits von Stauffenberg who comes up with a plan to use Operation Valkyrie which is set up to maintain order after the death of Hitler. They need the head of the reserve army General Friedrich Fromm (Tom Wilkinson) to order Valkyrie while they try to rewrite the operational manual so that the SS won't interfere with the coup.Director Bryan Singer brings a solid workmanship to the production. Tom Cruise's reserved acting lacks a certain excitement. The story is told competently. It could easily be lost in the labyrinth of characters but the awesome cast is able to give each character his due. I'm also glad Singer didn't try to have the cast do fake German accents. The movie does lack the thrills but it still has a low-burning intensity.,Valkyrie
3,Hitchcoc,A Historical Film Must Fill in Some Spaces,7,29 October 2009,"I can understand history buffs taking people who are critical to task. This is probably a pretty good representation of an historical event. I was captivated. It's a good looking film, with mountains and forests and paths to secret places. Where it breaks down for me, the casual movie goer and non-historian, is in the great number of characters, their loyalties, and their participation in this event. If you are marketing to a large audience, you must have a little softer touch. I suppose one could say, ""You're stupid! That's your tough luck."" I'll leave that to the documentaries. As for the flap over Tom Cruise, I had a hard time with him being a Nazi colonel. I can't explain it. He's got the glistening teeth and the boyish look, and, even with the missing parts, he doesn't work for me. I just didn't feel the emotional anguish I think a Stanley Kubrick would have brought out. The characters, mostly Nazi's, sort of blended into one lump, and when the movie ends, I'm not sure I've quite got it. Still, it is big and impressive and shoots high.",Valkyrie
4,Prismark10,Let's kill Hitler,7,5 December 2013,"Valkyrie is based on the true events in Nazi Germany. The plot to kill Hitler. In 1944 some German officers hatched a plot to take out the Fuhrer and deploy another administration.This film is about the various intricate plot leading up to the assassination attempt and its aftermath.Although we are all aware of the outcome, plaudits has to be given to the writers and director Bryan Singer for maximising tension to the hilt.As always, Tom Cruise gives it his all, although you might think he is a little too earnest here and is ably supported by a largely British cast who either are aiding him or resisting him.Valkyrie could easily had been a cheesy and rather sentimental story but it really works as a thriller.",Valkyrie
5,claudio_carvalho,A Remake for Fans of Tom Cruise Only,4,19 March 2009,"In 1944, a group of high command officers plot an attempt against Hitler, and one of the leaders of the conspiracy, Stauffenberg (Tom Cruise), goes to a meeting with the Fuhrer in charge of exploding the place. However, Hitler survives and the conspirators are executed.The 2004 ""Stauffenberg"" with Sebastian Koch in the lead role is another great example of the powerful German cinema. Based on a true event, with remarkable performances, tight direction and excellent reconstitution of a dark period of the contemporary Germany history, it is highly recommended  indeed a must-see film - for fans of war movies. This shallow and unnecessary remake, with Tom Cruise in the lead role and spoken in English, is only recommended for fans of Tom Cruise and viewers that do not like to read subtitles. Prefer watching the 2004 German version for television that is better and better. My vote is four.Title (Brazil): ""Operação Valkiria"" (""Valkyrie Operation"")",Valkyrie
6,kosmasp,Story is good ...,6,10 December 2009,"Actually as the saying goes: Real/True life is stranger than fiction and sometimes more suspenseful! You can see that it is true with this movie too. Of course it does take a few creative ideas, if you will. So it's not exact history you get. But it is a movie and not a documentary. It still tries to stay as true to the facts as it can. Apart from the fact, that most of the time, Germans are talking English that is.And Mr. Tarantino has shown us, that it is possible to make a movie and cast people for the roles that are needed. See Inglorious Basterds and enjoy the multi-lingually of it! And Quentins movie is much more fiction than this one. Go figure then, I guess. Still a pretty decent movie, that had some troubles during production (Tom Cruise and his affiliation to an Organization were responsible for some of those), but came through it all ... eventually.",Valkyrie
7,classicsoncall,"""I'm engaged in high treason with all means available to me"".",9,12 October 2009,"I don't consider myself a Tom Cruise fan, but he's appeared in a number of good films along the way. When I first heard about his involvement in this project, I had to scratch my head over the idea of his portraying a German military officer in World War II. Putting those thoughts aside while watching ""Valkyrie' today, I have to say that I wound up thoroughly engrossed in the story. Finally there's a film that conveys to what extent Adolf Hitler's own reputation was held to derision within large segments of the German military. You only get a brief flavor of that in other World War II films, ""Das Boot"" is one that immediately comes to mind. Considering the fanatical grip that The Fuerher held over all matters and thinking during this period, it would seem improbable that so many willing co-conspirators would have found each other to attempt such an assassination plot. Perhaps the more intriguing aspect of the story has to do with Stauffenberg's plan to utilize the German Reserve Army in implicating an SS coup attempt against Hitler. That idea was so much more masterful than simply carrying out the assassination itself. It was also surprising to see how far ahead of his superior officers Stauffenberg was in his thinking. The movie weaves all of these dynamic intricacies together in a way that makes for a tense and suspenseful experience. Supporting Cruise you have a formidable cast, all of whom provide credible portrayals befitting their roles in the covert mission. Overall, this was a great bit of history to put to the screen, skillfully presented in a way that provides an insight into just how much opposition there was to Hitler within his own command.",Valkyrie
8,jboothmillard,Valkyrie,5,1 August 2009,"From director Bryan Singer (The Usual Suspects, X-Men, Superman Returns), this sounded like an interesting second world war story based on a true story. In Nazi Germany, they were slowly losing the war, and the Germans made quite a few plots to kill Adolf Hitler (David Bamber). This film focuses on one of the closest attempts to kill Hitler masterminded by Colonel Claus Von Stauffenberg (Tom Cruise), with the help of fellow officers. These fellow officers included Major-General Henning Von Tresckow (Kenneth Branagh), General Friedrich Olbricht (Bill Nighy), General Friedrich Fromm (Tom Wilkinson), Ludwig Beck (Terence Stamp) and General Erich Fellgiebel (Eddie Izzard). The plan was to assassinate the Fuhrer in an explosion, and then initiate Operation Valkyrie, allowing Stauffenberg to seize control of Berlin. Of course Stauffenberg is convinced that the mission was successful and insists the operation is put in action, but of course they must have the Fuhrer's death confirmed. In the end, Stauffenberg and all the fellow officers that assisted in the assassination attempt were punished when Hitler was confirmed as still being alive. Also starring Carice Van Houten as Nina Von Stauffenberg, Thomas Kretschmann as Major Otto Ernst Remer, Kevin R. McNally as Dr. Carl Goerdeler, David Schofield as Erwin Von Witzleben, Tom Hollander as Colonel Heinz Brandt, Ian McNeice as Pompous General and Bernard Hill as Confident General - Desert. The story has its moments that grip you, and the performances are all well done, particularly Cruise who had been getting some harsh press, so it is certainly a war film to try. Worth watching!",Valkyrie
9,ccthemovieman-1,"A Decent Film, But Not Quite Up To The Hype",7,21 May 2009,"Most of you already know the story - an attempt on Adolph Hitler's life during the final year of World War II. It's a historically-faithful film to what really happened, so that's a big plus. Most times, much of these ""based on a true event"" stories are mostly fiction. Not here....except for the accents. (All the Germans sound English or American.) In a nutshell, the good news is the realism of the story and the nice photography and sets. You really feel you are in Nazi Germany in the 1940s. The bad news is that the story often gets a bit confusing and the supposed good-guy, ""Col. Claus von Stuffenberg,"" played by Tom Cruise, sometimes is a little obnoxious. Maybe it's just Cruise. Man, I actually know some people who hate that actor so much they watched this film and rooted for Hitler!! Well, I won't go that far by any stretch, but I will say the movie is only so-so, a little disappointing in that the story was dragged on too long. Boy, those coming attractions were really misleading, making this look like an action-packed, super suspense film. Well, it had little action and the suspense was fair-at-best, especially since people know Hitler was never assassinated. The only suspense was finding out how this particular plot failed....and the filmmakers took forever in telling us.For people with Blu-Ray players who want to know, ""How does this look and sound?"" It looks very good and sounds terrific. The colors are rich and most scenes are very sharp. A few are slightly soft but I think those were intentional. Overall, it's a pretty film with very little CGI. The sound was particularly impressive considering there was very little action. Most of it takes place in the beginning of the film. Most of the movie is talk, but you can hear voices out of all speakers and get terrific surround on odd things like a room full of typewriters clicking away. Overall, the audio was extremely impressive.Overall, the movie is decent and worth seeing, but did live up to expectations.",Valkyrie
