,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"The more things change, the more they stay the same",5,6 April 2011,"While I'm a big fan of the first two PREDATOR movies, I thought the two recent ALIEN VS PREDATOR flicks were rubbish: badly made, ill-conceived cash-ins on not one but two separate film series. When I heard Robert Rodriguez was producing a new sequel to PREDATOR, I was delighted; after all, I like Rodriguez and think his films (such as PLANET TERROR) are a hoot.Sadly, PREDATORS turns out to be ""same old"" rather than something new. It's as if every decent scene or idea from the Schwarzenegger film was borrowed and reshot to fit into this one. Once again, we're thrown into the middle of the jungle (on an alien planet this time, not that it matters) with a group of survivors who are picked off one by one (this short movie does away with any back story and literally begins by dropping the stars onto the trees). The big draw is that there are multiple predators rather than just one, but when it turns out there are three tops, and rarely more than one involved in an action scene, I couldn't help but be disappointed. It's as if the scriptwriter took a potentially great premise and just copied what's been done before rather than coming up with anything new or remotely original.Brody is a bit of a bore as the brooding hero, failing to deliver any of the charisma that Schwarzenegger and Glover brought to their versions. Russian Arnie shoe-in Oleg Taktarov is better, but as is the case with Danny Trejo and Laurence Fishburne, he's wasted in a small supporting role. Too much time is spent with bland characters, like Topher Grace's doctor, and the script's wearying insistence on having human villains in the cast, as if the predators themselves weren't enough of a threat. The special effects are decent and the direction isn't half bad, but what a sequel this could have been if it didn't cover the same old ground...",Predators
1,SnoopyStyle,Worthy sequel to 87 original,7,6 October 2013,"This is a strip down predator movie. A group of disparate tough people are parachuted off into an alien world. There isn't much of a setup. They find themselves being hunted by predators.This one stars Adrien Brody, Topher Grace, Alice Braga, Walton Goggins, Danny Trejo, and Laurence Fishburne. Fishburne's character is a bit of a missed opportunity. There are other actors who could play crazy better.Even though Robert Rodriguez didn't direct this, it's got many of his touches. And it's a worthy sequel to '87 original. It's definitely better than all the Predator versus Alien movies. It's even better than the 1990 sequel.",Predators
2,claudio_carvalho,Predictable but Entertaining Sequel,6,9 October 2010,"The mercenary Royce (Adrien Brody); the military Isabelle (Alice Braga); the Russian soldier Nikolai (Oleg Taktarov); the San Quentin criminal Stans (Walton Goggins); the Serra Leoa militia Mombasa (Mahershalalhashbaz Ali); the drug lord Cuchillo (Danny Trejo); the Yakuza Hanzo (Louis Ozawa Changchien); and the Doctor Edwin (Topher Grace) awake in free fall but they succeed to open their parachutes landing in a jungle. Sooner they discover that they are in another planet and they are preys of aliens in a deadly hunting game, and they need to join forces to destroy their predators and survive.""Predators"" is a predictable but entertaining sequel of the 1987 film. The plot is not original and the story begins like in ""Cube"" (1997) with a group of skilled strangers trapped in a jungle without knowledge about where they are and what is happening. Adrien Brody is full of steroids performing a mercenary, but this role of action hero (or anti-hero) does not fit well to his profile. The Brazilian Alice Braga surprises in the role of a military and the rest of the cast have good performances. My vote is six.Title (Brazil): ""Predadores"" (""Predators"")",Predators
3,kosmasp,Natural Born ... Hunters,7,23 October 2010,"The movies Robert Rodriguez did, that were aimed for an adult audience always worked, so even though it wasn't him making the picture, but ""only"" being the producer, you'd expect this to be really good. And as far as the action goes, it is pretty good. Although the whole setting does render the first Predator almost obsolete (or makes the first group of humans look like wimps, considering them only having one foe) ... but that's only if you think too much about it.And think about it, you shouldn't. Especially not about a scene (cameo?) of an actor with the initials L.F. His appearance is completely out of nowhere and feels more than weird. And while that was intended it still is not in sync with the rest of the (tone of the) movie. But maybe I'm thinking too much again. Not that there is too much to think about, or a big story behind it all. It's action, so try to enjoy it (it's better shot than those Alien vs. Predator movies for one ...), if you can! :o)",Predators
4,classicsoncall,"""We're gonna need a new plan"".",7,17 October 2015,"Right out of the gate, the movie disorients the viewer with Adrien Brody's free fall out of nowhere, and it takes a few minutes to figure out that he and his erstwhile companions have been snatched from their own world to provide a trophy hunt for the title creatures. Some new information is provided here about the Predator race, adapting every new hunting season to the latest threat posed by man and his capacity for intelligence and massive firepower. I don't know that I would have picked Brody to be the team leader in an action adventure but he seems to make it work, especially at the point when he reveals that set of ripped abs. I had to wonder if that was an enhanced image or not.After the initial introductions though, the film moves on to pretty much an exercise in fierce jungle battle and the obligatory winnowing of the human warriors. If you've seen enough of these types of films, you can figure out who the last man (and woman) standing will be, and so it's left to see how creative the film makers are in killing off it's victims. It's a time honored tradition in pictures dating back to at least 1932's ""The Most Dangerous Game"", and creatively done, the concept is sure to pop up again.One thing I got a kick out of were those tricked out Predator attack dogs; they reminded me of a 1959 flick titled ""The Killer Shrews"". In that one, a number of folks stranded on an island were hunted down by a pack of wild canines with a serious hair gone wrong problem, and if they had the technology back then, those 'shrews' might have looked something like the mutant beasts here. Who knows, given another fifty years, the creatures on display here might look pretty tame by comparison as well.",Predators
5,jboothmillard,Predators,4,13 July 2010,"First there was one with Arnold Schwarzenegger, then there were many in Los Angeles, and most recently they battled with the Aliens, and now comes this next sequel, from director Nimród Antal (Vacancy). Basically it is meant to be twenty three years since the events of the first film, and in an unidentified jungle a bunch of elite warriors have been dropped in there. They all stick together and go through the jungle carrying the weapons they have at hand and try to find some sort of civilisation, but their location is quite a shock. They know that they are on an alien planet, it is just a question of how to get off it, and away from the terrifying alien creatures known only as the Predators. Royce (Adrien Brody), Edwin (Spider-Man 3's Topher Grace), Isabelle (Alice Braga) and the rest of the ""team"" realise that they have all been chosen to be in this special alien style game reserve to be hunted, and they briefly meet up with Noland (Laurence Fishburne) who has been there for years. Eventually they decide the only way to get off the planet is to take the Predator ship, and a tied up Predator may be the only one that can help, but there are two breeds of Predator, and they don't like each other. Also starring Walton Goggins as Stans, Oleg Taktarov as Nikolai, Danny Trejo as Cuchillo, Louis Ozawa Changchien as Hanzo, Carey Jones as Tracker Predator / Falconer Predator, Brian Steele as Berzerker Predator and Derek Mears as Classic Predator. I'm afraid to say that this film was almost exactly the same as the first Predator film, it had the same music, it had the Billy sacrificing himself style moment, it had the injured person to drag moment, it had the falling over a cliff into water moment, and it had the ""come one, kill me"" moment. If it wasn't for the similarities to the superior (to all the sequels) film, it might be a bit more entertaining, there were some good bloody and action moments I suppose, but yeah, not great. Okay!",Predators
6,Tweekums,Decent enough action but fairly predictable,7,9 December 2012,"We are introduced to protagonist Royce as he wakes up to find himself in freefall over a jungle; his parachute deploys just in time. Once on the ground we learn that seven other people all arrived in the same way at the same time. They are a mixed group consisting of Royce, a mercenary, a military sniper, a member of the Russian Special Forces, a Sierra Leonean rebel, a Mexican cartel enforcer, a man who was on death row, a Yakuza and a doctor. They are armed with whatever they were carrying at the time they picked up and none of them know how they came to fall into the jungle. As they don't know each other there are inevitably problems with trust but as time passes they come to work as a team. Before too long they realise something else is in the jungle with them; deadly predators that are hunting them for sport!This film can be considered a sequel to the original Schwarzenegger vehicle as it references that film directly but makes no mention of the events in LA in 'Predator 2'; it is also, to a degree, a remake. Instead of a crack military unit we have a group made up of people whose lives involved killed; military and criminal... it is a mystery why nobody wonders what a doctor is doing there though! The fact that they didn't previously know each other means there is no camaraderie between the characters like in the original which is a pity; it also lacks the pithy one-liners. The action is solid enough and in places moderately gory; nothing really shocking though. The cast does a pretty good job for the most part; the choice of Adrien Brody to play Royce was good as he is nothing like Arnie and Alice Braga was good as the only woman in the group. While not one of the main cast; Lawrence Fishburne put in a nice turn as the survivor of a previous hunt. There are a few twists; it is fun when we learnt were they actually were... or rather weren't... Earth, Fishburne's betrayal wasn't a huge surprise but worked; sadly the final 'twist' was so obvious I'm sure most people will have seen it coming when they learnt what the characters had done on Earth. It is equally likely that viewers will guess who the survivors will be long before the end; the only mystery was how the others would die and in what order. The effects were pretty good; I especially liked the use of the dog-predators. Overall it passed the time well enough and fans of the Predator Franchise can now pretend the two 'Alien vs. Predator' films never existed!",Predators
7,ma-cortes,Exciting and thrilling motion picture in which a varied group must fight evil aliens in a dangerous jungle,7,30 July 2013,"Moving Sci-Fi film with plenty of action , chills , thrills and resulting to be pretty entertaining ; including some resemblances to original film . It deals with a group of elite warriors are hunted by members of a merciless alien race known as Predators . They are Royce (Adrien Brody , Nimród Antal specifically chose him for the main protagonist); the Israeli soldier Isabelle (Alice Braga , she is the third brunette actress who appears in the ""Predator"" series, following Elpidia Carrillo and Maria Conchita Alonso) ; the Chechenian soldier Nikolai (Oleg Taktarov , who hit his face on a Steadicam camera and started bleeding , he insisted that filming continued to add effect to the scene); the San Quentin criminal Stans (Walton Goggins who along with other actors did their own stunts in the cliff fall scene); the Serra Leoa militia Mombasa (Mahershalalhashbaz Ali); the drug lord Cuchillo (Danny Trejo , Robert Rodriguez's usual); the Yakuza Hanzo (Louis Ozawa Changchien); and the Doctor Edwin (Topher Grace) awake and they encounter an alien force that begin to attack one by one . The group has to confront nearly invisible aliens , even over an eight-foot-tall with an armoury of sophisticated weapons that tear apart . As aliens dispatch comrades before the impressive final showdown .This nail-biting picture contains action-packed from start to finish , gory scenes aplenty , thrills , emotion and entertainment . Action movie told in terms of jungle warfare in which a misfit bunch formed by strange roles battle malicious extraterrestrials . This is a brutal , violent and exciting sci-fi thriller that scales new heights of savagery even by the standards of previous Predator films . The result is a throughly violent but undeniably thrilling action movie with a strong cast giving sweatily good value to their abrasive characters . The ending part is particularly exciting stuff though it makes no great sense . Excellent makeup by professional experts , Greg Nicotero and Howard Berger , and magnificent FX , especially the semi-invisibility which is very well realized . Thrilling and suspenseful musical score by John Debney (Sin City) ; Debney was quoted as saying that his score will be influenced by Silvestri's original score for the 1987 film . In fact , the final credit is heard the classical soundtrack by Alan Silvestri from Predator I . Colorful cinematography but sometimes dark , although all the main locations were filmed in Hawaii, 60% of the movie was shot in Texas in order to be eligible for a tax benefit . The motion picture shot in 53 days was well directed by Nimrod Antal though Neil Marshall, Michael J. Bassett, Bill Duke, Marcus Nispel, Peter Berg and Darren Lynn Bousman were considered to direct the film. In the end, Nimród Antal was hired because Robert Rodriguez enjoyed Antal's earlier films ¨Kontroll¨ and ¨Vacancy¨ .Other film about Predator series are the following : The original and the best ¨Predator¨ (1987) in which Arnold leads a team of CIA-hired mercenaries into the Central American jungles , being filmed by John McTiernan with Arnold Schwarzanegger , Jesse Ventura , Bill Duke , R.G. Armstrong , Carl Weathers ; ¨Predator 2¨(1990) in which the alien has inexplicably returned to L.A , being directed by Stephen Hopkins with Danny Glover , Bill Paxton , Ruben Blades , Maria Conchita Alonso and Gary Busey . Furthermore, ¨Alien vs. Predator¨ (2004) by Paul Anderson with Sanaa Lathan , Raoul Bova , Lance Henriksen , Colin Salmon , Tommy Flannagan and ¨Aliens vs. Predator 2¨ (2007) by Strause Brothers with Steven Pasquale , Reiko Aylesworth , John Ortiz , Johnny Lewis and Robert Joy .",Predators
8,BA_Harrison,Pred-ictable.,5,11 November 2010,"Several strangers, each well versed in armed combat, find themselves dropped into a dense jungle where they are pursued by Predators, a race of extraterrestrials who hunt alien life-forms for sport.As much as I enjoy seeing Predators do their thing, this attempt by 20th Century Fox to reboot its popular sci-fi/action franchise does nothing to change my opinion that the dread-locked hunters should have hung up their triangulating, shoulder-mounted laser blasters for good when AVP: Requiem failed to impress the majority of viewers.It's not that Predators is a terrible movie, per se, but rather that it has nothing new to offer fans, the basic plot (by Robert Rodriguez) simply retreading territory covered over two decades ago in the still unrivalled original Schwarzeneggar classic. Director Nimród Antal's replication of key scenes from the first film only serves to irritate and matters aren't helped much by his raft of particularly unappealing characters (as opposed to Arnie's likable Dutch and his impossibly macho pals), a dreadfully miscast Adrien Brody as lead tough guy Royce, and a seriously dumb 'twist' towards the end.",Predators
9,paul_haakonsen,Boiling soup on a meatless bone...,5,12 July 2010,"Well, it seems that the Alien and Predator franchise is sort of being milked for every penny that is possible. And this latest installment in the Predator series is somewhat of a let down. (It was for me, at least!)First, let me say that this movie is not boring in any way. Lots of nice action scenes and a constant pace from start till end. But it was a weak story and it was something that the series could have done without. There was nothing spectacular or any new thinking in the movie. And there was something missing, that particular something to make the movie unique.If you liked the first two Predator movies, then you will find this movie enjoyable as well, but for me personally, this third installment didn't quite reach up to the level of the previous two movies.As for the actors and actresses, well, they did a good job. However, I think that Topher Grace was sort of miscast for a role in a movie like this. Hear me out, his acting is good, no question about it. But he is just not cut out for a role in a sci-fi action movie. Despite their small roles, it was cool to see Laurence Fishburne and Danny Trejo in the movie.The effects in the movie were good, nothing to put a finger on here. And the scenery was good as well. Though I kind of would have liked to see a more alien-world touch to this distant planet. That would have brought the movie up a notch. And for some reason, the plant life on this planet is the same as on Earth? Alrighty then... Anyway, the CGI effects were cool to behold as well, and the newly introduced predator hounds were as nice touch as well.As always, the predators are cool to look at, with lots of nice touches and details. But it isn't enough to keep this movie afloat. I had expected more from this movie, but I wasn't bored, just a tad disappointed. Looking past that, then the ""Predators"" movie is an alright sci-fi action movie. Just watch it for what it is.",Predators
