,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Well worth seeing,8,21 October 2017,"Imagine a film that is part Carrie and part The Exorcistcombined with a lesbian love story. I know that sounds a bit confusingbut this is a pretty accurate summary of the picture.When the story begins, young Thelma (Eili Harboe) has gone off to college and things seem pretty normal. However, out of the blue, she has what appears to be a grand mal seizure that lands her in the hospital. Soon after, one of the folks who witnessed the seizure, Anja (Kaya Wilkens) introduces herself to Thelma and they soon become friends. In fact, over times they become more than friends as both the women begin having sexual feelings for each otherwhich causes Thelma to have a huge internal struggle because this violates her strong Christian upbringing. A bit later, Thelma enters the hospital for testing to determine exactly whether or not she has epilepsy. During the testing, her defenses are lowered and her intense feelings for Anya run wildso wild that Thelma's supernatural powers manifest themselves. What exactly are these powers? And, what family secrets are there related to all this? And, how does this all end?As I said, the story reminds me of a couple other films but it's also original in many ways. It also keeps you guessingand that's the biggest reason I recommend the picture. Where all this is going and how it gets there make this a very special film, though I have a couple important warnings. First, there are lots and lots of flashing lights and epileptic viewers might have difficulties with this. Second, if you have a strong fear of snakes do not watch this film! There are several snakes in the film but one incredibly vivid dream that is nightmare fodder involving snakes and you need to consider this before you see this excellent movie.",Thelma
1,claudio_carvalho,Original Film,7,30 March 2019,"The lonely religious Thelma (Eili Harboe) is a repressed teenager that has just left her overprotective father Trond (Henrik Rafaelsen) and her disabled mother Unni (Ellen Dorrit Petersen) in the countryside of Norway to join the university in Oslo. She has no friends and one day she has an epileptic seizure in the library. Then she befriends the student Anja (Kaya Wilkins) and tastes wine and cigarette for the first time. Soon they fall in love with each other and Thelma feels uncomfortable with the situation that is against her religious values. Thelma is submitted to a series of exams to find the cause of her seizures and she thinks of Anja during the tests. When Anja disappears, Thelma learns that she has telekinetic powers. Thelma decides to return home where she recalls what she did with her family when she was young.""Thelma"" is an original film with a different story, great screenplay and magnificent performance of Eili Harboe. The top-notch and beautiful cinematography and camera work give a magnificent beginning to this film. The genre is hard to be labelled since it blends art, drama, mystery, romance, eroticism and horror in right doses. Give a chance to ""Thelma"" and you may have a good surprise. My vote is seven.Title (Brazil): ""Thelma""",Thelma
2,lee_eisenberg,emotions are there,10,28 October 2020,"Several years ago, a friend of my family wrote a book about repressed memories. I never did read the book - it's not my field of study - but a good look at the topic is Joachim Trier's disturbing ""Thelma"". The protagonist is a college girl in Norway. Coming from a religious family, college is Thelma's first real exposure to the outside world. But things take a different turn when Thelma befriends a girl. You see, not only did some shocking things happen in Thelma's childhood, but she's no ordinary girl.The cinematography gives the movie a dark, depressing look. Quite a different impression of Scandinavia than we're used to. It's one of the supreme ironies that Scandinavia - always thought of as the part of the world with the highest quality of life - turns out these intense, disturbing movies. Which is not to dis the movie. It's a fine piece of work. The performances, cinematography, and music make this one movie that I recommend to everyone. It probably won't change your life, but it's sure to surprise you. I hope to see more of Joachim Trier's movies, and I hope that Eili Harboe continues to act.",Thelma
3,bevo-13678,Up,10,4 December 2020,Great movie. Thelma really went from strength to strength after she ditched the hanger on Louise,Thelma
4,ferguson-6,a splash of Carrie,7,3 December 2017,"Greetings again from the darkness. Joachim Trier continues to deliver projects with his frequent writing partner and collaborator Eskil Vogt that cause us to take note of their intriguing and always (so far) interesting filmmaking. They may not be the fastest workers – OSLO, AUGUST 31 came out in 2011 and it has been over two years since LOUDER THAN BOMBS – but we can't help but appreciate their original stories and unique vision.A chilling opening of a father/young daughter hunting trip sets an uneasy tone for the rest of the film. We then flash forward to that young girl heading off to college. Eilie Harboe is excellent as Thelma, a quiet young woman leaving home and her protective parents for the first time. Thelma has had a restrictive Christian upbringing and she's now a withdrawn, socially inept college student, simultaneously anxious to explore her new freedom and guilt-ridden with every new experience.The school library is the setting for the first chance encounter between Thelma and Anja (Kaya Wilkins). We witness Thelma's blushing and uneasiness, and soon birds are crashing into the windows as Thelma writhes on the floor in full seizure. The girls cross paths again and the flirtations are followed by a heavy dose of Thelma prayers. This independence and sexual attractions leads Thelma down the ever-progressive road of dancing, booze, drugs (sort of), and sex – the only thing missing is rock 'n roll. An awkward dinner with her parents (Ellen Dorrit Peterson and Henrik Rafelsen) leads to more guilt and more seizures, as the two appear connected.Director Trier's film is not easily categorized. It's part drama, thriller, romance, supernatural horror, and religious commentary. There are some supernatural similarities to two films from the 1970's – CARRIE and THE FURY, and the abundance of religious imagery leans heavily towards the former. Some unusual camera angles and shots add visual interest to what for much of its runtime is an amorous courtship between the two leads. There is an always present cloak of uncertainty courtesy of the extreme helicopter parents and Thelma's unpreparedness in dealing with adult feelings. We instinctively realize there's more going on than the parents let on, but these are essentially quiet people who hold much inside. That theme carries over to the movie as a whole, which is a quiet, but sneaky film on the power of thought  both positive and negative.",Thelma
5,deloudelouvain,Good Norwegian movie.,7,20 August 2018,"Thelma is categorized as a drama, fantasy and horror but I wouldn't categorize it as a horror movie because there are no horror moments at all. There is suspense building throughout the whole movie but it never gets really creepy. The story is good though, intriguing, slowly building to the climax. Good directing from Joachim Trier. Thelma is nicely shot, clearly done by professionals. The cast was well chosen as well, as all the actors did a good job with their respective characters. To me it could have been darker with more scary moments to make it better but even without that it's entertaining and worth watching. Good Norwegian movie.",Thelma
6,christopher-underwood,Good looking film,7,30 May 2018,"Good looking film, clearly made with good intentions, but ultimately seems to lack conviction or even direction. I recognised tiny bits of the film and realised I must have seen a trailer some time ago that included the amazing scene near the beginning set in the university library when birds hit the windows and a girl falls into a seeming epileptic fit. Great photography most of the time, a wonderful and very believable performance from Eili Harboe lead us into a fascinating mystery involving drink, drugs, seizures and the supernatural. I don't now if the director had a clear idea of how to finish this film but I certainly found the end section most unsatisfactory, which is a shame because not only is it hard to believe but undermines much of what has gone before.",Thelma
7,lasttimeisaw,THELMA is Trier's stern-faced take on the thematic dissection of embracing one's true id and freeing oneself from any extraneous shackles,7,12 March 2018,"A sexually awakening meet-cute laced with a preternatural conceit from Norwegian filmmaker Joachim Trier, THELMA, his fourth feature, instantly emits an uncanny thrill through its preamble with a frozen river, a doe-eyed deer and a rifle surprisingly pointing at a young girl's head by her father. The girl is Thelma (Harboe), now an undergraduate in Oslo, but still in thrall to her parents' over-frequent telephone calls concerning her quotidian whereabouts, and her rigid Catholic upbringing doesn't quite chime in with her peers. Afflicted by epileptic fits, which mystically coincide with the presence of a fellow student Anja (Wilkins), to whom she feels attracted. Their inchoate romance hits an abrupt and unexplained abeyance when Thelma is under treatment of a triggered seizure for medical checkup. Guilt-driven by Anja's unaccountable vanishing, Thelma retreats to home and childhood tragedy resurfaces, and the film manages to find a way out for her with a confluence of sacrifice and miracle, garnished with a pinch of numinous enlightenment, which renders its empowering ending a puff of absurdity that might not be appreciated by everyone. Trier grandly sinks his teeth into fabricating an atmospheric eeriness that permeates throughout Thelma's rude-awakening, even in the prosaic campus environs: a luminous library assailed by an avian outsider, a natatorium where terror of seclusion and drowning taking a spectacular visual form with flying colors and Thelma's dormitory building, lit by nocturnal luster where eldritch menace seeps from within. Thelma's rite-of-passage, from religious and familial suppression to physical arousing, until a final mental liberation, is conveyed with eloquence (a cracking tantalizing sequence amalgamated with a bringing-down-the-roof trepidation during a modern dance performance) and innovation (metaphors and animal symbols are deployed in good senses, whether it is the deer in the opening, the slithering snake in the psychedelic mid-stream, or the black bird purged near the end), though one might grouse that the student's life is pedestrianly exemplified by a strobing nightstand, casual get-togethers deadened by alcohol and smoke. A convulsing (often in its literal sense) and pulsating Eili Harboe makes good in the center stage with both mettle and competence, but Kaya Wilkins's Anja is deficient in any thumbprint other than propelling the plot development in the mode of a hapless love interest, both Henrik Rafaelsen and Ellen Dorrit Petersen are swell as Thelma's conflicting parents, often muddling the water of the saint-or-sinner dichotomy. In the event, THELMA is Trier's stern-faced take on the thematic dissection of embracing one's true id and freeing oneself from any extraneous shackles, it is a bracingly crafted parable with one proviso, SPOILERS AHEAD!!!, that if one can live down with the key placement of a dead toddler in its moral conundrum that eventually peters out in its gnomic reconciliation.",Thelma
8,FeastMode,my notes,3,24 July 2019,"Dumb. very metaphor-y and symbolism-y. i get what they were going for, i just didn't like it. decent premise and a little interesting, but does not amount to anything for me. (1 viewing)",Thelma
9,MOscarbradley,"More ""Ordet"" than ""Carrie""",6,24 March 2018,"""Thelma"" has been called a Norwegian ""Carrie"" but Joachim Trier's film is a lot less showy than De Palma's shock-fest. Thelma is a young girl from a strict Christian family who develops a strong sexual attraction to another girl she meets at university while at the same time discovering she has telekenetic powers and the apparent ability to make people disappear. Unlike the De Palma picture, which was fundamentally a frightfest pure and simple, this wavers uneasily between realism and the fantastic, never staying long enough in one place for us to get a handle on Thelma or her predicament. Bizarrely the film it reminded me of most wasn't so much ""Carrie"" as Dryer's ""Ordet"" or even ""Breaking the Waves"" but unfortunately Trier's heroine doesn't have enough meat on her bones to be properly compared with these classics. Interesting but not much more.",Thelma
