,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Colourful, with some sassy and smart moments, but it peters out in the last half",6,1 January 2011,"This is far from the worst movie ever(Disaster Movie) or the worst animated animated movie ever(Titanic:The Animated Movie), but despite its neat concept Bee Movie doesn't completely hold together consequently it is one of Dreamworks' weaker movies, Shark Tale being their worst.Granted, there are things to like. The animation is gorgeous. The character designs are good enough, but the colours and backgrounds are the real revelations, as well as some of the visual gags. The music is a nice touch as well, the orchestral music is bright and breezy and the song in the end scene was lovely. I also loved the concept, and in the first half the film did work really well with it. It was original and well-written up to a certain point. The script in general is sassy and smart with the odd amusing pun, the pace to start with is brisk and the voice acting is solid with Jerry Seinfeld energetic, Renee Zellwegger warm and endearing and an assortment of effective cameos especially Ray Liotta's.However, the film's problems come in the second half, and the start of those problems are with the courtroom scene which came across as forced and only slightly funny. Storywise, the last half hour feels like a different movie, first it is all warm, smart and infectious then it is close to serious and heavy-handed, and it also seemed as though the writers had run out of ideas. While there are some good jokes, others aren't so funny as it is the sort of humour that goes over the audience's heads, and the pace sags quite badly towards the end.All in all, it isn't bad but it could have been better with a tighter second half and a more consistent set of ideas. 6/10 Bethany Cox",Bee Movie
1,SnoopyStyle,Jerry Seinfeld as a bee is a cute idea but not funny,6,24 August 2014,"Barry B. Benson (Jerry Seinfeld) is a bee who just graduated from college. He is dismayed that he has to pick one job for the rest of his life without a day off. Instead of working in the hive, he joins the pollen jockeys who fly outside. Talking to humans is strictly forbidden but that's exactly what Barry does when florist Vanessa Bloome (Renée Zellweger) saves his life. He can't settle on a job for 3 whole days. He is shocked to find that humans are stealing honey from bees. So he decides to sue the human race. Then nature is destroyed in an apocalypse. How fun!Jerry Seinfeld is being Jerry Seinfeld except he's a bee. Talking to humans diminishes the magic of the bee world. It's not that the bee world is that magical or fascinating. It's bright and yellow. But it's very workaday. The marrying of bee world with references to the real world is cute for a little while but it gets tiresome. Then the whole trial thing gets to be just stupid and not actually funny. It's an OK movie that is essentially a 90 minute take of a Seinfeld standup of what if he's a bee.",Bee Movie
2,claudio_carvalho,Silly with an Absurd Storyline,5,25 July 2008,"When the bee Barry B. Benson graduates from college, he finds that will have only one job for his entire life, and absolutely disappointed, he joins the team responsible for bringing the honey and pollination of the flowers to visit the world outside the hive. Once in Manhattan, he is saved by the florist Vanessa and he breaks the bee law to thank Vanessa. The become friends and Barry discovers that humans explore bees to sell the honey they produce. Barry decides to sue the human race, with destructive consequences to nature.""Bee Movie"" has a great animation, but unfortunately is silly with an absurd storyline. I do not understand what the writer might have in his mind with such lack of message; maybe a child could have written a better and more intelligent plot. The lead character in funny but has an annoying voice. I love animations, especially those with good messages. However, is so inaccurate and stupid that even for children I believe this movie does not work well. My vote is five.Title (Brazil): ""Bee Movie  A História de Uma Abelha"" (""Bee Movie  The Story of a Bee"")",Bee Movie
3,kosmasp,To Bee or not to Bee,7,19 September 2021,"I'm kind of surprised that not every single review has this as a summary line ... then again maybe it's better that way - I can use it with less guilt and it has probably a better effect.Bees ... for the longest time they had a bad rep. And I reckon they still have - especially when you are eating (outside) and they come and you sort of panic. Though I'm not sure if it's bees every time. They (wasps) have similar traits and looks. They also are useful to nature, in a different way then bees, but still.So taking a bit of the fear(s) many have of those insects is not a bad thing. You may have issues with how they are being humanized (with these movies they all talk and do other human stuff that is not in their actual nature), but you have to sell a movie to kids and their parents, so just suspend your disbelief.Voice talent at hand is really good and the story flows (or flies?) along nicely. If you are a fan of Seinfeld even better - but I think even those who may not be too aware of him, will have lots of fun.",Bee Movie
4,jboothmillard,Bee Movie,7,8 January 2011,"It had been almost a decade since the competing Antz and A Bug's Life were released, and there haven't been many insect based films that have been a hit, especially not computer animated, but then came this one. Basically in a bee hive in Sheep's Meadow, Central Park, New York City, ordinary bee Barry B. Benson (Jerry Seinfeld, also writing and producing) has just graduated with his friend Adam Flayman (Matthew Broderick) from college, and they are ready to enter the honey making industry, Honex. They find out however that whatever job they choose will be the job will be working in for the rest of their lives, and Barry doesn't like the sound of that, so he plans to leave the hive, and he does this by pretending to be part of the pollen collecting team who get to go outside. He enjoys his newfound freedom, but he has to find shade when it starts raining, he rests on the apartment windowsill of female florist human Vanessa Bloome (Renée Zellweger), and he breaks the biggest bee rule of talking to her. They spend a lot of time together, but one day while shopping for groceries Barry spots hundreds of jars on honey, humans have been stealing it for centuries. He spots the Honey Farms company truck, and joins mosquito Mooseblood (Chris Rock) on the windscreen going to the place where humans make the honey, artificially, and he decides that this is a case that needs to be taken to court for a lawsuit. With the help of Vanessa proving that he and all bees can talk, and bee and honey related celebrities Sting and Ray Liotta questioned, they win the case, meaning all honey in the world is confiscated. Defence lawyer Layton T. Montgomery (John Goodman) has a point however when he says that they will disrupt nature's balance as honey has been made for over 27 million years, so all bees are out of a job, and all the flowers needing pollen will die out. In the end, Barry and Vanessa realise the big error made to the world, so honey making by bees is restored, the law is dropped, and they change ""Vanessa's Flowers"" to ""Vanessa and Barry: Flowers; Honey; Legal Advice"". Also starring Patrick Warburton as Ken, Megan Mullally as Trudy, Kathy Bates as Janet Benson, Rip Torn as Lou Lo Duca, Rain Man director Barry Levinson as Martin Benson, Larry King as Bee Larry King, Oprah Winfrey as Judge Bumbleton and The Nutty Professor's Larry Miller as Buzzwell. The voice casting is very good, the animation from the same studio as Shrek is of course perfect, the obviously honey and bee jokes are very funny, there just aren't any complaints to be made, a great fun computer animated comedy. It was nominated the Golden Globe for Best Animated Film. Very good!",Bee Movie
5,ccthemovieman-1,Mildly Amusting Animated Effort,6,22 March 2008,"""Mildly amusing"" is probably the best description of this recently-released (on DVD) animated feature. My reviews on animated movies are what I thought of it as an adult, and how adults would relate to it. For this one, I'd say this is not a film adults will run out and buy: rent - yes/maybe; purchase - no.The animation and story might be something kids will still enjoy but most of the gags fall flat for adults, although it does have a few clever things in it. It just isn't up to some of the truly funny animated films of the past few years. That said, it was still fun to watch with some humorous drawings in the background that you have to watch for quickly.As for the story, for a film with a lot of politically-correct messages, stereotypical characters, Liberal icons plugged, etc., it was surprising to see a commonsense ""if it ain't broke, don't fix it"" conclusion. Kudos for that, but there are just too many dumb parts in this story. The connection of a talking bee with a human girlfriend was too ludicrous to be entertaining, as were the courtroom scenes.The animation was fair. Yes, a story with flowers as a key ingredient is going to be colorful, so there is plenty of color but it looked kind of washed out and blah to what it could have been (i.e. ""Cars,"" ""Polar Express,"" etc.). I expected more out of a Dreamworks film.Overall, for adults: skip it. It just isn't funny enough to invest your time. For the little kids, sure - they'll like it. They like almost almost any animated movie.",Bee Movie
6,Tweekums,Decent animation from Dreamworks,7,8 May 2012,"Reviews I'd read of this film suggested it was average at best but I thought I'd watch it anyway and while it is hardly a classic I'm glad that I watched it as it had a decent number of laughs and an entertaining if fairly light story. The film follows the life of Barry B. Benson, a newly qualified honey bee who is getting ready to pick the job he will do for the rest of his life. He is destined to work making honey in the hive but after a run in with the 'pollen jocks' he joins them for a flight out of the hive. When he gets caught in the rain he takes shelter in an apartment; here he is almost squashed by a man wielding a boot but Vanessa, the man's girlfriend, saves him. Being polite he decides to thank her even though talking to humans is against B law. After her initial shock the two of them become friends while his parents start to worry about why he hasn't decided on what job to do in the hive. One day he learns that people eat honey; he follows a supply lorry back to the farm and is horrified to see rows of hives where bees slave away to make honey that people take. Deciding to make a stand he takes humanity to caught; demanding that they stop taking honey and return what they have taken already. Inevitably he wins but there are consequences he didn't anticipate; without the need to make honey the bees stop pollinating flowers and soon they all start to die something that will put florist Vanessa out of work and ultimately endanger much of the life on Earth! This film was quite a bit better than I expected despite some obvious flaws and many jokes that will go right over the heads of younger viewers. I don't think the creators had much interest in making the bees anything like real bees; I can understand some changes such as giving them more human faces after all they are talking animated bees not real ones, however I'm not sure why they don't have six legs as that is both anatomically correct and could provide some humour! The characters were entertaining enough although it was very much a one man I mean one bee show; Barry is clearly the star of the film and unfortunately he wasn't that funny; he seemed to play the straight man while those he interacted with provided the jokes. The voice actors performed well however I could have done without the celebrities who appeared as themselves; they were all people who would probably not be recognised by younger viewers and the jokes required you to know who they were. I was impressed with most of the animation; the flying scenes look particularly good; giving the viewer the sensation of flying along side the bees. Overall it was better than I expected and worth watching if it is on television.",Bee Movie
7,BA_Harrison,Someone's been sniffing the A-grade pollen!,2,9 February 2008,"Whatever it was that they were taking when they came up with Bee Movie, I suggest you have some before watching; it'll make the experience less painful.I've seen some weird films in my time, from the surreal output of Lynch, Miike and Jodorowsky, to the visual excesses of Argento and Gilliam, but I've never seen a film quite as strange as this effort from Dreamworks (whose standards have really been slipping as of late).A kids movie that features talking bees and cows, hints at interspecies sex, mentions suicide pacts, features lengthy courtroom scenes and a freaky dream sequence in which the heroine dies, and ends with thousands of bees helping a jumbo jet to land (!!!), Bee Movie is an unbelievable stinker of monumental proportions, albeit (or should that be 'all-bee-it?') one that keeps you watching purely to see what the hell they'll come up with next.The story starts off with a bee questioning his role in society, turns into a bizarre (or should that be 'buzz-arre'?) love story, becomes (or should that be....alright, I'll stop now) a quest for truth, warps into a courtroom drama, and ends up as a race against time with the fate of the Earth at stake.With barely a laugh to be had (not including those nervous giggling noises that I made as I felt my sanity sliding slowly away from me), I left this film questioning what kind of idiot green-lighted this train-wreck of a project.Bee Movie narrowly escapes getting a 1 out of 10 thanks to its dazzlingly colourful CGI, the very occasional genuinely inspired joke (the bee repeatedly hitting the window, the bugs on the windshield), and the smokin' hot female character, Vanessa (only pixels, I know... but WHAT pixels!!!).",Bee Movie
8,Quinoa1984,"ends up working better than it should, thanks to Seinfeld and some irreverent puns and jokes",6,18 November 2007,"My expectations weren't very high for Bee Movie, but it somehow fulfilled what little hope I had that the star power would come through. Unlike Sharktale, where an equally admirable couple of talents combined voice-work (Scorsese and De Niro), Jerry Seinfeld, who co-wrote and co-produced the picture as well, has the right kind of attitude to change up the typical animated movie while not ever reinventing it. It's a tricky enterprise to recommend, because for kids it might have some wit to it that they might not really get, despite the color palette being almost as fresh as Pixar's Cars, and for adults there isn't the plethora of instantly quotable lines and unforgettable innuendo and eccentricities from the great 'show about nothing'. But considering that it's coming from a man who's never done a starring role in a movie, let alone an animated one, or that it's his first time attempting to write one, it's successful in a sense.That sense, really, is that a sort of sensibility from his stand-up comedy has carried over. All the little observations on the topic of bees and honey and what have you are covered, head to stinger, and a lot of the best moments are when the actors feel like they're riffing like on a stand-up stage. Although the actual storyline itself is kind of clunky and a little like a so-so children's book (save for the elements of the lawsuit and its outcome, which if one pay's attention to the news lately has even environmental relevance with bees and their connection to pollination), the filmmakers are able to straddle the line to make it worthwhile as a 'family' film, with equal bits of fun for young and old. Old, in the sense that the jokes about Ray Liotta, Sting, southern lawyers named ""Ali-Buy"", possible ethnically stereotyped bees (Barry's family, wee bit like his folks on Seinfeld), will get them more than the kiddies. Even when interest in the actual outcome of the situation grows a little weary, and a climax at an airport and up in the air doesn't completely work, little things just stick out very well.It's a vibrant, fast-paced CGI-feature, lacking the power and gravitas of a PIXAR film, but at the same time not stooping to the sophomoric levels that many another CGI movie (including the Shrek films) go for. Not exactly a very good movie, but very far from a bad one: it's like a Jerry Seinfeld concert special about bees, nothing but, and somehow, however unlikely, with a fairly charming performance as an actor- as opposed to the sitcom, where he was, more or less, playing himself in an equally crazy world. Other cool voice-work, by the way, from Patrick Warburton, Chris Rock, John Goodman, and Michael Richards.",Bee Movie
9,tavm,Jerry Seinfeld's Bee Movie is somewhat entertaining and that's it,4,16 November 2007,"Despite reading some dreadful reviews, I decided to take in Bee Movie since I love both animation and Jerry Seinfeld. While the former was mostly impressive, the latter as both leading player and head writer left a lot to be desired. The story-about one worker bee who ventures in the outside world, makes friends with a human from there (Renee Zellweger), and sues for a million dollars-could have been executed perfectly but with Jerry and his former ""Seinfeld"" writing staff being the contributors, all we got was a mishmash of jokes that suited whatever they felt was funny and some punchlines of Famous Celebrities who conveniently seemed available (Ray Liotta, Sting, and Larry King). Nice to also hear voices of Matthew Broderick, Chris Rock, Oprah Winfrey, and former ""Seinfeld"" co-star Patrick Warburton. But this is a very uneven movie that neither succeeds as adult parody or children's classic. Bee Movie is worth a look at least once and that's it.",Bee Movie
10,michaelRokeefe,Animated with not enough fun.,3,5 April 2008,"If you like Jerry Seinfeld you'll like BEE MOVIE; if you don't...you won't. I'm in the latter camp, but watched to see what the hype was about. Barry B. Benson(Seinfeld)is a new graduate and must decide his future. Instead of being a worker bee with the same job everyday forever is not that appealing. He would rather be a pollen jock and go out into the world and collect nectar, but he knows that job is but a lofty dream for a young bee. Barry soars out into the world on his own and breaks one of the most important rules of beedom...he speaks to a human. He is saved from a bad situation by Vanessa Bloome(Renee Zellweger)a florist; and through that relationship Barry decides to sue the human race for manufacturing honey. Some pretty big named stars lend their voices: Chris Rock, Matthew Broderick, John Goodman, Kathy Bates, Rip Torn and Michael Richards.",Bee Movie
11,dbborroughs,Once you click into the vibe you can pretty much guess the plot line and punchlines,5,24 December 2007,"Clever but not that well done animated film from Jerry Seinfeld.The premise is that Jerry is a bee who on his first day at work end up being saved by Renee Zellweger. Wanting to be polite he does what a bee should never do, he talks to her to say thank you. They become friends. When he sees jars of honey in the store he sues humankind in order to get it back.Well animated, this is essentially a 90 minute Seinfeld routine that is all puns on bees. Its amusing, with some hysterical gags, but mostly its all obvious once the story gets going. Its a sketch stretched out almost to the breaking point. I didn't hate it, but after 15 minutes I was ready to get up and move to another theater.(Had I had a TV remote the channel would have changed). What really irked me was the way some of the voice cast was put into the film. The lines of say Ray Liotta seem to have been lifted from other sources and then dropped into the film. Other characters seem to have been recorded alone (which they probably were) and then spliced badly with the other voices so that everyone seems to be speaking all alone. There are odd gaps between lines of dialog as if robots with no sense of how conversations go together put it together.Its not bad but I paid 11 bucks and spent 90 minutes seeing this? Wait for cable",Bee Movie
12,Boba_Fett1138,Nothing wrong with some good simple entertainment!,7,20 December 2007,"This is a real pleasant animated movie, that doesn't really stand out, but surely will give you a good time while watching it.Because Jerry Seinfeld is foremost a stand-up comedian, a lot of jokes in this movie are also verbal ones, rather than visual ones. It makes this movie a little different from the usual animated one, of which so many get released these days. Not of course that there are not any visual jokes, there are still also plenty of those and as well some typical cartoonish slapstick like moments.Some plot lines are introduced but they are not wrapped up properly or just abandoned after a while. It makes the movie its story, especially in the second halve, a bit of a disjointed one. As if they were just still chronologically coming up with the story during the animation process. Same goes for some of the characters. As the movie progresses some of them are being introduced as new 'big' characters but then suddenly disappear again out of the story completely without making a relevant enough addition to the movie as a whole.Just like the previous Dreamworks animated movie ""Madagascar"", the movie it's animations aren't among their finest in the field. It's at times a pretty simplistic looking movie, without too much details or complicated shots. It's as if Dreamworks only wants to spend some real money and their expertise on the Shrek-serials.Still pretty amazing how many well known people lend their voice to this movie. Also some people you wouldn't expect it from such as Barry Levinson, Sting, Oprah Winfrey and Ray Liotta in an hilarious cameo as himself. But above all, it of course still is a Jerry Seinfeld movie. Also John Goodman and Patrick Warburton plays some fun parts. My only wish would be that Patrick Warburton's role was just a bit bigger.Not the sort of movie you'll still talk about 10 years from now but I simply had a good time while I was watching it.7/10http://bobafett1138.blogspot.com/",Bee Movie
13,TBJCSKCNRRQTreviews,About what I expected,6,4 November 2009,"I distinctly remember my negative reaction to the trailers. This was never something I was that interested in watching, however, a friend of mine lent it to me, so I gave it a shot. I usually don't go for fully-animated films, especially these 3D ones, and this helps confirm my reasoning for that stance; too much focus is put upon the visuals, and the audience does so much ""ooh"" and ""ahh""-ing that they forget the actual quality. Now, it's been a while since I last watched his show, though I don't recall Seinfeld(also, about him, he should not yell again... or talk in a ""ghetto"" fashion... or make another full-length movie, at least without practice or something) spelling out his punchlines like this, nor using so many cringe-inducing, physically painful puns. I can't see anyone other than children laughing at this, and that does not have to be true for a family flick. You'd be hard pressed to find more than a handful of actually good jokes in this. That's a big failure for a comedy, and if the plot was compelling and the moral excellent. I wish I could claim that it was so, in either case. The story is weird, and the concept continually contradicts itself, and simply does not hold up. Also, this seems like it's speaking to those who feel like their job is small, repetitive and meaningless, and merely trying to keep them docile? And for that, they screw around with how nature actually works? For *this*? Design is OK, very bright, cheery and colorful. The acting is intentionally overdone. There is little that censors would find offensive in this. The DVD holds featurettes, a reasonably entertaining and informative commentary track with Jerry and crew, a Dreamworks video jukebox, trailers and a music video. I recommend this to those into these kind of pictures. 6/10",Bee Movie
14,george.schmidt,What's the deal with honey? Jerry & Renee make a sweet animated couple,8,16 July 2014,"BEE MOVIE (2007) *** (Voices of: Jerry Seinfeld, Renee Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Oprah Winfrey, Larry Miller, Megan Mullally, Rip Torn, Michael Richards, Mario Joyner, Jim Cummings, Tom Papa, Carol Leifer, Jeff Altman, David Herman; as themselves: Sting & Ray Liotta) Funny animated fluff about a honey bee named Barry B. Benson (voiced winningly by Seinfeld – who co-scripted - and mined from his comic sensibilities) who wonders if his life has more meaning by thinking – literally – outside the hive when he decides to check out the big world and its human inhabitants, namely a lovely florist (Zellweger doing a lovely bit of acting too), and discovers that their precious honey is being exploited. While the paper-thin premise and punny sense of humor with a few knowing pop culture riffing is the standard, the film is a wonderful explosion of cinematic eye candy thanks to the animating team @ DreamWorks and the fluid direction by Steve Hickner and Simon J. Smith make up for the hit-and-miss production.",Bee Movie
15,view_and_review,A Bee Antz Bug Movie,6,13 December 2020,"""Antz"" and ""A Bug's Life"" were both about individuality, then ""Bee Movie"" comes along to add to that same narrative. I'm just waiting for the termites and wasps to come out with their movie about breaking away from the hive/colony.In ""Bee Movie"" Barry (Jerry Seinfeld) doesn't want to do the job he's been assigned to do. What's more, he is repulsed by the idea that humans collect all the sweet honey bees make. Barry wants to do his own thing and he wants all bees of the world to be free to not have to make honey. To achieve that Barry takes the honey manufacturing companies to court.The biggest difference between this insect movie and the two aforementioned is that these insects are even more anthropomorphic. The bees speak English, can argue in court, and Barry even has a crush on a human.This movie had its moments. It was funny at times even when it was being absurd. Even with suspended disbelief, though, some of the scenes were too much. It had an individualism theme with a touch of misanthropy-- ""I want to be me and mingle with a person, but most people are bad (or at least the ones who farm bees for honey)."" If only we could talk to bees and get their approval to eat their honey then the world would be a better place.",Bee Movie
16,anaconda-40658,Bee a Good Movie.,5,27 December 2015,"Bee Movie (2007): Dir: Steve Hickner, Simon J. Smith / Voices: Jerry Seinfeld, Renee Zellweger, Matthew Broderick, Patrick Warburton, Chris Rock: Title pokes fun of the term ""B movie"" while providing a simplistic and predictable animation about adventure and the life of a bee. Jerry Seinfeld voices Barry B who graduates to become a working class bee for the hive. He longs to venture outside the hive with the pollen jocks and once he does he embarks on a lawsuit where bees demand ownership of their honey. Some clever themes but story is thin. Directors Steve Hickner and Simon J. Smith have fun with the lawsuit aspect of the story where mankind possesses ownership of animal production. Seinfeld voices Barry who anticipates adventure but discovers danger along with friendship. Renee Zellweger is wonderful voicing an understanding florist who embarks upon this lawsuit in support of the bees. Other characters are not quite as interesting. Matthew Broderick is given the thankless task of voicing Barry's friend Adam who prefers hive life. Patrick Warburton voices the florist's boyfriend Ken in a variation of his other animated roles. Chris Rock voices a mosquito who joins the buzz fest despite the fact that the human race hates mosquitoes. Interesting theme regarding talents combine with glorious animated images keep the stinger sharp, while a lackluster screenplay dulls it. Score: 5 / 10",Bee Movie
17,Wuchakk,A hilarious bee movie,9,18 December 2016,"Released in 2007, ""Bee Movie"" is an animated movie about a bee, Barry B. Benson (voiced by Jerry Seinfeld), a fresh college graduate who becomes disillusioned by his limited career choices in the hive. Upon taking a special trip to the outside world his life is saved by Vanessa (Renée Zellweger), a beautiful florist in New York City. As their relationship develops, he discovers humans actually harvest honey by enslaving bees; and understandably decides to sue humanity, but this has repercussions.I'm not big on animated flicks, but this one has frequent laugh-out-loud moments, particularly the first half. But you have to pay attention to the rapid fire dialogue and the details in the frame or you'll miss out on half the laughs. Consider for, for example, the ATFH officer (What's the 'H'stand for?). The second half remains compelling, but is more low-key in amusement. Bottom line: ""Bee Movie"" is one of my all-time favorite comedies. By the way, I know Vanessa's animated, but she's actually HOT.ADDITIONAL VOICES are supplied by the likes of Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta, Sting, Oprah Winfrey and Rip Torn.The film runs 91 minutes.GRADE: A",Bee Movie
18,Sylviastel,Terrific Animation but weak storyline!,8,23 May 2008,"Jerry Seinfeld had one of the most successful television programs in history. Now, he returns as the voice of Barry Benson, a young bee, who graduates from Bee School with all Bees. All the bees in the hive work after they graduate from Bee School but in the same job for the rest of their lives with little time off to enjoy life. So one day, Barry manages to get out of the hive and experience the world out there. New York City never looked so good on television. He befriends Vanessa Bloome, the voice by Rene Zellweger, who is a florist after she stops her husband from killing him. The voices are first rate with top stars including Patrick Warburton, Matthew Broderick as Barry's best friend, Kathy Bates, and others as well. It's a great film for children but it gets boring and tiresome at some times. THe look is great but it's not perfect.",Bee Movie
19,DICK STEEL,A Nutshell Review: Bee Movie,6,7 November 2007,"Let's see, we have A Bug's Life, then Antz, then the insect animated films gave way to a host of animal talkies, including dancing penguins, cows with confused genetic makeup, and zoo animals thinking they're better off in the wild, chef rats, amongst an array of hits and misses, recycling the same old tactics and game plan to snare the movie going audience.Wise-cracking animals, check. Pop culture references, check. CG animation that resembles the real world, check. Celebrity voices, let's see, we have Jerry Seinfeld, Renee Zellweger, Matthew Broderick, John Goodman, Chris Rock, Larry King, Ray Liotta, Sting, Barry Levinson, Kathy Bates, and even Oprah Winfrey. But we all know by now that you can throw in the craziest antics, stuff the movie with recognizable voices, but Pixar has taught the lesson that it always boils down to the strength of the story. And this is what Bee Movie is severely lacking.Not that it didn't try, but it went tangential to what it probably had intended, and it spawned into a big bag unmanageable hydra. Jerry Seinfeld is Barry Benson, a bee who refuses to conform to the laws of nature to having become stuck in a one-role job for the rest of his life. Before committing himself to menial tasks in the honey making process, he decides to venture out with the cool pollen collectors and see the outside world. And in the process, comes into direct contact with Vanessa Bloome the florist (voiced by Zellweger). Oh, did I also mention that bees speak English? It's just that they adhere to Commandment Number One that they shut their traps so that we won't know they understand us. Yeah right.So if you'd believe that, you'd believe anything that the movie throws at you. It becomes a courtroom drama with the usual lawyer jokes thrown in. It becomes an anti-worker exploitation movie, to stand up for the little ones, with reminders that small things matter in the whole scheme of things. It becomes a documentary on the laws of nature and the environmental / ecological equilibrium that has to be maintained. And the ultimate out of place scene involves a bloody jumbo jet in the sky in homage to the Airplane spoofs. Yes, while I know Bee Movie pays its homage to B-movies, you'd probably still wonder what the scriptwriters had in the coffee.But given its multiple personality and indecision to focus on something that it can chew, the graphics here are still no less than stunning. The bees in flight, with the mashing of the black and yellow, is pure poetry in motion, blending well with various backgrounds, be it the city skyline, or the green lungs with colourful flowers dotting the landscape. It's extremely fluid with attention paid to the details, and would be worth every penny should there be an IMAX version of this portion of the movie. Such scenes warrant the price of an admission ticket, but alas, more could have probably been done to save the movie.Bee Movie is again targeted at kids, although chances are they'll miss the many adult jokes and references so come fast and furious (some of which just fall flat unfortunately). And having a lack of ""cute"" characters, might dent its appeal, and narrow merchandising opportunities. Better luck next time Jerry!",Bee Movie
20,Smells_Like_Cheese,"Good, but I'm disappointed",7,16 November 2007,"After all the hype we've been getting for Bee Movie, I was so looking forward to seeing this film. It looked like it was a guaranteed hit; I decided to check this movie out this afternoon and even though I still liked Bee Movie. It seemed just like this was more meant for the adults than the kids, some of the references I'm certain children wouldn't get or even shouldn't get. I'm glad that they are making these movies for also the adults to enjoy, but I think these film makers are forgetting the audience this movie is supposed to be aimed at. Like I did laugh at the Ray Liotta and Sting references, but what kids would get that? The story was good despite some minor flaws, which I'll explain later, but it was clever.Barry is a bee who is living in the typical bee world where you live, you work, and you die. He's getting sick of it too, he wants something different, so he goes out into the human world. He meets a nice lady named Venessa and decides to break the Bee law and talk to her, they develop a friendship. He discovers in the human world that they sell honey and he's working his butt off for it, so he decides to go ahead and sue the human race for all the honey they sell. But he realizes soon that bee's mean more than just making honey.Bee Movie is cute and has a few good laughs I will always admit, but I'm just disappointed with the humor as well as the script, it seemed just too bland at moments and very predictable. But I had a problem with how the humans handled finding out that bee's can talk, they just accepted it very easily. Like I said I think the humor also was just too aimed at adults than the kids, so I'm not sure if this could qualify for family film of the year. Bee Movie is definitely worth a watch, but don't expect too much.7/10",Bee Movie
21,ksf-2,all things bee. seinfeld bit.,6,31 July 2020,"Can't go wrong with Seinfeld! SO many bee jokes, bee puns. and of course, Megan Mulllaly is Trudy the narrator. Oprah is the Judge. many film and television star voices. lots of screen time for Patrick Warburton, human, who just haaaapened to be on Seinfeld's show! Great animation of all the things bees do. even a job selection board for young bees. and a gag with bumble bee tuna. when Barry decides that humans are taking advantage of the bees, he sues the humans. once they decide that case, there's a scary plane ride where Barry and his human friend (Renée Zellweger) have to land the plane. it's like the muppet show, where there's one level for the kids and one level for adults. good, clean fun. Directed by Simon Smith and Steve Hickner. check out the cast list... too many to list here. Fun stuff!",Bee Movie
22,disdressed12,a blast,9,9 April 2008,"i'm' really glad i decided to pick up this movie.i didn't expect much,but i got a lot.this is one entertaining movie.it's funny,fast paced,and touching.it's definitely action packed and exciting.also the humour is such that adults will enjoy it as much as children.the look of the film is also fantastic.i also thought the the voice actors fit their characters perfectly.Chris Rock's mosquito character is very funny,as is Patrick Warburton's human being who hates bees.i think this movie is suitable for the whole family.it's good clean fun.it's 90 minute running time seems a lot less,due to it's fast pace.i highly recommend it.i give Bee movie a 9/10",Bee Movie
