,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,over a cliff,5,27 May 2020,"Tim Morris (David Spade) has a terrible blind date with the outrageous Melissa ""Missy"" (Lauren Lapkus). Later, he has a perfect first encounter with the former beauty queen Melissa Doherty (Molly Sims). He exchanges texts and invites her to a company retreat. He is shocked when the wrong Missy shows up and realizes that he's been texting the wrong person.First, what's wrong with Spade's hair? I'm sure that they think it makes him look more wimpish and less aggressive. I rather he just get a regular haircut and deliver the character with acting. I don't like this look. Sandler has his posse and they seem to think that annoying characters are automatically funny. I normally like Lapkus but here, she is pushing the character literally off a cliff. She just needs to pull some of it back. She doesn't need to get into a cat fight with kids. Sandler's wife is probably the only one who calibrated her character correctly. The rest of them are doing the Sandler thing and it's not funny anymore. The story structure is basic rom-com and it mostly works. Sandler has his fans and they may like this. More and more, I'm finding myself not one of them. This type of annoying characters may work if they go much harder as a black comedy with a dark ending.",The Wrong Missy
1,nogodnomasters,The Right Stuff,6,2 July 2020,"Tim (David Spade) meets Missy (Lauren Lapkus ) on a blind date and runs away. Later he meets another Missy (Molly Sims ) who has identical interests as himself. On a corporate retreat which involves a possible promotion, he invites Missy along but doesn't find out it is the wrong one until they board the plane. Imagine if people talked on the phone instead of text. Things go horrible as expected followed by things going great. Typically cliche script.Not exactly a chick flick, but it had all the parts. Funny at times. Adam Sandler wasn't in it so that is a plus.Guide"" F-word. Sex. No nudity.",The Wrong Missy
2,kosmasp,Right or wrong,7,21 June 2020,"Someone said this could have been another Adam Sandler movie. Well one of his ""comedies"" that is. That is not entirely untrue and there is more than just some merit to it. What is one major difference though: the female lead. While David Spade is the main character, she is stealing the show. Now as annoying as I think she is, as not attracted to that character I am (love the actress for sure), she is winning everyone over.And yes it is obvious and predictable where this is going. With all the hurdles and issues visible miles away. Some jokes are too extreme/gnarly and I almost want to not like the movie because of them ... but it's just too loveable. With cameos to boost and insanity to be released. But as I said: it's the female ""co-lead"" that makes this what it is ... very fine perfomance indeed",The Wrong Missy
3,jboothmillard,The Wrong Missy,3,4 March 2021,"Produced by Adam Sandler, this film was suggested to me by the Razzies, as an official voter, in preparation for their upcoming awards nominations, it certainly looked like it was going to be rubbish, but I was prepared for that. Basically, Tim Morris (Razzie nominated David Spade) has a blind date with Melissa, nicknamed Missy (Razzie nominated Lauren Lapkus), who is extremely strange. Missy's over-the-top personality, odd behaviour and Wild behaviour is too much for Tim. He tries sneaking out of the restaurant through a window, but is caught by Missy, and subsequently falls out, dislocating his ankle, which she fixes. Three months later, Tim is at the airport, and meets a beautiful woman, also named Melissa (Molly Sims), after they accidentally switch their luggage cases. They connect in a bar, finding that have much in common and seem to be perfect for each other. After sneaking into a janitor's closet, they share a kiss and almost engage in sex, before she is forced to stop and leave him, but she gives him her number. He begins texting ""Melissa"" and eventually invites her to his work retreat in Hawaii. However, on the plane, Missy shows up, and Tim realises he had been texting the wrong Melissa. Missy drugs Tim, forcibly giving him a tranquilizer, and he awakens later on the plane journey to her non-consensually masturbating him, and the bumpy journey causes him to unintentionally ejaculate. In Hawaii, Jack Winstone (Geoff Pierson), the new CEO, welcomes everyone. Missy is awkward and wild and always seems to end up embarrassing Tim in front of his boss and colleagues. At the hotel, he awakens to her on top of him, having non-consensual sex with him in his sleep. Tim explains to his colleague and friend Nate (Nick Swardson) that he cannot bring himself to get rid of her, as she claims he ""saved her life"" when she was standing on top of a bridge and meaning to jump, he does not want to cause her to become suicidal. Missy often becomes reckless and intoxicated and her behaviour results in humiliation for Tim. This includes a trip shark hunting in the sea. However, as time goes on, she starts to help Tim do well at his work retreat and to win Winstone's favour by hypnotising him. Missy reveals that when she said she was going to jump, and that he saved her, she was referring to a bungie jump experience. Despite this, Tim slowly finds himself falling for her. Tim's workplace competitor Jess (Jackie Sandler, Adam's wife) is not pleased with Winstone giving a job to Tim instead of her. Jess decides to reveal to Missy that she was invited by accident and was not the one Tim wanted to invite. Missy checks Tim's phone and finds out the truth. Saddened and devastated, she leaves Hawaii. At that moment, the real Melissa arrives in Hawaii, having been invited by Jess. At lunch, Tim cannot fully commit to the date, and gets drunk. Tim lets Melissa know that he has feelings for someone else and leaves Hawaii for Portland. Tim tries to communicate with Missy, but she ignores him, he also snaps Winstone out of hypnosis that Missy performed on him, and Winstone ends up firing him. Posing as someone else, Tim is able to lure Missy to the same bar they first met. He tricks her to approach the wrong man at the bar, it turns out to be Vanilla Ice (himself). Tim approaches and explains that he was playing the same joke that Missy did on him when they first met. Tim apologises and tells her all the things that he likes about her and that he wants to be more like her. She forgives him, and they kiss. Also starring Sarah Chalke as Julia, Chris Witaske as Rich, Rob Schneider as Komante, Lost's Jorge Garcia as the Guy on the Plane, and Jared Sandler (Adam's nephew) as Stuart. Spade is okay as the guy constantly with the nightmare one-time date, and Lapkus goes all out as the ""girlfriend"" who is multiskilled but with almost no moral compass, just saying and doing whatever she wants, with no regard. It is a predictable story, a guy paired with the unbelievably outrageous girl who slowly becomes charmed by her, there are the outlandish moments and dialogue that genuinely made me titter, but this is just throwaway stuff, an only slightly amusing but hardly worthwhile romantic comedy. It was nominated the Razzie for Worst Screen Combo for Lauren Lapkus and David Spade. Adequate!",The Wrong Missy
4,BandSAboutMovies,Enjoyably stupid,4,9 June 2020,"David Spade's character Tim Morris has a problem. He thinks he's going to his company's retreat with Missy (Molly Sims), but he's really going with an insane woman he had a blind date gone wrong with (Laura Lapkus) who is also named Missy. I mean, the date was so bad that he got beat up by Roman Reigns and broke his leg trying to escape from her. Things get way crazier from there.This is a Happy Madison movie starring so many of Adam Sandler's friends like Spade, Rob Schneider, Nick Swardson and even his wife, Jackie Sandler and nephew Jared Sandler. Your enjoyment of the film will depend in your ability to turn off your mind and laugh, as well as enjoy that special Sandler brand of humor.It's directed by Tyler Spindel, who also was behind Father of the Year. This movie managed to hit me in the right time and space, so I got several big guffaws out of the film. Your mileage, as the kids say, may vary.Lapkus is wonderful in this and deserves so much more. Here's hoping she gets a chance to be a star.",The Wrong Missy
5,Calicodreamin,"Unfortunately, most of the jokes fall flat",4,13 May 2020,A fairly cliche storyline peppered with a few funny moments. Most of the jokes miss the mark and the tortured storyline didn't sell this one. The main characters had no chemistry and the acting felt blasé.,The Wrong Missy
6,deloudelouvain,The tone is set from the start. If you don't like it in the beginning just stop watching it.,8,19 June 2020,"This is a typical comedy that will divide people, some will love it and others will hate it. You can count me in the ones that had a really good time watching this movie. I wanted to watch a funny movie and that's exactly what I got. There are plenty of hilarious moments, maybe annoying to some but who cares? If you don't like it after five minutes just stop watching it because the rest of the movie will be the same kind of humor. I thought the chemistry between David Spade and Lauren Lapkus worked perfectly. Rob Schneider and Nick Swardson also added to the comedy, it was just a good mix of comedians. People bashing Lauren Lapkus because she was annoying just don't get it, that's exactly the role she had, to annoy as much people as possible, so I would say very good job doing that. Do I think she was annoying? Definitely, I wouldn't want to know a woman like that in my personal life, but it's a movie so wake up and stop bitching. The story is lighthearted, nothing too serious, just funny, dumb and sometimes vulgar humor, so what? I wish there were more comedies like this one.",The Wrong Missy
7,Edvis-1997,7,7,13 May 2020,"I wouldn't agree with people that this movie so bad as described. It wasn't moder plot film, I can agree on that and the plot maybe wasn't original but it reminded me of good comedy from 2000's and I liked that a lot. Some jokes(not few but kind of a lot) made me laugh and that what was I looking for. As 2020 movie it's pretty decent.",The Wrong Missy
8,cruise01,Stupid humor but pretty entertaining and fun.,6,15 May 2020,"The Wrong Missy (3 out of 5 stars).The Wrong Missy is a fair comedy film that is filled with stupid humor which is what you can expect from a Happy Madison production. A comedy movie that does have that typical predictable story and cliches but it is kind of entertaining.The plot follows Tim (David Spade) who had a bad blind date when he met Melissa (Lauren Lapkus) with her loud, obnoxious, and weird personality. Months later, he meets another woman Melissa (Molly Sims) which her personality is like his dream woman. They swapped numbers and went there own ways in the airport. When his company is throwing a retreat in Hawaii. He decides to invite Melissa. Which he gets a surprise in the airport when Melissa from the blind date shows up. Which she tries to take charge of every situation she is in at his work party.It is a predictable plot which you can tell who is going to get with who before it happens. Tim has an enemy at work which she hates him and is always trying to be better than him in front of there boss. She will be a conflict to Tim's secret about Missy and his dream girl Melissa. Tim and Missy are the opposites. He is quiet and passive. She is loud and clumsy.Missy played by Lauren Lapkus is entertaining. She may act stupid and have that loud personality. Sometimes her performance may be overboard trying to get laughs. Which may be annoying than funny. She did decent with the character. David Spade, Molly Sims, Nick Swardson, and even Rob Schneider did decent with the performances. May not be great acting. But they are all entertaining with having fun with their characters.If you seen previous Happy Madison production movies that Adam Sandler produced and enjoyed it. Than you will enjoy this as well. Simple predictable plot. With actors having fun with their characters. And plenty of dumb humor.",The Wrong Missy
9,pennyelenabooks,Not Good Enough,1,21 May 2020,"The wrong missy had the idea, but went overboard with it. The casting was questionable for the reasons it was picked and the main character, Missy, was way too annoying and weird to enable the viewer to root for her. Not to mention that, even though she tries to open up about herself, in the end, no one knows who she is or what is her deal. Other than that, the main story was predictable.",The Wrong Missy
