,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,great indie that launched Soderbergh,8,8 August 2014,Ann Bishop-Mullany (Andie MacDowell) is a sexually repressed neurotic in therapy. Her husband John (Peter Gallagher) is having an affair with her sister Cynthia Patrice Bishop (Laura San Giacomo). His old friend Graham Dalton (James Spader) comes by for a visit. Graham likes to videotape his interviews of women talking about sex. He videotapes Cynthia leading to everyone re-examining their relationships.Director Steven Soderbergh delivers a talkative slow boil that bubbles up emotional chaos. The frank verbal sexuality is quite a jolt. James Spader brings his usual slightly creepy character. The four differing personalities energizes this movie. Soderbergh lingers which gives the movie a great voyeuristic feel at times. The film is mesmerizing and is never dull.,"Sex, Lies, and Videotape"
1,gavin6942,A James Spader Mullet and a Great Movie,8,16 April 2007,"A couple is having difficulty in their marriage. No wonder, since she is not sexually attracted to him and he is sleeping with her sister. Then we enter his old college friend, who is no longer anything like him and has developed a weird fetish for filming women. Sometimes people break down.I have heard this is the film that made Soderbergh's career and also pushed James Spader, Peter Gallagher and Andie MacDowell. I can see why. MacDowell has a very reserved character here, yet her range is quite good. Gallagher plays a jerk, and his eyebrows are half the size they are in ""While You Were Sleeping"" (I guess they grow when you get famous). Spader, who excels in such films as ""Stargate"" and ""The Secretary"", is at home here -- the nerdy, yet somehow attractive introvert and minimalist. He is in the late 1980s and early 1990s what Adam Brody is for us today (2007).While much of the plot revolves around the affair, that is not really very interesting. A man cheating on his wife isn't really strange and even a man sleeping with his wife' sister isn't unheard of (though a bit gross in my mind). Spader's character shakes things up... the ""videotape"" third of the title is where the movie stands out from other such films. Confessions, secrets and intimacy over a home video system... no other film does this. And maybe you'd say ""why would they?"" but when you seem how raw the emotion is when done by home video, you'll see what the big screen cannot offer.I can't pinpoint what sold this film for me. I just became very engrossed in it, with its character-driven plot (and with such great actors, there's no need to worry if a character-driven plot will work. It will). Some parts are predictable (you know in the first few minutes the marriage is falling apart), but much of the film is anyone's guess: who will get punished, will new love spring up? It's a very beautiful expose of the human drama and of human emotional versatility.I recommend this film to you. Check it out... probably not when the kids are around (although the language and nudity are surprisingly tame for a film with this subject matter). It's probably not what you expect it to be...","Sex, Lies, and Videotape"
2,lee_eisenberg,personal vs. physical garbage,9,8 April 2006,"The opening scene in ""Sex, Lies, and Videotape"" has Ann Mullany (Andie MacDowell) talking with her therapist about all the garbage that humans produce. Where are we going to put it all, she asks. One might say that the irony of her talking about garbage is that she never looks at the garbage in her personal life. Married to a philandering executive (Peter Gallagher) - who's having an affair with her sister (Laura San Giacomo), no less - Ann lives a sexually repressed existence, and spends her days cleaning her house, a clear sign of no fulfillment in her life. But that might all be about to change, now that she's met Graham Dalton (James Spader).Steven Soderbergh made a great directorial debut here, leading to the prolific career that he has now (including executive producing ""Syriana"" and ""Good Night, and Good Luck""). The cast members all do a great job with the roles, and the script is laid out perfectly. A great movie.","Sex, Lies, and Videotape"
3,jboothmillard,"Sex, Lies, and Videotape",9,20 July 2010,"I decided to watch it because I had heard the title, I saw it featured in the book 1001 Movies You Must See Before You Die, and then I found out it was the debut film from director Steven Soderbergh (Erin Brockovich, Ocean's Eleven). Basically Ann Bishop (Four Weddings and a Funeral's Golden Globe nominated Andie MacDowell) is married to John Mullany (While You Were Sleeping's Peter Gallagher), and he is having an affair with Ann's sister Cynthia Patrice Bishop (BAFTA and Golden Globe nominated Laura San Giacomo). Ann is the quiet type who is having therapy to express her concerns about things in the world, and even knowing her marriage is rocky she doesn't feel like she wants to have sex. When John's old college friend Graham Dalton (Secretary's James Spader) comes along, renting a flat, he makes friends with Ann, and Cynthia is very keen to meet him from Ann's description. Ann gets to know Graham more, and she finds his box of videotapes, and he confesses that they are all women being interviewed by him talking about sex, their experiences of it, and their fantasies. Ann is a bit freaked out by this, and she voices her concerns to Cynthia, but Cynthia still goes to see him, and finds out herself about the videotapes. She asks him to videotape her to talk about sex, and during this she also masturbates in front of him, which Ann is pretty shocked to her. When Ann finds an earring belonging to Cynthia while vacuuming, she confronts John about a possible affair, which he denies, but she knows he is lying. She goes to Graham for some comfort, and she decides to do a videotape herself, which he did advise not to based on the circumstances, but she does it anyway. John finds out about Graham filming his wife, and he does go over to punch him in the face, but then he watches Ann's videotape where she discusses her problems. There is also a point where she films him about why he likes to film women doing this, and after John leaves, Graham in anger breaks all his tapes. In the end, John is possibly fired from his job, Ann and Cynthia make up with each other, Ann as far as I know leaves John and goes with Graham. Also starring Ron Vawter as Therapist, Steven Brill as Barfly, Earl T. Taylor as Landlord and David Foil as John's Colleague. MacDowell is a good quiet and bored wife, Gallagher is a really good sneaky and manipulative husband, Giacomo is great as the sneaky and seductive sister, and Spader is really good as the quiet man with a very questionable hobby. From the title you would think it featured sex, but it doesn't need any, it is one of the great films that relies on the stars talking in detail about it, so in summation, it is a brilliant mainly dialogue carried drama. It was nominated the Oscar for Best Writing, Screenplay Written Directly for the Screen, it was nominated the BAFTA for Best Original Screenplay, and it was nominated the Golden Globe for Best Screenplay. Very good!","Sex, Lies, and Videotape"
4,moonspinner55,"Plot is slim, but film is emotionally driven...",6,19 October 2006,"Intelligent, surprisingly enveloping movie is one that sneaked up on a lot of people in 1989, and has that effect on the unsuspecting today. A somewhat-frigid young woman becomes fascinated with her husband's friend, an emotionally confused man whose hobby is videotaping sexual conversations with women. The film takes about a quarter of an hour to kick in, yet once the character motivations become more clear it's quite an engrossing experience, a movie that unfolds rather like a novel. For those who stick with it, an intense drama peopled with some sordid characters who are nevertheless brilliantly portrayed by the cast. Andie MacDowell, as the wife who is so homespun she can't even swear, has rarely been so complex and affecting on film. **1/2 from ****","Sex, Lies, and Videotape"
5,Quinoa1984,"a terrific, slowly unfolding debut with sublime performances",9,4 July 2004,"Steven Soderbergh, as observed by other reviewers and critics, did take inspiration from the kinds of films Eric Rohmer's been making for decades. These kinds of films, as Sex, Lies, and Videotape is at its core, about people in morality crises, and how they get out of them or linger with how they act is the point.  Some people may not like the film, therefore, as nothing incredibly outrageous or spectacular will occur.  For all the attention Soderbergh received (Golden Palm, Independent Spirits, Oscar and Golden Globe nominations, immediate recognition), he's made a small film, and it's not as ambitious as some of his later, greater works like Out of Sight and Traffic.  But as a revealing, intimate character study, with an often clever and controlled mis-en-scene, Soderbergh shows his skills were already honed at twenty-six.Without good acting the film would be like a hopeless rendition of a foreign film, but with the four lead performances from McDowell, Gallagher, Gia Como, and Spader (his is most under-stated of the bunch for me) these are as fully realized characters as Soderbergh could get.  They all must've taken something about the characters in the script, because for all the flaws and misconceptions and fears these characters carry, they are human.  Even Gallagher's John, who's the conniving husband and lawyer, is recognizably as he is even when he's comparatively lesser than Graham and Ann.  Only one side character, the barfly played by Steven Brill, gets the film to immediately halt with uncomfortable humor.  But the rest of the film, loaded with innuendo (there's not one shot of nudity, similar to a Rohmer film like Chloe in the Afternoon, where the cover art of the film is rather misleading to those looking for a film with breasts and other parts) and involving drama, doesn't shake its foundations until maybe the last five to ten minutes.  And when it does, it does not make the film a lost cause, at least for me.  Begs to be seen again, though with maybe a year or so between viewings.  A-","Sex, Lies, and Videotape"
6,edwagreen,Eroticism and Frustration Just Don't Mix *,3,11 June 2012,"This film is not exactly Tennessee Williams's ""A Steetcar Named Desire."" Given, we have plenty of frustration, anxiety, eroticism and utter despair shown, but the film essentially becomes a moody piece of unhappiness, deceit and repressed sexual desires.The performances are good, especially those of Andie McDowall and Peter Gallagher as the apparently unhappy couple engaging in their sexual peccadillo's.As the sister engaged in an affair with her brother-in-law, Laura Saint Jacamo is appealing, but the material she has to work with leaves a lot to be desired.In the age of taping and other technological advances, we need to know why these people engage in the behavior they do. We come away with a totally unsatisfying feeling after viewing the film.","Sex, Lies, and Videotape"
7,michaelRokeefe,A story of lust and sexual awakening.,7,26 April 2000,"John Melaney (Peter Gallagher) is a businessman not content with his frigid wife, Ann (Andie MacDowell). Melaney is having an affair with his wife's sister, played by Laura San Giacomo. A friend of Melaney, played by James Spader, returns to town. The friend is openly impotent and has a fetish of video taping women talking about their sex life.Well directed and written by Steven Soderbergh.","Sex, Lies, and Videotape"
8,sunwarrior13,Too Bad I Saw It 27 Years Too Late,9,27 October 2016,"Sex,Lies, And Videotape is the first movie of Steven Sodenberg that led him to prominence in Hollywood.This independent drama about a couple tells us a story on how lack of sex drive or interest in sex becomes a focal point in the marriage between the husband and wife which involved the husband's friend together with his camera and the wife's sister.It stars James Spader,Andie MacDowell,Peter Gallagher and Laura San Giacomo.Ann Bishop Mullany is no longer interested in sex.She feels that throwing a garbage is even more interesting.Waste Disposal arouses her more than having sex that is why she never have had any orgasm.This leads to a lot of unhappiness into their marriage particularly John,who is still very much interested in sex.That is why he starts an affair with her wife's sister,Cynthia.As the story progresses,John's old college friend Graham whom he hasn't seen for nine years comes into the picture.He gets introduced to Ann and Cynthia.Later,he is found having a camera and lots of videos of women talking about sex.Ann gets to visit him and finds him watching a recording of a certain woman named Elizabeth and she tells Cynthia about it.This leads Cynthia into talking to Graham and starts doing a recording for Graham.This leads to a story when we see John's work get affected by constantly sleeping with Cynthia,Ann and Cynthia getting angry with each other after the former discovers the affair,John getting mad with Graham after learning of the certain closeness developing between his wife and college friend,Ann and Cynthia reconciling after the former files a divorce from John, and unexpectedly Graham and Ann becoming a couple.I have always heard of this movie but it was only recently when I got hold of the video to be able to finally watch it.It was a good movie.No question about it.The characters in the story were interesting. Sex becoming the focal point of the story without resorting to pornography was done well by Sodenberg.Acting was definitely great especially Laura San Giacomo who was basically a newcomer back then when the movie was shown.The only thing that prevented me from giving it a perfect 10/10 rating is the fact that I have seen it 27 years too late.Too bad that this somehow kickstarted better movies about sex for many years to come and the story at present is no longer something to be considered as independent which was considered back then when it was released in 1989.Or worse,others would have seen this a dated film by today's standard.I alone would have considered it as one if I never took its year of release as a consideration especially after I have seen many Hollywood movies and foreign movies that have more daring stories about sex. I would have better appreciation of this film if I saw it back then.","Sex, Lies, and Videotape"
9,lastliberal,Being happy isn't all that great. I mean... the last time I was... really happy... I got really fat.,7,21 June 2009,"Oscar nominations (Soderbergh), BAFTA nominations (Soderbergh, Laura San Giacomo), Golden Globe nominations (Andie MacDowell, San Giacomo, Soderbergh) , César nominations (Soderbergh), and Cannes awards (James Spader, Soderbergh) for just about everyone in this film except Peter Gallagher.Steven Soderbergh (Traffic, Erin Brockovich) wrote and directed this film, his first feature-length effort.It's hard to determine who played the better part, Andie MacDowell or Laura San Giacomo. I happen to be prejudiced towards one over the other, so I have a hard time making a pick. They were both fabulous. The repartee between them was hilarious as one was having an affair with the other's husband.The way that MacDowell turned the session with Spader around was fascinating. The sex became secondary to the conversation and was the best part of the film.Outstanding acting by Spader and MacDowell.","Sex, Lies, and Videotape"
