,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"The weakest of the series, but Myers still has his mojo",7,4 May 2010,"After thoroughly enjoying the first two Austin Powers movies, they were daft but enormous fun, I watched this third instalment. I was disappointed admittedly, but I enjoyed it nonetheless. The plot takes the whole meaning of daftness to a whole level, so some of it verges on ridiculous, and while Mike Myers is brilliant as Austin and Dr Evil, he overdoes it as the Dutch villain Goldmember and the cameos are very hit and miss. That said, the sets and costumes are still wonderful, the soundtrack is groovy and the script is comedy gold with the cool catchphrases, bad-taste buffoonery and surreal slapstick. In terms of supporting performances Beyonce Knowles is a knockout as sexy and sassy Foxxy Cleopatra and Michael Caine is a dentally-challenged delight as Austin's dad. Seth Green is also fun as Scott Evil. Overall, an inferior sequel, but it was still a lot of fun, with Myers still having his mojo. 7/10 Bethany Cox",Austin Powers in Goldmember
1,bkoganbing,He Loves Only Gold,6,3 January 2010,"Most of the cast of the first two Austin Powers films return for this third and latest Powers creation, Goldmember. I say latest and not last because I think with sufficient interest and the possibility of a good box office, Mike Myers could possibly be induced to revive Austin Powers and all the characters he created in the three films.Powers is back with his opposite number Dr. Evil and his henchman from the Spy Who Shagged Me, Fat Bastard and in this film he creates a new and even more sinister international villain in Dutch master criminal Goldmember. So named because he leaves the male members of his male prisoners painted gold, dead or alive. The members and the prisoners that is.Well if stealing Austin's mojo in The Spy Who Shagged Me didn't stop Powers, maybe kidnapping his father will. So Michael Caine enters the general mood of hilarity in Goldmember as Mike Myers father Nigel Powers who is kidnapped and taken back to the disco era of 1975.If you remember Powers was cryogenically frozen as Dr. Evil was in the first film and then sent back to the sixties. Now he gets a chance to experience the Seventies and things are wilder and crazier in the disco era than they were in swinging London of the Sixties. Myers gets some help from American agent Beyonce Knowles as Foxy Cleopatra, but with his mojo going full blast and the fact that Dr. Evil doesn't want a rival in the evil business, Powers gets the job done.Seth Green gets to shine a bit more in this film as son Scott Evil who finally looks like he's coming into his own as a worthy successor to head the Evil Empire.Altogether Goldmember is a nice Shagadelic experience, really groovy baby.",Austin Powers in Goldmember
2,SnoopyStyle,Michael Caine great but Goldmember not funny,6,29 December 2013,"Dr. Evil and MiniMe escape from prison and team up with Goldmember to flood the world by using a tractor beam to pull a meteor down to melt the polar ice cap. Goldmember has kidnapped Austin's father Nigel Powers (Michael Caine). Meanwhile Austin also travels back in time to 1975 to stop Dr. Evil and Goldmember.Michael Caine is a great addition. Beyoncé Knowles is not as good. The problem I have is Goldmember. He's very creepy, very weird, and not very funny. Fat Bastard does return and he's the good kind of weirdly funny as oppose to Goldmember. Mike Myers continues to add new interesting originality to this franchise. I just wish he could rewrite Goldmember or maybe just skip him altogether. And it's great to see MiniMe get a good important side story.",Austin Powers in Goldmember
3,kosmasp,Hard Knock Gold Life,5,21 July 2009,"The Austin Powers movie series obviously runs out of steam, with it's third (and up to this point) final installment of the series. While many were glad to see him and although many would likely be watching a fourth part and therefor making it successful commercially, fortunately it was decided to stop here.While this movie isn't bad (especially comparing it to the recent flood of ""spoof"" movies) it still is obvious that it lacks the originality and power that it originally had. Mike Myers still goes all out (you could compare his passion and dedication to one Jim Carey, but the latter has shown, that he can change pace and character), you still won't get a great movie experience out of it. Watch it once and it's OK, but this definitely can't hold a repeat viewing",Austin Powers in Goldmember
4,lee_eisenberg,How far can they go?,7,28 May 2006,"This time, Mike Myers plays Austin Powers, Dr. Evil and Fat Bastard, plus one new character: a Dutch guy named Goldmember who wants to help Dr. Evil take over the world. That's the main plot, but the movie is really an excuse for a bunch of silly gags (namely the subtitles). The female interest this time is Foxxy Cleopatra (Beyonce Knowles), whose cool never ebbs. The other addition is Austin's father Nigel (Michael Caine).Anyway, ""Austin Powers in Goldmember"" is raucous fun from beginning to end. You just have to remember not to take anything seriously - and believe me, you can't. Reprising their roles from the earlier movies are Seth Green, Michael York, Robert Wagner, Mindy Sterling and Verne Troyer, while the guest appearances this time are Fred Savage, Steven Spielberg, Tom Cruise, Gwyneth Paltrow, Kevin Spacey, Danny DeVito and Britney Spears.And that's life, baby!",Austin Powers in Goldmember
5,jboothmillard,Austin Powers in Goldmember,6,9 March 2005,"This is the third of the Austin Powers spy spoofs. Mike Myers returns Austin Powers, Dr. Evil, Fat Bastard (from The Spy Who Shagged Me) and a new character called Goldmember (hence the title). Dr. Evil plans to take over the world with the help of Goldmember's plan. With the help of Foxxy Cleopatra (introducing ex-Destiny's Child singer Beyoncé Knowles) from 1975 he attempts to foil his plan. As the film goes on he is accompanied by his father (like most trilogy's in the third film). His Dad is played by the well suited Michael Caine. As the film goes on Dr. Evil's son Scott (Seth Green) starts to turn evil too, and Dr. Evil starts to ignore his clone Mini Me (Verne Troyer). So Mini Me decides to help Austin and Foxxy. A very good comedy with many famous faces, including Michael York as Basil Exposition, Tom Cruise, Gwyneth Paltrow, Kevin Spacey, Danny DeVito, Steven Spielberg, Quincy Jones, Britney Spears, Nathan Lane, The Osbournes and John Travolta. Mike Myers was number 46 on The Comedians' Comedian. Good!",Austin Powers in Goldmember
6,ccthemovieman-1,Austin's Anatomy,8,21 January 2007,"While the first two Austin Powers films in this comedic series concentrated on spoofing the late '60s/early '70s, James Bond movies and concentrated on female anatomy in the process, this one was centered on penises. I kid you not. (Hence, the title, a play-on-words from ""Goldfinger."") I watched this film twice, within two weeks of each as I showed a friend the second time. The first time I thought it wasn't as funny overall as the other two Powers films and was a bit too raunchy, especially for the PG-13 rating which is ridiculous. After the second viewing, I changed my mind about the comedy (not the rating): it is just as funny if not more than the other two.A couple of the scenes were hilarious, although very crude in spots but some of the crudeness is what makes it funny. However, most of time I laughed more at the many subtle double entendres and all the double takes by Mike Myers, who plays at least four characters in here...all of them very well.It's goofy, stupid and nothing spectacular but definitely fast-moving and entertaining. If you've seen the other Austin Powers films, you know what this basically is going to be, humor-wise.Beyonce Knowles, who played the female lead, didn't have the beauty or body of Heather Graham or Elizabeth Hurley, stars of the other two films, but she isn't bad. There are numerous cameo appearances in here, starting right off the bat with Tom Cruise.Overall: sick (again) but funny (again.)",Austin Powers in Goldmember
7,BA_Harrison,"Solid gold, baby! Yeah!",8,26 February 2018,"Goldmember, the third film in the Austin Powers trilogy, is another hugely satisfying helping of abject silliness guaranteed to please fans of the previous two movies. The film opens in grand style with a star-studded, action-packed sequence in which Tom Cruise plays Austin Powers in AustinPussy, a Spielberg movie based on the exploits of England's most swingingest spy. Gwyneth Paltrow is Cruise's sexy sidekick, Dixie Normous, Kevin Spacey is Dr. Evil (no comment) and Danny De Vito plays Mini Me. This is all followed by a groovy musical routine that sees the real Austin Powers (Mike Myers) in a dance off with Britney Spears.After this superb introduction, we follow Austin as he travels back to 1975 to search for his father Nigel (Michael Caine), who has been kidnapped by Dutch criminal Goldmember (Myers again), who is working with Dr. Evil (Myers again again) on a plan to hold the world to ransom. While in the '70s, Austin teams up with the aptly named Foxxy Cleopatra (Beyoncé, who looks amazing, all cleavage and curves), who accompanies Austin to the year 2002, where they encounter Fat Bastard (Myers again again again), and team up with Mini Me (who has defected to the good side) to foil the villains' dastardly scheme.The film is packed to the brim with gags (there's no 'downtime'), most of which are extremely puerile but also hilarious, making the Austin Powers series as a whole one of the most consistently funny cinematic comedy franchises I can think of. I challenge anyone to keep a straight face as Powers hides behind a statue of a peeing cherub, gets distracted by Number Three's huge mole, is covered in sumo wrestlers' 'mawashis' (the belt that goes up their ass-crack), or takes a medical whilst balanced on Mini Me's shoulders. I'm giggling to myself just thinking about it!",Austin Powers in Goldmember
8,moonspinner55,"Star cameos and outrageous toilet humor, some of which is very funny...",5,22 August 2006,"Third retro-spoof for Mike Myers' Austin Powers, '60s super-spy transplanted to the present day, is an improvement over the previous installment, 1999's ""Austin Powers The Spy Who Shagged Me"", although that isn't saying much. The suave International Man of Mystery is once again pitted against Dr. Evil, who has hatched a plot to flood the world. Evil is now in-cahoots with Goldmember, a power-mad genius from 1975 who sports a golden phallus. Mostly a succession of raunchy gags--and yet, all the effort still can't top the naughty-yet-innocent original from 1997, which seems positively sedated next to the manic ""Goldmember"". Imaginative set-pieces, great music, inane jokes, plus pop star Beyoncé Knowles, who is very assured on-screen (something which can't be said for Michael Caine, looking pained as Austin's father). ** from ****",Austin Powers in Goldmember
9,Quinoa1984,one of the funniest film of the year so far; though not for everyone,7,26 July 2002,"I'm sure there's an audience out there not for the comedic taste of Mike Meyers- there are more flatulence/penile/bowel movement/general excrement jokes to fill three other movies, and it's all crammed into a 96 minute piece. With that said, I loved it; I've been a big fan of Meyers through his career and with this third installment I can faithfully say I laughed more during this than Spy Who Shagged Me (the laughs grow less and less since I first saw that three years ago), although it doesn't top the first if only because it still stands strong as a solid comedy with originality as its strong suit, not gross out, albeit hilarious, gags. This time, Meyers adds the eccentric Goldmember (said title), from Holland, he has his private area submerged in gold and can lift both legs up at will; he plots to destroy the world with Dr. Evil and Powers teams up with Beyonce Knowles (Foxy Cleopatra) and his father (Michael Caine in the slyest role of the movie).With cameos from the likes of Tom Cruise, Britney Spears, Kevin Spacey and Ozzy Osbourne, and a moments where laugh a minute is more than literal, this is a highly recommended flick on the front of strange and funny.",Austin Powers in Goldmember
10,michaelRokeefe,The shagadelic man is on the move again.,4,7 June 2003,"This is the third of the Austin Powers installments. The shagadelic superspy must do some time traveling to rescue his father(Michael Caine)who has been kidnapped by minions of Dr. Evil. Powers enlists the help of Foxy Cleopatra(Beyonce)to back up to the swingin' seventies to find his father. I don't think I laughed out loud, but admit there was an overload of ""potty mouth"" humor and sexual innuendos. The talented Mike Myers of course gives life to three other characters than Powers: Dr.Evil, Fat Bastard and Goldmember. Also in the cast are Robert Wagner, Seth Green and Michael York. Not recommended for the small fry of the family. Try and count the number of genital gags/ jokes. Behave yourself, Baby!",Austin Powers in Goldmember
11,studioAT,Austin Powers in Goldmember,2,29 July 2021,After an excellent pre-credit sequence (which in itself deserves 10 stars) this goes downhill fast.A shame.,Austin Powers in Goldmember
12,bevo-13678,Funny,10,2 November 2020,I like all the funny jokes that were also in all the other Austin powers movies,Austin Powers in Goldmember
