,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,One of the biggest wastes of talent ever seen,2,4 June 2005,"It's amazing that such a stellar cast was assembled and such a rotten and incomprehensible mess resulted! Think about it folks, the movie features an incredible cast of expensive talent and STILL is unwatchable. Imagaine how hard it must have been to have assembled this much talent and still produced such a dud! Other than the memorable music from Herb Alpert, nothing positive can be mentioned about the movie. It is stupid and smarmy but not one bit entertaining. It has all the earmarks of a movie that has been written and re-written and re-written innumerable times until it makes no sense. Either that, or everyone associated with the movie was on LSD or had suffered blows to the head. Whatever the cause, avoid this movie like the plague.By the way, there is strong circumstantial evidence to prove the film is a turkey even before you watch it. Look at the very, very long list of directors for the film. When it has that many, it an almost sure sign that something is wrong with the production.Additionally, look at the list of directors and actors--I can't think of another film with more assembled talent than this one, but with practically nothing for any of them to do! Imagine wasting actors such as Peter Sellers (who plays, apparently, a zombie), David Niven, Charles Boyer, Orsen Welles, William Holden, Jean-Paul Belmondo, George Raft, Jacqueline Bisset, Ursula Andress, Woody Allen (back when he was funny in the 60s) and Deborah Kerr!!! Many of these people were given nothing in particular to do except to make an embarrassing walk-on. The rest were given parts that were very incomplete and stupid.PS--To this day, Ian Fleming's corpse continues to spin like a rotisserie thanks to this film that bears the same title of one of his best books (though the title and name of the main character are the ONLY things the 2 have in common).",Casino Royale
1,TheLittleSongbird,"Disjointed affair, with some good moments",5,2 March 2011,"It is better not to think of this film as an official Bond film, because even if it was meant to be, it doesn't feel like one. If anything, it feels like a disjointed spy caper and as a spoof it is one with pluses and minuses.Casino Royale does have its good points. The locations, costumes, photography and Bond girls look wonderful, even if the editing isn't as good. The music is rousing enough with a brilliant song sung by Dusty Springfield, the opening and closing sequences are memorable, the idea is great, there are some funny bits and there is a great cast, although the performances themselves are uneven. David Niven is amusing, Orson Welles is a good find, Ursula Andress is very sexy and beautiful and Woody Allen provides some of the more funnier moments though these moments are almost too brief to savour properly.The rest of the cast don't give bad performances or anything, but the material they got should have been better. Peter Sellers's talents in my opinion are not put to good use, there are times when he is funny but there are other times where he does little more than ad libs and he does overdo it occasionally, while some of the cameos are wasted and that includes John Huston as M, who coincidentally is one of the directors of Casino Royale.What hurt Casino Royale though was the length and the pace. It was much too long and there are some parts that move along at a snail's pace. The film also feels bloated, there are too many characters and the film should have had about three less directors than it did. The film does start off well, but then it becomes very silly, overblown and pointless. The script is weak, with the occasional funny moment outweighed by the too silly, unfunny moment sadly, while the plot meanders all over the place and is very hard to follow and the action while not bad is rather overblown.Overall, I can see why Casino Royale is seen as a love it/hate it movie. As for me, I had very mixed feelings on this film, and while not terrible, it is disjointed and bloated that is saved by the production values, music and some of the cast. 5/10 Bethany Cox",Casino Royale
2,bkoganbing,You Can't Spoof A Spoof,3,14 August 2008,"Maybe the third time around someone will get Casino Royale right. Until then we'll have to deal with both the 1967 and the 2007 version, each of whom is bad in its own way.The version in 2007 that introduced Daniel Craig as James Bond was a competently made action thriller, but I missed the tongue in cheek humor of those Bonds done by Sean Connery, Roger Moore, and Pierce Brosnan. But that's a matter of taste and style.But I don't know anyone who likes the 1967 all star mess of a Casino Royale. Five directors had a hand in this film and it looks like I watched five different films in the running time.According to the Citadel Film Series book, The Films Of John Huston one of the five directors, Ian Fleming had sold the rights to this particular Bond novel to someone else other than Saltzman and Broccoli who brought us the traditional Bond films we know. Charles K. Feldman who wound up with the rights after the Bond phenomenon took off tried desperately to get Sean Connery away from Cubby Broccoli, but Broccoli being no fool wasn't having that.Failing to get Connery for a traditional Bond film, Feldman decided on the satirical approach instead. But Casino Royale if nothing else proves the old adage of you can't spoof a spoof.Amazingly enough Casino Royale actually got an Oscar nomination for the song The Look of Love by Burt Bachrach and Hal David which certainly was popular back in the day. You'll hear it sung on the soundtrack by Dusty Springfield, probably most folks are familiar with Dionne Warwick.Seldom will you ever see so many name players getting such an opportunity to make fools of themselves. But I have to commend Peter O'Toole and his agent for apparently insisting on no billing for a tiny role. They were the smartest ones involved with Casino Royale.",Casino Royale
3,Leofwine_draca,Messiest film ever,3,3 September 2015,"CASINO ROYALE, a 1967 spoof of the whole James Bond spy genre, has to be one of the messiest films ever made. A troubled production leads to a very troubled picture in which new meaning is brought to the phrase ""scattershot"". This is a film filled with extremely broad comedy, touches of surreal humour, and a general lack of both cohesion and coherence so that for most of the running time you're wondering what the hell you're watching.The storyline only loosely follows that of the Fleming novel, despite the misleading title. Orson Welles has a few scenes as Le Chiffre, for example, but what happens to him is totally out of left field. Meanwhile, we get a storyline involving a past-his-prime David Niven as an elderly Bond who recruits various newcomers to the fold, including a poor Peter Sellers. An appears-in-anything Ursula Andress is the crumpet, while the supporting cast in this bloated production is packed with cameoing stars like Deborah Kerr, John Huston, William Holden, and even one Woody Allen playing 'Jimmy Bond'.CASINO ROYALE has an episodic structure that is generally hard to watch as most of the supposed funny bits are anything but. The stuff set in Scotland is completely interminable, for example, although things do pick up a little for the more traditional climax. It's still one hell of a mess though, worth watching only so you can wonder how they got it so wrong.",Casino Royale
4,SnoopyStyle,a mess with some fun bits,4,2 April 2016,"Varied international intelligence agencies plead for Sir James Bond (David Niven) to come out of retirement to battle SMERSH. He goes to Scotland where SMERSH agents try to seduce him. Later, he orders every agent to be named James Bond to confuse SMERSH. Baccarat master Evelyn Tremble (Peter Sellers) is recruited to be James Bond to battle Le Chiffre (Orson Welles) at Casino Royale.This is one big mess. The problem is that most of it is not funny. It goes all over the place. Having both Niven and Sellers (and others) be James Bond is convoluted and not worth the very limited comedic effects. Essentially Niven and Sellers are co-leads which leaves this movie disjointed. The movie throws everything on the screen. Sometimes they go all out. There are sight gags and dry humor. However, it's rare to actually laugh. Woody Allen is hilarious but he's the rare consistent comedian. Sellers does a couple of interesting bits. It would have been great if he's the only James Bond going up against Woody Allen as the Bond villain.",Casino Royale
5,claudio_carvalho,"A Long, Boring, Messy and Silly Waste of Budget and Cast",3,28 April 2007,"""Cassino Royale"" was supposed to be a psychedelic and funny spoof of James Bond movies. The dream cast is certainly among the most fantastic reunion of stars and starlets of the cinema history ever. How many times the viewer has the chance to see names like Peter Sellers, David Niven, Ursula Andrews, Orson Welles, Woody Allen, Deborah Kerr, William Holden, Charles Boyer, John Houston, Jean-Paul Bemondo, Jacqueline Bisset, Peter O'Toole, Anjelica Huston and other less famous actors and actresses acting together in the same film? Unfortunately, with the exception of the scenes with Woody Allen, this parody never works and is actually a long, boring, messy and silly waste of budget and cast. Even watching ""Cassino Royale"" as a dated 60's movie of counterculture, the result is absolutely disappointing mostly because of the chaotic screenplay. My vote is three.Title (Brazil): ""Cassino Royale""",Casino Royale
6,gavin6942,Too Confusing To Be Truly Good,5,7 November 2012,"In an early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH.I hate to say that I did not really enjoy this movie. But based on the IMDb rating, I apparently am not alone in that. While I like the idea of a spy spoof, this one just seemed to flop for me. Maybe it was because too many writers and directors were involved, but the plot was too confusing and ran for much too long. Did we need seven James Bonds? No.Granted, we have a great cast: Peter Sellers, Orson Welles, Woody Allen and others. And some of the jokes were pretty funny. But trying to keep the plot straight was just too difficult.",Casino Royale
7,lee_eisenberg,more and more royal all the time,7,26 July 2005,"You can only appreciate ""Casino Royale"" if you're willing to accept the zany humor that pervaded 1960s cinema and TV. In this case, Sir James Bond (David Niven) is called out of retirement to solve one last case. In the process of everything, there's some gags by secret agent Evelyn Trimble (Peter Sellers) and some great lines by cousin Jimmy Bond (Woody Allen). And of course there's a plethora of hot women, namely Vesper Lynd (Ursula Andress). It's one of those movies whose whole purpose is to be wacky, and they make no pretense about that. I think that my favorite scene was in the German club...or maybe it was the big battle at the end. Either way, ""Casino Royale"" is meant to be silly, and they succeed. Hilariously.",Casino Royale
8,jboothmillard,Casino Royale,4,14 August 2006,"Made during the success of the real James Bond 007 series, and released the same year as You Only Live Twice, this all star comedy film was made to satirise the series, and loosely tell the story of the first novel Ian Fleming wrote about the famous spy, from directors Val Guest, Kenneth Hughes, John Huston, Joseph McGrath and Robert Parrish. Basically ageing spy Sir James Bond 007 (David Niven) is brought out of retirement after British Secret Service boss M (John Huston) has been killed, and he is going up against the enemy that is SMERSH. He comes up with the plan to trick the organisation and the villain of the piece, Le Chiffre (Orson Welles), all the top agents around the world, that is four, will have the name James Bond so that the real one cannot be found. So the agents following the clues to find out what the bad guys are up to are Evelyn Tremble (Peter Sellers), Cooper (Terence Cooper), female Vesper Lynd (Dr. No's Ursula Andress), female Mata Bond (Joanna Pettet) and female The Detainer (Daliah Lavi). The big test is to make sure the villain does not win a fortune at Casino Royale, as it could spell bad news for the world, so Evelyn makes sure to stop him. Many silly and sexy things are put in the way for the male spies to be distracted by, but everything falls into place as the bad guys may plan to make their move and take over the world. In the end, it turns out that the real villain of the film is in fact Sir James's own nephew, Jimmy (Woody Allen), he turned mean because he felt neglected, and the film ends in a laughable way as all the main characters die during an explosion at the casino, and go to Heaven, or Hell, all together. Also starring Deborah Kerr as Agent Mimi / Lady Fiona McTarry, William Holden as Ransome, Charles Boyer as Le Grand, John Huston as General McTarry, Kurt Kasznar as Smernov, Barbara Bouchet as Moneypenny, Jacqueline Bisset as Giovanna Goodthighs, Ronnie Corbett as Polo, Bernard Cribbins as Taxi Driver, Geoffrey Bayldon as Q, Anjelica Huston as Agent Mimi's Hands, Burt Kwouk as Chinese General, John Le Mesurier as M's Driver, Peter O'Toole as Scottish Piper and David Prowse as Frankenstein's Creature. The all star cast certainly keeps you interested, especially Sellers in the scenes with Andress, the use of colour and costume is fine as well, but this was a bit too kooky and strange for me most of the time, if you want a James Bond spoof it is much better to go with Austin Powers, but this one isn't a terrible spy spoof. Dusty Springfield's (written by Burt Bacharach) Oscar nominated ""The Look of Love"" and the title theme were number 21 on James Bond's Greatest Hits. It was nominated the BAFTA for Best British Costume. Okay!",Casino Royale
9,Tweekums,A frightfully dated James Bond Spoof,5,12 February 2021,"A sinister organisation, SMERSH, has been targeting the world's spies. This leads to Britain's greatest spy, Sir James Bond, coming out of retirement. As part of his plan to confuse the enemy he orders every agent, including the women, are to be referred to as James Bond 007! The operation progresses and one of these Bonds, Evelyn Tremble, faces SMERSH operative Le Chiffre in a game of baccarat in the titular Casino Royale. Ultimately the man behind SMERSH is exposed; which if any Bond will defeat him?I've been a fan of James Bond films since I first saw 'Dr No' on television as a child but somehow never got round to watching this '60s spoof. Given the cast I thought it was going to be rather fun... unfortunately it wasn't. There are some amusing moments but to be honest I think I laughed more at the wry humour of the official Bond films than at the silliness of this comedy. It is never subtle, always choosing silliness over wit. The numerous underdressed beautiful women may be easy on the eye but seem to be there to deflect from the films weaknesses. At over two hours in length it does drag a bit, several scenes could easily have been shortened or dropped altogether. I would be tempted to sum this up as 'Carry on James Bond' except for the fact that the Carry On team did that in 'Carry on Spying' three years previously... and their version was much funnier. Overall this certainly isn't a must see unless you have to see every Bond film.",Casino Royale
