,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Bad...just not as bad as you'd imagine based on those Razzies.,2,8 May 2016,"""Striptease"" is a multi-award winning picture. Unfortunately, these are Razzie Awards---awards given for god-awful films and performances. It received an amazing seven nominations and took home six awards--including Worst Movie and Worst Actress! This puts the film is a very unique league...as few films have been nominated or won like ""Striptease"". This alone is the reason I watched the film...I was curious how bad this bad movie could be.The film is about Erin, a divorced mother whose husband is a trashy criminal...yet we are to believe the judge game HIM custody. Regardless, this ex- made sure she lost her job and now she has been 'forced' to become a stripper. With no experience, she instantly becomes a star attraction and the men in the club go positively insane when she dances. During one of these times, a crazy congressman (Burt Reynolds) gets out of control and soon all sorts of unforeseen situations result.So is this really a bad film? But what's surprising is that it's basically an ultra-low budget trash film...or that's what it looks like. Yet, inexplicably, the movie had a HUGE budget--including $12,000,000 for its star, Demi Moore!! Why they chose her, I have no idea as her appearing semi-naked didn't help the film to become a success. Instead, they could have easily gotten a cut-rate stripper and saved a LOT of money. And I think this huge budget and big studio treatment for essentially a trash film is why it got so many Razzies. If it was just some cut-rate trash film, no one would have noticed it and the film would have quickly disappeared. The film suffers because it's a bizarro script that seldom makes sense, has characters who simply are caricatures instead of believable members of the human race and because the film cannot decide what it wants to be. Is it a comedy? Is it a raunchy film? Is it a drama about a mother trying to regain custody of her kid? Is it a murder mystery? Is it a film about politics and the abuse of power? Is it an episode of ""The Jerry Springer Show""? Any one of these might have worked...but together the film is just brain-achingingly weird and nonsensical--especially by the very end. Not bad enough to have earned 6 Razzies...but pretty bad.",Striptease
1,TheLittleSongbird,Sleaze tease,4,24 August 2018,"Was put off for a very long time from watching 'Striptease'. Not because of the negative critical reception, that it looked and sounded bad and the Razzie awards, but because many people and friends persuaded me not to give it a chance and said that it was as bad as its reputation. Have a vast majority of the time respected and trusted their opinions just in case one is wondering.Having however heard how good the book was, a large part of me was interested in reading it. Found the book to be brilliant, it is very funny, very clever and very insightful. Wanted to finally see how 'Striptease' as a film would fare so finally caved in and decided to give it a chance. Doing so, that it does not do the book justice is the least of its problems. Didn't find it quite as bad as its reputation, but can totally see the dislike and agree with a lot of criticisms directed at it. The flaws are many and they're big, but 'Striptease' is not without its moments.'Striptease's' biggest fault is the script, weak enough to have a near-paragraph of its own and bring the film down significantly. The satire isn't anywhere near close to being sharp enough, it is heavy-handed rather than insightful and in an attempt to pull punches it goes well overboard on the sleaze, the humour jars badly as well, is not placed well and is not funny generally. The characters are too much like caricatures and jar as much as the humour and how seriously the drama is taken, and the mystery/crime elements and the comedic elements are not harmonious together, instead feeling like two (or more) different films.The story is not much better, there is a lack of energy, the dance sequences are more gratuitously sleazy, it is more pure tack than sexy and the sentimentality gets far too much. Anything dramatic is lost amidst all of the script and story faults and undermined by the complete lack of mystery due to too many early reveals (i.e. the villain identities). Andrew Bergman has done some great work, his direction here is not representative of that, the story fails to interest or come alive and it all felt tonally unfocused. Demi Moore may look good, something that 'Striptease' exploits, but she looks uncomfortable and plays her challenging role too seriously, with her character also written too seriously and sticking out like a sore thumb with the rest. Robert Patrick overdoes it as his cartoonish character. As said however, 'Striptease' has moments. The best asset is most of the supporting cast, who seem to clearly know what film they're in and how to play the characters. Burt Reynolds in particular is a delight and seems to be having a ball. Ving Rhames is also great, classy fun without going over the top, the film is worth a one-time watch for those two alone.Howard Shore's score is pleasant enough and the songs fitting reasonably well, the only sour note on the soundtrack being the one from the Light Crust Doughboys that deservedly received a Razzie award, don't always agree with Razzie nominations and wins but they were spot on here. The production values were reasonably slick.Overall, not that bad but for a film with so many big problems that is not so big an endorsement. 4/10 Bethany Cox",Striptease
2,SnoopyStyle,"so bad, it's funny.... ?",4,26 November 2015,"Erin Grant (Demi Moore) loses her secretary job at the FBI due to her criminal former football star ex-husband Darrell (Robert Patrick) and loses custody of her daughter Angela (Rumer Willis) due to losing her job. She ends up stripping at the Eager Beaver trying to earn the money to appeal the decision. Congressman David Dilbeck (Burt Reynolds) becomes a big fan. Shad (Ving Rhames) is the bouncer. Her fan Jerry comes up with a scheme to use the congressman to get to the judge. Jerry is killed and police detective Al Garcia (Armand Assante) investigates.This is deliberately stupid and the characters are deliberately ridiculous. Yet Demi Moore is playing it completely serious which is the way that she's written. The movie is caught between a scary Lifetime movie and a wacky comedy. It is utterly unsustainable and none of it works. There are points where the movie is so bad that it borders on being funny. Mostly, it's cringe-worthy.",Striptease
3,Hitchcoc,Don't Bother,4,3 January 2017,"I was channel surfing and hit HBO and struck upon this movie. I remembered this movie being in the theaters and that the title was certainly provocative. I think Demi Moore is a pretty good actress (although she seems to have disappeared off the face of the earth) so I suppose she decided to be a rebel and show off. The plot is so ridiculous and the characters so shallow, that it's hard not to laugh at times that are supposed to be serious. I found Burt Reynold's character to look sort of sick. The struggle for custody certainly wouldn't be helped by her choice of employment. But mostly, instead of being a bad movie that had an element of naughtiness, it is just plain dull. This is the woman who played a really cool character in ""A Few Good Men.""",Striptease
4,classicsoncall,"""Do you have any idea how nuts this was?""",5,13 May 2021,"That's a quote by someone in the movie and not my comment on the film in my summary line above. But it just as well could be, because it's difficult to figure out what kind of film this was supposed to be. Some of it's played for laughs, while a lot of time is spent on Erin Grant's (Demi Moore) desire to get back custody of her daughter after an unsympathetic judge awarded same to her criminal husband (Robert Patrick). He's not even her ex-husband, which makes things all the more absurd, as he constantly tries to thwart Erin from spending time with her child. On top of all that, Grant becomes a stripper at the Eager Beaver to make ends meet, not exactly your best recipe when filing for a new motion.I'll say this though, Demi Moore makes for one seductive performer, and I'm a bit surprised at how daring her performance was in this film, given those scenes in which she bared almost all. I had to rewind that scene where she removed the towel from her head after taking a shower; I wonder how many takes that took to get it just right. Unfortunately, we never do get to see a creamed corn wrestling scene, and I thought it a little unsympathetic to take out a hit on Monty Python, but I guess that's the way things go in a movie with the title ""Striptease"".The most embarrassing performance here has to be that of Burt Reynolds as the demented Congressman David Dilbeck. He plays his character as a caricature, and I got the biggest kick out of a line by someone stating that he and his campaign manager (Paul Guilfoyle) 'had to go on Willie's orders'. Presumably Willie would have been President Bill Clinton, who had the appropriately applied nickname of Slick Willie by the press of the era. I couldn't think of a better way for this picture to end than to have all of Dilbeck's goons buried under a pile of sugar at the finale. Def Leppard would have been proud.",Striptease
5,jboothmillard,Striptease,4,21 September 2005,"Taking off her clothes was quite a popular thing, so somebody thought, why don't we get Demi Moore to do it throughout a whole film, and it happened, from director Andrew Bergman (Honeymoon in Vegas). The result a higher pay for Moore, more flesh than usually shown and a rather silly script/story. Anyway, Erin Grant (Razzie winning Moore) needs to get a job that earns a lot of money so she can have proper custody of her little girl, so she decides to become a stripper in a rather popular Las Vegas type club. She earns loads of money from using really good Annie Lennox songs and the power to dance and flash her flesh. Also starring Razzie nominated Burt Reynolds as Congressman David Dilbeck, Pulp Fiction's Ving Rhames as Shad and Terminator 2's Robert Patrick as Darrell Grant. Personally, it is only worth seeing for the nudity content. It won the Razzies for Worst Picture, Worst Original Song for ""Pussy, Pussy, Pussy (Whose Kitty Cat Are You?)"", Worst Screenplay and Worst Screen Couple for Moore and Reynolds. Okay!",Striptease
6,ccthemovieman-1,More Baloney Than Bare Facts,4,16 August 2006,"This soft-core glossy skin flick (which is what it is, if you're honest about it) actually was better than I anticipated. the story was interesting all the way through, featured some great female bodies of course, but had decent acting and photography. The nudity involved breasts, nothing else and there was no sex. Demi Moore looked awesome at times; too tough-looking at other times.Robert Patrick and Burt Reynolds played over-the-top characters who got a bit annoying after awhile. Reynolds is particularly sleazy and they use him in this film to denigrate elected officials and people who speak out for ""family values."" Hollywood loves to trash the latter, having no values of its own. They also trash Republicans and a group called ""Young Christians,"" just more typical cheap shots of the Libeal film-making industry. They are unrelenting.The only likable character in the movie is played by Armand Assante, although the film makes you root for Moore in her custody case.I understand the book is much. Gosh, that's a surprise!",Striptease
7,BA_Harrison,It's no Showgirls.,2,9 August 2016,"I can remember Striptease being sold to the public as the film where Demi Moore flashes her newly augmented cans, the A-list actress paid a whopping $12.5 million to play stripper Erin Grant, whose quest to gain custody of her little girl (played by Moore's real life daughter Rumer) lands her in deep water with a sleazy congressman (Burt Reynolds) and the shady businessmen who back him.If seeing a lot more of Moore is all you're after, then you'll be as happy as the proverbial pig, the muscular actress jiggling her jugs and bodybuilder's butt throughout, but anyone expecting anything remotely resembling a decent film will feel more than a little disappointed: the plot is as cheesy as hell, the characters are incredibly clichéd, and the comedy is embarrassingly bad.At least Moore made a tidy fortune out of this mess, but I imagine Burt Reynolds, Ving Rhames (as lovable bouncer Shad), Armand Assante (concerned cop Al Garcia) and Robert Patrick (Erin's low- life ex) made total idiots out of themselves for a lot less.",Striptease
8,moonspinner55,There must be a more painless way to see Demi Moore disrobe...,2,25 June 2006,"Shabby comedy-drama from Carl Hiaasen's novel has former-FBI clerk Demi Moore turning to stripping at the Eager Beaver in order to pay off her legal debts; seems she's in a fight to retrieve her child from her ex, yet the film doesn't see stripping as disreputable, thereby presenting Moore's Erin Grant as a hard-working heroine with a heart of gold for us to sympathize with. Director Andrew Bergman may have helmed this project blindfolded, how else to explain the sketchily-drawn characters, the ridiculous strip-club sequences or a dire subplot involving Congressman Burt Reynolds? Solid supporting turns by Armand Assante as a cop and Ving Rhames as a bouncer give the film its only validity. As for Moore, she isn't a bad actress, nor is she a stupid one, but the $12 million she acquired for her non-performance here seems like a joke on the audience--and on Hollywood. * from ****",Striptease
9,sunwarrior13,All About Demi Moore's Body,5,14 December 2011,"Striptease is about a stripper who becomes involved in both a child- custody dispute and corrupt politics.It is a sex comedy film directed, produced, and written by Andrew Bergman. The film stars Demi Moore, Burt Reynolds, and Ving Rhames. The film is based on the novel of the same name by Carl Hiaasen.The screenplay,based on a satirical novel, tells the story of Erin, who has just gotten a divorce from Darrell, the sleazy ex-con she foolishly married. However, the judge's memories of Darrell's days as a football hero win him custody of their daughter, and Erin, concerned for her child's safety, is determined to fight the decision. Erin has just lost her position as a secretary for the FBI, so, to cover her legal bills, she takes a job as an exotic dancer at a strip club called the Eager Beaver. While she has no experience taking off her clothes in front of an audience, Erin soon makes friends with the fellow dancers and finds a protector in the club's burly but good-hearted bouncer, Shad. She also makes a few fans among the regulars at the club, most notably David Dillbeck, a drunken lout with a bottomless appetite for sleaze -- who also happens to be a conservative congressman with ties to right-wing religious groups. One of Erin's admirers snaps a photo of her with the congressman when a brawl breaks out at the club, and he suggests that it would make fine blackmail material. However, when the man with the photo turns up dead, Erin discovers that Dillbeck's people play a bit rougher than she expected. This movie showcases nothing but Demi Moore's star appeal and sexy body.Nothing more.Andrew Bergman's screenplay and storyline was a complete mess.Personally,I do believe that this movie,Striptease together with G.I. Jane,practically placed Moore's stardom into a downhill and it never recovered since then.She could have been a better actress had she chosen better materials after attaining popularity in Ghost instead of going for the high paycheck that movie offers come her way that does nothing except use her star appeal rather than her showcase her acting ability.",Striptease
