,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Great cast and beautifully filmed, but I couldn't help thinking it could have been better",6,16 May 2011,"It's Complicated is a good movie in my opinion, but it isn't a great one. There are some undeniably good things though. The film looks absolutely beautiful with the scenery and location shooting striking and the photography capturing it wonderfully. The soundtrack is beguiling without being too overbearing or too low-key, and the direction is excellent. While I wasn't as taken with the script and story as much as I would've liked, both have their moments. When it comes to the story, the reaction of the kids when they found about their parents was especially surprisingly well-done, and there are several parts mostly in the final third where the writing is funny, quirky and touching. What really lifts It's Complicated is the cast. All three leads-Meryl Streep, Alec Baldwin and Steve Martin-do some of their better work in recent years here. Martin is probably the weakest of the three despite his character being the most likable, not because he is bad in fact he is very good, but because I would've loved to have seen more of him as it's the third act really where he and his character shines through. Streep is wonderfully infectious and bubbly, and Baldwin's persona here is less cynical and more sleazeball which works. John Krasinski also has some comedy gold moments without feeling too out of place. The characters on the surface in general are clichéd, but in general they are also likable. On the other hand, I didn't completely buy the ""happy"" ending and in all honesty I could see it coming from miles away. The story is unevenly paced too with some of the middle dragging and like the ending it is rather predictable. The script while funny, touching and quirky often does also have too many moments of clichés, corniness and dumbness, and the title I did find rather obvious but in regards to the latter it's probably me being picky. Overall, good but not great, it's lucky that the cast is as good as it is. 6/10 Bethany Cox",It's Complicated
1,SnoopyStyle,Love Triangle (old divorced edition),6,14 October 2013,"Jane Adler (Meryl Streep) is an unattached divorced successful businesswoman who's facing an empty nest situation. Her youngest Gabby (Zoe Kazan) is headed off to college. Her ex Jack (Alec Baldwin) has a trophy wife Agness (Lake Bell). Jane reconnects with her ex Jack, and then Adam Schaffer (Steve Martin) the architect working on her shop.I can admit that I'm not the target audience. I don't want to see Baldwin's bare butts. I don't find older women making sexual jokes that funny. It's cute, but not my cup of tea. I'm not a divorced older woman. Having said that, I still find some of it funny. The biggest appeal is the relationship with the kids and how the older couple's love affair affects them.I found Alec Baldwin annoyingly needy. Meryl Streep gives a sweet performance. But Steve Martin lack any spark. He tries so hard to be cool that he becomes cold. I just don't feel the heat between Streep and Martin.",It's Complicated
2,kosmasp,It is indeed complicated ...,7,12 May 2010,"The movie as it is, wouldn't have deserved more than 5/10 points (maybe 6). Which isn't really bad, but with the actors this elevates to a higher level. Meryl Streep and Alec Baldwin are really great in this and Krasinski, although he only has a small part, steals the show in almost all of his scenes. He is really funny in this and quite different from the character he is portraying in ""Away we go"" (a man we should be looking out for perhaps? Definitely!) You can see how much fun everyone has and although the story evolves exactly how would predict it will (after a few minutes into the film), the performances keep you interested. A fun and light movie, that shouldn't be taken too seriously and can be a nice watch for a couple (to be) ;o)",It's Complicated
3,jboothmillard,It's Complicated,8,12 September 2010,"From director Nancy Meyers (What Women Want, The Holiday), I saw a few short trailers for this romantic comedy, and besides the three leading stars, it looked like a film I'd probably like, so I tested that out. Basically successful bakery owner Jane (Golden Globe nominated Meryl Streep) has been divorced from lawyer ex-husband Jake Adler (BAFTA nominated Alec Baldwin) for ten years, after he ran off with and remarried with the younger Agness (Lake Bell). They are only brought together again to see the college graduation of their grown up son Luke (Hunter Parrish), and Jane has her friends saying she needs to reignite her sex life, and soon enough she does. Jake asks Jane to dinner to catch up on old times, but with the help of a little alcohol this quickly turns into a re-attraction for each other, and Jane has become ""the other woman"". Jane and Jake continue this affair that they feel isn't as wrong as most would be, but it does affect their personal lives, Jane with her grown up kids Luke, engaged Lauren (Caitlin Fitzgerald) and Gabby (Zoe Kazan), and Agness is having fertility tests. Jane's situation is made more difficult by the arrival of architect Adam Schaffer (Steve Martin) who is remodelling the house, and he is quite quickly smitten with Jane, and he himself is recovering from divorce. Of course Adam is unaware of Jane is up to, and is let down one or two times by her excuses, and Lauren's fiancée Harley (License to Wed's John Krasinski) is really shocked to see them going to hotel room together. After being stood up by Jake, who had to be around for Agness while she was doing her stuff, Jane decides to invite Adam to the graduation party for Luke, and she smokes the marijuana joint Jake gave her. Adam joins her, a jealous Jake has a quick puff as well, and the confronting Harley feels like he needs a puff too, and unfortunately seeing Jane and Jake dancing together, Agness finds out about them renewing closeness. Jane and Adam leave the party to go dancing and enjoy some handmade chocolate croissants in her bakery, and the next day Jake has been kicked out by Agness and needs somewhere to stay, so the kids are very keen for him to be let in. It is when Jake tries to both woo Jane with the laptop computer webcam still running to Adam that he and the kids find out about the affair, and Jane asks him to leave. After the kids, still recovering from the divorce, drive away from Jake, Jane reconciles with them so that they know she doesn't plan to get back with their father. The film ends with Jane and Jake ending the affair on friendly terms, and Adam has returned to carry on with the work on the house, and they walk in laughing together (a relationship blooming, who knows?). Also starring Being John Malkovich's Mary Kay Place as Joanne and Jingle All the Way's Rita Wilson as Trisha. Streep as usual is reliable as the both concerned and relishing ex-wife mistress, Baldwin is likable as the persuasive and slightly sleazy horny old dog ex-husband, and Martin gets his moments as the striving and optimistically doe-eyed nice guy. If it wasn't for them this film might not do as well, it is certainly a different kind of romantic comedy, seeing how the ones having an affair used to be in love anyway, it's definitely one to see. It was nominated the Golden Globes for Best Motion Picture - Musical or Comedy and Best Screenplay for Meyers. Very good!",It's Complicated
4,moonspinner55,Rich in production sheen...if nothing else,4,29 January 2012,"Middle-aged woman, un-kissed for many years, has an affair with her ex-husband, now married to a demanding bombshell, while also beginning a new relationship with her architect. Director and screenwriter Nancy Meyers doesn't come up with scenes--she writes situations. The plot of ""It's Complicated"" can be categorized by its events (always underscored with pop hits from the past); the characters are just writer's tools. Meryl Streep lets her hair down (and is appealing doing so), but this is the kind of undemanding, underwhelming movie she can do in her sleep. In the male roles, Alec Baldwin and Steve Martin take turns checking Meryl out, making her giggle, getting her drunk and stoned. It all goes down like an expensive dessert: creamy-smooth, fattening, and not at all good for you. ** from ****",It's Complicated
5,blanche-2,A good cast is better than its material,7,31 May 2010,"Kudos to writer/director Nancy Meyers for again hitting an untapped market - baby boomers and specifically women of a certain age, who remain invisible in Hollywood. In ""It's Complicated,"" Meryl Streep is a divorcée who drifts into an affair with her ex-husband (Alec Baldwin). Meanwhile, the man in charge of her house construction (Steve Martin) is attracted to her.For someone my own age, this film had some very enjoyable moments, and the music is just great. It's not a fabulous film, but a film with good scenes and very good performances. Streep, Baldwin, and Martin are all capable of handling stronger material. I would have loved to seen a funnier Martin (the scene where he's driving and listening to a ""get over your divorce"" tape is very funny). Baldwin, who has found a niche in comedy, is very good as Streep's immature ex-husband. Streep is her usual wonderful self.All in all, I'm glad I saw this on Movies on Demand and not in the theater. It's a good rental.",It's Complicated
6,Quinoa1984,"I enjoyed it, in spite of itself",5,3 January 2010,"During the interim between Sex and the City and Sex and the CityII in theaters, women 45 and up (give or take a few years) can all cloister together and indulge in Nancy Meyers' fantasy on a wacky infidelity rom-com. It's so wacky that one might suspect that, had it been made seventy years ago and Alec Baldwin's ass been out of frame (and the pot excised), it could easily be shown on TCM in morning slots during the week, the time of day one usually sees those romantic comedies (half-screwball, half-whatever) that concern relationships where not much is really wrong except the nature of perception. It's a fluffy little movie made for the libido left in middle-aged women, though I'm sure the movie will get (and has already gotten) many viewers of any sex or age - whether the men went willingly I have to just take a guess.The cast is hard to resist, and even if they were just riding around on tricycles and whistling Yankee Doodle Dandy for the whole running time we'd go see it for Streep, Baldwin, Martin, even Krasinski for some of us Office fans. It's about successful people with very nice homes (one of which, Streep's successful divorcée baker-CEO, needs even MORE bedroom and kitchen and so on, just in case she needs to get her Charles Foster Kane on), and how Streep and Baldwin's characters, divorced from each other for ten years, suddenly have a drunken night of sex, and then against (some of) their better judgment it continues when they go home to California. And then wackiness, of course, ensues when Martin, a very nice and sincere guy, falls for Streep, and she likes him too. What to do with all these men? Make croissants and smoke pot, of course.Like Something's Gotta Give, it's a very light affair with actors/stars that are hard to ignore how good they are (before it was Nicholson and Keaton, now Streep and Baldwin part of Meyer's stupid frivolity and sex jokes), but it's also hard to take it entirely too seriously. We see how conflict-free the relationship is between these two people, who have known each other and off-and-on loved each other since their 20's, and not once, until the sort of abrupt and predictable ending, do we see conflict erupt and the affair take a turn. But there's nothing really to see Streep's character have a problem with. She's almost too bubbly, an escapism icon that is hard to shrug off.... and yet, the movie is filled with some really funny moments, almost in spite of itself. Baldwin especially is having a great time in his liberated sort-of adulterer, and Martin gets his first genuine laughs in years (albeit in a silly pot-smoking scene that's like Cheech and Chong for dummies).It's glossy, it's nice, it's got a scene involving the three kids of the ex-couple stunned in bed as if ten years were just yesterday, and in the end everything is neat and tidy. And like any given Sex and the City episode (or for that matter the first movie), it's something I will likely forget entirely in a week or so. 5.5/10",It's Complicated
7,tavm,"Nancy Meyers' It's Complicated is a very worthy showcase for veterans Streep, Baldwin, and Martin",10,25 January 2010,"Just watched this romantic comedy written and directed by Nancy Meyers and starring Meryl Streep, Alec Baldwin, and Steve Martin. Streep and Baldwin are a divorced middle-aged couple who suddenly become involved again but secretly. Martin is a builder of Streep's upcoming cottage who finds he has feelings for her. The film takes its time in characterizations before some great hilarity ensures especially when future son-in-law John Krasinski finds out what's what. I loved recognizing many of the songs used in the soundtrack. It's also nice to see how the drama that ensues flows naturally near the conclusion. So for all that, It's Complicated is most definitely worth seeing.",It's Complicated
8,edwagreen,It's Complicated- Love After Divorce ***1/2,9,13 November 2010,"Wonderful romantic comedy where Meryl Streep, Steve Martin and Alec Baldwin really let their hair down!Love and understanding really begin here 10 years after divorcing with 3 children. Streep and Baldwin rekindle their love when they attend their youngest son's college graduation.Baldwin is apparently unhappily married. Imagine, the woman he married left him and had a child with another guy before returning to him. O well, this is the 21st century!When not romping around in this joyful film, Steve Martin shows a maturity that we have never seen before in any of his previous films.The film is a good one as it keeps you guessing who Streep will finally wind up with. Martin is the perfect foil as the architect building a home for Streep while falling for her at the same time.The film is definitely an attempt for Baldwin (Jacob Adler) and Jane (Streep) to ignite a spark that seemed to have gone out years before.Charming and sophisticated, this is a welcomed delight to the viewer.",It's Complicated
9,michaelRokeefe,Not complicated at all...a bit disappointing.,8,7 May 2010,"How can a movie starring Meryl Streep with Alec Baldwin fall a bit short? You just come to expect more; that's not saying IT'S COMPLICATED isn't a hoot to watch. It does have some very funny situations and truthfully this is the best I've ever seen Streep; she is so approachable as Jane Adler. Jane and Jake(Baldwin)have been divorced for ten years with three adult children. On the weekend of their son's graduation; Jane and Jake have a drunken fling that ends up being a tricky and secretive affair. My favorite sequence is when Jane and her architect(Steve Martin)get high on a pot-fueled date. Also in the cast: John Kranski, Zoe Kazan, Mary Kay Place, Rita Wilson and the beautiful Lake Bell.",It's Complicated
