,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Stupid but a few good laughs not enough,5,12 April 2014,"Bartleby Gaines (Justin Long) is a high school slacker schemer. He is rejected by every college. And his parents won't give him the college money so he comes up with a plan. He and various college reject friends start up their own fake college. Only the website is so real that all kind of people show up after being accepted. Now they have to fake a college for real.Justin Long is his jittery self. Jonah Hill is still fat at the time. Blake Lively is the hot dream girl. The premise is stupid stretched thin to insulting. There are a few good laughs, but it's not enough. The movie just runs out of gas.",Accepted
1,Prismark10,College Kids,5,5 October 2013,"I actually watched an advance preview of this film in Hollywood. I had to lie about my age to get in and pretend to be a few years younger than I actually was.So the film was aimed at the more younger market, the kids that liked the American Pie films although Accepted tries to be less raunchy and more cerebral. The main plot revolves around a group of wannabe college students who create their own fake college called the South Harmon Institute of Technology (SHIT) after being rejected from all the universities for which they applied to. Lewis Black, an unconventional teacher is roped in to act as the Dean whilst the Dean of a real college, played by Anthony Heald is their nemesis.The plot might be far-fetched but Justin Long and the leads have charm and likability. They are giving rejected students a chance to get further education and soon realise that they have a real college with real education to give. Lewis Black gives life lessons and although it lacks the bawdiness of the American Pie films, it is sporadically amusing and is amiable enough but not rip roaring funny.",Accepted
2,jboothmillard,Accepted,5,10 April 2010,"I instantly recognised the title, but I was a little mistaken about the cast, I thought Anna Faris was in it, but it doesn't matter, I was up for seeing it anyway. Basically Bartleby 'B' Gaines (Justin Long) is the young slacker who has applied for many colleges, and every single one have turned him down, to the irritation of his parents Jack (Mark Derwin) and Diane (Ann Cusack). So in a desperate attempt to get somewhere, he and his friends turn an abandoned mental institute building into a realistic looking college, to be called South Harmon Institute of Technology (notice the letters spell a rude word). Along with the letter of acception, a website and fake (and former) Dean Richard Van Horne (Anthony Heald), the parents are fooled into believing this fully functioning building is a real college. The only problem though is that the website they created was too good, and unfortunately hundreds of other rejected students have come knocking at the door expecting education. B and the guys do as best they can to get students to suggest lessons they want taught, while the mean dean of North Harmon is planning to extend their grounds. Eventually the wrong people find out the truth about South Harmon, and it turns into a court case to prove that it can survive and become a real college, I think it ended well. Also starring Superbad's Jonah Hill as Sherman Schrader, Blake Lively as Monica Moreland, Maria Thayer as Rory Thayer, Adam Herschman as Glen, Columbus Short as Daryl 'Hands' Holloway, Lewis Black as Ben Lewis and Hannah Marks as Lizzie Gaines. I can see what the critics where it goes into American Pie and Road Trip territory, but just misses Ferris Bueller kind of thing, but it is sustainable enough to be enjoyed. Worth watching!",Accepted
3,ComedyFan2010,I accept it!,8,13 November 2013,"A very good, refreshing and lighthearted comedy that has a good point.The movie is not realistic at all. There is no way in this world that somebody who didn't get accept anywhere would bother with creating a new school, there are other options after all such as community colleges and trade school, plus it would never work. But the thing is that movies don't have to be realistic. As long as they are fun and bring a message and this movie does it.It is not the usual college comedy. It isn't all about sex and profanity (not that I am against such kind of a comedy but it is always fun to see something different). It has a very positive and clever humor.The cast is great as well. I liked Justin Long, Jonah Hill and it was great to see Leis Black. Although since this movie is not R rated he couldn't be at his best. Actors who are not as well known as these three were also a good collection. Jeremy Howard especially stood out.And I liked the message of the movie. It criticizes the obsession with traditional education. Which is not the best for everybody and often takes away from people the ability of self discovery. It is also very bureaucratic and doesn't always make sense. Like when Monica (Black Liveley) who majors in photography says that she can't take classes that are not part of her major (even though they are about photography as well). This fake college offers that self discovery to students ho are very much outcasts of the society (there is a guy with ADD, a stripper a creepy guy etc). I think the only problem with the movie was that they really dumbed down the college program. Instead having classes like ""daydreaming"" which is a total nonsense they could have been more creative. They still could have things like skating or rock'n roll and no traditional math/chemistry etc classes, but they could have more useful creative ideas. Something like ""exploring the nature around you"", ""inventing of new recipes"" etc. etc.",Accepted
4,edwagreen,Accepted Should Be Rejected *,2,22 May 2008,"Inane, awful farce basically about a young man who refuses to conform or better uses non-conformity to attain his objectives-fool his parents into thinking that he is attending a college. Truth is that this jerk has been rejected by every school he has applied to. After viewing this junk, you will see why.What a ridiculous name- South Hampton Institute of Technology. You don't have to be a rocket scientist to figure out the initials of this school of nonsense. Problem with these type of films is that in the end, the non-conformist becomes the accepted mode.Let's step back to the world of reality and call this film what it really is- excessive manipulative junk!",Accepted
5,wes-connors,Premature Accreditation,5,2 May 2010,"After too many years in high school, likable Justin Long (as Bartleby ""B"" Gaines) still can't get accepted at college. So, he makes one up. Mr. Long calls it the ""South Harmon Institute of Technology"" - the acronym of which spells out every juvenile's second favorite four-letter word. This is the filmmakers' big fat joke, and they make absolutely sure it doesn't go over your head. The premise is clever enough - things get going when people are ""Accepted"" at the school due to the handy website created by Long's hefty pal Jonah Hill (as Sherman Schrader III). This inspires the friends to create their own college.Steve Pink's directorial debut isn't as good as watching Mickey Rooney and Judy Garland turn an ordinary barn into a Busby Berkeley showplace, but more fun than watching Jonathan Harris (as Dr. Smith) turn the ""Jupiter 2"" into a resort hotel while the Robinsons are off looking for rocket fuel. A few philosophizing professors like Lewis Black (as ""Uncle"" Ben Lewis) really exist. But, while likable in individual scenes, the characters have little collective camaraderie. And, the ""A.D.D."" student - Robin Lord Taylor amusing as ""Abernathy Darwin Dunlap"" - is handled better than the running ""S.H.I.T."" joke.***** Accepted (8/18/06) Steve Pink ~ Justin Long, Jonah Hill, Lewis Black, Blake Lively",Accepted
6,Scarecrow-88,Accepted,9,4 November 2016,"Look, the plot is preposterous and unrealistic but the film is so much fun it's charms won me over. Long is a likable lead, but honestly he's too cool to be portrayed as such a disregarded kid. I would watch him and how the film wants to create this downgraded high school kid who couldn't get into a decent college and is portrayed as such a loser...but he's got all these charismatic qualities that sort of challenge that perception of school invisibility where his character appears uncool and abandoned by the cliques that determine worth as a recognized figure amongst his peers. When Blake Lively takes to Long, it isn't the same as Montgomery going gaga for Carradine in Revenge of the Nerds. He seems like just the kind of guy who could appeal to her. Jonah Hill, still pre-stardom and on the heavier side at this point in his career, is the buddy of Long who is attending an ivy league school treating him like a fool. Lively is dating frat prick Travis Van Winkle who mistreats Hill, while Long, Columbus Short, Maria Thayer, and Adam Herschman join forces to start a fake college accepting all the kids not good enough for all the other schools. S.H.I.T (South Harmon School of Technology) becomes party central and all the college undesirables are happy go lucky, free to be themselves and get involved in building this college into something more than a place to crash on the parents' dime. Culinary, art, meditation, and this wall chalkboard that allows the students to comment on what they want from the collegiate experience become a starting place for the school to thrive. Stripper hotties wanting more, with one of them put in charge of school outfits, a vert ramp in the yard for skateboarding, a pool for the kids to swim, rock music, and this active and wild contingency of youth coming together as Long determines to corral them into achieving their own dreams outside of the traditional college curriculum. PG-13 rating pushed to the brink just by a game Lewis Black as this anti-establishment former teacher who speaks his mind, bluntly and profanely, lending a hand to Long and his crack team of friends out of their depth at the beginning. Van Winkle's pop (Anthony Heald) wants the land Long's school occupies (a leased dump: former mental hospital!) so he starts trouble. Eventually Long will have to deal with a board of accreditation in the hopes of legitimizing the school. Clearly this cast of talented performers shot from the hip a great deal and while the film is mostly commenting somewhat on academic inequality and voicing for a different kind of collegiate attitude for those students not recognized as worthy of schools limiting who deserves to be accepted, more often than not, there's some laughs to be had here. Could wind up being a college comedy cult classic. Mark Derwin, as the uptight and disappointed dad, and Ann Cusack, as the sorrowed mother, rebounding from their pain of their son's lack of success in getting in a college when the fake school tricks them into believing he was on his way becomes quite amusing as the ruse is more and more difficult to maintain. The students becoming enthralled with Black's ramblings, even giving him a standing ovation, tells what kind of comedy this is. This was a nice surprise.",Accepted
7,lastliberal,We'll be S.H.I.T. heads forever,6,6 January 2008,"Steve Pink had a small role in one of my favorite films, Grosse Pointe Blank, and that is enough to get me to check out his directorial debut. It was original and funny and the laughs just kept coming at you - and they didn't have to resort to scatological humor to keep it funny.Justin Long may have played in movies that I have ignored (Dodgeball and Anchorman), but he showed some real talent here as he tried to figure life out and stand up on his own two feet. Bravo.Jonah Hill was really funny as his BFF who wanted to be accepted, but just didn't fit until he realized that friendship is more important that prestige.Hannah Marks was funny in her small role, and Blake Lively was just plain hot.Where do I sign up?",Accepted
8,zardoz-13,Entertaining But Lightweight Fun,8,28 March 2010,"Before he helmed ""Hot Tub Time Machine,"" director Steve Pink called the shots on the funny but featherweight, $23-million dollar, PG-13-rated, collegiate comedy ""Accepted,"" with Justin Long, Jonah Hill and Adam Herschman. This is one of those 'beat the system' movies. Essentially, this movie ridicules higher education in America and the college ranking system. Mind you, as entertaining as ""Accepted"" is, this film ranks well below other collegiate comedies such as ""Animal House,"" ""PCU"", ""Old School,"" ""Revenge of the Nerds,"" ""Back to School,"" and ""National Lampoon's Van Wilder.""Bartleby Gaines (Justin Long of ""The Break Up"") knows how to navigate the system. The first time we encounter our wily protagonist, Bartleby is forging fake IDs for his high school friends. Ironically, one of Bartleby's classmates, Glen (Adam Herschman of ""Consumed""), is posing for his mug shot in a high school T-shirt. Naturally, Glen has no clue how contradictory the T-shirt makes him look in the context of the photo. Bartleby explains that such a shirt invalidates the ID, but Glen remains oblivious to this logic. Dismissing Glen's ignorance, Bartleby says that he fix photo in post-production. One of his closest friends, Sherman Schrader (Jonah Hill of ""Superbad""), slips into the room and warns Bartleby that Vice Principal Mathews (Tim Bagley of ""Happy, Texas"") is heading to the room. According to Sherman, Mathews sneaks into the room regularly to masturbate to pictures of women in a gym magazine. Hastily, Bartleby improvises so when Mathews enters the room, everybody there for a counterfeit ID made is rehearsing as a part of a glee club. When Mathews points out that the high school has not glee club, Bartleby makes veiled references to what the principal intends to do with the magazine and scares him off. Bartleby proves throughout the ""Accepted"" that he has the ability to rebound on short notice. Later, in similar predicaments, not only does this knack save Bartleby's bacon, but it also foreshadows his dealings with another academic prick. Sadly, Bartleby's gift for getting his butt out of a crack doesn't extend to making high grades.Unfortunately, Bartleby has no luck finding a college that will accept him. In fact, every college that he applies for turns him down. Unhappily, our hero resigns himself to a life without higher education. Bartleby's father, Jack Gaines (Mark Derwin of ""Dirty Deeds""), however, insists that his son attend a college because it is a part of life. Since he cannot matriculate, Bartleby creates his own college with his friends. They name it South Harmony Institute of Technology. This name makes for an amusing but scatological acronym and his best friend for life, Sherman designs a website to fool Bartleby's father. The guys take out a lease on an abandoned insane asylum, renovate it, slap a sign on it, and proceed to party like there is no tomorrow. Daryl 'Hands' Holloway (Columbus Short of ""Quarantine"") pulls the most outlandish stunt here when he carves a fertility statue that has a lengthy penis jutting out of it, while Glen takes charge of the culinary arts program. Basically, the students run the school. Later, during an accreditation hearing, this concept of students teaching the courses comes back to skewer them.Clearly, the metaphor about the inmates running the asylum is apt. Suddenly, teens flock to the college and Bartleby discovers that Sherman put a click button on the site that admits them automatically so our hero finds himself surrounded by every reject imaginable. Eventually, the dean of a nearby university, Dean Richard Van Horne (Anthony Heald of ""Silence of the Lambs""), who wants the property that the school is situated on, tries to sabotage the school. Clearly, this opus pits narrow-minded, buttoned-down, suit and tie traditionalists against the open-minded iconoclasts with predictable but entertaining consequences. Naturally, our free-wheeling college kids forget to obtain accreditation, and Van Horne has the authorities close the school down and charge Bartleby with fraud. Things, however, are far from over.Indeed, the Adam Cooper, Bill Collage, and Mark Perez screenplay follows the ""Animal House"" formula, but shuns nudity. If you're keeping count, they use the four-letter word for fecal matter over 50 times. The writers do create several interesting characters, especially one fellow who can wield his mind to explode things. Altogther, ""Accepted"" qualifies as a fast-moving farce that entertains. ""Accepted"" coined $10-million during its opening weekend.",Accepted
9,Calicodreamin,did you have to make the button clickable?!,7,10 April 2021,"One of my guilty pleasure movies, its funny, light hearted, and doesn't try too hard. Keep expectations low and enjoy a class at south harmon institute of technology.",Accepted
