,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Poorly-scripted drug trafficking drama,4,15 May 2016,"THE COUNSELLOR is an odd film from director Ridley Scott. While his direction remains exemplary and is difficult to fault, the script from novelist Cormac McCarthy (THE ROAD) is very poor and difficult to fathom. I don't think it's a good idea for novelists to attempt to write such scripts, because novels are nothing like screenplays and such films sometimes come across feeling false and too wordy. That's the case here.Although the plotting in this film isn't too convoluted, it's the dialogue that really drags this down and makes everything feel twice as long as it really takes. Everyone in here is some kind of moral philosopher, given to sitting down and spouting long treaties to the other characters. None of what they say is very interesting, and much of it is rather dull. Hollywood seems to have a real problem in making films about drug trafficking; like SAVAGES, this one misses the mark.The problem lies with the characters; there are a lot of them, often played by popular actors, but none are good. Michael Fassbender's lead feels extraneous in the story and is one-dimensional throughout. Cameron Diaz is miscast and really struggling, and Penelope Cruz is there for the glamour alone. The only one who comes out of it with his head held high is Brad Pitt, who makes things feel as effortless as ever. The rest of the cast seem to show up to do a scene and then disappear again for good. This isn't what film-making is about.",The Counselor
1,SnoopyStyle,characters with no compelling interest,5,23 April 2014,"The Counselor (Michael Fassbender) is a defense lawyer with questionable friends like Reiner (Javier Bardem). Reiner is a brash club owner living a lavish lifestyle and introduces the Counselor to drug trafficker Westray (Brad Pitt). The Counselor proposes to girlfriend Laura (Penélope Cruz). Reiner's woman Malkina (Cameron Diaz) is wild and outrageous. Meanwhile the drug cartel is transporting drugs in an old liquid waste tank truck. The Counselor has a client Ruth (Rosie Perez) in prison. Her son is connected to the drugs and he bails him out of a speeding ticket. Then things go terribly wrong.I don't know what Cormac McCarthy wrote but what director Ridley Scott put on the screen is a mess. None of the four main characters are compelling. Fassbender projects no emotions. Bardem is way over the top still with a bit of Bond villain in him. Diaz is at least interesting, but Cruz is lost in this innocent sweet character. Brad Pitt comes in for a nice cameo. The story feels disjointed. There are bits of great ideas dispersed throughout the movie. However the bits don't add up to a compelling movie. All the A-list stars step on each other. It needs a grittier dirtier style to make this realistic and exciting. The action comes in a little too late. And Fassbender's coolness works against him here.",The Counselor
2,Horst_In_Translation,"Great ingredients, but the meal isn't perfect",6,15 December 2013,"Probably nobody can argue that a film directed by Ridley Scott, written by Cormac McCarthy and starring Bardem, Cruz, Diaz, Fassbender and Pitt has all the potential to end up as one of the year's finest pieces of moviemaking. The result of the above is, among other things, smart dialog delivered convincingly. However, they also say that too many cooks spoil the broth. I'm not entirely certain if that proverb applies to this film as well. The biggest issue with ""The Counselor"" for me was the action. It all felt a bit too over the top and extreme, especially in terms of violence and sexuality. To some extent, it was certainly justified, but somehow often it also felt included to shock or arouse just for the sake of it.Sometimes it felt like a poor man's ""No Country for Old Men"", McCarthy's masterpiece so far. Just like in that one, it's also the smaller characters who leave a bit of an impact here, like Bruno Ganz as a diamond salesman, whose part I certainly wouldn't have minded bigger. Same goes for Dean Norris, who'd have been nice to watch in more than one scene, especially with his recent rise in popularity from ""Breaking Bad's"" superbly hyped final season. Pitt doesn't have much screen time either, but shines a lot during his one major scene and creates an interesting character who could deserve an own movie as well. Which is unlikely to happen though given ""The Counselor"" scored big neither with critics nor with audiences. Another interesting aspect was the connection between Fassbender and Cruz. They only have one scene together, right at the beginning, and even if that scene could have been hardly more intense, I'm not sure it was sufficient to make the viewer interested enough in Fassbender's struggles with possibly losing her throughout the entire movie. However, near the end, when things unfold and we hear the phone conversation. We are listening a certain kind of wisdom from the other end of the line just like Fassbender's character does. That was easily the emotional highlight of the film. In contrast to that, what I didn't really like was Cameron Diaz' character as a super secret agent always in control of everything. I'm not entirely certain if it was her or the way Malkina was written, but it didn't feel particularly credible to me that she was pulling the straws and being the only one sort of who made it out alive at the end. Also the whole motorbike helmet / mourning mother parts weren't executed half as convincingly as they could have been.I believe this movie ends up clearly weaker than what it aspired to be. It's not entirely bad though. If you look beyond the storyline getting a bit messy and confusing sometimes and just take it for what it is, a violent thriller with occasionally dark humor (my favorite ""funny"" scene was when we see a boy's head being severed and then it cuts right to one character sort of removing the head, the cork, of a champagne bottle), and don't look for a deeper meaning, you can have a decent time watching it. It certainly has its moments, especially dialog-wise and also action-wise, like Bardem's or Pitt's final scenes or of course Diaz' spectacular ""car ride"".",The Counselor
3,Prismark10,Cheetahs and diamonds,3,19 September 2014,"Cormac McCarthy is a distinguished novelist but his screenplay for The Counsellor is a mis-fire and the direction of Ridley Scott is off and not helped by the yellow grading which makes the picture look unappealing and even cheap.The film opens rather erotically with Michael Fassbender as the Counsellor and Penelope Cruz as his fiancée. As the film goes on you have lengthy scenes of people talking about life, philosophy, diamonds, poetry, sex, death and even torture. Some of it may even rebound on our characters later as if the writer and director wish to impart a connection but its just obvious signposting such as the contraption that strangles people or references to snuff videos.Anyhow with all this talking, various characters popping up for seemingly no reason a plot emerges and then suddenly The Counsellor along with Javier Bardem and Brad Pitt are all in danger from the Mexican Cartel. You might say the novelist has yet to figure out that writing a screenplay had a different skill set. There is little by way of exposition. The Counsellor is suddenly out of his league but he was never in the league in the first place.The actors are doing their best speaking their lines but its characters in search of a plot.",The Counselor
4,nogodnomasters,A CAUTIONARY DIAMOND,7,16 July 2018,"Michael Fassbender stars in the title role as a lawyer, who as far as I could tell his name was Counselor. He becomes engaged to Lara (Penélope Cruz) who is as pretty as she is naive. Reiner (Javier Bardem) is a rich friend who claims ""Women are an expensive hobby."" His girlfriend Malkina (Cameron Diaz) is extremely high maintenance and out of everyone's league. Counselor has a chance to make some big money when he meets a smooth talking, mutual friend, middle man Westray (Brad Pitt) who arranges for Counselor to finance a drug deal. Seems the biggest problem is going to be how to hide the money. Then in the blink of an eye, things go so wrong as now Counselor and Westray try not to star in a Latino snuff film.The production spends most of the time building up characters with smart dialog. When the twist happens, this changes the film from a clever drama into an action crime drama that needed better action and to last longer. The film seemed to go down hill at the very moment it should have rocketed. It is a well acted film which I enjoyed mostly for the build up. It just didn't bring it home like it should, clearly a weak screen play adaptation.Worth a view as a rental.Parental Guide: F-bomb. Sex. No nudity (Cameron Diaz side breast)",The Counselor
5,kosmasp,Expectations,8,14 June 2014,"I'm not sure what most people were expecting, but it's obvious the movie did not meet whatever that was. If you have so many big names in one movie, those expectations can get very heavy obviously. Still this movie is really good, just not on what some thought it promised them. I haven't seen the trailer yet, but I know those trailers can be deceiving as well as promoting something.The movie has a very philosophical strain and can be watched a couple of times. There is also a sexual tone that some might find disturbing (especially the car window thing, you'll know when you watch it), but it's all about dominance. And it's about life choices and planting things that you will for better or worse reap ... not everyones cup of tea, but a very strong movie nevertheless.",The Counselor
6,jboothmillard,The Counsellor,4,13 January 2021,"I became interested in this film because of its director Sir Ridley Scott (Alien, Blade Runner, Thelma & Louise, Gladiator, Thelma Martian) and the all-star cast, I think I saw some clips, so I was for it. Basically, a suave and prominent lawyer, known only as the Counsellor (Michael Fassbender), makes a living representing drug dealers and criminals. He is desperately in need of cash to pay off increasing debts. The Counsellor's friend Reiner (Javier Bardem) and his greedy former call-girl girlfriend Malkina (Cameron Diaz) discuss a nightclub they hope to buy and talk about an upcoming one-off deal that is worth millions. The Counsellor decides to enter the obscure world of drug trafficking, wanting to give his girlfriend Laura (Penélope Cruz), a lavish lifestyle. Laura has accepted the Counsellor's proposal of marriage, but she is unaware of his situation. Shady but established middleman Westray (Brad Pitt), a business associate of Reiner's, warns the Counsellor about becoming involved, saying that Mexican cartels packaging loads of cocaine are merciless. When the drug deal starts to go wrong, the Counsellor finds himself unprepared to deal with the fallout, and he has to protest his bride-to-be from the wrath of the cartel. Westray explains that the cartel's ruthlessness extends to creating ""snuff films"" where murder victims are filmed having necrophilia performed on them on camera. Reiner is accidentally killed by cartel members while they are attempting to capture him, and then they kidnap Laura. The Counsellor goes to Mexico, hoping to find and rescue Laura. But in his hotel room there, a package containing a DVD is slipped under the door, and he breaks down, aware that it is likely to be from the cartel and contains a snuff film of Laura. In an unnamed location, Laura's headless body is thrown into a landfill site. Malkina tried and failed to steal the drugs herself, without success. But she tracks Westray to London, where she hires a Blonde woman (Game of Thrones' Natalie Dormer) to seduce him in order to steal his bank codes. She then has accomplices steal Westray's laptop and he is killed. It ends withy Malkina meeting her Banker (Goran Visnjic) at a restaurant, coolly explaining how she wants her profits and accounts to be handled. Also starring Breaking Bad's Dean Norris as Buyer, Rosie Perez as Ruth, Bruno Ganz as Diamond Dealer, Toby Kebbell as Tony, Emma Rigby as Tony's Girlfriend, Edgar Ramírez Edgar Ramírez as Priest, Donna Air as Chauffeur, and John Leguizamo as Coverall Man Randy. Fassbender is reasonable as the unnamed title character, Bardem is interesting with his afro-like hairstyle being shady, I felt like Pitt could have done more, and Diaz stands out as the manipulative, predatory, cheetah-owning, tattooed, former prostitute crook's girlfriend. It is let by a slightly silly script, with only memorable characters and performances making an impact, you are almost left to fill in the blanks. It was hard for me to follow most of the time, apart from the obvious bits, including violent encounters and dodgy dealings, but to be honest, I got a little bored, but for those few moments that did get my attention, it is an alright crime thriller. Okay!",The Counselor
7,rmax304823,This Is Drugs On Your Brain.,7,16 February 2015,"I was able to watch only about an hour of this, so these remarks are qualified.My TV Guide gave this production only two stars. I don't know why. The story is simple enough at the start. The eponymous counselor is Michael Fassbinder, who looks the part of a whitebread lawyer. He's engaged and truly in love with Penelope Cruz, a state for which he can't be faulted.A Mexican acquaintance, Javier Bardem, almost unrecognizable with a Halloween hair do, talks Fassbinder into a deal with drugs, and refers him to Brad Pitt as a middleman who arranges the smuggling from Mexico to Estados Unitos inside some kind of ugly tanker truck.Bardem's girl friend is Cameron Diaz, who is unpredictable and odd. And that minimizes her unusual properties. Rosie Perez is one of Fassbinder's clients, now in the slams, who asks him to do her a favor and get her son out of jail. He was arrested for the minor charge of speeding on his motorcycle. Fassbinder does as she asks, not knowing that the son is speeding around and carrying secret tech equipment at the behest of the drug cartel.Then it begins to get complicated, and then I was called away, by Morpheus.It's from a novel by Cormac McCarthy and directed by Ridley Scott. And the writing and direction are well above average. The dialog has some real sparkle in it, just elliptical enough to be convincing as drug-running argot.Fassbinder, as I say, looks straight and earnest. It's too bad that the deal apparently doesn't work out well for him. And Brad Pitt is convincing as the savvy intermediary who warns Fassbinder, as Mickey O'Rourke warned another lawyer in ""Body Heat,"" ""Don't do it, counselor."" Penelope Cruz is lovey-dovey and Cameron Diaz is properly sinister. There is a hilarious scene in which Bardem describes an incident in his car with Diaz. She's going to ""**** my car."" So Diaz gets out, removes her underpants, hops on the hood, and gets off by rubbing up and down on the windshield before Bardem's goggling eyes.Barden tries to capture the picture by comparing it to a catfish or something, one of those fish that glues itself to the glass in an aquarium and sucks its way up and down. ""She got in the car and asked what I thought, and I said it was too gynecological to be sexy."" But why, then, does Bardem still love her. He doesn't know. Maybe he's ""in love with easeful death."" (That quote is from Keat's ""Ode to a Nightingale."") But I understand it ends tragically and, as in Hamlet, everyone winds up mincemeat. Judging from what I saw, if it's a tragedy, it's well above the usual garbage that graces our screens these days. ""Saw IV"" is a tragedy too.",The Counselor
8,blanche-2,breaking real bad,4,25 September 2014,"A true A cast - Michael Fassbender, Javier Bardem, Penelope Cruz, and Cameron Diaz, Bruno Ganz and Brad Pitt(!) star in ""The Counselor"" a 2013 Ridley Scott film. I mean, you just can't get any better than that.It just goes to show you that you can have have the world's biggest budget, the biggest stars, the biggest director, a property based on a top-notch book and produce a total disaster.Michael Fassbender plays The Counselor, who is in love with the beautiful Laura (Cruz), so much so that he asks her to marry him. He seems like a decent guy, but when it comes to a point that he needs money, he stupidly gets involved in drug trafficking. He's warned against it by a friend (Bardem) who is involved, and he's warned off by another player (Pitt), but he's in.I'll start with this, and I know it's a ridiculous question -- is there anyone anywhere in the world that doesn't know what drug traffickers do to people whom they suspect of cheating them, or screwing up? Can it be possible that this man lives in a world where there was no ""Breaking Bad""? First of all, in my life I've never heard dialogue like this. AWFUL. I don't even know how anyone spoke it without laughing. At the end of the film, two characters have a dialogue -- well, one does all the talking: ""The extinction of all reality is a concept no resignation can encompass. And then, all the grand designs and all the grand plans will be finally exposed and revealed for what they are."" And this guy's native language wasn't even English. What claptrap.And the plot. Sketchy, as if most of the story was left out. If only it had been.So what are we left with? Eroticism, which is fine but just kind of thrown in there; visual horror, which was disgusting and gross; and no attachment to the characters. Plenty of horror was to be found in ""Breaking Bad,"" but it was a compelling story with fascinating characters.The actual story is quite interesting but badly handled. I won't bother talking about the acting since these poor people had enough problems.I look around this site and I see that some people thought this was a really good film. I am going to bet that a good 95% of them, if not more, are men. And why not -- gorgeous Penelope Cruz, gorgeous Cameron Diaz, lots of leg, some sex. And for this they assembled a big, important cast and spent $25 million. And flopped. Given what's been going on in the world lately, not the film to see. I can watch this type of thing on underground news shows.",The Counselor
9,Quinoa1984,"A one-time deal, right?",6,7 November 2014,"And now we turn to the Wheel of Morality! Wheel of Morality, turn turn turn, tell us the lesson that we should learn: morale number 666: and the moral of the story is... never keep dating a woman who (bleeps) your windshield spread eagle! Oh, and its both, paradoxically, one of Scott's most wonderfully directed films - in looking at how actors emote in a scene or move around or the camera goes about its business it's fine - and one of the most haphazardly written. McCarthy's script (at least the theatrical cut, I haven't got around to the extended one) feels like a first draft of a script that needed one to ten more rewrites, which I have to wonder Scott bothered to commission. Or maybe I'm wrong and they went about like Hollywood Jean Luc Godards (and I get that contradiction) making overloaded philosophical musings make sense in a story that is rather simple.And its a shame since the dialog is fine, usually, perhaps some of the exchanges are natural and give the actors (especially Bardem but maybe Fassbender too, Diaz is both great and terrible) something to play with. What it comes down to are large portions of the story that feel either cut out or too obtuse (is it deliberate?) to really matter much. Only in the couple of interesting (and graphic) plants and payoffs does McCarthy shine as a writer, NOT stopping a scene to have a character spout babble.In other words, if you're looking for Cameron Diaz squirting all over glass, this is the movie for you! But its another movie, and this is a weird comparison, like Man of Steel or the Lone Ranger from this year where you can see talented storytellers, occasionally firing on all cylinders, and... dramatically speaking, they get their heads up their asses.",The Counselor
