,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,compelling father daughter relationship,7,13 October 2018,Single dad Will (Ben Foster) and his teenage daughter Tom (Thomasin Harcourt McKenzie) live off the grid in a public forest in Oregon. He is a former soldier haunted by war. They are found by the police and social services put them into a home on a tree farm. He is uneased by the demands of normal society and he takes her into the woods again.Ben Foster has his quiet intensity. McKenzie is solid as a compelling teen. I would have liked a more intense build up at the tree farm leading to a big climax. It's still a very compelling father daughter relationship. It's a good character study movie. It's reminiscent of other Into the Wild movies although it doesn't have the survival drama. The most dramatic section happens in social services.,Leave No Trace
1,Hitchcoc,It Just Takes You Along for the Ride,9,1 March 2019,"This is a slice of life with two figures making their way. The father and daughter love each other, but he has all the power because of his experience. She is making her way and has never questioned her father's motivations. We never get to know those. Granted, we can guess. Society is not for him. Is he a true survivalist? Is he a bit off his rocker? Is he just born to the earth in a time when someone always owns that earth? The movement from place to place, with charitable looking out for them, makes it much harder. If they were beset by evil motives from others, it would be a lot easier to understand. The girl is wishing for some comfort and begins to doubt where this will all play out. It is a really unique movie, to say the least.",Leave No Trace
2,kosmasp,Family matters (how much though?),9,26 August 2020,"Talk about a slow burner. When the movie started I had no idea why we were where we where or what the movie would ultimately be about. Now that became apparent (family, growing up, unable of letting things go, society and so much more), but where we where or where this would lead to? Much harder to pinpoint or predict.Great acting overall. But as the subject matter is difficult, you can understand that this won't be easy to get a wide audience. Having said that, if you are into that low drama, that character building world that this builds on... you'll have a lot of fun with this. Well fun might be the wrong word, but you'll enjoy watching this - again, I think you know what I mean. And the ending is almost poetic and inevitable ... if you shed a tear or two it is only human. Not that one would call it sad necessarily - the opposite might be true depending on your own worldview",Leave No Trace
3,jboothmillard,Leave No Trace,7,20 May 2019,"Film critic Mark Kermode was saying this was his most favourite film of last year, one of those films where you don't hear characters explaining things as it goes along, I'd heard many good things about it, so I was looking forward to it, written and directed by Debra Granik (Winter's Bone). Basically Will (Ben Foster), an Iraq War veteran suffering from PTSD (posttraumatic stress disorder), lives with his thirteen-year-old daughter Tom (Thomasin Harcourt McKenzie) in a public park in Portland, Oregon. They live in isolation, only entering town occasionally for food and supplies, and Will makes money by selling his painkillers issued by the VHA (Veterans Health Administration) to other veterans. One day, Tom is spotted in the woods by a jogger, and a short time later police surround them, officers arrest them and place them into social services. They are given food and a house on a Christmas tree farm in rural Oregon, on the condition that Will follows the rules of the homeowner and social services. Will begrudgingly starts work packaging trees but is traumatized by the helicopters used to move them. Tom connects with a boy who is building his own tiny house and seems to be relaxing in their new environment. But she reluctantly follows her father who wants to leave, he tells her that they would have been separated if they didn't conform. Will and Tom hitch a ride with a long-haul trucker (Art Hickman) north to the edge of trackless woods. They bushwhack hoping to find an unoccupied cabin, but it is getting dark and cold, they are forced to build a makeshift tent to survive the night. The next day, they find a vacant cabin and move in. Will leaves to find food but does not return before dark. The next morning, Tom searches for Will and discovers him unconscious at the bottom of a hill, she finds some locals who take them to their mobile home community. Will refuses to be taken to a hospital, so local woman Dale (Dale Dickey) calls her friend, a former Army medic (and fellow PTSD sufferer), who treats Will's leg and lends him his dog from the service. Will and Tom stay in the community while Will's injuries heal. Tom likes their new home, but eventually Will insists they leave. But Tom protests, saying ""the same thing that's wrong with you isn't wrong with me."" They leave the community together, but Tom stops in the forest, Will realises his daughter can no longer live the life he wants to. They tearfully hug, and part ways, Tom returns to the community, while Will returns to the woods, it is unclear if they will ever reunite. Also starring Jeff Kober as Mr. Walters, Dana Millican as Jean Bauer and Alyssa McKay as Valerie. Foster gives a good performance as the shattered and haunted ex-soldier, and McKenzie is a talent-to-watch as the young girl who is struggling to follow her father. It is a simple premise, a father and daughter living off the grid, a simple mistake and chance encounter changes everything, they are on the run, the daughter wants to remain in one place, while the father wants to keep going, it has good coming-of-age and back-to-nature themes, and the performances of the two leads are fantastic, overall it is a simplistic and interesting drama. Very good!",Leave No Trace
4,george.schmidt,Foster and McKenzie deliver Oscar worthy performances. One of the year's best films.,10,4 July 2018,"LEAVE NO TRACE (2018) **** Ben Foster, Thomasin McKenzie, Dana Millican, Jeff Kober, Dale Dickey. Excellent drama about a father/daughter relationship on the fringes of society with Foster and McKenzie delivering Oscar worthy performances as a damaged veteran and his coming of age daughter who both seek to make their family work at any costs. Filmmaker Debra Granik, who co-adapted the screenplay with Anne Rosellini based on Peter Rock's novel ""My Abandonment"", elicits heartfelt performances, tough choices and matter-of-fact reality of how inhumanity to man is perhaps the greatest sin. One of the year's best films.",Leave No Trace
5,evanston_dad,"The Anti-""Captain Fantastic""",8,14 December 2018,"For those of you who are still trying to wash the dreadful taste of ""Captain Fantastic"" out of your mouths, I might suggest giving ""Leave No Trace"" a try.Both are films about dads who decide to live off the grid and take their children with them. But whereas ""Captain Fantastic"" was a glib, smug, and simplistic middle finger to ""The Man,"" ""Leave No Trace"" is quiet, thoughtful, and compassionate. But most importantly, the child in ""Leave No Trace"" exists as a full-bodied human being comprised of equal parts loyalty and personal will, rather than the robotic ciphers that were the children in ""Captain Fantastic.""The always reliable Ben Foster plays the dad, a veteran suffering from PTSD who has lost the ability or interest -- or both -- in functioning within the confines of American society. He and his daughter, played in an excellent breakout performance by a young actress named Thomasin McKenzie, are living as nomads in an Oregon state park when the movie opens, but are arrested and funneled into social services. The dad can't cope and wants to continue their transient existence, but the daughter likes the taste of normalcy she gets and begins to assert her own needs and demands. The film is sympathetic to the plight of homeless Americans in general and homeless veterans in particular, but it's also careful to depict the services in place to help them as well meaning and kind as well. This film is not a diatribe against selling out to bourgeois America, but rather a character study about two people who have very different ideas about how to assimilate to a world that can at different times seem both welcoming and hostile.Director Debra Granik brought us ""Winter's Bone,"" another somber film about people living on the fringes. But unlike that film, the world portrayed in ""Leave No Trace"" is much kinder. The two main characters find no end of people who are willing to help in both small and big ways; it's their own limitations and reservations that get in the way.I've read lots of user reviews of this movie that complain about how unrealistic it is that the film is full of so many compassionate people. How depressing that so many think this way, and it makes me wonder where they live and what their lives are like. Because this movie resembles the America I actually experience on a day to day basis much more than it does the America I see coming at me from the news and social media -- an America full of basically decent people who don't want trouble but who are willing to lend a hand where they can.Grade: A",Leave No Trace
6,ferguson-6,"doing your job, saying goodbye",7,5 January 2019,"Greetings again from the darkness. It seems like many more than 8 years have passed since filmmaker Debra Granik's outstanding film WINTER'S BONE exploded onto the indie scene and introduced most of us to Jennifer Lawrence (although she had been acting for 5 years prior). The talented Ms. Granik has chosen to adapt another book as her feature film follow-up, and once again nature and an independent spirit play a key role. Based on the novel ""My Abandonment"" by Peter Rock, it's the story of a father and daughter who live off the grid ... until society catches up to them.Ben Foster (always exceptional) plays Will, a war veteran and father to Tom, his teenage daughter played brilliantly by Thomasin McKenzie. The two live off the grid in the forests outside of Portland. An extended opening sequence with very little dialogue shows us their daily life: capturing rain water, cutting trees for firewood, hiding their camp site, and drilling on making themselves 'disappear' in the foliage. It's in these scenes where cinematographer Michael McDonough shines. His camera work allows us to feel as if we are in the damp forest as the sun rays peek through the trees. It's a beautiful sight despite our uneasiness towards the father-daughter situation.When Park Rangers discover them, the two enter the Social Services system, but rather than treat us to yet another uncaring and incompetent bureaucracy, director Granik allows human kindness and reasonableness to play its part. Will and Tom are moved onto a farm where she will enroll in school and he will work on a Christmas tree farm. Of course, we know that Will is not cut out for this life, though we begin to see Tom show signs of true independence and her own dreams.They make their way back into the woods and an injury - and more human kindness - has them end up in a camp with other outliers. The story really captures the conflict between a society that is obligated to educate and protect children, and the same society that has little clue how to assist veterans of war. We see folks who just want to be left alone, and others who maybe can't fit in to society - or have no interest in trying.Supporting work is provided by Dana Millican, the great Dale Dickey, and Isiah Stone (one of the kids from WINTER'S BONE). There is a believability here rarely seen on the big screen, and the love between father and daughter is something to behold. Ms. Granik says so much by saying very little, but what could be such a bleak story actually revels in the kindness to fellow man - the type of kindness which seems all too rare these days.",Leave No Trace
7,bombersflyup,Good film.,8,13 January 2019,"Leave No Trace is a unique piece of cinema, with a terrific performance from young Thomasin McKenzie.The film stays in its space, without any lofty ambition, but one of the better films in 2018 from what I've seen. The outlook's through rose-tinted glasses so to speak though.",Leave No Trace
8,phd_travel,"Selfish Dad, sweet daughter",5,2 February 2019,This selfish Dad an ex soldier with PTSD keeps his daughter in the forest with him because he can't live in society.A certain voyeuristic quality keeps the viewer interested in how the cope and touchingly rely on the kindness of strangers. The good natured daughter is sweet and it's quite touching at times.Ok for one watch.,Leave No Trace
9,christopher-underwood,how free do I want to be?,10,19 October 2020,"Excellent and unusual film set in and around the forests of Portland, Oregon. We are immediately drawn in with beautifully measured shots of the forest in both long shot and extreme close-up. The sun shines and the leaves and trees and spiders' webs attract and imbue a feeling of wellbeing. I would not say that this peace is shattered because although we are gradually shown both the good and bad of living in the wild, this is a truly nuanced piece. Everything that happens brings questions, both for the father and daughter portrayed and also us as viewers. Freedom may just be another word for nothing less to lose but can seem vital and is that willing helper likely to change the course of my life? And is that good or bad or something in-between. All life is here, as they say, even though basically we have just the two and their various encounters with nature, the rangers or fellow travellers along the way. Solid performance from Ben Foster and remarkably effective one from young Thomasin McKenzie means that from start to finish and throughout each interaction we, as well as they, are hopeful, fearful and always wary. Will this action change me and should I change or can I remain free and how free do I want to be?",Leave No Trace
10,blanbrn,"Going against the grain and living one's own way, still connection and love win.",7,19 March 2019,"""Leave No Trace"" is one of those movies as you watch you feel connection and see how some just live their own way with love and doing the best they can. The story is of Will(Ben Foster) a dad who along with his teenage daughter Tom who for years have been living off the outskirts and forests lands of Portland, Oregon seem very happy. All of a sudden their life of wilderness and peace is changed and shattered when both are put into a service type program of new housing and new ways and means to live. The new surroundings are a big change as slowly yet surely a process and journey back to their peaceful homeland begins. Overall good film of connection and it's touching with love and emotions of father and daughter love proving that bonding last forever.",Leave No Trace
11,Hellmant,There was definitely no better place to film it (obviously) than Portland.,9,13 July 2018,"'LEAVE NO TRACE': Four and a Half Stars (Out of Five)The new critically acclaimed indie drama filmed in Portland, Oregon, and based on the 2009 book 'My Abandonment', by Peter Rock. It's about a father and teenage daughter that have been living off the grid in the forests of Portland, OR, for several years, when an accident suddenly forces them back into society. The film was directed by Debra Granik, and it was written by Granik and Anne Rosellini (the same duo also performed the same duties' on 2010's fantastic 'WINTER'S BONE'). The movie stars Ben Foster and Thomasin McKenzie. It's received unanimous rave reviews from critics so far, and it's now playing in select indie theaters, like Portland, OR.. I found it to be a really well made, interesting and touching film!Will (Foster) had been living his dream life, with his teenage daughter Tom (McKenzie), in the forests of Portland, Oregon. The two had been living off the grid, and under no one's rules or guidelines but their own, for several years. Then an accident causes them to both be discovered by the police, and they're put into social services for the first time. The two are of course not happy or comfortable at all in their new surroundings, and they begin a desperate attempt to make their way back home (to the wild). The movie is beautifully shot, and there was definitely no better place to film it (obviously) than Portland. It's also a great story, with two very likable characters. Foster gives one of the best performances of his career, in my opinion, and McKenzie is absolutely amazing for such a young and inexperienced actor (reminiscent of when Granik showed us Jennifer Lawrence's amazing talents for the first time, in 'WINTER'S BONE'). I highly recommend this movie.",Leave No Trace
12,MOscarbradley,One of the all-time great father/daughter movies.,10,25 August 2019,"Homelessness takes on a whole new meaning in Debra Granik's magnificent new film ""Leave No Trace"". Ben Foster and Thomasin McKenzie are brilliant as a father and his teenage daughter who choose to live wild in the woods until one day they are found and forced to conform. I mean, who would want to live as a modern day Thoreau when you can have a nice new modern home? Based on Peter Rock's novel 'My Abandonment' this is a film of real intelligence and insight, not afraid to be funny when it needs to be but also deeply moving, both a character study and a picture of an America we rarely see. It's like a Malick movie but one that moves with a somewhat greater speed and with none of the pretentious we sometimes associate with Malick. Indeed this is one of the most heartfelt films I have seen in a very long time and one of the greatest father/daughter movies in all of American cinema. Beautifully written, directed and acted down to the smallest part it's the kind of film that really deserves a mass audience and a fistful of awards.",Leave No Trace
13,Pjtaylor-96-138044,"Remarkably unpredictable and, essentially, exposition-less; an affecting and engaging picture.",8,30 June 2018,"'Leave No Trace (2018)' is, remarkably, never predictable or on-the-nose. Instead, it soon settles into its own slow rhythm to provide an experience that's refreshing in its ability to show instead of tell. Often, it refrains from saying anything at all, especially during the moments in which it actually speaks volumes. This is a technique - or, rather, way of thinking - it uses to cut to the heart of its scenes and provide some incredibly raw emotional beats. Even in its 'loudest' of moments, it feels marvellously gentle and is brought to life with a steady, self-assured hand. The film is extremely engaging and has an astute ability to render its core relationship with a wonderfully tender realism, examining its father and daughter duo - as well as the former's traumatic background and scarred mental-state - brilliantly and not always blatantly. This, again, plays into its pretty much perfect 'show, don't tell' mentality and allows you to piece together what's going on behind our core players' eyes. It allows for an empathetic and emotive picture that impacts you in essentially every sequence, especially those towards its devastating yet somewhat inevitable end. Overall, the movie is actually highly enjoyable, and affecting, because of this emotional impact. 8/10",Leave No Trace
14,ThomasDrufke,What is Home?,8,2 August 2018,"Perhaps no other film in 2018 has exemplified true human emotion like Leave no Trace. It's immensely impressive how well director Debra Granik manages to make these characters feel like real people, even if you don't know anyone who lives out in the woods full time. I mean really, the location isn't necessarily important, what's important is that they have a home and that home was taken from them while another home is forced upon them. That's essentially the central part of the film, what's home to you may not be home to everyone. Ben Foster is unsurprisingly brilliant as is his daughter in the film, Thomasin McKenzie, who most certainly draws comparisons to Jennifer Lawrence (another Granik alum). Incredibly powerful and impeccably visceral, Leave no Trace is undoubtedly a film that will leave a trace come Oscar season.8.0/10",Leave No Trace
