,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Animal House redux,3,3 July 2014,"Zac Efron's relentless drive to get away from his Disney image took a quantum leap with this ode to Animal House film Neighbors. I'm not sure he'll like the direction. Neighbors is a witless and rather gross comedy about a married couple with their baby who have the misfortune to have a fraternity headed by Efron and his best friend Dave Franco. Seth Rogen and Rose Byrne play the couple and they for reasons I haven't figured out yet want to be seen as hip and cool to the frat boys. But when after one of their parties gets way out of hand war gets declared.Animal House wasn't all that much better, but at least it never pretended to be anything but what it was. I can't say that for Neighbors. I feel bad for Efron who gave such a great performance in Charlie St. Cloud.Sights of Efron and the other hunky lads in various states of undress should titillate the audience of teen girls and gay men. Efron really bulked up for the role.I hope something better comes along for you Zac.",Neighbors
1,SnoopyStyle,Fun chemistry and love all the characters but missing a bad guy,7,21 December 2014,"Kelly (Rose Byrne) and Mac Radner (Seth Rogen) are a young couple with a baby. They still want to be in their irresponsible youth. Their couple friends Jimmy Blevins (Ike Barinholtz) and Paula Faldt (Carla Gallo) are divorced and even more irresponsible. A college fraternity moves in next door. Teddy Sanders (Zac Efron) is the President, and Pete Regazolli (Dave Franco) is his right hand man. At first, everybody tries to get along despite the loud late night parties. Mac promises not to call the cops. However he soon breaks his promise and it's war.I love the pairing of Rose Byrne and Seth Rogen. She is almost as inappropriate and stupid as he is. That's the great thing about this pair. They have a hilarious scene about Kevin James. That scene is the essence of this marriage. I like everybody at the frat. Both Zac Efron and Dave Franco are solid. This movie is missing the edge or the tension that a great bad guy provides. Zac's likability counters any conflict the two sides have. He doesn't have to be the bad guy but somebody should be. The tension is never high but this is a funny movie.",Neighbors
2,Horst_In_Translation,Old people vs. young people,6,3 June 2015,"This is a one-year-old comedy movie from 2014 starring Seth Rogen, Rose Byrne and Zac Efron. A group of fraternity students moves in next to a young family and while the two try to get along initially, it becomes quite a confrontation as the film goes on due to the young guys' constant noise and partying. The film is 90 minutes long (without credits) and the MVP here for me is Rose Byrne (even if she is not on the poster), who shows a prime example performance of how hot women/actresses can also play funny characters. She also got the most awards recognition from the trio. This film was one of the big players at the last MTV Movie awards and took home wins there too. Sometimes the film is funny (like the airbag parts), sometimes not that much. Rogen does a decent job too, Efron was fairly forgettable and he seemed more evil throughout the film than his character asked for. I guess there is a reason why he is only starring in films with the lesser known Franco brother and not the Oscar-nominated James.The film's director is fairly experienced, worked on several known films in the past already, but the writer team really isn't that prolific (yet). Taking that into account, they did a very fine job here. I believe this is one of the best written comedy movies from last year and I'm looking forward to their next projects. Taking into account how the two have been working together for years, I am fairly certain, there will be a lot more to come in the next years. One of the best parts of this film was that they kept the dramatic moments (protagonists splitting up, a college professor getting severely injured...) really funny too, so this would not become too heavy and actually it took the 100% comedy path and that was the perfect decision. The only scene that I did not like that much was Efron's and Rogen's characters talking like buddies in the end after all that happened before. I didn't find it realistic, even if several months had passed. Minor criticism only and I recommend watching this film. Good job by pretty much everybody involved. Random side note: Rose Byrne, who I liked the most here, is Australian-born and there is a long-running Australian series called ""Neighbors"" too, which turned people such as Kylie Minogue into stars. Of course, the series has nothing to do with this film, just a little snippet of information. Oh and back to this film, I also liked the way they handled the closing credits with the help of the baby from the film.",Neighbors
3,Prismark10,Neighbours at war,4,3 September 2014,"Silly, bawdy teen comedy about a frat house in the middle of the suburbs whose all night partying who keeps Seth Rogen, his wife and infant up all night but strangely most of the other neighbours seem to be OK by the all night noise because the students help wash their cars and mow the lawn etc.As Rogen called the police because of the noise, he and Efron who is the lead of Frat pack call all out war which escalates.There are some nice bits such as the the De Niro party, The air bag cushion but you never sort of get over that Rogen is the old geezer here, the man is only 32 years old.Zac Efron who is only 5 years younger is almost psychopathic here, why get upset when you have repeatedly ignored reasonable requests to turn the music down and they have then been forced to called the police?There are a few laughs, some risqué humour, nothing is very sophisticated and the acting is broad. I have seen both Efron and Rogen in better stuff but their fight scene is good even though it seems to be a homage to the Cage/Goodman fight in Raising Arizona.",Neighbors
4,nogodnomasters,HE'S STILL ALIVE,4,12 October 2018,"Mac (Seth Rogen) and Kelly (Rose Byrne) just had a baby and try to convince themselves that their life is not over and they are not old. When a frat house moves in next door lead by Teddy Sander (Zac Efron), their delusion is challenged as the film breaks down into our couple attempting to sabotage the overly noisy frat house, the one that invented toga parties and beer pong.The humor for the most part was low brow ,crude, and juvenile. It was predictable humor which translates into unfunny. The swearing and drug use was forced and unnatural. This is a me-too crude comedy that failed to stay above the water of a flooded basement.Zac takes his shirt off, a plus for the ladies, but they must sit through Seth showing off his mammoth butt during a sex scene.",Neighbors
5,kosmasp,Bad Neighbors,7,20 September 2014,"Though the question is, who's bad? But let's refrain from song lyrics and get down to business. The movie is mostly funny, though it does have issues with its characters here and there. It does not rely on T&A as another reviewer suggests on this site, but that does not mean you will like this movie ... it's all a matter of taste. Maybe you hate Zac, maybe you love him and he can't do any wrong. This all influences your movie experience obviously.Also there are jokes in here, that might not be anyones taste or maybe they don't get them (De Niro/Taxi Driver references and more). Aside from that, this is a pretty decent effort to make something funny out of a crazy situation and shine a light on how relationships can work out.",Neighbors
6,Sleepin_Dragon,How to kick the Frats out of next door.,4,14 October 2015,"Mac and Kelly are getting used to life with a new born baby, a pretty cool couple, life is significantly turned upside down when the delivery men roll up, and a Frat house move in next door. Initial protestations to the noise are minor, then war breaks out between the neighbours. They try everything they can to get them kicked out of the houseI can see that most of the reviews on here are very negative, but there are a few funny bits. Crude at times, but worse some of it just isn't that funny. I like Seth Rogan, but it isn't the best of his work, he's tried so hard to be cool. Zac Efron is a cool guy, he looks like he could be some of his fellow frats dad.4/10",Neighbors
7,jboothmillard,Bad Neighbours,5,23 May 2021,"I remember hearing about this movie, because of the two leading actors, and because it got a sequel, so it I knew it must have been popular, I was just hoping for a good laugh, directed by Nicholas Stoller (Forgetting Sarah Marshall, Get Him to the Greek). Basically, Mac Radner (Seth Rogen) and his Australian wife Kelly (Rose Byrne) are settling down in a quiet neighbourhood with their new-born child, six-month-old baby daughter Stella (Elise and Zoey Vargas). The responsibilities of parenthood make it difficult for them to maintain their old lifestyle, they try to cling into being youthful and their sex life. They have become somewhat alienated from their friends Jimmy Blevins (Ike Barinholtz) and his ex-wife, Paula (Carla Gallo). Mac and Kelly are excited when they are getting new neighbours, unfortunately the new arrivals turn out to be the Delta Psi Beta fraternity. The fraternity's leaders, Teddy Sanders (Zac Efron) and Pete Regazolli (Dave Franco) come across friendly when meeting Mac and Kelly, but their housewarming party becomes loud and wild. Teddy and Pete aspire to join Delta Psi's Hall of Fame by throwing a massive end-of-the-year party. The couple ask Teddy to keep the noise down, but he decides to invite them to join the party. The Radners are initially reluctant but remain convinced that they still have a modicum of cool left in them and are happy to partake in heavy drinking and drugtaking. Teddy agrees to manage the noise for further parties, but has Mac and Kelly promise to always call him instead of the police. The following night, when another party next door keeps Stella awake, Mac is unable to reach Teddy. Kelly convinces Mac to call the police anonymously, but Officer Watkins (Hannibal Buress) identifies them to Teddy. Betrayed, Teddy leads Delta Psi in dumping their garbage on the Radners' lawn, this is known as hazing. Mac and Kelly complain to Dean Carol Gladstone (Lisa Kudrow), but the school has a ""three strikes"" policy before it will intervene; Delta Psi's first strike was burning down their old house. The couple try to force the fraternity to move by damaging their house, but this is unsuccessful. Mac and Kelly decide to join another party, pretending to allow themselves a night of fun. There, Kelly manipulates Pete and Teddy's girlfriend Brooke Shy (Halston Sage) into having sex, with Mac getting Teddy to catch them in the act. Teddy and Pete fight, and a passing professor is injured by a barbecue grill that rolls outside. This gives Delta Psi their second strike and places them on probation, effectively ending their party plans. Mac and Kelly ask Jimmy, who is jealous that Paula is sleeping with Delta Psi member Scoonie (Christopher Mintz-Plasse), to help them shut down the fraternity. To acquire evidence of Delta Psi's recent hazing, they ask fraternity pledge Assjuice (Craig Roberts) to talk to Teddy and record him threatening retaliation. But Teddy shows Assjuice kindness, who cannot go through with the plan and openly admits Mac and Kelly trying to sabotage the fraternity. Teddy feeling vengeful pranks the Radners, by taking out the airbags from the car, and placing them under chairs and sofas to rapidly deflate, causing Mac to fly into the air or hit the ceiling. Mac and Kelly create a counterfeit letter from Gladstone lifting Delta Psi's probation. The fraternity prepares for their end-of-the-year party, which Mac, Kelly, and Jimmy widely publicise to ensure it will be out of control. Once the party is in full swing, they notify the police, but Teddy realises what the Radners have done, and stops the party just as Officer Watkins arrives. Jimmy throws himself from the balcony to distract Teddy, severely breaking his leg, which allows Kelly to sneak into Teddy's bedroom. While Mac fights Teddy off, Kelly cannot open the breaker box to restart the party. Instead, she lights one of the fireworks in the room and shoots it at the officer's patrol car. Paula convinces Scoonie to turn on the power, reigniting the party, and she reunites with Jimmy. Teddy takes the blame for the party, convincing Pete to flee with the others, and is arrested. The fraternity receives its third and final strike and is shut down. Four months later, Mac runs into Teddy, who is working as a shirtless greeter at clothing store Abercrombie & Fitch. They greet each other warmly and Teddy reveals he is attending night classes to complete his degree. Mac takes off his shirt and jokingly acts as a greeter with Teddy. While Mac and Kelly are taking pictures of Stella, Jimmy and Paul call and invite them to an event, they decide to accept their roles as parents and politely decline. Also starring Brian Huskey as Bill Wazowkowski, Jerrod Carmichael as Garf, Andy Samberg as Toga #1 and Steve Carell as TV News. Rogen, Byrne and Efron give equally funny and likeable performances, there are the obvious over-the-top slapstick and small gross-out moments, but the best moments are between the actors parring between each other, a fun comedy. Worth watching!",Neighbors
8,moonspinner55,"""It's not only offensive, it's f*****g stupid.""",2,20 June 2015,"New suburban parents, hoping a quiet, prosperous gay couple will move into the empty house next door, watch in horror as a rowdy fraternity takes over the property, turning their lives upside-down. Star and co-producer Seth Rogen is enamored of two things: himself and genitalia jokes; co-star Zac Efron, as the fraternity's president, hopes to be comically menacing but instead comes off like Rob Lowe having a bad day. Screenwriters Andrew J. Cohen and Brendan O'Brien obviously want us to sympathize with Rogen and spouse Rose Byrne--even as the couple is continually terrorized-for-a-laugh--but with whom are they and director Nicholas Stoller simpatico with? Stoller seems to be getting off on the loud parties and the rampant destruction, while the uncharismatic younger players systematically hold their neighbors and the audience hostage. Ostensibly aimed at the age-range depicted in the frat house, but character names such as ""Assjuice"" aren't all that funny. *1/2 from ****",Neighbors
9,Quinoa1984,very f****ing funny,8,11 November 2014,"Neighbors is unpretentious, usually and fully laugh-out-loud entertainment from the director of Forgetting Sarah Marshall. From my point of view, even if this isn't as deep or memorable as that film, the efforts are still just as funny (or per minute funnier) which is remarkable. Seth Rogen is on top of his game, as we might hope, and is on fire with zinger after zinger as his character has to deal with not only this crazy-ass frat, but also his wife (the two don't really have any 'manufactured' rom-com problems, which is just wonderful, serious, how often do you see a married couple actually HAPPY and collaborative as they get?) But Zac Efron surprises the most with his best character - hey, just performance - yet, full of fire and energy and comic timing that matches up to Rogen. And there's loads of great improv - you know this was barely scripted right - and probably some scripted stuff, too. For a pre-summer season crowded with action spectacles, this did what it should have, if not as mind blowing as last year's diversion from Rogen and Goldberg and company, This is the End). Rose Byrne is also a comic revelation here too - previously I've just seen her in dramas and a few big movies like X-Men - as she actually sets the comic tone in many scenes, not just keeping up with Rogen and this crew. Oh, and Dave Franco is there, being... Dave Franco.It doesn't carry any big message, aside from, perhaps, a gentle nudge to 20 and 30 somethings that... you don't have to grow up ALL the way but making a little effort may help your self esteem, which is probably more powerful to me than any 'love' stuff. They even coin a new term, derived from 'hot-box-ing' called 'hot-house'. You'll see what it is.",Neighbors
