,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,The best Jack Ryan film out there,8,9 April 2011,"The last of Harrison Ford's outings as Jack Ryan (following PATRIOT GAMES), CLEAR AND PRESENT DANGER is a classy outing that throws the star into the middle of a drugs war between Colombian cocaine barons and some highly corrupt American officials. Along the way, he must contend with an ineffectual President (THE THING's Donald Moffat), an ailing buddy (the ever excellent James Earl Jones) and a mercenary leader (the scene stealing Willem Dafoe).The movie is well shot and entertaining, never better than when detailing the cyber hijinks between Ford and corporate schmuck Henry Czerny or an excellent ambush set-piece halfway through. The first half is a little slow but things really pick up for the second, which depicts a complex situation south of the border with no less than three sides competing for dominance and Ford caught in the middle. We get a solid turn from Ford and a deliciously tough bad guy performance from Joaquim de Almeida, alongside well-shot action and a climax that doesn't hold back.",Clear and Present Danger
1,SnoopyStyle,nice mix of intrigue and action,8,2 June 2015,President Bennett's friends are murdered by Columbian Cali cartel drug lord Escobedo. He seeks revenge by declaring them Clear and Present Danger. Presidential Adviser James Cutter and Bob Ritter sends John Clark (Willem Dafoe) and his team to direct bombs on the targets. It's a secret mission that neither Jack Ryan (Harrison Ford) nor his mentor Jim Greer know about. Greer is sick with cancer. Ryan is appointed Deputy Director of Intelligence and sent down to Bogota. Meanwhile Escobedo has intelligence operative Félix Cortez who has inside info in the White House and plans of his own.It's an intriguing political espionage mixed with some well executed action scenes. The ambush in Bogota is terrific action. Joaquim de Almeida is a great villain. He has a great depth which is perfect for his double dealing. It's a well made Tom Clancy spy movie.,Clear and Present Danger
2,kosmasp,Harrison Jack Ryan Ford,7,3 July 2019,"There have been quite a few adaptations of Jack Ryan and depending on your taste you like some and you don't care for others. Harrison Ford seems a perfect fit (age group aside or at least related) to portray a ""spy"" like that. I have not read the novels the character is based on, so I can't really say how some will feel about the physicality but that is true about every actor playing the role and making an effort.This of course has a lot of politics in it. But it also is quite a thriller. You may like how it is paced or how the twists and turns happen (doesn't even really matter if you see them coming, when it comes to the entertainment factor of the movie itself), but overall the movie delivers on what is promising. Great actors assemble too, even in smaller roles",Clear and Present Danger
3,gavin6942,"Harrison Ford, the Reluctant Action Star",7,10 December 2015,"CIA Analyst Jack Ryan (Harrison Ford) is drawn into an illegal war fought by the US government against a Colombian drug cartel.James Berardinelli remarked, ""Clear and Present Danger is all plot and no characters. The people running around on screen have about as much depth as the sheen of sweat on Harrison Ford's forehead. Jack Ryan is the most disappointing of all. He's disgustingly virtuous: a flawless fighter for good and justice, a Superman without the cape. I spent half the movie wondering if this guy was ever going to show anything to mark him as vaguely human."" That just seems too harsh, and for no good reason. This is an action film, after all. Sure, we do not get the depth we might like from Jack Ryan, but we have already developed him in two prior films. This is action, a spy thriller. We need twists, turns, gunfire and explosions! (And we get them, too.)",Clear and Present Danger
4,ccthemovieman-1,A Lot More Good Than Bad,8,21 March 2006,"Harrison Ford returns as ""Jack Ryan,"" star of the very well-done ""Patriot Games,"" the film adaption off the best-selling Tom Clancy novels. Also returning are Anne Archer and James Earl Jones.THE BAD - This isn't as intense, especially in the first half hour, as Patriot Games and the ending was a little disappointing with a action-scene credibility problem. Once again - it's getting to be a tired Hollywood theme - top U.S. government officials, going all the way to the President, are corrupt people, liars not to be trusted.THE GOOD - It's nice to see Willem Dafoe finally play a good guy. The villains in here are deceptively interesting, actors such as Joaquim De Almeida, Harris Yulin and Henry Czerny and Miguel Sandoval - not big names but recognizable and good actors. The violence is not overdone in here and when the action does occur, the sound is terrific. The best action scene was shootout in the streets with snipers firing at cars below. The positives are far more than the negatives, making this a solid thriller.",Clear and Present Danger
5,rmax304823,"Okay, Clancy-Type International Action Thriller",6,1 September 2007,"Set between the end of the Cold War and the beginning of the global war on terrorism, the films settles on Colombian cocaine cartels for a convenient set of villains. At that, however, it's a bit unusual for Tom Clancy, presuming the movie incorporates details from his novel. For one thing, the story allows at least one of the real murdering heavies to have a couple of kids that he delights in. And, BANG, the American Navy blows up a house full of drug lords and children. Unwittingly, to be sure, but still -- Secondly, the bad-guys-in-chief are not the Colombian drug lords. Their evil is taken for granted. Instead, the worst people are American politicians who undertake to do ""the Potomac two-step"" by engaging in illegal operations in a foreign country while preserving ""plausible deniability"" for the slyly knowing President. The PRESIDENT, mind you! What we seem to have here is not exactly a film a clef, but at least an approximation of the Iran/Contra affair under President Reagan, in which Admiral Poindexter, F. B. I. head Casey, and Col. Oliver North did some sub rosa trading, which Reagan had no knowledge of. But those real-life events only provide a framework for a fantasy in which sneaky Washington politicians agree to help a drug lord put a lock on cocaine shipments in return for his guarantee that he'll turn over all the information he gains on his rivals, which will double our drug arrests and boost the president's popularity.The price to be paid for this agreement is that the slimy pols immediately shut down a Special Ops mission involving a dozen of our armed forces' picked men. They do so, betraying the mission in the process. This leads to a couple of American deaths and the capture of the rest of the unit. A fierce fire fight at the end results in their extraction by helicopter, led by the stalwart Jack Ryan (Harrison Ford) and the better trained Willem DaFoe. I hope that some of us, those who paste bumper stickers on their cars that say things like, ""Surrender is Not an Option,"" will note that the Special Ops guys here, hopelessly outnumbered and surrounded, not only sensibly surrendered but lived to fight another day. In case you might miss the irony, the director cross cuts between the pious pompous platitudes given by the president at a state funeral, and the terrifying hell our doomed men in Colombia find themselves trapped in. It worked better during the baptism/slaughter at the climax of ""The Godfather"" but it's still effective.The film is pretty well done and must have been expensive to shoot. Lots of action scenes and an entire hacienda is blown to bits by a laser-guided bomb in a most spectacular boom. (Actually several spectacular booms as the special effects detonations went off in different places at slightly different times.) The technical stuff about paper-made bombs is pretty interesting. What a techie Clancy must be. In one earlier boom, Jack Ryan tumbles forward toward the camera while a slow-motion fireball explodes behind him. If I see this unbelievably hoary cliché one more time, I'm going to call the police, the FCC, the Environmental Protection Agency, and the Holy Name Society.What happens in franchises like the Jack Ryan saga is that as time goes by, as the characters become familiar, as the story lines coalesce insensibly into one another, the writers start killing off some of the people we've gotten used to seeing. Children, of course, are always at risk, but usually one of the first guys to go is a mentor. It took Rocky Balboa three cracks to kill Burgess Meredith. I think it's taken the same amount of time for Jack Ryan to lose Greer (James Earl Jones), the admirable Admiral.Situation report. If you liked the earlier Jack Ryan stories, you'll like this one too. It's a little more disjointed in its plot, but has just as much in the way of intrigue and action, and Ryan remains the same boy scout he's always been.",Clear and Present Danger
6,ma-cortes,"Jack Ryan's third entry with lots of noisy action , tension and thriller",7,20 January 2008,"Third installment of the Agent Jack Ryan with lots of gun-rattling action, suspense and intrigue. Ryan is a high officer from CIA ,married(Anne Archer) and with sons(Thora Birch).After death a closed friend by Colombian drugs Cali cartel(Miguel Sandoval,Joaquin De Almeida) , the President(Donald Moffat) himself sanctions a covert operation against the drug barons by sending crack soldiers into the Colombia country under the command of mercenaries(Willem Dafoe,Benjamin Bratt, Raymond Cruz). Harrison Ford's Jack Ryan contracted into White House's staff(Harris Yulin, Henry Czerny,Dean Jones) investigates the events. Ryan thinks he's still after Colombian connections to the dead man's money.This blockbuster is an excellent adaptation of the novel by Tom Clancy , companion to ¨The hunt for Red October¨ with Ford taking over the role of Ryan from Alec Baldwin and second part ¨Patriot games¨ again with Harrison Ford , who's becoming the king of trilogies . Extraordinaries nail-biting action scenes, specially when Ryan and his partners are trapped by machine-gunners in a network of narrows streets and posteriorly parodied by Leslie Nielsen. Interesting screenplay plenty of twists and thrills by John Milius and Steve Zaillian. Spectacular musical score fitting to action and suspense by James Horner. Colorful and atmospheric cinematography by Donald McAlpine. The picture is well directed by Phillip Noyce, an action movies expert, but he directed ¨Blind fury, The Saint, The Bone Collectors and Patriot games¨ among others. Rating: Above average, the film will like to Harrison Ford fans and Jack Ryan novels followers.",Clear and Present Danger
7,edwagreen,Unclear is this Present Danger **1/2,6,10 June 2006,"Harrison Ford in this disappointing film about the affects of a Colombian cartel group dealing with drugs.Ford gets a top job at the CIA when the director (James Earl Jones) develops a terminal illness.It seems that the President and his assistant are involved in a covert war in Colombia when they are denying this. Ford, their dupe, appears before Congress and is questioned by the late Hope Lange, who portrays a U.S. senator in one brief scene.The action really starts when an adviser goes to Colombia to negotiate getting back U.S. money. He is murdered there and his assistant, possibly his lover, is found dead the same day as he is killed.The film falls into other Tom Clancy books made into films. There is plenty of action but a lack of cohesiveness.",Clear and Present Danger
8,sunwarrior13,Ford Brings Freshness In His Second Portrayal Of Jack Ryan.,9,11 November 2014,"Clear And Present Danger is a spy action thriller that is based on the novel of Tom Clancy of the same title.It features Harrison Ford in the title role as Jack Ryan with James Earl Jones,who portrays as Vice-Admiral James Greer together with supporting cast that includes Willem Dafoe,Miguel Sandoval,Belita Moreno and Joaquim de Almeida.it was directed by Philip Noyce,who also was at helm in other Jack Ryan films such as The Hunt For Red October and Patriot Games.The film's setting happens when Jack Ryan has been appointed as the Central Intelligence Agency (CIA) acting Deputy Director.He later discovers that he is being kept in the dark by some of his CIA colleagues in the agency about a covert war operation against the drug lords at Colombia.Later,it was also revealed that the President's wealthy friend is well-connected to the said Colombian drug cartel.When the national security adviser and the CIA deputy director were captured in Colombia,the President's men decided to abandon their force.In the end,it was up to Jack Ryan and another operative to rescue them on their won risking his career and life. This is the second time that Harrison Ford will portray Jack Ryan after Patriot Games and he brings earnestness and freshness to the role.Aside from that,it the story provides complex political intrigue,interesting plot and lots of tension that it is fun to sit through as it is exciting and entertaining from beginning to end.Despite some confusion that it may provide in the political ideologies and beliefs that the characters in it adhere to including the President,what stands out here though is the moral dilemma that Jack Ryan as it brings his humanistic side of saving lives in danger which could probably considered the overall theme of this action thriller.",Clear and Present Danger
9,hitchcockthelegend,These drug cartels represent a clear and present danger to the national security of the United States.,7,23 March 2019,"The third outing for Tom Clancy's Jack Ryan - and the second with Harrison Ford in the lead - is a tightly constructed political thriller. Condensing Clancy's door stoppers is no easy task, but the makers here, headed by director Phillip Noyce, have manged to keep the pic brisk and intelligent for entertainment worth.Plot essentially boils down to America's war on drugs and the Colombian cartel at the helm of such operations. Naturally all is a bit suspect in the American corridors of power, leading to corruption and abuse of power that puts Jack Ryan firmly at the front to sift and destroy the bad eggs staining the American Star Spangled Banner.This very much plays out for those who like a bit of politico subterfuge, whist being ok with long passages of like minded chatter is also a requisite. That we have a fine cast playing out the screenplay (Donald E. Stewart, Steven Zaillian and John Milius) is a big plus that gives credibility to the shifty machinations.There's a nagging annoyance throughout that this still should be a better film, especially given the overstretched run time of 2 hours 20 minutes, and the computer sections are dubious and the finale is something of a damp squib. However, we are in the company of great pros, both in front of and behind the camera - and also on the page (Clancy's brain superlative). With that in mind it's reasons to seek this out and enjoy if this splinter of political thriller is your bag. 7/10",Clear and Present Danger
