,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,But what if you don't particularly adore horses?!,5,29 January 2012,"I assume that there are two main groups of people--those who adore horses and think they are beautiful creatures as well as those, like me, who see them as a means of transportation or food (in a crunch--when beef isn't available). So, some see the film as magical--while others see it was incredibly empty. Unlike the Oscar folks (who have nominated it for Best Picture), I found the picture to be very episodic and I didn't particularly care for the characters--and some of this might be because I don't absolutely love horses (though I really have nothing against them).The film begins with the birth of a horse. A teen in a nearby farm has some sort of magical connection with the animal--which is darn fortuitous since his tenant farmer father ends up buying the beast. The horse and teen fall in love (no, not in the ""Equus"" way) but sadly the family is eventually forced to sell the horse because they simply cannot afford it. The horse is then bought by the military and is sent into WWI--where lots of death and carnage result in the horse bouncing from one owner to another until, as if by magic, it's reunited with the teen who loved him. Who really cares that 11,000,000 people were killed in the war--what really matters is a boy and his horsey.While this sounds like I hated the movie, I didn't. I liked the music, camera-work and way they recreated WWI--it was quite realistic. But with an Oscar nomination for the top honor, I found myself expecting so much more. The film's biggest deficit is that none of the characters were particularly likable or fully fleshed out--seeming awfully one-dimensional. Yes, it looked nice but I DON'T adore horses and thought the film was rather ponderous and episodic. Call me a horse-hater (I am really not) if you like--I just didn't connect with the film at all.",War Horse
1,TheLittleSongbird,Exceptional,10,15 January 2012,"Having seen War Horse just today with my family, I was just blown away at how wonderful the movie was. Steven Spielberg has been responsible for some of my childhood favourites such as ET, Jurassic Park, Jaws and Raiders of the Lost Ark, as well as Schindler's List and one of the compellingly real beginnings of all time in Saving Private Ryan. To me, he is a very talented director. War Horse may not be my favourite of his films, but it is one of his better ones in my opinions in recent years. The cinematography and scenery are truly gorgeous, and John Williams' music score(my favourite score of 2011) brings meaning to the terms beauty, epic and grandiose.I also loved the story. It was well-paced, especially at the start and compelling, yet also with Spielberg's unique magic touch. The spectacle itself is stirring especially the charge in No-Man's Land, which felt so real and intense without feeling too graphic. There is also a lot of poignancy. Joey's bolt through barbed wire consequently bringing two warring sides together stands out especially, but what really got me were the final scenes shot against a burning sunset, one of the most visually beautiful and emotionally poignant endings in recent memory to me.Spielberg does an outstanding job directing, the war scenes are authentic and harrowing without feeling too much so(they even include the consequences of desertion) and the poignant moments are so without being too mawkish. There's even a touch of humour particularly with the goose. As I said before though, War Horse still has the magic touch that makes the best of his movies so good. The script is genuinely heartfelt and effective, and the characters especially Albert, his parents, the grandfather and especially Joey are written in a way that makes you empathise with them. The script and characters in the war scenes manage not to be too clichéd, too one-sided or stereotypical as well.Acting is very good. Joey of course steals the show, he looks incredible and you identify with him every step of the way, and Jeremy Irvine is very convincing and passionate in his performance as Albert. Peter Mullan, Emily Watson and Niels Arestrup give affecting turns, and David Thewlis, Tom Hiddleston and Benedict Cumberbatch are also solid. Overall, an exceptional film, one of my favourites of the year that's for sure. 10/10 Bethany Cox",War Horse
2,bkoganbing,Joey,8,2 February 2015,"When you get right down to it War Horse is a reworking of Black Beauty on a much larger and more terrible stage, that of World War I. But Steven Spielberg does like to do entertainment on a grand scale and this boy and his horse story is both heart stirring and entertaining.As the horse named Joey is the star of the film it's not surprising that War Horse received no Oscar recognition in any of the acting categories. Besides for Best Picture, War Horse received 5 other Oscar nominations in technical categories, but not one of them brought home the statue for Spielberg.Young Jeremy Irvine gets the present of a lifetime when his amiable drunken father buys this championship race horse with the family savings. His mother takes to the acquisition of this horse the way Jack's mother took to Jack getting a handful of beans in Jack And The Beanstalk. But the horse becomes great friends with Irvine and actually takes to the plow.I'm sure that Joey longed for that plow when the horse is sold to the army. Irvine too goes off to war. The British think that cavalry will be the answer on the European western front, but they are soon disabused of that notion when the cavalry charge meets automatic weapons fire. It soon settles into the trench warfare that symbolized World War I on the French scene.After surviving the cavalry charge like Black Beauty, Joey goes through several situations and people, most of them not very good to him. The Germans use him to haul their heavy artillery as they did when they requisitioned French farm horses. No real care for the animals, they hauled until they died. A fate that this spirited animal was determined to avoid.If you know the plot of Black Beauty than you know what happens to Joey. Mr. Spielberg even with the violence of war has given us a nice family film and I recommend it highly.",War Horse
3,Leofwine_draca,Missed opportunity,5,28 November 2014,"I haven't read the acclaimed children's book by Michael Morpurgo on which this film is based, but I can't help but feel it's a missed opportunity. Like the later HARRY POTTER movies, it's a film which flies over the subject matter at speed, portraying multiple characters with their own little storyline and failing to connect the viewer with any of them on an emotional level.The film starts off with Peter Mullan playing another animal-hating character (after TYRANNOSAUR), and then suddenly we learn that the lead, Jeremy Irvine, has fallen in love with his horse. I didn't get that at all; there's no warmth in the screenplay, no reason for the care. Then things stir briefly for the war stuff, but it soon descends into the doldrums again. It picks up for a climax which should be emotionally devastating, but unfortunately it was one which left me cold inside.Part of the blame goes to Richard Curtis, for making his screenplay so mechanical, but the rest must go to Spielberg himself. Spielberg of late seems obsessed with crafting visually beautiful but ultimately hollow viewing experiences. Hell, I preferred the 1990s film adaptation of BLACK BEAUTY, even WITH Alan Cumming's unnecessary narration.",War Horse
4,SnoopyStyle,Steven Spielberg goes old timey,6,18 August 2013,"Farm boy Albert Narracott tries to enlist to fight in WWI after his horse Joey is sold to the calvary. The film follows the horse as he suffers through the war.Steven Spielberg directs this deliberate epic as we follow a horse from the farm to war and back to farm again. In between he encounters many different humans and that breaks up the story. Just as you get involved in one story, the horse leaves and a new story begins. It breaks up the pace and causes a real problem maintaining the tension.In many ways, this film feels like a relic from a by gone era. The action is big, but we don't see the grotesque blood splattering. People are killed but rarely take center stage. In one scene, a squad of mounted British soldier charge at German gun enplacements. In the next scene, only the horses charge out of the forest without their riders. We know most the riders have been killed, but Spielberg is choosing poetry over brutal authenticity. This isn't breaking any ground and isn't going to last in collective memory of the movie-going public about Spielberg.",War Horse
5,Hitchcoc,It's About the War,6,25 May 2012,"I agree that the plot is pretty sappy. If it wasn't so visually engaging I might have quit watching it. But what it does portray is a real image of war. If someone is going to be critical of the fact that horses were used in the war, it says that unless someone uses a subject you don't like, the movie isn't worth making. Yes it had all the elements of a sentimental movie. It would have really fit in well in the 1940's. Still, there is a thread running through it that allows us to root for the hero and hope that things can get better. Yes, we have some caricatures, but there were people who stood up against oppression. One even loses her life, which seemed quite a realistic result under the circumstances. The horses are horses. They don't transcend their species. They are driven by their instincts. Granted the horse in question does take on a bit of a supernatural presence. But he is the survivor horse, the one that doesn't die. That's what makes the story. This is not a great movie and it is very sentimental and totally unbelievable, but sappy stories were once the norm and we feel pretty good when it's over.",War Horse
6,Prismark10,War Horse,6,7 August 2020,"Steven Spielberg is a big fan of British directors such as Richard Attenborough, Carol Reed and Powell & Pressburger. In War Horse Spielberg is very much inspired by those directors as well as with a touch of John Ford with the orange hued sunset at the end of the movie.Taking Michael Morpurgo's novel which was turned into a stage play. Albert Narracott (Jeremy Irvine) forms a close friendship with Joey the horse his father bought at an auction to plough the field at their Devon farm.With the outbreak of World War 1. Financial burdens means that Joey is sold to a cavalry officer who promises Albert that the horse would be returned to him if they survive the war.The film follows Joey's fate as he is taken by the German army, adopted by a small girl in a French farm and then becomes trapped in no man's land.Technically, War Horse is an accomplished piece of film-making from Spielberg. It really is a master craftsman at the helm aided by his cinematographer Janusz Kaminski and a musical score from John Williams.It is emotionally stirring in places, yet it never quiet gels together. War Horse is a series of vignettes which charts Joey's journey throughout the first world war. The downside is that you are never invested in the characters as they are only with you for a short while. This includes Albert who tops and tails the movie.The anti war message from the book is lost. There are hints on the futility of war but the movie depicts the Germans here as more intelligent than the British when the first cavalry charge takes place.",War Horse
7,kosmasp,Playing Horse,6,3 May 2012,"Having a horse as your protagonist isn't easy. Just ask Mr. Spielberg himself (or read the article in the Empire Magazine where he elaborates on this). But it wouldn't be Spielberg if he couldn't handle it. He's also able to handle any comparisons to Ryan, by just avoiding shooting it the same way. And the cinematography is just plain superb in this! Even if you don't like the movie at all, you'll have to admit that. I liked the movie on the other hand, but not as much as the Academy apparently and other viewers here.I think the movie is too long (it not only feels like it, the running time would suggest I am right) and I am amazed that a seasoned director as Steven Spielberg would actually let his characters tell us what is going on on screen (considered a ""mistake"" by many). While I understand that I might be in the minority these are things that bother me in a large scale production such as this. The movie is good, but through these mistakes will not have a top spot in my list",War Horse
8,classicsoncall,"""Horses like this don't just appear from a fairy tale.""",9,19 May 2012,"Typically before I offer my own take on a film, I have a look at the positive and negative comments from a handful of other reviewers on this board, along with a selection from the most prolific authors category. Notably absent in the dozen or so postings I read was any mention of the animals used to film the picture. My impression was that the horses used to portray Joey and Topthorn were pretty remarkable animals. They were called on to do a wide ranging series of stunts and action sequences, and their performances were nothing short of extraordinary. Definitely more so than their human co-stars.While I found the direction and cinematography to be genuinely first rate, the thing that bothers me in stories like this is the magnitude of coincidence necessary to bring them to a successful conclusion. In fact, one of the characters made reference to the 'needle in a haystack' challenge of Albie (Jeremy Irvine) ever finding Joey again once they were separated at the start of the war. Could it happen across a foreign battlefield following multiple owners and a succession of enemy campaigns? Not only is Joey reunited with Albie at the finale, but the old Grand Pere (Niels Arestrup) is there as well, with his only explanation hinging on the battlefield survival of a miraculous horse. I can appreciate the attempt, but I also can understand how more than a handful of viewers would find this downright laughable.To put this in perspective, I did some quick research on the number of equine deaths in World War I, and though I couldn't come up with a single reliable figure, the estimates run into the hundreds of thousands. One shocking statistic I found had to do with the 1916 Battle of Verdun between French and German forces in which seven thousand horses died in a single day due to long range shelling on both sides. With those kinds of stats, the story of War Horse rises virtually to the impossible.The one thing I'd really like to find out was how the film makers engineered Joey's flight through the barb wire barricades and his hideous fall on the battlefield. Westerns from the Thirties and Forties were infamous for using trip wires, but I'm sure there was a more humane way to simulate it here, if it was even done with a live animal. This just brings me back to my initial comment about the animal talent used in the filming of the picture. Unlike Secretariat or Seabiscuit, these horses were doing a lot more than just running around a big old circle.",War Horse
9,lee_eisenberg,World War I is 100 years out,6,16 November 2018,"This past Sunday was the 100th anniversary of the armistice that ended the first global war, now known as World War I. That conflict that engulfed the planet for four years took the lives of an estimated 9 million combatants and 7 million civilians, not to mention those slaughtered in the Armenian Genocide and the people who later died as a result of the Spanish flu. There was officially no winner, and the only real result was that the empires of the Central Powers - Germany, Austria-Hungary, Bulgaria and the Ottoman Empire - dissolved, and other empires took over their former colonies (Armenia got reduced to a fraction of its former size, while the Palestinians, Yazidis and Kurds didn't even get their own countries). It resulted in a lost generation, while the reparations imposed on Germany led to Hitler's rise to power.Which brings us to Steven Spielberg's ""War Horse"". Around the time of its release I read a review which criticized its emphasis on the relation between the characters and the title equine amid a horrendous global war that senselessly took millions of lives. Now that I've gotten around to seeing it - for the centenary of the armistice - I got that feeling also. Is any war an appropriate setting for a look at the relations between to characters?Which is not to say that the movie doesn't have its upsides. It doesn't flinch in showing the horrors of the battlefield, as well as the filthy setting (I doubt that any movie can portray it 100% accurately). Another credit is that it shows South Asian troops in the British army, brief though that scene is; a criticism of last year's ""Dunkirk"" was that it depicted an all-white battalion, even though large numbers of Indian and Pakistani troops participated in the Dunkirk evacuation. The scene where the horse runs away from the tank reminded me of the end of ""Catch-22"", with the main character realizing that there's nothing to be gained from the war. The subsequent scene of the characters joining forces to help the horse gave me a feeling of the Christmas truce (when British and German troops stopped fighting for a few minutes and talked to each other, seeing each other as humans for a few brief moments).Basically, it's an OK movie, not a great one. ""Schindler's List"" it's not. It's OK seeing, if only once.",War Horse
