,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Incredibly original...and boy did I hate this film.,3,15 November 2021,"The basic idea behind ""Okja"" could have worked well. However, one-dimensional and cartoonish characters as well as writing really sink this film the longer you watch it.The story begins with a big press conference where a CEO announces to the world that her company will be doing something HUGE to counter world hunger....but everyone must wait ten years to see what it is.The scene now switches to the mountains of South Korea. A girl is running about with her beloved pet, Okja, an obviously genetically modified beast which is supposed to be a pig but really looks much more like a GIGANTIC hippo. It's a very cute and sweet creature and I loved this part of the film...and wanted to see more.Soon evil corporate folks as well as a celebrity animal lover (Jake Gyllenhaal) show up to take photos and to take the animal back to New York City. Apparently, of the 26 genetically modified pig-things, it's been chosen the best and they want to parade it about for a big promotional tour...as well as do EVIL things to it.However, before they can do this, Okja is saved by some nice animals rights folks from the ALF (a group actually characterized by the FBI as a dangerous terrorist organization due to their violent methods) come to rescue the piggy-thingy. But they want to also use Okja to prove to the world that animals are wonderful and eating meat is evil (a very first world sort of attitude).So what did I hate about this film? Well, a lot. First, Jake Gyllenhaal is my favorite contemporary movie star....and he is absolutely horrible in this part. Part of this is because of how it was written and part of his is his hammy, cartoon-like performance. I was just shocked at how bad it was...and disappointed. Could this be the same guy who was so impressive in films like ""Nightcrawler"", ""Source Code"", ""Donnie Darko"" and ""Prisoners""?! Second, most of the folks in the film are walking cartoons...one-dimensional and poorly written as well. The corporate people are all evil and the ALF members, for the most part, are nice (although a few of them were amazingly violent towards people in the film). There just didn't seem to be a lot of middle ground here. Third, and I already mentioned this, but the film seems like a delight for first world folks but is insulting to the starving people of the planet. If they really could produce such a huge genetically modified animal and it helped end world hunger, that would be a good thing...unless you are a vegan or vegetarian. And, to show you how evil it is, they showed some slaughterhouse scenes...and slaughterhouses are gross and nasty....just like starvation.What could have been a nice girl and her piggy-thingy movie turned out to be poorly written beyond the basic idea. Poorly written characters, some poor acting and some serious logical problems (such as it being incredibly easy to steal Okja from the corporation...even though it's a priceless animal) left me flat. I know many people like this film, I just found it to be very original but incredibly flawed....as well as, in a way, a propaganda film with an apparent agenda.",Okja
1,Leofwine_draca,Absurdist comedy with some terrible acting,4,5 September 2017,"OKJA is the latest film from Korean director Bong Joon Ho, a man who previously wowed us with his work on MEMORIES OF MURDER, THE HOST, and SNOWPIERCER. Sadly, this is by far the worst film I've seen from him, a heavy-handed moralising message movie that seems like an advert for PETA. The story features a cute Korean girl going on the run with her genetically modified giant pig Okja, while a cruel corporation tries to cut the beast up for sausages.It's as simple as that, and very reminiscent of Hollywood and films like SHORT CIRCUIT at times. However, OKJA plays out as a zany comedy for the most part and it just isn't at all funny. It feels like a silly kid's film complete with fart and poo jokes and the like but there's swearing and violence throughout, so tonally it's all over the place. As usual, the Korean stars outclass their Western counterparts time and again. Tilda Swinton returns from SNOWPIERCER and is dreadful in a dual role, but Jake Gyllenhaal is even worse with his over-the-top turn and I cringed with embarrassment to see him like this. Shirley Henderson plays the same role she's been playing for decades while Paul Dano veers between creepy and comatose. THE WALKING DEAD's Steven Yuen is better, but he needed more screen time. The other problem I had with OKJA is that I didn't find the titular creature to be either endearing or convincing, despite the best efforts of the CGI animators.",Okja
2,SnoopyStyle,imaginative but flawed,5,24 February 2018,"Lucy Mirando (Tilda Swinton) takes over the family Mirando Corporation and proclaims a new breed of super-pigs. 26 piglets are sent out to different local farmers around the globe. Ten years later, the piglets grow up and ready to be judged in a competition. Mija and her grandfather had been raising one of them, Okja, in the mountains of South Korea. When the company retrieves it, Mija goes off to Seoul to rescue it. She encounters the Animal Liberation Front led by Jay (Paul Dano) on a mission to expose the secret New Jersey Mirando animal factory.I assumed a story from the trailer. I assumed the giant pig to be the little girl's property or friend and the evil company comes to steal it. The actual opening premise of this movie is problematic. It doesn't make sense to me. The wacky comedic elements leave me cold. Bong Joon-ho continues to be one of the more interesting international directors. There are moments of fun. I love Mija chasing the truck through the streets. I love the love between Mija and Okja. Everything else is problematic.",Okja
3,kosmasp,Eco Animal,7,27 February 2018,"When this was released on Netflix the hype was big. So is it worth it? I'd say yes, but it is not a movie that could be considered a popcorn movie. It actually dares to challenge views and it does shed a bad light on the meat industry, on society and Industrial nations in general. You may think that it is a bit thick at times and you may also feel that it is a bit too violent at times too (or dark for that matter), but that's how the movie works.The pacing works, even if for some it may be too slow. The acting is really good and there is quite some talent at hand. Even in the smallest roles and even in the most cliche filled ones (see Jake Gyllenhall). If those things are something that you don't mind (much), the movie magic will get to you and you will have a ""good time"" (as much as it is possible, with the hanging message pounding on you). But if you have at least a little bit of love for animals, you will find somethng here for you",Okja
4,classicsoncall,"""She is making us fall in love with a creature that we are already looking forward to eating.""",7,1 July 2017,"I couldn't help thinking that the entire premise of developing a wide scale, inexpensive food source to feed a billion of the world's starving was blown completely out of the water when Lucy Mirando (Tilda Swinson) announced that the Best Super Pig project would take ten years. Ten years!!! What about those millions starving right now? I don't know, that seemed kind of ludicrous to me.I think the film will appeal to kids and animal rights activists, and the story does manage to tug at the heart strings regarding young Mija's (Heo-Hyun Ahn) relationship to her super sized pig. The animal itself resembled a hippopotamus more than a barnyard pig, and almost attained human qualities at times, as in the scene when he rushed to save Mija from going over a cliff. What the story failed to convey was how Okja was different from the other twenty five pigs involved in the global contest. They all looked pretty much the same to me when they were brought together, but then again, that wasn't really the point of the story.The best moments in the picture for me were those ironic moments when the principal characters parodied themselves, like the self promoting Lucy Mirando who's comment appears in my summary above, or when Animal Liberation Front pacifist Jay (Paul Dano) kicked the living crap out of fellow activist K (Steven Yeun) when he admitted to a mistranslation of Mija's request to go back home to the mountains with Okja.Quite oddly, the story line introduces concepts that are never further explored once they're mentioned, things like Dr. Johnny's (Jake Gyllenhall) Magic Animals, and that Black Chalk government team sent in by Nancy Mirando (Swinton in a dual role) to clean up her sister's mess. Gyllenhall in particular looked out of place in this film, going full gonzo in his role as the public face of the Mirando Corporation. How he managed to hang around for ten years seemed to be pretty baffling, though whenever he appeared on camera for Mirando, you knew he was going whole hog.",Okja
5,evanston_dad,An Audacious Crowd Pleaser,9,20 December 2017,"""Okja"" certainly takes risks, and it's not always successful, but when it is....damn is it!A sort of adult fairy tale about a little girl's love for her genetically engineered pig and the corporate bigwigs who want to turn it into hot dogs, ""Okja"" is a little bit ""E.T."", a little bit ""Pete's Dragon,"" and something wholly original. It's got an inconsistent tone, and I had trouble settling into the film's strange rhythms at first. But by the time an animal rights activist group led by Paul Dano made their appearance in a dazzling and frenetic set piece that results in a destroyed shopping mall, I was hooked.Tilda Swinton plays a dual role as twin sisters who take turns leading a family corporation and who each have their own unique ideas about how said company should be run. Swinton is as usual excellent, and she manages to give yet another idiosyncratic performance that perfectly matches whatever oddball film she happens to find herself in. At the other end of the spectrum is Jake Gyllenhaal as a television celebrity animal doctor, who gives an utterly unwatchable performance that is easily the worst in the film and the worst I've ever seen Gyllenhaal give. Desperately unfunny and spastic, he threatens to ruin the whole movie, his performance is that bad. Fortunately, he isn't in the film enough to do so.The film is able to make a plea for animal rights and a call to arms against the industrialized food industry, even going as far as to draw visual parallels between it and Nazi extermination camps, without ever being preachy. No, this film is the story about the love between one girl and one pig and the outside forces that want to get in the way of it.Grade: A",Okja
6,phd_travel,Hard to watch,2,18 December 2019,The pig ain't cute and the over the top exaggerated acting and scenarios spoil whatever message the story was trying to get across.Don't bother.,Okja
7,siderite,"Joon-ho Bong does it again, better, sharper, with more meaning",9,5 July 2017,"Many remember Joon-ho Bong as the writer/director of Snowpiercer, which was a philosophical satire on society disguised as action sci- fi, however I remember it because of the Korean movie Gwoemul, in which a monster is terrorizing Seoul and a family is trying hard to find all of the members and survive at the same time. Now imagine something that combines both movies and you kind of get Okja!The film is basically about exploitation. We first see a little girl betrayed by her grandfather, manipulated with the sly and disgusting weapons of old age and authority, but then we see the same thing in a freedom movement, a corporation, a television personality, a truck driver or a receptionist that just couldn't care less, the various levels of authority all happy to wallow in their relative hierarchy and screw with the little guy. Whether is greed, a cause or simply personal spite, they form a scale of humanity where the upper levels are exploiting the lower. So kind of like Snowpiercer, but with a giant monster, which in this case is smart, kind and lovable, and an old man and his niece fighting to survive and reunite their family, like Gwoemul.The movie is two hours long and the pace is not consistent. Personally I would have removed about 15 minutes at least. Don't ask me which, though, because I loved every second of the film.",Okja
8,namashi_1,A True Action-Adventure!,9,2 July 2017,"Bong Joon-ho's 'Okja' is daring, scary & adventurous. The Writer-Director delivers a tale with such strength, it might make you want to quit from eating non-veg. You just might, you know!'Okja' Synopsis: Mija, a young girl risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.'Okja' benefits from an engrossing story, that keeps you glued to the screen. Bong and Jon Ronson's Screenplay talks about animal-cruelty with such force, its hard to not feel for Mija & Okja, who are separated by powerful people. But, the Screenplay is just stating the fact: We all eat non-veg & animal-cruelty happens all around the world. Its happening right now. So then why is it disturbing to see Okja being mistreated, only to turn into a piece of meat? Bong is intelligent enough to question ourselves & yet doesn't forget to entertain us. 'Okja' is an action-adventure, with glorious characters leading the narrative, but beneath it all, lies a question: Are we still going to allow ourselves to continue animal cruelty or do we stop? Bong's Direction is top-notch. He creates an atmosphere of chaos & tension, with precision. Darius Khondji's Cinematography is brilliant. Yang Jin-mo's Editing is razor-sharp. And Okja is an adorable creation of masterful CG work.Performance-Wise: Ahn Seo-hyun as Mija, is a wonder. The kid expresses helplessness & a sense of heroism, with astonishing results. Her affecting relationship with Okja is the emotional core of the film. Tilda Swinton, in dual roles, is at her vicious best. As 2 ruthless sisters/businesswomen, Swinton portrays her parts with gut-wrenching sharpness. Paul Dano is a scene-stealer, yet again! As the non-violent animal-activist, Dano blows up the screen with a virtuoso performance. Jake Gyllenhaal goes all-out (maybe a bit too much) in his portrayal of an eccentric zoologist and falling TV personality. Gyllenhaal crawls your skin, and for the most part, for the right reasons. Lily Collins, as a fellow animal-activist, leaves a solid impression. Others lend good support.On the whole, 'Okja' is a Mighty Winner. Do Watch And Take Your Call!",Okja
9,lasttimeisaw,a derisive navel-gazing might or might not hit the mark,7,2 July 2017,"South Korean big shot Bong Joon-ho returns with his Netflix funded and distributed, Cannes- debuted then maligned eco-concerned super pig drama OKJA, a mid-weight budgeted adventure about a South Korean farm girl Mija (Ahn), holds onto her undimmed resolution to bring her pet, the titular Okja, a gigantic genetically mutated pig, back to where they come from. Outwardly, Okja looks like a hippo-dog-pig hybrid, it is the creation of Mirando Corporation, whose CEO Lucy Mirando (Swinton) hails it to be the solution of the worldwide food shortage due to its taste and minimal wastage, exactly ten years earlier, she sent out 26 baby super-pigs all over the world and now, a decade later, its star pig Okja is being transferred back from a luxuriant Korean mountain to NYC, where a huge parade is set to inaugurate this monumental moment. That's the hype spelt out in the ex-positional opening sketches by a voluble Lucy while interlaced with the movies' opening credits, yet in hindsight, this premise doesn't quite coagulate with its plot, as we will realize, the corporation will have already possessed a giant super pig farm-cum-abattoir which is populated with numerous Okja-sized super pigs assembly-ready to be served as our daily bread by the time of the parade, is it rather self-defeating to make such booster-ism about Okja? After all, they are tons of other equally Brobdingnagian pigs at their disposal. The truth is Okja, as a highly intelligent animal, or a genuine family member to the parent-less Mija, who lives with her rustic grandfather (Byun), is not that special as we might envision, she (yes, Okja is female) is meek, ludic and wholeheartedly devoted to her master, apart from a rousing set piece where she volunteers a heroic fall to save Mija from falling off a precipice, which certifies that she is indeed more intelligent and sentient than a common pet and arguably gives her a ""soul"" so to speak, during the rest of the duration, Okja is regrettably sidelined as an unwieldy, entrapped, piteous critter waiting to be rescued from her preordained fate. In a way, she is even non-aggressive to a fault, we are so prepared to be overwhelmed by the emotional through-line between Okja and Mija, their tenacious fight for reunion (might involve some degree of sacrifice) and then maybe be happy ever after, but that is not exactly in Bong's book. What Bong plies with is something else, he is more invested in humans than in the fantasied creature, convenes an all-Hollywood supporting cast, Bong revels in his lampooning of the corporate hypocrisy, capitalistic avarice and antic mannerism, pinpointed by Tilda Swinton's marvelous dual-presence of evil-twins Lucy and Nancy (one takes a pseudo-humanistic masquerade to sate her ego boost and the other is unqualifiedly money-seeking), and Jake Gyllenhaal's unrecognizable impersonation of a mad-doctor-and-squeaking-compère combo, so hysterical sometimes it borders on cringe-worthy. Meantime, through the prism of the ultimately ineffectual but wacky actions of Animal Liberation Front (ALF), lead by an utterly sincere Paul Dano, a credo-abiding martinet who indoctrinates us ""translation is ABSOLUTELY sacred!"", barbs are also thrown to the activist front, it is laudable to stick to one's ideology out of one's noble conscience, but do they have a well-conceived plan for the aftermath? Let's say, even if they can free all the Okjas, where can they survive? Maybe Bong should have mentioned that there are some super-pig sanctuary somewhere. The best part of this alternately flippant/serious escapade remains in Bong's motherland, namely, the rampage scenes in Seoul and its idyllic panorama, where the film takes pains to give Mija some action to complete, not that exasperating but helpless rubbernecker when transported to USA. In conclusion, on the one hand we cannot help but chuckling to the pragmatic solution which ends Mija's pursuit, because it is so tongue-in-cheek yet also brilliantly refreshing, on the other hand, it painfully reminds us our world is in deep mess right now, and OKJA offers no comfort, no alleviation, no redemption, only derisive navel-gazing might or might not hit the mark.",Okja
