,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,I loved the film but know there are now three versions on video in the USA,10,24 June 2005,"Although so many reviews have been written here for the movie, I am including one because there are now 3 different video versions of this movie and all three are certainly worth watching.Originally in the United States, 20th Century Fox released the movie on video in the early 90s. This is the version I first saw. Then, a few years later, Studio Ghibli (who made this film in Japan) signed a deal for exclusivity with Disney. This has resulted in a more widespread release of their pictures but has also recently resulted in a new dubbed version of the movie. The Disney version has, perhaps, more realistic voices--as the children sound more like kids. However, I prefer the original voices--particularly the voice for Mei. I think it's the same lady who does the voice of Angelica on Rugrats.Finally, there is the original Japanese version that is subtitled into English. I am a bit compulsive and actually have seen all three versions! I think the subtitled is best because there are also a few tiny scenes that are in neither dubbed versions (not enough to change the story, but still I prefer a complete film). Of the dubbed, my loyalty is to the Fox version--it just sounds more charming and cute.Now about the movie itself, the animation is about the best you'll find anywhere--particularly the gorgeous backgrounds. They seem to yell out ""QUALITY PRODUCTION"" throughout. The story, though very simple, is very captivating and the emotional response the film triggers is amazing. Anyone (except a total curmudgeon) will love this charming and simple film. See the movie, as it's about as good an animated film as you can find--regardless of where it was made.",My Neighbor Totoro
1,TheLittleSongbird,Stunning,10,23 November 2010,"I am a huge Studio Ghibli/Miyazaki fan, and My Neighbour Totoro is no exception. In fact it is one of my favourites from them. There are so many wonderful things about My Neighbour Totoro. It is very simple in story and character but it is all very beautiful, charming and touching. The animation is typical Ghibli, ethereal-looking and just ravishing to watch, while the music is one of my favourite scores in a Ghibli film. The story is simple, but I loved the simplicity, it had such a pleasant atmosphere to it, and the characters are engaging with great chemistry together. I have very little to complain about the voice acting either, everybody did a fine job. In conclusion, in my opinion this is an animated classic. 10/10 Bethany Cox",My Neighbor Totoro
2,Leofwine_draca,Fun kid's film from Studio Ghibli,6,27 June 2013,"I'm not the world's biggest animation fan, but I always make a point of watching Studio Ghibli movies whenever they're on; something about the creativity of such films appeals and reawakens the child in me. MY NEIGHBOR TOTORO is my latest watch from the studio, and while it's not my favourite, it does have plenty to recommend it.First off, this is a kid's film through and through, like the later PONYO (one of my all-time favourites). Don't go in expecting another GRAVE OF THE FIREFLIES, because this is all about magical childhood experiences and a break from the real world, a bit like THE SNOWMAN. Adult themes do intrude on the plot - the mother's illness, for instance - but for the most part this is a simple, straightforward children's adventure film.However, the film works due to the level of creativity present in the story, and particularly in the two creations thought up for the movie: there's the troll-like Totoro of the title, an intriguing and odd creature, and then there's the crowd-pleasing and lovable Catbus, the highlight of the whole thing.There's not a great deal of plot or incident, but there's some fine scenes involving kids lost in the forest or flying through the air, and some nicely-judged character work, particularly in the form of the ultra-shy neighbour's child. MY NEIGHBOUR TOTORO might not be the best that Ghibli has to offer, but it's no disappointment.",My Neighbor Totoro
3,SnoopyStyle,cute and sweet,8,16 October 2016,Professor Tatsuo Kusakabe moves his daughters Satsuki and Mei to an old house in the country near the hospital where his wife Yasuko is convalescencing. The girls find tiny soot sprites scurrying away from the light. Mei discovers forest spirit Totoro sleeping in a giant tree. The girls are waiting for their father at the bus stop. He's late. Mei is falling asleep when Totoro shows up. Satsuki gives him an umbrella and he's overjoyed. He gives the girls a gift of acorns as he boards the cat-bus.It's a gentle story with cute characters and an adorable spirit from legendary animator Hayao Miyazaki. The drama isn't that heightened but it's a great coming-of-age story nonetheless. Totoro discovering the fun of raindrops on the umbrella is pure joy. There is simply an endearing gentleness that extend even to the closing credits animation.,My Neighbor Totoro
4,Horst_In_Translation,The age of innocence,6,25 November 2019,"""Tonari no Totoro"" or ""My Neighbor Totoro"" is a Japanese animated movie from 1988, so this one is already over 30 years old and it was written and directed by the legendary Hayao Miyazaki for Studio Ghibli and the fact that it is one of his most known works, given his tremendous body of work, shows you how well-received it is to this day. So does the fact that this is in the imdb top250, actually top150 even, as at this point it is at 133. I can't really say anything about the voice actors and actresses here. Probably only Japanese can if at all. However, I watched the German dub anyway and I thought it was good. Just heard a really brief moment of the Japanese original because I was a little late and rewatched the first five minutes at home and I thought the dad's voice sounded a bit older than he was in the movie. But maybe that is just me.At 85 minutes approximately (including credits already), this was not a long film by any means, but that is perfectly fine because honestly, while I totally think that grown-ups should see this film and enjoy it as much as I did, this is still one of the Studio Ghibli movies that felt more for children, even very young children, than most other works from the production company. And going over 100 minutes really could have hurt the kids' attention span, actually 85 seemed too much already for the ones I watched it with. So fittingly, there were several really young people in the audience during my screening. Glad I got to see this on the big screen now and it was actually the very first time ever I watched it. Also comedy-wise, it is all so harmless and innocent in here really and it fits nicely that there are two girls at the center of the story here, one young and the other very young. So they are the human protagonists. Then there are also of course the fantastic (in the sense of fantasy) protagonists. Early on we have a bit of an introduction to the house and scenery that does not feature the title character yet, but instead shows us tiny little cute black round creatures. Also ghosts or spirits, but definitely not in a malicious way. One character described them as something along the lines of creatures where as long as you smile at them, there is nothing to worry about. But i am sure that even if you don't, there isn't. Just smile more :)Now then there is of course Totoro, who has a really deep voice when we hear him on one or two occasions. Actually there are like three Totoros you could even say, the big one at the center who is apparently Ghibli's equivalent to the Lorax as we find out he is the protector of the forest, but also the two smaller ones (the smallest one being white, but no explanation why), who are seen first by the very young character and they lead her (not entirely intentional) to the big one. But it is alright. They make friends quickly. When she followed them down there, it almost felt like Alice following the white rabbit. The sleeping moment fits as well. This was by the way also one reference that showed me how harmonic everything in this world is. When the tiny girl mentions how she met Totoro, neither her sister nor her father say something like ""oh don't be stupid it was just a dream and you dreamt of him because you saw him in the book earlier that day"" No, they completely believe her and also do not just act this way. The other girl says or writes in her diary or so that she really wants to meet Totoro too and soon it happens. By the way, you can see Totoro here on the imdb photo on the right obviously. He looks like an XXL version of a mix between cat, owl and mouse somehow. Very interesting creation.Anyway, back to what I said before, namely the scene in the rain. That was a really funny scene, actually the one when the older girls run into Totoro for the very first time. And how she really tries so hard to not look at him, although she is genuinely curious, definitely also a bit anxious, is hilariously awkward to watch. Also what follows with the umbrella and the huge amount of rain pouring down after Totoro stomps on the ground. Maybe the best scene of the movie. But there are others, also smaller less significant scenes. I think Studio Ghibli always manages so well to show authentic kids behavior. Disney does not always manage this well. Let me mention just two examples. The first moment would be right at the very start when we have the kids in the car and they mistake a mailman for a police officer and they hide although they obviously have done nothing wrong, but it is what kids do because police officers have the power to punish people. And then seeing it is a mailman, they wave at him and he waves back. very sweet beginning. The second scene would be the one when we have the small girl play outside the house and she says it is already lunch time or so and then the father says it is still pretty early for that and then there is a moment of silence and briefly the girl just shows up at the table where the father is working and brings him some flowers she collected. This felt so real. It's just very difficult to describe why. You have to watch it.For drama purposes, but nothing too serious, there is the sick mother. We don't find out what she has exactly., but she needs to stay at the hospital for a long time apparently and when she has a cold near the end, the girls are worried she might be dying. Also kids' fantasy and exaggeration, this time in a bad way. The small girl runs to the hospital then and goes missing (honestly she was such a whirlwind that I wondered why it took so long till they lost track of her) and there is another dramatic moment when they find a small sandal in the water indicating maybe she could have drowned, but of course she hasn't and she is fine and is found again and in the end the two girls take a look at their parents inside the hospital and they see everything is alright. They got there by the way with the help of their new friend Totoro actually or I should say thanks to this cat bus (you know what I mean when you see it) and it was really hilarious when we heard ""Next Stop: Little Sister"" and also afterwards ""Next Stop: Hospital"". Even if the cat bus looked so weird that it also could have been an antagonist if they had wanted it like that. Then again, the tiny girl also has a moment here and there when she looks slightly evil, even if this is not meant to be. Or when the three are having a bath together and the dad starts laughing to basically laugh the scare away, he felt so evil to me. Haha maybe just my perception.More cute kids moments and references by the way include the younger girl and how she keeps saying she is not scared and tries to act all grown-up at times, but sleeping and cuddling with her mother is a completely different story. Of course they clearly miss her. Okay I think this would be all then. Overall definitely an enjoyable watch. Visual side is as convincing as always for Studio Ghibli, nothing to criticize here. Soundtrack did not blow me away this time really, but it is still fine. I don't think this is my favorite Ghibli/Miyazaki work, but this is just because some of the other stuff they/he made is so amazing and definitely not because this one here is bad or anything. It's a good film. No hesitation for me in giving it a thumbs-up and positive recommendation. Go see it if you haven't already unless you hate anime. Still if you do, then this could be a film that breaks the spell for you to open up.",My Neighbor Totoro
5,kosmasp,A Totoro for everyone,10,18 June 2020,"Or one for two would also be cool. Now I'm not sure what the Totoro is or was based on. But I know when it comes to imagination Studio Ghibli had an abundance of it. Which is present here too. You have to suspend disbelief and let fantasy reign. Your inner kid will thank you for it.Another reviewer says this movie restores his faith in humanity in him. There are many things one can take from watching this, but I would think this is one of the best takes anyone can get. Funny, playful, dreamy, but still coherent throughout, this really takes your mind of things. Not to mention our main characters, who have their worries, but also can rely on Totoro and others to give them some peace of their mind",My Neighbor Totoro
6,classicsoncall,"""We had such a weird, mysterious, spectacular day!""",7,17 November 2017,"Director Hayao Miyazaki has certainly made his mark with the IMDb audience. If I'm not mistaken, ""My Neighbor Totoro"" joins four other of his films in IMDb's Top 250 movies. I've now seen them all, and probably come away from them with ""Howl's Moving Castle"" as the most appealing to me.The version of this film I saw was the Studio Ghibli/Disney rendering, and perhaps it was a by-product of that translation, but I was surprised with the pronunciation of the name 'Totoro'. It was rendered as 'Toe' tuh ro' with the emphasis on the first syllable, whereas before I knew that, I would have pronounced it 'Tuh tor' ro, with the emphasis on the second syllable. Maybe that's anglicizing it, I don't know, but it sounded a little off to me.What stood out to me were some of the concepts that came out of Lewis Carroll's ""Alice in Wonderland"", with elements like Mei falling down a tunnel (replacing the rabbit hole), and later on with the appearance of the smiling Cheshire Cat bus. I don't know enough about Miyazaki to know whether he was influenced by the Alice story, but he did something similar in ""Howl's Moving Castle"" when the Witch of the Waste was defeated by a bucket of water, a nod to Frank Baum's ""The Wizard of Oz"". I acknowledge that it's difficult to come up with something creatively original and brand new, but those two examples suggest that Miyazaki borrowed some of his ideas from other sources.The story itself is quite charming in it's way, and the two young girls role model an ideal family relationship. What bothered me was the way the story left their mother's condition unnamed except to say that she was ill and confined to a hospital. For some reason, the idea that some form of mental illness may have been involved kept intruding while I watched the story. There was nothing overt to suggest that, but neither was there a reasonable expectation offered that she would be out of the hospital any time soon, and I kept wondering about that.What I liked most was the imagination that came up with 'soot gremlins' and the titled Totoro itself, along with those little ghost-like apparitions that followed along. Even though a haunted theme was mentioned more than once, it didn't seem to affect Satsuki and Mei, who were innocent enough not to be fearful of the unknown. That was probably the most charming aspect of the story, and if one were to ask about a recommendation to watch the film, I'd suggest following the acorns.",My Neighbor Totoro
7,gavin6942,I Just Don't Get It,5,12 June 2015,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.At this point, I think I have seen all the major anime films, from this one to ""Spirited Away"" to ""Princess Mononoke"". And I just do not get the appeal. The stories are sort of interesting with that fantasy element that is unique to the Japanese. But the animation is pretty weak, and it seems even sillier once you add the dubbing. (Of course subtitles would fix this, but nothing can fix the silly animation.) Some day it will make sense to me maybe... then again, probably not. But I probably never have to see any anime again so long as I live, as I have now checked them all off the IMDb 250.",My Neighbor Totoro
8,jboothmillard,My Neighbour Totoro,7,28 July 2018,"I had seen the image of one of the recognisable title creature from this Japanese anime movie several times, and I am obviously a big fan of the animations from Studio Ghibli, so I could not wait to watch it, directed by Hayao Miyazaki (The Castle of Cagliostro, Spirited Away, Ponyo). Basically set in 1958 Japan, university professor Tatsuo Kusakabe (Tim Daly) and his two daughters, Satsuki (Dakota Fanning) and Mei (Elle Fanning), have moved into an old house to be closer to the hospital where the girls' mother, Yasuko (Lea Salonga), is recovering from a long-term illness. The house is inhabited with by tiny creatures, small, dark, dust-like house spirits called susuwatari, until the girls and their father settle into the house, the soot spirits drift away on the wind to find another empty house. One day, Mei sees two white, rabbit-like ears in the grass, they are two spirits, they lead her through a briar patch and into the hollow of a large camphor tree. She meets and befriends a larger version of the same kind of spirit (Frank Welker), it identifies itself with a series of roars, which Mei interprets as ""Totoro"", she falls asleep atop the large creature. When Satsuki finds her, she is on the ground in a dense briar clearing, despite her attempts, Mei cannot show her family Totoro's tree. Tatsuo comforts her, telling her she must have encountered the ""keeper of the forest"", and that Totoro will reveal himself when he wants to. On a rainy night, the girls become worried when a bus they are expecting carrying Tatsuo does not arrive, Mei falls asleep, and Satsuki is able to see Totoro when he appears beside them, he is delighted to be offered an umbrella to shade him from the rain. In return, he gives her a bundle of nuts and seeds, then a giant bus-shaped cat appears, halting at the stop, Totoro boards it, taking the umbrella, they disappear, shortly after Tatsuo's bus arrives. The girls plant the seeds, a few days later Totoro and his miniature colleagues appears and engage in a ceremonial dance, when the girls join in, the seeds sprout, growing and combining into an enormous tree, then Totoro, his colleagues and the girls go for a ride on a magical flying top. In the morning, the tree is gone, but the seeds have indeed sprouted, it is unclear if they girls were dreaming or not. The girls find out that a planned visit to Yasuko has been postponed due to a setback in her treatment, Satsuki is disappointed and worried, while Mei is upset and angry, leading to an argument between the sisters. Mei disappears, prompting Satsuki and the neighbours to search for her, Mei is trying to walk the long distance to the hospital to bring her mother some fresh corn. In desperation, Satsuki returns to the camphor tree and pleads with Totoro to help her, he is delighted to assist, and summons the Catbus, which carries her to where Mei has stopped. Having rescued Mei, the Catbus then whisks her and Satsuki over the countryside to see Yasuko in the hospital, they perch in a tree outside, to overhear the conversation between their parents. They hear that their mother has a minor, but is otherwise fine, they secretly leave some corn on the windowsill, and return home in the Catbus. Eventually, Mei and Satsuki's mother returns home, the sisters play with each other, while Totoro and his friends watch the family from afar. Also starring The Little Mermaid's Pat Carroll as Granny, Paul Butcher as Kanta and The Simpsons' Russi Taylor as Additional Voices. This film has developed a cult following over the years, it is interesting insight into childhood innocence and experiences, it is a bit of minimal storyline, but you can enjoy the adventurous moments, furry Totoro is adorable, the 12-legged cat bus is wonderfully bizarre, and the colourful animation is of course delightful viewing, a worthwhile animated fantasy. Very good!",My Neighbor Totoro
9,Tweekums,An enchanting story for all ages,10,25 April 2008,"My Neighbour Totoro is one of the most enchanting films that I've seen. As one would expect from a film made by Hayao Miyazaki the animation is beautiful and detailed and the story engrossing.The film start with a man and his two young daughters, Satsuki and Mei moving to a house in the country. When the girls explore the house they find strange creatures that look like tiny black fur balls which scurry away as soon as anybody enter the room. While Satsuki is at school Mei sees a strange little creature, about the size of a rabbit, in the garden and chases it into the forest, here she finds a similar creature which is much larger. She names them ""Totoro"", which I believe is a slight mispronunciation of the Japanese word for a troll.When here father and Satsuki find her sleeping in the woods we are left unsure whether it was real or whether Mei had dreamt it. Not long after while waiting at the bus stop in the rain Satsuki also sees Totoro as he is waiting for his bus... not just any bus though, he rides in the Cat-bus, a wonderful eight legged creature who's eyes are its headlights.This film is suitable for people of all ages, there is no antagonist and the only slight worries are when Mei gets lots while trying to walk to see her mother who is in hospital.This comment was based on watching the film in Japanese with English subtitles, I've only seen a little bit of it in English but what I saw gave me no cause for complaint.",My Neighbor Totoro
