,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,well that got melodramatic,5,9 August 2018,"In L.A., Elle Evans (Joey King) and Lee Flynn (Joel Courtney) have been best dancing friends since the day they were born at the same time to two best friends. Elle discovers that she has developed a crush on Lee's older hunky brother Noel (Jacob Elordi). The main problem is that Elle and Lee have set up these rules and dating the other's family is definitely one of them.I hope for nothing but good things for these adorable actors. This may not be one of those good things although it's not irredeemable. King is an adorable child actress trying to grow up on screen. Elordi is in full hunk mode. Courtney has limited character work in his role. Everybody is good. Even the mean girls are not complete ditches. This seems to be a simple cheery teen rom-com. There are a lot of referencing 80's and 90's especially the music. They're passing notes in class for heaven's sake. In the modern era, a kissing booth is impossible for a high school fundraiser. I don't think it would work for any fundraiser. This stuff hasn't been done since Revenge of the Nerds. Leaving that aside, their kiss makes no sense. He wouldn't be waiting around at the kissing booth. The plot is so simplistic that the movie refused to develop a love triangle. It threatens to try early on and quickly draws back. All of that is fine until it tries to be overly dramatic. There is no real drama to be had but the movie insists on injecting some big emotional conflicts. It could have done some smaller emotional arcs to maintain its poignancy. He's going to college and that's enough for emotional drama. As for Lee, the movie deliberately gives him a girlfriend before the reveal so that there is no chance for romance. The first half works somewhat as a light teen rom-com geared for girls. The second half struggles to make it dramatic when it doesn't need it.",The Kissing Booth
1,kosmasp,Teenage Girl Problems,4,9 October 2018,"You know I should have known, but then again I don't read anything about movies I am about to watch. And I try to watch as much as possible. In this case, this is most certainly aimed at a female audience and a very young one at that. So if that is true for you, ignore my rating and add some point to it (at least 2 maybe even 3 to 4).Having said all that, this is as cliche as it gets. It is convenient when it needs to be and far more complicated than it has any right to be, just to ""up the ante"", make it more dramatic. It tries to tell us it's not the usual cliche thing and sometimes throws in something edgy, but overall it is that romantic cliche movie you and you know where it is heading ...",The Kissing Booth
2,morrison-dylan-fan,The first Kissing Booth.,7,11 March 2019,"One of the most interesting developments which caught me by surprise of cinema in 2018 was all of the reports about the Rom-Com genre being fully revived. Taking part in an ICM poll for the best films of 2018,a family friend praised one of the Netflix Rom-Com flicks at around this time, which led to me stepping into the booth.View on the film:Directing for the first time since 2015's TV Movie Liar, Liar, Vampire, writer/director Vince Marcello & cinematographer Anastas N. Michos display an impressive ease over shaking the Rom-Com and YA Drama up together, via slick panning shots and criss-crossing sparkly montages dancing to Lee and ""Elle's"" friendship smoothly sitting side by side with circling panning shots and a Teen Drama soundtrack for the blossoming romance between Elle and Noah (who the makers don't try to hide is a foot taller than her.)Taking Beth Reekles's YA novel out of the booth, Marcello keeps the heightened romance that the genre is known for intact, but pins it down with a Rom-Com playfulness, from the initial dancing bond which leads to friends Elle and Lee making a list of rules to follow in life, to Noah and Elle having to find sly ways to hide their romance. Sharing almost every scene together, Joey King, Joel Courtney and Jacob Elordi each give bubbly turns as Elle, Lee and Noah Flynn, with King bringing out Elle's tenderness for the brothers, who Courtney and Elordi keep in a confrontational state,as the kissing booth opens.",The Kissing Booth
3,Hellmant,Way more of a cheesy kids' film than I was expecting!,4,18 May 2018,"'THE KISSING BOOTH': Two Stars (Out of Five)A teen romcom about a popular high school girl that's never been kissed, who ends up in a kissing booth with her secret crush. The film was written and directed by Vince Marcello, and it's based on the youth novel (of the same name) by Beth Reekles. It stars Joey King, Joel Courtney, Jacob Elordi, Meganne Young, Byron Langley and Molly Ringwald. The film was released by Netflix through it's streaming site. I found it to be really clichéd and forgettable. Elle Evans (King) and Lee Flynn (Courtney) have been best friends since childhood. Now Elle is a popular 16-year-old girl who's never had a boyfriend or ever been kissed. Lee is an unpopular nerd, but his older brother Noah (Elordi) is the most popular guy at their school. Elle secretly has feelings for Noah, but she knows it would break Noah's heart to do anything about it. Then Elle ends up in a kissing booth at school with Noah, and everything changes. The movie is a very kid friendly teen romance. It's definitely way more of a cheesy kids' film than I was expecting, and I never would have watched it if I had I known that prior to seeing it (I watched it because I've been watching almost every Netlix original film lately). So I definitely can't recommend it to most people, but if you're a teen girl (or a small child) you'll probably enjoy it. Everyone else should definitely avoid it.",The Kissing Booth
4,ops-52535,nice,8,11 May 2018,"Highschool movies are usually based on cheer leading,footballers and always angeled towards sex. that was my expectation when i flixed this on the net.
but i was very wrong. allthough there are sex, its a very varm and emotional story told in this netflix -piece.a long life friendship,with its secret rules are threatened from within.its a lot of fun,dancing to nice music,laughing,drinking,and not to forget , a lot of kissing.but also hate ,loss,crying and fear gives this movie a lot of sense and immersion
there are so much positive in here that should be reviewed,but that would spoil the fun,so take a view yourself.
this was a nice surprise for an old man, will i recommend this to my wife? definately.",The Kissing Booth
5,pennyelenabooks,Not Good Enough,1,27 September 2018,"For a teenager's rom com, the kissing booth is just okay. But it just felt like a tv movie that was rushly made. Weak plot and way too many plot holes. At least the leading lady was good, and she did a great job carrying this movie on.",The Kissing Booth
6,pennyelenabooks,Not Good Enough,1,12 September 2019,"The Kissing Booth was more like a tv movie even for Netflix. The story was predictable, cliche, idiotic at times and just not worth it. The leads didn't have chemistry, the story didn't make sense and the final message was just not there. Not even for a lighthearted movie is this worth watching.",The Kissing Booth
7,marmar-69780,The Kissing Booth,4,16 August 2020,"So i decided to watch this film before watching a new one,but im not looking forward to it cause i know that it will be awful,and when we talk about this one it is not also very good, but it had some good moments in it,acting was for the most of part solid,and for this kind of film it worked,some scenes were cute to and it was nice to see how friendship is very important but also that it cant decide in some moments what is good to us and that we need to listen our heart sometimes more,now lets move on to weaker parts,script was very cheesy and some scenes were very unrealistic and just plain stupid,our lead girl was also in moments annoying with her attitude and constant switching minds between choices, Kissing Booth isnt nothing special but it has some staff worth watching it",The Kissing Booth
8,RosanaBotafogo,Extremely beautiful and cute...,9,9 August 2020,"The synopsis in its simplicity does not translate, by far, all the charm and tenderness of this teen bluster, extremely cute and delicate, with a sweet, almost mushy mood, it reflects a lot of me, maybe that's why the automatic identification, every friendship relationship , in a clumsy, sincere and faithful way... Only those who had and have friendships like this can appreciate in its completeness... Extremely beautiful and cute...",The Kissing Booth
9,lisafordeay,Decent teen romance,6,1 February 2021,"The Kissing Booth is a 2018 romantic teen comedy starring Joey King(Ramona and Beezus),Jai Courtney, Jacob Elcodi and Molly Ringwald. It tells the story of a young teen Ellie(King) who has a crush on a guy named Noah(Elcodi)who is the brother of Lee(Courtney) who Ellie is best friends with. But who will she choose,her best friend Lee or her crush Noah.Yes its cliched,yes it has all the tropes of a romantic comedy e.g. best friend falls in love with female friend who is not interested in her best friend and she later falls for him cliche(Win A Date With Tad Hamiliton, 13 Going On 30).If you love teen rom coms then do check it out. Teen icon legend Molly Ringwald from The Breakfast Club and Sixteen Candles plays Noah and Lee's mother Mrs.Flynn.",The Kissing Booth
