,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,ALMOST great,9,25 May 2005,"What a wonderful film! It, along with PATHS OF GLORY and DR. STRANGELOVE, are my favorite Kubrick films. However, while I could find no fault with the other two films, there is ONE flaw that prevents this movie from being truly great: it just didn't know WHEN to end. When the Romans capture the rebels and announce that they will kill Spartacus but spare the others if they turn him over, the movie SHOULD have ended just AFTER all the rebel slaves stood up and announced ""they were Spartacus"". This would have made this movie PERFECT. Instead, it drug on for another 20-30 minutes trying to needlessly tie up all the loose ends. It was as if Hollywood would not allow the movie to end any other way.Just imagine the impact of ending the movie earlier followed by scenes of the thousands of impaled rebels as the closing credits rolled!!As for the rest of the film, the acting and screen writing were superb--as good as it gets.",Spartacus
1,TheLittleSongbird,So what if it's historically inaccurate?,9,18 April 2010,"I know my summary may sound opinionated...but I couldn't help being entertained by this film. If I had any complaints it would be there are one or two parts that suffer from uneven pacing and in the latter half especially there are a lot of wordy speeches from Kirk Douglas. That said, it is very well made, with sweeping cinematography, beautiful costumes and well constructed sets. The score is triumphant and bombastic, Kubrick's direction is secure and the script is surprisingly intelligent and knowing. Also the action is brilliantly done, and the performances are to be much applauded, with Kirk Douglas believable and sincere in the title role, Jean Simmons alluring as Varina and Laurence Olivier, Peter Ustinov and Charles Laughton stealing every single scene they are in.Overall, maybe not Kubrick's very best, but a fine historical epic. 9/10 Bethany Cox",Spartacus
2,bkoganbing,The Eternal Cry For Freedom,10,6 March 2005,"From what little I've read of this film it was lucky to have been made at all. Some very big talents had some very big egos and those egos clashed repeatedly. Original director Anthony Mann was replaced by Stanley Kubrick by Producer/Star Kirk Douglas among other clashes.But the result was all worth it. The stars all give top notch performances, but the mark of a really great film is the memorability of each individual in the ensemble. To give a few examples, Charles McGraw as the sadistic trainer at the gladiatorial school, John Dall as Sir Laurence Olivier's protégé, and John Ireland as Kirk Douglas's fellow gladiator trainee are all memorable in the brief roles they have.Kirk Douglas wisely opts for a straightforward interpretation of a hero in the title role of Spartacus. He's a BC everyman, born into a world which hadn't heard anything about human rights, he knows and feels he's not just cattle. Catch the alternating scenes of Douglas and Sir Laurence Olivier addressing the slave army and the Roman Army. Olivier with his years of Shakespearean training coming across as the tyrant to be, and Douglas in simple prose talking about the slaves fighting for their hopes and dreams. Very effective.The plot concerns a revolt at a gladiatorial school which mushrooms into a crisis for the Roman Empire. Political factions led by Olivier as Crassus and Charles Laughton as Gracchus seek to use the slave revolt to further their own ends. Laughton as always is a wonder. It's a bit of unusual casting for him because his parts are usually those of very tortured souls. His Gracchus is a sly rogue, but a decent man. One of my favorite movie lines of all time is delivered by him addressing the Roman Senate where he says he'll ""take a little republican corruption for a little republican freedom."" Another sly rogue in the film is Peter Ustinov who won the first of his two Oscars as Batiatus the owner of the gladiatorial school. Like so many others I'm sure in those days, he's just trying to come out on the winning side when doing so could be a life or death situation.Jean Simmons as Varinia, beloved of Spartacus, has the only woman's part of any substance. But when was Ms. Simmons bad in anything. One of the most underrated and under-appreciated actresses in the history of film.The lessons about man's desire for freedom and to control his own destiny are eternal and valid. And this film will be also.",Spartacus
3,Leofwine_draca,Benchmark historical epic,7,10 April 2011,"Kubrick's retelling of a Roman slave revolt remains fresh and exciting over fifty years since it was first released. Kirk Douglas, in one of his most iconic turns, plays the titular role as a low-born but noble hero and the opening sequences of gladiatorial combat are excellent - truly this was the GLADIATOR of its day (and then some).Once the revolt comes about the film veers into the murky waters of politics, detailing the power-hungry machinations of Crassus (a sinister Laurence Olivier) and his enemy Gracchus (Charles Laughton, clearly having a ball as the corpulent senator). The actual front-line battles between slave and Roman armies are mostly kept off-screen, at least until the climatic set-piece which is tremendously well executed (I'd take the burning logs over any of Michael Bay's empty explosions).Unfortunately, the film is undoubtedly overlong, with far too many sentimental/repetitive romantic interludes with love interest Jean Simmonds. Kubrick's talent as director is sometimes wasted in the many exposition scenes which are no better than those in your average peplum. Think of this as a film with a great opening, great climax and middling mid section and you'll be right. Watch out for memorable turns from Woody Strode (compelling), Herbert Lom (slimy), John Ireland (tough), Tony Curtis (fey) and Peter Ustinov (hilarious).",Spartacus
4,SnoopyStyle,Iconic masterpiece,10,17 August 2013,"It's 1st century BC. Rome is corrupt and functions by slavery. Spartacus (Kirk Douglas) is forced to be a gladiator in a school run by Lentulus Batiatus (Peter Ustinov). He falls for a slave named Varinia (Jean Simmons). He leads a revolt against his Roman masters as more slaves join. Educated slave Antoninus (Tony Curtis) joins them. They are opposed by Roman armies and Senator Marcus Licinius Crassus (Laurence Olivier).Stanley Kubrick created a masterpiece. It's not only a great movie but it's influential. It's iconic. The acting power is off the charts. The legendary names would easily make it to the pantheon of acting. The scale of production is massive. It's grand in the old Hollywood sense. It fits its ambition. The story is about a gladiator revolt that turn into a slave revolt that turn into an all out war. It has some great iconic movie scenes. When the slaves each claim the name Spartacus, this becomes more than a simply great movie. It is movie history. It is a must see.",Spartacus
5,mark.waltz,"An epic of the evils of slavery in any era, any location, any culture....",10,10 January 2013,"The ancient Romans prided themselves on their democracy, provided that you were a free man, and that you fell within a certain social structure. So in over 2000 years, times haven't really changed, only the names of what ""slaves"" are referred to as now are. Stanley Kubrick's masterpiece is a document of slaves saved from certain death for uncertain death by becoming gladiators, the ancient version of today's prize-fighters. Spartacus (Kirk Dougla) is discovered enslaved on the rock pile and is bought by upperclass Peter Ustinov and made a gladiator. His training is rough and dangerous. Seen jumping to avoid being hit on the legs by a rotating wooden plank, he then has to duck to avoid being hit in the head. The wheel turns faster, the planks are removed, and sword-like objects are revealed. The next thing you know, he is in the ring, afraid of ending up fighting one of his new found pals. But when one gladiator refuses to execute him as ordered, he is killed by the vicious Roman nobleman (Laurence Olivier) and Spartacus escapes to gather the gladiators together to form an army against these practices. Meanwhile, Olivier reveals an attraction to one of his slaves (Tony Curtis) who escapes and joins forces with Douglas, now married to Olivier's former house servant (the lovely Jean Simmons). The gladiator's army increases in size, and prepares to leave Rome, but Rome won't leave well enough alone as Olivier teams with Julius Caesar (John Gavin) to bring the gladiators to their knees.Brutally filmed to show the inhumane treatment of these strong men living as ""slaves of entertainment for the bored rich"", their exploitation at the hands of the upper class isn't made to look pretty or glamorous. They rebel as they realize that they are going to die anyway, so they might as well die with their integrity intact. Then, there are the noblemen who find their places in society diminishing because of decreasing resources who end up protecting those they used to exploit themselves. Along with Ustinov, that group includes the legendary Charles Laughton (who years earlier played Roman emperor Nero) in one of his last films. Watching the wealthy Roman women get into watching gladiators being basically torn apart reminded me of the evil Livia (Sian Phillips) in the BBC mini-series ""I, Claudius"", and her scene with gladiators almost a hundred years after this took place demanding real blood, a good show, with plenty of coin for the living and a decent burial for the dead. Nina Foch and Joanna Barnes are Olivier's wife and daughter who act like the female fans of prize-fighting films of the 40's, screaming and drooling over the scantily clad gladiators (leaving little to the imagination) in a lustful manner, much like Myrna Loy in ""The Mask of Fu Manchu"".Even at over three hours long, ""Spartacus"" is never boring, and has some truly amazing battle scenes and a final confrontation between Douglas, Curtis and Olivier that is ultra-chilling. Jean Simmons, even playing a basically supporting role, has a lot to do as Douglas's devoted spouse who must stand up to Olivier after the battle between the gladiators and Roman army. The final scene is a heartbreaker and is one you will remember long after the film is over.",Spartacus
6,kosmasp,Power to the .. People,10,2 June 2021,"There is a reason why a ""simple line"" just as ""I am Spartacus"" has become infamous in movie history. While the whole story and the character of our main hero here can be discussed and what may or may not have transpired, I think it is quite obvious that this was the most creative freedom/liberty they took by making the movie/story.The fact that this was written by Trumbo, who has his own struggle and oppression he fought and ultimately directed by Kubrick, someone who no one would call an easy director (which has nothing to do with his ability or general craftmanship of course) - to star Kirk Douglas, who also produced it ... there is a backstory there too about where he or rather his parents came from to make something of themselves.And those are just ""side stories"" that have nothing to do with the movie itself. While the TV was amazing and really violent and bloody, this has other strengths. Even nudity can not really be found here (though it gets hinted at), while violence has some minor part in it (just the suggestion of someone biting someone elses foot is crazy enough for my book though).Our main hero has issues .. and he is not a hero from the start. He is more a wild man with no visible goal or direction. Well other than to survive. Even when it comes to the Gladiator ""game"" he openly admits that he would do anything to save his own skin ... but he learns his lesson ... from another slave/gladiator. There are many who ""help"" him along the way - help him become who he'll inevitably become.Great actors round up the cast, with the movie never feeling too long or too stretched - even when we leave our main story/character and involve ourselves with politics. How we get to what possibly happened in reality is really something to behold. The movie begins like it was shown back then ... with many minutes of music ... has a middle piece and an end piece also with music ... epic some would call it.Epic is also the picture quality - I watched the 4k version of this and the restoration work they did ... phenomenal! If I didn't know this was 60+ years old I could not tell! There is a bonus feature that delves into that process and I take my hat off Universal and all the people that made this possible! Great movie that deserves to be seen in the best way possible (4k at the moment, this might become 8k or whatever at some point in the future)",Spartacus
7,classicsoncall,"""I am Spartacus""!",9,7 August 2011,"With it's epic sweep and impressively staged battle scenes, ""Spartacus"" earns it's reputation on the American Film Institute's Top One Hundred Films List, revised in 2007 to include a picture overlooked ten years earlier in the Institute's inaugural dedication. Perhaps what's even more compelling in the picture than the slave revolt led by the title character, portrayed by Kirk Douglas, are the political machinations and intrigue involving members of the Roman Senate who jockey for power in a manner that would make Congressional leaders envious today. At just over the half century mark since it's original release, the film is well recommended for it's fine characterizations and excellent cinematography, and due to it's subject matter, does not have a dated feel having been made in 1960.At the center of the story is Spartacus, the Thracian who leads a slave revolt against his Roman masters, and rises to become a skilled warrior and brilliant tactician. Interjecting a love interest for Spartacus in the person of Varinia (Jean Simmons) does not distract from the main thrust of the story, as their romantic love slowly builds over time, overcoming forced separations and the demands of duty. What the viewer must ultimately contend with is the defeat of the slaves, and the tearful reunion of Varinia and Spartacus at the finale, he crucified for his role in the uprising, she having earned her freedom via a hastily arranged bargain by Lentulus Batiatus (Peter Ustinov). At least Spartacus learns that his newly born son will grow up free, a theme constantly revisited and stressed over the course of the story.Though Stanley Kubrick is nominally credited as the director of ""Spartacus"", one would be hard pressed to discern an identifying trait of his film-making technique here. Compared to his highly stylized films like ""2001:A Space Odyssey"", ""A Clockwork Orange"" and ""Barry Lyndon"", this picture approaches a much more traditional action/adventure style, definitely influenced by star Douglas' participation on the production end. His own interpretation of the film's hero is commanding and straightforward, leaving no room for wavering in his singular quest. In one of cinema's most powerful and dramatic moments ever captured on screen, the warrior hero is given the highest honor when hundreds of his followers rise in defeat to declare ""I am Spartacus""!",Spartacus
8,gavin6942,"Of His Work, The Least Influence of Kubrick's on Film",8,18 March 2010,"Spartacus is Kirk Douglas, and he doesn't mess around. He escapes the Romans and wants to kick their booties. Oh, and he has plenty of slaves to help him. Like, thousands. That's a whole lot of slaves.The film is pretty straightforward as far as the story goes -- slaves escape and return to kick butt. But it's some of the dialogue that is interesting. One man debates the moral difference between eating oysters and eating snails. To him, there is none, and that is analogous to sexual tastes... an interesting and probably enlightened perspective.The film is supposed to be anti-slavery, with Spartacus dreaming of a day where slavery ceases, which the narrator says will take another 2000 years. One wonders if Spartacus was all that concerned about the slavery of other races, or if slavery has truly been abolished. Over the years, it has risen again and again in different societies throughout the globe in various forms. Are we so advanced today we have entirely removed the shadow of slavery?",Spartacus
9,lee_eisenberg,you can tell that it wasn't Kubrick's idea,7,31 July 2005,"When you watch most of Stanley Kubrick's movies, you can identify the certain touch that he puts in them. ""Spartacus"" is the exception. Kubrick was in fact hired to direct it, and you can tell: it seems more like something that Cecil B. DeMille would have directed.That said, it was actually pretty good. The true story of Thracian slave Spartacus (Kirk Douglas) who led a revolt against the Roman Empire never drags itself; on the contrary, you want it to continue. With a supporting cast of Laurence Olivier, Jean Simmons, Tony Curtis, Charles Laughton and others, this is what sword-and-sandal movies are all about. Although I do wonder how it would have come out had Kubrick been in control of it.",Spartacus
