,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Stylish and entertaining with a good cast if majorly problematic,6,22 March 2015,"Despite the very mixed opinions on Fracture the casting was very promising, which was reason enough to check it out. After watching, Fracture had a lot to recommend but didn't fully live up to its potential.Fracture does have a lot of good qualities or so I thought. It's very stylishly filmed with some unusual but well-done camera angles and eye popping colours. The music score is suitably understated and suspenseful, the script is clever and sharp with some intelligent dialogue in the courtroom scenes and the story has its diverting parts with the courtroom drama entertaining and suspenseful and the twist is interesting. It's well directed and the cast were great and lived up to their potential. Anthony Hopkins' accent is inconsistent but he's still chillingly commanding and Ryan Gosling is equally very good in a very polar opposite role. Their cat and mouse chemistry provide a lot of the film's entertainment. Embeth Davidtz, Billy Burke and David Strathiarn acquit themselves very well too and Fiona Shaw stands out as a sharp-tongued, dry-witted judge.Wasn't crazy about Rosamund Pike here, she looks great and is a talented actress with a number of good performances under her belt, but while she makes a real effort to give off a cool-as-ice authority I found her character to be pointless and very indecisively written. The story has its fair share of good parts but it is also majorly flawed, it does get complicated and ridiculously preposterous complete with a thrown-in and unnecessary romantic subplot and an ending that has too many loose ends. The pacing can be absorbing but can have a tendency to drag and unfortunately when it does it does so badly. Overall, entertaining and well-made with a good cast who give impressive performances but very problematic in the story department, which is a shame. 6/10 Bethany Cox",Fracture
1,bkoganbing,Hopkins And Gosling Holding Up A Weak Story,5,24 April 2007,"I will always try to see anything with Sir Anthony Hopkins and Ryan Gosling in it, their names at the top of the billing for Fractured guaranteed me plunking down ticket money. Although in this case I used an earned pass at the Regal Cinema.I did enjoy the playing of both of these guys in a very improbable tale of a man who kills his wife and then is arrested for the murder in what seems an open and shut case.And for the audience it is open and shut because we know right at the beginning Hopkins did it. The story is how he manipulates the system and the people working in it for his own ends.Hopkins's wife is having an affair with homicide detective Billy Burke and we know that also right at the beginning. Unfortunately the problem in this film is that the plot is predicated on Hopkins KNOWING that Billy Burke will be the investigating detective on the scene when the crime is called in. Still Hopkins and Ryan Gosling as the preoccupied District Attorney who is looking to make a career move and not giving the Hopkins case the attention it deserves turn in a pair of fine performances. My favorite in the film however is Billy Burke as the tragic detective in the story.Recommended for fans of Anthony Hopkins and Ryan Gosling.",Fracture
2,SnoopyStyle,Gosling Hopkins faceoff,7,6 October 2013,"Willy Beachum (Ryan Gosling) is a slick prosecutor on his way out to bigger and better things in the private sector. For his last case, brilliant wealthy Ted Crawford (Anthony Hopkins) has killed his wife. He seems to be unbalanced as he demands to represent himself. It looks to be an open and shut case. That is until the gun they got isn't actually the murder weapon, and worst of all, the arresting officer was having an affair with the wife.Ryan Gosling is effective as a slick young gun who got caught with his pants down. Anthony Hopkins is doing a variation of Hannibal Lecture. He's less cannibal but all the same just as smart. It's nice to see them face off. Some of the actors overplay their roles especially detective Flores (Cliff Curtis). While I get why everybody has to be against Willy, it does make it seem oversimplified.",Fracture
3,Hitchcoc,Will We Ever Get to the Point?,7,25 March 2010,"This film has all the elements to make it great. Anything with Anthony Hopkins at his quirky best is immediately attractive. He kills his wife and then challenges the young lawyer to do something about it. Of course, he has hidden evidence and is messing with the mind of the young prosecutor. Shades of Hannibal Lector. This works pretty well for the most part. There are some real problems. I'm not going to throw in any spoilers, but when you go back over the events when the police first arrive, imagine on what a delicate thread Hopkins' character is treading. That's all I'll say. The other thing that I have trouble with is that while there is an epiphany, it isn't presented in the methodical, thoughtful way that more successful films present such things. Also, everything grinds to a halt for an interminable period. We need a little success and a little desperation from the bad guy. It just didn't fulfill it's promise at the beginning, a common weakness in contemporary psychological thrillers.",Fracture
4,Prismark10,Cracks in the case,6,5 July 2014,"A cat and mouse thriller with sumptuous LA shots and nice cinematography Fracture is a flawed but elaborate film.Ted Crawford (Anthony Hopkins) a talented, wealthy aeronautical engineer who shoots his much younger wife who is having an affair with a cop. He manages to get the cop on to the crime scene and discover her body, confesses and then represents himself at court.Willy Beachum (Ryan Gosling) is the hot shot assistant DA just about to enter better things in private practice tasked to convict him and maybe takes the case a bit too easy, after all he has a written confession.Crawford prides himself in finding people's flaws, weak pressure points. Beachum soon realises that he has been played by Crawford, his new job is at risk and the DA office wants to get rid off him. They cannot find the murder weapon and the cop who arrested him on the scene is compromised because he was having an affair with Crawford's wife. Crawford has made a monkey out of the justice system and has no case to answer, but Beachum is determined to get him and as Crawford plans to pull the plug on his wife's life support, he might get another chance.The film is carried by Gosling and Hopkins goading each other but it depends on a lot of contrivances that makes Crawford being uber clever as to how police procedure and the justice system works. If you do not buy that then the film looks far fetched and even silly.There is a lame romantic subplot featuring Gosling and Rosamund Pike but the latter part is thrilling as Beachum sets out to get his man.",Fracture
5,claudio_carvalho,"Excellent Film of Crime, Mystery and Trial",8,5 July 2011,"In Los Angeles, the structural engineer Ted Crawford (Anthony Hopkins) witnesses his wife Jennifer Crawford (Embeth Davidtz) and her lover Lieutenant Robert 'Rob' Nunally (Billy Burke) in the swimming pool of a hotel. When Jennifer comes back home, he shoots her on the head and then he shoots three times against the windows. The gardener Ciro (Carlos Cervantes) calls the police and the negotiator Rob, who does not know the last name of his lover, gets the murder weapon and a confession from Ted.Meanwhile, the young and efficient but arrogant prosecutor Willy Beachum (Ryan Gosling) is resigning his position in the low-pay public service work to join the private civil-law firm Wooton Sims but decides to accept the case, which is his assessment is easily resolved. Ted asks the judge to represent himself in court and Willy accepts. But sooner the winner Willy learns that the evidences can not be accepted in the trial and despite knowing that Ted is the killer, the murder weapon is missing and he needs to get new evidences otherwise he will lose the case and Ted will be a free man.I bought ""Fracture"" on DVD a couple of years ago and I did not see this film until yesterday: my bad. This gripping film of crime, mystery and trial is great and as written by another IMDb User, ""keeps the viewer glued to the seat"". The duel between Anthony Hopkins, in one of his best recent works in the role of a manipulative and cold blood killer, and Ryan Gosling, in the role of an ambitious but human lawyer, is excellent.Films of trial are usually attractive, at least for me. And ""Fracture"" never disappoints and the surprising plot point in the end is fantastic. Last but not the least, I regret that I did not associate the name of Gregory Hoblit to the also magnificent ""Primal Fear"", ""Hart's War"", ""Frequency"" and ""Fallen"". My vote is eight.Title (Brazil): ""Um Crime de Mestre"" (""A Crime of Master"")",Fracture
6,kosmasp,Perfect Plan,9,14 September 2021,"Every perfect plan has at least one flaw. On the other hand, if that plan is made by Anthony Hopkins ... a character played by him that is ... is there a chance to find and exploit that flaw? It had been a long time since I last saw this, so I didn't remember much ... I was surprised how tension filled and edge of the seat thriller this was.It really worked and apart from Hopkins we have Gosling ... another great actor, who is needed as counter to Hopkins. Still I do not blame anyone who has ... sympathy for the devil (no literally, I do think that most do realize this is just a movie). Depending on how much moral ambiguity you allow yourself, you will torn apart more or less while rooting for certain things to happen ... this is really well thought off and executed. And it is quite mean to put the audience through what they have to go through ... but as life the movie is also quite powerful ... can you dig it? And pay attention to the details ... yes twists are coming from left and right ...",Fracture
7,lee_eisenberg,Why do they so often show it raining in LA?,7,19 August 2007,"It seems like many of Anthony Hopkins's roles have mirrored Hannibal Lecter a little too much. While his role in ""Fractured"" is similar, it never veers too far in that direction to make the movie boring or stupid. As it is, they set the movie up so that you first assume that the movie will go in one direction, but then they trick you...and then there's more.Hopkins plays Ted Crawford, who catches his wife (Embeth Davidtz) having an affair with a detective. Rather than confront her about it, he waits until she arrives home and casually shoots her in the face, leaving her in a coma. When the police arrive, Ted confesses to the crime. But when it comes time for the trial - complete with hotshot young attorney Willy Beachum (Ryan Gosling) prosecuting - the police can't produce a murder weapon. But it's through the result of this that we begin to learn more about both Ted and Willy...and how they can use it against each other.It's true that the basic idea is something that we see every once in a while, the movie plays with the audience. You're never really sure whether you want to root for Ted or Willy, as it seems like there are cases for and against both. So while this is by no means a masterpiece, this one is worth seeing, if only once. Also starring Rosamund Pike, David Strathairn and Cliff Curtis.The whole thing about showing rain in LA, it's probably just wishful thinking. As someone who's lived his whole life in Portland, Oregon, I know rain.",Fracture
8,jboothmillard,Fracture,4,7 July 2013,"I knew the two leading actors of this film, and that it would involve some investigative or mystery element, but apart from that I was certainly intrigued to see it, from director Gregory Hoblit (Frequency, Hart's War, Untraceable). Basically in Los Angeles, wealthy structural engineer Ted Crawford (Sir Anthony Hopkins) sees his wife Jennifer (Embeth Davidtz) having an affair with her lover in a hotel swimming pool, so in vengeance when she returns home he takes his gun and shoots wounding her, and he is taken away by the police. He immediately confesses to the crime, and signs a confession, but then he is pleading not guilty and demands to go to trial as soon as possible, and he asks to represent himself instead of a lawyer. Young and efficient but arrogant hotshot Willy Beachum (Ryan Gosling) is the prosecutor in the case, and planning to leave the resign his position in the law firm he along with everyone sees the case and very open and shut. But it becomes obvious to Willy that Ted is playing a very dangerous game, as despite it being obvious he is indeed guilty the trial cannot go ahead as the murder weapon has gone missing, and the man having an affair with Jennifer was having an affair with is a police officer, Lt. Robert 'Rob' Nunally (Twilight's Billy Burke). Crawford and Beachum have a few confrontations in and out of jail and elsewhere, and even though the court trial does not go his way, due to the double jeopardy clause and other components, Beachum insists he can bring a new case for murder, Jennifer is taken off life support due to the bullet lodged in her head being inoperable, Crawford is in the end arrested and the new trial begins. Also starring David Strathairn as DA Joe Lobruto, Die Another Day's Rosamund Pike as Nikki Gardner, Die Hard 4.0's Cliff Curtis as Detective Flores, Bob Gunton as Judge Gardner, Xander Berkeley as Judge Moran and Harry Potter's Fiona Shaw as Judge Robinson. Hopkins is relatively good being the unpredictable villain, but he cannot recreate Hannibal again, or completely stick to his Irish accent, and Gosling is okay being the lawyer pitting his wits against the antagonist, I agree with critics this story is nothing original, some of the cat and mouse stuff was good to watch, but overall it didn't engage me as much as it could of, but it is an alright crime thriller. Okay!",Fracture
9,ccthemovieman-1,"Classy, Entertaining Battle-Of-Wits Film",10,15 August 2007,"If you like courtroom dramas, appreciate excellent acting and an expertly-filmed movie this is for you. Only once, I think, have I ever proclaimed something ""best movie of the year"" and all that, because it's all too subjective and also a cliché but that's how I feel about this movie unless something better comes along the last few months of 2007.This is just a fabulous movie with Anthony Hopkins and Ryan Gosling playing battling characters who engage in a battle of wits. Hopkins plays a husband who discovers his wife having an affair, shoots her, confesses the same night and then has things cleverly arranged where it's almost impossible to convict him. Gosling plays a young, hotshot prosecuting attorney on his way to bigger and better things with a change of scenery to corporate law but gets stuck with this open-and-shut case right before he switches firms. The trouble is, it's a lot more than he figured and he isn't used to losing. Hopkins knows this, of course, and plays on his vanity. Gosling evolves from a me-only lawyer to someone who really wants justice, even if it costs him. Both characters are cocky and smart and the twists and turns just add to the fun.I enjoyed watching all the actors performances and was very impressed. The camera-work by Director Of Photography Kramer Morgenthau should also be recognized, along with director Gregory Hoblit, who seems to direct very entertaining films (""Frequency,"" ""Fallen,"" etc.) I could have watched this story unfold for another two hours and would have been happy to do so, am I'm not one to sit still for long periods these days. That's how good this was....just Grade A film-making and storytelling.",Fracture
