,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,nogodnomasters,Pain Comes From Wanting,7,6 October 2021,"The film follows the Sopranos starting in the late 60's. We watch the major influences on the life of Tony during the racial tension of Newark.Having not seen the series, I am sure I missed some nuances. It was an interesting crime family film.Guide: F-word, sex, nudity (Michela De Rossi)",The Many Saints of Newark
1,kosmasp,A great addition to the Sopranos ... Saga,10,26 September 2021,"Having the son of Gandolfini play a young version of Tony Soprano ... I don't think this can get any more meta than that. And while I was not aware while I watched the movie of that fact, it felt eerie how he looked a lot like James Gandolfini. Well now I know why ... and while some may cry nepotism, I urge you to not do that - because it is not just the looks that work here! His acting abilities seems to match that of his father - well after one movie, I should not judge prematurely of course. The likelihood is there that he can also become at least a good actor.But it is not just the son of Gandolfini here ... while the opening shot plays during the run of the Sopranos show (and I seriously have to rewatch the movie and the tv show together), the movie itself plays way in the past. And it plays way differently than the tv show did. So if you just expect this to be a longer Sopranos episode ... you may dissapointed. But I have a feeling that anyone who loves the Sopranos, will understand that this is a different beast ... or beasts! No pun intended.So many good actors in this and a lot of hints to things to come ... in the tv show. In fact so many that I am likely to have missed at least half of them. If the shows creator was able to do this and bring this to life, he is the one who will know every single one of them.Really well created, acted, shot, edited and whatever else you can think of. Only thing I'm not entirely sure of: should you watch this first if you haven't seen the tv show or the Sopranos first and then the movie? But there are issues that one might not have a problem with having ... I say you decide ... hearing some in the sneak preview I was in talk about this being based on a tv show was almost comical. But also goes to show you that the Sopranos are still in everyones mind .. even the people who've never seen it ...",The Many Saints of Newark
2,CinemaSerf,An amalgam of television episodes loosely knitted together for the big screen.,6,26 September 2021,"Two things really marked this down for me - firstly, I didn't watch the ""Sopranos"" and secondly I had just watched ""Goodfellas"" (1990) so this, in that context, proved to be a really unremarkable mobster flick with precious little action, some really mediocre acting and, well - it just isn't much good. Told by way of a retrospective narrative from the young"" Tony"" (Michael Gandolfini for the latter part), we see the beginnings of the ""Moltisanti"" family's evolution into those we see on the small screen years later. The story centres around his uncle ""Dickie"" (Alessandro Nivola) and of his turbulent juggle between his lively personal life and his business aspirations to take on the powerful (but very rarely seen) DiMeo family that pretty much run the place. It touches on issues of corruption, racism, family ""loyalty"" and domestic violence but not in any way that is remotely innovative; the story flows like treacle and the delivery just isn't really up to much at all. Sorry - there are way better films out there that depict the mafia at it's more venal, visceral and engaging. This is just part one of what I am sure will be more, designed to capitalise on the success of an award winning television series, but without the class of many of it's cinematographic forebears. I'm afraid, it's just all a bit too weakly characterised to make for a strong piece of cinema. Fans of the series will doubtless disagree, but as a standalone piece of work, this is nothing to write home about.",The Many Saints of Newark
3,george.schmidt,Successful prequel adaptation of the the iconic TV series.,8,11 October 2021,"THE MANY SAINTS OF NEWARK (2021) *** Alessandro Nivola, Leslie Odom, Jr., Vera Farmiga, Jon Bernthal, Corey Stoll, Ray Liotta, Michela De Rossi, Michael Gandolfini, Billy Magnussen, John Magaro, (voice of Michael Imperioli) Big-screen prequel to the iconic HBO drama TV series THE SOPRANOS looks at the origin story of mob boss Tony Soprano and his 'famiglia' set against the backdrop of the race riots of 1967 thru the '70s. Show creator David Chase's screenplay with veteran series director Alan Taylor transplants the small screen's largesse successfully for the most part with a fine ensemble and a casting coup of the late, great James Gandolfini's real-life lookalike son Michael as the teenage Tony.",The Many Saints of Newark
4,mm-39,"Disappointment, and a let down.",6,4 October 2021,"I like the Sopranos and T M S o N is a disappoint, and a let down. I liberally give a 6 because I liked young Tony, and a few characters actors. Tony had no healthy parental influence made for the making of Tony S story line. Tony and the family part of the movie I gave a 8. There is few dysfunctional family moments, and bad characters which resonates with the past series. Regrettable, many characters and story lines had nothing to do with the Sopranos, or the mob. I don't know if the makers tried to be woke, artistic, or just preachy! Bad enough movie one guy left. Disjointed, badly written, another silly woke movie just using the Soprano name. So silly half the film had nothing to with the story. I thought parts of the film are just random. More like a film about a messed up Dickie character , which gets boring. Random, crazy which I thought would turn into a story, but no. 6 stars should be 4 but I am sentimental for the series.",The Many Saints of Newark
5,blanbrn,Pretty good turn back the clock prequel that tells a coming of age story.,7,12 October 2021,"Was a big watcher of ""HBO's"" series ""The Sopranos"" never missed an episode of it, so I for sure checked out this movie prequel from creator David Chase called ""The Many Saints of Newark"". Here it goes back in time to the 60's in Newark when Tony was a little boy and this origin story shows how Tony was developed into a crime lord king with help and being guided by his mentor Dickie Moltisanti(the good Alessandro Nivola) the film borders on drama and Greek tragedy as Tony deals with pain and power struggle as you see the past and how the characters were made and connected. Uncle Jr., Paulie, and Silvio are all shown in their early crime days, plus stubborn and hard headed Livia Soprano(Vera Farmiga) is shown belittling life and trying to wrap her son down. As Tony(in a fine performance from the late James Gandolfini's son Michael) grows it's interesting to see how crime and family drama is all around him with his life and times including gang wars and riots call it what you want mob drama or origin tale this is a must watch for any ""Sopranos"" fan as it sheds insights into the past and the start of how the iconic Tony Soprano came about.",The Many Saints of Newark
6,Cineanalyst,A TV-Like Movie Based on a Cinematic TV Series,4,1 October 2021,"""The Sopranos"" is probably still the best TV series ever made because it was uniquely cinematic. Indeed, its premiere was followed shortly by a theatrically-released movie that came across as its pastiche, ""Analyze This"" (1999), which merely played the mobster-shrink angle for laughs. It wasn't so much the writing, either, that set ""The Sopranos"" apart, which while fine, was still necessarily serialized, but the camerawork, production values and acting were worthy of feature films at a time when that wasn't the case with anything else on TV. Heck, they kept ineptly giving out Emmys to ""The West Wing,"" and as much as that politically-idealistic sap has been a guilty pleasure of mine, the show looks tacky by comparison (especially that poor TV lighting masquerading as dark and important cinema). Moreover, ""The Sopranos"" ended perfectly. I won't say it was ambiguous when it cut to black, as I think it was pretty obvious what happened, and one can easily find it explained in interviews since, but there was none of the episodic junk of the cast patronizingly saying their goodbyes to viewers that you see with most such planned finales.Then, this comes along. ""The Many Saints of Newark,"" a theatrically-released (albeit simultaneously streamed, too, as with all Warner movies this pandemic year) prequel. It's almost pure cash-grab fan servicing. It's not nearly as bad as the utterly redundant ""El Camino: A Breaking Bad Movie"" (2019), but it's about as superfluous as ""Downton Abbey"" (2019), which is shame because ""The Sopranos"" was far better than that show, which I never even finished it was so dully anachronistic and melodramatic. I'm not saying this movie ruins the legacy of the TV show or anything, either, as I don't believe in that sort of thing, but it is mostly pointless artistically. I suppose to make a good movie based on a TV show, one has to make a break from the series, to become its own thing. The formats really are different in important ways, and that should be recognized. Here, it's not.There's occasional narration from a character who died in the show for no other purpose than to play on our nostalgia, as the character only appears as an infant in one scene, which includes an atrocious bit of spiritualist explanation as retroactive foreshadowing--after-the-fact-foreshadowing, or I guess that's merely shadowing--that Tony Soprano will murder him one day. Moreover, Tony is hardly a character here, either. He has no real character arch. There's a scene with a school guidance counselor in lieu of a psychiatrist session. For all the regular characters who would be in ""The Sopranos,"" the interest in them here hardly goes beyond other actors doing impressions of their younger selves. Slightly amusing at best, or a sympathetic ode to his late father in the case of Michael Gandolfini. Otherwise, it's as if the characters are just here because they'll be important in future episodes--like in a TV show. I will say, though, that casting Ray Liotta, most famous for ""Goodfellas"" (1990), one of those gangster movie precedents for the cinematics of ""The Sopranos,"" is a nice touch, as is having him play twin roles. I'd give this the edge over that ""Downton Abbey"" movie just for this.The actual narrative here, though, involves Tony's uncle Dickie (Alessandro Nivola) and his racial gang turf feud, his Italian mafia versus that of African-American rivals, led by Harold (Leslie Odom Jr.), over who runs the illicit local lottery, or ""numbers,"" in crime speak. All of that is ho-hum, generic gangster movie stuff played against the background of a race riot over police brutality and with the Vietnam War receding ever farther in the background. A bit more interesting, especially given the show's tendency for psychobabble, is that Dickie essentially plays out an Oedipus complex over his step-mother and all the while being blind to the ultimate threat against his life.",The Many Saints of Newark
7,ops-52535,"a grasp for air, or....?",9,3 October 2021,"Anyway, apart from being slow, some lack of cronological continuity, while skipping several years of a teenagers personality development, and the missing fictional actual timeline, this is a great start of a triology( i guess) of the gangster empire of tony soprano. There are no outstanding acting , but the choice of cast is brilliant. The score chosen is good, the set and location preppin is phenomenal, as also the small use of special effects and very well done filmo and edit's.There are lots of sex and adultery, profanity and killings, and vendettas done the good old italian way, so roll out the pepperoni and wrap yourself in it, its spicy and strong.Why they made this, well they cant make further soprano episodes cause mr gandolfini is passed away, and a new actor as stand in would be like profanity in church. Its also meant to give soprano lovers some fodder and to start a new barrage of speculations and possible plotdirections for the next features to come. I have seen some but never followed the soprano tv serie, due to running at late night hours here in norway but i think this was pretty good.So as the grumpy old man i'm that have seen alot, i will look forward to the next chapter, it doesnt deserve most of the bad reviews, even though its not perfect. A big recommend.",The Many Saints of Newark
8,UniqueParticle,Exactly what I would've wanted from a Soprano story,10,1 October 2021,"No matter what others think or how everything played out Mnay Saints of Newark is spectacular! Alan Taylor was perfect as director since he directed multiple episodes of the original series and so much of movie was well filmed. I'm kinda surprised the ratings aren't at least 8. The cast, writing, cinematography, grotesque violence, and story flow are all magnificent! I'm glad I got to see this with my 60 year old mom; I'd definitely recommend to others and hope the film perceives well.",The Many Saints of Newark
9,Thanos_Alfie,Different than what I expected...,7,25 October 2021,"""The Many Saints of Newark"" is a Crime - Drama movie and a prequel of ""The Sopranos"" series, in which we watch the influence tha Dickie Moltisanti had on Tony Soprano and how he started thinking about getting involved to mob life.Since I had already watched and enjoyed ""The Sopranos"" series I had high expectations from this prequel and I was a bit disappointed by it. I was expecting more information about Tony Soprano and his family, the relationship with his father and his sister Janice but instead of that there was plenty of information for Dickie Moltisanti, his life and his actions. The narration by Michael Imperioli who played as Christopher Moltisanti in the series, was an excellent choice and it gave a beautiful touch in the movie. The interpretations of Alessandro Nivola who played as Dickie Moltisanti, Vera Farmiga who played as Livia Soprano and Michael Gandolfini who played as Teenage Tony Soprano were very good and saved the movie. To sum up, I have to say that ""The Many Saints of Newark"" is a different movie than what I expected to watch but I enjoyed it so, if you are a fan of ""The Sopranos"" series I suggest you to lower your expectations otherwise you will be disappointed.",The Many Saints of Newark
