,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Imaginative, funny, entertaining- I loved it!",8,10 June 2009,"I honestly wasn't expecting Ghostbusters to be as good as it was. I thought it was funny, imaginative and entertaining, and I do completely agree it is underrated. I really liked the soundtrack, and the special effects were truly excellent, considering it was made in the 1980s. The direction was slick and self-assured, and there are a lot of truly funny lines in the script like ""Ray, if someone asks you if you are a god, you say yes"". I can't count the number of times I was laughing when I watched this film. The performances were brilliant. Bill Murray, who is excellent when he is given a great script, see him in Lost in Translation for evidence, steals every scene he's in, and Dan Aykroyd and Harold Ramis both gave spirited performances. Also fun to watch were Annie Potts and Rick Moranis, and Sigourney Weaver was her usual charming self here. I will confess when I first saw this I was frightened by the dog like creatures Zuul and Vinz Clortho. I also felt that scenes like the Marshmallow Man (or whatever it was) bit got a bit too silly, but hey, it's all part of the fun. Overall, a hugely entertaining and enjoyable film, which I will award a 8.5/10 Bethany Cox.",Ghostbusters
1,bkoganbing,Who You Gonna Call?,9,22 October 2009,"When you've got uninvited paranormal guests or if you've accidentally intruded on them if you've acquired some haunted living space this film answers the question. Just who you going to call? Ghost Busters.It all begins innocently enough, parapsychologist Bill Murray has lost his grant money, his university won't let him stay on to conduct all kinds of experimentation. What to do?In Ghost Busters Bill Murray takes his knowledge and with a collection of some interesting colleagues, Dan Ackroyd, Harold Ramis, and Ernie Hudson forms his own outfit, the Ghost Busters. If you've got intruders from another dimension, they guarantee to get rid of them. They have a first interesting call from the public library at Bryant Park, that's a shakedown cruise for our heroes.But the real challenge comes from Sigourney Weaver who has all kinds of weird visitors including an ancient Hittite Goddess who emanates right from her refrigerator. That one Murray is going to give his personal attention.Ghost Busters busted a whole lot of box office back in the day and with good reason. It's a rollickingly funny comedy that doesn't quite come down to the level of Police Academy movies. These comedy veterans from the small screen know their business and they integrate their own personalities into a fine comic unit. A lot like the Crazy Gang comedies from the UK back in the day.Ghost Busters got two Oscar nominations for Special Effects and for its catchy title song. It's one of those you can't get out of your head once you've seen the film. In fact more than in most films, the song itself almost becomes a character in the film.It's one of the funniest films in the Eighties and it's one of those that spawned an equally funny sequel. Can't go wrong with either of them.",Ghostbusters
2,Leofwine_draca,Childhood favourite and all-time classic,10,14 December 2012,"GHOSTBUSTERS was one of my favourite films as a kid; I first saw it when I was about 5, and it scared the hell out of me (that librarian ghost - jeez!). My old VHS tape was worn through by the time I grew up and forgot about it. Now, years later, I decided to give it another spin and discover whether it was one of those films that holds up even when you're an adult...The answer is a resounding YES! GHOSTBUSTERS is still a great movie, a thoroughly entertaining classic for all ages. It's an out-and-out comedy featuring my favourite performance from a beautifully deadpan Bill Murray, who's perfectly supposed by Dan Ackroyd (who makes a great butt for the jokes), Harold Ramis (as the straight guy), Ernie Hudson (underrated), Sigourney Weaver (a delightful role reversal from Ellen Ripley) and little Rick Moranis, who's always hilarious.Although the film was made nearly 30 years ago, it hasn't dated in the slightest and the detectives vs. spooks storyline still holds up really well. I just can't get over how well made it is, with scenes that should be ridiculous (such as the climax) just totally gathering you up and immersing you in the experience. I love the Lovecraftian undertones, and the way the special effects are still much, much better than most of the CGI in modern movies. Those stop motion dog-creatures, absolutely fantastic, even now.Okay, so the sequel wasn't so great, but I'm a firm believer in the fact that no matter how many bad sequels or remakes, you can never spoil the entertainment value of a classic movie. And GHOSTBUSTERS is exactly that: a classic for all ages, a genuine family movie that never panders to a young audience and remains timeless because of it.",Ghostbusters
3,SnoopyStyle,Still funny after all these years,9,26 October 2013,"Director Ivan Reitman has created one of the funniest comedies of the 80s. Bill Murray, Dan Aykroyd, and Harold Ramis played three professors studying the paranormal. When they get kicked out of university, they start a business to fight ghosts.Bill Murray is at his sarcastic best. The guys' chemistry is superb. The three guys fit each other perfectly. Murray is the loud mouth. Ramis is the nerdy brain. And Aykroyd is the nice guy to glue everybody together. On top of the three leads, they have Sigourney Weaver who is a viable partner for Murray to spar with. She's not just a dumb hottie. Her persona could actually take on Murray in everyway.The jokes are hilarious even after all these years. I still laugh whenever I catch it on TV. That's the biggest test of any comedies.Don't cross the streams!",Ghostbusters
4,Hitchcoc,So Much Fun/Such Great People,9,1 December 2016,"If one could get his or her tongue any farther into their cheek, I don't know how it is possible. Here we have the Second City people and they play this for everything it's worth. No one really ever asks why these ghosts have appeared or why Ghostbusters exists. It is taken for granted. Of course, they have all these machines that are based on some made-up scientific principles. But who cares? The movie is really a series of hilarious encounters among the characters and their effort to rid New York City of the threat. Bill Murray is the wise cracking leader of the group with sidekick Dan Aykroyd following suit. Sigourney Weaver supplies the female interest and then there are the amazing special effects. This is a sojourn into utter craziness with an almost Marx Brothers kind of mentality. I always get kick out of this movie. Rick Moranis is also a great character, unflappable to the end.",Ghostbusters
5,Horst_In_Translation,"A good film, pretty unique subject",6,17 November 2015,"""Ghostbusters"" is a 100-minute movie from over 30 years ago and considered a classic by many today. I am not sure if I would go that far, but it was certainly a good watch for the most part. The director is Oscar nominee Ivan Reitman, whose son Jason has followed in his footsteps by now, and the film we got here is certainly the older Reitman's most famous work, especially as the man in charge. The script comes from Dan Aykroyd and Harold Ramis, who also play 2 of the major characters. However, those were one of the weaknesses of the film. Maybe it was because Murray was so great, had the best material and stole every scene he was in, but Aykroyd and Ramis looked truly pale compared to him and this film may have been even better with other actors in these roles.Still, I think they did a good job on the writing. Ghost movies are fairly common, but in terms of people in charge of hunting these ghosts, there really isn't that much to pick from and this is certainly the ultimate movie. Sigourney Weaver and Rick Moranis do a lot with the little they are given, but the standout is clearly Murray in his big breakthrough performance (his introduction with the questioning scene involving the guy and girl was already pure gold) and he has been delivering constantly great material in the last 3 decades, especially in terms of comedy, frequently with a dramatic note to it. However, even with the premise of the world about to end, ""Ghostbusters"" is 99% comedy. Nobody dies, the possessed characters turn back to normal, the shooting sequences involve cool futuristic gadgets and the monsters are at least as creative as scary. And of course, there is funny one-liners from start to finish, also a couple unfunny ones, but not too many. The ending is solid, but not the film's biggest strength. I wonder if we will ever get another ""Ghost Busters"" film. With Ramis' death it may not look too likely, but who knows. Until then, I recommend watching this old film here. Thumbs up, especially for the first hour.",Ghostbusters
6,mark.waltz,Who you gonna call? The one and only ghostbusters...no remake necessary.,8,11 May 2017,"Poor New York Public Library. The big famous Schwartzman building on 42nd Street and Fifth Avenue has been plagued by floods, mutants living in the bowels underneath the city and gang members of the future, not to mention in real life, the oldest book on the world, snooty librarians and over diligent security guards. But long before it became a sanctuary from the eye of the storm in ""The Day After Tomorrow"", it was the home of some really spooky ghosts, maybe not living inside one of the lions like Ted Ross in ""The Wiz"", but present none the less. A huge blockbuster when first released, it was a triumph for ""Saturday Night Live"" veterans Bill Murray and Dan Ackroyd, along with Harold Ramis and Ernie Hudson as the team of spook hunters, Sigourney Weaver as their first client, Rick Moranis as her pesky next door neighbor, and Annie Potts as their wisecracking Eve Arden like secretary. Weaver gets a glamorous role that is a total contrast to her character in ""Alien"", utilizing sly and subtle comedy as she deals with trained comics who obviously showed her a thing or two.While everyone is great, Murray is the major scene stealer, and it's easy to see why for a while, he was one of the most sought after actors in films. "" He slimed me"" couldn't be funnier coming from anybody else. Ackroyd does a variety of his familiar Saturday Night Live characterizations, but Murray has a way of delivering lines that has a greater impact. Ramis, a funny guy in his own right, plays the role completely straight, but it's insinuated that something's going on between him and the cynical Potts.Along with that bouncy title song and vintage New York location shots, there are some terrific special effects and some amusing references to social trends of the time. Back in 1984, if you weren't entering Indiana Jones' temple of doom or warning Zach Galligan about ""Bright light, bright light"", you were shoutin' ""I ain't afraid of no ghost!"" A sequel wasn't horrible, but a recent ripoff of the original was justifiably criticized. This was original in every way, and no modern update could improve on that. Calling ""Remake Busters!""",Ghostbusters
7,classicsoncall,"""Gotta run. Got a date with the ghosts!""",8,17 February 2016,"The film answered at least one of two important questions coming out of the Eighties - ""Who you gonna call?"" and ""What about the Twinkie?"". I still don't know about the Twinkie.I just watched this again after many, many years, probably since the picture first came out come to think of it. My rating is partly based on nostalgia factor, this was a really fun and novel picture when it came out. Like ""Star Wars"" that preceded it in 1977 however, a lot of the effects don't hold up very well today and almost look cheesy compared to modern day special effects. But what can you do about that, it's just the way it is.The principal characters did a nice job here of bringing their total protonic reversal skills together to battle ectoplasmic residue on a grand scale. Back in the day I wondered why the original trio didn't have another Saturday Night Live alumnus as part of the mix, but Harold Ramis did just fine. Rick Moranis was hilarious as next door neighbor Louis Tully, the story probably could have used a little more of his goofiness. And Sigourney Weaver, wow, how'd you like to get stuck on an Alien spaceship with her on board? Anyway, it's cool to take a step back in time every now and then to revisit an old favorite. Making the effort even more memorable is the catchy theme song which kind of stays with you a couple of days after hearing it. Now if I can only figure out about that Twinkie.",Ghostbusters
8,gavin6942,"The Most Successful Mixture of Horror and Comedy, Hands Down",8,29 July 2010,"Three scientists of the paranormal, kicked out of their cushy university jobs, pursue careers in the private sector as investigators of ghosts and such... and not a moment too soon, because there is about to be an explosion of hauntings in the New York area! There is not much to say about ""Ghostbusters""... it is a classic, hands down. The theme song is known even by non-fans, there was a great sequel, action figures, video games, a cartoon series... everyone in this went on to big things (some were already big). You do not get many horror comedies that appeal to people outside the genre, but this one does (along with the sequel).Director Ivan Reitman knew what he was doing. Although perhaps better known for his comedies, he actually started out working with master of horror David Cronenberg. When he came to ""Ghostbusters"", he had every intention of making it scary. And he succeeded. Perhaps not generally thought of as horror because of its wide appeal, there are some legitimately scary moments. The librarian early on? Quite a shock!And that is it. I do not have to say that this is a great film or that I could watch it again and again... you know this. It scared me as a kid, but now... just a classic. Who hasn't seen ""Ghostbusters""?",Ghostbusters
9,lee_eisenberg,"The first time that I ever watched this movie, it scared me (don't worry; I later found it funny).",10,27 July 2005,"When I was about 3 and 4, I used to watch ""The Real Ghostbusters"" on TV. When I was 7, I noticed that my parents had a video tape that said ""Ghostbusters"". I asked them if I could watch it, and they said yes.The first thing that threw me off was that it was black and white. Moreover, it was clearly not a cartoon. The lion statue outside the library probably confused me further. Then, after the woman saw the ghost in the library basement, I could only interpret the movie as scary. Literally every scene invoked fear in me, especially the monster in the refrigerator. By the time that it was over, I thought to myself ""I'm never watching that again."" Then, when I was 9, my mom convinced me to give it a second chance. So, I watched ""Ghostbusters"" again, and I laughed my head off. I felt so idiotic for having gotten scared by something so hilarious. As everyone knows, the story has Peter Venkman (Bill Murray), Raymond Stantz (Dan Aykroyd), Egon Spengler (Harold Ramis) and Winston Zeddemore (Ernie Hudson) battling spooks in New York, and they have to go up against an ancient evil god. Among the supporting characters, one finds musician Dana Barrett (Sigourney Weaver) and dorky Louis Tully (Rick Moranis).Probably what embarrassed me the most about getting scared by ""Ghostbusters"" was the fact that I didn't even interpret Louis Tully and his mishaps. The first time that I watched the movie, I literally did not realize that his character was there.Anyway, this is a veritable comedy classic. It was like nothing that had ever come before. With a catchy theme song (that I play every Halloween), this is a movie that's impossible not to like.Oh, and I should probably explain the ""black and white"" part. When my parents taped ""Ghostbusters"" off of the TV, it was in color on the TV but it came out black and white on the tape. My parents have never been able to figure that out, so their only explanation is that the tape was haunted. If so, then this was the perfect movie to record onto it.",Ghostbusters
