,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Meandering is right,5,15 March 2020,"MIDSOMMAR is the latest film from arthouse director Ari Aster, whose HEREDITARY wowed audiences a few years ago. While I liked that film I didn't love it, but I do love folk horror and THE WICKER MAN so I expected a lot from this one. Sadly, I didn't get it. MIDSOMMAR is a real mixed bag of a movie, with a decent first half. Florence Pugh gives a fine performance and the opening sequence is particularly powerful, getting off to a good footing. The slow-burning suspense works effectively until the genuine shocks of the 'cliff' sequence, but after this things really stop working. There's the usual sex and violent content, but it all feels very meandering and dragged out, saddled with unlikeable characters and a genuine lack of meaning and narrative cohesion. The cinematography is great and the actors certainly do their best, but by the end I felt this had become predictable, random (Viking execution methods for shock value, etc.) and a bit like a boring slasher film.",Midsommar
1,SnoopyStyle,It's a Bear,6,1 November 2020,"Dani Ardor (Florence Pugh) is suffering after her troubled sister killed their parents and then herself. She jumps at the chance to join her anthropology student boyfriend Christian Hughes and his friends who are following Pelle to a Swedish commune.Ari Aster has made two feature length films so far, this and Hereditary. No one pushes the envelope that far, right out of the gate. He is a filmmaker worthy of the attention. As for this film, his skills are not to be questioned. This is an unsettling story. When that member says matter a factly ""It's a Bear"", that's the moment I'm looking for the exit. Dani may be looking for something and the students may be more obsessed with their paper. The whole situation is spooky. The expert filmmaking may be covering up the emotional devastation of Dani. That's the first priority of the movie. Instead of flashy camera moves, it would be better to tell the beginning much more naturalistically. Her depression is the film's journey and it needs to set off as straight as possible. She could also be more specific in her journey. Again, this has to be her movie. I do like her journey. I don't care as much about Christian. There is a lot of WTF moments. Some of it is too WTF like Aster is deliberately pushing buttons. His expert filmmaking can come off like that. I want the pain, not a visual representation of pain.",Midsommar
2,Horst_In_Translation,"Pretty strange film, but this is exactly what made it worth watching",6,20 June 2020,"After about five very prolific years of making short films, writer and director Ari Aster made his first full feature film not too long ago and ""Hereditary"" was a huge success. Now here we have his second full feature movie and while the first had major supernatural horror elements, this one here does not. Or well, it does in the minds of many characters and their deeds to serve their highers, but this is of course just theoretical. It is a horror film, however, there is no denying. Even when we are not yet in Sweden, the circumstances of the female protagonist's sister's death are as dubious as it gets and there is also a shockingly graphic image of that. But the vast majority of the film is set in Sweden, so it should be no surprise to anybody that this is a Swedish co-production and that there are many Swedish cast members, especially with this title. It's probably most effective to watch this film on a really hot summer day outside, but I only got half of that last night when I watched it as my second post-Corona movie at a(n outdoor) cinema. The weather was not so nice the way it was a few days earlier. But it's alright. By the way, this is a really, really long film at almost 2.5 hours and the one big name attached to this project is Florence Pugh. Well, the biggest name I should say. 2019 was an amazing year for her scoring her first Oscar nomination for ""Little Women"" and actually I am a bit surprised to see her in this film here. I would have imagined Alicia Vikander or so. Anyway, I think she does a fine job and she is also pretty stunning fur sure. I am growing into a bit of a fan I think. Also really liked her on ""Little Women"" and she was maybe the best thing there.But back to this film: The only other cast member I am familiar with here is Will Poulter and he is always easy to identify. I remember him very well from Bigelow's ""Detroit"" and he was amazing there, so I hope his career will rise in the coming years. His character here feels almost a bit too small given the actor's talent. He is mostly in it for comedic reasons. Be it his comments when everybody is stoned, how he regrets having missed some of the action, how he is delighted to be led away by the Swedish girl (while he has no clue what's waiting for him) or of course how he pees against that ancient tree trunk. His normal simple man character you could say went very much against conventions, especially in that secret society there. He was a riot at times. I must say nonetheless that I had no clue what eventually happened to him. It was him smacking down the Black dude when the latter went for the bible right? Was he also under some special drug? He was alive still in any case. Well, somewhat alive. These drugs are a big thing in this movie and the joints the group is smoking early on are definitely as harmless as it gets with what else is waiting for them later on. Just take a look at the protagonist's boyfriend near the end and the drink he is offered and reluctantly drinks and then this sex orgy starts. Now that was maybe the most bizarre moment of the entire movie. Not the act per se as you could see that coming with how the ginger girl is mentioned several times (although I did not think that it could be her pube there), but all the other women in this specific scene and how they interact with the girl (the weird singing next to her head) and also how the old lady slaps the dude's butt. What the heck? And of course, how ginger girl says right away she can feel the baby. So yeah, like I said it's all the awkward, bizarre and weird elements from this movie that turn it into something slightly fascinating. Not always fascinating as you can see from my rating.Another example would be the comment about how all the tribe's (let's call them that) oracles are the result of inbreeding. Very messed up. This specific scene shows nonetheless that while they try to seem harmless to others, it is all part of a plan. At the exact same time, we have a member of the tribe tell the American characters that there is no coordinated big-scale inbreeding. So things are clearly not even close to what they seem here. It reminded me a bit of ""Get Out"" in terms of the overall scenario. And the characters here sure needed to get out as well. Also how two characters have the intention to write their thesis on this tribe and the elders reluctantly agree under certain conditions, but they only did so to keep the guys there because they knew they will probably never get out to release their thesis or tell anybody about this tribe. As for Christian (played by Jack Reynor), Pugh's character's boyfriend, I always somehow felt he could also be in on the entire project that there is something evil going on, especially how he reacted to the double suicide ritual (man, some nasty shots there from Aster, definitely nothing for young audiences), but looking at what happened to him at the end, he probably wasn't in at all.The only one really in on everything was the Swedish buddy who led them there and his talking to Pugh's character especially already implied that maybe he appreciated her more than he should have. It's alright though. I still wonder why. I mean he could not know that she would become the new May Queen. Probably he was just very keen on having outsiders there, so the tribe can do with them whatever they want. Okay, what else can I say about this movie. It is horrifying at times, funny during other sequences, very dark humor, but maybe the area where it delivers the most is the visual side. The costumes (especially the queen's massive flower dress we see at the end, she basically becomes a flower herself) are as spectacular as the cinematography and you could feel the burning light and heat very well through the screen here, almost like a knife cutting through and blinding you if we go with metaphors. This was very well done. And of course the make-up and sets as well. Nothing wrong there at all. So the only aspect where it did come a bit short (just a bit, not too much) is the script. I think they could have cut 30-45 minutes here and it still would have been a decent film for sure, even if it definitely did not drag too much. But there are scenes and sequences that feel like filler material.As I am approaching the end of my review, I also want to talk about the end of the movie, especially the scene when Pugh's character is really having her meltdown and the others there are screaming with her, basically following their new queen. Joining in with her. I also felt somehow that maybe she could get sacrificed, but she did not. She will have to wait till she gets 72 for that I suppose. Long way to go. That cut-throat gesture when the Swedish buddy was asked was also pretty good, pretty creepy too. And with Pugh in the end, her smile somewhat implied that her sanity was gone now too completely, even if the fact that she agreed that her boyfriend should be killed still felt more like an act of mercy than an act of cruelty or insanity with what they had done to him. This killing scene also explains the bear we see early on and that one was also very random and, as a consequence, very comedic. So yeah, I think I am in the minority here, but I liked this film more than ""Hereditary"", so this shows you that I am not as much of a fan when it comes to the latter as everybody else. I am still curious what Aster has coming up next. And in the future. The talent is undeniable. I hope he can continue this positive trend and make more good films. This one here is by no means perfect, but I give it a thumbs-up and positive recommendation. Never in doubt, but like I said: Don't watch it with kids or people who can't deal with graphic violence.",Midsommar
3,nogodnomasters,Is it Tomorrow?,6,15 October 2019,"Pelle (Vilhelm Blomgren) invites a group of college kids to go to his small commune in Sweden to witness the Midsummer festivals at a time when the sun doesn't really set. The film centers on Dani (Florence Pugh) whose bipolar sister killed herself and her parents.Things went pretty much as expected as we get the ""Wicker Man"" and ""Harvest Home"" combination. The movie is about average.Guide: F-word, sex, nudity.",Midsommar
4,kosmasp,Summer time,10,24 July 2020,"Let's get right into it. The movie will divide viewers. Actually some might not even read what I'm typing right now, dismissing or liking my review just based on the score I gave it. I'm not complaining or trying to get your attention. I gave this a 10/10, something that many would consider sacred (like how some people view trees or other things). But I think the movie deserves it. And while I watched the theatrical version in cinemas, I did watch the Directors Cut the other day too to get a complete picture - no pun intended.Now I know that pacing will be an issue for some - this takes its time and those expecting horror or their version of horror, will have quite a few issues with the movie. Especially in the long version (almost 3 hours). But the framing, the pictures you get are worth it. I would argue that if you ask Ari, why he chose that or this angle, why he lingered on that shot, why he used special effects that are subtle and almost not unnoticeable ... he will be able to answer them. He probably won't, letting you decipher and decide what you just watched, but he had a plan. He really knows his stuff.Now that doesn't mean that you will like the movie. Just because it is made with love and care and attention to every detail, does not make it invincible. It is a taste thing - what do you like to watch in movies. Subtle horror, that is also a drama? Nods to classics like Wicker Man? Will you hate this because to heighten things it takes creative liberty? I don't know if the sun thing (allegedly some claim it is positioned wrong geographically) is a mistake or actually another detail, to make this even more eerie. The costumes may not be traditional, but what the village people do, hopefully isn't traditional either ... if you get hung up on those things, you would be missing the bigger picture. This is not here to critisize or make fun of swedish traditions. This is here to entertain and to hold the viewers suspense - edge of the seat kind of stuff.So yes this isn't your regular horror movie and it is better for it. And while there is not much violence in it (on screen), the occasional outbursts are really spiking! This is not for the faint hearted or the easily offended ... be aware and have the strong stomach to get through it. This is beautiful and horrifying at the same time and really demands to be seen many times - every time you do, you will discover something new! And with that accidental rhyme, I'll say give this movie your dime",Midsommar
5,Sleepin_Dragon,"A surreal, but pretty awesome trip.",8,13 August 2019,"Be first thing I wanted to do after leaving the cinema, was to discover what the swedish thought of this film, in general they saw it with humour, and an open mind, as I expected.It's pretty much split right down the middle, first half, dare I say it, normality, drama, with a heavy focus on grief, and the harsh way it can affect someone, particularly if there's trauma involved. The second half is very trippy, and we delve into the world of pagan ritual and bizarre rights, which makes The Whicker Man look like a tea party.The main leads, Florence Pugh and Jack Reynor, were terrific. Pugh had impressed previously in The Little Drummer Girl, it was obvious she was destined for big things, she played Dani with a real sense of torment, very impressive. The cast had a realism, it was refreshing not to watch a cast that look set for a Dior catwalk.It won't be for everyone, and I must point out that some scenes are painfully long, needlessly. Some amazing special effects.Violence and nudity, but neither are gratuitous or simply for shock. A few laughs, several times the cinema erupted in laughter.Very good. 8/10",Midsommar
6,jboothmillard,Midsommar,5,14 July 2019,"This scary movie was becoming something of a talking point before I even saw a trailer, and when I did it looked like a Wicker Man style movie, I was definitely looking forward to it, written and directed by Ari Aster (Hereditary). Basically, college student Dani Ardor (Lady Macbeth's Florence Pugh) suffers from severe emotional trauma during winter, after her sister kills their parents and commits suicide, flooding the house with carbon monoxide from a car. This trauma adds further pressure to her relationship with her anthropology graduate student boyfriend Christian Hughes (Jack Reynor), who is already emotionally distant. The following summer, Dani attends a party with Christian and friends Mark (Will Poulter) and Josh (William Jackson Harper). Christian and his friends are invited to attend a midsummer celebration in Hälsingland, Sweden, by their Swedish friend Pelle (Vilhelm Blomgren). It only occurs once every ninety years at Pelle's ancestral commune, the Hårga. Dani finds out about the trip, and Christian awkwardly invites her to join them. The group arrives at the commune and together they take a psilocybin concoction offered by Pelle's brother, Ingemar (Hampus Hallberg). They also meet English couple Simon (Archie Madekwe) and Connie (Ellora Torchia), they were invited to attend the festivities by Ingemar. The psilocybin causes Dani to have a bad trip and she hallucinates about her dead sister. The group are initially accepting of the commune's peaceful if strange nature, routines and rituals. But then tensions rise after Pelle brings them to witness an ättestupa ritual in which the two elderly commune members commit senicide by leaping from a clifftop. When the male elder fails to die as a result of the fall, several members crush his skull with a mallet. The group are disturbed after witnessing this ritual, but they decide to stay, at the behest of Pelle, and because Josh is writing a thesis about the Hårga. The next day, Simon and Connie disappear, but the group is assured they were taken to the train station. Christian decides to copy Josh's thesis on the Hårga, causing a rift between them. Josh wants more information from an elder on the commune's ancient runic practices, which are based on paintings made by Ruben (Levente Puczko-Smith), a deformed member selectively born incestuously, he is considered an oracle. Mark unwittingly urinates on an ancestral tree where ashes are scattered, he is scolded by Ulf (Henrik Norlen), and later lured away by a female member, never to be seen again. That night, Josh sneaks into a temple to photograph scriptures in a mysterious book, he is distracted by a partially nude man wearing Mark's skinned face, he is hit over the head with a hammer and dragged away. The next day Dani is invited to partake a maypole dancing competition, all taking part must continue dancing until they fall and are eliminated. At the same time, Christian is drugged and groomed to participate in a ritual in which he impregnates virginal commune member Maja (Isabelle Grill) whilst being watched and surrounded by naked female elders. Dani wins the competition and is crowned the ""May Queen"". Following her victory, she discovers Christian having sex with Maja, she has a panic attack, several of the Hårga women surround her and wail with her. A disoriented Christian realises what is going on, he runs out naked and hides in a shed, there he discovers Josh's leg, and Simon who has been ritually dismembered as a blood eagle. Christian is found by an elder and then paralyzed with an unknown drug. The cult explains that, at the conclusion of the ritual, nine human sacrifices must be offered. The first four victims are outsiders, therefore Josh, Mark, Connie, and Simon. The next four victims are cult members, two senicide elders, a still-living Ingemar, and a second living volunteer. As the May Queen, Dani must choose the ninth and final victim, either an outsider or a lottery-selected cult member. Bitter and heartbroken, Dani chooses to sacrifice Christian. He is stuffed into a disembowelled brown bear and placed in a yellow temple alongside the other sacrifices. The temple is filled with straw bales and set alight; the cult celebrates the completion of their ritual. Dani at first sobs in horror but gradually begins to smile. Also starring Anna Åström as Karin, Gunnel Fred as Siv, Julia Ragnarsson as Inga, Liv Mjönes as Ulla, Gabi Fon as Dani's Mother, and Zsolt Bojári as Dani's Father. Pugh gives a good performance as the emotionally damaged young woman, Reynor is reasonable as her unworthy boyfriend, and Poulter and other supporting cast members do well also. It is very simple, people brought to a secluded location to be carefree, with a pagan cult behaving strangely and slowly becoming more suspicious and sinister, the twist here is that it is in a location where the sun never sets, you can see obvious similarities to The Wicker Man, it is perhaps a little too long, and as a ""slow burner"" it is maybe too slow at times, but the continuing strangeness, occasional shocks and violence, and tension keeps going, a reasonable folk horror. Worth watching!",Midsommar
7,Tweekums,Strange goings on in a remote Swedish community,9,31 July 2021,"Dani his having relationship problems with her boyfriend Christian who has failed to mention that he is going to Sweden with friends for the summer to visit the home village of one of the friends. Following a family tragedy Dani invites herself on to the trip. When they arrive in Sweden they head to the remote community and find the locals preparing for a special Midsummer festival that only takes place once every ninety years. They aren't the only outsiders present; a young English couple had been invited by another villager. At first nothing feels too strange; then the visitors witness a shocking ceremony that leaves some of them wanting to leave. Those who stay gradually learn more about the community... however they don't learn just how the festival is to end until it is too late.This is a hard film to categorise; there are clearly horror tropes but for most of the run time little is happening. I didn't find it boring though. Rather than being scary I found it to be unsettling; the anticipation of something bad happening was more effective than when it did happen for the most part. There are some gruesome scenes but less than one might expect. While this may be a less disturbing film I couldn't help but be reminded of the 1970's classic 'The Wicker Man'; hardly surprising as the themes are so similar. The cast is impressive; especially Florence Pugh who is brilliant as Dani. Most of the film is set in a single location and that location looks really gorgeous as well as being somewhat ominous due to its apparent remoteness. Overall I'd say this won't be for everybody, I'm sure many will hate it, I however really enjoyed it and despite its length and slow pace was never bored... I'd certainly recommend checking it out.",Midsommar
8,BA_Harrison,Midsommar murders.,3,1 December 2019,"Spurred on by his friends, anthropology student Christian (Jack Reynor) is on the verge of breaking up with his girlfriend Dani (Florence Pugh), but a family tragedy for Dani changes his mind. Feeling guilty about putting his girlfriend through further emotional trauma, Christian asks her to accompany him and his pals on a once-in-a-lifetime trip to the remote ancestral village of their Swedish friend Pelle (Vilhelm Blomgren), who has invited them take part in the commune's nine-day midsummer festival.Director Ari Aster (Hereditary) might claim that Midsommar only pays homage to brilliant UK folk horror The Wicker Man, but all I can see is a blatant, bloated and extremely tedious rip-off. Where The Wicker Man (Director's Cut) runs at a reasonable 99 minutes, its engrossing story whisking the viewer along as Edward Woodward's character attempts to solve a mystery on a remote Scottish island, Aster's film (The Director's Cut) takes a whopping 171 minutes to tell its very familiar tale of unwary outsiders falling foul of an strange religion that practises bizarre rituals.Moving at a snail's pace, the first hour of Midsummar is a massive challenge for the viewer, as the students travel to the village of the Hårga, meet the locals, and take part in ancient rites which involve lots of chanting and taking of hallucinogens. Those who make it through this tedium will eventually be rewarded with a shocking scene that is the equivalent of Hereditary's decapitation (ie., it's designed to wake up the viewer and become a talking point): before the eyes of the horrified students, elders of the village throw themselves off a precipice, falling onto the rocks below with very messy results.Anyone hoping that this will herald a turning point in the film will be sorely disappointed: the dull drama continues, with an excess of singing, dancing and a glut of aerial overhead shots, with hints of weirdness to indicate where the film is heading (as if we didn't know already). As Christian's friends go missing one-by-one, and the locals become increasingly weird in their behaviour, neither he nor Dani question the wisdom of remaining in the village, both continuing to partake in the commune's activities. A bit of ritualistic sex and the sight of a bloke with his lungs pulled out of his back are about the film's only other noteworthy moments before the whole boring mess finishes in inevitable fashion, stealing its fiery climax from... you guessed it.... The Wicker Man.In short, what a load of (Swedish meat)balls! If you haven't already seen it, watch The Wicker Man first.",Midsommar
9,BandSAboutMovies,"If this was direct to streaming, no one would consider it significant...",1,19 September 2019,"All summer long, I've had people breathlessly tell me, ""You need to see this movie.""I've been down this road before. It was called Hereditary, Ari Aster's last film.I debated never watching this film, but then I reasoned that as much as I detested It Follows, I loved Under the Silver Lake.Maybe Aster would hit paydirt in this one. After all, I love folk horror films like The Wicker Man and Blood On Satan's Claw. How bad could it be?Woah boy.Dani Ardor is dealing with a lot. Her sister has killed her parents and then herself. This has also pushed her already failing relationship with her boyfriend Christian. Somehow, they stay together the whole way to summer, when she learns that his Swedish friend Pelle is going home to his commune family for a once in every ninety years ritual and is taking Christian and his friends Mark and Josh.Christian had no intention of telling her about the trip. In fact, his friends want them to break up. But then she's there in Halsingland along with them as they trip out and settle in. Hours later, two of the elders leap off a rock to their deaths, but when the male doesn't die, the others smash his head with a rock.The elder Siv explains that this is how life goes here in Harga, with every member dying in the same way at the age of 72. This would also be the point where anyone sane would get out.Two other guests, Simon and Connie, try to leave but miscommunication separates them. And to top things off, Christian decides to steal Josh's thesis on the Harga. That's when we learn that the commune' runic religion is based on an oracle who is conceived every few years via incest.Oh, where do we go from here? Mark pees on a tree and gets skinned alive. Josh tries to take photos and gets hit with a mallet. Dani takes more drugs and dances around a maypole whole her boyfriend eats pubic hair before impregnating another girl while the rest of the females all watch and push his butt in deeper. Yes, it may have taken Quentin Tarantino a few films before we all realized he has a foot fetish, but Ari Aster took all of one film and a bit of this one to show us that his go-to horror is obese and aged nudity.After finding Christian and Maja having sex, Dani has started screaming and all of the women turn it into a song. I laughed the kind of mad guffaw that Max Cady only reserved for classics like Problem Child. Somehow, this film, much like the last one that Aster essayed, has descended from horror into comedy through no fault of its own.If I told you that the cult members all disembowel a bear and shove Christian into it - get it, his name is Christian and he's being sacrificed? - would you believe me? Well, you better, because that's exactly the kind of ridiculous ending this movie has. Can you believe that some people were upset by this and how intense it supposedly got? Then why was I holding my sides and struggling to breathe as I chuckled with the kind of volume that I had once only thought possible in my wildest dreams?This film is a joke, told with false significance and no small fury, all screaming and yelling and singing and wishing and praying and hoping that someone finds it significant and important and worthy of notice. In short, it is everything that is 2019 - a country that asks for prayers on social media one day and shoots one another in the face the next. A sad moron screaming, ""Notice me.""Somehow, thirty minutes of footage was cut from this movie before release. I have no idea how this is possible, as it felt so ponderous that I fear that it's being over is just a surprise ending and the truth is I will soon wake up and still have forty minutes left to watch. It's the kind of movie that The Lord of the Rings films would tell to wrap it up.There are no surprises. I mean, the opening mural literally tells you everything that will happen in the film. And another piece of art shows a woman falling in love with a man, placing flowers under his pillow and then hiding her pubic hair in his food. This is exactly what Maja does with Christian.There is all the subtlety of a sledgehammer in this film. Every single story beat is so hammered home - yes, that's a horrible pun but this movie in no way makes me want to try - that you become wistful for the simple days of Toni Collette flying around without her head.The funniest thing about this movie is that it sees the Nicholas Cage The Wicker Man as more of an inspiration than the original. That might be all you need to know about this utter turd in the punchbowl.",Midsommar
