,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Jaw dropping and richly rewarding...well worth running with,9,11 October 2017,"'Blade Runner' is a masterpiece and a favourite of mine. It is still to this day a genre and film landmark, and ties with 'Alien' as Ridley Scott's best film, despite being disliked at the time it has rightly gained its reputation as a classic.Hearing that there was a sequel over thirty years later left me with intrigue, with a great cast (Ryan Gosling and Harrison Ford), one of the best cinematographers in the film industry today in Roger Deakins and with an equally great director on board (having liked to loved Denis Villeneuve's previous films), but also nervousness considering (with notable exceptions) the general reputation with sequels. 'Blade Runner 2049' turned out to be well worth the wait, it is easy to see why it will alienate some with its very long length (can understand the overlong criticism) and slow pace but it is even easier to understand the acclaim the film has received.Is 'Blade Runner 2049' better than 'Blade Runner' or on the same level? No. Is it nearly, or shall we say just, as good? Yes. To me it is one of Villeneuve's better films along with 'Sicario' and 'Incendies' (my least favourite of his is 'Arrival' and despite being an understandably divisive effort to me it was still good) and one of the exceptions to the general reputation of sequels. A sequel that treats its predecessor with respect (including some thoughtful and cleverly done nods to it, including quotations from the original score, even Ryan Gosling's name is a nod to the original author Phillip K Dick) and also its audience with respect. Despite its faults, it's also one of my favourite films of the year, and this year has been very hit and miss for films so this is saying quite a bit.Sure 'Blade Runner 2049' is not without its flaws. Can totally see where people are coming from criticising the length, most of the time it was not a problem but some of the time there was a sense that the length was too inflated, 20 minutes could have trimmed with no problem at all. There are a few implausibilities and contrivances here and there towards the end and much more could have been done with the underdeveloped character of Jared Leto (the only weak link in the cast, he doesn't have the presence to pull the role off and doesn't look comfortable or interested).However, 'Blade Runner 2049' does a huge amount right. It looks amazing, it's impeccably and imaginatively designed with some of the best special effects seen in a long time. It's Deakins' cinematography that particularly stands out, darkly gritty, gorgeously fluid and beautifully audacious Deakins shows that he is fully deserving of being considered one of today's best cinematographers. One cannot praise 'Blade Runner 2049' without mentioning some of the best directing Villeneuve has ever done in a contender for the best directed film of the year (well between him and Nolan for 'Dunkirk'), he is absolutely the right man for the job and shows himself to be not only completely at ease with the material but also tailor made for it. Once again there is a beautiful darkness but also a hard edge and sense of wondrous awe.Another big standout is the synthetic music score by Benjamin Wallfisch and Hans Zimmer, so well done and fitting that one doesn't miss Johann Johannsson that desperately. Though imagine what the film would have been like with his involvement, from my understanding he was originally meant to do the music but was fired for reasons that are a mystery to me and Wallfisch and Zimmer were parachuted in and did marvellously with big shoes to fill. It's appropriately hauntingly discordant, heart-pounding and tension-filled, with seeming echoes and quotes to the original's score. The sound effects are clever and thrillingly authentic, like for example the replicated wolfhound.When it comes to the writing and story, 'Blade Runner 2049' also triumphs, even if the story is not perfectly executed. The action-oriented scenes and conflicts are filled with tension and suspense as well as ingeniously choreographed, a fine example being the masterful prologue which has to be one of my favourite opening sequences of 2017. The science fiction elements are positively awe-inspiring, often making my jaw drop, while the philosophical ones are incredibly thought-provoking and never heavy-handed (many films have made a hash with this aspect, it was refreshing to see a film doing it well). Despite being a long and slow film, a vast majority of the film was richly rewarding, with a delicious quiet tension and absorbing mysterious elements.Excepting Leto, the acting is great. Best of all being Harrison Ford as a suitably world-weary Indiana Jones-like Deckard, that and the 'Apocalypse Now'-like meeting with Ryan Gosling providing a nostalgic element, and a deliciously cold-hearted Sylvia Hoeks (her character and performance being what Leto's character and performance should have been). Ryan Gosling also plays it straight to great effect.All in all, despite imperfections this jaw-dropping, richly rewarding, very respectful and visually stunning follow-up is just as good, if not quite as, as the 1982 masterpiece and one of my favourites of the year. 8.5/10 Bethany Cox",Blade Runner 2049
1,Leofwine_draca,Arthouse blockbuster tedium,5,15 September 2019,"Here's the long-awaited sequel to the Ridley Scott hit, but unfortunately it ended up in the hands of director Denis Villeneuve instead - a man I find criminally overrated after the threesome of PRISONERS, SICARIO and ARRIVAL all failed to impress me. BLADE RUNNER 2049 is similarly glacial in its construct, with the director seemingly unable to inject any warmth into his film whatsoever. As such, the performances feel artificial (maybe that was the intent) and you don't really care about any of what you see. Harrison Ford's the most interesting thing in this, and it's criminal to make the audience wait two hours to meet him again. Elsewhere, the endless CGI scenery is admittedly beautiful, but the plot is surprisingly slight - reminiscent of ANGEL HEART at times, but weaker. Watch it for the visuals if you must, but otherwise this is weak sauce compared to the first.",Blade Runner 2049
2,SnoopyStyle,pure cinema,9,10 October 2017,"It's 2049 Los Angeles. K (Ryan Gosling) is a Blade Runner hunting for old Nexus 8 replicants under LAPD Lieutenant Joshi (Robin Wright). After the 2022 blackout, most records have been erased or corrupted. Tyrell is out of business and replicant production had been outlawed until Niander Wallace (Jared Leto). Wallace is producing a new obedient replicant. Luv (Sylvia Hoeks) is his replicant henchwoman. K hunts down an old Nexus 8 and in the process, he discovers a surprise which leads to Deckard (Harrison Ford). Joi (Ana de Armas) is K's holographic computer girlfriend. Mariette (Mackenzie Davis) is a prostitute.This is pure cinema although I can see some object to the length and dark depressing sensibilities. For the most part, the action is not intended to be fun. Some people will feel the long running time more than others. An easy test is whether the person likes the original or any cyberpunk sci-fi anime. This takes the original's visual mastery and adds a more compelling detective mystery. Any BR fan will undoubtedly love this unless they are some nitpicking fanatic. Non-fans may find this more appealing... or not.The original's detective story and pacing are its major flaws. This sequel has a real detective story with a real mystery. The writing is impeccable. The designs take the original vision and dives right in. Roger Deakins' work is beyond beautiful. Villeneuve is at the top of his game. Gosling is a more effective lead. Ford comes in during the second half and is a more fun Deckard. Ana de Armas is a gorgeous vision of girl perfection. Sylvia Hoeks is an amazing villain. The movie tackles all of the ideas without hitting one over the head. This is a great film although I'm not sure if popular modern audience will take to it. The opening box office certainly does not suggest that.",Blade Runner 2049
3,Hitchcoc,"Excellent, Intellectual Science Fiction",10,6 October 2017,"This is an amazing piece of work. It has incredible artistry. As a visual exercise, it is breathtaking. I thought the original was way ahead of its time in creating a milieu, a dystopian world, full of disease and commercialism. Given the wonders of modern times, the world where this takes place is nonpareil. Ryan Gosling is out to eliminate the old replicants because there is a secret which needs to kept. The hierarchy is doing what it can to keep a world event from eliminating the awful world they have created. Goslin has memories, but they could have been implanted in him, so he is continually torn by dealing with details that may or may not be true. He needs to return to the place of his childhood. Harrison Ford reprises his original role of Deckard, now old and living in the ruins of Las Vegas. Evil is in control, but there is hope. The final scenes are incredible and puzzling, but it is a great challenge to the viewer.",Blade Runner 2049
4,boblipton,Dickensian,9,19 March 2020,"One of the things that made BLADE RUNNER (1982) so interesting to me was it was an era when tv and movie sf seemed to be devouring all the genres, and this looked to be a fine melding of sf with film noir's sour, dour paranoia. There were other reasons to love it. If you were one of the fifty thousand people in the world who knew who Philip K. Dick actually was, then you probably knew he was as crazy as -- well, take whatever your saying for as crazy as you can get and double it. We knew he was poor and could use the money. We didn't know he was dying after decades of living in poverty, to top off the irony.Anyway, here we are, thirty-five years later and sf, like Flash Gordon, has conquered the universe, Ridley Scott has re-edited and re-issued the movie several thousand times, none of which I have ever bothered to look at. I did look at Blade Runner 2049 this afternoon and pronounce it visually stunning, and so what?If I want to stun myself visually, I can stare into a 300-watt bulb set to strobe. You want to stun me visually with a movie in a good way, show me some new stuff in a way that tells a story in a novel manner. That's a little tougher here, what with decades of MAD MAX and RED DWARF. There is one sequence that blew me away, the Dickensian sequence set around San Diego, with dust heaps out of BLEAK HOUSE, and tormented orphans hard at work and such. After that, it was musing on the fact that even Tinkerbelle wants Pinocchio to be a real boy and can something be done about Jared Leto? Will some one give him a chocolate chip cookie at least?In the end, BLADE RUNNER 2049 is a good movie not because it tells exactly same story with newer and more obnoxious special effects, but because it tells another story that arises out of the first, and not just one in which the good guys win because the good guy leaks marginally less blood and lives, while the bad guy dies, thus proving that..... good guys have better clotting? Yay for the good guys! No, Ryan Gosling actually learns a moral lesson and does a good deed as a result, for no benefit. Because in the end, if we want to be human, we must behave as humans.",Blade Runner 2049
5,Horst_In_Translation,The world is not enough,4,5 November 2017,"No less than 35 years after the original Blade Runner by Ridley Scott, it is Canadian director Denis Villeneuve who gives us the 2017 sequel. Hampton Fancher, the writer of the original Blade Runner and also a prolific actor for decades, returns out of retirement to continue with his career-defining work. And it was quite a challenge as not only does he have to come up with a futuristic, yet realistic work, but also take into account the events of the 1982 movie. I have seen the latter once years ago and I don't remember too much, so it's almost as if I haven't even seen it and that's the approach I am giving this new movie here. The lead actor is recent Oscar nominee Ryan Gosling and that is a big problem for me for sure. He was basically inferior in every shared screen scene from start to finish, be it with Harrison Ford, the lead actor in the original, with Dave Bautista early on or with Robin Wright and Ana de Armas. He is so bleak and the fact that there are hardly any scenes here without him in a film that goes for almost 3 hours definitely hurts the overall outcome a lot. I mean many people like him I know, but to me he is so completely void of energy that it is very difficult for me to appreciate the film with him at the very center of it.Of course it is not an actors' movie, but still. All the actors I mentioned show how to make the most of their screen time and they do a pretty good job and you can add others to that like Leto, even if a lot about his character is about these eyes and not really about his performance. As for de Armas, she currently sits on number one in the IMDb Starmeter, just like last week, and we will see how her career is going after this huge success and if she (and Daisy Ridley for example too) can make huge waves outside their blockbuster franchises in the next years, maybe decades. Harrison Ford definitely elevates the material from the moment he shows up and I am not even a fan of his. But the amount of classics he is in is very impressive. Lets see if we get an old version of his Indiana Jones too at some point, just like we do here and on Star Wars. Back to this one here: I am actually surprised by the great reception and it cannot only be my Gosling bias that kept me crucially from enjoying the watch. Sure in terms of the complete visual side and technical side, it was a spectacular watch and will definitely be represented at the Oscars. The world is great to watch. Is this the film that finally gets Roger Deakins his long overdue win? It sure looks like that. The colors, the landscapes, the buildings, the structures... it all looked exactly the way I hoped it would.But honestly, this does not keep me from criticizing the story. Just one example: The reference to Gosling's character believing he is the one who was born. There the film almost points laughingly at other films where he would have been and it seems very condescending that the movie prides itself by something so simple honestly, acting as if this would prove it's great because it takes a completely different route. Yes people may have predicted it's him, but then after this revelation it's just about nothing but guessing who's the one instead. Not enough. Not even close. We will see if there will be a third Blade Runner at some point (or a film taking place in-between the 1982 and 2017 film) and the open ending with a strong plot potentially for Leto's character make it look possible. However, the watch here does not get me curious about the original again, let alone this one here that I will not see again ever I guess. A bit of a shame as I really enjoyed Villeneuve's recent works. But from what I have seen so far, this is a career worst. Don't watch. It's only for the very biggest Gosling fanboys.",Blade Runner 2049
6,Prismark10,Back to the blade,7,11 October 2017,"The original Blade Runner was a futuristic noir thriller. It did not need a sequel but maybe like another film released in 1982, Tron, the producers thought a belated sequel was required.Denis Villeneuve directs with Ridley Scott taking a hands off Executive Producer role. The visuals are still great but not as breathtaking as the original film. We see a dark multi ethnic rain soaked LA with giant billboards.Ryan Gosling plays Agent K, a replicant whose job is to retire the older replicants produced in the era of the original film. The newer replicants are OK still being used as slave workers.Agent K comes across some buried bones which again leads to an investigation into identity, false memories and the whereabouts of an impossible child, now grown up.Jared Leto plays the mad messianic Wallace, the man who has taken over the Tyrell corporation and produces replicants but wants to creates life. He thinks Agent K will find the answers and sends one of his replicants out to assist and hinder his mission.Harrison Ford returns as Deckard who hangs around in a desolate Las Vegas hotel with holographic images of Elvis and Frank Sinatra who might hold the clues to what happened to the child.Blade Runner 2049 is really an overlong art film, it actually lacks the thriller element of the original film even some of the weird humour. I rewatched the original Blade Runner before I saw the sequel, despite the po-faced narration his Deckard provides some humour.Blade Runner 2049 has a few cameos from the original film including an iconic recreation of a replicant which excellent use of CGI.However the pacing and length is a negative, the story is not strong enough to sustain it although I have to credit the writers to lead you up one way and them wrong foot the viewer.",Blade Runner 2049
7,claudio_carvalho,Shameful Use of the Characters from Philip K. Dick's Novel,1,30 December 2017,"The cult 1982 ""Blade Runner"" by Ridley Scott is a masterpiece and one of the best films ever made by the cinema industry. The hyped up ""Blade Runner 2049"" is an overrated garbage with a shallow storyline and shameful use of the characters from Philip K. Dick's novel. The slow pace and the weak direction make this flick boring and annoying, with excessive use of CGI trying to compensate the lack of substance. Philip K. Dick might be probably trembling in his grave. My vote is one (awful).Title (Brazil): ""Blade Runner 2049""",Blade Runner 2049
8,nogodnomasters,They named you. You must be special.,8,18 October 2017,"The film opens with a brief introduction. Old rebellious bio-engineered humans of enhanced strength (Replicants) are being hunted and killed by new bio-engineered humans like Ryan Gosling (AKA K) who would not have been my first casting choice. The world is almost destroyed as K searches for what appears to have been a child born (now about his age) to a Replicant. Harrison Ford enters the film 90 minutes into the production and PLOT SPOILER is not killed by his son. If you pay attention to the details, it has a rather clever twist.The only fact that I missed was the date of 6-10-21 was said to be a birth date and this was 30 years later. I did the math three times and it does not come out to 2049. Good sci-fi worth a view even if you didn't see the original.Guide: F-word. Nudity.",Blade Runner 2049
9,kosmasp,Slow and beautiful,9,10 March 2018,"I guess if the producers wanted to make another Blade Runner, they totally succeeded - at least so far. As with the original Blade Runner the visuals are the ones that people will refer to when it comes to this movie. And it's not just because of the Academy Awards. You can tell all by yourself and I reckon even without having seen it on an IMAX screen (though I would have recommended it and still am).Having said all that, the movie has also the same irritating feeling about it, that the original Blade Runner had. So in almost every aspect it is a successor to it. Story wise obviously too, though I guess this one has a couple of shorts that play before this movie, that are supposed to get you in the mood. They are not necessary to watch, but they are also very well made. This movie is an experience and it is one you have to be willing to make.While it does have some action scenes, while it is Science Fiction, it does play more like a slow moving drama with a lot of mystery elements to it. If that sounds intriguing to you, with some added social commentary flavor, than by all means watch it. But beware that you have to have patience with it ...",Blade Runner 2049
