,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,kosmasp,Old school,9,3 November 2021,"Edgar Wright seems to polarize with this movie. Although generally speaking the majority seem to love this as much as I did. Or in similar fashion - no pun intended. And for a genre movie it starts off ... well off (weird). You don't get a shocker, quite the opposite it starts off with a music number/dancing. Which makes sense when you think about it in hindsight and still sets a tone for the viewer - even if not one that is as menacing as the movie becomes later on.Technically speaking the movie is impeccable. Anyone arguing differently surely has not seen far lesser movies produced than this and is probably blinded by the fact they don't like the movie. Which is more than fine, just don't let your dislike turn into a general bashing. One does not have to like a movie that is well made. We have different tastes and that is a good thing.There are things that depending on how you view things, may feel like flaws or things the movie did not get right. Like the moral ambiguity or the love interest. The latter may feel a bit one dimensional, but ask yourself this: how many female love interests have been played or rather written the exact same way? So this is nothing unusual - unless you count the gender swap for who is playing the gullible and way too nice person to be real ... having said that, again that may not be enough to sway you to like the movie or the characters.And the moral issues the movie displays including an ending that some may not be entirely left satisfied with (character choices and so much more) - with many unanswered questions ... on the other hand, some things are better left without an answer, so we as viewers can fill in the blanks.Stylish and probably with quite a few in-camera effects (I imagine certain tricks were used to avoid a higher special effects cost, but I may be wrong), this movie has a few exquisite jump scares and a really good story as a backbone. Oh and before I forget, a great cast. It has been ages since I last saw Terence Stamp on the big screen ... Covid aside of course.Anyway, really good genre movie by a director who knows what he wants - for an audience who mostly seems to appreciate it.",Last Night in Soho
1,CinemaSerf,"Gently bubbling, sophisticated, horror film...",7,7 November 2021,"The time-shift nature of the narrative, supported well by the changes in fashion styling, an excellent soundtrack of strong vocals and a really top-notch effort from Anya Taylor-Joy as ""Sandie"" really make this quite compelling at times. When ""Eloise"" (Thomasin McKenzie) takes an attic room in the house of Dame Diana Rigg, all goes well until she starts to become subsumed into the life of an alter-ego ""Sandie"" - a girl who came to London's Soho in the 1960s, full of pipe dreams to be a successful singer. She alighted on the sleazy ""Jack"" (Matt Smith) who promised her the world - but soon she was just another plaything for old men... Initially convinced these are just dreams, soon ""Eloise"" and her would-be-beau from fashion school ""John"" (Michael Ajao) are trying to get to the bottom of what really happened... As horror films go, it has plenty to keep it interesting. There are a few jump moments as the film progresses, but mostly it is the hugely creative style of the visuals that build the sense of menace. The twin-dimensional aspects of the plot gradually marrying together as their two environments begin to encroach more on each other. I can't say I liked the ending, it was all just a bit too convenient and for me, at any rate, predictable. The interventions from Terence Stamp were unnecessarily misleading, I felt - and not in an interestingly red-herring sort of fashion, which I thought was a little bit of a shame. Still, though, this is a great looking, well paced and engaging test for the nerves that showcased some good acting talent that I did rather enjoy.",Last Night in Soho
2,Calicodreamin,Enrapturing,8,3 November 2021,"This movie had me hooked from the beginning. The vibe of the neon, eerily upbeat 60s music, and intense cinematography, is unmatched. Acting was decent and the storyline unpredictable (at least to me). A well made movie that haunts, not scares.",Last Night in Soho
3,ferguson-6,where the neon signs are pretty,8,29 October 2021,"Greetings again from the darkness. Every once in a while a movie captures that magic feeling of being swept away, and this wild film from writer-director Edgar Wright and co-writer Kristy Wilson-Cairns (1917) did just that for me. This is my kind of psychological-horror-thriller and with the exception of one sequence that went a bit too ""slasher"" for my tastes, I had a blast watching it. I'll admit that, while also acknowledging more people will probably not enjoy this, than will. But for those who do, I feel confident they will share my enthusiasm.Eloise (Thomasin McKenzie, JOJO RABBIT, 2019) opens the film by expressively dancing to Peter & Gordon's ""A World Without Love"" while sporting a self-designed dress made of perfectly creased newspaper. Her room is filled with 1960's colors and memorabilia and we soon learn she's an orphan raised by her grandmother (Rita Tushingham, A TASTE OF HONEY, 1961). Eloise, or Ellie as she's called, dreams of following her mother's path to London, and is thrilled beyond measure when her acceptance letter arrives from the London School of Fashion. Ellie does carry the burden (and visions) of her mother's mental illness, and her grandmother warns, ""London can be a lot.""
Small town (Cornwall) Ellie with her timidity and wide-eyed innocence arrives in London and is immediately the target of 'mean girl' and fellow student Jocasta (Synnove Karlsen). Rather than subject herself to the abuse, Ellie sublets an attic room from an old lady landlord named Mrs. Collins (the last screen appearance for the great Diana Rigg). Ellie loves the room and her independence, but her dreams act as a portal back to those swinging 60's of which she's so fond. But that's only the beginning. It's here where she follows/becomes Sandie (Anya Taylor-Joy), and the mirror effects are truly other-worldly. Sandie is everything that Ellie wishes she was herself - confident, radiant, ambitious, and beautiful. This dream state allows Ellie to live vicariously through Sandie. At least initially.The Ellie-Sandie sequences mess with your head in a wonderful way. Sandie seems to float across the club's dance floor, and Ellie is mesmerized at first, before turning protective. The tone shifts when Sandie meets sleazy Jack (Matt Smith), a would-be agent who promises to get Sandie the shot at stardom she desires. This leads to ATJ's amazing and breathy version of Petula Clark's ""Downtown"". It's a standalone highlight of the film, and a moment that shifts the story yet again. If you are struggling to keep pace, you're not alone.Soho's glamour is matched only by its grunge. The recurring dreams turn to nightmares, so that even Ellie's waking hours are surreal. A mysterious elderly gent played by Terence Stamp may be the key to the mystery Ellie's so busy trying to solve that she is oblivious to the romantic overtures by nice guy John (Michael Ajao). The nostalgia of the 60's provides a visual treat with the Café de Paris, a massive theater marquee advertising James Bond's THUNDERBALL, and Cilla Black's ""You're My World"".Filmmaker Wright gives us so much to discuss, but it's crucial that the best parts not be spoiled. Just know that Oscar winner Steven Price (GRAVITY, 2013) provides an incredible mix of music, while Chung-Hoon Chung's cinematography, Marcus Rowland's Production Design, and Odile Dicks-Mireaux's costumes all nearly steal the show. But of course, that can't possibly happen thanks to the stupendous performances from Anya Taylor-Joy and (especially) Thomasin McKenzie. These are two of the finest young actors working today, and we will be fortunate to watch their careers develop.Edgar Wright is having quite a year. He's already delivered the terrific documentary, THE SPARKS BROTHERS, and now comes what is his best work yet. You may know his work on BABY DRIVER (2017) or the Three Flavours Cornetto trilogy that kicked off with SHAUN OF THE DEAD (2004). Here, he playfully bounces between genres serving up time travel, a murder mystery, the Soho history, a memorable soundtrack, surreal dream and ghost sequences, a touch of romance, and that previously mentioned 'slasher' scene. A final tip of the cap to Diana Rigg, whose career spanned her role as Emma Peel in ""The Avengers"" (from the 60's), her time as a Bond girl in ON HER MAJESTY'S SECRET SERVICE (1969), and ultimately as Olenna Tyrell in ""Game of Thrones"".Opens in theaters on October 29, 2021.",Last Night in Soho
4,blanbrn,"A ghost haunting of the past, a little bit of reincarnation or living another life with twist!",6,31 October 2021,"Director Edgar Wright has made one interesting and tense glamour like suspense thriller horror like drama in ""Last Night in Soho"". Maybe he took from a page of old classic horror and he really blended the film well with 60's culture of clothes, music and hair styles. The acting and chemistry between the two leads Anya Taylor Joy and Thomasin Mckenzie is in top form.The story and setting is with Eloise a girl who's lost her mother and she is being raised by grandma and she's accepted to a fashion design school in London. So it's off to the big bright lights and city streets and she does not fit in the click with the current class of girls. So she rents an apartment and her landlady just doesn't seem right. Soon Eloise starts having strange dreams seeing a past time in nightclubs of the 60's seeing a lounge singer Sandie(Anya Taylor Joy) and she soon sees strange characters and a dark past. Many of these sightings and dreams lead to ghostly encounters. What is this picture trying to say is it to reveal a murder mystery or is it saying reincarnation or did Eloise live a past life. Only the film twist and reveals something about the past, murders, and trio of characters of Eloise, Sandie, and the old woman the renting landlady of Eloise's. May not be the best work still it's entertains and blends well with 60's times of fashion, and music as this is a mix of drama, horror, and suspense.",Last Night in Soho
5,FeastMode,me likey,7,4 November 2021,"This is my kind of movie. Very interesting, cool and different. An artistic visual style with good music. Dark in all the right ways. Great performances, especially by thomasin mckenzie. Whatever schtick she was doing was so adorable, made it easy to get emotionally invested in her character.It's not perfect movie, but i really enjoyed it and look forward to watching it again. (1 viewing, 11/1/2021)",Last Night in Soho
6,wellthatswhatithinkanyway,"Striking, original horror fantasy from Edgar Wright",9,2 November 2021,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningEloise (Thomasin McKenzie) travels up from her home in Cornwall to London, to study fashion design. Obsessed with the 60's and wearing clothes she made herself, the introverted young woman becomes a target of rejection and ridicule by her new dorm mates, and isn't accepted by anybody except John (Michael Ajao), a fellow student. She finds herself a flat, rented out by the forthright Ms. Collins (Diana Rigg) where at night she is transported by forces unknown back to the 60's, where she enters the body of Sandie (Anya Taylor-Joy), a feisty aspiring singer, who is rescued one night by the seemingly friendly Jack (Matt Smith), who, after showing his true colours, plunges Eloise into a devastating, sinister nightmare.The 1960's could be said to be the first era to have an enduring timelessness about it. A time of sexual liberation and changing social attitudes, it was the first great 'rock n' roll' decade, with fashion and music that set the trends from then on, and a time ripe with potential to set stories against the backdrop to, such as this increasingly dark, unnerving tale from director Edgar Wright.It speaks to the enduring appeal of the 60's that the central protagonist was born so long after it, but still has such an obsession with it. From the outset, Eloise is clearly marked as a passive misfit, living in her own little world, dancing around in her room at home, making her the perfect fish out of water when she gets from her home in Cornwall to the big smoke that is London. The colourful visual assault when she first steps into the night out in 60's Soho, most notably the brightly lit poster advertising the new James Bond film Thunderball, is one of the film's deftest touches, along with the dazzling soundtrack, featuring the likes of Cilla Black and Petula Clark, that really bring the period setting to life. The central concept, while at first a little far fetched, does have a successful air of intrigue about it that draws you in and keeps you hooked.It all builds up to a big twist, the big reveal behind everything that's been going on, which takes a detour from the Sixth Sense style path it was going down to a different route, which despite having a certain predictability to it, still manages to come off in a way you weren't completely expecting. Mainly, it's kudos to Wright and a sparkling cast for pulling off an original and striking feature so gorgeously. ****",Last Night in Soho
7,UniqueParticle,"""When we're alone we go downtown"" I absolutely loved this movie!",10,29 October 2021,"Thomsen McKenzie and Anya Taylor Joy are exquisite! Last Night at Soho is brilliant, has one of the best soundtracks ever, and really well made by genius Edgar Wright. I loved the story so much about a girl that wants to be a designer and famous that starts experiencing something very different that I won't spoil anything everything with Alexandria (Anya) is so good. I was very surprised of the old folks that came to the movie, I guess they didn't mind the horror. Very deserving of the 7.6 rating and I'll definitely want to buy when available.",Last Night in Soho
8,cruise01,Stylish and a love letter to 60s with a ghostly supernatural story.,7,31 October 2021,3.5 out of 5 stars.Pros: Edgar Wrights stylish direction is entertaining. Its a psychological horror film that is about a girl moving to Soho. When visiting a rental room. She has visions of the 60s in Sandys perspective (Ana Taylor Joy).The film has a great soundtrack that works great with the film.It does have a few thrills that will keep you on the edge.Thomasin Mckenzie and Ana Taylor Joy did a great job with there characters.Cons: the plot becomes forgettable once everything comes together. Like any other ordinary supernatural thriller. A girl with a gift that can see visions of the dead and what happened in the past. Which someone was murdered. And she is trying to solve that mystery.The climax becomes dull once the twist is revealed which was not surprising or shocking. Which thw third act becomes weak compared to the rest of the film.,Last Night in Soho
9,zkonedog,A Supremely Entertaining Sensory Feast In Nearly Every Aspect,9,9 November 2021,"""Last Night in Soho"" is not a perfect film, to be sure. Some of the decisions it makes regarding plot and characters could very easily be considered suspect or sub-standard (especially in the oft-criticized third act). But in a larger sense, the movie is so extremely entertaining that such potential faults can largely be forgiven (even by plot/character fanatics like myself) in lieu of everything else director Edgar Wright brings to the table.For a very basic overview, ""Last Night in Soho"" tells the story of Eloise (Thomasin McKenzie), a young adult from the English countryside who moves to the present-day big city to study fashion design. Elosie doesn't fit in with the traditional ""mean girl"" types, instead obsessed with the 1960s England aesthetic. She also possesses (as visions of her late mother establish) a sort of ""second sight"" that--while sleeping--transports her directly into the swinging London '60s body of Sandie (Anya Taylor-Joy). What Eloise & Sandie simultaneously discover is a culture that preys on young women--potentially to dire consequences unless an intervention occurs.The biggest calling card of ""Last Night in Soho"" is that it's a visual and auditory feast of the highest order. The soundtrack sets every mood perfectly, and the visuals are colorful/flashy without ever being distracting or over-the-top. Truly one of the most impressive immersions into a film atmosphere I've ever experienced.The acting is also top-notch. Taylor-Joy (steadily climbing the ranks of most in-demand Hollywood actresses) is spot-on as both sexy/demure and vulnerable, while McKenzie brings an earnestness and relatable nature to the mysterious proceedings. Those two leads are then surrounded by perfectly-cast, old-school English stars like Diana Rigg & Terence Stamp.Plot-wise, the first half of the film is all about ""setting the mood"", and does so to near-perfection. It concocts a fairly standard mystery to go along with the glitz and glamour--and then turns it on its head in the final minutes, moving the proceedings towards thriller/horror. From a critical perspective, there may be some doubt as to the technical effectiveness of such a choice. But to be honest, by that point I was so engaged that I didn't feel let down in the slightest.I'd have to watch ""Last Night in Soho"" again to better gauge the ending tonality shift. But my initial reaction upon leaving the theater was that I was thoroughly entertained in nearly every aspect. This was an all-sensory stimulation like few others I've ever seen.",Last Night in Soho
