,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Horst_In_Translation,"Craig's time as 007 ends on a fairly high note, but I still hoped it could be better",6,24 October 2021,"""No Time to Die"" is a co-production between the United States of America and the United Kingdom from 2021 and this is of course the most recent James Bond film we have here. It is a definite contender for most awaited film of the decade because on the one hand the viewer numbers are self-explanatory and on the other hand this film has been delayed so many times because of the corona pandemic that it was truly high time for it to actually hit theaters everywhere. Which it did not too long ago. Being a a huge Bond fan myself, who has seen all the other films (no exceptions), I was curious enough to watch several hours of red-carpet broadcast from London a while ago when the film had its world premiere there and most key cast members showed up and the Royals were also there to check it out. It runs for over 2 hours and 40 minutes which makes it a truly long film and even if it is an hour or so longer than another Daniel Craig Bond movie, nobody can really be surprised. It was already an option that Craig could end his Bond career before this one here, but he returned again for a fifth and final 007 performance. Unfortunately, as you can see from the title of my review, I don't think this was as amazing as it could have been. I still think that Casino Royale and Skyfall are his two best movies and clearly ahead of the rest, even if it's not easy at all to pick the number one. But that is another story. Let's look at this one here now. Director is Cary Joji Fukunaga, who is mostly known for his work on True Detective, so the outcome here is surely his biggest big screen success as of now. He is also one of the writers and the other two are again Purvis and Wade who were already there during the Brosnan era. Enough said. They could very well also be there again when the next 007 takes over. Whoever it will be. I mean we already have a Black female 007 in this film, even if I doubt she will become the new lead to the franchise. But we will see.As for the cast, there is nothing to say about Craig anymore. Some of the others are people who reprise their characters from previous movies. Especially the one before. Léa Seydoux is back playing Bond's one and only love interest in this film and it's very serious as we find out, not only because of the child that joins them, but also because of the long sequence early on, which is linked to Vesper Lynd again and her story of betrayal back in Craig's very first Bond movie, so it is a bit of a framework you could say. Is he betrayed again? This time by Madeleine? Christoph Waltz is in this film here too. No surprise obviously, but he does not have a lot of screen time unfortunately. He is an actor I like and I definitely think that there could have been much more to his Blofeld than there was in this film and the previous one. Let's be honest: With what they did with/to him here, it maybe would have been better if he had not been in the film at all. I think Fukunaga was basically only looking for a way to get him out of the picture somehow and put all his focus on the key antagonist in here. That would be the character played by Oscar winner Rami Malek. He is a new addition to the cast and (if we don't count the very first masked scene) it takes quite a while for him to finally join the action, namely when he sits there in Madeleine's presence, but once he is there, he is bound to stay. Great screen presence as always and his villain character is among the better aspects from this film, especially in that scene where he takes the girl from her with the aura of poison all around him. Another antagonist character is played by Dali Benssalah. Very easy to identify too with his physicality. Not just the eye, even if this eye, especially in the final fight scene, and how he/it is taken out is maybe the biggest cult moment from this film and I had to think of Oddjob's hat back in Goldfinger there. I could go on and on. Jeffrey Wright is there again, so is Ralph Fiennes. Ben Whishaw, Naomie Harris. New faces with a decent amount of screen time include Lashana Lynch, David Dencik and Billy Magnussen. All no really big names, so they made sure nobody takes away too much attention from Craig's farewell performance.Comedy is once again nothing you find too frequently in here. There was some banter here and there between Bond and the new 007 about who is allowed to carry this number. There was this eye scene linked to the gadget, the one I just mentioned. Oh and maybe for my comedic highlight of it all I must mention Ben Whishaw. His talk about the guest he was about to have was more of a politically correct failure piece of comedy, maybe also linked to the actor's own sexuality, but when he tried to pretend in front of M that he had not seen Bond before this encounter, it was pretty funny. I give them/him that. Big smile there. As for the more dramatic moments, of course the one that stands out the very most is the exact ending. Bond has never died before in these films, so they were taking completely new directions here. I am not sure if I like it though. Big challenge and they probably could not have depicted it any better, but Bond always had this unkillable aura and maybe they should have stayed with it. Like breaking an unwritten rule. Oh well, this was not the first time Blofeld died either and they killed Leiter in the process of it too, but they will all be back sooner or later. In any case, these rockets hitting the island were pretty spectacular. Also bittersweet that they came from his side and 007 ordered them to be fired and you could say that M or MI6 messed up themselves by the fact that they lost this Heracles, this priceless killing program, to the bad side. So his own folks' shortcomings result in Bond's death in this movie. But he still makes sure that evil is buried with him and this gigantic factory of villainy goes down as well. The island between Russia and Asia here I liked the way it was depicted. The isolation of it all, but also these water areas (or liquid areas) in which people were working in thick riot gears. Not sure this is the right word.As for the Bond song by Billie Eilish, I remember not liking it too much when I heard it first. Then it grew a bit on me over the months in the process of looking forward to this film perhaps. Now, as I heard it connected to the movie, I again am not too big on it. Also felt to me as if it was not used on many other occasions except the opening sequence where they always use the Bond song. So yeah, this will surely be one of the more forgettable Bond song and I am pretty sure that it will not repeat the awards success that Adele and Sam Smith had with their previous Bond songs. But we will see. An Oscar nomination seems like a big success already from my perspective. The win is not an option as of now the way I see it. I should probably also mention Finneas as he is co-writer, but I just don't really understand the Eilish hype at all. The music that stands out way more here is certainly Louis Armstrong's ""We Have All the Time in the World"", a timeless classic that you will hear with the closing credits and you also hear the name of this song being referenced on several occasions during this movie, key occasions really. The timelessness of this piece is something Eilish and her brother can only dream of. And it's also a beautiful jump back in time because this was used back in the day during the early 007 movie days already. For Dr. No if I am not mistaken. So yeah, the film had something to offer on the music front as well, not only with Hans Zimmer's soundtrack. The technicality we don't need to criticize. Costumes, sets, makeup, cinematography, sound effects etc. All this is in competent hands here and could not have been much better. But story is key and this is the reason why I don't give a truly high rating. By the way, I thought on some occasion that Madeleine's father here could be Blofeld. I mean we hear about him being a killer, a doctor which he is in the old film, always carries the title Dr. Ernst Stavro Blofeld and here in the previous film he even went with Mr. Bleuchamp, so a French connection was also there. So when we know that Bond can kill Blofeld with his hands because of the virus, I thought that he would kill Madeleine too, but they touched and kissed and she did not die, so we did not find out about her real father.As for Malek's character, he is of course also a tragic figure with what happened to his family earlier and his revenge idea in terms of killing the killer's family can be related to somehow, but what he turns into is definitely insane. I mean this was a touch of Thanos already I felt. Killing millions of people and causing some kind of natural selection this way. While with Thanos we were getting this idea of a relentless god, I still felt that they could have elaborated a bit more there on Safin's approach. Not the tennis player. Sorry, I just had to. Overall, this is of course unsurprisingly another Bond film that people who like the franchise should not miss out on and it is also definitely a better watch in movie theaters. Go see it on the big screen and preferrably do so now while it is still on because I have made the experience that at least here they do not really show past Bond films in movie theaters. The old ones. Maybe because they are all on television still from time to time and actually several times each year. I am not sure what you will like most about this movie, but I think there is enough to pick from and there are definitely more positive moments to the outcome here than negative moments. Actually, almost no negative moments. Ana de Armas could have been given better material. I mean she is second-cast on imdb because of her name, but barely a factor. Oh well, maybe we will see more from her character in the next movie. It's still also never really a great film unfortunately. I feel like Fukunaga was playing it safe overall, which hurt the film. (tt2382320)",No Time to Die
1,Prismark10,No Time To Die,8,21 October 2021,"Bond is back at last. Daniel Craig is the longest serving Bond with the fewest films.Once again Bond is out of the service, bumming around the Caribbean.It's Felix Leiter who coaxes him back to action. Only to find that M has replaced him with a new 007.The target is a biological weapon that horns in on DNA. The British were developing it but lost it to Spectre, or so they thought.For Bond it's a reunion with Blofeld and Madeleine, a woman he thought he loved but let go, mistakenly. She never did have time to tell him her secret.However there is a new foe called Safin and he is bearing a grudge but it is against Spectre.The movie is long and lacks a spectacular action sequence. It also feels a lot like a Christopher Nolan film. Just check out all those black Range Rovers, the booming bass and the car action scenes.I also thought Safin himself was a weak baddie. I could understand his hatred for Blofeld but not against the world or Bond.The stirrings of a Louis Armstrong song at the beginning gives the impression that the movie will contain several farewells.For Bond there are also a few new character developments. He crosses swords with M. He has regrets and might need to make the ultimate sacrifice.The ending is rather faithful to the novel of You Only Live Twice.One big issue I have and this is something the producers need to consider in the future. The film has three villains with facial disfigurements.",No Time to Die
2,nogodnomasters,It's just a number,5,10 October 2021,"It takes 30 minutes to get to the opening credits. We discover Bond has a love in Madeleine (Léa Seydoux) and we discover she is the daughter of Spectre. After a near death experience Bond places her on a train and goes and lives on an island somewhere. He is drawn back into service with the re-emergence of the Heracles project which targets DNA and uses nanobots. Oh yeah. There is a remote island with a sinister lab on it.I am weary of the whole Spectre fight. The new personal aspects of Bond bored me. Daniel Craig is classless compared to Sean Connery and gets his hands way too dirty. The opening theme was lousy. It was certainly no ""Diamonds are Forever."" And the ending? Geesh. You thought fans were upset when Judi Dench was axed. I did like Ana de Armas as Paloma for the short time she was on the screen. Why didn't they write her a larger role? She would have been great during the end scenes.Guide: F-word. No sex or nudity.",No Time to Die
3,kosmasp,No time to say goodbye,9,13 October 2021,"When I first watched Daniel Craig 15 years ago, I was not ready for the direction they were taking the character. It felt like a good movie, but it felt quite divorced from the Bond I grew up with ... the Bond I knew. But apart from that effort being a Bond begins sort of thing (and this being the other end of that ... line), the franchise bit by bit gave us certain things ... we as viewers yearned for. While keeping it fresh.Bond ... James Bond! That line - one of many that are (in)famous in the long list of Bond movies - gets a new spin here. As is the iconic Bond shooting towards the camera. Now I could name many more things that this film revisits and I probably still would miss some. There are many references here, either visually or via audio.The beginning is quite the introduction ... it is almost funny because it takes its time. And it is funny because the rest sometimes feels rushed. There are many loose ends the movie wants to (neatly?) tie up. Another day, another Bond song, another Bond intro - although quite late in the game.Bond has grown - grown not just over the course of the movie Craig played him, but generally speaking. Society changes and Bond has no issue sitting on on the backseat of a motorbike, while a woman is driving. That is not enough for you to go on a rampage and scream ""wokeness"".Many known faces return, but many new ones too. Be it the ever excellent if only shortly used Ana de Armas (no pun intended) or our uber villain Rami Malek. Now while I really liked what I saw and while the running time is 2,5 hours ... there are things that can be seen and called flaws. You can question Bonds love to Eva Greens character ... or him still holding onto her, you can question methods used and how convenient certain things happen - or how some stunts would put the Fast and Furious franchise to shame ... but if you did that, you would derive yourself of a lot of fun.Not being aware of the previous entries may not be necessary, but you'll have a lot of things to discover and smile at, if you have seen at least some of them. Of course if it is only a few of them, make it the Craig Bonds, so you have the whole ... story. Generally speaking I can't wait to revisit all the movies.No time to watch (them)? Well make time ;) Also to conclude with a fun ""fact"": the title No time to Die has been used before ... by another movie in 2006. The year Daniel Craig became Bond! Coincidence? Or full circle? All kidding aside, I have not seen that movie (yet), so don't hate on me if it isn't any good. Otherwise, out with the old ... in with the new - whoever that may be and however the franchise is going to reinvent itself ... I'll be there - I hope you will be there too.",No Time to Die
4,Sleepin_Dragon,"I wasn't expecting that, very entertaining, if long.",8,1 October 2021,"It felt as though we were never going to get to see this, but finally it's here, the question is, was it worth the wait?The answer, yes, really not what I was expecting, of course it's action packed, dramatic and high octane, but it actually boasts a good story, and perhaps shows us a slightly different side to the character.Plenty of action, plenty of style, and a real twist.I thought Daniel Craig was awesome, and I'm genuinely sad that he's leaving, it's fascinating now to know who'll take over.On the downside, it was a bit long, and it did lull a little in parts, but the action was enough to halt any dozing.Overall, very watchable, 8/10.",No Time to Die
5,jboothmillard,No Time to Die,7,24 October 2021,"The twenty-fifth Bond movie, reported as the last for the leading actor, was first delayed by the departure of original director Danny Boyle, due to creative differences, and then three or four times by the impact of COVID-19, with the lockdowns and restrictions. It became probably the most highly anticipated film in the franchise's history and was predicted to be the biggest film to bring audiences back to the cinemas. Finally, after almost two years of delays and waiting, it was released; I am a huge fan of Bond and I was super excited to see it on the big screen, co-written by Phoebe Waller-Bridge (Fleabag), directed by Cary Joji Fukunaga (Jane Eyre, Beasts of No Nation). Basically, in the opening flashback, Lyutsifer Safin (Rami Malek) visits the house of Mr. White, intending to kill him. He is not there, but his wife (Mathilde Bourbin) and daughter, young Madeleine Swann (Coline Defaud), are inside. While Safin kills White's wife, Madeline shoots him and flees, but Safin survives. He chases Madeline onto a nearby frozen lake, and she falls through the ice, but Safin rescues her. In the present, Madeleine (Léa Seydoux) is with James Bond (Daniel Craig) in Matera, following the capture of Ernst Stavro Blofeld (Christoph Waltz) and Bond's resignation. While he is there, Bond visits the tomb of his former lover Vesper Lynd, but he is ambushed by assassins from the Spectre organisation. The assassins, led by mercenary Primo aka ""Cyclops"" (Dali Benssalah), who has a cybernetic eye, chase Bond and Madeleine in Bond's gadget ladened Aston Martin DB5. Although they manage to overpower and evade the assassins, Bond believes Madeleine has betrayed him, despite her pleas, and leaves her. Five years later, MI6 scientist Valdo Obruchev (David Dencik) is kidnapped from a secret MI6 laboratory. With the approval of M (Ralph Fiennes), Obruchev had developed Project Heracles, a bioweapon containing nanobots that infect like a virus upon touch and are coded to an individual's DNA, rendering it lethal to the target and their relatives but harmless to others. Bond has retired to Jamaica, where he is contacted by his friend, CIA agent Felix Leiter (Jeffrey Wright), and his colleague Logan Ash (Billy Magnussen). Leiter asks for Bond's help in finding Obruchev, which he declines. But then he meets Nomi (Lashana Lynch), an MI6 agent who has been a Double-O for two years, becoming his successor as 007. She tells him about Project Heracles, after which Bond agrees to help Leiter, despite Nomi's warnings not to interfere. Bond goes to Cuba and meets CIA agent Paloma (Knives Out's Ana de Armas), as they infiltrate a Spectre meeting for Blofeld's birthday where they believe Obruchev will be. Still imprisoned in Belmarsh, Blofeld uses Primo's ""bionic eye"" to lead the meeting and order his members to kill Bond with a ""nanobot mist"". But the mist instead kills all the Spectre members, as Obruchev had reprogrammed the nanobots to infect them, on orders from Safin. Bond captures Obruchev and rendezvous with Leiter and Ash on a boat. But Ash reveals himself to be double agent working for Safin, he shoots Leiter and escapes with Obruchev. With a bomb exploded and the boat sinking, Bond is forced to leave the fatally wounded Felix, but he promises, before he dies, he will finish the mission. Moneypenny (Naomie Harris) and Q (Ben Whishaw) arrange a meeting between Bond and Blofeld in prison to try to find Obruchev. Safin visits and coerces Madeleine to infect herself with a nanobot dose to kill Blofeld, as she has been his only visitor since his incarceration. Bond and Madeleine are speechless seeing each other at Blofeld's prison cell, he touches her and unknowingly infects himself before she leaves. Blofeld confesses to Bond that he staged the ambush at Vesper's tomb to appear as if Madeleine had betrayed him. Bond reacts by attacking Blofeld, unintentionally causing the nanobots to infect and kill him. Bond tracks Madeleine to her childhood home in Norway and learns she has a five-year-old daughter, Mathilde (Lisa-Dorah Sonnet), but she claims she is not his. Madeleine tells him that when Safin was a boy, his parents were murdered by her father on Blofeld's orders. Safin was the sole survivor of Mr. White's dioxin attack on his family, leaving him facially disfigured from chemical burns. Having avenged his family by killing Blofeld and destroying Spectre, Safin continues his rampage with Ash. Safin's army pursue Bond, Madeleine, and Mathilde through the woods. Though Bond kills Ash and his thugs, Safin captures Madeleine and Mathilde. Safin's headquarters is located on an island between Japan and Russia, and harbours a missile base, converted to a nanobot factory, where Obruchev is mass-producing the technology so Safin can use it to kill millions of people. Q enables Bond and Nomi to infiltrate the base. Bond kills many of Safin's men while Nomi kills Obruchev by pushing him into a nanobot vat. Madeleine escapes captivity while Safin lets Mathilde go. Nomi takes Madeleine and Mathilde away from the island while Bond stays behind to open the island's blast-resistant silo doors, calling a missile strike from submarine HMS Dragon to destroy the factory. Bond kills Safin's remaining men, including Primo using electromagnetic pulse in his wristwatch to overload and explode the cybernetic eye in his head. Safin ambushes Bond, shooting and infecting him with a vial containing nanobots programmed to kill Madeleine and Mathilde upon his touch. Despite his injuries, Bond kills Safin after a fight and opens the silo doors. Speaking by radio with Madeleine, Bond tells her he loves her and encourages her to move on without him. In his final moments, Madeleine confirms that Mathilde is his daughter as Bond says goodbye. The missiles hit the island, destroying the nanobot factory and killing Bond. At MI6, M, Moneypenny, Nomi, Q and Tanner (Rory Kinnear) drink in Bond's memory. As Madeleine takes Mathilde to Matera, she tells her about her father, James Bond. Also starring Hugh Dennis as Dr. Hardy, Priyanga Burford as Dr. Symes, and Javone Prince as MI6 Security Guard. Craig makes the most of his final outing as the world's most famous spy being determined but also emotional, Seydoux (so far only the second Bond Girl to return, after Sylvia Trench) is beautiful and memorable as his lover, Lynch is reasonable in her annoyingly underwritten part, de Armas steals her scenes as the bubbly and slightly airheaded CIA agent, Malek is a bit too hammy and not very chilling as the villain, but Waltz gets a terrific Hannibal Lecter style cameo, and there is good support from Fiennes, Wright and Whishaw. It is a good story (the virus aspect being eerily relevant with the times we have lived in), filled with only occasional need for gadgets and gimmicks. It has drama and emotion, plenty of gripping chases, fights and explosive sequences, some humour, and the Billie Eilish title song (the second Bond song to hit Number One) is okay. You will notice things from previous entries popping up, including the Aston Martin V8 Volante from The Living Daylights (people have compared Craig's more aggressive Bond as similar to Timothy Dalton). But the most noticeable is the clever throwback to On Her Majesty's Secret Service, with the John Barry theme heard, and the song ""We Have All the Time in the World"". The 1969 film famously ended with Bond's wife being killed, in this one, Bond dies in a genuinely sad way (he goes out with a bang, literally), and the Louis Armstrong song plays in the end credits. There will be fans that will be shocked and maybe angry at producers breaking the golden rule (Bond must never die!), but Casino Royale started with Bond earning his Double-O status, and this is a brave, poignant, and (I think) suitable conclusion to Craig's tenure. It may be two hours and three quarters long, but it didn't feel like it, the time is used well, and this is just the kind of entertainment you need, and don't worry, ""James Bond Will Return"", a terrific spy action adventure. Very good!",No Time to Die
6,searchanddestroy-1,"That remains a James Bond movie for me, more than Skyfall",7,11 October 2021,"Of course the James Bond spirit is not exactly the same as the other films over decades. It is more gloomy, darker, with a total different face of our hero. You have in this movie many unexpected things, but the overall scheme remains à James Bond movie, maybe more than SKYFALL, which was far far more a crime thriller than an OO7 feature. Watch it again and compare. In a way, SKYFALL announced this one, with SPECTRE in the middle. Not the best Bond ever, but not the worst either.",No Time to Die
7,CinemaSerf,A fittingly mediocre conclusion of Craig's custodianship.,6,5 October 2021,"I saw this with a friend who watched the original ""Dr. No"" (1962) at the time, and who proclaimed at the end of this 2¾ hour marathon that this just isn't ""James Bond"". My first ""Bond"" film was some fifteen years later but i was forced to agree with him. This isn't. I have never been the biggest fan of Daniel Craig - he completely lacks charisma on screen. There is no glint in his eye! Add to that the grim determination of the producers to rob the character of his flaws and foibles; to politically correct every aspect of the storylines and to generally sterilise what was always, essentially, a charming tale of light weight male chauvinism with espionage, shameless patriotism, gadgets, double entendre and a damn good theme tune. Here, Craig has precious little chemistry with either of his female co-stars and the baddie features so sparingly (though that maybe because he was double-jobbing for Lord Lloyd Webber at the Opera) that even by the end there just wasn't a sense of accumulated tension, peril or danger - indeed I just felt really quite underwhelmed. Of course, it is a fabulous looking film: the old Aston Martin makes a welcome return - as does the divine Louis Armstrong's ""All the Time in the World"" but I wonder how many of us will recall this film once the dust has settled. It has a role right now; it may well single-handedly rescue cinema from the horrible effects of lockdown, and for that is must be congratulated, but speaking as a lifelong Bond fan, I'd implore those at the helm of the next one: can we please get back to what Bond is entertaining at, what Ian Fleming designed him to be and stop imposing wafer-thin stories on equally thin, undercooked, characterisations and hope that nostalgia and John Barry et al will dupe us into thinking it is great? I don't care if the next 007 is gay/girl/coloured/one legged - but please can we get back to a story laced with humour and personality with a script that allows for nuance, sarcasm and charm. Otherwise, perhaps Bond has just served his purpose, it's time to move on? Sorry - I was really disappointed.",No Time to Die
8,zardoz-13,Is This Curtains for Daniel Craig?,5,26 October 2021,"Daniel Craig delivers a robust farewell performance as 007 in the 25th James Bond movie ""No Time to Die,"" another long, drawn-out, often tedious extravaganza with lackluster villains capped off with a bizarre ending. Mind you, the 007 gang is all back, including Ms. Moneypenny (Naomie Harris), gadget guru Q (Ben Whishaw), Chief of Staff Tanner (Rory Kinnear), CIA agent Felix Leiter (Jeffrey Wright), and 007's crusty boss M (Ralph Fiennes) Head of MI6. Bond's perpetual enemy Ernst Stavro Blofeld (Oscar winner Christoph Waltz of ""Inglourious Basterds"") lurks on the periphery from his prison cell. Sadly, although he reappears here, Blofeld's screen time is far too minimal. Rami Malik's somnambulist villain Lyutsifer Safin epitomizes every Ian Fleming literary character who ever sought revenge. Worse, Safin's lack of stature in the gallery of audacious Bond adversaries doesn't serve him well. Meantime, too much of anything can be a bore, and Bond 25's biggest shortcoming is its length. Clocking in at a marathon 163 minutes, this 007 outing makes repeated allusions to ""On Her Majesty's Secret Service"" (1969). The least the Bond producers could have done is whittle 45 minutes off this meandering melodrama. Meanwhile, not only does Q have more than his usual number of scenes, but so also does M. Actually, M sets everything in motion with a cloak-and-dagger project codenamed Heracles that he conjured up without approval. Mind you, the $250 million budget makes ""No Time to Die"" look like a travelogue, with the scenic locales overshadowing the larger-than-life shenanigans. Indeed, ""No Time to Die"" boasts impressive production values, with Craig eager to engage his enemies with or without his license to kill. Unfortunately, little about ""Beast of No Nation"" director Cary Joji Fukunaga's entry in the cinematic Ian Fleming franchise is remarkable, except its ending. Ultimately, despite everything you may have heard to the contrary, the closing credits to ""No Time to Die"" conclude with the familiar phrase: JAMES BOND WILL RETURN. Compared with Craig's other Bond movies, ""No Time to Die"" makes Craig's most abysmal outing ""Quantum of Solace"" appear superior on several counts.""No Time to Die"" unfolds in the past, with Madeleine Swann as a child (newcomer Coline Defaud), living with her mother (Mathilde Bourbin of ""Louise""), in a remote but picturesque domicile in the middle of a snow-swept, Norwegian forest on the edge of a frozen lake. Madeleine's mom is Mr. White's wife. Earlier, the notorious Mr. White appeared in both ""Casino Royale"" (2006) and ""Quantum of Solace"" (2008) as an enemy agent who tangled with Bond. This opening scene occurs long before either of those Bond escapades. An enigmatic stranger garbed in military apparel, wearing a Japanese Noh mask, and armed with an assault rifle, arrives at Mr. White's house. Lyutsifer Safin (Rami Malik) has come to kill Mr. White because he murdered Safin's parents and family. Seeking payback, Safin has to settle for killing White's wife, since White isn't home. Madeleine manages to shoot Safin, but she doesn't kill him. Instead, fleeing from the house, she crosses onto the frozen lake, plunges through thin ice, and almost drowns. Ironically, Safin rescues Madeleine. Afterward, ""No Time to Die"" fast-forwards into the future. We learn James Bond has not only retired from MI6, but he has also fallen in love with an adult Madeleine. If you missed the previous Bond ""Spectre"" (2015), you should watch it. Meantime, the couple are vacationing in sunny Italy near the cemetery where Bond's long, lost ""Casino Royale"" lover Vesper Lynd is buried. Sentimental sap that Bond is, he visits her grave. Moments before the gravesite blows up in his face, Bond spots a business card with Spectre's symbol--an octopus--embossed on it. Naturally, Bond thinks Madeleine wanted to kill him. She didn't, but he doesn't learn this until five years later. More Spectre assassins emerge to kill our hero, but he survives their futile attempts on his life.Meanwhile, terrorists break into a secret MI6 laboratory and kidnap a scientist, Valdo Obruchev (David Dencik of ""The Snowman""), who has been developing Project Herakles, a deadly, top-secret, DNA-based bioweapon teeming with nanobots that can infect a person like a virus. Worst, Herakles was M's brainchild, and it was supposed to enable an assassin to kill a target in a crowd without harming anybody else. Eventually, Madeleine and Bond reunite when MI6 dispatches Bond to a maximum-security British prison where Blofeld is held. Madeleine (Léa Seydoux of ""The Lobster"") is Blofeld's psychiatrist. Blofeld confesses to Bond that he--not Madeleine--tried to kill him in Italy. Anything more about this elaborate plot would either be confusing or spoil the impending revelations. Like a standard issue Bond opus, our hero tracks down Obruchev and finds him on Safin's private island where the villain cultivates poisonous plants in an exotic garden. Mind you, this garden is something the writers took from Ian Fleming's second-to-last Bond novel ""You Only Live Twice.""Apart from two impressive, bullet-riddled, stunt-laden, action scenes featured in the ""No Time to Die"" trailer, nothing here will spike your blood pressure. Typically, the flamboyant villains make Bond movies memorable. Alas, Blofeld has only a couple of scenes, while Safin doesn't pose much of a physical threat. Daniel Craig and Léa Seydoux generate only a modicum of chemistry as lovers. The other letdown is MI6 agent Nomi (Lashana Lynch of ""Captain Marvel""), who has inherited Bond's number 007. She adds little to the fireworks that spotlight her mettle. Altogether, ""No Time To Die"" qualifies as a fair-to-middling thriller.",No Time to Die
9,george.schmidt,A fitting swan song for Craig as 007 delivers all the goods.,9,8 October 2021,"NO TIME TO DIE (2021) ***1/2 Daniel Craig, Lea Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes, Ben Whishaw, Naomie Harris, Rory Kinnear, Jeffrey Wright, Billy Magnussen, Christsoph Waltz, David Dencik, Ana de Armas, Dali Benssalah. Craig's swan song as 007 delivers all the goods with his brute force tactics and surprising vulnerability are on tap when his services are requested after 5 years retirement to stop baddie Lyutsifer Safin (silky Malek) from infiltrating a deadly nanobot virus via DNA into the world populace while also nursing his love for Seydoux who is in the mix in oh so many ways. Filmmaker Cary Joji Fukunaga (who collaborated on the screenplay with Nal Purvis, Robert Wade and Phoebe Waller-Bridge) infuses death-defying set pieces with visual flair to spare (best viewed in Imax) as well as some much needed dry wit and humor.",No Time to Die
