,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,boblipton,Just Sit Back And Enjoy Yourself,8,23 October 2021,"Wes Anderson's latest movie, under thinly disguised names, supposes that Harold Ross, instead of going to New York to found THE NEW YORKER, had moved to France. There, with the same writers and cartoonists, he turned out essentially the same magazine, but with, understandably, more of an emphasis on France than on Broadway. We are then graced with Bill Murray as the editor dealing with his writers, as Tilda Swinton narrates her tale of insane prisoner Benicio Del Toro inventing a new movement in art; Frances MacDormand covering a student uprising while bedding leader Timothée Chalamet, while editing and writing an appendix to his revolutionary manifesto; and Jeffrey Wright covering the novelties of ""cuisine policier"" with the commissioner, which turns into a hot pursuit as the commissioner's child is kidnapped, and his chef must take the lead in the recovery.I am a great fan of Anderson's cartoonish, highly detailed cinematic worlds, in no small part because he is constantly winking at the audience, letting them know they are in on the joke, as he manipulates aspect ratios, colors, timelines, and moves walls aside in plain sight, His actors seem to enjoy themselves. This is Bill Murray's ninth appearance in an Anderson movie, Owen Wilson's eighth. Other well-regarded performers include Lea Sedoux, Mathieu Amalric, Bob Balaban, Henry Winkler, Christopher Waltz, Willem Dafoe, and a dozen others. Nor do they come for the big parts; they seem to be happy to show up. When the show ended, two men in the audience began to discuss how the aspect ratios and moving walls had some significance to the underlying meaning. Perhaps I lack the depth to understand such things, but I think Anderson tells his little tales and wants us to have a good time. Does that make it great art? Perhaps not. Sometimes it's enough for us to smile.",The French Dispatch
1,jboothmillard,The French Dispatch,7,1 November 2021,"I saw the trailer for this film, and I recognised the distinctive style of its director immediately, always symmetrical imagery, many bright colours, often surreal or eccentric, and an all-star ensemble cast, so I was up for it in the cinema, written, produced, and directed by Wes Anderson (The Royal Tenenbaums, The Grand Budapest Hotel, Isle of Dogs). Basically, set in the 20th century, Arthur Howitzer Jr. (Bill Murray), the editor of The French Dispatch, an American newspaper in France, has died suddenly of a heart attack. The final wishes in his will state that publication of the newspaper is to be suspended immediately following his death, with one final farewell issue. The newspaper will feature three articles from past editions of the paper, along with an obituary. This collection of stories is brought to life. It starts with The Cycling Reporter: travel writer Herbsaint Sazerac (Owen Wilson) gives a cycling tour of the town of Ennui (French for ""boredom""), showing several key areas such as the arcade, Le Sans Blague café and a pick-pocket's alleyway, and observing how much and how little has changed over time. The first story is The Concrete Masterpiece by J. K. L. Berensen (Tilda Swinton): Mentally disturbed artist Moses Rosenthaler (Benicio Del Toro) is serving a prison sentence for murder and paints an abstract nude portrait of prison officer Simone (Léa Seydoux), who he develops a relationship with. Art dealer Julien Cadazio (Adrien Brody), also serving time for tax evasion, sees the paining in a prisoner art exhibition and is immediately taken by it, and buys it despite Rosenthaler's protests. Upon his release he convinces his family of art exhibitors to put it on display, and Rosenthaler soon becomes a sensation in the art world, with his paintings in high demand. Three years later, Cadazio and other artists are angry at Rosenthaler's lack of further artwork, they bribe their way into prison to confront Rosenthaler, and discover that he has painted a series of frescoes on the prison walls. Angered that the paintings are irremovable, Cadazio gets into a fight with Rosenthaler, but soon comes to appreciate the paintings for what they are, and later arranges for the entire room to be airlifted out of the prison into a private museum. For his actions in stopping a prison riot that breaks out during the paintings being revealed, Rosenthaler is released on probation. The second story is Revisions to a Manifesto by Lucinda Krementz (Frances McDormand): The report focuses on a student protest breaking out in the streets of Ennui that soon boils over into the ""Chessboard Revolution"". Despite Krementz's insistence on maintaining ""journalistic integrity"", she has a brief romance with self-styled revolt leader Zeffirelli (Timothée Chalamet), and secretly helps him write his manifesto and adds an appendix. Fellow revolutionary Juliette (Lyna Khoudri) is unimpressed with his manifesto. After they briefly express their disagreement about its contents, Krementz tells the two to ""go make love,"" which they do. A few weeks later, Zeffirelli is killed trying to repair a small radio tower serving as a revolutionary pirate radio station, and soon a photograph of his likeness becomes a symbol of the movement. The third and final story is The Private Dining Room of the Police Commissioner by Roebuck Wright (Jeffrey Wright): During a television interview, Wright recounts the story of his attending a private dinner with The Commissaire of the Ennui police force, prepared by legendary police officer-slash-chef Lieutenant Nescaffier (Steve Park). The dinner is disrupted when the Commissaire's son Gigi (Winsen Ait Hellal) is kidnapped and held for ransom by criminals. After a series of interrogations, the police discover the kidnapper's hideout and stake it out. Following a shootout, Gigi manages to secretly send out a message in Morse code to ""send the cook"". Lt. Nescaffier is sent into the kidnappers' hideout to provide the criminals with good, but secretly laces the food with poison. The criminals all succumb to the poison, along with Lt. Nescaffier after being made to test it first. But one criminal escapes with Gigi and this leads to a police chase. Gigi manages to escape out of the sunroof and jumps into the police car. At the French Dispatch office, Howitzer tells Wright to re-insert a segment he previously removed about a recovering Lt. Nescaffier saying something to Wright about the taste of the poison. In an epilogue, the French Dispatch staff, including Sazerac, copy editor Alumna (Elisabeth Moss), cartoonist Hermes Jones (Jason Schwartzman), the Story Editor (Fisher Stevens), the Proofreader (Anjelica Bette Fellini) and the Legal Advisor (Griffin Dunne), mourn Howitzer's death. After paying their respects, they immediately set to work putting together a final issue to honour his memory. With the voice of Anjelica Huston as The Narrator, also starring, in alphabetical order, Quantum of Solace's Mathieu Amalric as The Commissaire, Bob Balaban as Uncle Nick, Jarvis Cocker as the voice of Tip-Top, Willem Dafoe as Albert 'the Abacus', Bruno Delbonnel as Tip-Top, Rupert Friend as Drill-Sergeant, Alex Lawther as Morisot, Edward Norton as The Chauffeur, Larry Pine as Chief Magistrate, Morgane Polanski (Roman's daughter) as Girlfriend, Tony Revolori as young Moses Rosenthaler, Saoirse Ronan as Junkie / Showgirl, Liev Schreiber as Talk Show Host, Christoph Waltz as Paul Duval, and Henry Winkler as Uncle Joe. The all-star ensemble cast all bring something different to the table, the switching from black-and-white to colour in many scenes is interesting, the scenes of animation and characters freezing in poses are eye-catching, and the perfectly symmetrical imagery and eccentric feel throughout is exactly what I've come to expect, I can see why it is described as ""a love letter to journalists"", a worthwhile comedy-drama. Very good!",The French Dispatch
2,CinemaSerf,Don't try to make much sense of this and it's quite enjoyable...,7,7 November 2021,"I suppose like any newspaper or magazine upon which this compendium effort is based, there are some ""articles"" more interesting than others - and that's what this offers. Three elongated features form the centrepieces of this somewhat surreal comedy. As you might expect from Wes Anderson, these stories are eclectic, and delivered well by a cast that were well up for their tasks. My favourite of the three features Frances McDormand and Timothée Chalamet offering us some sort of Hemmingway-esque parody of revolution fought over a chess board - with quite humorous results. Humour is a strong feature of this film. I would say comedy, not so much. One has to pay attention to what is going on to get the best from the acting, the script and, as importantly, the imagery which effortlessly mixes monochrome and colour, and which is also bright, vivacious, and frequently just as informative as the dialogue. It does run out of steam at times, the themes could have been a little more compact, and the two side-stories - especially the travel report with Owen Wilson at the top of the film didn't work so well for me. I'm not an huge fan of eccentricity - it is all-too-often just hit or miss, but here we have more hits than not, and with a healthy swipe at journalistic values along the way, a bit of romance and some daft antics from a rogue Benicio del Toro, this is certainly worth watching.",The French Dispatch
3,george.schmidt,Masterful filmmaker Wes Anderson's most ambitious production extends his reach in twee-ness in spite of a powerhouse cast,8,29 October 2021,"THE FRENCH DISPATCH (2021) *** BENECIO Del TORO, ADRIEN BRODY, TILDA SWINTON, LEA SEYDOUX, FRANCES McDORMAND, TIMOTHEE CHALAMET, LYNA KHOUDRI, JEFFREY WRIGHT, MATHIEU AMALRIC, STEVE PARK, BILL MURRAY, OWEN WILSON, BOB BALABAN, HENRY WINKLER, LOIS SMITH, CHRISTOPH WALTZ, LIEV SCHREIBER, WILLEM DAFOE, EDWARD NORTON, SAOIRSE RONAN, ELIZABETH MOSS, JASON SCHWARTZMAN, FISHER STEVENS, GRIFFIN DUNNE, (narrator - ANJELICA HUSTON) Masterful filmmaker Wes Anderson's most ambitious production extends his reach in twee-ness in spite of a powerhouse cast of eccentricities in his latest venture about a fictitious American magazine stationed in France with somewhat colorful writers, a dyspeptic publisher, and varying degrees of criminal activity afoot. The rambling screenplay by the director with long-time associates Roman Coppola, Schwartzman & Hugo Guinness often gets in the way of its sprawling cast with some getting short shrift (hello Mr. Waltz & Ms. Moss) with three separate vignettes set up as the The New Yorker-esque story lines unfurl.",The French Dispatch
4,ferguson-6,the most Wes Anderson-y to date,8,28 October 2021,"Greetings again from the darkness. Few things in the cinematic world are more instantly recognizable than a Wes Anderson movie. In fact, historically speaking, perhaps only Jacques Tati comes as close to having a signature style easily spotted by viewers. This is Mr. Anderson's 10th feature film in 25 years, and I now rate 5 of these very highly, though all 10 have a certain appeal. This latest, co-written by Anderson with frequent collaborators Roman Coppola, Hugo Guinness, and Jason Schwartzman, could be considered his most ambitious to date ... and likely the most 'Wes Anderson' of all.Billed as a love letter to journalists, it becomes crystal clear, that by this, Anderson means the esteemed stable of writers from the early days of ""The New Yorker"". In fact, Anderson structures the film as if it were following the path of a magazine being published. We are informed upfront that this edition features ""an obituary, a travel guide, and 3 feature articles"". An episodic format is not unusual for films, yet Anderson never does anything by the book. Each piece takes place in its own time period, and there appears to be little connection or crossover among key characters. Still, somehow he makes this work by ensuring each piece stands on its own and is filled with unusual characters and those patented, fabulous Anderson visuals.The obituary is that of Arthur Howitzer Jr (a deadpan Bill Murray), the founder and publisher of ""The French Dispatch"" magazine, a spin-off from The Liberty Kansas Evening Sun ... a move from a small town in Midwestern United States to a charming small town in France (hilariously and fittingly) named Ennui-sur-Blasé. Howitzer adores his writers, and the only guidance he offers them is, ""Just try to make it sound like you wrote it that way on purpose"". He also has a ""No Crying"" sign posted in his office, likely as much as a reminder to himself as a rule for the staff.Our travel guide section is fortunately quite brief since it involves Owen Wilson as a bicycle tour guide showing us around the town - the ""Local Color""- of Ennui-sur-Blasé. This takes us to the first feature story, and the best of the lot. Tilda Swinton excels (doesn't she always?) as a writer and art expert giving a colorful lecture entitled ""The Concrete Masterpiece"". She tells the story of Moses Rosenthaler (Benecio del Toro), a genius modern artist serving a life sentence for murder, and as she lectures, we see it play out. While incarcerated, Moses continues to work and his muse is a prison guard named Simone, played exceptionally well by Lea Seydoux. Her nude posing for him leads to his signature modern art piece, which attracts the attention of an ambitious art dealer played by Adrien Brody.""Revisions to a Manifesto"" is the next feature, and it involves a young activist named Zeffirelli (Timothee Chalamet). He's a chess expert, quite moody and has a questionable quest. He's being covered by writer Lucinda Krementz (Frances McDormand), who is unable to maintain objectivity, and inserts herself right into the story, amongst other things. The segment pays tribute to the activism of the 1960's and is filmed mostly in black and white.The third feature, ""The Private Dining Room of the Police Commissioner"" involves writer Roebuck Wright (Jeffrey Wright) telling his story while a guest on Liev Schreiber's Talk Show in the 1970's. Roebuck is obviously inspired by James Baldwin, and he famously recalls every line he's ever written. The story he recites involves a legendary chef played by Steve Park.Actors mentioned so far are just the headliners, and Anderson has packed the film with his usual troupe, as well as dozens of others - some you'll recognize, and some you won't. There are at least seven Oscar winners involved: Christoph Waltz, Fisher Stevens, and Angelica Huston (as narrator), in addition to the aforementioned Swinton, McDormand, del Toro, and Brody. Numerous Oscar nominations and awards are included in the group of other familiar faces like Willem Dafoe, Saoirse Ronan, Edward Norton, Lois Smith, Henry Winkler Bob Balaban, Elisabeth Moss, and Mathieu Amalric.Other frequent Anderson collaborators who deliver standout work include Production Designer Adam Stockhausen, Cinematographer Robert Yeoman, Editor Andrew Weisblum, and composer Alexandre Desplat. The film looks and sounds remarkable, and somehow it doesn't feel like it's moving fast - although we can barely keep pace. The film can be compared to ordering a flight at your local distillery. Each flavor is tasty, but they may not add up to a full drink.Wes Anderson has delivered another stylish, fun film to watch, and one that is endlessly entertaining. It may not have as many moments of laughter as some of his previous films, yet there are still plenty of sight gags, insider references, and light-heartedness bathed in nostalgia - even if it's not quite as whimsical. Shot in the French town of Angouleme, the visuals are as impressive as any you'll find, serving up a collage of time, caricatures, color, and topics.Opening nationwide in theaters on October 29, 2021.",The French Dispatch
5,blanbrn,A Wes Anderson movie of stories and characters.,4,4 November 2021,"I watch Wes Anderson movies even though I don't understand or like his movies the best, still as always he fills his films with all star and all pro stars. This ""The French Dispatch"" has Bill Murray, Owen Wilson, Adrian Brody, Willem Dafoe, Tilda Swinton, Frances McDormand, Saoirse Ronan, Benicio Del Toro, Elisabeth Moss, Henry Winkler, Jeffrey Wright, and Christoph Waltz now what a collection. The film is filled with drama, action, and fun, as it involves a prisoner, a hooker, a magazine editor and made up stories it's like a roll coaster ride that involves a car chase and kidnapping. I guess it's a watch if you like movies I got thru it even though it was not my cup of tea.",The French Dispatch
6,UniqueParticle,This movie is art!,10,29 October 2021,"Such a mind blowing fun nourishing entertaining piece of cinema, this truly is Wes Anderson at his best! About at least 4 different stories a prison artist, a writer/chess extraordinaire, a kidnapping, and The French Dispatch columnist. The production design must've been fun to work on there's so much details and pastilles. Definitely deserves praise, from my experience the film is a masterful delight and I was happy I saw with my 60 year old mom. The cast was perfect, pacing was just right, writing is brilliant and the exciting vibes all around were superb.",The French Dispatch
7,stevendbeard,All Star Cast/Off The Wall Stories,4,4 November 2021,"I saw ""The French Dispatch"", starring Bill Murray-Zombieland, Get Smart_2008; Benicio Del Toro-the Sicario movies, Sin City; Frances McDormand-Nomadland, Aeon Flux and Jeffrey Wright-the James Bond movies, Shaft_2000.This is a Wes Anderson movie so if you are not a fan, you may want to steer clear of this one. It has an all star cast in a collection of off the wall stories. Bill plays the editor of an American newspaper that is located in France-their headquarters are in Kansas-and the stories are told to him by his journalists/reporters and published in his newspaper, The French Dispatch. One has Benicio as a psycho/murderer in prison that loves to paint, with people desperately wanting to buy his paintings. Another has Frances covering student uprisings and yet another one has Jeffrey relating a kidnapping of a policeman's son. They all contain cameos by actors you will recognize-Timothee Chalamet, Willem DaFoe, Owen Wilson, Adrien Brody, HenryWinkler, Edward Norton and Elisabeth Moss, just to name a few-but the stories are just so weird, it's as if Wes was just trying to be weird for weird's sake. Examples; The painter is in a straight jacket when he is not painting naked women but the paintings don't look anything like them. The kidnappers have a chef bring them food, during a shootout with the police. Some scenes are animated during a chase scene and returns to normal-if you can call it that-after the chase is over.It's rated ""R"" for language and sexual content-including nudity-and has a running time of 1 hour & 48 minutes.It's not one that I would buy on DVD. I wouldn't rent it either. If you are a fan of Wes Anderson, you might enjoy it more than I did but otherwise, I'd wait until it comes to cable.",The French Dispatch
8,arthur_tafero,Delicious Comedy and Satire - The French Dispatch,8,30 October 2021,"I like Adrian Brody and all the work he has done in the past. But this is his best piece of work since The Pianist. I think he has a great flair for comedy as well as being a fine dramatic actor; and he looks so much like Thomas Tafero. Del Toro is also excellent in one of his rare comedic turns, Swinton is always good, but Brody steals the film. Anderson has created a wonderful world that is both fantasy and realistic at the same time. I loved the pseudo-intellectual pandering and the patrons of the arts who will buy anything as long as you give them a good pitch. It is a film to be seen more than once, because it is highly unlikely you will catch all the satire the first time around.",The French Dispatch
9,aciessi,All The Film That's Fit to Print,6,6 November 2021,"Alert the press! We have another Wes Anderson movie. The French Dispatch is Wes Anderson's long awaited live-action follow-up to The Grand Budapest Hotel, which garnered the best acclaim of his career as his most visually exquisite film to date. Dare I say, The French Dispatch nearly tops The Grand Budapest from aesthetics alone. Visually, this film is a mind-blowing work of art. It's absolutely beautiful, from frame to frame. To take your eyes off of it, for a mere second, is to punish yourself. Every fabric and every set piece is meticulously crafted to an absurd degree. It's enough to say that The French Dispatch won me over in the end. Even though, on substance, I felt it to be hollow and cold. This is arguably Anderson's most insular film. About as Ill-disciplined as The Royal Tennenbaums, but not as excruciatingly ponderous as The Life Aquatic with Steve Zissou. Luckily, Anderson treats us to a series of original vignettes, which spaces things out just enough to keep you from feeling restless. My favorite segment was The Concrete Masterpiece. Adrian Brody had me doubled over, I must admit. The Cycling Reporter was the most useless vignette and arguably should have been cut or re-written. This is a mixed bag and I wish it wasn't. I say, catch this when it arrives on streaming platforms.",The French Dispatch
