,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A beast of a film,8,6 September 2017,"With a cast like Ray Winstone, Ian McShane, Amanda Redman and Ben Kingsley there was the thought that 'Sexy Beast' should be a really good film and couldn't go wrong.'Sexy Beast' lives up to its potential as a really good film, and rarely puts a foot wrong. While it may not quite one's definition of sexy, it is certainly a beast and a fine one at that. This is much more than a ""Ray Winstone gangster film"" as it deceivingly appears on the surface. Instead it is a neat, tense crime thriller that pulls no punches and doesn't hold back, scarily so in fact. While there is a lot to recommend in 'Sexy Beast', it is the performances that carry the film and what makes it as good as it is.Ray Winstone has seldom been more restrained and wisely so, while Ian McShane is creepy in an understated way, Amanda Redman is sensual and fiery and James Fox is solid. Stealing the film is Ben Kingsley who has never been more supremely terrifying than here, making for one of the most unforgettable screen psychos, anybody who knows him best from his gentler roles like Gandhi will still love him in those roles but not see them in the same way again.That the characterisation is meaty, particularly the juicy one for Logan (a dream part for anybody wanting to do something different to usual), and that the material is good helps, but it is more to do with that the cast are strong enough actors to do justice to it.Jonathan Glazer, in his film debut after his background in television adverts, brings slick tension and an audacious visual style to his directing. Visually, 'Sexy Beast' is bold, stylish and colourful, with the idyllic scenery contrasting wonderfully with the tension of the story. The music is suitably pulsating.'Sexy Beast's' script, in a dialogue-driven film, positively blisters and the intense brutality of a lot of it makes the most foul-mouthed Quentin Tarantino films family friendly in comparison. The story, while structurally slight, delivers on the suspense and tension and intrigues, particularly in the riveting confrontational chemistry between Winstone and Kingsley (the former in a way playing second fiddle to the latter).It's not a perfect film by all means. The tension and pacing slackens slightly in the later stages of the film and, although clever and slickly done, the caper subplot gets a little improbable towards being wrapped up.Otherwise, very good. 8/10 Bethany Cox",Sexy Beast
1,Leofwine_draca,Why is that goat staring at me?,7,6 May 2011,"A small-scale heist thriller in which the heist itself comes across as secondary to the film's main interest and rather redundant by the time it happens. The main interest is, of course, a barnstorming performance from Sir Ben Kingsley as one absolutely dangerous, over-the-edge gangster. Kingsley is superb here and makes for one of the funniest, most chilling characters of all time. The dialogue hums and zings while even at the same time the plotting is nothing more than predictable.It's hardly worth bothering with the other characters, although Ray Winstone holds it all together as a likable enough retired gangster type. Ian McShane's around too, but wasted in a minor role and really it's the interaction between Kingsley and the rest of the cast you'll be watching: as outrageous, profane, insane and genuinely funny as any other film I can think of.",Sexy Beast
2,SnoopyStyle,crazy stylish absurdist heist movie,7,11 May 2014,"Gal Dove (Ray Winstone) is living the retired life in Spain with his wife Deedee (Amanda Redman) and their friends when former fellow criminal and abusive sociopath Don Logan (Ben Kingsley) crashes in. He wants Gal to do a bank heist back in London, but Gal resists. There is a big confrontation with Logan and the group. Gal is forced to do the job for Teddy Bass (Ian McShane) as if nothing happened. Teddy got information on the safe from the manager Harry (James Fox) and everybody is on edge.Director Jonathan Glazer has a great absurd style which he uses on idiosyncratic characters. Ben Kingsley's intensity is great. It's too bad that he has to be killed off. I love the fact that everybody is afraid of him before he even arrives. His dialog is absolutely crazy. Ray Winstone went beach bum blonde. The story is a little light in the first half but that has the fun of Ben Kingsley. The second half gets weird with Gal's crazy visions and overall sense of paranoia.",Sexy Beast
3,Prismark10,A house of villains,7,10 October 2014,"Much is talked about Ben Kingsley's casting as thuggish gangster Don Logan that people forget the other actors with roots in crime or gangster films.James Fox played ruthless Chas in Performance, Ian McShane appeared in Villain and Dirty Money and Ray Winstone has been playing villains of some sort since he was teenager such as films like Scum.Winstone plays Gal a retired safe-cracker living out in Spain with his wife and other ex-con friends. However it seems he is being lured out of retirement by Logan which causes fear amongst the group and soon Logan turns up in Spain to personally request that Gal comes to London and he is not a person you say no to. There begins a cat and mouse game and you see that Logan is unhinged switching from being friendly to explosive with sudden surges of violence.Winstone actually plays the nicest guy in the film, he just wants a quiet life with his wife and his pot of stolen loot. Kingsley, that nice Gandhi bloke strips him psychologically with threats, actual and implied, his wife's past as a porn star.The film is strong on language, it does suffer a bit too much with it at times as every other word is peppered with it. There is dark humour although the film does not take the path of comedy cockney villains that some British gangster films like to do. It relies on performances, Winstone underplays enough to let Kingsley shine in his supporting role, a part which took many by surprise because he does not play those roles.",Sexy Beast
4,lee_eisenberg,criminy,4,19 February 2012,"OK, I've liked Ben Kingsley, Ray Winstone and Ian McShane in most of the movies in which I've seen them, but Jonathan Glazer's ""Sexy Beast"" is too weird. There have been so many retired-criminals-go-in-for-one-last-shot movies that they've become a blur. I will admit that ""Sexy Beast"" has some neat scenes -- namely the boulder -- but I didn't like it otherwise. I guess that I'd taken to Guy Ritchie's movies so much that I preferred for crime-themed movies to have a very comedic tone. You might like this movie, especially Kingsley's sociopathic thug (a totally different role from Gandhi), but I didn't find anything appealing about the movie. Could someone please explain what that thing that looked like a monster was supposed to be?",Sexy Beast
5,jboothmillard,Sexy Beast,7,16 March 2008,"I had heard about this film a coupe of times, and seen one or two clips, so I had to at least try it. Obviously I recognised the opening sequence, where a boulder is rolling down the hill, and close to hitting the lead character. Anyway, basically Gary 'Gal' Dove (Ray Winstone) is the retired gangster living a happy life in the beautiful house and surrounding of Spain, with his wife Deedee (Amanda Redman). Soon this peacefulness is to be put on hold by the sudden arrival of respected mob name, and Gal's old ""friend"" Don 'Malky' Logan (Oscar and Golden Globe nominated Sir Ben Kingsley). He wants Gal to join him on a big strike in London with a well picked out gang of respected gangsters. Gal obviously keeps turning him down, and Don gets more and more threatening trying to ""persuade"" him, no isn't the answer he wants. Gal eventually accepts this final mission, but without Don, and in a few flashes back to Spain, you find out why he is trying to cover up the death of Don. Oh, the title by the way relates to some dreams Gal has of a hairy beast in a cave. Also starring Ian McShane as Teddy Bass, Cavan Kendall as Aitch, Julianne White as Jackie and James Fox as Harry. To be honest, Winstone was a bit quiet and not as aggressive or swearing (his use of the ""c"" word usually most common) as usual, the whole reason to see this film in my opinion is Kinglsey. It was nominated the BAFTA for the Alexander Korda Award for Best British Film. Ray Winstone was number 32, and Sir Ben Kingsley number 16 on The 50 Greatest British Actors, the film was number 34 on The 50 Greatest British Films, and it was number 5 on Film 4's 50 Films To See Before You Die. Very good!",Sexy Beast
6,ccthemovieman-1,"Beastly Stuff, And Utterly Fascinatng",10,4 November 2006,"At first, I thought this was just a poor man's ""Snatch,"" with the wild cinematography, dark humor, brutal characters and language....but not as good as that more well-known film. Well, I have really begun to like this film a lot, equally, if not more, than ""Snatch.""The more I see ""Sexy Beast,"" the more fascinating it gets, and it was pretty interesting the first time! And, at less than an hour-and-a-half it's even more watchable. It also is a good idea to play this with the English subtitles on, unless you can understand the strong British accents, and can interpret the slang words.Ben Kingsley, as sociopath ""Don Logan,"" is unbelievably intense and almost has my jaw dropping when watching him in here. ""Intense"" doesn't even begin describing this guy. Ian McShane is another creepy guy in here as ""Teddy."" These two guys make the lead characters, two couples, look normal. Those four are retired crooks and their wives, now living the easy life in Spain. Easy, that is, until Logan arrives and wants one of them for another job. The retiree wants to stay that way but Logan is not a man who takes ""no"" for an answer.This is one movie you will not forget. Warning: it's rough, crude and strange. Expect a lot of ""f"" words and ""c"" words. Also expect an interesting 89 minutes.",Sexy Beast
7,Tweekums,You don't say no to Ben Kingsley,9,1 April 2019,"Gary Dove is a London gangster who has retired to Spain where he lives in a villa with his wife Deedee; he spends his days lying by the pool or hanging out with friends Aitch and Jackie... things couldn't be better. Then one day Don Logan calls; he is a far from retired gangster and he expects Gary to return to London to work on a safety deposit box raid; Don isn't the sort of person to take no for an answer.Too many British gangster films try to make it out to be glamourous with swaggering villains talking in slang that is almost their own language... this is somewhat different and much better. Retired villains Gary and Aitch aren't glamourous; they got enough money to comfortably retire without being stinking rich. Similarly they aren't particularly menacing; unlike Don Logan who is terrifying... a foul mouthed psychopath with a hair-trigger temper. The story plays out nicely; the opening scenes introduce Gary, his wife and their friends as well as providing some good laughs. Don's arrival immediately raises the tension and some time is spent on Gary trying to decline his invitation to do the job. Don's description of how he came to be involved introduces other key players in the planned robbery. As the end approached I genuinely had no idea how things would work out for Gary. The cast does an impressive job; Ray Winstone is on top form as Gary but Ben Kingsley manages to steal every scene he is in; he makes Don one of the scariest villains on screen. The quantity of swearing may be too much for some viewers but if it doesn't bother you and you are looking for a great gangster film I'd heartily recommend this.",Sexy Beast
8,BA_Harrison,Fan-dabby-dozy-tastic.,9,15 December 2012,"Don't do the same as me and mistake this for just another Lock, Stock & Two Smoking Barrels: although the film features exaggerated Cockney characters, sharp dialogue, snappy direction, and the occasional brutal outburst of violence, its unique pace, offbeat style and surreal asides (that rabbit demon is bloody freaky!) make it a far sexier beast than anything Guy Ritchie has to offer.Surprisingly, for much of its running time, the film is an intense character study, one that relies on talk over action; well over half the film passes without a gunshot fired or punch thrown, but it is riveting stuff nonetheless. This is largely thanks to flawless performances by its superb cast (not least from Ben Kingsley as psychopath Don Logan, who steals virtually every scene he is in with his utterly menacing manner and ripe discourse), although the film also benefits immensely from director Jonathan Glazer's bold aesthetic, his imagery as colourful as his characters' language and as striking as Deedee's eyes.",Sexy Beast
9,Quinoa1984,One of the most stylish and yet flawed british crime films I've seen,9,1 July 2001,"Sexy Beast has a paradox about it.  It is often confusing and doesn't make much sense (in parts I mean, the main plot is clear), plus sometimes the dialoge is unclear, and from someone who thinks Trainspotting with dialoge that needs subtitles is a smash, that's a lot to say.Anyway though, the film, does have some really good points to it, including more style than most films you will see this summer.  And, the acting is fantastic with Kinglsey in one of his best and most ferocious roles to date. Plus, this is the only movie I will ever see a under-water bank robbing scene.  B+",Sexy Beast
