,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Beloved children's classic still holds up today,7,24 December 2015,"SHORT CIRCUIT was a childhood favourite of mine back in the 1980s and I'm pleased to see that it still holds up for modern viewers. This is the kind of well-plotted, action-packed family fare that gets by on physical effects and well-filmed action sequences, rather than boring and tired CGI scenes. The choice of making Johnny 5 a physical model was a very good one as you never question the believability for a second. Plus he's one of the most lovable robots ever put on screen, so there's that.Otherwise, the story is fairly typical for an '80s film. There's the 'outsider' heroine, played by Ally Sheedy, who goes on the run from the usual military-type bad guys who take ruthlessness to the extreme. G. W. Bailey plays EXACTLY the same role as his one in POLICE ACADEMY, and Steven Guttenberg is very similar to his part in that film too. Fisher Stevens gives the most memorable and funniest performance as the Indian guy; those who champion political correctness might question the use of 'brown face' but it's hard to dislike his constant malapropisms and his sheer good-naturedness.Otherwise, SHORT CIRCUIT proves to be a rollicking good time for all the family. There are fun references to classic movies, lots of cute animals, chase scenes, explosions, and a wonderful, western-style showdown. No crude or lowbrow humour in sight, but some nice throwaway jokes for adult viewers. Plus there's that ending, which will have any kid crying. The one reason this works though is that Johnny 5 is an extremely endearing protagonist, and would return in the even better sequel, SHORT CIRCUIT 2.",Short Circuit
1,SnoopyStyle,fun charming cute,7,4 January 2015,"In Oregon, Number 5 is one of the experimental military robots build by NOVA Robotics. When it gets hit by lightning, its memory gets erased and becomes self-aware. Newton Crosby (Steve Guttenberg) and his assistant Ben Jabituya (Fisher Stevens) are its creator. It gets accidentally thrown out with the trash and gung-ho security captain Skroeder (G. W. Bailey) is sent to retrieve it. It lands on animal lover Stephanie Speck (Ally Sheedy)'s food truck. At first, she thinks it's an alien and Number 5 wants input. Eventually she contacts NOVA but it fears disassemble because ""Number 5 is alive."" Ally Sheedy is adorable and Steve Guttenberg is adorkable. Sure Ben is a racial stereotype character but Number 5 more than makes up for it by being so much fun. Number 5 is like an adorable baby who grows up with all the pop culture references. It is light charming family fun.",Short Circuit
2,Hitchcoc,Nice Charming Movie,9,4 December 2016,"My family and I love this movie. We've watched it a couple times and are always satisfied with the way it ends. A little robot begins to absorb all kinds of information, based on his ""knowledge"" of popular culture. He goes from a machine to a near sentient being, but because of his ""talents,"" the fascists in the government want to dismantle his robot brain and use him for defense purposes, or at least keep his technology from getting into the wrong hands. This came after ET and we grow to like the little guy. Ally Sheedy and Steve Guttenberg get into the act and have a nice chemistry. Of course, the deck is stacked against the authorities but that's a lot of fun.",Short Circuit
3,Prismark10,Who's Johnny,5,24 September 2016,"John Badham went all hi-tech with his hacker thriller WarGames. In Short Circuit the inspiration is to marry the heartwarming story of ET with robot technology and the story of Robot Number 5, an advanced robot developed for military purposes but gains some kind of artificial intelligence after being struck by lightning and being fried.Number 5 goes on the run from the defence company who want to disassemble him and he ends up befriending naive animal lover Ally Sheedy who protects him but initially thinks he is an alien from outer space.Steve Guttenberg is the creator of the robot program, unhappy about the proposed military uses of his creations. He also goes on the hunt for Number 5 and realises that his robot has developed self awareness and become alive. However the chase led by GW Bailey (Guttenberg's co- star from the Police Academy films) is mainly for comic relief.Short Circuit is a cheesy 1980s film that kids would had enjoyed back then. The robot's image was 'borrowed' by WALL-E and the robotic special effects have been well utilised in this film. Less so is the comedy Indian side kick played by a browned up white actor with a comedy accent. It was inappropriate at the time and frankly highlights the racism of the mainstream film industry that permeated in the 1980s.",Short Circuit
4,mark.waltz,"Way to go, Number Five!",8,23 April 2021,"Next to Mel Blanc as Twiki, Tim Blaney is probably the best robot voice in film history (and maybe the voices of R2-D2 and C3PO as well), and he has a lot more lines than just ""Beedee beedee beedee"". Created by Austin Pendleton's robot factory, he is managed by Steven Gutenberg and Fisher Stevens, yet comes to life by the presence of a strike of lightning. Falling off of a truck, he lands on Ally Sheedy's snack van and proceeds to turn her life upside down. When Sheedy and Guttenberg meet, it's love at first sight in spite of the presence of a nasty ex-boyfriend and Sheedy and Number Five's love of dancing to the Bee Gees.""Hey laser lips! Your mother was a snowblower!"" is just one of the many wisecracks that comes out of Number Five, said to one of the non-lightening struck robots sent out by Pendleton (through the comically nasty G. W. Bailey) to capture him. This is a crowd pleasing hit that actually benefited from product placement, with Number Five watching TV and picking up all sorts of commercial references that are nostalgic to those who were around at the time.Then there's the plethora of voices that come out of Blaney which includes a delightful imitation of John Wayne. Fisher Stevens, a white character doing a comical Indian accent (tracing his ancestry back to Pittsburgh), gets the best lines among the human actors, and plays quite a lovably funny character, sweet and smart and loyal and wonderfully geeky.As for Sheedy and Guttenberg, they have a wonderful chemistry even though they don't meet up until nearly an hour into the film. This has such a sweet aura about it that it's easy to look past the comparisons to other similar films of the time, and even though Number Five is a robot, he's obviously greatly inspired by the success of E. T. four years before this. Cartoon like action and good special effects have kept this as fresh as when it was released 35 years ago, and of course, it warranted a sequel which isn't bad either. Number Five is nearly worth a 10 from me.",Short Circuit
5,kosmasp,Number 5 is alive,9,5 June 2020,"That was the German title. And while it had been a while since I last saw it and I reckon some things did not age that well, this is still a very fun movie to watch. Steve Guttenberg was on top of the world at one point in time. If you don't recognize that name, don't worry. His star did not shine for a long period of time (I have not looked into the why to be honest), but watch Police Academy for further proof of his ... existence.But back to this, with a robot that escapes ""by accident"" (or rather coincidence) from a facility and has to be found. It could have found a better host than the character Ally Sheedy portrays! No detention anymore for her (check her bio for the reference if you didn't get it), but quite a few innuendos overall that may feel weird at time, but I guess were testament of the time.This still is more a kids movie even if it has some jokes that are aimed to get a smile out of adults too. I have to rewatch the sequel too, but for now stick to the original which is really funny",Short Circuit
6,gavin6942,Classic 1980s,7,23 December 2009,"A government robot, designed to kill, is hit by lightning and may now be alive, whatever it means to be alive. A traveling bakery woman and the scientist who created the robot (called Number Five) face off against the government to see that he is not disassembled.Long before Wall-E, there was Johnny Five. With Ally Sheedy, Fisher Stevens and Steve Guttenberg, this is an 80s classic. I miss the Guttenberg, I miss the Sheedy. And Stevens was underrated even in his time, he was an excellent comedian and character actor.I do not wish to really go on and on about this film because everyone has seen it. But the point is this: it's a good family film, with humor and charm and very little offensive in it. No nudity, little violence, and only one really noticeable use of profanity, which is pretty light by today's standards. The sequel is also worth checking out.",Short Circuit
7,lee_eisenberg,feeling is believing,9,5 June 2013,"Now here's something. John Badham* of ""Saturday Night Fever"" and ""WarGames"" fame directs a movie about a robot that gets struck by lightning and becomes sentient. Some scenes are clearly inserted for comic relief, but the movie flows very smoothly. Steve Guttenberg (best known for ""Police Academy"") and Ally Sheedy (best known for ""The Breakfast Club"") both play roles that look like different turns for them. It's just a really fun movie that everyone can enjoy. I sure liked it. A bit like ""E.T."" without copying it too much.PS: ""Weird Al"" Yankovic spoofed the theme song ""Who's Johnny"" as ""Here's Johnny"" (about Ed McMahon, not ""The Shining"").*John Badham's sister Mary played Scout in ""To Kill a Mockingbird"".",Short Circuit
8,jboothmillard,Short Circuit,6,23 February 2009,"I knew it was about a robot with a mind of its own, and I had seen it listed in TV times so much, I had to try it one day, and I'm glad I did, from director John Badham (Saturday Night Fever, WarGames). Basically a group of experimental military robots have been created, and one of them, Number 5, gets a surge of lightning from a strike on a power cable going into his system. He has escaped and is now wanting (that's right, wanting) to learn about the world around him, and that is where vegetarian animal lover Stephanie Speck (The Breakfast Club's Ally Sheedy) comes in. Number 5 wants ""input"", aka information, and he gets all of this from rapidly racing through books and watching TV, until he has become alive. Meanwhile, his creator Newton Crosby (Steve Guttenberg) along with fellow robot expert Ben Jabituya (Fisher Stevens) are looking for Number 5, aka Johnny 5, to see what has happened to him, and they are against the military forces who think it's best to destroy him. Also starring Austin Pendleton as Howard Marner, Police Academy's G.W. Bailey as Skroeder, Brian McNamara as Frank, John Garber as Otis and Tim Blaney as the voice of Number 5. Guttenberg is always good to see on screen, Sheedy makes the most of her fascinated character, and Stevens makes some good giggles with his Apu from The Simpsons impression. The whole family will love the hip robot with its whiny voice, cheekiness, mimicry and gadgets, he is obviously what makes this film such fun to watch. Good!",Short Circuit
9,Woodyanders,Very amusing and entertaining 80's sci-fi comedy,8,30 January 2019,"Experimental military robot Number 5 believes that he's really alive after he gets struck by a bolt of lightning. Number 5 subsequently escapes from the lab and ventures into the outside world to embark on a journey of self-discovery.Director John Badham, working from a clever script by S.S. Wilson and Brent Maddock, keeps the enjoyable story moving along at a snappy pace, maintains an engaging lighthearted tone throughout, and provides a winning surplus of pure sweet heart to go along with all the good-natured humor. Ally Sheedy as flaky nature-loving free spirit Stephanie Speck and Steve Guttenberg as slightly awkward, yet amiable nonconformist inventor Newton Crosby maker for charming and likeable leads; they receive sturdy support from Fisher Stevens as Crosby's bumbling assistant Ben Jabituya, Austin Pendleton as nerdy CEO Howard Marner, G.W. Bailey as ramrod security chief Skroeder, and Brian McNamara as redneck jerk Frank. With his vibrant personality, upbeat mood, boundless curiosity, and infectious sense of childlike wonder, Number 5 is simply a delight to watch as he learns all about the joy of being a living and feeling sentient being. Kudos are also in order for David Shire's sprightly score and Nick McLean's glossy widescreen cinematography. An extremely fun and uplifting treat.",Short Circuit
