,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Frustrates more than it intrigues,4,1 August 2017,"There was a good film somewhere in 'The Circle' that sadly almost never comes out. You couldn't argue with a cast this talented, though there were admittedly reservations about Emma Watson and Ellar Coltrane. And the premise was absolutely fascinating, touching on themes that are relevant today and important.As a film, 'The Circle' is certainly not awful but it is sad that a film with so much potential frustrates more than it intrigues. It is not a complete waste and there are merits. Most of the cast do fare well. The best performance comes from Bill Paxton, moving doesn't describe adequately his heart-breaking turn as Mae's multiple sclerosis-riddled father, a more physical role than verbal in showing the latter stages of MS and it comes over incredibly realistically. Close behind is a sympathetic Glenne Headly, her mother figure full of maternal warmth and sympathetic sincerity. Unfortunately both died not long after, both sudden and both were and still are very sad losses. They were the only characters that one feels anything for throughout.Not to say that they are the only good actors. Despite being underused, with the character not featuring in the film for a quite long stretch, Tom Hanks makes a valiant effort and brings a lot of much needed charisma and energy whenever he appears. Patton Oswalt is similarly good and Karen Gillan is a breath of fresh air in her scenes.Some of 'The Circle' doesn't look too bad, it's nicely shot with some lovely locations, especially in the otherwise fairly repetitive and pointless kay-acking scenes.However, although not a detractor of her work, Emma Watson is woefully miscast, and the come and go accent is the least of the performance's problems. She tries far too hard with some very overwrought dialogue delivery, while seeming stiff and ill at ease in the speeches (a far cry from Hanks' delivery of his introductory scene which had me and my sister glued to the screen and on the edge of our seats), her grief doesn't ring true due to a lack of genuine emotion and she came over as too smug, aloof and self-congratulatory at the end. Despite Watson's miscasting, she fares a little better than Ellar Coltrane, found him uneven in 'Boyhood', here he was terrible in one of the most painfully amateurish performances seen recently as a barely-in-it plot device character. John Boyega has nothing to do other than look moody, a waste of a hugely promising rising star.While there are a few elements of the production values that work, 'The Circle' looks a little too gloomily lit and there is a lack of fluidity in the editing. Don't remember a single note from Danny Elfman's score, which is one of his most generic and eminently forgettable efforts. James Ponsoldt's direction is very slack, which badly affects the never-coming-to-life pacing.Found a lot of the script stilted, over-complicated (with an overload of technical jargon that confuses and alienates the viewer) and self-indulgent. It also tries to touch on the relevant and important theme of the dangers of media, the internet and technology but instead approaches it in a way that talks down to the viewer and uncomfortably condescends. Tonally, it's muddled, trying to be a psychological thriller, drama with a George Orwell and '1984' influence, philosophy and workplace coming-of-age drama, and never really succeeds at any of them.It's just too half-hearted and half-baked in delivery with as aforementioned convoluted and shoe-horned technical jargon. What it tries to say about the theme it addresses is nothing new or enlightening and has the subtlety of a sledgehammer. The philosophical elements are far too simplistic and the workplace/coming-of-age scenes are too few and almost irrelevant.Unfortunately, it fares just as badly in the story. It's often incredibly dull and repetitive with a fairly incoherent beginning before Hanks shows up. The whole totalitarian and evil intentions of the tech company are blatantly obvious too early and beaten around the viewer's heads, their actions (especially the finding people in 20 minutes or less) are highly improbable too. The death scene was poorly edited, cheap, hollow and manipulative and the climax seemed to contradict the film's dangerous and unsubtle messaging. Only the scenes with the parents have any emotion or ring true, wish there was more of them.Overall, a missed opportunity that could have been good if executed right. 4/10 Bethany Cox",The Circle
1,SnoopyStyle,heavy-handed,3,3 September 2017,Mae Holland (Emma Watson) gets a customer service job at the social tech company The Circle with help from childhood friend Annie (Karen Gillan). Her best friend Mercer hates modern social media. Her father (Bill Paxton) struggles with MS and her mother (Glenne Headly) struggles with medical insurance. The Circle is run by the charismatic leader Eamon Bailey (Tom Hanks). Ty Lafitte (John Boyega) is a mysterious non-conformist in the open-interconnected company.This is rather heavy-handed in the subject matter. It's fine to expand on the senator but she's only a way-station. Mae takes a turn that is unfair. There is a climatic incident that is beyond manufactured. It tries to be a big-subject movie but it gets overwhelmed by it. It needs to pick a smaller target to extrapolate on the bigger issue.,The Circle
2,Horst_In_Translation,"Come on guys, it really wasn't that bad",6,14 September 2017,"I must say I am pretty surprised by the bad reception this film received mostly, but first things first. ""The Circle"" is an American English-language film from 2017, so a new release we got here and the writer and director is James Ponsoldt, who has some films in his body of work that are really good like ""Smashed"" one of my very favorite films from 2012. And while this 2-hour film here is not as good, it still made for a pretty decent watch overall. It starts slightly weak, but quickly gets better by the minute. Lead actress is Emma Watson and while she may not be as great of an actress as her looks are, she is still pretty talented. You will see more familiar faces like Tom Hanks of course and also a special mention to Patton Oswalt who may not have a lot to work with here, but definitely made the most of it and created a fairly memorable antagonist with his face expressions and body language. Watson is in almost every scene of the movie and carried it nicely all the time. Are there doubts about the realism of her rise? There certainly are. Her catching the camera early on, her rafting accident becoming so special, her being picked to go under (almost) 24/7 surveillance, her constant running into the creator etc. The way she tricked the bad guys at the end was maybe not too realistic either, but tolerable, reminded me a bit of ""The Wave"". I liked the way how she lured Oswalt's character to the stage, even if it is hard to believe he was in charge of all the light and electricity there etc. Still makes him even more special somehow.Anyway, even if you cannot call it the most realistic film of the year 2017, it is still damn entertaining and also brings a message that is worth sharing. I am not talking about the idea that surveillance is bad. I am talking about the idea that you may want to communicate with other people in person. I liked the scene early on, in which the protagonist says she will text the young male character when to meet again instead of simply deciding right away. The ways in which the parents were included worked nicely as well and gave this film interesting supporting characters too. But while the treatment for them, the comments about avoiding rape and murder and the ways in which criminals can be located quickly may seem like positive aspects to some extent, the film takes sides against the cause of these developments from the very start. The Circle are the bad guys (from the job interview on), Coltrane is the good guy, but Watson's character has a long way to go before she realizes. The more fans and followers she gains, the more her personal relationships turn into a mess. I liked about the film that Watson is never shown as power-hungry or anything, just enjoying the attention, even if the situation spirals out of control more and more, eventually with deadly consequences. And I also liked that the bad guys were not depicted as Nazis or some cult or religious group or anything. It was really all about business, greedy businessmen at the top of it, who don't believe in their project, but believe in the money they make with it.There are a couple other minor struggles I had with the film like that it could have ended with them heading out of the auditorium right away, but I guess they wanted Watson right in the middle of it on her own, so they included a bit of an epilogue eventually. I haven't read the book this one is based on, but judging merely the movie I enjoyed it for the most part. It's no best of the year material and it will probably not get that much awards recognition overall, but that's alright. It's far from the failure some make it out to be. As for people criticizing the age of the creator, look at Zuckerberg when he launched his empire. And it also feels real that the businessmen would take over selling the initially interesting concept with their charisma (Hanks) and turning it into an abomination. Another thing I liked were the chat comments by the viewers that were truly spot-on. On a more negative note, the film is a bit jumpy. We have the election reference, we have all these camera references and then in the end there is something about car safety and there were really no transitions or elaborations on the previous projects anymore. Not a perfect film, but I was still close to giving it an even higher rating than the three stars out of five that I eventually settle with. Definitely recommend the watch.",The Circle
3,claudio_carvalho,A Messy American Black Mirror Ripoff Feature,5,26 August 2017,"""The Circle"" is a confused and shallow film about bad use of technology or a messy American Black Mirror ripoff feature based on the concept of George Orwell ""1984"". Tom Hanks is one of the best American actors; the promising Emma Watson from Harry Potter became also a good actress and is a reality now; Glenne Headly; Bill Paxton; Karen Gillan, among others, have also good performances but are wasted in the mess of ""The Circle"". The story about the danger of lack of privacy in a world permanently monitored and controlled by a powerful corporation is shallow and silly. The theme could have been better explored since we are close of this dangerous situation of living under surveillance of growing number cameras in the great cities under the argument of governments of improving safety and protection of the citizens. My vote is five.Title (Brazil): ""O Círculo"" (""The Circle"")",The Circle
4,nogodnomasters,"People kill to work at ""The Circle.""",7,18 July 2017,"Bonnie (Glenne Headly) helps her friend Mae (Emma Watson) get her dream job at ""The Circle"" an information company which also includes technology ...a combination of Facebook, Google, and Apple. Tom Hanks is its personable creator and boss. Emma submits herself to a social experiment to live an open life wearing a tiny camera.The film examines in an over-the-top manner when Big Brother is a company who claims mankind can achieve best when they share knowledge and have no secrets. The development of the relationship of Mae and Ty (John Boyega) was not well developed. Emma Watson and Tom Hanks brings their 'A"" game, but the script was full of wholes and they couldn't make it real.Guide: 1 F-word that I caught. Old people having sex. no nudity",The Circle
5,kosmasp,Entertained yet?,6,17 September 2017,"Imagine Jim Carrey doing Truman ""willingly""?! Actually you don't really have to imagine that hard. If you think about it, it already started. We are visible almost everywhere. The question is, does someone really want to follow one person around that much? Is one person that interesting? Not to mention the creepiness involved in all that.So everybody can be a ""reality"" Internet star nowadays. And the fact we are accessible and everybody can see us, is a big part of this story. It's also nice to see Bill Paxton in this, stretching his acting muscles in a small role. And while I haven't read the novel (I can only imagine that it is way better), I do think this is doing a decent job overall. Not great, but not bad either (for someone who can't compare it to the source material) ...",The Circle
6,Sleepin_Dragon,Made me raise an eyebrow.,6,11 June 2018,"I got the impression that the team behind it were a fan of Black Mirror, and planned a movie in the style of Charlie Brooker. The idea that technology in the near future can have devastating effects on people, but also make you wonder, what if.The production values are good, it's a fairly slick looking movie, performances are pretty good, Watson, Hanks and Gillen allbpretya good. It's somewhat forgettable, but it's certainly a film that makes you wonder if the way our society is going will lead to privacy being lost, and invasion getting out of hand.It's not a wow by any stretch of the imagination, but it's worth a look. 6/10",The Circle
7,lee_eisenberg,don't trust the powerful,5,4 December 2019,"Every story of a tech company misusing people's personal information makes ""The Circle"" look all the more realistic. It's not a great movie, but still a warning about all that stuff. The fictional company in the movie comes across as positively cult-like.",The Circle
8,Quinoa1984,only people with a lot of talent could pull off something so misguided,4,28 April 2017,"I think I can see why James Ponsoldt, who previously took on and made excellent films out of young-troubled love (The Spectacular Now) and what it means to meet a mind that is brilliant and unusual (The End of the Tour, one of those dramatic films that can still be underrated on a top ten list), wanted to take on the material from Dave Eggers book. I haven't read it, but one can tell this is a story filled with a megaton of ideas and ambition. If anything I think it's the latter part, the ambition of this quasi-present-day dystopian world where this one big company that works a little wee bit like a cult (but like a Shinny Happy People Cult(TM) that people can sink their teeth into, lacking the cynicism and nastiness one usually or should sees on social media), where a character enters in and becomes immersed and loves it, only to find out all is not what it seems.Sadly, it's a mess. But I don't think it could've been made if Ponsoldt didn't have the talent of a) seeing how to cast (mostly) the right actors, and b) there's flashes of brilliance here. I think early on I was a little worried that perhaps he had gone too... not challenging enough as a director, from the music score (which is atypical techno garbage that's too emphatic throughout) to camera moves and cutting. But there's a moment where Emma Watson's Mae is at her desk at The Circle, where she's a customer service person of some sort, and these two Very Shiny Happy Employees come over and ask her in a nice yet surely pushy way why she hasn't updated her social media account or checked her emails and gone to events, which, as they say, are ""totally not mandatory, optional, y'know"" etc. It's an extremely funny scene and one that is painfully awkward, because it feels like something that would happen there, and at the same time it gives us a window into what the personalities are like there. I wish there was more of this kind of scene in the movie, but there isn't.There's so much potential with the ingredients here; we're in a world where screenings of 1984 were sold out across the country in one-night limited release this past month, and there's even a mention (ironic coming from Patton Oswalt's character, who seems like a ""Bad Cop"" version of Hanks's ""Good Cop"" head of the company) of claiming the US government is talking in ""double-speak"" when it comes to going after the Circle for anti-trust violations). And though I wasn't sure while watching it, I can say after sitting here writing this review that Watson is fine as this lead character. Does she become a bit over-zealous as she leap-frogs from customer service rep to a quasi-social media guru at this company (after she does an odd 'I need to break free' moment in the middle of the night where she goes... kayaking)? Sure. She's not exactly likable, but that could be interesting.Again, there's a lot to explore with people, large groups of them, and we see it today on Instagram and Facebook and elsewhere - ever see those ""stories"" people make, it's not unlike the ""Transparent"" state Mae tries out as she documents every moment of her life to, somehow, millions watching all over the world (how exactly she is so interesting, aside from working at the Circle, for this to happen, I'm not so sure) - and I was half or more expecting this all to lead to some sinister revelations that Hanks/Oswalts characters are hiding. Nope. The giant f***-up that leads to what we call the ""2nd turning point"" in screen writing comes through something involving Mae's friend Mercer (Coltrane, the painful sore thumb of this cast, not being able to sell any of his brief moments on screen) and the ENTIRE world it seems like. And even that makes so little sense.Matter of fact, a lot doesn't make sense in The Circle (i.e. ANYTHING to do with politics). I have to wonder if this was Ponsoldt not knowing how to consolidate Eggers material with the writers, or if the movie was taken out of his hands and if chunks of the narrative are missing to make an under-2-hour run-time. But most especially an egregiously, the third act, following the turning point with Mercer, is so rushed and ham-fisted and... did I mention DUMB as to ruin a lot of good-will I was building up to the movie.There's so much I want to like here, and a lot of scenes fly as far as making some satirical points about the hive-minded nature of the world we're living in which seems to me on-line where everyone is not only fine with giving up something of themselves, but that we enjoy watching ordinary people's travails (depending), not to mention the 'Cloud' aspect that the Circle props up. But it needed to pick a side: is it going to be a dark comic satire, or is it going to be a tech-thriller? It tries to mesh the two together, with a game cast and a lead who begs our sympathy, and it turns out to be a jumble.Lastly... RIP Bill Paxton. A shame this is the movie, let alone with Hanks again as a near-villain, is the one to close out a career on.",The Circle
9,tavm,The Circle was okay for what it was trying to showcase concerning subject matter,5,3 May 2017,"So this is one of those dramas in which privacy is slowly invaded and someone resolves to do something about it. I'm guessing there are shades of 1984 though I've yet to read the book or watch any filmed versions of that one. Performances of Tom Hanks, Patton Oswalt, Glenne Headly, the late Bill Paxton, and Emma Watson as the protagonist were okay for what they were. I don't think I felt too much conflict while watching so that may have been a factor in my partially feeling sleepy while watching. I don't know, it probably could have been more exciting. Still, I consider The Circle worth a look, at the least.",The Circle
