,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"If you are looking for FUN, then keep looking!",7,31 May 2012,"""Midnight Cowboy"" is not the sort of film I'd usually watch. I generally avoid films like this and is the first X-rated film I have seen. However, because it won the Oscar for Best Picture and is considered a classic, I decided to give it a try. For others out there who are also hesitant to watch, understand that the film today would receive an R rating, as there really isn't much nudity in the film at all. However, since the film is about a male prostitute, it still isn't what you'd call 'family friendly'! The film begins with Joe Buck (Jon Voight) leaving his home in Texas. He's headed to New York to make his fortune as a male prostitute. Considering he isn't gay and isn't willing to sleep with guys, that makes his prospects REAL slim. On top of that, he's as dumb as a tomato and walks about town in cowboy gear--hardly the look that will drive women wild (he actually looks a bit like the cowboy from The Village People minus the mustache). Not surprisingly, he goes broke very quickly--partly because no women want to pay him and partly because people keep cheating him because he's so naive. He eventually meets up with a low-life named 'Ratso' Rizzo and the two of them BARELY scrape by--stealing, scamming and living in a condemned building. The film explores themes of fears of homosexuality and rape. It's all very sad and pathetic and isn't at all the sort of film to lift your spirits--particularly the awfully dark ending.So did I enjoy watching the film? No. It's not the sort of film anyone could actually enjoy. It's more a film that is a joint character study--an unpleasant but oddly fascinating one. It's well made but not a film I could heartily recommend--you have to be the sort of person that would enjoy or at least appreciate the film.By the way, you might already have noticed that the Muppet character, Rizzo (the rat), is a play on Hoffman's character from this film. Thank goodness they are alike in name only!",Midnight Cowboy
1,TheLittleSongbird,"Dark, quite poignant and captivating",10,14 April 2011,"This movie is a very fine film with a lot of merits. The film does look great, with beautiful scenery and crisp cinematography and the lighting is very atmospheric and always fits perfectly with every scene. The music is wonderful, with the highlight being the excellent Everybody's Talking', the story is very strong focusing on the friendship of the two main characters and well-paced and the dialogue is thought-provoking and poignant. The direction is top notch using every trick in the book and wonderfully and the characters constantly captivate. And this is helped by the magnificent playing of Jon Voight and Dustin Hoffmann, especially Hoffmann who I personally think should have got the Best Actor Oscar that year. Overall, a truly fine film. 10/10 Bethany Cox",Midnight Cowboy
2,bkoganbing,"""Only The Echoes Of My Mind""",9,22 February 2009,"Midnight Cowboy has the dubious distinction of being the first and only X-rated film ever to win the Best Picture Oscar. Then the rules got changed and mere subject matter alone could not qualify a film for an X-rating. Today the sexual subject matter of this film wouldn't get a passing wink, male prostitution's been done quite a bit on the big and small screen.Through a series of flashbacks we see what's created the character of Joe Buck that Jon Voight plays, living with a rather loose aunt played by Ruth White and finding his true love in Jennifer Salt to be not so true. Women are just sex objects to him, but when he decides to make use of his lovemaking talents in the biggest market of all, New York City, it's Voight who turns out to be the naive one.Although street character Dustin Hoffman is among many who clip this Texan, later on Hoffman and Voight form an unusual bond. Hoffman's Ratso Rizzo is one veteran of the mean streets of New York, in fact he's lived in them for too long. When Voight and Hoffman meet, they don't know it, but Hoffman's health is beyond repair.The pitiable Rizzo and the naive country boy Buck form one of the most unusual male bonding attachments ever brought to the screen. Rizzo is latently gay, but what upbringing he's had has told him that was wrong to have these feelings. Rizzo constantly uses the ""F"" word and rejects any companionship even when it's offered at that Sixties free love party with all kinds of substance aids.As for Buck, he's gay when he's got to be though he hates it because of his upbringing. Note the scene with Bob Balaban making his screen debut in the movie theater when Buck needs money. And later on he robs Barnard Hughes who plays another self-loathing gay man. Hughes is quite good in the role, he could have been a US Senator he was that good.Midnight Cowboy won Oscars for Best Picture, Best Director for John Schlesinger, and Best Adapted Screenplay for Waldo Salt. That last one must have been especially sweet for the formerly blacklisted Salt. John Voight and Dustin Hoffman were nominated for Best Actor, but with the competition being the man who put more people in movie seats than anyone else in history John Wayne, these two newbies didn't stand a chance that year. They both got Oscars eventually, but poor Richard Burton who was also up for Anne Of A Thousand Days never got the gold as did Peter O'Toole who was nominated for Goodbye Mr. Chips.Sylvia Miles was up for Best Supporting Actress as the upper East Side grande dame who polishes off a quickie with Voight and turns the tables on him in the money department. It was Voight's introduction to New York and the scene is just brilliant. It was Miles's career role as an actress although she lost to Goldie Hawn for Cactus Flower. It's the highlight of Midnight Cowboy for me.Midnight Cowboy coming out as it did in 1969 reflects its times quite accurately. It was the end of the Sixties and the Hippie generation, at the same time it was made just as people were rioting in the streets of Greenwich Village for their rights as GLBT Americans. People like Bob Balaban and Barnard Hughes's characters would no longer be the stereotypical self loathing gay men. Midnight Cowboy maybe even more than Boys In The Band is a glimpse of where we've come from.It's not a pretty place, nor is Midnight Cowboy a pretty picture. But Jon Voight, that was indeed one beautiful cowboy.",Midnight Cowboy
3,Leofwine_draca,"Affecting, with a stand-out turn",7,26 November 2019,"MIDNIGHT COWBOY is an interesting, unique, Oscar-winning drama from 1969 that provides an acting showcase for the two leads. It tends to be much better directed than it is written, and there are still murky, strange aspects that don't make a whole lot of sense, the main character's back story for example. However, as a story of social isolation and living on the breadline in a cold-hearted city like New York, this is very nearly up there with the likes of TAXI DRIVER. Jon Voight is fine and convincing as the somewhat naive lead, but the real stand-out is Dustin Hoffman, going fully character in his acting; he should have got the Oscar for this exemplary, scene-stealing supporting turn. As for the social milieu, it reminded me a lot of Steinbeck's work, and is just as affecting.",Midnight Cowboy
4,SnoopyStyle,"Hey, I'm Walking Here!!",9,11 July 2015,"Texan Joe Buck (Jon Voight) quits his dish washing job and heading out east to be a gigolo in NYC. He sees himself as a real ladies man but he's actually quite naive in the big city. He's so naive that he loses money after sleeping with a rich lady. He meets real hustler limping Ratso Rizzo (Dustin Hoffman) who cons him out of more money. He's so broke that he does gay sex which he again gets nothing for. He runs into Rizzo and they form an odd friendship. Buck is haunted by his past while Rizzo dreams of living in Florida.Jon Voight is great and Dustin Hoffman makes one of the greatest character of all cinema. They form an iconic movie team. It's down and dirty. It's also a bit of fun. There's a good sense of decay in New York. The song ""Everybody's Talking'"" is immediately identifiable to this movie. It's also got one of the most heart breaking final scenes. It is an important American film.",Midnight Cowboy
5,Hitchcoc,Everybody Was Talking,7,6 April 2006,"I appreciated the emotional attachment between the two characters. I thought this was Hoffman's consummate performance. Of course, he had the advantage of getting a really bizarre and complex figure to play. He rants, crossing the streets of New York, looking for coins in a pay phone. He exists. That's about it. One the other hand, we have John Voight who could have stayed behind in Texas, but he's too thick to understand what he's getting into. Everyone considers him a stud, but he just blends right in with every other messed up male prostitute in the city. What they do is the issue. If this had a real well developed plot, it would have been a great movie. The actors work with subtlety, mostly as their friendship continues. It's a love story. But it's a bit barren and sick. I remember that it was rated X when it first came out. It shows how far we've come in our ratings (not all that great in my mind), but this is barely an R rated movie these days. If you want to see actors act and sparks fly, this is your movie. As an overall story beyond that, we really don't have the characters going anywhere with anything. I suspect that the sixties made this movie, the wacko times and the tension. The New York world was so full of itself and Joe Buck was able to infiltrate a bit. But, somehow it left me empty.",Midnight Cowboy
6,mark.waltz,"Voight and Hoffman update the Hope & Crosby movies on their ""Road to Ruin"".",10,5 November 2012,"In 1969 Everybody Was Talking' about this X rated movie which won the Oscar for Best Picture. Having risen to stardom with his role in the ground-breaking ""The Graduate"", Dustin Hoffman followed that up with a character role (a modern day Peter Lorre) opposite Jon Voight being as far a cowboy from John Wayne or Roy Rogers as possible. For Wayne and Rogers, a stud was either something on their boots or a type of horse. But for Voight, it is something else, and he is heading as far away from Texas to be one as he can. So where does he end up? In the Big Apple, where he learns that a midnight cowboy can only work one place-the Port Authority area of Times Square, and it isn't the wealthy society matrons of Park Avenue who are interested in him.In ""Boys in the Band"", a New York City hustler is hired by one of the party guests as a present for the birthday boy, wanting to present this lovably dumb working boy to the guest of honor as his ""Midnight Cowboy"". In ""Midnight Cowboy"", Hoffman humiliates Voight by revealing to him that the cowboy look only works with ""every Jackie on 42nd Street"", calling Voight's appearance ""strictly for fags"". Rizzo isn't being homophobic in this Stonewall era drama; He is just calling it as he sees it. And in spite of everything else, Voight can't help but admire Hoffman for his honesty. An endearing friendship is formulated which is almost a romance in itself.The fascinating Sylvia Miles is unforgettable as the Park Avenue matron who utilizes Voight's services with hysterical results. For her less than ten minutes on screen, Miles was deservedly nominated for an Oscar. Brenda Vaccaro has a memorable brief role as a guest at a party who sets Voight up for other possible paid flings. But the twist that results from this shows where the priorities really end up falling. And when Hoffman and Voight finally do end up on ""the road"", this leads to a sad final where even a street creature like Rizzo is revealed to be a human being. Times Square in this era (and way beyond) was somewhat frightening, and many people despise the way it has been ""Disney-fied"" since then. With ""Hair"" on Broadway at the time, ""Midnight Cowboy"" in the theaters, and the news reports of crime and vice over the airwaves, Manhattan wasn't the family friendly place it is now. Like other legends that have come and gone, it is nice to go back and see the grit that was and regret the middle ground it might have transitioned to.",Midnight Cowboy
7,claudio_carvalho,Depressing Tale of Friendship and Shattered Dreams,8,28 January 2015,"The naive Joe Buck (Jon Voight) quits his job of dishwasher and travels from a small town in Texas to New York expecting to make money as a hustler. On the arrival, he is lured by the crippled crook Enrico Salvatore ""Ratso"" Rizzo (Dustin Hoffman) that takes some money from him. Soon Joe is broken and homeless without any client or money, and he meets Ratso again on the streets that invites him to move to his apartment in a derelict building. Ratso has a strange cough and his health gets worse. He dreams on moving to Florida where he believes he will be healthy again. Joe and Ratso develop a friendship and Joe decides to go with his friend to Florida as soon as he gets the necessary money. ""Midnight Cowboy"" is a depressing tale of friendship and shattered dreams of losers. In flashbacks, the viewer sees that Joe is raised by his grandmother that neglects him and is raped with his girlfriend, who was actually a slut, by a gang when he is a teenager. Further, his grandmother's boyfriends are cowboys and he has very limited education. Therefore he has a wrong concept of women and love, and believes that he will be a sensation with mature women in New York. Ratso is the son of an Italian immigrant that works as a shoe-shiner and has had problems with his lungs for a long time. These two needy characters team-up to survive on the streets of New York and become better persons through their friendship. John Schlesinger has made a stunning classic that has not aged with an unpleasant story using magnificent screenplay and outstanding cast led by Dustin Hoffman and Jon Voight. My vote is eight.Title (Brazil): ""Perdidos na Noite"" (""Lost in the Night"")",Midnight Cowboy
8,kosmasp,The boy in the man,9,24 April 2021,"First things first as I do when I am aware of these things: I have not read the novel this is based on. In other words do not expect me to tell you how close it is to the source material or what may be different in the movie. That out of the way I can tell you that I really dig the main theme song (which some may know, very well known and quite the coup to get it for the movie too) and I really dig the actors in this one too.The story this tells is a story of someone still being in his shell ... some may even say still being a boy in a sense. He is very gullible for sure. Even though or maybe because of his past ... one incident can make you lose faith (no pun intended) or just go crazy in a way - or just withdraw and make you choose a life that maybe isn*t necessarily for you.It took me long enough to watch this - a movie that is considered rightfully a classic. It is a testament of the time it was made - and that is not meant in a bad way at all.",Midnight Cowboy
9,classicsoncall,"""You're gonna be the best lookin' cowboy in the whole parade"".",10,9 April 2011,"Good old boy Joe Buck (Jon Voight) and street con Ratso Rizzo (Dustin Hoffman) form an unlikely alliance in this Oscar winning hit from director John Schlesinger. It's not what one would consider a buddy movie, far from it, but over the course of the picture, Voight's character comes to realize and understand that if not for Rizzo, he wouldn't have a friend in the world. At times touching, at other times comical, one gets an insider's view of the seedy, sordid life of an outcast in the big city, and how a naive young newcomer can be taken in and taken out by hustlers far more experienced than themselves.Now even though Voight's performance is good, maybe even great, it's Dustin Hoffman who commands every scene he's in. I especially enjoyed the taxi-cab scene, in which Rizzo ad-libs his reaction after nearly being hit by a driver that disregarded the barriers put up to restrict traffic on the street for filming. Instead of losing their composure, both actors just went with it, making the scene a classic (and more than believable I might add).Interestingly, the picture holds up well today, even though other reviewers on this board feel it has a dated quality. I'll go with that if you're considering the coked out psychedelic party the duo wound up at, along with the inconceivable notion that you can get by in New York on ten or twenty dollars at a time. The film's brilliance lies in showing how two entirely disparate and flawed characters can find and relate to each other in a maelstrom of depravity, defying the odds to trust and rely on each other, and ultimately to become friends.",Midnight Cowboy
