,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A few good performances and some nice visuals save a rather average film.,5,11 June 2009,"I will say I liked most of the performances and what we are given is a lovely looking film with a superb idea for a fantasy. However, on screen, it doesn't quite gel, as in terms of plotting and dialogue, the film is merely average. Anne Hathaway is naturally lovely as Ella, a girl who is given the gift of obedience at birth, and Eric Idle is good as the narrator. Joanna Lumley has fun as a rather pantomime character, loosely based on the wicked stepmother from Cinderella. The film does have some lovely costumes and sets, and it does have a sense of fun, especially at the beginning. I also liked the the character of Prince Char. However, the film does suffer from some superficial scripting, that lacks the irreverence and wit of a fantasy such as Enchanted. The story starts off very well, but then turns into a series of underdeveloped vignettes and nods to other fairy tales, including the over-familiar brother- kills- brother- and-nephew scenario inspired by Hamlet. I liked Cary Elwes in Princess Bride, the Jungle Book(live action) and Cat Returns but I will confess I didn't very much here as Edgar. He just seemed over the top, and the lack of any malevolence from him or that unconvincing CGI snake made them rather forgettable villains. Minnie Driver is a lovely actress, but I didn't like her accent very much, she has a perfectly lovely voice, why decide to do an accent that doesn't suit her? I also didn't like the soundtrack very much, I liked the fact that Hathaway did some singing, but the song seemed out of place in this sort of film. The ending was a bit of a letdown, because the idea of making the entire cast doing a song and dance number, all seemed rather pantomime to me. Overall not a terrible film, but not a great one either, merely average. 5/10 Bethany Cox.",Ella Enchanted
1,bkoganbing,Char And Ella,7,11 February 2010,"Before Anne Hathaway became an obedient slave to Meryl Streep in The Devil Wears Prada she was under an obedience spell in Ella Enchanted, courtesy of her hip fairy godmother Vivica Fox. Though I'm not sure why this is such a good thing for anyone, it does provide some of the plot basis for this updated pop version of Cinderella.Anne Hathaway as the dolefully obedient Ella is wonderful in the part, even getting five finger discounts at the village medieval mall because her stepsisters tell her to. A chance encounter with Hugh Dancy as Prince Charming intrigues Dancy because he's treated as a fairyland rock star with any number of willing groupies including the stepsisters longing to become queen.But if evil Uncle Cary Elwes has anything to say about, that ain't about to happen. He's gotten real rich and sassy off the onerous taxes the people have to pay and using the forest ogres as scapegoats.Over 50 years earlier Disney Studios did the famous cartoon version of Cinderella with such lasting hits as Bibidi Bobidi Boo and A Dream Is A Wish Your Heart Makes. I don't think any of the songs will gain the lasting fame those two did, but they're easy to take move the plot along where needed.Cinderella for the 21st century, just what this old world needs.",Ella Enchanted
2,SnoopyStyle,Curse too broad and unreasonable to escape notice,6,28 September 2013,"Baby Ella (Anne Hathaway) was given a 'gift of obedience' by Lucinda the fairy (Vivica A. Fox). It is more of a curse which the unreasonable fairy refuses to undo. She must do everything she's told to do. It's really unreasonable that nobody notices this curse. Are the townfolks really stupid? When her stepsister (Lucy Punch) notices the curse, Ella has no choice but to leave and try to undo the curse. In the meanwhile, Prince Charmont (Hugh Dancy) has fallen for her.Anne Hathaway is cute and lovely. She and Hugh Dancy make a cute pair. But every time somebody does the curse and can't figure it out, it gets really annoying.",Ella Enchanted
3,Prismark10,Not too enchanting,1,11 April 2015,"Ella Enchanted is based on book, I understand that the filmmakers have taken some liberties with the adaptation and in this case there are six writers credited in this adaptation which rather tells it own story.Ella Enchanted was given the gift of obedience by an obnoxious fairy which causes her problems as she has to literally obey all commands a problem when her stepsisters move in with her As you can gather the film is also a reworking of the Cinderella story made more hip.The casting of Cary Elwes as the villainous uncle of Prince Charming is there to remind you of the far superior The Princess Bride as this film is appalling. It wants to attract the Shrek type of knowing satire but the film is so awkward with some bad special effects such as the CGI snake.Every time the step sisters commanded Ella I cringed. I kept thinking what will happen when men try to command Ella at some point of the movie and what they might get up to. After all this is supposedly a family film.Awful in so many levels (why does Ella's father just disappear from the movie and also not told of her gift) and badly misconceived. The songs were nice though with a cheesy musical finish (borrowed from the Shrek films.)",Ella Enchanted
4,lee_eisenberg,this is gonna take some explaining,6,2 November 2013,"""Ella Enchanted"" is usually the sort of movie that I would heckle, but Anne Hathaway is not someone whom I heckle. It's true that she started out in roles like ""The Princess Diaries"", but her later turns in ""Brokeback Mountain"", ""The Devil Wears Prada"" and ""Rachel Getting Married"" showed her to be more than just another pretty face, although I do find her quite attractive. Watching the movie, I assumed that the kingdom under its current governance was an allegory for racism: the giants, elves and ogres are only allowed to do certain things, with all prestigious careers reserved for humans. One could argue that using a fairy tale setting to address racism is inappropriate given what racism can lead to (i.e., genocide), but what are ya gonna do? I read that the movie took some liberties with the novel on which it's based. I of course had no idea that it's based on a novel and will most likely never read the novel, so I only have the movie to go on. I actually didn't find it to be a bad movie, mainly since it pokes fun at the fairy tale genre by incorporating modern things (escalators and even a Ray Charles song). Worth seeing.",Ella Enchanted
5,jboothmillard,Ella Enchanted,5,30 January 2008,"I have seen quite a few new plays and mocks on the old fairy tales, including Shrek, and this I suppose could be another one. Basically Ella of Frell (Anne Hathaway) was born with a special gift given to her by fairy Lucinda Perryweather (Indepedence Day and Kill Bill's Vivica A. Fox), the gift of obedience. Her gift to her is obviously a cruse, to everyone who knows her it is really weird (the don't know), but anyway, Ella has to do absolutely everything anyone says, intentional or suggestive orders, even the ridiculous and odd. She is sick of this curse, and knowing she is in love with Prince Charmont (Hugh Dancy), she wants to rid herself of her curse by going to Lucinda. In the end though, after Lucinda refuses to take her gist back, and with order from villain Sir Edgar (Cary Elwes) to kill Charmont at midnight, she looks in the mirror and orders herself not to obey ever again. Charmont does dismiss her for a while because he saw the dagger, but there is a happy ending and wedding. Also starring Aidan McArdle as Slannen of Pim, Joanna Lumley as Dame Olga, Minnie Driver as Mandy, Jimi Mistry as Benny, Eric Idle as The Narrator, Patrick Bergin as Sir Peter, Bend It Like Beckham's Parminder Nagra as Areida, Lucy Punch as Hattie, Jennifer Higham as Olive, Steve Coogan as Heston the Snake, Jim Carter as Nish the Ogre and Heidi Klum as Brumhilda. Hathaway is pretty fit, the well-known faces add some interest, and there are a few good gags with the obedience thing, a pretty okay family film. Worth watching!",Ella Enchanted
6,sunwarrior13,Anne Hathaway Shines As Ella,8,9 October 2012,"Ella Enchanted is a romantic-comedy film that stars Anne Hathaway as Ella and Hugh Dancy as Prince Charmont together with Cary Elwes, Steve Coogan,Aidan McArdle,Minnie Driver and Vivica A. Fox. It plays with the usual fairy tale genre.It was directed by Tommy O'Haver.Adapted from author Gail Carson Levine's award-winning children's book of the same title,this modern fantasy Ella Enchanted is about Ella,who is given the gift of obedience and which also happens a curse. Under no circumstances can Ella refuse anything she is asked to do. Tired of being taken advantage of, Ella leaves home to find her Fairy Godmother and return her unwanted gift. This simple errand soon turns into an amazing journey.Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey she hopes will end with the lifting of the curse in question. The path, however, isn't easy -- Ella must outwit a slew of unpleasant magical creatures ranging from ogres to talking books with evil plots. Though perilous, Ella's adventures turn out to be necessary obstacles in the path toward finding herself, and maybe even true love along the way.In its innocence, sweet heart and abundant wit, it has more going for it, by my accounting, than a dozen more expensive-looking films.Also,Anne Hathaway is a charming performer with a bracing freshness about her that carries the film as she establishes credible chemistry with Brit actor,Hugh Dancy.Overall,it is an endearing, enduring, and fun fantasy film.",Ella Enchanted
7,neil-476,Book? What book?,8,13 January 2008,"I'm sorry for those who felt that this film spoilt their enjoyment of the book - I'm all too familiar with the phenomenon from other films (The Shining looms particularly large in this department).But I wasn't aware that there was a book, and I loved this film.It was funny, charming, and had heart. All the cast were excellent, pretty nearly all the gags worked, the visuals worked, and the story - even if it was different to the book - worked too.Plus I thoroughly enjoyed the musical numbers, too.Recommended for those who like a light touch to their fantasy (and who haven't read the book).",Ella Enchanted
8,anaconda-40658,Hathaway Enchanted.,6,2 June 2015,"Ella Enchanted (2004): Dir: Tommy O'Haver / Cast: Anne Hathaway, Hugh Dancy, Cary Elwes, Vivica A. Fox, Minnie Driver: Magical family adventure about individuality set in the fairy tale setting of castles, elves, ogres, giants, and fairies. Ella is born and given the gift of obedient by a wayward fairy. After her mother passes she is informed of her gift but suddenly her father is set to remarry a selfish woman with two nasty daughters who learn of her gift. She is cursed to do everything she is told lest she can find the fairy godmother who distributed the gift. Along the way she is assisted by a Prince who doesn't realize the scheme set by his uncle the King. Imaginative plotting that goes astray in its concluding action. Inventive work by director Tommy O'Haver with a hilarious performance by Anne Hathaway as Ella. She must master her gift particularly when others attempt to use it for tragedy but her breaking of the curse is clever. Hugh Dancy as the good Prince is standard issue. He falls in love with her and is nearly assassinated. Cary Elwes plays the sadistic King in the film's second standard role. Vivica A. Fox excels in the limited role of fairy godmother who reverses gifts. Minnie Driver is limited as a house fairy who was kind to Ella. Elements of Shrek combine with moderation prove effective. Wondrous visual effects render this film truly enchanting. Score: 6 / 10",Ella Enchanted
9,Smells_Like_Cheese,A lot of fun!,7,20 November 2007,"I think Ella Enchanted has to be one of my new favorite guilty pleasure's. I knew that this film wasn't all that, but for some reason, I really enjoyed this film. I think I just needed a fun clean comedy to just smile with. As cheesy as it was, this was just such a fun comedy to watch. It put a new twist on the fairy tale classics without over doing it. For the most party when they do the new songs, or things that are supposed to only work in today's ages, when they put it into movies that are supposed to take place in the medieval times, it doesn't work, but Ella Enchanted made it fun for the kids and the adults as well. Anne Hathaway is such a beauty and has such a presence on the silver screen, she as a perfect choice as Ella. She and the whole cast looked like they had the ultimate blast creating this movie.Ella from Frella is a young peasant girl who has a horrible curse on her, she has to do everything that is told of her, no exceptions, no objections, she has to do it. To make matters worse, her step sisters have found out about this curse and are taking horrible advantage of it. But when she meets the kingdom's heart throb, Prince Char, she tells him of how he can make the kingdom a more wonderful place and what to do as king, he's fascinated with her and they fall in love. But the king in place, Sir Edgar, will make sure that Ella will not have a word in what Char does, but also make sure that Char does not have a word in as well.Ella Enchanted is a wonderful film, I thought it was all in good fun and is enjoyable for the whole family. I especially loved Sir Edgar's demise, it was so simple, but so funny. I know I just might be a little easily amused, but sometimes you need to be to enjoy a movie. Ella Enchanted is a well made film and has a real fun story to it. Plus it just looks like everyone enjoyed making it, which adds a little more excitement to the film. I would highly recommend Ella Enchanted if you are looking for a few laughs, it's a cute story with a fun fairy tale twist.7/10",Ella Enchanted
