,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Brandon Flips Them The Bird,7,31 May 2009,"It's said that The Crow of all birds is the one charged with the special mission of bringing souls to heaven once they've departed this mortal coil. But when one soul leaves behind some business that really needs finishing The Crow can bring you back. Such is the premise of the film The Crow where Brandon Lee is brought back to the mortal coil on a vengeance quest.It's a simple plot not exactly anything original from many other vengeance films with a supernatural twist. The main problem with The Crow is that if you're not a follower of the comic strip on which it is based certain subtleties of the strip probably escaped by attention. Still the film can and was enjoyed by me on a different level.The film did spawn several sequels, sadly though Brandon Lee was not in them. His accidental death in a shooting scene on the set of The Crow has passed into legend, to eerily familiar to his father Bruce Lee's death. Apparently though enough of the film was shot so that it could be released without having to be done over as was the case with Solomon And Sheba when Tyrone Power died, also on that set.I could see also that Brandon Lee even through the pasty white makeup of his undead character Eric Draven that he was quite the charismatic fellow. That The Crow sparked a television series and several sequels is a testament to Lee's performance. Michael Wincott who played the leader of the gang of thugs who killed Lee and fiancé Sofia Shinas is also memorable as is Jon Polito as the pawnshop owner.I'd check The Crow out if I could. Brandon Lee invested a great deal of character within the character and sadly his life as well.",The Crow
1,Leofwine_draca,More a romance than revenge movie,8,29 May 2016,"At first glance, THE CROW seems to be just another revenge saga, with an added goth twist to appeal to fans of KISS and Marilyn Manson. Thankfully I was mistaken, because this is an emotional roller-coaster of a movie that is both fun and moving, violent yet sensitive. It certainly strikes the viewer as a film in which opposing values gel together quite brilliantly. And, whatever critics may say, it will always be a strangely unique movie, in which the tragedy of Lee's on-set death runs parallel to the death and rebirth of his screen character. As such the movie has a spooky, almost legendary air to it, a real one-off to a film. But Lee's death – although deeply upsetting – is not a good reason to watch this movie, having nothing to do with the film itself.Director Proyas (DARK CITY) keeps things dim and shadowy throughout. The film seems to take place over the length of one hellish night, so expect brooding darkness, silent alleys and many shots of Lee's surreal, mime-painted face. The plot is simple; he dies, is reborn, and takes revenge on the bad guys, but Lee's relationship with a teenage friend heightens the emotion, as does Ernie Hudson's sympathetic cop who understands the hero's inner feelings and understanding. The bad guys are mostly psychotic rather than evil, all presided over by the sinister yet suave Michael Wincott, one of my favourite underrated actors. Others such as Candyman (Tony Todd) and Sully from COMMANDO (David Patrick Kelly) flesh out the ranks of the victims. Many stunts, explosive action sequences, violent moments and shoot-outs keep the plot moving, but I found this film to be more of an appealing, romantic and deeply sad love story than anything else. Worth catching.",The Crow
2,SnoopyStyle,nightmarish atmosphere,6,7 November 2015,"The city is burning on the night of Oct 30. Eric Draven (Brandon Lee) and his girlfriend Shelly Webster are brutally killed by a gang led by T-Bird. Sgt. Albrecht (Ernie Hudson) is first on the scene and meets street kid Sarah. The couple has been taking care of her. A year later, the crow raises Draven from the dead to exact revenge on the gang, one member at a time.This is infamous for the accidental shooting death of Brandon Lee on set. I like the nightmarish atmospheric tone of the movie. The main thing missing is a fuller performance from Lee. There is a haunted feel to it. He's not nearly menacing enough but there is a small hint of Heath Ledger's Joker. He didn't do much other than The Crow so it's hard to determine if he has the same charisma as his father. The few normal interactions are competent. This cinematic world shows some promise but it's difficult to determine whether Brandon Lee held any great promise.",The Crow
3,classicsoncall,"""They're all dead. They just don't know it yet.""",8,2 July 2018,"Fans of Gothic styled revenge dramas will appreciate ""The Crow"", a film achieving something like cult status with the tragic death of it's principal star during filming. Brandon Lee is appropriately cast as the enigmatic Eric Draven, returned from the dead to avenge the murder of his girlfriend as well as his own at the hands of thugs operating under the auspices of a crime lord who keeps an entire neighborhood under his sway. Lee is charismatic in the role, ghostly white face paint notwithstanding, which lends an aura of awe and fascination to his character. Unlike his famous father Bruce Lee, Brandon doesn't indulge in choreographed martial arts to seek his revenge, though he does achieve a level of creativity in the way he dispatches his victims, leaving a unique crow style calling card each time he exacts his retribution. The picture itself is dark and foreboding in keeping with it's theme, with the villains having such descriptive names as Tin Tin, Funboy, T-Bird and Skank. Interestingly, Eric Draven himself is never referred to as The Crow of the title, as that function is performed by a mysterious black bird that heralds Draven's appearances and serves as witness to the retribution that follows. The finale sees Eric dispatch the principal villain (Michael Wincott) by inducing thirty hours of pain with a self styled claw hold. Or was that actually a caw hold?",The Crow
4,lee_eisenberg,ghosts and crows,8,14 March 2009,"Having known Ernie Hudson as one of the Ghostbusters, I thought that it made sense to cast him in ""The Crow"". The movie is of course most famous for Brandon Lee's unfortunate death during filming. Watching the movie, it gave me a real sense of the macabre, in a less than identifiable setting full of chaos. Needless to say, it adds to the feeling knowing what happened to Lee on the set. No matter how you approach it, this is a horror movie without having to be particularly scary, and definitely one that I recommend. Watch on Halloween, right before Halloween, or during any other part of the year, and it's still equally good.Also starring Ling Bai (billed as Bai Ling).",The Crow
5,jboothmillard,The Crow,6,12 August 2015,"I knew about this film because of the Gothic image of the leading actor, but more so because of the tragedy that occurred on set, I had to see if it was a worthwhile watch, and directed by Alex Proyas (I, Robot; Knowing). Basically in Detroit, Michigan, poetic guitarist and rock musician Eric Draven (Brandon Lee, Bruce's son) and his fiancée Shelly Webster (Sofia Shinas) are to be married the day after Devil's Night, the night before Halloween, but Shelly is raped and beaten by thugs of city crime boss Top Dollar (Michael Wincott), while Eric is shot and pushed out of a window. A year later, in the cemetery, a crow lands on Eric's headstone, some of these birds have the power to bring the dead back to life, it taps on the stone, this awakens Eric from his grave, the bird guides him through the city to prepare himself. Eric, now also known as The Crow, has not only been granted life again, he has been given the ability to heal from any fatal injury, he is setting out to get revenge for the brutal murder of his fiancée. The crow leads him to the killers: knife thrower Tin Tin (Laurence Mason), drug addict and dealer Funboy (Michael Massee), car buff T-Bird (Commando's David Patrick Kelly), and the unsophisticated Skank (Angel David), he is determined to give them a taste of their own medicine. However leader and world-class crime lord Top Dollar, with bodyguard Grange (Tony Todd) by his side, will dispatch his enemies with a Japanese sword and make a joke about these kills, of course he soon learn of The Crow's invincibility and suffer the consequences of the legend and vigilante. Also starring Ghostbusters' Ernie Hudson as Sergeant Albrecht, Rochelle Davis as Sarah, Bai Ling as Myca, Jon Polito as Gideon, Anna Levine as Darla, Bill Raymond as Mickey and Marco Rodríguez as Torres. Lee has a recognisable image with the goth make up and does well as the rock musician brought back to life and getting vengeance, the tragic irony was that Lee was killed on set by a prop gun that was meant to fire a blank, this being his final performance will always be the one that everyone knows. As for the film itself, it is a simple enough vigilante going against crime lords and thugs, but being based on a comic book it is given a paranormal (almost zombie) and Gothic twist, there are just enough engaging sequences and bloody sequences to keep you going, overall it is a worthwhile action fantasy. Good!",The Crow
6,Tweekums,Supernatural Revenge,7,22 March 2021,"Set in an unnamed US city on the night before Halloween, which is known as 'Devil's Night', rock star Eric Draven and his Fianceé Shelly Webster are brutally murdered by a gang of thugs. A Year later, with the help of the crow that takes the souls of the dead to the afterlife, Eric returns. He will have his revenge against those who wronged him. He isn't the man he was; any injuries he receives now heal within seconds.The plot to this film is fairly straightforward; apart from the fact that Eric has returned from the dead it is a typical revenge thriller. As expected our protagonist hunts down the attackers one by one; each being killed in a fairly unpleasant way. That said it is an enjoyable film if you are a fan of the revenge drama and despite its UK-18 rating is far less disturbing than other well-known revenge films. The darkness, it is set entirely at night, and the persistent rain create an impressive atmosphere. Brandon Lee did a fine job in the lead role; it is a real tragedy that he was killed making the film. The supporting cast are solid; most notably Ernie Hudson as Sgt Albrecht; Michael Wincott as the main villain; and young Rochelle Davis as Sarah, a girl Shelley had befriended. Overall I wouldn't say this is a great film but it is worth a watch.",The Crow
7,BA_Harrison,R.I.P. Brandon,8,8 February 2015,"Based on the comic book created by James O'Barr. The Crow stars Brandon Lee as rock star Eric Draven, who, precisely one year after his murder, returns from the grave to take revenge on the vicious criminals responsible for the rape and death of his fiancée and his own untimely demise.The basic plot for this supernatural thriller is rather simplistic, holding very few surprises and delivering little in the way of genuine suspense, but a poetic screenplay charged with dark romanticism, a terrific cast (Michael Wincott is particularly memorable as head villain Top Dollar) and extremely stylish direction from Alex Proyas ensure that the film is far from forgettable. Proyas, a prolific music video director, nails the comic book aesthetic, delivering a stream of impressive visuals, with grandiose, sweeping cinematography, stunning lighting, and incredible set design, all steeped in Gothic neo-noir atmosphere and set to a cool alt-rock soundtrack.Brandon, son of martial arts legend Bruce Lee, gives a charismatic central performance, and would most likely have become a major star in his own right had his life not been tragically cut short by an accidental shooting on the set of this movie, a fact that only goes to make the finished article an even more tragic and haunting experience.",The Crow
8,paul_haakonsen,Very entertaining...,8,17 January 2016,"I have always enjoyed ""The Crow"" ever since the first time I watched it during the mid-1990's. And the movie is still entertaining today, and it will be so forever, as it is just a timeless movie.There are many things that work in favor of ""The Crow"". First and foremost the Brandon Lee legacy was fully established with this 1994 movie. But it was also the movie that snatched the young talent from Hollywood far too early, and this movie really would have been his stepping stone onto something far bigger.The storyline in ""The Crow"" is a solid one that is build on the foundation of a good storytelling script. The night before Halloween is known as ""Devil's Night"" and it sees the untimely death of Eric Draven (played by Brandon Lee) and his fiancée Shelly Webster (played by Sofia Shinas) at the hands of a gang of ruffians. A year later Eric returns from beyond the grave, accompanied by a raven, sent back to seek vengeance on those who killed him and his beloved fiancée.Director Alex Proyas managed to put the script and storyline quite adamantly to the screen in a very memorable manner. And the characters in ""The Crow"" were well-detailed and helped to bring the story to life quite nicely on the screen.Now, ""The Crow"" is not a massive CGI or special effects galore, which the movie does well without, as this is a story- and character-driven movie in every aspect.They had a rather good ensemble of talents for the cast list. Starting with the late Brandon Lee, of course, whom was well-cast for the role of Eric Draven, and it also had a very charismatic Michael Wincott in the role of Top Dollar - the boss of the ruffians. Bai Ling appears in a dark and very odd character named Myca. Ernie Hudson pulls off the role as police officer Sergeant Albrecht quite nicely.I have watched ""The Crow"" countless times, and will continue to watch it every now and then for as long as I continue to watch movies, because it is an entertaining movie and has a very unique dark, semi-Gothic feel to it.",The Crow
9,BandSAboutMovies,Amazing!,7,25 April 2020,"James O'Barr created The Crow as a way to deal with the death of his fiancee at the hands of a drunk driver. Today, we may know it more for the death of its lead actor Brandon Lee. Take it from someone who was 22 when the original film came out and had already been a fan of the comic - it was the perfect movie for its time, a capsule ready made to be looked back on as I am now old and have so many memories around this time.Eric Draven (Lee) has been killed after trying to save the life of his fiancee, Shelley. One year later, a crow brings him back to life as he unleashes terror on the gang of Top Dollar (Michael Wincott, Strange Days).It's an incredibly simple tale of revenge, but the gothic look and soundtrack that reflects the time of its creation drive this movie beyond its simple origins. I remember being beyond excited when My Life With the Thrill Kill Kult was actually in the film, playing at Top Dollar's club before his gang heads out to set Detroit ablaze on Devil's Night.Of course, there has long been discussion of the film being cursed. In addition to the accident where Michael Massee shot a live round - unbeknownst to the actor - a carpenter suffered serious burns, another worker was stabbed in the hand by a screwdriver, an equipment truck blew up, a stuntman broke his ribs, a rigger was electrocuted, a set sculptor flipped out and drove his car through the prop room and finally, a hurricane destroyed much of the set.Another reason for so much of this - beyond fate - was that there was plenty of cost and corner cutting, with a crew member remarking that they were ""trying to make a $30 million movie for $18 million."" As the movie was being shot in North Carolina, which is a right-to-work state, the unionized conditions of Hollywood did not exist. They switched schedules from night to day without the industry standard 24-hour break. Rumors of rampant cocaine use on set also exist.Due to Lee dying, many of the scenes had to be reshot with a double and CGI. All of the scenes with Michael Berryman's Skull Cowboy character had to be cut, too.Despite the tragic nature of its creation, The Crow remains a movie that reminds me of a different time in my life. Its influence on culture remains.",The Crow
