,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,kosmasp,Not Cruising,5,7 May 2021,"The movie or story has quite a few themes that are interesting and could be described as deep. And especially early on, it feels like the movie tries to be sensible and might really go full head on with those issues. But than you realize it opts out - takes the easy (cliche) way and route. It sort of panders to the teenage audience it aims at.Now I don't think it is bad overall - but I can see that some people felt offended (intellectually and otherwise) by the movie not taking the viewer seriously. It just isn't the philosophical movie you may expect it or want it to be. Still there are (predictable but still) enough twists and turns and tension to keep you on your toes .. of sorts. It depends on how much suspension of disbelief and how much slack you cut it ...",Voyagers
1,paul_haakonsen,It went from good to laughable in a split second...,3,31 July 2021,"I wasn't sure what to expect from writer and director
Neil Burger with this 2021 sci-fi thriller, but I must admit that the synopsis for the movie sounded fairly interesting. And so without having even seen a trailer or even heard about the movie prior to watching it, I sat down to watch ""Voyagers"".And while ""Voyagers"" did actually start out pretty interesting, and had me entertained, the movie just fell into pieces upon the act where the character Richard died. After that, the movie just became laughable and downright annoying to watch.After the death of Richard, the movie became a pointless theater of fighting, bickering, deception and debauchery, and throw in a hefty bit of bland characters that constantly look like they are seriously constipated. Essentially the movie slipped from being an interesting and atmospheric sci-fi thriller to becoming a mindless clone of ""Lord of the Flies"", but set in space.What really ticked me off here was the ignorance and the behavior of the adolescent characters in the movie. Seriously, they're stuck aboard a space vessel with nowhere to go, and they succumb to such behavior. No, it just seemed way to incomprehensible and ludicrous.Visually then ""Voyagers"" was actually quite good, and there was a good atmospheric sense of claustrophobia and of being crammed inside a space vessel. Just a shame that the storyline had to become such dripple.Essentially watch the movie up to the point where Richard dies, then turn off the movie. At least that way you will walk away with a wholehearted experience of the movie and have good memories of the story. Just don't bother with the second half of the movie, because it was just a big heap of... Well, you know what I mean.""Voyagers"" had potential to be such a great movie and a rather interesting one as well. But a horrible writing of script changed that experience into a joke.I am rating ""Voyagers"" a generous three out of ten stars, and that is mostly based on Colin Farrell's acting, the atmosphere of the first part of the movie and the visuals.",Voyagers
2,zardoz-13,Teens in Space!!!,2,10 May 2021,"Apart from its intriguing premise, the hopelessly predictable, live-action, sci-fi saga ""Voyagers"" (*1/2 OUT OF ****) has little else to distinguish it. First, climate change has ravaged the planet, and the Earth is deteriorating at an alarming rate. Man is running out of time as well as resources! Second, the nearest planet fit for human habitation requires an 86-year voyage! Incredibly, serious minds decide to launch children into space and educate them so they can maintain their spacecraft during this voyage of a lifetime. Later, when they have matured enough, they will reproduce and then train their offspring! Presumably, these first-generation space travelers will apprise the second generation, their sons and daughters, about the dire necessity for colonizing the new planet. Undoubtedly, teens will applaud the confidence mankind has entrusted them with for such a critical mission. Nevertheless, just as parents dread the thought of teens sneaking out for a spin in the family sedan, space agency administrators are just as paranoid about their decision to let everything ride on these teenagers. Ultimately, a space program veteran volunteers to chaperone the thirty young adults dispatched for the stars. Inevitably, you can imagine the deceptive measures which man has taken to keep those young minds focused on the mission. Not only does ""Voyagers"" writer & director Neil Burger know something about YA movies, but he also helmed ""Divergent"" (2014) and was executive producer on both sequels ""Insurgent"" (2015) and ""Allegiant"" (2016), a futuristic film franchise based on Veronica Roth's bestselling novels.""Voyagers"" is set in 2063. Since the trip is an estimated 86-year journey, scientists have assembled a crew from scratch. Thirty test-tube babies--the bioengineered seed of MIT scientists and Nobel laureates--have been incubated in a remote laboratory under close medical scrutiny. These infants are confined for the duration of their stay. They never see either the sun or the moon. They aren't taken for rides in strollers to experience the seasons. Psychologists fear any exposure to either the world or humanity could jeopardize the mission. Similarly, they are concerned about the mission commander, Richard (Colin Farrell of ""Miami Vice""), the accomplished scientist who mentored these gifted youngsters. He is as close as they will ever come to having a parent. He says he can wave goodbye to Earth with few regrets. Indeed, Richard realizes he is taking a one-way trip, but the prospect doesn't frighten him. Nevertheless, he finds himself at a disadvantage when his young cadets bug him with nuisance questions about the mission. When they turn twenty, they approach him with pesky inquiries that make Richard furrow his brow in dread. Literally, these cadets fit British philosopher John Locke's essay about humans at birth being blank slates called tabula rasa. They know nothing more than what their particular culture has programmed into them.Meantime, inquisitive Chris (Tye Sheridan of ""Ready Player One"") and his best buddy Zac (Fionn Whitehead of ""Dunkirk"") discover that their popular beverage, nicknamed ""The Blue,"" which everybody guzzles like tap water, is laced with mysterious chemicals. Indeed, Mission Control has them on a regimen of anti-depressants to minimize any personality disorders. Chris and Zac boycott 'the Blue,' and they experience a radical change. They compete with greater vigor when wrestling since they can muster more strength and tenacity. Eventually, the other cadets follow their example. Before long, Richard finds himself at odds with Chris over this thorny issue. When the ship's communications system breaks down, Richard orders Chris to assist him with a spacewalk to repair the damage. Initially, Zac was assigned to help him, but Richard punishes Zac for groping their medical officer, Sela (Lily-Rose Depp of ""Tusk""), without her consent. Afterward, Richard promises Chris to contact Mission Control about the chemicals in their water supply. Unfortunately, Richard dies from an apparent heart attack. Although the cadets elected Chris as their new leader, they shirk their duties. The friendly rivalry between Chris and Zac reaches a breaking point, and they become bitter enemies. Pandemonium ensues, and the crew turn against each other. Despite Chris's reminder that survival is their first priority, Zac foments an uprising, and his faction raids the weapons arsenal.Sadly, like a pupil plagiarizing a book report on English author William Golding's Nobel Prize-winning novel ""Lord of the Flies,"" Burger has simply swapped out the island setting of Golding's classic with a spaceship. Sadly, studio executives who never read Golding's book but were eager to corner the market signed onto Burger's premise. Presumably, Burger didn't cite Golding because ""Voyagers"" added women to the narrative and outer space served as the setting. Mind you, ""Voyagers"" does a competent job of setting up the situation and getting through the sticky preliminaries. ""Guardians of the Galaxy Vol. 2"" production designer Scott Chambliss and Burger have created a sleek, sterile, state-of-the-art spacecraft, but neither the vessel's name nor numerical designation is ever revealed. White is the dominant color. Considering the width of its cramped corridors, the spacecraft seems rather claustrophobic. Lugging oversized space equipment along those passageways would pose a challenge. Two people cannot walk side by side without brushing shoulders. The cadets wind up pushing a plethora of buttons on sophisticated consoles and ogle monitors galore, so ""Voyagers"" never lets you forget it is tech savvy.""Voyagers"" might have fared better as a goofy sex comedy. Imagine something like ""Porky's"" (1981) mashed up with ""Spaceballs"" (1987)! Up to a point, ""Voyagers"" floats several provocative ideas. Alas, the filmmakers don't follow through with anything genuinely original. Not only can you guess the identity of their new leader after Richard's demise, but also the inevitable 'happily ever after' outcome occurs once Zac's rebellion is quashed. After order has been restored but before the end credits roll, you won't be surprised at who is elected to replace Chris. Comparably, ""Voyagers"" isn't as entertaining as either ""Passengers"" (2016) or ""Breach"" (2020), no great shakes themselves, when it comes to depicting mankind's efforts to migrate elsewhere in the universe.",Voyagers
3,siderite,Failed Lord of the Flies in space,7,11 July 2021,"The film had a lot of potential, but it lost it mainly for two reasons. First of all they wasted a lot of time with setting things up, then they moved too fast when it was time for a slower burn. So, pacing, basically. Second of all, it is another of those ""set in space"" stories that have little to do with space other than the flimsiest of setups.The movie starts with a spaceship with a crew of genetically selected children, meant to dutifully run the ship and breed the next generations in order to reach a new planet 86 years later. Ignore all of that. Because the entire story takes place with the first generation realizing that they are kept in check with hormone suppression, stopping taking it, then going through a very short Lord of the Flies episode with some pretty heavy handed ""spaceship Earth"" analogies.Truthfully, I liked how the ""kids"" (they are all older than 23) played their roles and there was quite a lot of tension in the film, the sensation of futility of common sense, the terror that we are all idiot monkeys inside and there is no solution. But then it all went by too fast with no other resolution than a vague message that we are capable of overcoming our fears and rule our worst inner impulses. Too bad, because I think this could have been a better movie is not for all the focus on LED lightning and pointless future weaponry and the pointless extra setup. Even Colin Farrell's character was a bit superfluous. And did they have to place this in space?",Voyagers
4,MLDinTN,"typical follow the leader story, this time set in space",6,30 October 2021,"This movie was OK. Some travelers are going to another planet that takes 86 years to get to. So they create babies on the way. And when they get to be 20 somethings, they soon learn they are being drugged so they won't have emotions. So Zac and Chris stop taking the blue and soon their true personalities emerge. Zac is rather psychotic and is responsible for the chief officer's death which sends everything into chaos. He pretends an alien is onboard and starts making threats. Soon they break into 2 groups. Zac's group finds the weapons and when they learn guns kill, the chase is on. Chris and Sela come up with a great plan and get Zac to charge through a door and they have the door to space open. So Zac gets sucked out but not before drama. And how did Chris make it back after being sucked out. I don't think that would be possible because in space the ship would be moving at a high rate of speed. Andyways they reach the new planet. The end.FINAL VERDICT: A young adult take as to what happens when people get cooped up for too long and their crazy personalities emerge. Worth a watch.",Voyagers
5,UniqueParticle,Really enjoyable definitely doesn't deserve the hate,9,10 October 2021,"Neil Burger is really good at his craft I haven't enjoyed quite a few of his projects and I absolutely love space movies! Lily Rose Depp and Tye Sheridan are magnificent together; they're characters are intriguing. The editing is one of my favorites, I have obsession with a flow of images in a show or film I kinda wish I knew how to edit. I love stories about young people and even better that it's based in space with horror elements! I do think the biggest problem is how off track and out of control some of the it is but that doesn't mean Voyagers deserves to be bashed.",Voyagers
6,cruise01,Sci fi premise that focuses on human wild nature but stylistic film.,7,10 April 2021,3.5 out of 5 stars.Voyagers is a pretty fair science fiction film about a biologically created group of kids. Who are going on a voyage to a new planet to colonize and start over. But while on a space voyage. They discover there pleasure senses have been reduced from a drug they been taking. They decide to stop which there wild instincts kick in into madness. Which the group of teens will be divided from trying to have a civilized rule to a living life wild which can put the future of humanity at risk.What worked? The concept and plot is promising. In a future. Earth is no longer livable. Researchers decides to genetically create humans so they wont be attached from leaving earth. They have been isolated from civilization. And Richard (Colin Farrell) who is a researcher and a mentor. Tags along with the space crew to make sure they are behaving. Until they start to lose control.The set designs and visual effects are great. Kind of feels similiar to the movie Passengers.The cast ensemble is good. Colin Farrell is good. Tye Sheridan and Lily-Rose Depp were great. Fionn Whitehead playing a rebellious teen who is trying to create fear within the group and trying to live there lives selfishly was good too.What did not work? The film is a slow burn thriller. The second act is slow and boring in the middle. Could have been a faster direction. The film does pick up when tension rises with Tye Sheridan and Fionn Whitehead are divided and fighting each other.Also the music score was a bit dull for a science fiction space thriller. Which kind of made the movie feel a little dull.It does have an interesting premise and some thrills and a great cast. Which could have been better.,Voyagers
7,Tweetienator,Pretty Standard Teen Sci-fi Flick,4,12 June 2021,"Just another predictable movie - climate change (what else?) destroys human habitat, mankind must be saved (why?), so you put up a lot of teen clones to the task to be the last of mankind... Of course hormons will endager the whole mission. I bet, there must be some secret movie fond that finances movies that got something to do with climate change. Anyway, production and cast are solid, so Voyagers is not a total fail, and maybe young teens may like it cuz they can identify with our young but stupid heroes (well, stupidity is a trademark of our movie heroes these days, no matter what age). Maybe bearable for fans of movies and shows like The 100, 3%, Equals and the like.",Voyagers
8,imseeg,What a cheap mediocre scifi wannabe,3,10 August 2021,"This movie looks cheap and is unimpressive, to put it very politely.The bad: no supsense, no thrill, no jokes, no action, no drama, there is only mediocrity to be enjoyed. This is one of those cheaply made ""scifi"" movies that aspire to be serious and mysterious and whatever, but end up being nothing more than a cheaply made B-movie.Not any good? Well, the daughter of Johnny Depp can act well, but she cant save this ridiculous cheap B-movie from drowning.",Voyagers
9,paul-allaer,"Intriguing premise/strong start, but then fizzles out into ""Lords of the Flies In Space""",5,11 April 2021,"As ""Voyagers"" (2021 release; 108 min.) opens, we are informed that in 2063 a new planet is discovered that will allow the human race to survive, but it will take 86 years to get there. A crew 0f 30 young people is being prepped in isolation for the journey. Then out of the blue Richard, the mission's leader, announces he wants to go along as well, even though it is an one-way ticket and means certain death. The mission takes off in 2067, and then we go to ""Ten Years Later""... At this point we are 10 minutes into the movie but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this s the latest film from writer-director Neil Burger, who is quite familiar with the sci-fi genre from his 2014 film ""Divergent"". Here he brings a new variation on a familiar theme: how the human race looks to the skies for survival on another faraway earth-like planet. In and of itself an intriguing premise (and hence one that is revisited regularly by Hollywood). The new element is that the crew of 30 will never reach the end and hence it will be their children and grandchildren who will benefit from all this. So far so good. Sadly, the movie makes a 90 degree (or frankly even 180 degree) diversion into ""Lord of the Flies In Space"" that is frankly pointless and plain dumb, and from which the movie never recovers. Colin Farrell (as Richard) appears for about the initial 45 min. In the film (in the all too obvious ""we need a star attached top this project"" tole. The rest of the cast are mostly non-names, the best of which is Lily-Rose Depp (yes, Johnny's daughter) who bears a striking resemblance to her mother (Vanessa Paradis). The movie's electronic core (by a certain Trevor Gureckis) is a blatant rip-off from Hana Zimmer's electronic scores like ""Blade Runner 2049"". The movie's production set is stylish and looks quite nice, keeping in mind the movie's relative low production budget (about $30 million). But none of these issues can mask the fact that the movie's strong start fizzles out completely and never recovers.""Voyagers"" was supposed to open in theaters last Fall but a little thing called COVID-19 had other plans. It finally opened this weekend. The Friday early evening where I saw this at here in Cincinnati turned out to be a private screening: I was the only person in the theater. The rest of the 16 screen movieplex was an absolute ghost town, just eerie. Meanwhile, whether you are a fan of sci-fi movies or simply a fan of Colin Farrell and you keep your expectations low, I'd suggest you check this out, be it in the theaters, on VOD< or eventually on DVD/Blu-ray, and draw your own conclusion.",Voyagers
