,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,looks beautiful and sweet little story,8,23 June 2021,"Off the Italian coast, Luca Paguro is befriended by fellow sea creature Alberto Scorfano who leads him to live on land. Luca runs away from his home in the sea. While on dry land, the sea creatures look human but they turn back when they get wet. They enter a small town where they are befriended by local girl Giulia Marcovaldo. The trio join up for a race competition. The boys dream of buying a Vespa with the winnings and riding away.This is a beautiful looking Disney Pixar movie. The story is simple and sweet. I do have to say that I missed the closeted gay subtext. I looked at it more in terms of passing. Quite frankly, I wanted more dangerous initial stakes. Luca is more in danger on land. It's perfectly safe for him to go home. There is a way to raise the stakes by taking away a safe return as an emergency exit. If the two boys are refugees and their ocean home destroyed, it would raise the danger and their ultimate stakes. If they have to leave the ocean, it would be a more compelling dangerous journey. There are some powerful scenes. The two boys have a complicated relationship. I love Giulia. All in all, this is wonderful Pixar and a sweet little story.",Luca
1,nogodnomasters,I hunt Sea monsters,6,28 July 2021,"Luca is an underseas creature who speaks English and is banned from going on land. He is instructed to hide from boats and humans. He meets a fellow sea creature, Alberto, who drags him on land. Luca and Alberto become boys and enjoy the life of young boys. Their dream is to win the racing cup and get enough money to buy a Vespar and travel the world.The story reminded me of a number of things. Pinocchio was one. Man's fall from the Garden of Eden. And of course those sea monkeys that were advertised on the back on comic books in conjunction with hallucinogens. It was a film about diversity and acceptance and pasta.",Luca
2,paul_haakonsen,Sea monsters on a surface land adventure...,6,22 June 2021,"I sat down to watch the 2021 animated movie ""Luca"", as my son wanted to watch it. And with it being a Disney and Pixar animated movie, of course there were great chances of this being a spectacular animated movie.And yeah, the storyline was actually rather enjoyable. Sure, it was predictable, but hey, this is an animated movie aimed at a younger audience, so of course such a storyline was to be expected. But it was actually surprisingly good and provide adequate entertainment from start to end.The animation and art style in ""Luca"" was pretty good. Lots of vibrant and outstanding colors, which really brought the characters to life on the screen in a very spectacular manner. And the characters in the movie were very nicely detailed and fleshed out, which meant that these characters were ones that you quickly take a liking to.""Luca"" had some great voice acting, which is everything when we are talking about an animated movie. Having the proper cast and having talents that can bring out characters with their voices alone is a make or break for an animated movie. And needless to say that ""Luca"" definitely had a great ensemble of voice actors and actresses to portray the various characters.While ""Luca"" is not really among the top contenders of animated movies I have seen recently within the last couple of years, it is without a doubt an animated movie that is well worth taking the time and effort to sit down and watch, regardless of if you are an adult or a younger audience member.I was definitely adequately entertained by ""Luca"", and my rating of director Enrico Casarosa's 2021 animated movie lands on a six out of ten stars.",Luca
3,view_and_review,Merpeople?,7,24 June 2021,"""Luca"" is about a race of merpeople??? Luca (Jacob Tremblay) is a young Italian merman/merboy who dreams about life on the surface. His parents, Lorenzo and Daniela Paguro (Jim Gaffigan and Maya Rudolph), however, are deathly afraid of the surface and don't want Luca anywhere near it. Luca defies his parents with the help of another merboy named Alberto (Jack Dylan Grazer). When he gets to the surface he finds that he becomes an air breathing, tail-less, human boy. He enjoys every minute of surface life, but he has to keep his true identity secret if he wants to stay safe from the townsfolk who are afraid of sea monsters.I enjoyed ""Luca."" I knew the moment would come when he and his friend Alberto was discovered, but it wasn't as dark and ominous a moment as I expected. Even with the somber message, ""Luca"" never got too down and depressing as I've seen some other animations get.",Luca
4,evanston_dad,Pixar Goes LGBTQ+,8,20 August 2021,"""Luca"" is Pixar's boldest attempt yet at an LGBTQ+ friendly film, though apparently it's still subtle enough (hard for me to believe) for the gay themes to go right over a viewer's head. My mom, for instance, didn't catch any of it at all.I had low expectations going in, but I found this movie to be very sweet and pretty delightful. Jacob Tremblay does terrific voice work as Luca, and the relationship between the two male characters at the story's center, whether you choose to read it as a coming out story or just a very close bond, is touching without being aggressively manipulative in that way Pixar movies can sometimes be.Plus, the pasta in this movie looks soooooo good that my family went on an Italian food binge for about a week after seeing it.Grade: A.",Luca
5,lasttimeisaw,Cinema Omnivore - Luca (2021) 7.5/10,8,28 June 2021,"""Here, the message can be either interpreted as a subtle coming-out metaphor (something that mainstream cinema struggling to represent in the dead center) or read as an effusive encomium of friendship between two prepubescent boys. Either way, LUCA is as anodyne as crowd-pleasing, if its oceanic scenery cannot surpass FINDING DORY's alluring pellucidity and ripple mobility, Casarosa and his team's picturesque creation of the town called Portorosso is a sublime knockout, and their vibrant aesthetics are overtly influenced by the Studio Ghibli's variegated coloration and hair-splitting attention to even the smallest details (the name Portorosso, ""red harbor"" itself is a homage to Miyazaki's PORCO ROSSO, 1992), looking at that Italian pasta with pesto sauce and fresh basil leaves, how toothsome it could be!""read my full review on my blog: Cinema Omnivore, thanks.",Luca
6,thesar-2,The Little Merboys,5,19 June 2021,"Look at that bike, isn't it neat? Wouldn't you think this movie's a repeat?I got used to saying: Pixar's done it again! But, luckily, I don't have to this time. Ho-hum, here we go.If you shove about 9 Disney movies into one and then cut so much out you just get a watered-down version of all the others, you'll end up with Luca who also lives on the second floor. (For part of the film. Tree house counts.)Title Sea Creature Teen wants to be part of his buddy Alberto's world above the sea and with courage, deviance and a little luck and lady, he might just see a world that makes such wonderful Vespas and Italian stereotypes. I'm trying not to spoil too much, but really, there's not too much here to spoil.It's totally serviceable, absolutely gorgeous and incredibly fast paced. In fact, when I started it and saw it was an hour and forty-one minutes, I had no idea the final 16½ minutes were ALL credits. So, in short, it is short and feels that way.But I don't have any real regrets other than I expected so much more from the story department at Pixar.***Final Thoughts: LOVED that cat, though. Too bad he shares probably 1-2 minutes of screen time. He was the only character I really liked.",Luca
7,Pjtaylor-96-138044,Now that they're men...,7,29 June 2021,"'Luca (2021)' is about the budding friendship/ romance between a pair of 'sea monsters' who try to find their feet on dry land so they can get a Vespa (#notsponsored?) and ride across the world together. The eponymous Luca initially leads an incredibly sheltered life, taught to fear humans as much humans fear him, but his curiosity soon leads him towards the surface, where he meets the more sure-footed Alberto and makes his way to a local village (in natural disguise, of course). It's here that the pair meet Giulia, a bright and bouncy young girl who wants to win the traditional team triathlon - consisting of swimming, eating and cycling - that she's lost for several years running. As the trio train for their task (which should provide enough cash to buy the aforementioned branded scooter), contending with a bully and the constant threat of exposure as they do (rain is, in essence, a death sentence for them), their goals begin to shift; will their friendship stay steady? As you can probably tell, there's quite a bit going on here to say that the story is actually incredibly small-scale. It takes a while for the piece's moving parts to come together into something that feels properly cohesive. It's a little stylistically strange (though its distinct look isn't unpleasant) and it plays with themes that have been seen many times before. However, it's a well-made and charming little tale overall. When it settles into itself, it's enjoyable and, even, somewhat subversive. Its ending is satisfying, if perhaps a tad artificially tearjerking, and there are plenty of chuckles peppered throughout. It's not one of Pixar's best, but it's a solid entry in their catalogue. 7/10.",Luca
8,cricketbat,"Good, but doesn't rise to the levels of previous Pixar movies.",7,20 September 2021,"Luca is a literal fish-out-of-water story that features entertaining animation and amusing characters. However, the plot is pretty predictable, and it doesn't quite have the same magic that classic Pixar movies have had in the past. There is heart & humor, but not to the level there used to be. I won't mind watching this film again if my kids choose to, even though I probably won't seek it out on my own.",Luca
9,westsideschl,Unimaginative,4,10 September 2021,"Fish type creature with family that acts and somewhat looks human-like becomes human when it crawls on to the forbidden upper world (i.e. Us).Negatives: Set in Italy we get all the Italian stereotypes along with fish & human stereotypes - very done before, unimaginative. Animation quality was average to poor - no detail, painted unmoving backgrounds. Usual morality tale of accepting others no matter how different they may be.Positive: Might be good for grade schoolers.",Luca
