,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Every bit as good as Alien,10,11 January 2011,"Alien is a sci-fi classic, so when I saw Aliens I was expecting great things. Which is exactly what I got. Aliens I have often seen and heard being described as one of the best sequels ever made, and I have to heartily concur. Aliens is every bit as good as Alien, and just a brilliant film. The production design once again is immaculate with the spectacle surpassing Alien(to me), while the script is credible, the story interesting and well-constructed and James Cameron's direction brilliant. As with Alien, there are also some very genuine shocks and scares, and if there was something I marginally preferred here it was the suspense which was particularly nail-biting. The acting once again is top notch, all the supporting cast do great work but Sigourney Weaver is simply terrific and it helps that Ellen Ripley is expanded upon here. Overall, just like Alien, a sci-fi classic. 10/10 Bethany Cox",Aliens
1,Leofwine_draca,All-time classic; one of the greatest films ever made,10,17 March 2015,"What more can be said that hasn't been said before about one of the greatest movies of our time? One of Jim Cameron's top three films, this is by far the best of the ALIEN saga, an endlessly rewatchable piece of classic action cinema which can best be described as ""Vietnam in space"". The alien is back and has multiplied, so now we have the now-classic action premise of ""group of marines vs. invincible enemy"".From start to finish this is perfectly made entertainment with every frame minutely conceived to be the best. The music is eerily gripping and there are dozens of one-liners to be had from Bill Paxton, excelling in his first big role as the comic relief. The horror and gore quotient hasn't been reduced at all, this is definitely not a film for the kids. But oodles of gripping suspense and guns-blazing action violence is the main thing this sequel offers and it still remains one of the best action classics of our time. Even now, when some of the special effects are starting to look a little ropey (most remain fantastic, however, especially the Queen) and when you begin to realise there are no more than six aliens on screen at one time, this is still pulse-pounding entertainment, packed with horror, suspense, tension and plenty of thrills.The cast is efficient, an ensemble outfit that pays off nicely. Sigourney Weaver puts in her best performance in her best role that she can never hope to better success-wise. Michael Biehn is the hard-but-human soldier who befriends her, Lance Henriksen has his mainstream breakthrough role as the likable android Bishop. Paul Reiser's Burke is one of the greatest portrayals of corporate evil I've seen, a fantastic show of strength, corruption, evil and cowardice from Reiser. The rest of the marines are great and, most importantly, believable and likable. The action never lets up and the extended version has to be seen to get the full story. Although it runs for two and a half hours this is a film that never runs out of steam; instead it will just age gracefully like the finest wines, sitting in its place in history as a classic of the '80s.",Aliens
2,SnoopyStyle,Great follow up,9,12 October 2013,"It's 57 years after the first movie. Ellen Ripley (Sigourney Weaver) has been lost in cryogenic sleep until she's discovered by a deep salvage team. She's asked to return to the planet to investigate why the colony there has lost all communication. She and a team of space marines must battle the aliens in an all out fight.James Cameron has taken this franchise from its horror origins to a great big action adventure. The change in style is seamless. The action is perfect, and it's a non-stop roller coaster ride. Ripley has transformed herself from the feminist icon into a powerful mother figure. There isn't a false note in this movie. The characters are all well drawn from the humanist robot Lance Henriksen to the comic relief Bill Paxton. They all work to create one of the most thrilling rides of all times.",Aliens
3,Hitchcoc,A Masterpiece of Suspense,10,31 August 2010,"This is a fantastic film in every respect. While the original was outstanding, this takes it to new heights. Everything is set up so well. The bad guys in the futuristic corporate world are at it again. They know of the horrors but see people as cannon fodder for the the venomous aliens. Ripley's character is mature and smart. Throw in the little colonist and a group of overzealous (and frightened) Marines and you have the ingredients for one of the best. The story is extremely well plotted. Every single thing that is put in front of us serves a purpose later in the film. The byplay among characters and the actions of the shortsighted bureaucrat all work. The combat scenes with the aliens are intense and frightening. The work in the first movie is drawn on to create this second one. It isn't the slipshod sequel, made to make a few bucks on a previously successful movie. The aliens have now become a silly franchise. This was the real thing. Don't bother with the other stuff.",Aliens
4,mark.waltz,Who could believe that a sequel could top an already modern classic?,10,3 September 2020,"While Ridley Scott did not return as director, they got someone to take the reins that seems to have proven in teeny tiny ways that he was capable of the job, a man named James Cameron. This film is better (which isn't an easy task considering how good ""Alien"" was) simply because more care is put into the creation of the characters. Sigourney Weaver returns as Ripley, and this time, she gets more dialogue to express who she is underneath the rather sheltered heroin from the first film. She has not given dialog just to hear Sigourney Weaver speak, because this dialogue really expresses the lessons that she has learned through the events of the first film, and how secrets of her personal life impacted the way she was as a human.Sigourney's recipient of an Oscar nomination for this film is no joke, even if it is the first for a woman in a science fiction film. She truly is magnificent, and in moving up the ranks after a couple of films in the late 70's, she truly proved the notion that she wasn't just a fluke. When seen at the beginning of the film, she is having a nightmare of being back in space and the victim of the alien utilizing her through inserting another monster inside her. It takes a lot of convincing for her to go back into space, but once she is there and settled in, she is willing and determine under every circumstance to destroy the evil force that could bring around the destruction of the universe.This is a heroin that the women can look up to and men are comfortable with her because she feels like someone you could pal around with. Her interactions with the other members of the crew (which includes a very tough younger woman, Jenette Goldstein, who basically ridicules her at the beginning) vary from person to person because she is someone who obviously judges on strength of character. Bill Paxton and Michael Biehn have very unique personality is quite different from each other that have different types of relationships with Weaver's character.A little bit of tenderness is added through the presence of a nine-year-old girl (Carrie Henn) they find as the only survivor on a space vehicle, and if they were looking for a nine-year-old who could scream loudly non-stop, they accomplished what they set out to do. It gets to be a bit piercing at times, but if the viewer just thinks of how they would react in a similar situation, then they may be able to tolerate it more. Like the first one, this is non-stop action, but scores higher simply because they put more effort into making it more than just Another Science Fiction / space monster movie. This really has great themes and ideas, and 35 years later, is it true classic, with the leading lady who has become one of the great movie heroines of all time.",Aliens
5,kosmasp,Game over man?,9,19 May 2020,"Well many would strongly disagree. But this is not about the quality of this sequel (some even suggesting this being superior than the first movie, that's not my decision to make), it is about one of the characters spewing many memorable quote. Bill Paxton has done a lot of movies and he has shown his skills in many roles. This may be the favorite for some, but he is not alone.And the Alien is also not alone (see what I did there?). That's another reason this sequel is named Aliens (as in more than one). Now apparently Weaver came back to this franchise having some thoughts of her own. None of which where implemented by Cameron, but were later taken not just under consideration but made into ""reality"".But back to this, that has a lot of Aliens and a lot of weapons. Weaver herself is anti gun, but as Cameron stated, it is not Weaver shooting, it is Ripley, her character. So this is way more action packed and it also continues the story of the first movie. Effects are great, cast is amazing, some communication devices have dated though. Also a nice spin on the android-phobia from the first movie throughout the movie. Really well thought out and well made, one of the best sequels to an arguable classic",Aliens
6,Sleepin_Dragon,One of the best films ever made.,10,4 February 2020,"So often when you think of sequels you imagine cynical attempts to cash in on successful movies, efforts to bring in the coins with any old rubbish, when you think of the likes of Police Academy, Halloween and Jaws you can understand why, and then there is Aliens......Not often is a follow up as good as the original (and better in some ways,) but Aliens is, I would class it as one of the best movies of all time, a cinematic Masterpiece which seems to improve with age. It's a space horror, which is dramatic, action packed and funny at times.Aliens changed the genre, sci fi would never quite be the same again. This film will have you gripped, glued and on the edge of your seat, truly an adrenaline fuelled thrill ride, with amazing visuals, wonderful acting, and terrific music. Film makers of today watch and see how it should be done.A masterpiece. 10/10",Aliens
7,classicsoncall,"""Alright, I'm in"".",9,1 February 2009,"For viewers who felt that the original ""Alien"" lacked action, this sequel provides enough for both, especially when it enters combat mode in the latter part of the story. Adrenaline junkies should find this a pretty good fix for their movie going high, still holding up well even after a couple of decades. The film does a decent job of expanding on the Alien mythos begun in the first film, where even a serious attention to detail fails to reveal what the true life cycle of the species might actually be. Not that all those questions are answered here, in fact there might even be a few more loose ends left by the time it's all over, but by then you're content enough just to catch your breath after a wild thrill ride. The strange thing is that essentially, ""Aliens"" is pretty much a re-telling of the original story with enough alteration of significant plot points that you don't really notice it until well after the film is over. The whole story revolves around a brave female (Sigourney Weaver) returning to a planet (LV-426) that has lost contact with civilization due to an unknown calamity. Ripley leads a team of crew members on a hunt against an implacable and dangerous creature that winds up wiping out that entire crew, before it's finally defeated in a last ditch battle before being cast into the vacuum of space. In neither instance did it seem remotely plausible to me that a human could have survived the crushing forces of wind shear better than the much larger and stronger enemy, but one gets so caught up in the fever pitch emotion of good vs. evil that it doesn't really matter too much. We just want to see Ripley kick some monster a--!What kind of gets lost in translation are some of the cool elements that form the back story of LV-426, a terra-formed 'shake and bake' space colony complete with it's own atmosphere processor. Those elements are only mentioned very quickly in passing, as is the nature of the unit dispatched to investigate the planet. The term Colonial Marines is only used once in the picture, but followers of the Alien saga know the term well, as they show up in any number of book and graphic novel treatments. It wouldn't be too far off the mark to say that they embody the typical fan boy concept of over the top universal soldier types complete with wise cracking banter and big guns,.... really, really big guns. But you know, I didn't hear anyone say 'Lock and Load' - or maybe I missed it.There was even the inclusion of an android again, or as Bishop (Lance Henricksen) explained, an artificial person, a synthetic. I guess that shouldn't have surprised anyone, since the first picture established the science officer as an artificial life form. Still, the dismemberment of Bishop was much too reminiscent of Ash's demise to be original, there was just a little more of him at the end to make the save for Newt (Carrie Henn). I like Henricksen though, so I won't hold the script against him.What was unnerving on a repeat viewing today was the role of Carter Burke as played by Paul Reiser. His portrayal worked for me back in 1986, but all I could think of now was 'Mad About You's' Paul Buchman trying to be the bad guy and it just doesn't work. But you'll be OK if you don't think Helen Hunt's husband'. So on balance, a nice pair of thumbs up for ""Aliens"", a sequel that not only carries on the story from it's prequel, but actually enhances it. As the series progressed of course, the same can't be said, but we'll save that for another review.",Aliens
8,gavin6942,A Sequel Worthy of the Original,9,28 August 2007,"Ripley (Sigourney Weaver) returns to her base, only to find she's been asleep for many decades, and her daughter is now dead. She tells the story of the alien, is not believed, but is called into service again once the aliens she spoke of coincidentally become known. (We might ask how they are found almost exactly the same time she notifies them of the aliens rather than years prior or years later, but let's not get picky.) There are now more aliens, including a swarm of full-sized ones (not just the single one from ""Alien""). And the queen! Holy cow! And, of course, they have to go deep into the hive to stop the aliens from hurting the colonists (although, in all fairness, I think the aliens were there first).How often does a sequel really compare to the original? Other than with ""The Godfather Part Two"", I can only think of one example: ""Aliens"". The general idea is the same as the first film: group of stranded space explorers attacked by aliens must survive. The difference: more aliens, better cast and better technology (using forklifts to kill aliens is awesome).I have to give a shout-out to Carrie Henn, who played the young Rebecca ""Newt"" Jorden. She was amazing, and I really wish she would have continued acting. I hear she's now 31 and teaching in California or something, having never made another film. This is too bad, as she really tied the picture together. I don't know if Ripley needed a daughter figure to replace her dead daughter (this seems very contrived), but it worked.Lance Henriksen appears as Bishop, probably his best role. In the future, Henriksen sells out and appears in every straight-to-video horror film he can get a part in, but back in 1986 this was a break-through role for him. Forget Data from ""Star Trek"" (as cool as Brent Spiner is), Lance Henriksen's Bishop is king. Bill Paxton is also great as Private Hudson, with the immortal ""Game over, man"" line. Maybe not Paxton's best role (he's also great in ""Weird Science"" and ""Twister"", you know) and he is a bit whiny at times, but he's a welcome addition to the cast.As for Paul Reiser, forget that guy. He's only good for co-starring alongside ugly women (here and in ""mad About You""). His character of Carter Burke is so typical of lawyers. I prefer the lawyer from ""Jurassic Park"". But hey, that's just me. At least it's not Billy Crystal.There is an ""illegal alien"" joke i found in poor taste, not because I was offended, but because I assume that in the future the concept of ""illegal alien"" will have no more meaning.Overall, just as good as the first. It runs a bit long with the director's cut (two hours and thirty-seven minutes) but was really enjoyable. The guy I watched it with -- Brandon -- was ready to rent ""Alien 3"", but Family Video doesn't carry it. What a scam, eh? But anyway, check this one out -- you know coming from James Cameron (""The Abyss"", ""Terminator II"") it has to be good. Only Cameron could have succeeded Ridley Scott (and bring Michael Biehn with him), and he does it well.",Aliens
9,lee_eisenberg,Sigourney Weaver: the bad-ass,7,9 October 2006,"Most people have probably heard how the second one continues the story but takes a little bit different direction: the first one was a horror movie and the second one was more of an action flick. Well, you'd better believe that they go all out. The story picks up fifty-seven years after the original, and sure enough, there are more aliens. Ellen Ripley (Sigourney Weaver), however, is not to be deterred. If those drooling fiends are around, she's ready to take them on.I should say that the movie seems a little silly at times. Since this is an action flick, there are a number of army types, and they all have their macho lingo. Fortunately, ""Aliens"" doesn't pretend to be anything but an action flick. If anything, the little girl adds a sort of humanizing aspect to the kick-ass stuff. But this is definitely a guy movie, albeit one carried by a woman. If I may say so, Weaver becomes as much of a bad-ass here as she was in ""Ghost Busters"" (of course, this time she's not possessed).Anyway, this movie has something for everyone, and you're sure to like it. Really cool. Also starring Lance Henriksen, Bill Paxton and Paul Reiser.I wonder whatever became of Carrie Henn.",Aliens
10,jboothmillard,Aliens,10,9 March 2005,"Director James Cameron (The Terminator, Terminator 2: Judgement Day, True Lies, Titanic) brought the superlative sequel to Sir Ridley Scott's science-fiction action horror thriller seven years later, and in terms of spectacle, this is much more elaborate. Basically, Ellen Ripley (Oscar and Golden Globe nominated Sigourney Weaver) is finally picked up by her company, 57 years later, which shocks her, she also has many nightmares of her past experience. Carter Burke (Paul Reiser) asks Ripley to be an adviser (""that's all"") for a team of heavily armed soldiers that are going to the unknown planet (LV-426), where Ripley and the Nostromo team landed, which has over the years has been colonised, installed with a fusion powered facility to make the air breathable. Their mission seems to be to destroy the aliens (or Xenomorph) after contact with the planet is lost, but Ripley is eventually dragged into the action as more and more of the soldiers are being killed. Along the way, they find a survivor, Rebecca 'Newt' Jorden (Carrie Henn), and not long after they are stranded on the planet, with no communication to the company, and no shuttle to escape. They do make sure that the doors are secure so the aliens, and parasites (facehuggers) cannot get in, while android Bishop (Lance Henriksen) tries to get a shuttle to pick them up. They do eventually get close to escaping, but Ripley, looking for captured Newt does get to meet the mother alien, destroy her egg nest and sack, before escaping and the place that is destroyed. There is one final encounter with the alien queen not long after landing to safety, she in the Exosuit ""power-loader"" utters the great line ""Get away from her, you bitch!"" Eventually Ripley gets rid of the alien mother, throwing her into the blast doors and forcing her into outer space (just like the first one). In the end, injured Cpl. Dwayne Hicks (The Terminator's Michael Biehn), ripped-up Bishop, Newt and Ripley are the last survivors, all put into pods for hibernation. Also starring Bill Paxton as Private Hudson, William Hope as Lieutenant Gorman, Jenette Goldstein as Private Vasquez, Al Matthews as Sergeant Apone, Mark Rolston as Private Drake and Wishmaster's Ricco Ross as Private Frost. The special effects are much more impressive, and the action more intense and gripping, a brilliant sequel. I have also seen the extended version, that director Cameron prefers, the extra material does provide some good background to some characters, including where Newt came from, it is just as interesting and essential as the original. It won the Oscars for Best Sound Effects Editing and Best Visual Effects, and it was nominated for Best Art Direction-Set Decoration, Best Film Editing, Best Music for James Horner and Best Sound, and it won the BAFTA for Best Special Visual Effects, and it was nominated for Best Make Up Artist, Best Production Design and Best Sound. Sigourney Weaver was number 20 on The 100 Greatest Movie Stars, and Ellen Ripley was number 8 on 100 Years, 100 Heroes & Villains. Outstanding!",Aliens
11,ccthemovieman-1,One 'Alien' Was Enough,1,21 November 2006,"The first of these movie, ""Alien,"" is in my DVD collection but not the rest, beginning with this sequel. I'm sorry but having low-life people portrayed as astronauts is ludicrous and insulting. I put up with it in ""Alien,"" but it's even worse in this film, beginning with Sigourney Weaver's character who is extremely profane and butch-like in her macho-feminist overdone characterization. Who cares about scary aliens when the supposed ""good guys"" are this sleazy? The cast fits the scummy people perfectly as these actors are known for these kind of roles. It's just another in a line of films directed by James Cameron that feature scumbags as the lead characters.Of course, the sick critics loved it. Figures.",Aliens
12,Tweekums,A great sequel to a classic film,9,27 August 2008,"Too often sequels are shallow rehashes of what was done in the first film, thankfully think isn't the case with Aliens which is almost as good as the first and quite different in style. While I think it helps to see the original film first this also works as an excellent piece of stand alone entertainment.This film is set fifty seven years after the events of the first film however for Ripley it is as if no time has passed as she was in hyper sleep the whole time. Upon waking she is horrified to discover that the planet where the crew of the Nostromo found the alien is in the process of being Terraformed. A family group is sent out to investigate the location of the ship and one of those people is attacked by a face-hugger, soon after all contact with the outpost is lost. Ripley is asked to join the group of marines being sent to investigate but initially doesn't want to go, she changes her mind once assured that they are going to eliminate the aliens.Unlike the first film where there is a single alien this time there are hundreds although they are more easily killed as the marines are obviously well armed. The frights and horror of the first film are much reduced but are replaced by the excitement of full on action as the marines battle against the aliens. The acting is solid through out and particular mention should be made of Carrie Henn, who played ""Newt"" a young girl who was the sole surviving colonist. In many films the presence of a child is rather annoying but Newt was a good character who wasn't overly cute, she could also scream rather well!This review and rating are based on watching the longer Special Edition of the film which includes many scenes not in the original release.",Aliens
