,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Tarsem Singh not right,5,12 April 2016,"Wealthy businessman Damian Hale (Ben Kingsley) is dying. He's estranged from his daughter Claire. Upon dying, he receives an experimental procedure from Albright (Matthew Goode) to transfer his consciousness into Mark Caguioa (Ryan Reynolds). He expected a lab raised body but he starts to recover memories which leads to Mark's wife Madeline (Natalie Martinez) and their daughter. Albright sends henchman Anton (Derek Luke) to take back Damian.This has a pretty interesting premise but the execution doesn't have the thrills or any tension. It's too flat for too long at the beginning. Ryan Reynolds' performance doesn't match Ben Kingsley. When the action starts, I'm not locked onto the character. It's surprising to realize the director is Tarsem Singh. His signature visual style is completely missing. His storytelling is still problematic. The idea for this movie holds some potential but Singh is not up to the task.",Self-less
1,Hitchcoc,Disappointing Development of a Neat Premise,5,12 February 2016,"I just could not get into this film. Ben Kingsley is a man who has been dealt a cruel hand. He is dying of cancer which diminishes the importance of his millions of dollars. He makes a deal with a secret group to go through a process called ""shedding,"" i.e., having his brain transplanted into what he thinks is an artificial body. Of course, we know he will do this. When he dies, his essence is placed in a buff young guy's body. Of course, now there are endless possibilities, but what he does, mostly, is play pick-up basketball. One day, he has a hallucination, or so he thinks. He sees a former self and he comes to realize that the body he inhabits is that of an actual person. Now everything interesting falls apart. It becomes a search for a daughter and wife with the evil scientists after them. I've seen this kind of stuff a million times. The ending is also about as contrived in pathetic as one can imagine.",Self-less
2,Prismark10,Meet the host,5,16 November 2015,"Tarsem Singh came to prominence as the director of REM's music video for Losing my religion.His debut film The Cell was strong on visuals but weak on narrative and a lead actress.In Self/less Ben Kingsley is a wealthy mogul Damian. He has terminal cancer but wealthy enough to go through a cutting edge procedure where his consciousness is moved to a healthier body. A process known as shredding.Damian is led to believe that the new body has been grown in a lab. Part of the process is that he must give up his old life and start with a new identity. New Damian (Ryan Reynolds) moves to New Orleans and pretty soon he is living live with his younger self to the full.However he has flashbacks which makes him have doubts to the origin of his new body. He has to take pills to suppress this and to complete the transference of the mind which can take several months.New Damian tries to uncover the origin of these flashbacks, he discovers that the host body had a previous life and not grown in a lab.Pretty soon the people behind this medical procedure are out to get him. It is a good job that the original host was in the army.The film starts slow with the Ben Kingsley segment. It is as Singh wants to infuse the film with visual tricks and has aspiration to make an art house action thriller.The plot has been done before, Anthony Hopkins in Freejack who wanted a younger man's body and had Mick Jagger as his chief henchman to Face/Off and Total Recall.Just as you are about to nod off, Kingsley makes way for Ryan and the film shifts gears. Now Reynolds reminds you nothing of Kingsley's character but at least once Reynolds discover that the host body had a past life, this becomes very much a generic action film albeit an entertaining one and Reynolds is just the right man to mix action with some pathos and even some tenderness here and there.It is all so predictable but good fun when the action scenes start. Singh pulls of some visual trickery in a restraint manner but this is a movie that looks like the producers re-cut the final film. Maybe it is better for it.",Self-less
3,nogodnomasters,THAT NEW BODY SMELL,6,29 April 2018,"EARLY PLOT SPOILERThe best way to watch this film is cold, having read no reviews including this one. Damian (Ben Kingsley) is a rich guy who has an opportunity to live on in another body under a new identity. It cost a bit, but beats death. He takes over the body of Ryan Reynolds and then BAM! we soon discover 30 minutes into the film we are watching a modern update of ""Hauser's Memory."" Once we figure out what the pills are for and are 36 minutes into the feature, we know how it ends, just how do they get us there.Ryan did a decent job of imitating the mannerisms of Ben Kingsley, yet his acting was lack luster. There have been a number of films on this topic, with this one being superior to say ""Hauser's Memory"" but then again, what isn't better than a 1970's made for TV film. Makes for a good rental.Guide: 1 F-bomb. Brief dark sex/nudity?",Self-less
4,kosmasp,Who am I?,7,19 October 2015,"There are certain things that men (or women for that case) should not mess with. As in what nature is giving or taking away from us. The movie might make a case of that, if you want to look at it that way. It's Science Fiction alright, but it does have a moral core in it, that you'll either like or dismiss.Whatever the case, I'm sure many like the general idea of the movie, and because it is a ""secret"", this could actually be going on right now. But whatever you believe (or not), this will challenge some of your views, for better or worse. It might be very easy to see where this is going, but it's still a ride worth taking (especially if you're fond of the genre)",Self-less
5,Sleepin_Dragon,You can never cheat death,8,13 October 2015,"In recent times it seems like a sci fi thriller is a tricky movie to master, and whilst I don't pretend that Self/less mastered it, it's a very watchable and enjoyable movie.'Billionaire Damian, a man responsible for enormous business deals, a big figure with the ability to buy whatever he wants, but not the thing he needs, a cure for cancer. Out with friend and fellow business man Martin a card is slipped into Damian's possession, Phoenix biogenic, with a message on the back of help. Damian attends and meets Professor Albright, who explains the procedure on offer, Damian's living consciousness can be transplanted into a new body, a body that's been cultivated. Damian accepts and wakes up a fit young man. Albright insists on meeting weekly, giving Damian the pills he must take without fail. As time goes on Damian starts having disturbing visions, the constant being a woman, little girl, and a pumpkin tower. Researching the tower he is led to St Louis, where he discovers the truth behind his new guise and the sinister Albright.I really did enjoy this movie, the concept was a good one, it was a clever plot. There were enough surprises and plenty of intrigue to keep you wondering.If I had one little niggle, it's that for me after the transformation to Reynolds it felt like a different film, it didn't feel seamless, maybe that was intentional, I felt they could have delved into the transition a little deeper, it seemed to happen to quickly.Lots of action scenes, really well directed, the effects were great too. I wish Google searches worked so quickly for me, Pumpkin Towers (All I'm saying. 11,300,000 results,) my he was lucky.Brilliantly acted, Kinglsey naturally has gravitas, he's so watchable. Ryan Reynolds was excellent I thought, I really enjoyed his performance, Matthew Goode I thought was outstanding, managing to be sinister without overplaying it. I love Michelle Dockery, but she was a little underused, just a bit part.8/10 Very watchable, surprisingly so.",Self-less
6,classicsoncall,"""Death has some side effects.""",7,3 June 2021,"This wasn't too bad considering the theme has been done countless times before with films like ""Total Recall"", ""Freejack"" and ""Face/Off""; that last one even contributing the idea of two non-related words to assume some semblance of meaning for a movie title. Still, there were some problems with the execution that the film makers decided to gloss over relative to the plot. I didn't think Ben Kingsley conveyed the idea that Damian Hale had only six months to live since he looked pretty healthy to me aside from those coughing spasms of his. And why 'Mark' became a transfer body was never made clear. His background in the military was alluded to, and he was obviously selected by Jensen/Albright (Matthew Goode) as a subject devoid of serious imperfections. There was also the scene where Damian's friend Martin (Victor Garber) expressed his doubt about Damian occupying a new identity until it was verified by describing their first business deal together. But Martin already knew such a procedure was possible because he had a replacement son via the same 'shedding' method. He could have been playing dumb but it didn't come across that way. What was gratifying was Damian's decision to cease taking the red pill in order for Mark to resume life with his reunited family. That selfless (ahh, there it is!) act reminded me of yet another story harking all the way back to my childhood days watching Rod Serling's 'Twilight Zone'. In 'The Trade-Ins' an elderly gentleman gave up his chance for a younger body when his finances didn't allow the same procedure for his wife, thereby accepting the inevitability of death at some point in the future. When faced with a tough choice, it's commendable to see a noble decision being made.",Self-less
7,lee_eisenberg,transferred memory with no brain,4,30 November 2015,"Tarsem Singh's ""Self/less"" has an interesting plot but weakens itself by going for action over plot. The movie doesn't develop the characters enough to make you care about them, and Ben Kingsley doesn't get anywhere near enough screen time. I recommend sticking to Singh's previous efforts (""The Cell"" and ""Mirror Mirror"").I see that this is a remake of John Frankenheimer's ""Seconds"". I've never seen that movie but I'd like to. The spate of remakes/reboots/superhero sequels has seriously gotten annoying. Among the great books that haven't gotten filmed is Kim Stanley Robinson's ""Years of Rice and Salt"", a hypothetical look at world history.",Self-less
8,blanche-2,interesting concept,7,21 July 2016,"I am always surprised to see Ben Kingsley in a small role - after all, he was Gandhi. But here he is again, as Damian, an extremely wealthy man who is suffering from terminal cancer. He finds a business card directing him to Professor Albright (Matthew Goode), who performs a medical procedure called ""shedding"", in which one's consciousness is transferred to young, healthy body that has been engineered. He decides to do it.After the procedure, he is given pills he needs to take daily. Now Young Damien, he changes his name, moves to New Orleans and has the fun of a young single guy for a time. He becomes friends with his neighbor, Anton.He forgets to take his medicine one day and begins to see visions, but Albright tells him it's part of the ""shedding"" process. Not convinced, he goes searching for a landmark he saw in his visions. He discovers that Albright hasn't told him everything.Exciting and ultimately sweet film with some good acting from Ryan Reynolds, Natalie Martinez, Victor Garber, and one of my favorites, Matthew Goode.Yes, there was a lot of action but I didn't think of it as an action film. I enjoyed it.",Self-less
9,LeonLouisRicci,Familiar StoryDone Better Elsewhere...Good Enough to be Worth a Watch,7,31 March 2016,"Enjoyable but Generic Entertainment from a Story that has been done Many Times in the Sci-Fi Genre. This one blends Action with some Fancy Visual distortions in the Mix forsaking any Deep Thought or any New Philosophical Musings. Ryan Reynolds does Acceptable Work and forgoes His usual Snarky Humor that is nowhere to be found in the Mainstream Script. The Film goes to great lengths to Appeal to Everyone and that's usually Not a Good Thing.The Action-Chase-Fight Scenes are Slick and so is the Overall Template of the Movie but it Lacks Soul. Could that be a Byproduct of the Shedding (the Mind/Body Swap that is the Plot). The Third Act is the Weakest as the Movie decides, well it's hard to Imagine what it decides because there's a bit of unnecessary confusion, it does Feel Flat and Formulaic, whatever it is.Ben Kingsley Fans are going to be Disappointed with His short Screen Time and the Actresses, except for the Little Girl, do Nothing to make this Better than Average. In Fact, both of them (Claire and Addie) are Irritating and Get on the Nerves.Overall, it is an Average Movie with just enough going for it that makes it Worth a Watch.",Self-less
10,CinemaSerf,Downton deals in dangerous drugs...,7,15 January 2021,"OK, so he was terrific in ""Gandhi"" (1982) but ever since, Sir Ben Kingsley seems to have struggled to play anything more substantial that a mid-rate baddie with sinister eyes... Here, sadly, he is no different as he portrays ""Damian Hale"", a ruthless billionaire property magnate who has a terminal illness. To try and cheat death, he arranges with a suitably duplicitous ""Albright"" (Matthew Goode) for his consciousness to be transferred into a new, fit, young ""Damian"" (the fit young Ryan Reynolds). Shortly after, though, his new life starts to become blurred with the memories of his host. Are they just hallucinations or is his host (""Ed Kidner"") fighting back; trying to re-assert control over his own mind and body? This conflict only heightens when ""Ed"" starts to put flesh on the bones of his ""dreams"" discovering a real family and a real chance of happiness away from the pill-addicted existence created by ""Albright"". Reynolds is good in these sort of films; he has a glint in his eye and a charm about him that forgives his rather wooden acting abilities. The pace, once we have dispensed with the older iteration of ""Damian"" picks up well with a fair smidgeon of action and a bit of romance with Natalie Martinez. It's way too long - the story becomes way to dependant on the charisma of the star too early on in this process, but red herrings there are to keep us guessing before a suitably incendiary conclusion. It won't win any prizes, but I quite enjoyed it.",Self-less
