,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Reasonable performance,7,22 May 2014,"It's a biopic of the great boxer Muhammad Ali (Will Smith). It starts in 1964 when still as Cassius Clay defeats Sonny Liston for the heavyweight championship. Malcolm X (Mario Van Peebles) befriends the young fighter. He is outspoken, converts to Islam joining the Nation of Islam, and becomes the world wide icon. Jon Voight makes a nice turn as Howard Cosell.Muhammad Ali is such a big personality. Possibly nobody could ever do him justice. Certainly nobody could ever live up to the legend. Will Smith is probably the only one who could make the attempt. The fact that he didn't embarrass himself is a big win. It is a surprise that director Michael Mann made this movie. It doesn't have the kinetic energy of his other movies. It's such a dour performance. Will is playing it with simmering anger every second of the movie. He's great with Ali's voice, but it doesn't have any joy in it. Will is good hitting that same note over and over again. I just wish he hit other notes in his performance. 'When We Were Kings' is a superior movie for comparison. This is a good biopic not not much more.",Ali
1,Horst_In_Translation,Not even close to doing justice to the legend it is about,6,24 September 2020,"""Ali"" is an American, mostly English-language movie from 2001, so this one has its 20th anniversary next year. It runs for over 2.5 hours, so at least the duration is where it should be to be accurate for Muhammad Ali, one who is considered by many one of the greatest athletes in sports history. And maybe the greatest boxer who ever existed, although there are other contenders too like LaMotta, Marciano and, more recently, Mayweather. But if we only talk about heavyweights, it's maybe tough to argue against Ali. Sadly, this film is no movie heavyweight by any means, but I will get to that later. The director here is Michael Mann and I got to watch this film on the big screen on the occasion of a Michael mann retrospective, for which I am grateful, but must also say that this is among the weakest from what I have seen by Mann in the last couple weeks. He is also one of the writers here and you could say that it is a bit of too many cooks spoiling the broth. Mann worked with Roth again, with whom he collaborated on other projects, plus there is another duo of writers who have worked together in the past too and also were both Oscar nominees. You can check out their names too if you like. Plus there is a writer of the original story, who has also been part of other significant projects, even without major awards attention. But the one everybody here has talked about was Will Smith. He plays Muhammad Ali. Okay casting choice I suppose. I think the Oscar nomination may have been a bit too much, but other than that he kept the movie going okay, his hammy moments are not too frequent and sometimes also because of the sub-par writing. So it's a movie where he is basically in every scene from beginning to end and for that he does a decent job. And also I may be a bit baised because my appreciation for Smith has gone down considerably in recent years, so big fans of his will maybe enjoy it more than I did. Enjoy him more than I did. This decline in appreciation also has more to do with his wife than with him for sure and some of her/their comments about equality in Hollywood. I deem them racist, but that is another story. And let's not even get started about her having an affair with her son's buddy. What the heck? But yeah, let's not drift too far away from this film now. Jada Pinkett (Smith) is also in this movie and it is basically the perfect evidence of her not being talented and she would be nowhere career--wise without her husband I'm sure. Sadly Smith (in contrast to Ali) did not ditch her quickly. As for the rest of the cast, I find it extremely baffling how Jon Voight got an Oscar nomination for hie performance here. I must say I did not even recognize him, but maybe this appreciation is also linked to the make-up folks or the character he plays, but honestly I must say that there is almost nothing to his character and the friendship between him and the boxer was not depicted or portrayed in a way as meaningful that you'd think he received any award recognition for it. One of the most forgettable accting noms I have seen, even a definite contender for the first position. So yeah, compared to this, even Smith's nomination was really justified. As for the rest of the cast, you will see some more familiar faces in here like Jamie Foxx and Joe Morton. Breaking Bad' Giancarlo Esposito is also part of this film, but his screen time is so miniimal that it's easy to miss him. Same is true for Ted Levine. Such a great actor and he was completely wasted for a one scene role that an extra could have played. As for the girls, there are not really any except the three love interests to Ali and it says a lot that the ring girl has more screen time than almost all the other females in here. But Mann is known for male-centered movies, so no surprise. Actually he is the epitome of that, way more extreme than Tarantino who is also still (although not really justified) seen like that.But genders don't matter anyway. The real problem with this film lies elsewhere. And it is present from beginning to end: I am talking about how it all feels pretty shallow. It is fairly entertaining yes, but it is never education, let elone epic as it could have been with the man this story is about. Just take the story with Foxx' character. There is almost nothing before or after the crucial moment when we see him in bed and he says he lost all the money and eventually Ali takes him back. But this story could have been way better. Or take the Malcolm X part (occasionally mistook him for Fox too). That was so showy. We see his assassination very visually, but have not much of a connection between him and Ali before that at all. In a great film, we would have gotten proper elaboration before that and maybe then a call that Ali receives where he finds out about the killing. Again, style over substance. Voight's subplot was okay, but not awards-worthy like I said, and Don King's inclusion was alright too I suppose, certainly among the better aspects here. The man turns 90 next year. I also liked how Ali stood up against him and for his Italian-American buddy. But there again, it sucked because in the long time before that, two hours or so, we barely get any elaboration on why these two are this close. Maybe I am a bit biased here too with this movie because I did not see Ali in a likable way at all. He seems boastful, arrogant and unfaithful and all this more than once too it seems. I mean his reputation and class are undeniable, not even gonna go there, but I kinda prefer the quietly convincing characters. However, this is no criticism against Mann and the people who made this film if it relies on facts and I think it did. Even if a lot of it is still fictionalized, perhaps also the scene in bed with Smith and his wife early on when Ali keeps talking about how awesome he is, again showing us his massive ego. A bit of a weird inclusion if not based on some real footage or quotes, bit I wonder how it would be. What else? Oh yes, the sequence I just mentioned is accompanied by music and they did this on several occasions as we hear a mildly catchy tune in the background and not really the characters talking. Another example would be very early on with this rock concert and the cops who stop him when he is running (racism? ) before they are called to where they are actually needed. I must say I did not like these scenes too much. The approach is one that needs better execution than shown us here. What I did like, however, about this film, maybe liked more than anything else, were the fight sequences in the ring. Those were fine. Props to Smith there, also with his physicality that probably had a lot to do with his Oscar nomination (like with Bale in another boxing movie) and it is no surprise they cast actual boxers to play these greats from the history of the sport. I must say I was a bit critical about Foreman because there was a lot of talk about how he was young and rising and Ali in his early 30s already back then (not an age anymore today) and I felt the actor for Foreman looked way too old, but I checked and he was not much older than Foreman actually during this Rumble in the Jungle spectacle. This was actually the moment I planned on giving it a lower rating because it seemed so off, but eventually I will still be going with three stars out of five, even if it is much closer to two than to four and maybe on a rewatch I will give it two only. But now I will be generous. Like I said, however, one of Mann's more disappointing films for me for sure, even if Ali/Smith is luckily not as cringeworthy as the male cenntral character (lead) in Manhunter. Anything else to say about Ali? Only that like I said the movie is not even close to the level that the man this is about would have deserved, no matter if I like him or not. So I hope maybe they will come up with a new film. Ali himself will not see it anymore, but maybe audiences will. This one here should not be considered defining by any means, especially not when it comes to his religion. That could have been done better too. The closure moment especially when the Supreme Court declares him innocent (really? I mean it is undeniable he refused army service, more elboration on why would have been nice), but the way it is depicted here was fairly disappointing. It felt as if he did not even know this was the day they would decide. Oh well, maybe there really weren't any information given out back then about exact dates. Okay, what else? Ah yes, the famous butterfly/bee quote is also included at least twice and could also have been emphasized more convincingly. The epic shot many have as a photo on the wall from the Liston fight got better treatment. That's all now. Go watch this film, positively recommended, even if I am not enthusiastic about it at all and very accurate that it did not score a Best Picture nomination at the Academy Awards or anything.",Ali
2,Prismark10,Duck and weave,8,8 November 2013,"In the USA, Mohammed Ali is still a divisive figure, even to people who probably were not even alive when his boxing career was in its decline.To others outside the USA. Ali is universally acknowledged as a hero, someone who transcended his sport to become a well known personality.Michael Mann takes up the challenge to try to tweak out the various facets of Ali and show someone who is not an easy subject to capture but his boxing of course makes the narrative easier.The film ends with the Rumble in the Jungle when Ali beat Foreman.We go through the period when he could not box because of his stance against Vietnam and of course his earlier rise to become champion of world heavyweight boxing. Then his alliance with the Nation of Islam.Mann as expected does not go through a straight biopic. He elicits from Will Smith a great performance that was Oscar nominated. Jamie Foxx as Bundini Brown should had also got recognition and Jon Voight under heavy make up is unrecognisable and he got a best supporting Oscar nomination.Mann took an auteur approach to his subject. Its narrative style was not too popular at the time of its release, mainly because everyone have their own ideas of what a Muhammad Ali should be like.Mann provides enough flourish to let the audience have an insight of this legendary boxer.",Ali
3,classicsoncall,"""I ain't got to be what nobody else want me to be, and I ain't afraid to be what I want to be...""",8,6 November 2006,"My youth and young adulthood coincided with Muhammad Ali's rise to the Heavyweight Championship, and I followed his bouts whenever they were shown on TV. Thankfully it was a time before routine fifty dollar pay per view cable events. However even though Ali's name had become a household word, I didn't know a lot about his private life, or the deeply held convictions that retreated behind the front page headlines. ""Ali"" does a nice job of chronicling the roughly ten year span between his first title win and the defeat of George Foreman after being stripped of the championship.Those who tune in and expect boxing to take center stage might be disappointed; many reviews on this forum express that. That might be missing the point of the film, as there are enough documentaries, interviews and fight films to pursue if that's what one is looking for. Director Michael Mann instead concentrates on Ali's Nation of Islam connection, his friendship with Malcolm X, the shattering of his ties with Elijah Muhammad, and ultimately the loss of the world title as a result of his refusal to be drafted. Besides presenting a sports hero, the film presents a human being showing the world that it's important to live by one's principles.I was intrigued by the almost symbiotic relationship revealed by the story between Ali and legendary sportscaster Howard Cosell (Jon Voight in a take notice role). If you caught their famous verbal battles back in the day, you would swear they were mortal enemies, yet even though they seemed to enjoy taking shots at each other, the scene during the Wide World of Sports segment showed just how loyal Cosell was to the Champ. It was also interesting to watch Ali's defense of trainer Angelo Dundee (Ron Silver) during a pre fight briefing with promoter Don King; it showed that Ali wasn't a big fan of King.The biggest surprise of the story for me - Joe Frazier agrees to defend the title against Ali as the two men meet privately, with not a manager, promoter or lawyer in sight. Just two men agreeing to get it done, with a lot at stake for both winner and loser.The most inspirational moment, aside from actually winning the championship, is the training run in Kinshasa, Zaire, as the locals turn out to celebrate a hero. One wonders what had to be going through Ali's mind as he witnessed that turnout, it appeared incredibly moving on film.Undoubtedly, this was Will Smith's career role, and he pulled it off convincingly. He managed to capture the essence of the boxer and the man, earning the real Muhammad Ali's respect in the process, and what could be better than that.",Ali
4,lee_eisenberg,"Hard to determine sometimes, but they did a good job.",8,1 December 2005,"Covering Muhammad Ali's life from 1964 to 1974, ""Ali"" shows not only his athletic ability, but also his personal conflicts. In the title role, Will Smith not only shows that he can play a serious role, but also really gets into character, scoring a well-deserved Oscar nomination (although I'm glad that Denzel Washington won). Director Michael Mann never turns Ali into a God; this is a warts-and-all story, much like ""Ray"" was last year. Still, one has to wonder whether or not the people behind this movie lacked insight into their subject (sometimes, you do get that feeling). But no matter. This certainly is a movie worth seeing. My favorite part was Ali's denunciation of the Vietnam War.",Ali
5,jboothmillard,Ali,5,16 March 2009,"From director Michael Mann (The Last of the Mohicans, Collateral), I hoped this would be a good biographical drama with a great star playing one of the world's best known boxers. The film tells the story of Muhammad Ali (Oscar and Golden Globe nominated Will Smith), aka Cassius Clay/Cassius X, who in 1964 won the heavyweight title, creating anew image for African American sportsmen. The film then follows his journey competing in many other fights with self confidence and belief that he is the best boxer in the world, his two marriages, his conversion to the Islam religion, a relationship with Malcolm X (Mario Van Peebles), and concluding with the monumental fight against George Foreman (Charles Shufford). Also starring Jamie Foxx as Drew 'Bundini' Brown, Oscar and Golden Globe nominated Jon Voight as Howard Cosell, Ron Silver as Angelo Dundee, Casino Royale's Jeffrey Wright as Howard Bingham, Mykelti Williamson as Don King, Jada Pinkett Smith (Will's wife) as Sonji, Nona Gaye as Belinda Ali, Michael Michele as Veronica Porche, Terminator 2's Joe Morton as Chauncey Eskridge, Paul Rodriguez as Dr. Ferdie Pacheco; Giancarlo Esposito as Cassius Clay, Sr.; LeVar Burton as Martin Luther King, Jr., Albert Hall as Elijah Muhammad, Michael Bentt as Sonny Liston, James N. Toney as 'Smokin' Joe Frazier, Barry Shabaka Henley as Herbert Muhammad, Ted Levine as Joe Smiley and Star Trek: The Next Generation's Michael Dorn as Black Pilot. While Smith does a very convincing impression of Ali, and a nearly unrecognisable Voight does well too, it doesn't really focus on all events in a lot of detail, apart from the fights, so I agree with the critics that it is a pretty ordinary film. It was nominated the Golden Globe for Best Original Score for Lisa Gerrard and Pieter Bourke. Will Smith was number 51 on The 100 Greatest Movie Stars. Worth watching!",Ali
6,moonspinner55,"Impeccably produced, but with a haphazard narrative",6,17 November 2002,"Will Smith's physique is impressive, and his performance as boxing legend Muhammad Ali is rock solid, but Michael Mann's handsome, striking film does meander(especially in the final 45 minutes)and the script darts around issues and lets situations flag(especially in dealing with the Ali-Joe Frazier fight, which is cut awfully short). Never less than interesting, and with lots of room for introspection, but only half a success. The picture does look fantastic, though, and the supporting cast is uniformly excellent. **1/2 from ****",Ali
7,Quinoa1984,I like your show and I admire your style...,6,28 December 2001,"Michael Mann's Ali is a film that has the elements in place for a movie that could've been better than it is.  It has the performances- Will Smith is a good choice for Ali and in his best scenes he shows some real talent (the best scenes with him were when he was in front of the TV camera with or without Voight as Cosel), Jamie Foxx as Bundini, Ali's half-drunken inspiration who gives the film a added comic punch, and Jon Voight in a miraculous transformation as Cosel who plays off Smith's Ali with the greatest of ease.  Plus the boxing scenes were (sometimes) quite enthralling.But like I said, these are the elements in place to make a good movie, but the film doesn't pull through.  Mann goes too long with details that aren't needed to illustrate Ali's thoughts and feelings and in contrast shows Ali and what he wants to do in and out of the ring but never gets inside of his psyche totally which would've been really interesting.  It is a longish and sluggish picture that at times can be good and at other times can be actually annoying: what is the point of the overlong jogging scene in Zaire, the overuse of dramatic music in scenes where it's not needed (I don't mind music for dramatic use but every 30 seconds is something I do mind) and having Martin Luther King's assassination when he plays a lot lesser of a role than Malcolm X did for Ali?  Overall, Smith is able to pull through as do other members of the cast, and there are things to look for, yet it's not worth sitting through the constant lulls.  If you want to see a great Mann movie rent Insider, Heat or even Manhunter.  C+",Ali
8,michaelRokeefe,The mouth that roared.,6,18 February 2003,"Michael Mann directs an interesting glimpse into the life of Muhammad Ali(Will Smith). The years 1964 to 1974 show us the winning of the world's championship of boxing, losing it and then the renowned Rumble in the Jungle. As well as the refusal to be drafted into military service and relationships with some diverse people as Malcolm X(Mario Van Peebles), Herbert Muhammad(Barry Shabaka Henely) and Howard Cosell(Jon Voight). The hard work of Will Smith to pull this whole thing off is obvious. And Voight's portrayal of Cosell is outstanding. The photography is excellent and the scenes in the ring are some to be unrivaled. The supporting cast includes:Ron Silver, Jamie Foxx, Michael Michele and Jada Pickett Smith. Ms. Michael needed no script; thanks for just being there. You need not be a fan of Ali to stick around till the final bell.",Ali
9,sunwarrior13,A Good Film About The Greatest,9,6 August 2013,"Ali is a biographical film that film tells the story of the boxer Muhammad Ali, played by Will Smith, from 1964 to 1974. Michael Mann directs.The story features the following events:his capture of the heavyweight title from Sonny Liston;his conversion to Islam; criticism of the Vietnam War; banishment from boxing; his return to the ring against Joe Frazier in 1971;and when he won once again the heavyweight title by taking it by upsetting George Foreman in 1974.When a filmmaker decides to make a film on Ali,who considers himself The Greatest,one must also expect the greatest film to be made about him.Unfortunately,it does not meet those standards.Despite the fact that Will Smith was able to capture the persona of The Greatest and willed himself to be Muhammad Ali,the script is far from being engaging.It is more concerned about details of the events of his life that it serves like a documentary rather than an entertaining film about the champ.Added to that,the viewer does not get to know the man more while watching it as the viewer is treated to a very long film more about the events that happened rather than the giving us the glimpse of the most charismatic boxer who had fun with his fame when he was the most known athlete of the world.",Ali
